ko:K09796	mys:NF92_13045
ko:K02237	mys:NF92_15445
ko:K09710	mys:NF92_15465
ko:K00969	mys:NF92_15470
ko:K07161	mys:NF92_15475
ko:K00147	mys:NF92_15485
ko:K00852	mys:NF92_15490
ko:K00931	mys:NF92_15510
ko:K03979	mys:NF92_15515
ko:K02899	mys:NF92_15520
ko:K02888	mys:NF92_15525
ko:K00940	mys:NF92_15535
ko:K11754	mys:NF92_15545
ko:K01873	mys:NF92_15550
ko:K03752	mys:NF92_15575
ko:K00175	mys:NF92_15590
ko:K00174	mys:NF92_15595
ko:K02379	mys:NF92_15605
ko:K03544	mys:NF92_15650
ko:K01358	mys:NF92_15655
ko:K01358	mys:NF92_15660
ko:K03545	mys:NF92_15665
ko:K16051	mys:NF92_20010
ko:K15981	mys:NF92_20060
ko:K00626	mys:NF92_20065
ko:K15981	mys:NF92_20070
ko:K01692	mys:NF92_20095
ko:K00626	mys:NF92_20125
ko:K00059	mys:NF92_20135
ko:K18687	mys:NF92_20145
ko:K06188	mys:NF92_20180
ko:K18955	mys:NF92_21105
ko:K18955	mys:NF92_05605
ko:K02914	mys:NF92_00005
ko:K03536	mys:NF92_00010
ko:K03217	mys:NF92_00020
ko:K06346	mys:NF92_00025
ko:K03501	mys:NF92_00030
ko:K05337	mys:NF92_00070
ko:K03671	mys:NF92_00080
ko:K00384	mys:NF92_00085
ko:K03088	mys:NF92_00095
ko:K03980	mys:NF92_00100
ko:K00970	mys:NF92_00115
ko:K07090	mys:NF92_00120
ko:K15983	mys:NF92_04640
ko:K00057	mys:NF92_04655
ko:K09767	mys:NF92_04670
ko:K07028	mys:NF92_04725
ko:K05520	mys:NF92_04730
ko:K04047	mys:NF92_04735
ko:K02913	mys:NF92_04750
ko:K03073	mys:NF92_04775
ko:K02601	mys:NF92_04780
ko:K02867	mys:NF92_04785
ko:K02863	mys:NF92_04790
ko:K03088	mys:NF92_04810
ko:K00803	mys:NF92_04830
ko:K00111	mys:NF92_04840
ko:K00574	mys:NF92_04845
ko:K02864	mys:NF92_04865
ko:K02935	mys:NF92_04870
ko:K11159	mys:NF92_04880
ko:K02065	mys:NF92_04895
ko:K03043	mys:NF92_04905
ko:K03046	mys:NF92_04910
ko:K01662	mys:NF92_09310
ko:K01586	mys:NF92_09315
ko:K03684	mys:NF92_09325
ko:K01599	mys:NF92_09335
ko:K00231	mys:NF92_09340
ko:K07305	mys:NF92_09365
ko:K16647	mys:NF92_09370
ko:K06916	mys:NF92_09385
ko:K07044	mys:NF92_09425
ko:K15983	mys:NF92_09430
ko:K12421	mys:NF92_09445
ko:K08167	mys:NF92_09465
ko:K09117	mys:NF92_09475
ko:K01477	mys:NF92_09505
ko:K11103	mys:NF92_09515
ko:K10536	mys:NF92_20185
ko:K01455	mys:NF92_20190
ko:K16049	mys:NF92_20200
ko:K16047	mys:NF92_20205
ko:K15983	mys:NF92_20210
ko:K02077	mys:NF92_20235
ko:K02074	mys:NF92_20240
ko:K02075	mys:NF92_20245
ko:K07160	mys:NF92_20250
ko:K01126	mys:NF92_20255
ko:K03218	mys:NF92_20260
ko:K01883	mys:NF92_20265
ko:K01770	mys:NF92_20270
ko:K00991	mys:NF92_20275
ko:K07736	mys:NF92_20280
ko:K02030	mys:NF92_03125
ko:K03574	mys:NF92_03135
ko:K00788	mys:NF92_03145
ko:K03153	mys:NF92_03150
ko:K03154	mys:NF92_03155
ko:K03149	mys:NF92_03160
ko:K00135	mys:NF92_03200
ko:K07250	mys:NF92_03205
ko:K00276	mys:NF92_03220
ko:K09684	mys:NF92_03230
ko:K03088	mys:NF92_03240
ko:K03885	mys:NF92_03245
ko:K07020	mys:NF92_03250
ko:K00941	mys:NF92_03255
ko:K03147	mys:NF92_03260
ko:K01142	mys:NF92_03295
ko:K01462	mys:NF92_03305
ko:K06048	mys:NF92_03325
ko:K00957	mys:NF92_03335
ko:K07560	mys:NF92_03365
ko:K15982	mys:NF92_03375
ko:K00528	mys:NF92_03385
ko:K00626	mys:NF92_03395
ko:K07068	mys:NF92_03405
ko:K07030	mys:NF92_07840
ko:K03655	mys:NF92_07845
ko:K05337	mys:NF92_07865
ko:K01958	mys:NF92_07900
ko:K08316	mys:NF92_07905
ko:K01061	mys:NF92_07915
ko:K14953	mys:NF92_07935
ko:K00954	mys:NF92_07945
ko:K07040	mys:NF92_07955
ko:K03685	mys:NF92_07960
ko:K10563	mys:NF92_07965
ko:K01546	mys:NF92_07975
ko:K01547	mys:NF92_07980
ko:K01548	mys:NF92_07985
ko:K07646	mys:NF92_07990
ko:K07667	mys:NF92_07995
ko:K03529	mys:NF92_08015
ko:K01823	mys:NF92_08035
ko:K03110	mys:NF92_08040
ko:K03320	mys:NF92_08045
ko:K04751	mys:NF92_08050
ko:K00990	mys:NF92_08055
ko:K03106	mys:NF92_08060
ko:K07258	mys:NF92_08075
ko:K02959	mys:NF92_08100
ko:K06960	mys:NF92_08105
ko:K02860	mys:NF92_08110
ko:K00554	mys:NF92_08115
ko:K02884	mys:NF92_08125
ko:K03100	mys:NF92_08130
ko:K03470	mys:NF92_08135
ko:K03977	mys:NF92_12550
ko:K00945	mys:NF92_12555
ko:K06178	mys:NF92_12560
ko:K06024	mys:NF92_12565
ko:K05896	mys:NF92_12570
ko:K04763	mys:NF92_12580
ko:K01515	mys:NF92_12585
ko:K01937	mys:NF92_12590
ko:K03631	mys:NF92_12605
ko:K00858	mys:NF92_12610
ko:K06442	mys:NF92_12615
ko:K01866	mys:NF92_12640
ko:K03652	mys:NF92_12650
ko:K01755	mys:NF92_12695
ko:K01940	mys:NF92_12700
ko:K03402	mys:NF92_12705
ko:K00611	mys:NF92_12710
ko:K00930	mys:NF92_12720
ko:K00620	mys:NF92_12725
ko:K00145	mys:NF92_12730
ko:K01890	mys:NF92_12735
ko:K01889	mys:NF92_12740
ko:K13529	mys:NF92_12745
ko:K00567	mys:NF92_12750
ko:K03437	mys:NF92_12785
ko:K02887	mys:NF92_12790
ko:K02916	mys:NF92_12795
ko:K02520	mys:NF92_12800
ko:K11065	mys:NF92_17120
ko:K06994	mys:NF92_17135
ko:K01738	mys:NF92_17200
ko:K06942	mys:NF92_17220
ko:K06200	mys:NF92_17250
ko:K03527	mys:NF92_17265
ko:K03601	mys:NF92_17275
ko:K03602	mys:NF92_17280
ko:K02446	mys:NF92_17295
ko:K01679	mys:NF92_17300
ko:K03088	mys:NF92_17310
ko:K07175	mys:NF92_17350
ko:K03922	mys:NF92_17355
ko:K00600	mys:NF92_17360
ko:K00867	mys:NF92_17370
ko:K03333	mys:NF92_17380
ko:K05845	mys:NF92_17400
ko:K00773	mys:NF92_21755
ko:K11991	mys:NF92_21780
ko:K04517	mys:NF92_21790
ko:K09957	mys:NF92_21795
ko:K05846	mys:NF92_21800
ko:K05846	mys:NF92_21805
ko:K05847	mys:NF92_21810
ko:K05845	mys:NF92_21815
ko:K00817	mys:NF92_21900
ko:K11717	mys:NF92_21915
ko:K01990	mys:NF92_21985
ko:K16649	mys:NF92_21990
ko:K01992	mys:NF92_21995
ko:K00375	mys:NF92_22020
ko:K03457	mys:NF92_09525
ko:K16841	mys:NF92_09535
ko:K16840	mys:NF92_09550
ko:K07127	mys:NF92_09555
ko:K00365	mys:NF92_09560
ko:K01487	mys:NF92_09565
ko:K02221	mys:NF92_13990
ko:K09772	mys:NF92_14010
ko:K06997	mys:NF92_14015
ko:K05810	mys:NF92_14020
ko:K03531	mys:NF92_14025
ko:K03589	mys:NF92_14030
ko:K01924	mys:NF92_14035
ko:K02563	mys:NF92_14040
ko:K03588	mys:NF92_14045
ko:K01925	mys:NF92_14050
ko:K01000	mys:NF92_14055
ko:K01929	mys:NF92_14060
ko:K01928	mys:NF92_14065
ko:K03587	mys:NF92_14070
ko:K03438	mys:NF92_14080
ko:K03925	mys:NF92_14085
ko:K00297	mys:NF92_14105
ko:K13787	mys:NF92_14110
ko:K14337	mys:NF92_14115
ko:K01626	mys:NF92_14135
ko:K13671	mys:NF92_14145
ko:K00655	mys:NF92_14150
ko:K01897	mys:NF92_14180
ko:K13668	mys:NF92_14190
ko:K02342	mys:NF92_14215
ko:K00766	mys:NF92_14220
ko:K02276	mys:NF92_14225
ko:K02346	mys:NF92_18575
ko:K06996	mys:NF92_18580
ko:K09861	mys:NF92_18585
ko:K09959	mys:NF92_18595
ko:K00138	mys:NF92_18600
ko:K01692	mys:NF92_18660
ko:K07671	mys:NF92_18675
ko:K03710	mys:NF92_18690
ko:K00059	mys:NF92_18695
ko:K01647	mys:NF92_18735
ko:K06994	mys:NF92_18770
ko:K12423	mys:NF92_18780
ko:K00275	mys:NF92_18790
ko:K01647	mys:NF92_18795
ko:K04750	mys:NF92_18800
ko:K00528	mys:NF92_18805
ko:K00831	mys:NF92_18815
ko:K06889	mys:NF92_18840
ko:K07032	mys:NF92_01650
ko:K03088	mys:NF92_01660
ko:K01687	mys:NF92_01700
ko:K01969	mys:NF92_01725
ko:K11263	mys:NF92_01730
ko:K07386	mys:NF92_01745
ko:K06929	mys:NF92_01760
ko:K02066	mys:NF92_01835
ko:K02066	mys:NF92_01840
ko:K02067	mys:NF92_01850
ko:K06860	mys:NF92_01890
ko:K03439	mys:NF92_01895
ko:K01596	mys:NF92_01915
ko:K00508	mys:NF92_06400
ko:K06949	mys:NF92_06405
ko:K00800	mys:NF92_06410
ko:K03088	mys:NF92_06425
ko:K02361	mys:NF92_06465
ko:K02575	mys:NF92_06525
ko:K00362	mys:NF92_06530
ko:K00363	mys:NF92_06535
ko:K01719	mys:NF92_06540
ko:K03657	mys:NF92_06565
ko:K10716	mys:NF92_06570
ko:K03426	mys:NF92_06575
ko:K18917	mys:NF92_06580
ko:K03657	mys:NF92_06585
ko:K07177	mys:NF92_06635
ko:K09118	mys:NF92_06640
ko:K00278	mys:NF92_11075
ko:K00767	mys:NF92_11080
ko:K00013	mys:NF92_11090
ko:K00817	mys:NF92_11095
ko:K01693	mys:NF92_11100
ko:K02501	mys:NF92_11105
ko:K01814	mys:NF92_11110
ko:K01817	mys:NF92_11110
ko:K01092	mys:NF92_11115
ko:K02500	mys:NF92_11120
ko:K01496	mys:NF92_11125
ko:K03564	mys:NF92_11130
ko:K02503	mys:NF92_11135
ko:K06994	mys:NF92_11140
ko:K01609	mys:NF92_11165
ko:K01696	mys:NF92_11170
ko:K01695	mys:NF92_11175
ko:K11741	mys:NF92_11190
ko:K00873	mys:NF92_11195
ko:K10805	mys:NF92_11200
ko:K16012	mys:NF92_11225
ko:K16013	mys:NF92_11230
ko:K00426	mys:NF92_11235
ko:K00425	mys:NF92_11240
ko:K01999	mys:NF92_11265
ko:K01997	mys:NF92_11270
ko:K01998	mys:NF92_11275
ko:K01995	mys:NF92_11280
ko:K01996	mys:NF92_11285
ko:K02274	mys:NF92_11305
ko:K08174	mys:NF92_11330
ko:K18654	mys:NF92_11340
ko:K18653	mys:NF92_11345
ko:K00666	mys:NF92_11350
ko:K18851	mys:NF92_15680
ko:K05522	mys:NF92_15700
ko:K01808	mys:NF92_15705
ko:K01256	mys:NF92_15720
ko:K06886	mys:NF92_15745
ko:K01187	mys:NF92_15750
ko:K06911	mys:NF92_15755
ko:K07107	mys:NF92_15765
ko:K15371	mys:NF92_15770
ko:K02351	mys:NF92_15790
ko:K07245	mys:NF92_15790
ko:K06959	mys:NF92_15825
ko:K00957	mys:NF92_15855
ko:K00955	mys:NF92_15860
ko:K11103	mys:NF92_15880
ko:K06902	mys:NF92_15890
ko:K07124	mys:NF92_15895
ko:K06915	mys:NF92_15910
ko:K13288	mys:NF92_15915
ko:K06221	mys:NF92_15945
ko:K04485	mys:NF92_20300
ko:K07067	mys:NF92_20310
ko:K01673	mys:NF92_20325
ko:K03575	mys:NF92_20330
ko:K01114	mys:NF92_20345
ko:K02015	mys:NF92_20375
ko:K02013	mys:NF92_20380
ko:K02016	mys:NF92_20385
ko:K03696	mys:NF92_20390
ko:K04567	mys:NF92_20400
ko:K03525	mys:NF92_20405
ko:K01579	mys:NF92_20410
ko:K01918	mys:NF92_20415
ko:K00950	mys:NF92_20435
ko:K01633	mys:NF92_20440
ko:K00796	mys:NF92_20445
ko:K01495	mys:NF92_20450
ko:K03798	mys:NF92_20455
ko:K14733	mys:NF92_20485
ko:K09807	mys:NF92_20495
ko:K09807	mys:NF92_20500
ko:K00760	mys:NF92_20505
ko:K04075	mys:NF92_20510
ko:K07259	mys:NF92_20520
ko:K01507	mys:NF92_20525
ko:K05794	mys:NF92_20560
ko:K18939	mys:NF92_04610
ko:K07735	mys:NF92_00145
ko:K01869	mys:NF92_00170
ko:K07148	mys:NF92_00180
ko:K00161	mys:NF92_00195
ko:K00162	mys:NF92_00200
ko:K00627	mys:NF92_00205
ko:K11735	mys:NF92_00240
ko:K01858	mys:NF92_00250
ko:K02990	mys:NF92_00290
ko:K02963	mys:NF92_00300
ko:K02939	mys:NF92_00305
ko:K01704	mys:NF92_00320
ko:K01703	mys:NF92_00325
ko:K09456	mys:NF92_04950
ko:K01692	mys:NF92_04955
ko:K02616	mys:NF92_04960
ko:K01692	mys:NF92_04965
ko:K02950	mys:NF92_04995
ko:K02992	mys:NF92_05000
ko:K02355	mys:NF92_05005
ko:K02358	mys:NF92_05010
ko:K00819	mys:NF92_05045
ko:K00101	mys:NF92_05085
ko:K03735	mys:NF92_05110
ko:K03736	mys:NF92_05115
ko:K00626	mys:NF92_05120
ko:K00275	mys:NF92_05135
ko:K02946	mys:NF92_05140
ko:K02906	mys:NF92_05145
ko:K02926	mys:NF92_05150
ko:K02892	mys:NF92_05155
ko:K02886	mys:NF92_05160
ko:K02965	mys:NF92_05165
ko:K02890	mys:NF92_05170
ko:K02982	mys:NF92_05175
ko:K02878	mys:NF92_05180
ko:K02904	mys:NF92_05185
ko:K02961	mys:NF92_05190
ko:K02874	mys:NF92_05210
ko:K11159	mys:NF92_09850
ko:K07157	mys:NF92_03415
ko:K01692	mys:NF92_03420
ko:K18688	mys:NF92_03425
ko:K00666	mys:NF92_03440
ko:K05337	mys:NF92_03455
ko:K00059	mys:NF92_03460
ko:K02066	mys:NF92_03465
ko:K02066	mys:NF92_03475
ko:K02067	mys:NF92_03480
ko:K02067	mys:NF92_03485
ko:K02067	mys:NF92_03490
ko:K02067	mys:NF92_03495
ko:K02067	mys:NF92_03500
ko:K02067	mys:NF92_03505
ko:K18481	mys:NF92_03510
ko:K18481	mys:NF92_03515
ko:K00697	mys:NF92_03520
ko:K01322	mys:NF92_03595
ko:K00382	mys:NF92_03610
ko:K01673	mys:NF92_03615
ko:K07110	mys:NF92_03655
ko:K06994	mys:NF92_03665
ko:K00973	mys:NF92_03680
ko:K17947	mys:NF92_03695
ko:K05303	mys:NF92_03710
ko:K07460	mys:NF92_08190
ko:K07391	mys:NF92_08195
ko:K04096	mys:NF92_08200
ko:K01673	mys:NF92_08205
ko:K03733	mys:NF92_08240
ko:K06994	mys:NF92_08250
ko:K02967	mys:NF92_08275
ko:K02357	mys:NF92_08280
ko:K05350	mys:NF92_08295
ko:K03811	mys:NF92_08305
ko:K09903	mys:NF92_08315
ko:K02838	mys:NF92_08320
ko:K00981	mys:NF92_08325
ko:K01061	mys:NF92_08340
ko:K06941	mys:NF92_08380
ko:K00099	mys:NF92_08400
ko:K06976	mys:NF92_08415
ko:K04567	mys:NF92_12810
ko:K03701	mys:NF92_12830
ko:K13639	mys:NF92_12860
ko:K03702	mys:NF92_12865
ko:K09146	mys:NF92_12870
ko:K06994	mys:NF92_12890
ko:K06994	mys:NF92_12900
ko:K00859	mys:NF92_12915
ko:K02945	mys:NF92_12920
ko:K14257	mys:NF92_12980
ko:K09251	mys:NF92_13005
ko:K06994	mys:NF92_13025
ko:K03449	mys:NF92_13035
ko:K06718	mys:NF92_13070
ko:K00836	mys:NF92_13075
ko:K06720	mys:NF92_13080
ko:K10674	mys:NF92_13085
ko:K03762	mys:NF92_13090
ko:K14698	mys:NF92_13095
ko:K05846	mys:NF92_17405
ko:K05847	mys:NF92_17410
ko:K05846	mys:NF92_17415
ko:K03929	mys:NF92_17425
ko:K01607	mys:NF92_17435
ko:K00128	mys:NF92_17450
ko:K05917	mys:NF92_17470
ko:K15981	mys:NF92_17485
ko:K12503	mys:NF92_17495
ko:K11068	mys:NF92_17500
ko:K06888	mys:NF92_17515
ko:K18455	mys:NF92_17525
ko:K03624	mys:NF92_17535
ko:K01754	mys:NF92_17545
ko:K01739	mys:NF92_17555
ko:K01697	mys:NF92_17565
ko:K00626	mys:NF92_17580
ko:K08289	mys:NF92_17585
ko:K00140	mys:NF92_17595
ko:K01692	mys:NF92_17605
ko:K01692	mys:NF92_17615
ko:K16653	mys:NF92_22045
ko:K16652	mys:NF92_22050
ko:K13686	mys:NF92_22055
ko:K11387	mys:NF92_22060
ko:K11385	mys:NF92_22075
ko:K11386	mys:NF92_22080
ko:K16264	mys:NF92_22090
ko:K12437	mys:NF92_22105
ko:K12428	mys:NF92_22110
ko:K18851	mys:NF92_22120
ko:K18851	mys:NF92_22125
ko:K18851	mys:NF92_22130
ko:K13687	mys:NF92_22135
ko:K14136	mys:NF92_22140
ko:K16650	mys:NF92_22150
ko:K01854	mys:NF92_22155
ko:K00459	mys:NF92_22210
ko:K14952	mys:NF92_22225
ko:K01875	mys:NF92_22240
ko:K07507	mys:NF92_22275
ko:K18955	mys:NF92_06445
ko:K11738	mys:NF92_09855
ko:K00077	mys:NF92_09865
ko:K03889	mys:NF92_14230
ko:K03890	mys:NF92_14235
ko:K03891	mys:NF92_14240
ko:K02275	mys:NF92_14265
ko:K01953	mys:NF92_14270
ko:K00856	mys:NF92_14275
ko:K00865	mys:NF92_14290
ko:K02231	mys:NF92_14300
ko:K00768	mys:NF92_14305
ko:K02233	mys:NF92_14310
ko:K00826	mys:NF92_14320
ko:K00605	mys:NF92_14325
ko:K01255	mys:NF92_14330
ko:K09131	mys:NF92_14340
ko:K00658	mys:NF92_14345
ko:K07071	mys:NF92_14350
ko:K03801	mys:NF92_14355
ko:K03644	mys:NF92_14360
ko:K10531	mys:NF92_14385
ko:K01915	mys:NF92_14405
ko:K05523	mys:NF92_14430
ko:K15977	mys:NF92_14435
ko:K15977	mys:NF92_14440
ko:K00982	mys:NF92_14485
ko:K01915	mys:NF92_14490
ko:K00606	mys:NF92_14510
ko:K02616	mys:NF92_18850
ko:K00389	mys:NF92_18875
ko:K14953	mys:NF92_18885
ko:K14953	mys:NF92_18890
ko:K03704	mys:NF92_18950
ko:K03639	mys:NF92_18955
ko:K03635	mys:NF92_18980
ko:K03637	mys:NF92_18990
ko:K10843	mys:NF92_19010
ko:K06994	mys:NF92_19035
ko:K01782	mys:NF92_19055
ko:K00626	mys:NF92_19060
ko:K14267	mys:NF92_19075
ko:K01796	mys:NF92_19085
ko:K07068	mys:NF92_19110
ko:K00626	mys:NF92_19125
ko:K01692	mys:NF92_19130
ko:K16648	mys:NF92_02030
ko:K03088	mys:NF92_02095
ko:K01207	mys:NF92_02100
ko:K07044	mys:NF92_02135
ko:K03321	mys:NF92_02150
ko:K02048	mys:NF92_02155
ko:K00059	mys:NF92_02170
ko:K00626	mys:NF92_02175
ko:K03696	mys:NF92_06680
ko:K05602	mys:NF92_06715
ko:K00528	mys:NF92_06730
ko:K02836	mys:NF92_06750
ko:K09812	mys:NF92_06765
ko:K09811	mys:NF92_06770
ko:K03664	mys:NF92_06775
ko:K00135	mys:NF92_06785
ko:K01652	mys:NF92_06790
ko:K13993	mys:NF92_06805
ko:K03929	mys:NF92_06870
ko:K03929	mys:NF92_06875
ko:K01835	mys:NF92_06885
ko:K12410	mys:NF92_06940
ko:K03294	mys:NF92_11395
ko:K09771	mys:NF92_11400
ko:K06720	mys:NF92_11445
ko:K01153	mys:NF92_11465
ko:K03427	mys:NF92_11470
ko:K01154	mys:NF92_11475
ko:K05712	mys:NF92_11545
ko:K03325	mys:NF92_11555
ko:K08982	mys:NF92_11575
ko:K13953	mys:NF92_11630
ko:K06994	mys:NF92_15985
ko:K03564	mys:NF92_16010
ko:K00997	mys:NF92_16020
ko:K11533	mys:NF92_16025
ko:K11082	mys:NF92_16060
ko:K11083	mys:NF92_16065
ko:K11084	mys:NF92_16070
ko:K11081	mys:NF92_16075
ko:K03710	mys:NF92_16095
ko:K00666	mys:NF92_16140
ko:K02428	mys:NF92_16165
ko:K00989	mys:NF92_16170
ko:K01776	mys:NF92_16180
ko:K06891	mys:NF92_16215
ko:K00763	mys:NF92_16220
ko:K08281	mys:NF92_16230
ko:K00688	mys:NF92_16245
ko:K16147	mys:NF92_16250
ko:K00700	mys:NF92_16255
ko:K09153	mys:NF92_20590
ko:K01784	mys:NF92_20595
ko:K06978	mys:NF92_20605
ko:K02341	mys:NF92_20700
ko:K03168	mys:NF92_20710
ko:K03704	mys:NF92_20720
ko:K06877	mys:NF92_20725
ko:K07044	mys:NF92_20750
ko:K06994	mys:NF92_20755
ko:K12510	mys:NF92_20790
ko:K01673	mys:NF92_20805
ko:K01637	mys:NF92_03775
ko:K00074	mys:NF92_03780
ko:K01941	mys:NF92_03785
ko:K09967	mys:NF92_03790
ko:K09967	mys:NF92_03795
ko:K00574	mys:NF92_03810
ko:K16645	mys:NF92_03835
ko:K01619	mys:NF92_03860
ko:K14953	mys:NF92_03880
ko:K00075	mys:NF92_03920
ko:K15521	mys:NF92_03960
ko:K01834	mys:NF92_04000
ko:K07768	mys:NF92_04005
ko:K07776	mys:NF92_04010
ko:K01265	mys:NF92_08435
ko:K02232	mys:NF92_08440
ko:K00116	mys:NF92_08460
ko:K02348	mys:NF92_08465
ko:K03404	mys:NF92_08470
ko:K02224	mys:NF92_08480
ko:K06994	mys:NF92_08510
ko:K12433	mys:NF92_08520
ko:K16785	mys:NF92_08535
ko:K16786	mys:NF92_08540
ko:K16787	mys:NF92_08540
ko:K02302	mys:NF92_08545
ko:K01881	mys:NF92_08560
ko:K09748	mys:NF92_08580
ko:K02600	mys:NF92_08585
ko:K13771	mys:NF92_08590
ko:K05916	mys:NF92_08595
ko:K06994	mys:NF92_00575
ko:K01569	mys:NF92_00585
ko:K01421	mys:NF92_00610
ko:K07001	mys:NF92_00625
ko:K07001	mys:NF92_00660
ko:K06994	mys:NF92_00685
ko:K17218	mys:NF92_00700
ko:K01644	mys:NF92_00735
ko:K02895	mys:NF92_05215
ko:K02931	mys:NF92_05220
ko:K02954	mys:NF92_05225
ko:K03929	mys:NF92_05230
ko:K00262	mys:NF92_05245
ko:K02994	mys:NF92_05255
ko:K02933	mys:NF92_05260
ko:K02881	mys:NF92_05265
ko:K02988	mys:NF92_05270
ko:K02907	mys:NF92_05275
ko:K02876	mys:NF92_05280
ko:K04773	mys:NF92_05300
ko:K03076	mys:NF92_05325
ko:K00939	mys:NF92_05330
ko:K01265	mys:NF92_05335
ko:K01790	mys:NF92_05345
ko:K07192	mys:NF92_05360
ko:K02518	mys:NF92_05375
ko:K02919	mys:NF92_05380
ko:K02952	mys:NF92_05385
ko:K02948	mys:NF92_05390
ko:K02986	mys:NF92_05395
ko:K03040	mys:NF92_05400
ko:K02879	mys:NF92_05405
ko:K06173	mys:NF92_05410
ko:K14743	mys:NF92_05460
ko:K03466	mys:NF92_05470
ko:K02871	mys:NF92_05490
ko:K02996	mys:NF92_05495
ko:K03431	mys:NF92_05500
ko:K01113	mys:NF92_05505
ko:K01868	mys:NF92_09920
ko:K00995	mys:NF92_09930
ko:K08256	mys:NF92_09940
ko:K06215	mys:NF92_09950
ko:K10805	mys:NF92_09955
ko:K08681	mys:NF92_09960
ko:K01159	mys:NF92_09990
ko:K03550	mys:NF92_09995
ko:K03551	mys:NF92_10000
ko:K03210	mys:NF92_10005
ko:K03072	mys:NF92_10010
ko:K03074	mys:NF92_10015
ko:K02035	mys:NF92_10020
ko:K00759	mys:NF92_10025
ko:K00951	mys:NF92_10030
ko:K17836	mys:NF92_10035
ko:K03768	mys:NF92_10040
ko:K01892	mys:NF92_10050
ko:K07032	mys:NF92_10065
ko:K07054	mys:NF92_10075
ko:K03929	mys:NF92_10080
ko:K01876	mys:NF92_10085
ko:K01560	mys:NF92_10095
ko:K07089	mys:NF92_10105
ko:K07478	mys:NF92_10145
ko:K01872	mys:NF92_10155
ko:K07447	mys:NF92_10160
ko:K07082	mys:NF92_10165
ko:K00014	mys:NF92_10170
ko:K00598	mys:NF92_10185
ko:K02654	mys:NF92_10190
ko:K01736	mys:NF92_10195
ko:K03924	mys:NF92_14565
ko:K07226	mys:NF92_14585
ko:K07164	mys:NF92_14595
ko:K00817	mys:NF92_14605
ko:K01104	mys:NF92_14615
ko:K02227	mys:NF92_14625
ko:K07241	mys:NF92_14630
ko:K07107	mys:NF92_14675
