ko:K08151	ctjt:CTJTET1_04085
ko:K00161	ctjt:CTJTET1_01275
ko:K14219	ctjt:CTJTET1_t04912
ko:K14232	ctjt:CTJTET1_t04908
ko:K14229	ctjt:CTJTET1_t04916
ko:K14224	ctjt:CTJTET1_t04918
ko:K02926	ctjt:CTJTET1_02800
ko:K02906	ctjt:CTJTET1_02805
ko:K00604	ctjt:CTJTET1_02815
ko:K00677	ctjt:CTJTET1_02820
ko:K02372	ctjt:CTJTET1_02825
ko:K02535	ctjt:CTJTET1_02830
ko:K03820	ctjt:CTJTET1_02835
ko:K06925	ctjt:CTJTET1_02850
ko:K03671	ctjt:CTJTET1_02860
ko:K03216	ctjt:CTJTET1_02865
ko:K01876	ctjt:CTJTET1_02875
ko:K01892	ctjt:CTJTET1_02880
ko:K07783	ctjt:CTJTET1_02885
ko:K02337	ctjt:CTJTET1_02890
ko:K03311	ctjt:CTJTET1_02945
ko:K00382	ctjt:CTJTET1_02960
ko:K03644	ctjt:CTJTET1_02965
ko:K03222	ctjt:CTJTET1_02970
ko:K03223	ctjt:CTJTET1_02985
ko:K03226	ctjt:CTJTET1_02990
ko:K03228	ctjt:CTJTET1_03000
ko:K02455	ctjt:CTJTET1_03030
ko:K02453	ctjt:CTJTET1_03040
ko:K03572	ctjt:CTJTET1_03055
ko:K00162	ctjt:CTJTET1_01280
ko:K00627	ctjt:CTJTET1_01285
ko:K00688	ctjt:CTJTET1_01290
ko:K02313	ctjt:CTJTET1_01300
ko:K03217	ctjt:CTJTET1_01305
ko:K04487	ctjt:CTJTET1_01340
ko:K07083	ctjt:CTJTET1_01360
ko:K01962	ctjt:CTJTET1_01375
ko:K01448	ctjt:CTJTET1_01390
ko:K01928	ctjt:CTJTET1_01395
ko:K03587	ctjt:CTJTET1_01400
ko:K03438	ctjt:CTJTET1_01410
ko:K02313	ctjt:CTJTET1_01425
ko:K00347	ctjt:CTJTET1_01440
ko:K00348	ctjt:CTJTET1_01445
ko:K00349	ctjt:CTJTET1_01450
ko:K00350	ctjt:CTJTET1_01455
ko:K02437	ctjt:CTJTET1_01460
ko:K03800	ctjt:CTJTET1_01475
ko:K03696	ctjt:CTJTET1_01480
ko:K00566	ctjt:CTJTET1_01485
ko:K01963	ctjt:CTJTET1_01520
ko:K04564	ctjt:CTJTET1_01525
ko:K01868	ctjt:CTJTET1_03090
ko:K01867	ctjt:CTJTET1_03110
ko:K03702	ctjt:CTJTET1_03115
ko:K01689	ctjt:CTJTET1_03120
ko:K00240	ctjt:CTJTET1_03140
ko:K00239	ctjt:CTJTET1_03145
ko:K03424	ctjt:CTJTET1_03160
ko:K03562	ctjt:CTJTET1_03170
ko:K03641	ctjt:CTJTET1_03185
ko:K03640	ctjt:CTJTET1_03190
ko:K03648	ctjt:CTJTET1_03230
ko:K03657	ctjt:CTJTET1_03235
ko:K03092	ctjt:CTJTET1_03240
ko:K06137	ctjt:CTJTET1_03245
ko:K13941	ctjt:CTJTET1_03260
ko:K01633	ctjt:CTJTET1_03265
ko:K03086	ctjt:CTJTET1_03270
ko:K02968	ctjt:CTJTET1_03280
ko:K09779	ctjt:CTJTET1_00010
ko:K02435	ctjt:CTJTET1_00015
ko:K02434	ctjt:CTJTET1_00025
ko:K02517	ctjt:CTJTET1_00055
ko:K00425	ctjt:CTJTET1_00070
ko:K00426	ctjt:CTJTET1_00075
ko:K07175	ctjt:CTJTET1_00080
ko:K01870	ctjt:CTJTET1_00105
ko:K03100	ctjt:CTJTET1_00110
ko:K02909	ctjt:CTJTET1_00120
ko:K02835	ctjt:CTJTET1_00125
ko:K02493	ctjt:CTJTET1_00130
ko:K03106	ctjt:CTJTET1_00135
ko:K02959	ctjt:CTJTET1_00140
ko:K00554	ctjt:CTJTET1_00145
ko:K02884	ctjt:CTJTET1_00150
ko:K03470	ctjt:CTJTET1_00155
ko:K00942	ctjt:CTJTET1_00160
ko:K01874	ctjt:CTJTET1_00170
ko:K03581	ctjt:CTJTET1_00175
ko:K01494	ctjt:CTJTET1_00205
ko:K03551	ctjt:CTJTET1_00215
ko:K03685	ctjt:CTJTET1_01540
ko:K04485	ctjt:CTJTET1_01545
ko:K01749	ctjt:CTJTET1_01550
ko:K01873	ctjt:CTJTET1_01560
ko:K03046	ctjt:CTJTET1_01620
ko:K03043	ctjt:CTJTET1_01625
ko:K02935	ctjt:CTJTET1_01630
ko:K02864	ctjt:CTJTET1_01635
ko:K02863	ctjt:CTJTET1_01640
ko:K02867	ctjt:CTJTET1_01645
ko:K02601	ctjt:CTJTET1_01650
ko:K03073	ctjt:CTJTET1_01655
ko:K02358	ctjt:CTJTET1_01660
ko:K02518	ctjt:CTJTET1_01665
ko:K01803	ctjt:CTJTET1_01700
ko:K03601	ctjt:CTJTET1_01705
ko:K03602	ctjt:CTJTET1_01710
ko:K01662	ctjt:CTJTET1_01720
ko:K00873	ctjt:CTJTET1_01725
ko:K03701	ctjt:CTJTET1_01730
ko:K02343	ctjt:CTJTET1_01735
ko:K09747	ctjt:CTJTET1_01740
ko:K11381	ctjt:CTJTET1_01770
ko:K03980	ctjt:CTJTET1_03315
ko:K01151	ctjt:CTJTET1_03320
ko:K02986	ctjt:CTJTET1_03330
ko:K07146	ctjt:CTJTET1_03335
ko:K13789	ctjt:CTJTET1_03340
ko:K01698	ctjt:CTJTET1_03370
ko:K00346	ctjt:CTJTET1_03375
ko:K03582	ctjt:CTJTET1_03400
ko:K03583	ctjt:CTJTET1_03405
ko:K03168	ctjt:CTJTET1_03420
ko:K02221	ctjt:CTJTET1_03430
ko:K03581	ctjt:CTJTET1_03470
ko:K06861	ctjt:CTJTET1_03480
ko:K01627	ctjt:CTJTET1_03490
ko:K06180	ctjt:CTJTET1_03510
ko:K06960	ctjt:CTJTET1_03515
ko:K02469	ctjt:CTJTET1_03520
ko:K02470	ctjt:CTJTET1_03525
ko:K02492	ctjt:CTJTET1_03530
ko:K03224	ctjt:CTJTET1_03570
ko:K14226	ctjt:CTJTET1_t04924
ko:K01980	ctjt:CTJTET1_r04948
ko:K01980	ctjt:CTJTET1_r04952
ko:K01980	ctjt:CTJTET1_r04950
ko:K01985	ctjt:CTJTET1_r04936
ko:K01985	ctjt:CTJTET1_r04940
ko:K01985	ctjt:CTJTET1_r04938
ko:K14222	ctjt:CTJTET1_t04926
ko:K14223	ctjt:CTJTET1_t04928
ko:K14233	ctjt:CTJTET1_t04932
ko:K14218	ctjt:CTJTET1_t04872
ko:K14219	ctjt:CTJTET1_t04906
ko:K01255	ctjt:CTJTET1_00240
ko:K02340	ctjt:CTJTET1_00250
ko:K07056	ctjt:CTJTET1_00255
ko:K00164	ctjt:CTJTET1_00290
ko:K00658	ctjt:CTJTET1_00295
ko:K05810	ctjt:CTJTET1_00300
ko:K03526	ctjt:CTJTET1_00305
ko:K02400	ctjt:CTJTET1_00320
ko:K02405	ctjt:CTJTET1_00325
ko:K01866	ctjt:CTJTET1_00330
ko:K03596	ctjt:CTJTET1_00340
ko:K03301	ctjt:CTJTET1_00345
ko:K00099	ctjt:CTJTET1_00380
ko:K03629	ctjt:CTJTET1_00395
ko:K02338	ctjt:CTJTET1_00400
ko:K03664	ctjt:CTJTET1_00405
ko:K03734	ctjt:CTJTET1_00410
ko:K01491	ctjt:CTJTET1_00415
ko:K02902	ctjt:CTJTET1_00450
ko:K00705	ctjt:CTJTET1_00455
ko:K04058	ctjt:CTJTET1_00465
ko:K03230	ctjt:CTJTET1_00470
ko:K03229	ctjt:CTJTET1_00475
ko:K06942	ctjt:CTJTET1_00480
ko:K03686	ctjt:CTJTET1_01775
ko:K02970	ctjt:CTJTET1_01780
ko:K01338	ctjt:CTJTET1_01790
ko:K03733	ctjt:CTJTET1_01805
ko:K06287	ctjt:CTJTET1_01815
ko:K03075	ctjt:CTJTET1_01830
ko:K01462	ctjt:CTJTET1_01835
ko:K02528	ctjt:CTJTET1_01840
ko:K06888	ctjt:CTJTET1_01850
ko:K03523	ctjt:CTJTET1_01875
ko:K01714	ctjt:CTJTET1_01890
ko:K00928	ctjt:CTJTET1_01895
ko:K00133	ctjt:CTJTET1_01900
ko:K00215	ctjt:CTJTET1_01905
ko:K00800	ctjt:CTJTET1_01915
ko:K00891	ctjt:CTJTET1_01920
ko:K01736	ctjt:CTJTET1_01925
ko:K01735	ctjt:CTJTET1_01930
ko:K13832	ctjt:CTJTET1_01935
ko:K03758	ctjt:CTJTET1_01955
ko:K00024	ctjt:CTJTET1_01965
ko:K01810	ctjt:CTJTET1_01975
ko:K03665	ctjt:CTJTET1_01980
ko:K06167	ctjt:CTJTET1_01985
ko:K09996	ctjt:CTJTET1_01990
ko:K06966	ctjt:CTJTET1_02025
ko:K09131	ctjt:CTJTET1_02030
ko:K02417	ctjt:CTJTET1_03585
ko:K03219	ctjt:CTJTET1_03595
ko:K02838	ctjt:CTJTET1_03615
ko:K09903	ctjt:CTJTET1_03620
ko:K02357	ctjt:CTJTET1_03625
ko:K02967	ctjt:CTJTET1_03630
ko:K03162	ctjt:CTJTET1_03640
ko:K09013	ctjt:CTJTET1_03670
ko:K09015	ctjt:CTJTET1_03675
ko:K11717	ctjt:CTJTET1_03680
ko:K07220	ctjt:CTJTET1_03700
ko:K03306	ctjt:CTJTET1_03705
ko:K00927	ctjt:CTJTET1_03710
ko:K10773	ctjt:CTJTET1_03730
ko:K03650	ctjt:CTJTET1_03735
ko:K01613	ctjt:CTJTET1_03740
ko:K03070	ctjt:CTJTET1_03750
ko:K03977	ctjt:CTJTET1_03760
ko:K03544	ctjt:CTJTET1_03770
ko:K01358	ctjt:CTJTET1_03775
ko:K03545	ctjt:CTJTET1_03780
ko:K03569	ctjt:CTJTET1_03795
ko:K11753	ctjt:CTJTET1_00485
ko:K02834	ctjt:CTJTET1_00495
ko:K02519	ctjt:CTJTET1_00500
ko:K02600	ctjt:CTJTET1_00505
ko:K02945	ctjt:CTJTET1_00510
ko:K00384	ctjt:CTJTET1_00515
ko:K00997	ctjt:CTJTET1_00520
ko:K00208	ctjt:CTJTET1_00545
ko:K03575	ctjt:CTJTET1_00560
ko:K04077	ctjt:CTJTET1_00575
ko:K04078	ctjt:CTJTET1_00580
ko:K08602	ctjt:CTJTET1_00585
ko:K03695	ctjt:CTJTET1_00590
ko:K01783	ctjt:CTJTET1_00630
ko:K02356	ctjt:CTJTET1_00635
ko:K02160	ctjt:CTJTET1_00640
ko:K01961	ctjt:CTJTET1_00645
ko:K02871	ctjt:CTJTET1_00655
ko:K02996	ctjt:CTJTET1_00660
ko:K02029	ctjt:CTJTET1_00675
ko:K07058	ctjt:CTJTET1_00690
ko:K06999	ctjt:CTJTET1_00715
ko:K07566	ctjt:CTJTET1_00720
ko:K09125	ctjt:CTJTET1_00735
ko:K07039	ctjt:CTJTET1_00740
ko:K10206	ctjt:CTJTET1_02040
ko:K01881	ctjt:CTJTET1_02055
ko:K03705	ctjt:CTJTET1_02060
ko:K03687	ctjt:CTJTET1_02065
ko:K04043	ctjt:CTJTET1_02070
ko:K12573	ctjt:CTJTET1_02075
ko:K07164	ctjt:CTJTET1_02080
ko:K06041	ctjt:CTJTET1_02085
ko:K00658	ctjt:CTJTET1_02090
ko:K00912	ctjt:CTJTET1_02105
ko:K03437	ctjt:CTJTET1_02110
ko:K06969	ctjt:CTJTET1_02115
ko:K00793	ctjt:CTJTET1_02120
ko:K07738	ctjt:CTJTET1_02125
ko:K06204	ctjt:CTJTET1_02130
ko:K03101	ctjt:CTJTET1_02135
ko:K03310	ctjt:CTJTET1_02140
ko:K00748	ctjt:CTJTET1_02150
ko:K09817	ctjt:CTJTET1_02175
ko:K09816	ctjt:CTJTET1_02180
ko:K03979	ctjt:CTJTET1_02185
ko:K02899	ctjt:CTJTET1_02190
ko:K02888	ctjt:CTJTET1_02195
ko:K07042	ctjt:CTJTET1_02215
ko:K03183	ctjt:CTJTET1_02245
ko:K01778	ctjt:CTJTET1_02255
ko:K01358	ctjt:CTJTET1_02260
ko:K00600	ctjt:CTJTET1_02265
ko:K01770	ctjt:CTJTET1_02280
ko:K02946	ctjt:CTJTET1_02290
ko:K00057	ctjt:CTJTET1_03820
ko:K02412	ctjt:CTJTET1_03835
ko:K02411	ctjt:CTJTET1_03840
ko:K02409	ctjt:CTJTET1_03845
ko:K13819	ctjt:CTJTET1_03850
ko:K04487	ctjt:CTJTET1_03855
ko:K06178	ctjt:CTJTET1_03870
ko:K03524	ctjt:CTJTET1_03880
ko:K05837	ctjt:CTJTET1_03885
ko:K01875	ctjt:CTJTET1_03900
ko:K11752	ctjt:CTJTET1_03905
ko:K14652	ctjt:CTJTET1_03910
ko:K00794	ctjt:CTJTET1_03915
ko:K03310	ctjt:CTJTET1_03930
ko:K03466	ctjt:CTJTET1_03950
ko:K00351	ctjt:CTJTET1_03960
ko:K03210	ctjt:CTJTET1_03965
ko:K00231	ctjt:CTJTET1_03985
ko:K01599	ctjt:CTJTET1_03995
ko:K03723	ctjt:CTJTET1_04000
ko:K01872	ctjt:CTJTET1_04005
ko:K02355	ctjt:CTJTET1_02295
ko:K02992	ctjt:CTJTET1_02300
ko:K02950	ctjt:CTJTET1_02305
ko:K03797	ctjt:CTJTET1_02315
ko:K07462	ctjt:CTJTET1_02350
ko:K12257	ctjt:CTJTET1_02360
ko:K00806	ctjt:CTJTET1_02370
ko:K00981	ctjt:CTJTET1_02380
ko:K00945	ctjt:CTJTET1_02385
ko:K00655	ctjt:CTJTET1_02390
ko:K01887	ctjt:CTJTET1_02395
ko:K00790	ctjt:CTJTET1_02400
ko:K02836	ctjt:CTJTET1_02420
ko:K00991	ctjt:CTJTET1_02435
ko:K06173	ctjt:CTJTET1_02440
ko:K07710	ctjt:CTJTET1_02460
ko:K07714	ctjt:CTJTET1_02465
ko:K03584	ctjt:CTJTET1_02475
ko:K08998	ctjt:CTJTET1_02500
ko:K01890	ctjt:CTJTET1_02510
ko:K02034	ctjt:CTJTET1_02525
ko:K03210	ctjt:CTJTET1_04115
ko:K01599	ctjt:CTJTET1_04150
ko:K03723	ctjt:CTJTET1_04155
ko:K14237	ctjt:CTJTET1_t04880
ko:K01872	ctjt:CTJTET1_04160
ko:K00615	ctjt:CTJTET1_04170
ko:K01241	ctjt:CTJTET1_04175
ko:K02356	ctjt:CTJTET1_04185
ko:K01929	ctjt:CTJTET1_04205
ko:K01000	ctjt:CTJTET1_04210
ko:K01925	ctjt:CTJTET1_04215
ko:K03588	ctjt:CTJTET1_04225
ko:K02563	ctjt:CTJTET1_04230
ko:K06960	ctjt:CTJTET1_04240
ko:K00791	ctjt:CTJTET1_04255
ko:K09710	ctjt:CTJTET1_04270
ko:K09458	ctjt:CTJTET1_04275
ko:K03621	ctjt:CTJTET1_04495
ko:K03431	ctjt:CTJTET1_04525
ko:K00820	ctjt:CTJTET1_04530
ko:K03834	ctjt:CTJTET1_04535
ko:K03834	ctjt:CTJTET1_04545
ko:K06890	ctjt:CTJTET1_04550
ko:K03110	ctjt:CTJTET1_04555
ko:K01903	ctjt:CTJTET1_04560
ko:K01902	ctjt:CTJTET1_04565
ko:K09760	ctjt:CTJTET1_04580
ko:K17103	ctjt:CTJTET1_04585
ko:K03439	ctjt:CTJTET1_04600
ko:K00075	ctjt:CTJTET1_04610
ko:K03625	ctjt:CTJTET1_04620
ko:K02916	ctjt:CTJTET1_04630
ko:K02887	ctjt:CTJTET1_04635
ko:K01889	ctjt:CTJTET1_04640
ko:K11720	ctjt:CTJTET1_04650
ko:K07091	ctjt:CTJTET1_04655
ko:K04075	ctjt:CTJTET1_04660
ko:K03798	ctjt:CTJTET1_04665
ko:K00962	ctjt:CTJTET1_04670
ko:K02956	ctjt:CTJTET1_04675
ko:K01265	ctjt:CTJTET1_04725
ko:K03321	ctjt:CTJTET1_04750
ko:K03527	ctjt:CTJTET1_04765
ko:K14234	ctjt:CTJTET1_t04914
ko:K14225	ctjt:CTJTET1_t04920
ko:K14228	ctjt:CTJTET1_t04898
ko:K14228	ctjt:CTJTET1_t04934
ko:K14232	ctjt:CTJTET1_t04864
ko:K14230	ctjt:CTJTET1_t04876
ko:K01977	ctjt:CTJTET1_r04944
ko:K01977	ctjt:CTJTET1_r04942
ko:K01977	ctjt:CTJTET1_r04946
ko:K14220	ctjt:CTJTET1_t04862
ko:K14234	ctjt:CTJTET1_t04866
ko:K14234	ctjt:CTJTET1_t04884
ko:K14236	ctjt:CTJTET1_t04868
ko:K14225	ctjt:CTJTET1_t04922
ko:K00351	ctjt:CTJTET1_04110
ko:K00231	ctjt:CTJTET1_04140
ko:K14237	ctjt:CTJTET1_t04930
ko:K01840	ctjt:CTJTET1_01530
ko:K06972	ctjt:CTJTET1_04575
ko:K11645	ctjt:CTJTET1_01120
ko:K08274	ctjt:CTJTET1_01970
ko:K07081	ctjt:CTJTET1_02240
ko:K02520	ctjt:CTJTET1_04625
ko:K18476	ctjt:CTJTET1_04090
ko:K01802	ctjt:CTJTET1_02870
ko:K08275	ctjt:CTJTET1_00425
ko:K08719	ctjt:CTJTET1_03815
ko:K01921	ctjt:CTJTET1_04235
ko:K01924	ctjt:CTJTET1_04235
ko:K01829	ctjt:CTJTET1_04325
ko:K01829	ctjt:CTJTET1_04345
ko:K03309	ctjt:CTJTET1_02100
ko:K07033	ctjt:CTJTET1_03665
ko:K01214	ctjt:CTJTET1_00225
ko:K07171	ctjt:CTJTET1_04035
ko:K03825	ctjt:CTJTET1_02415
ko:K03496	ctjt:CTJTET1_03095
ko:K03111	ctjt:CTJTET1_00235
ko:K03497	ctjt:CTJTET1_03685
ko:K02626	ctjt:CTJTET1_01950
ko:K11991	ctjt:CTJTET1_04680
ko:K02031	ctjt:CTJTET1_03695
ko:K04771	ctjt:CTJTET1_04570
ko:K07496	ctjt:CTJTET1_04100
ko:K19411	ctjt:CTJTET1_03605
ko:K19405	ctjt:CTJTET1_03600
ko:K07125	ctjt:CTJTET1_01675
ko:K12132	ctjt:CTJTET1_01555
ko:K20265	ctjt:CTJTET1_01125
ko:K20074	ctjt:CTJTET1_01345
ko:K22100	ctjt:CTJTET1_01695
ko:K11749	ctjt:CTJTET1_00385
ko:K22099	ctjt:CTJTET1_03250
ko:K00526	ctjt:CTJTET1_04595
ko:K02314	ctjt:CTJTET1_02645
ko:K02316	ctjt:CTJTET1_04400
ko:K01520	ctjt:CTJTET1_01515
ko:K00287	ctjt:CTJTET1_03255
ko:K03553	ctjt:CTJTET1_03460
ko:K02335	ctjt:CTJTET1_02615
ko:K02032	ctjt:CTJTET1_03690
ko:K00525	ctjt:CTJTET1_04590
ko:K02050	ctjt:CTJTET1_04740
ko:K02051	ctjt:CTJTET1_04740
ko:K01534	ctjt:CTJTET1_03890
ko:K16239	ctjt:CTJTET1_00445
