ko:K02345	yel:LC20_03135
ko:K03291	yel:LC20_04529
ko:K00656	yel:LC20_04531
ko:K04069	yel:LC20_04532
ko:K11925	yel:LC20_04533
ko:K02063	yel:LC20_04537
ko:K03650	yel:LC20_05317
ko:K03217	yel:LC20_05318
ko:K08998	yel:LC20_05319
ko:K02914	yel:LC20_05322
ko:K06074	yel:LC20_02965
ko:K00432	yel:LC20_02966
ko:K04764	yel:LC20_02971
ko:K01889	yel:LC20_02974
ko:K02887	yel:LC20_02975
ko:K01868	yel:LC20_02977
ko:K08308	yel:LC20_02987
ko:K11604	yel:LC20_02988
ko:K11605	yel:LC20_02991
ko:K11606	yel:LC20_02992
ko:K01847	yel:LC20_02995
ko:K07588	yel:LC20_02996
ko:K11264	yel:LC20_02997
ko:K01815	yel:LC20_03004
ko:K00065	yel:LC20_03005
ko:K01731	yel:LC20_03007
ko:K10193	yel:LC20_03008
ko:K10194	yel:LC20_03009
ko:K10195	yel:LC20_03010
ko:K10192	yel:LC20_03011
ko:K02478	yel:LC20_03849
ko:K08177	yel:LC20_03853
ko:K03322	yel:LC20_03864
ko:K11535	yel:LC20_03866
ko:K01885	yel:LC20_03867
ko:K09962	yel:LC20_03869
ko:K09954	yel:LC20_03871
ko:K03528	yel:LC20_03873
ko:K06203	yel:LC20_03874
ko:K02043	yel:LC20_04701
ko:K06166	yel:LC20_04702
ko:K06165	yel:LC20_04703
ko:K06164	yel:LC20_04704
ko:K06163	yel:LC20_04705
ko:K05781	yel:LC20_04706
ko:K05780	yel:LC20_04707
ko:K06162	yel:LC20_04708
ko:K05774	yel:LC20_04709
ko:K06167	yel:LC20_04710
ko:K09979	yel:LC20_04712
ko:K10112	yel:LC20_04714
ko:K02026	yel:LC20_04715
ko:K02025	yel:LC20_04716
ko:K02027	yel:LC20_04717
ko:K01581	yel:LC20_04721
ko:K03756	yel:LC20_04722
ko:K07461	yel:LC20_04723
ko:K03824	yel:LC20_04724
ko:K08303	yel:LC20_04726
ko:K01992	yel:LC20_04729
ko:K01993	yel:LC20_04730
ko:K05592	yel:LC20_04732
ko:K05803	yel:LC20_04733
ko:K00962	yel:LC20_04734
ko:K02956	yel:LC20_04735
ko:K03177	yel:LC20_04736
ko:K02834	yel:LC20_04737
ko:K02519	yel:LC20_04738
ko:K02600	yel:LC20_04739
ko:K09748	yel:LC20_04740
ko:K03075	yel:LC20_04742
ko:K03431	yel:LC20_04743
ko:K00796	yel:LC20_04744
ko:K02427	yel:LC20_04747
ko:K07574	yel:LC20_04748
ko:K03624	yel:LC20_04749
ko:K00343	yel:LC20_03683
ko:K00342	yel:LC20_03684
ko:K00341	yel:LC20_03685
ko:K00340	yel:LC20_03686
ko:K00339	yel:LC20_03687
ko:K00338	yel:LC20_03688
ko:K00337	yel:LC20_03689
ko:K00334	yel:LC20_03692
ko:K13378	yel:LC20_03693
ko:K00331	yel:LC20_03694
ko:K00330	yel:LC20_03695
ko:K14260	yel:LC20_03699
ko:K09161	yel:LC20_03704
ko:K09899	yel:LC20_03705
ko:K00925	yel:LC20_03706
ko:K13788	yel:LC20_03708
ko:K02821	yel:LC20_03710
ko:K02822	yel:LC20_03711
ko:K03475	yel:LC20_03712
ko:K07095	yel:LC20_03714
ko:K07071	yel:LC20_03718
ko:K10017	yel:LC20_03719
ko:K10015	yel:LC20_03720
ko:K10016	yel:LC20_03721
ko:K10014	yel:LC20_03722
ko:K03186	yel:LC20_03724
ko:K00764	yel:LC20_03725
ko:K03558	yel:LC20_03726
ko:K03749	yel:LC20_03727
ko:K11754	yel:LC20_03728
ko:K01963	yel:LC20_03729
ko:K03975	yel:LC20_03730
ko:K06173	yel:LC20_03731
ko:K03473	yel:LC20_03733
ko:K02062	yel:LC20_04538
ko:K03580	yel:LC20_04542
ko:K06177	yel:LC20_04543
ko:K05801	yel:LC20_04545
ko:K04744	yel:LC20_04546
ko:K03771	yel:LC20_04547
ko:K00097	yel:LC20_04548
ko:K02528	yel:LC20_04549
ko:K06195	yel:LC20_04550
ko:K01525	yel:LC20_04551
ko:K01955	yel:LC20_04557
ko:K01956	yel:LC20_04558
ko:K00215	yel:LC20_04559
ko:K03527	yel:LC20_04561
ko:K03774	yel:LC20_04562
ko:K03101	yel:LC20_04563
ko:K01870	yel:LC20_04564
ko:K11753	yel:LC20_04565
ko:K02968	yel:LC20_04566
ko:K03717	yel:LC20_04567
ko:K03313	yel:LC20_04568
ko:K03686	yel:LC20_04569
ko:K04043	yel:LC20_04570
ko:K07034	yel:LC20_04571
ko:K03831	yel:LC20_04574
ko:K00616	yel:LC20_04576
ko:K09861	yel:LC20_04577
ko:K01733	yel:LC20_04578
ko:K00872	yel:LC20_04579
ko:K12524	yel:LC20_04580
ko:K07773	yel:LC20_04582
ko:K05805	yel:LC20_04583
ko:K05804	yel:LC20_04584
ko:K03720	yel:LC20_04587
ko:K08309	yel:LC20_04588
ko:K07038	yel:LC20_03014
ko:K06956	yel:LC20_03015
ko:K11066	yel:LC20_03016
ko:K01730	yel:LC20_03019
ko:K08169	yel:LC20_03020
ko:K03799	yel:LC20_03021
ko:K03607	yel:LC20_03027
ko:K07346	yel:LC20_03039
ko:K07347	yel:LC20_03041
ko:K03312	yel:LC20_03054
ko:K06182	yel:LC20_03055
ko:K01467	yel:LC20_03056
ko:K03554	yel:LC20_03928
ko:K01738	yel:LC20_03945
ko:K02784	yel:LC20_03947
ko:K07259	yel:LC20_04750
ko:K07771	yel:LC20_04751
ko:K07643	yel:LC20_04752
ko:K03979	yel:LC20_04753
ko:K02899	yel:LC20_04755
ko:K02888	yel:LC20_04756
ko:K02523	yel:LC20_04757
ko:K03402	yel:LC20_04762
ko:K02558	yel:LC20_04764
ko:K03841	yel:LC20_04765
ko:K01507	yel:LC20_04768
ko:K09800	yel:LC20_04770
ko:K07278	yel:LC20_04771
ko:K07304	yel:LC20_04772
ko:K07109	yel:LC20_04775
ko:K01082	yel:LC20_04776
ko:K01119	yel:LC20_04778
ko:K07322	yel:LC20_04779
ko:K03773	yel:LC20_04780
ko:K07269	yel:LC20_04781
ko:K02939	yel:LC20_04783
ko:K02963	yel:LC20_04784
ko:K02990	yel:LC20_04786
ko:K06889	yel:LC20_04788
ko:K09456	yel:LC20_04791
ko:K03218	yel:LC20_04792
ko:K12573	yel:LC20_04793
ko:K13771	yel:LC20_04794
ko:K01939	yel:LC20_04795
ko:K09937	yel:LC20_04796
ko:K08344	yel:LC20_03743
ko:K01085	yel:LC20_03748
ko:K02760	yel:LC20_03751
ko:K02761	yel:LC20_03752
ko:K01223	yel:LC20_03753
ko:K02759	yel:LC20_03754
ko:K02024	yel:LC20_03755
ko:K01779	yel:LC20_03756
ko:K00647	yel:LC20_03763
ko:K15461	yel:LC20_03764
ko:K09906	yel:LC20_03767
ko:K07090	yel:LC20_03768
ko:K07261	yel:LC20_03769
ko:K01736	yel:LC20_03770
ko:K07320	yel:LC20_03771
ko:K08296	yel:LC20_03773
ko:K01782	yel:LC20_03775
ko:K06076	yel:LC20_03779
ko:K04754	yel:LC20_03781
ko:K02200	yel:LC20_03783
ko:K02198	yel:LC20_03785
ko:K02197	yel:LC20_03786
ko:K06211	yel:LC20_04596
ko:K04485	yel:LC20_04599
ko:K01079	yel:LC20_04600
ko:K07186	yel:LC20_04601
ko:K03784	yel:LC20_04602
ko:K01839	yel:LC20_04603
ko:K00758	yel:LC20_04604
ko:K01619	yel:LC20_04605
ko:K03317	yel:LC20_04606
ko:K03424	yel:LC20_04607
ko:K02837	yel:LC20_04611
ko:K03789	yel:LC20_04612
ko:K02344	yel:LC20_04613
ko:K00564	yel:LC20_04614
ko:K03484	yel:LC20_04627
ko:K05880	yel:LC20_04628
ko:K01051	yel:LC20_04629
ko:K00612	yel:LC20_04640
ko:K05881	yel:LC20_04642
ko:K05879	yel:LC20_04643
ko:K05878	yel:LC20_04645
ko:K13735	yel:LC20_06202
ko:K07225	yel:LC20_06237
ko:K04087	yel:LC20_04800
ko:K04088	yel:LC20_04801
ko:K03665	yel:LC20_04802
ko:K03666	yel:LC20_04803
ko:K08483	yel:LC20_03948
ko:K02484	yel:LC20_03950
ko:K13888	yel:LC20_03953
ko:K05685	yel:LC20_03954
ko:K12339	yel:LC20_03955
ko:K02045	yel:LC20_03956
ko:K02046	yel:LC20_03959
ko:K02048	yel:LC20_03960
ko:K03290	yel:LC20_03961
ko:K00885	yel:LC20_03966
ko:K01788	yel:LC20_03967
ko:K01639	yel:LC20_03968
ko:K07223	yel:LC20_03969
ko:K00065	yel:LC20_03973
ko:K01011	yel:LC20_03974
ko:K17209	yel:LC20_03979
ko:K17208	yel:LC20_03981
ko:K00228	yel:LC20_03983
ko:K09768	yel:LC20_03984
ko:K02569	yel:LC20_03989
ko:K02568	yel:LC20_03990
ko:K02567	yel:LC20_03991
ko:K02570	yel:LC20_03992
ko:K02572	yel:LC20_03993
ko:K07685	yel:LC20_03994
ko:K18324	yel:LC20_03997
ko:K00791	yel:LC20_04804
ko:K03572	yel:LC20_04805
ko:K01448	yel:LC20_04806
ko:K06925	yel:LC20_04807
ko:K17758	yel:LC20_04808
ko:K17759	yel:LC20_04808
ko:K13288	yel:LC20_04813
ko:K06949	yel:LC20_04814
ko:K01613	yel:LC20_04815
ko:K04568	yel:LC20_04817
ko:K00244	yel:LC20_04819
ko:K00245	yel:LC20_04820
ko:K00246	yel:LC20_04821
ko:K00247	yel:LC20_04822
ko:K03098	yel:LC20_04824
ko:K02356	yel:LC20_04826
ko:K04077	yel:LC20_04829
ko:K04078	yel:LC20_04830
ko:K07113	yel:LC20_04832
ko:K01744	yel:LC20_04834
ko:K07791	yel:LC20_04835
ko:K03926	yel:LC20_04836
ko:K04084	yel:LC20_04837
ko:K02196	yel:LC20_03787
ko:K02195	yel:LC20_03788
ko:K02194	yel:LC20_03790
ko:K02193	yel:LC20_03791
ko:K07347	yel:LC20_03795
ko:K06193	yel:LC20_03799
ko:K01223	yel:LC20_03803
ko:K02752	yel:LC20_03805
ko:K02753	yel:LC20_03805
ko:K03487	yel:LC20_03806
ko:K18480	yel:LC20_03810
ko:K02067	yel:LC20_03811
ko:K02065	yel:LC20_03812
ko:K08167	yel:LC20_03815
ko:K08305	yel:LC20_03819
ko:K02012	yel:LC20_03821
ko:K02010	yel:LC20_03824
ko:K03329	yel:LC20_03825
ko:K07267	yel:LC20_03827
ko:K01223	yel:LC20_03828
ko:K03488	yel:LC20_03831
ko:K07306	yel:LC20_03833
ko:K07307	yel:LC20_03835
ko:K00005	yel:LC20_04647
ko:K01478	yel:LC20_04651
ko:K03758	yel:LC20_04652
ko:K02849	yel:LC20_04661
ko:K11531	yel:LC20_04664
ko:K10558	yel:LC20_04665
ko:K10556	yel:LC20_04666
ko:K10557	yel:LC20_04667
ko:K10555	yel:LC20_04668
ko:K08321	yel:LC20_04669
ko:K11530	yel:LC20_04670
ko:K10974	yel:LC20_04674
ko:K11720	yel:LC20_04678
ko:K07091	yel:LC20_04679
ko:K01255	yel:LC20_04680
ko:K02339	yel:LC20_04681
ko:K01873	yel:LC20_04682
ko:K03828	yel:LC20_04683
ko:K09893	yel:LC20_04685
ko:K00611	yel:LC20_04686
ko:K02035	yel:LC20_04688
ko:K02033	yel:LC20_04689
ko:K02034	yel:LC20_04690
ko:K02647	yel:LC20_04844
ko:K01630	yel:LC20_04847
ko:K07245	yel:LC20_03131
ko:K07156	yel:LC20_03132
ko:K02217	yel:LC20_03133
ko:K01259	yel:LC20_03136
ko:K10857	yel:LC20_03138
ko:K01354	yel:LC20_03139
ko:K09900	yel:LC20_03141
ko:K09918	yel:LC20_03142
ko:K05591	yel:LC20_03143
ko:K08289	yel:LC20_03145
ko:K09917	yel:LC20_03146
ko:K01665	yel:LC20_03147
ko:K01752	yel:LC20_03150
ko:K02793	yel:LC20_03156
ko:K02794	yel:LC20_03156
ko:K02795	yel:LC20_03157
ko:K02014	yel:LC20_03161
ko:K00563	yel:LC20_03166
ko:K03587	yel:LC20_03167
ko:K12973	yel:LC20_03171
ko:K11734	yel:LC20_03172
ko:K01439	yel:LC20_04002
ko:K06999	yel:LC20_04005
ko:K06957	yel:LC20_04009
ko:K07054	yel:LC20_04011
ko:K01923	yel:LC20_04012
ko:K07287	yel:LC20_04013
ko:K01714	yel:LC20_04014
ko:K03567	yel:LC20_04015
ko:K03564	yel:LC20_04016
ko:K03548	yel:LC20_04017
ko:K00537	yel:LC20_04020
ko:K10763	yel:LC20_04021
ko:K02824	yel:LC20_04022
ko:K00761	yel:LC20_04023
ko:K01933	yel:LC20_04025
ko:K11175	yel:LC20_04026
ko:K00657	yel:LC20_04027
ko:K02036	yel:LC20_04028
ko:K02038	yel:LC20_04029
ko:K02037	yel:LC20_04030
ko:K00937	yel:LC20_04031
ko:K01524	yel:LC20_04032
ko:K04046	yel:LC20_04037
ko:K07345	yel:LC20_04040
ko:K07347	yel:LC20_04042
ko:K07799	yel:LC20_04051
ko:K07788	yel:LC20_04052
ko:K07789	yel:LC20_04053
ko:K07642	yel:LC20_04056
ko:K07664	yel:LC20_04057
ko:K16087	yel:LC20_04857
ko:K07225	yel:LC20_04858
ko:K02016	yel:LC20_04859
ko:K02015	yel:LC20_04860
ko:K02013	yel:LC20_04861
ko:K02014	yel:LC20_04880
ko:K07112	yel:LC20_04884
ko:K03229	yel:LC20_04886
ko:K03228	yel:LC20_04887
ko:K03227	yel:LC20_04888
ko:K03226	yel:LC20_04889
ko:K03225	yel:LC20_04890
ko:K03224	yel:LC20_04893
ko:K03222	yel:LC20_04900
ko:K03221	yel:LC20_04903
ko:K15350	yel:LC20_04905
ko:K15346	yel:LC20_04908
ko:K03758	yel:LC20_03183
ko:K06147	yel:LC20_03185
ko:K07178	yel:LC20_03186
ko:K07506	yel:LC20_03191
ko:K18334	yel:LC20_03195
ko:K00041	yel:LC20_03198
ko:K01685	yel:LC20_03199
ko:K01740	yel:LC20_03204
ko:K03776	yel:LC20_03210
ko:K01193	yel:LC20_03213
ko:K02532	yel:LC20_03214
ko:K05789	yel:LC20_03224
ko:K13735	yel:LC20_03233
ko:K09946	yel:LC20_04058
ko:K08303	yel:LC20_04060
ko:K02783	yel:LC20_04064
ko:K02782	yel:LC20_04065
ko:K02783	yel:LC20_04065
ko:K02781	yel:LC20_04066
ko:K00068	yel:LC20_04067
ko:K02466	yel:LC20_04068
ko:K02468	yel:LC20_04069
ko:K02467	yel:LC20_04070
ko:K00941	yel:LC20_04073
ko:K01951	yel:LC20_04077
ko:K00088	yel:LC20_04079
ko:K07088	yel:LC20_04083
ko:K03977	yel:LC20_04084
ko:K17713	yel:LC20_04086
ko:K01892	yel:LC20_04088
ko:K15539	yel:LC20_04090
ko:K02656	yel:LC20_04091
ko:K06941	yel:LC20_04092
ko:K00940	yel:LC20_04093
ko:K05367	yel:LC20_04097
ko:K06894	yel:LC20_04098
ko:K07751	yel:LC20_04102
ko:K04755	yel:LC20_04104
ko:K04044	yel:LC20_04106
ko:K04082	yel:LC20_04107
ko:K13628	yel:LC20_04108
ko:K04488	yel:LC20_04109
ko:K04487	yel:LC20_04110
ko:K13643	yel:LC20_04111
ko:K15396	yel:LC20_04112
ko:K01092	yel:LC20_04113
ko:K15368	yel:LC20_04911
ko:K15344	yel:LC20_04912
ko:K03220	yel:LC20_04915
ko:K03219	yel:LC20_04916
ko:K14978	yel:LC20_04918
ko:K14979	yel:LC20_04919
ko:K11102	yel:LC20_04920
ko:K01895	yel:LC20_04921
ko:K14393	yel:LC20_04923
ko:K00602	yel:LC20_04926
ko:K01945	yel:LC20_04927
ko:K05787	yel:LC20_04929
ko:K09891	yel:LC20_04930
ko:K05982	yel:LC20_04931
ko:K01599	yel:LC20_04932
ko:K03426	yel:LC20_04933
ko:K07740	yel:LC20_04934
ko:K03147	yel:LC20_04935
ko:K00788	yel:LC20_04936
ko:K03148	yel:LC20_04937
ko:K03154	yel:LC20_04938
ko:K03149	yel:LC20_04939
ko:K03150	yel:LC20_04940
ko:K03046	yel:LC20_04941
ko:K03043	yel:LC20_04942
ko:K02935	yel:LC20_04943
ko:K02864	yel:LC20_04944
ko:K02863	yel:LC20_04946
ko:K02867	yel:LC20_04947
ko:K02601	yel:LC20_04948
ko:K03073	yel:LC20_04949
ko:K00867	yel:LC20_04955
ko:K05820	yel:LC20_04119
ko:K00600	yel:LC20_04120
ko:K05916	yel:LC20_04121
ko:K07048	yel:LC20_04125
ko:K04751	yel:LC20_04128
ko:K01950	yel:LC20_04129
ko:K07715	yel:LC20_04130
ko:K07711	yel:LC20_04132
ko:K01952	yel:LC20_04135
ko:K11991	yel:LC20_04137
ko:K16321	yel:LC20_04146
ko:K00997	yel:LC20_04147
ko:K03584	yel:LC20_04150
ko:K03685	yel:LC20_04152
ko:K03100	yel:LC20_04153
ko:K03596	yel:LC20_04154
ko:K03803	yel:LC20_04158
ko:K03598	yel:LC20_04159
ko:K03597	yel:LC20_04160
ko:K03088	yel:LC20_04161
ko:K00278	yel:LC20_04162
ko:K15460	yel:LC20_04163
ko:K05590	yel:LC20_04164
ko:K03524	yel:LC20_04956
ko:K00075	yel:LC20_04957
ko:K00230	yel:LC20_04959
ko:K03498	yel:LC20_04960
ko:K01825	yel:LC20_04964
ko:K05368	yel:LC20_04966
ko:K03182	yel:LC20_04967
ko:K01698	yel:LC20_04969
ko:K03424	yel:LC20_04970
ko:K03117	yel:LC20_04975
ko:K03116	yel:LC20_04976
ko:K03688	yel:LC20_04977
ko:K03690	yel:LC20_04978
ko:K03183	yel:LC20_04979
ko:K09760	yel:LC20_04980
ko:K06200	yel:LC20_04982
ko:K00757	yel:LC20_04985
ko:K01061	yel:LC20_04986
ko:K00549	yel:LC20_04987
ko:K07088	yel:LC20_04989
ko:K01126	yel:LC20_04990
ko:K05816	yel:LC20_04991
ko:K05815	yel:LC20_04992
ko:K05814	yel:LC20_04993
ko:K05813	yel:LC20_04994
ko:K01996	yel:LC20_05005
ko:K00031	yel:LC20_03306
ko:K06181	yel:LC20_03307
ko:K12152	yel:LC20_03308
ko:K00566	yel:LC20_03309
ko:K07153	yel:LC20_03310
ko:K01756	yel:LC20_03311
ko:K07660	yel:LC20_03313
ko:K07637	yel:LC20_03314
ko:K01258	yel:LC20_03316
ko:K12410	yel:LC20_03317
ko:K00884	yel:LC20_03319
ko:K09808	yel:LC20_03320
ko:K09810	yel:LC20_03321
ko:K09808	yel:LC20_03322
ko:K03723	yel:LC20_03323
ko:K03885	yel:LC20_03326
ko:K07000	yel:LC20_03327
ko:K01207	yel:LC20_03328
ko:K07251	yel:LC20_03329
ko:K07337	yel:LC20_03330
ko:K02503	yel:LC20_03332
ko:K00014	yel:LC20_03333
ko:K02778	yel:LC20_03336
ko:K02779	yel:LC20_03336
ko:K03424	yel:LC20_03339
ko:K02341	yel:LC20_03340
ko:K00943	yel:LC20_03341
ko:K07082	yel:LC20_03342
ko:K02619	yel:LC20_03343
ko:K09458	yel:LC20_03344
ko:K02078	yel:LC20_03345
ko:K00059	yel:LC20_03346
ko:K00645	yel:LC20_03347
ko:K00648	yel:LC20_03348
ko:K03621	yel:LC20_03349
ko:K02911	yel:LC20_03350
ko:K07040	yel:LC20_03351
ko:K03648	yel:LC20_04170
ko:K03687	yel:LC20_04171
ko:K00858	yel:LC20_04172
ko:K03631	yel:LC20_04173
ko:K06186	yel:LC20_04174
ko:K09801	yel:LC20_04175
ko:K03664	yel:LC20_04177
ko:K12149	yel:LC20_04220
ko:K01995	yel:LC20_05006
ko:K01998	yel:LC20_05007
ko:K01997	yel:LC20_05008
ko:K01999	yel:LC20_05009
ko:K03089	yel:LC20_05012
ko:K09811	yel:LC20_05013
ko:K09812	yel:LC20_05014
ko:K03110	yel:LC20_05015
ko:K08316	yel:LC20_05016
ko:K08993	yel:LC20_05017
ko:K01534	yel:LC20_05021
ko:K04085	yel:LC20_05022
ko:K09125	yel:LC20_05024
ko:K00113	yel:LC20_05026
ko:K00112	yel:LC20_05027
ko:K00111	yel:LC20_05028
ko:K02445	yel:LC20_05030
ko:K01126	yel:LC20_05031
ko:K01048	yel:LC20_05034
ko:K05834	yel:LC20_05035
ko:K05835	yel:LC20_05036
ko:K03654	yel:LC20_05037
ko:K01058	yel:LC20_05038
ko:K05786	yel:LC20_05040
ko:K03284	yel:LC20_05041
ko:K03657	yel:LC20_05047
ko:K03733	yel:LC20_05049
ko:K09921	yel:LC20_05050
ko:K01778	yel:LC20_05051
ko:K06202	yel:LC20_05053
ko:K05851	yel:LC20_05054
ko:K01749	yel:LC20_05055
ko:K01719	yel:LC20_05056
ko:K02496	yel:LC20_05057
ko:K02498	yel:LC20_05058
ko:K10012	yel:LC20_02960
ko:K06179	yel:LC20_03353
ko:K01465	yel:LC20_03357
ko:K12149	yel:LC20_03358
ko:K12148	yel:LC20_03361
ko:K02846	yel:LC20_03362
ko:K11744	yel:LC20_03365
ko:K07146	yel:LC20_03368
ko:K02517	yel:LC20_03373
ko:K15977	yel:LC20_03374
ko:K08161	yel:LC20_03375
ko:K03305	yel:LC20_03376
ko:K03669	yel:LC20_03379
ko:K03670	yel:LC20_03380
ko:K11941	yel:LC20_03381
ko:K11105	yel:LC20_03384
ko:K11179	yel:LC20_03391
ko:K01512	yel:LC20_03392
ko:K06969	yel:LC20_03395
ko:K11940	yel:LC20_03396
ko:K06929	yel:LC20_03397
ko:K01734	yel:LC20_03401
ko:K03658	yel:LC20_03403
ko:K07343	yel:LC20_03407
ko:K13633	yel:LC20_04228
ko:K03647	yel:LC20_04238
ko:K02000	yel:LC20_04241
ko:K02001	yel:LC20_04242
ko:K02002	yel:LC20_04243
ko:K02342	yel:LC20_04245
ko:K03469	yel:LC20_04246
ko:K01069	yel:LC20_04248
ko:K08307	yel:LC20_04249
ko:K06222	yel:LC20_04253
ko:K03695	yel:LC20_04255
ko:K05810	yel:LC20_04256
ko:K06180	yel:LC20_04257
ko:K05807	yel:LC20_04258
ko:K05809	yel:LC20_04259
ko:K14170	yel:LC20_04260
ko:K14187	yel:LC20_04261
ko:K01626	yel:LC20_04262
ko:K07792	yel:LC20_04264
ko:K07283	yel:LC20_04265
ko:K02884	yel:LC20_04267
ko:K00554	yel:LC20_04268
ko:K02860	yel:LC20_04269
ko:K02959	yel:LC20_04270
ko:K03106	yel:LC20_04271
ko:K02852	yel:LC20_05062
ko:K02853	yel:LC20_05063
ko:K12582	yel:LC20_05064
ko:K16693	yel:LC20_05065
ko:K02805	yel:LC20_05066
ko:K16704	yel:LC20_05067
ko:K00973	yel:LC20_05068
ko:K02472	yel:LC20_05071
ko:K01791	yel:LC20_05072
ko:K05790	yel:LC20_05073
ko:K02851	yel:LC20_05074
ko:K03628	yel:LC20_05076
ko:K03671	yel:LC20_05077
ko:K03732	yel:LC20_05078
ko:K01524	yel:LC20_05079
ko:K03656	yel:LC20_05082
ko:K03769	yel:LC20_05083
ko:K00053	yel:LC20_05087
ko:K02521	yel:LC20_05089
ko:K01754	yel:LC20_05090
ko:K01687	yel:LC20_05091
ko:K00826	yel:LC20_05092
ko:K11258	yel:LC20_05093
ko:K01652	yel:LC20_05094
ko:K07318	yel:LC20_05098
ko:K09897	yel:LC20_05105
ko:K02057	yel:LC20_05108
ko:K02057	yel:LC20_05109
ko:K03286	yel:LC20_03409
ko:K09911	yel:LC20_03410
ko:K04770	yel:LC20_03411
ko:K01716	yel:LC20_03412
ko:K09458	yel:LC20_03414
ko:K09857	yel:LC20_03415
ko:K06192	yel:LC20_03416
ko:K03808	yel:LC20_03417
ko:K15738	yel:LC20_03418
ko:K12297	yel:LC20_03419
ko:K07140	yel:LC20_03420
ko:K00254	yel:LC20_03422
ko:K01256	yel:LC20_03423
ko:K06915	yel:LC20_03426
ko:K13735	yel:LC20_03432
ko:K01893	yel:LC20_03449
ko:K09476	yel:LC20_03450
ko:K00813	yel:LC20_03451
ko:K03632	yel:LC20_03456
ko:K03804	yel:LC20_03457
ko:K03633	yel:LC20_03458
ko:K06219	yel:LC20_03459
ko:K00979	yel:LC20_03462
ko:K07173	yel:LC20_04274
ko:K01919	yel:LC20_04275
ko:K03563	yel:LC20_04281
ko:K01872	yel:LC20_04282
ko:K03565	yel:LC20_04283
ko:K03743	yel:LC20_04285
ko:K00864	yel:LC20_04290
ko:K00615	yel:LC20_04291
ko:K00615	yel:LC20_04292
ko:K17203	yel:LC20_04293
ko:K17204	yel:LC20_04294
ko:K17202	yel:LC20_04296
ko:K07308	yel:LC20_04298
