ko:K04042	cbo:CBO3545
ko:K03169	cbo:CBO1506
ko:K02003	cbo:CBO1510
ko:K02016	cbo:CBO0306
ko:K02015	cbo:CBO0311
ko:K02013	cbo:CBO0313
ko:K06153	cbo:CBO0320
ko:K03169	cbo:CBO1289
ko:K07566	cbo:CBO0142
ko:K02117	cbo:CBO2625
ko:K01756	cbo:CBO2396
ko:K06416	cbo:CBO2403
ko:K00995	cbo:CBO2406
ko:K00928	cbo:CBO2410
ko:K00962	cbo:CBO2413
ko:K02956	cbo:CBO2414
ko:K02687	cbo:CBO2957
ko:K03406	cbo:CBO3213
ko:K06187	cbo:CBO0033
ko:K04567	cbo:CBO3518
ko:K02864	cbo:CBO3490
ko:K09747	cbo:CBO0032
ko:K02863	cbo:CBO3491
ko:K02556	cbo:CBO2227
ko:K02406	cbo:CBO2730
ko:K02040	cbo:CBO0384
ko:K02037	cbo:CBO0385
ko:K02038	cbo:CBO0386
ko:K07043	cbo:CBO0392
ko:K03695	cbo:CBO0409
ko:K07009	cbo:CBO0410
ko:K06153	cbo:CBO0414
ko:K02238	cbo:CBO0415
ko:K00655	cbo:CBO0416
ko:K09779	cbo:CBO0422
ko:K01579	cbo:CBO0423
ko:K01918	cbo:CBO0424
ko:K00606	cbo:CBO0425
ko:K01624	cbo:CBO0193
ko:K06208	cbo:CBO1809
ko:K03431	cbo:CBO3420
ko:K00177	cbo:CBO3421
ko:K00174	cbo:CBO3423
ko:K00176	cbo:CBO3424
ko:K00929	cbo:CBO3426
ko:K00929	cbo:CBO3428
ko:K07137	cbo:CBO3429
ko:K00384	cbo:CBO3433
ko:K03671	cbo:CBO3434
ko:K01305	cbo:CBO3435
ko:K07461	cbo:CBO3345
ko:K01955	cbo:CBO2723
ko:K08483	cbo:CBO3438
ko:K02996	cbo:CBO3445
ko:K02871	cbo:CBO3446
ko:K02879	cbo:CBO3451
ko:K02986	cbo:CBO3453
ko:K02948	cbo:CBO3454
ko:K02919	cbo:CBO3456
ko:K02518	cbo:CBO3457
ko:K01265	cbo:CBO3459
ko:K00939	cbo:CBO3460
ko:K02876	cbo:CBO3462
ko:K02907	cbo:CBO3463
ko:K02988	cbo:CBO3464
ko:K02881	cbo:CBO3465
ko:K02954	cbo:CBO3468
ko:K02931	cbo:CBO3469
ko:K02874	cbo:CBO3471
ko:K02078	cbo:CBO2455
ko:K02405	cbo:CBO2641
ko:K02913	cbo:CBO3495
ko:K01222	cbo:CBO3360
ko:K00648	cbo:CBO0718
ko:K07089	cbo:CBO3256
ko:K02500	cbo:CBO1572
ko:K02501	cbo:CBO1569
ko:K00765	cbo:CBO1566
ko:K02502	cbo:CBO1565
ko:K03303	cbo:CBO1005
ko:K06888	cbo:CBO1058
ko:K00525	cbo:CBO2814
ko:K03555	cbo:CBO1800
ko:K00648	cbo:CBO3604
ko:K03500	cbo:CBO2507
ko:K02415	cbo:CBO2650
ko:K08591	cbo:CBO2156
ko:K02341	cbo:CBO0056
ko:K02400	cbo:CBO2645
ko:K03466	cbo:CBO2408
ko:K02781	cbo:CBO3414
ko:K06180	cbo:CBO2980
ko:K01677	cbo:CBO3442
ko:K04562	cbo:CBO2643
ko:K02837	cbo:CBO3329
ko:K09812	cbo:CBO3391
ko:K09811	cbo:CBO3390
ko:K02078	cbo:CBO3603
ko:K02160	cbo:CBO3598
ko:K03496	cbo:CBO3639
ko:K02119	cbo:CBO2626
ko:K03685	cbo:CBO2454
ko:K03497	cbo:CBO3638
ko:K01883	cbo:CBO3501
ko:K03763	cbo:CBO2423
ko:K03778	cbo:CBO3284
ko:K04096	cbo:CBO2438
ko:K07568	cbo:CBO3069
ko:K02003	cbo:CBO1950
ko:K02004	cbo:CBO1951
ko:K03569	cbo:CBO3002
ko:K00575	cbo:CBO2749
ko:K01962	cbo:CBO3594
ko:K02528	cbo:CBO0081
ko:K01990	cbo:CBO0559
ko:K02316	cbo:CBO2939
ko:K03498	cbo:CBO1319
ko:K03499	cbo:CBO1318
ko:K03497	cbo:CBO3640
ko:K02755	cbo:CBO0655
ko:K02756	cbo:CBO0655
ko:K02757	cbo:CBO0655
ko:K02838	cbo:CBO2432
ko:K02033	cbo:CBO1226
ko:K02335	cbo:CBO3014
ko:K02190	cbo:CBO0952
ko:K03438	cbo:CBO1454
ko:K03666	cbo:CBO1797
ko:K02888	cbo:CBO2989
ko:K02520	cbo:CBO3137
ko:K02835	cbo:CBO0139
ko:K00794	cbo:CBO2863
ko:K03409	cbo:CBO1787
ko:K03741	cbo:CBO0751
ko:K05799	cbo:CBO1091
ko:K02404	cbo:CBO2644
ko:K02416	cbo:CBO2744
ko:K07005	cbo:CBO1312
ko:K03786	cbo:CBO1898
ko:K03614	cbo:CBO0369
ko:K01154	cbo:CBO0679
ko:K03613	cbo:CBO0371
ko:K02621	cbo:CBO2769
ko:K02622	cbo:CBO2770
ko:K03734	cbo:CBO0377
ko:K03612	cbo:CBO0370
ko:K01998	cbo:CBO0455
ko:K03617	cbo:CBO0372
ko:K09121	cbo:CBO0103
ko:K03070	cbo:CBO0173
ko:K07813	cbo:CBO0332
ko:K07813	cbo:CBO0338
ko:K03307	cbo:CBO0367
ko:K00005	cbo:CBO0976
ko:K03830	cbo:CBO0980
ko:K07095	cbo:CBO0997
ko:K03413	cbo:CBO0998
ko:K04068	cbo:CBO1002
ko:K03521	cbo:CBO1007
ko:K03522	cbo:CBO1008
ko:K00793	cbo:CBO2865
ko:K03789	cbo:CBO3322
ko:K03787	cbo:CBO0233
ko:K05837	cbo:CBO2995
ko:K05515	cbo:CBO2999
ko:K03630	cbo:CBO3003
ko:K06287	cbo:CBO3004
ko:K06209	cbo:CBO3010
ko:K01751	cbo:CBO2888
ko:K07141	cbo:CBO2891
ko:K07402	cbo:CBO2892
ko:K07402	cbo:CBO2893
ko:K02013	cbo:CBO2896
ko:K02016	cbo:CBO2897
ko:K06901	cbo:CBO2901
ko:K03310	cbo:CBO2902
ko:K00566	cbo:CBO2905
ko:K03147	cbo:CBO2911
ko:K09764	cbo:CBO2914
ko:K02858	cbo:CBO2921
ko:K01126	cbo:CBO2928
ko:K06967	cbo:CBO2936
ko:K03571	cbo:CBO3000
ko:K03570	cbo:CBO3001
ko:K02759	cbo:CBO3356
ko:K00826	cbo:CBO2756
ko:K00385	cbo:CBO0959
ko:K03569	cbo:CBO0163
ko:K03609	cbo:CBO2997
ko:K07095	cbo:CBO3260
ko:K02035	cbo:CBO3264
ko:K02434	cbo:CBO3265
ko:K02433	cbo:CBO3266
ko:K02435	cbo:CBO3267
ko:K01972	cbo:CBO3270
ko:K09768	cbo:CBO3277
ko:K01810	cbo:CBO3278
ko:K03311	cbo:CBO3294
ko:K01951	cbo:CBO3295
ko:K00088	cbo:CBO3296
ko:K04078	cbo:CBO3299
ko:K00266	cbo:CBO3304
ko:K00528	cbo:CBO3305
ko:K01926	cbo:CBO3306
ko:K06158	cbo:CBO3307
ko:K04651	cbo:CBO0433
ko:K04651	cbo:CBO2219
ko:K00537	cbo:CBO1065
ko:K01995	cbo:CBO0456
ko:K02761	cbo:CBO3359
ko:K09931	cbo:CBO2613A
ko:K01814	cbo:CBO1570
ko:K00817	cbo:CBO1571
ko:K01496	cbo:CBO1573
ko:K01523	cbo:CBO1574
ko:K07112	cbo:CBO1577
ko:K01737	cbo:CBO1554
ko:K01495	cbo:CBO1556
ko:K06920	cbo:CBO1557
ko:K01619	cbo:CBO1563
ko:K00852	cbo:CBO1564
ko:K01693	cbo:CBO1568
ko:K11189	cbo:CBO2398
ko:K08303	cbo:CBO3122
ko:K05592	cbo:CBO2802
ko:K02422	cbo:CBO2734
ko:K02346	cbo:CBO2818
ko:K00526	cbo:CBO2813
ko:K02916	cbo:CBO3136
ko:K03688	cbo:CBO0026
ko:K03523	cbo:CBO0907
ko:K09458	cbo:CBO3599
ko:K02926	cbo:CBO3479
ko:K02994	cbo:CBO3467
ko:K02933	cbo:CBO3466
ko:K02952	cbo:CBO3455
ko:K03546	cbo:CBO0473
ko:K03615	cbo:CBO0368
ko:K02313	cbo:CBO0001
ko:K02338	cbo:CBO0002
ko:K00657	cbo:CBO1174
ko:K03704	cbo:CBO0282
ko:K04759	cbo:CBO1030
ko:K02343	cbo:CBO0031
ko:K03686	cbo:CBO2958
ko:K04652	cbo:CBO0431
ko:K04652	cbo:CBO2220
ko:K02600	cbo:CBO2420
ko:K03413	cbo:CBO2746
ko:K03040	cbo:CBO3452
ko:K01056	cbo:CBO3540
ko:K03629	cbo:CBO0004
ko:K03608	cbo:CBO2996
ko:K02769	cbo:CBO1991
ko:K04066	cbo:CBO2511
ko:K02770	cbo:CBO1991
ko:K02010	cbo:CBO1155
ko:K02004	cbo:CBO1392
ko:K02601	cbo:CBO3493
ko:K00266	cbo:CBO1645
ko:K06173	cbo:CBO3447
ko:K03703	cbo:CBO3380
ko:K10947	cbo:CBO0097
ko:K01963	cbo:CBO3595
ko:K01588	cbo:CBO2878
ko:K02428	cbo:CBO3261
ko:K02392	cbo:CBO2638
ko:K02408	cbo:CBO2663
ko:K02348	cbo:CBO2240
ko:K00111	cbo:CBO2244
ko:K00878	cbo:CBO2253
ko:K03826	cbo:CBO2255
ko:K01935	cbo:CBO2258
ko:K01012	cbo:CBO2259
ko:K03523	cbo:CBO2260
ko:K01262	cbo:CBO2263
ko:K06897	cbo:CBO2288
ko:K01462	cbo:CBO2289
ko:K03088	cbo:CBO2299
ko:K00945	cbo:CBO1808
ko:K07007	cbo:CBO1810
ko:K03671	cbo:CBO1820
ko:K04654	cbo:CBO1834
ko:K04656	cbo:CBO1835
ko:K07173	cbo:CBO0725
ko:K03439	cbo:CBO0499
ko:K01875	cbo:CBO0510
ko:K04564	cbo:CBO0521
ko:K06897	cbo:CBO0522
ko:K07258	cbo:CBO1859
ko:K00756	cbo:CBO1863
ko:K07699	cbo:CBO1872
ko:K06399	cbo:CBO1873
ko:K00651	cbo:CBO1874
ko:K00003	cbo:CBO1875
ko:K01740	cbo:CBO1876
ko:K03631	cbo:CBO1877
ko:K03402	cbo:CBO1878
ko:K00858	cbo:CBO1879
ko:K03738	cbo:CBO1935
ko:K03639	cbo:CBO1940
ko:K03750	cbo:CBO1941
ko:K07219	cbo:CBO1941
ko:K03750	cbo:CBO1942
ko:K05773	cbo:CBO1945
ko:K07240	cbo:CBO0533
ko:K07240	cbo:CBO0534
ko:K09770	cbo:CBO0536
ko:K01262	cbo:CBO0542
ko:K06200	cbo:CBO0550
ko:K03282	cbo:CBO0555
ko:K02015	cbo:CBO1045
ko:K02016	cbo:CBO1047
ko:K06897	cbo:CBO1062
ko:K01662	cbo:CBO1881
ko:K03625	cbo:CBO1886
ko:K06397	cbo:CBO1888
ko:K06396	cbo:CBO1889
ko:K06395	cbo:CBO1890
ko:K06394	cbo:CBO1891
ko:K06393	cbo:CBO1892
ko:K06392	cbo:CBO1893
ko:K06391	cbo:CBO1894
ko:K06390	cbo:CBO1895
ko:K00891	cbo:CBO1899
ko:K02653	cbo:CBO1908
ko:K01778	cbo:CBO1912
ko:K05772	cbo:CBO1946
ko:K04024	cbo:CBO2113
ko:K04029	cbo:CBO2115
ko:K04031	cbo:CBO2116
ko:K02445	cbo:CBO1071
ko:K01887	cbo:CBO1072
ko:K04759	cbo:CBO1076
ko:K04758	cbo:CBO1077
ko:K01885	cbo:CBO1094
ko:K00134	cbo:CBO1095
ko:K07576	cbo:CBO1096
ko:K01735	cbo:CBO2145
ko:K02003	cbo:CBO2147
ko:K02821	cbo:CBO2152
ko:K00616	cbo:CBO2153
ko:K03310	cbo:CBO1100
ko:K03310	cbo:CBO1101
ko:K07112	cbo:CBO1581
ko:K01478	cbo:CBO1587
ko:K03758	cbo:CBO1588
ko:K00845	cbo:CBO1602
ko:K01387	cbo:CBO1620
ko:K00297	cbo:CBO1621
ko:K00548	cbo:CBO1623
ko:K00627	cbo:CBO1633
ko:K00382	cbo:CBO1634
ko:K03800	cbo:CBO1635
ko:K05845	cbo:CBO1637
ko:K05846	cbo:CBO1637
ko:K01733	cbo:CBO1638
ko:K00928	cbo:CBO1640
ko:K00003	cbo:CBO1641
ko:K01258	cbo:CBO0438
ko:K00788	cbo:CBO0449
ko:K00878	cbo:CBO0450
ko:K01921	cbo:CBO0452
ko:K01999	cbo:CBO0453
ko:K01997	cbo:CBO0454
ko:K01996	cbo:CBO0457
ko:K03744	cbo:CBO0462
ko:K06872	cbo:CBO0463
ko:K06872	cbo:CBO0464
ko:K03183	cbo:CBO0468
ko:K07727	cbo:CBO0469
ko:K07175	cbo:CBO0483
ko:K01163	cbo:CBO1111
ko:K06213	cbo:CBO1124
ko:K02012	cbo:CBO1153
ko:K02011	cbo:CBO1154
ko:K02945	cbo:CBO1159
ko:K07107	cbo:CBO1160
ko:K01989	cbo:CBO1162
ko:K05832	cbo:CBO1163
ko:K05833	cbo:CBO1164
ko:K00077	cbo:CBO1170
ko:K04079	cbo:CBO1985
ko:K01226	cbo:CBO1988
ko:K03486	cbo:CBO1989
ko:K08302	cbo:CBO1993
ko:K01738	cbo:CBO1179
ko:K01775	cbo:CBO1660
ko:K06901	cbo:CBO1662
ko:K02035	cbo:CBO1675
ko:K02033	cbo:CBO1676
ko:K02034	cbo:CBO1677
ko:K00005	cbo:CBO1999
ko:K00759	cbo:CBO2005
ko:K06901	cbo:CBO2006
ko:K06950	cbo:CBO0567
ko:K03100	cbo:CBO0574
ko:K06871	cbo:CBO0580
ko:K02003	cbo:CBO0587
ko:K03317	cbo:CBO0595
ko:K01893	cbo:CBO0597
ko:K05837	cbo:CBO0615
ko:K00574	cbo:CBO0616
ko:K06878	cbo:CBO0622
ko:K06016	cbo:CBO0629
ko:K09790	cbo:CBO0634
ko:K00282	cbo:CBO0698
ko:K02825	cbo:CBO1478
ko:K00865	cbo:CBO2235
ko:K07078	cbo:CBO2204
ko:K00198	cbo:CBO2218
ko:K03308	cbo:CBO2033
ko:K10254	cbo:CBO2043
ko:K00882	cbo:CBO1763
ko:K00973	cbo:CBO2055
ko:K07129	cbo:CBO2075
ko:K01620	cbo:CBO2233
ko:K03704	cbo:CBO1772
ko:K03415	cbo:CBO1777
ko:K00243	cbo:CBO1779
ko:K01356	cbo:CBO1795
ko:K00791	cbo:CBO1798
ko:K03572	cbo:CBO1799
ko:K02340	cbo:CBO2968
ko:K03043	cbo:CBO3488
ko:K03046	cbo:CBO3487
ko:K01448	cbo:CBO3111
ko:K01448	cbo:CBO1432
ko:K01448	cbo:CBO3016
ko:K02499	cbo:CBO3535
ko:K02411	cbo:CBO2660
ko:K02557	cbo:CBO2226
ko:K06281	cbo:CBO1840
ko:K06282	cbo:CBO1841
ko:K04477	cbo:CBO3379
ko:K02015	cbo:CBO2895
ko:K03470	cbo:CBO2441
ko:K03168	cbo:CBO2437
ko:K07507	cbo:CBO0093
ko:K04068	cbo:CBO0095
ko:K02529	cbo:CBO0100
ko:K06898	cbo:CBO0105
ko:K02003	cbo:CBO0783
ko:K09696	cbo:CBO2238
ko:K09697	cbo:CBO2239
ko:K07238	cbo:CBO0141
ko:K00761	cbo:CBO0145
ko:K01493	cbo:CBO0146
ko:K01791	cbo:CBO0148
ko:K00790	cbo:CBO0159
ko:K06381	cbo:CBO0160
ko:K06283	cbo:CBO0162
ko:K00789	cbo:CBO0168
ko:K03581	cbo:CBO0169
ko:K05808	cbo:CBO0172
ko:K02836	cbo:CBO0175
ko:K06959	cbo:CBO0177
ko:K01738	cbo:CBO0724
ko:K01551	cbo:CBO0755
ko:K03325	cbo:CBO0756
ko:K00560	cbo:CBO0768
ko:K00384	cbo:CBO1254
ko:K00384	cbo:CBO1259
ko:K03671	cbo:CBO1260
ko:K00899	cbo:CBO1267
ko:K08963	cbo:CBO1268
ko:K00616	cbo:CBO1292
ko:K03310	cbo:CBO1294
ko:K03284	cbo:CBO0050
ko:K00943	cbo:CBO0054
ko:K07056	cbo:CBO0061
ko:K06284	cbo:CBO0063
ko:K01478	cbo:CBO0065
ko:K00283	cbo:CBO0699
ko:K00763	cbo:CBO1410
ko:K02020	cbo:CBO0961
ko:K02013	cbo:CBO0972
ko:K02015	cbo:CBO0973
ko:K02016	cbo:CBO0974
ko:K03925	cbo:CBO1453
ko:K01928	cbo:CBO1457
ko:K01929	cbo:CBO1458
ko:K01000	cbo:CBO1459
ko:K03588	cbo:CBO1460
ko:K03589	cbo:CBO1461
ko:K06997	cbo:CBO1465
ko:K09772	cbo:CBO1466
ko:K02221	cbo:CBO1467
ko:K04074	cbo:CBO1469
ko:K01735	cbo:CBO1470
ko:K03856	cbo:CBO1472
ko:K00800	cbo:CBO1473
ko:K03101	cbo:CBO1475
ko:K02031	cbo:CBO1358
ko:K09816	cbo:CBO1361
ko:K09815	cbo:CBO1363
ko:K02051	cbo:CBO1368
ko:K02050	cbo:CBO1369
ko:K02049	cbo:CBO1370
ko:K00784	cbo:CBO1376
ko:K04061	cbo:CBO0180
ko:K07816	cbo:CBO0185
ko:K01869	cbo:CBO0186
ko:K00876	cbo:CBO0196
ko:K01738	cbo:CBO0205
ko:K00640	cbo:CBO0206
ko:K00655	cbo:CBO0208
ko:K03716	cbo:CBO0216
ko:K03216	cbo:CBO0217
ko:K05311	cbo:CBO0225
ko:K00134	cbo:CBO0226
ko:K00927	cbo:CBO0227
ko:K01803	cbo:CBO0228
ko:K01689	cbo:CBO0230
ko:K03664	cbo:CBO0234
ko:K06911	cbo:CBO0860
ko:K06966	cbo:CBO0865
ko:K01448	cbo:CBO1424
ko:K00767	cbo:CBO1447
ko:K00278	cbo:CBO1447A
ko:K03517	cbo:CBO1448
ko:K02526	cbo:CBO0247
ko:K02342	cbo:CBO0256
ko:K03518	cbo:CBO0260
ko:K06196	cbo:CBO0262
ko:K02003	cbo:CBO0274
ko:K07118	cbo:CBO0286
ko:K01687	cbo:CBO0291
ko:K00874	cbo:CBO0293
ko:K01486	cbo:CBO0294
ko:K02232	cbo:CBO0914
ko:K01737	cbo:CBO0827
ko:K00796	cbo:CBO0828
ko:K03088	cbo:CBO0836
ko:K02654	cbo:CBO1316
ko:K00806	cbo:CBO1328
ko:K02016	cbo:CBO1337
ko:K02015	cbo:CBO1338
ko:K02013	cbo:CBO1339
ko:K07106	cbo:CBO1343
ko:K09957	cbo:CBO1347
ko:K03488	cbo:CBO0880
ko:K10536	cbo:CBO0894
ko:K01462	cbo:CBO0876
ko:K00375	cbo:CBO0877
ko:K02231	cbo:CBO0911
ko:K03704	cbo:CBO1387
ko:K02227	cbo:CBO0915
ko:K02008	cbo:CBO0918
ko:K01749	cbo:CBO0920
ko:K01698	cbo:CBO0923
ko:K06042	cbo:CBO0925
ko:K03399	cbo:CBO0937
ko:K02191	cbo:CBO0939
ko:K05936	cbo:CBO0947
ko:K05895	cbo:CBO0950
ko:K00215	cbo:CBO0791
ko:K03311	cbo:CBO0813
ko:K03311	cbo:CBO0814
ko:K04758	cbo:CBO0816
ko:K02233	cbo:CBO0821
ko:K01770	cbo:CBO0066
ko:K06373	cbo:CBO0070
ko:K06374	cbo:CBO0071
ko:K03424	cbo:CBO0077
ko:K05985	cbo:CBO0080
ko:K02003	cbo:CBO0086
ko:K01613	cbo:CBO0025
ko:K03721	cbo:CBO0028
ko:K01761	cbo:CBO0029
ko:K06317	cbo:CBO0035
ko:K03790	cbo:CBO0042
ko:K00375	cbo:CBO0640
ko:K03488	cbo:CBO0654
ko:K07053	cbo:CBO0656
ko:K07322	cbo:CBO0659
ko:K09155	cbo:CBO0660
ko:K03312	cbo:CBO0662
ko:K01989	cbo:CBO0670
ko:K03088	cbo:CBO0674
ko:K03657	cbo:CBO0683
ko:K02016	cbo:CBO0686
ko:K02015	cbo:CBO0687
ko:K02015	cbo:CBO0688
ko:K02013	cbo:CBO0689
ko:K00605	cbo:CBO0696
ko:K02437	cbo:CBO0697
ko:K00382	cbo:CBO0700
ko:K03800	cbo:CBO0701
ko:K06864	cbo:CBO1183
ko:K00566	cbo:CBO1185
ko:K07707	cbo:CBO1186
ko:K07706	cbo:CBO1187
ko:K01126	cbo:CBO1190
ko:K01223	cbo:CBO1202
ko:K01866	cbo:CBO1204
ko:K01752	cbo:CBO1214
ko:K01752	cbo:CBO1215
ko:K02003	cbo:CBO1224
ko:K02034	cbo:CBO1225
ko:K02035	cbo:CBO1227
ko:K01520	cbo:CBO1235
ko:K02406	cbo:CBO2695
ko:K01953	cbo:CBO2706
ko:K09118	cbo:CBO0011
ko:K01875	cbo:CBO0016
ko:K02834	cbo:CBO2417A
ko:K07742	cbo:CBO2419A
ko:K09748	cbo:CBO2421
ko:K00099	cbo:CBO2426
ko:K00981	cbo:CBO2430
ko:K00806	cbo:CBO2431
ko:K02357	cbo:CBO2434
ko:K02967	cbo:CBO2435
ko:K03706	cbo:CBO2436
ko:K07460	cbo:CBO2440
ko:K03100	cbo:CBO2443
ko:K02884	cbo:CBO2444
ko:K00554	cbo:CBO2445
ko:K09787	cbo:CBO2450
ko:K03621	cbo:CBO2456
ko:K02911	cbo:CBO2457
ko:K00925	cbo:CBO2458
ko:K03655	cbo:CBO2496
ko:K07030	cbo:CBO2497
ko:K02902	cbo:CBO2499
ko:K01783	cbo:CBO2502
ko:K06949	cbo:CBO2503
ko:K06941	cbo:CBO2506
ko:K06973	cbo:CBO2508
ko:K00604	cbo:CBO2509
ko:K01462	cbo:CBO2510
ko:K00942	cbo:CBO2513
ko:K09777	cbo:CBO2514
ko:K06398	cbo:CBO2517
ko:K00057	cbo:CBO2518
ko:K02039	cbo:CBO2521
ko:K02036	cbo:CBO2522
ko:K02038	cbo:CBO2523
ko:K02037	cbo:CBO2524
ko:K07738	cbo:CBO2530
ko:K03091	cbo:CBO2532
ko:K03091	cbo:CBO2533
ko:K06383	cbo:CBO2534
ko:K03531	cbo:CBO2535
ko:K03590	cbo:CBO2536
ko:K02669	cbo:CBO2539
ko:K00014	cbo:CBO2540
ko:K03091	cbo:CBO2541
ko:K00876	cbo:CBO2554
ko:K07082	cbo:CBO2557
ko:K06207	cbo:CBO2558
ko:K07447	cbo:CBO2562
ko:K01872	cbo:CBO2564
ko:K04488	cbo:CBO2567
ko:K07478	cbo:CBO2570
ko:K04486	cbo:CBO2571
ko:K01750	cbo:CBO2575
ko:K03310	cbo:CBO2577
ko:K01952	cbo:CBO2580
ko:K00611	cbo:CBO2593
ko:K00926	cbo:CBO2594
ko:K00600	cbo:CBO2595
ko:K07053	cbo:CBO2604
ko:K03284	cbo:CBO2606
