ko:K14233	ctrz:A7249_00900
ko:K02355	ctrz:A7249_00468
ko:K02992	ctrz:A7249_00469
ko:K02950	ctrz:A7249_00470
ko:K03797	ctrz:A7249_00472
ko:K03581	ctrz:A7249_00697
ko:K06861	ctrz:A7249_00699
ko:K01627	ctrz:A7249_00701
ko:K06180	ctrz:A7249_00705
ko:K06960	ctrz:A7249_00706
ko:K02469	ctrz:A7249_00707
ko:K02470	ctrz:A7249_00708
ko:K02492	ctrz:A7249_00709
ko:K03224	ctrz:A7249_00716
ko:K02417	ctrz:A7249_00719
ko:K03219	ctrz:A7249_00721
ko:K02838	ctrz:A7249_00727
ko:K09903	ctrz:A7249_00728
ko:K02357	ctrz:A7249_00729
ko:K02967	ctrz:A7249_00730
ko:K03162	ctrz:A7249_00732
ko:K09013	ctrz:A7249_00736
ko:K09015	ctrz:A7249_00737
ko:K11717	ctrz:A7249_00738
ko:K07220	ctrz:A7249_00742
ko:K03306	ctrz:A7249_00743
ko:K00927	ctrz:A7249_00744
ko:K10773	ctrz:A7249_00748
ko:K03650	ctrz:A7249_00749
ko:K01613	ctrz:A7249_00750
ko:K09779	ctrz:A7249_00002
ko:K02435	ctrz:A7249_00003
ko:K02434	ctrz:A7249_00005
ko:K02517	ctrz:A7249_00011
ko:K00425	ctrz:A7249_00014
ko:K00426	ctrz:A7249_00015
ko:K07175	ctrz:A7249_00016
ko:K01870	ctrz:A7249_00021
ko:K03100	ctrz:A7249_00022
ko:K02909	ctrz:A7249_00024
ko:K02835	ctrz:A7249_00025
ko:K02493	ctrz:A7249_00026
ko:K03106	ctrz:A7249_00027
ko:K02959	ctrz:A7249_00028
ko:K00554	ctrz:A7249_00029
ko:K02884	ctrz:A7249_00030
ko:K03470	ctrz:A7249_00031
ko:K00942	ctrz:A7249_00032
ko:K01874	ctrz:A7249_00034
ko:K03581	ctrz:A7249_00035
ko:K07462	ctrz:A7249_00479
ko:K12257	ctrz:A7249_00480
ko:K00806	ctrz:A7249_00482
ko:K00981	ctrz:A7249_00483
ko:K00945	ctrz:A7249_00484
ko:K00655	ctrz:A7249_00485
ko:K01887	ctrz:A7249_00486
ko:K00790	ctrz:A7249_00487
ko:K02836	ctrz:A7249_00491
ko:K00991	ctrz:A7249_00494
ko:K06173	ctrz:A7249_00495
ko:K07710	ctrz:A7249_00500
ko:K07714	ctrz:A7249_00501
ko:K03584	ctrz:A7249_00504
ko:K08998	ctrz:A7249_00508
ko:K01890	ctrz:A7249_00510
ko:K02034	ctrz:A7249_00513
ko:K01772	ctrz:A7249_00522
ko:K07099	ctrz:A7249_00525
ko:K00975	ctrz:A7249_00526
ko:K03628	ctrz:A7249_00528
ko:K00859	ctrz:A7249_00529
ko:K03230	ctrz:A7249_00092
ko:K03229	ctrz:A7249_00093
ko:K06942	ctrz:A7249_00094
ko:K11753	ctrz:A7249_00095
ko:K02834	ctrz:A7249_00097
ko:K02519	ctrz:A7249_00098
ko:K02600	ctrz:A7249_00099
ko:K02945	ctrz:A7249_00100
ko:K00384	ctrz:A7249_00101
ko:K00997	ctrz:A7249_00102
ko:K00208	ctrz:A7249_00106
ko:K03575	ctrz:A7249_00110
ko:K04077	ctrz:A7249_00113
ko:K04078	ctrz:A7249_00114
ko:K08602	ctrz:A7249_00115
ko:K03695	ctrz:A7249_00116
ko:K01783	ctrz:A7249_00124
ko:K02356	ctrz:A7249_00125
ko:K02160	ctrz:A7249_00126
ko:K01961	ctrz:A7249_00127
ko:K02871	ctrz:A7249_00128
ko:K02996	ctrz:A7249_00129
ko:K02029	ctrz:A7249_00132
ko:K07058	ctrz:A7249_00135
ko:K06999	ctrz:A7249_00139
ko:K07566	ctrz:A7249_00140
ko:K09125	ctrz:A7249_00143
ko:K07039	ctrz:A7249_00144
ko:K01972	ctrz:A7249_00151
ko:K02913	ctrz:A7249_00155
ko:K09808	ctrz:A7249_00156
ko:K09810	ctrz:A7249_00157
ko:K03720	ctrz:A7249_00177
ko:K01696	ctrz:A7249_00178
ko:K01695	ctrz:A7249_00180
ko:K03611	ctrz:A7249_00186
ko:K00979	ctrz:A7249_00194
ko:K01937	ctrz:A7249_00195
ko:K07447	ctrz:A7249_00196
ko:K00036	ctrz:A7249_00197
ko:K01057	ctrz:A7249_00198
ko:K02343	ctrz:A7249_00199
ko:K00943	ctrz:A7249_00200
ko:K02469	ctrz:A7249_00201
ko:K02470	ctrz:A7249_00202
ko:K01494	ctrz:A7249_00041
ko:K03551	ctrz:A7249_00042
ko:K01255	ctrz:A7249_00047
ko:K02340	ctrz:A7249_00049
ko:K07056	ctrz:A7249_00050
ko:K00164	ctrz:A7249_00056
ko:K00658	ctrz:A7249_00057
ko:K05810	ctrz:A7249_00058
ko:K03526	ctrz:A7249_00059
ko:K02400	ctrz:A7249_00064
ko:K02405	ctrz:A7249_00065
ko:K01866	ctrz:A7249_00066
ko:K03596	ctrz:A7249_00068
ko:K03301	ctrz:A7249_00069
ko:K00099	ctrz:A7249_00075
ko:K03629	ctrz:A7249_00078
ko:K02338	ctrz:A7249_00079
ko:K03664	ctrz:A7249_00080
ko:K03734	ctrz:A7249_00081
ko:K01491	ctrz:A7249_00082
ko:K02902	ctrz:A7249_00088
ko:K00705	ctrz:A7249_00089
ko:K04058	ctrz:A7249_00091
ko:K03301	ctrz:A7249_00532
ko:K00995	ctrz:A7249_00533
ko:K03495	ctrz:A7249_00536
ko:K03800	ctrz:A7249_00537
ko:K00940	ctrz:A7249_00538
ko:K03550	ctrz:A7249_00539
ko:K01159	ctrz:A7249_00540
ko:K00134	ctrz:A7249_00544
ko:K02879	ctrz:A7249_00545
ko:K03040	ctrz:A7249_00546
ko:K02948	ctrz:A7249_00547
ko:K02952	ctrz:A7249_00548
ko:K03076	ctrz:A7249_00549
ko:K02876	ctrz:A7249_00550
ko:K02988	ctrz:A7249_00551
ko:K02881	ctrz:A7249_00552
ko:K02933	ctrz:A7249_00553
ko:K02994	ctrz:A7249_00554
ko:K02931	ctrz:A7249_00555
ko:K02895	ctrz:A7249_00556
ko:K02874	ctrz:A7249_00557
ko:K02961	ctrz:A7249_00558
ko:K02904	ctrz:A7249_00559
ko:K02878	ctrz:A7249_00560
ko:K02982	ctrz:A7249_00561
ko:K02890	ctrz:A7249_00562
ko:K02965	ctrz:A7249_00563
ko:K02886	ctrz:A7249_00564
ko:K02892	ctrz:A7249_00565
ko:K02926	ctrz:A7249_00566
ko:K02337	ctrz:A7249_00585
ko:K03311	ctrz:A7249_00594
ko:K00382	ctrz:A7249_00597
ko:K03644	ctrz:A7249_00598
ko:K03222	ctrz:A7249_00599
ko:K03223	ctrz:A7249_00601
ko:K03226	ctrz:A7249_00602
ko:K03228	ctrz:A7249_00604
ko:K02455	ctrz:A7249_00610
ko:K02453	ctrz:A7249_00612
ko:K03572	ctrz:A7249_00615
ko:K01868	ctrz:A7249_00621
ko:K01867	ctrz:A7249_00625
ko:K03702	ctrz:A7249_00626
ko:K01689	ctrz:A7249_00627
ko:K00240	ctrz:A7249_00631
ko:K00239	ctrz:A7249_00633
ko:K03424	ctrz:A7249_00635
ko:K03562	ctrz:A7249_00637
ko:K00773	ctrz:A7249_00205
ko:K06213	ctrz:A7249_00206
ko:K15580	ctrz:A7249_00210
ko:K15581	ctrz:A7249_00211
ko:K03319	ctrz:A7249_00216
ko:K00850	ctrz:A7249_00217
ko:K00895	ctrz:A7249_00219
ko:K02527	ctrz:A7249_00222
ko:K01869	ctrz:A7249_00223
ko:K01845	ctrz:A7249_00224
ko:K07735	ctrz:A7249_00225
ko:K08999	ctrz:A7249_00226
ko:K01807	ctrz:A7249_00227
ko:K03787	ctrz:A7249_00232
ko:K03179	ctrz:A7249_00233
ko:K03186	ctrz:A7249_00234
ko:K03308	ctrz:A7249_00247
ko:K02078	ctrz:A7249_00252
ko:K00645	ctrz:A7249_00254
ko:K00648	ctrz:A7249_00255
ko:K06187	ctrz:A7249_00256
ko:K07277	ctrz:A7249_00257
ko:K06142	ctrz:A7249_00258
ko:K02536	ctrz:A7249_00259
ko:K02906	ctrz:A7249_00567
ko:K00604	ctrz:A7249_00569
ko:K00677	ctrz:A7249_00570
ko:K02372	ctrz:A7249_00571
ko:K02535	ctrz:A7249_00572
ko:K03820	ctrz:A7249_00573
ko:K06925	ctrz:A7249_00576
ko:K03671	ctrz:A7249_00579
ko:K03216	ctrz:A7249_00580
ko:K01876	ctrz:A7249_00582
ko:K01892	ctrz:A7249_00583
ko:K07783	ctrz:A7249_00584
ko:K03070	ctrz:A7249_00752
ko:K03977	ctrz:A7249_00754
ko:K03544	ctrz:A7249_00756
ko:K01358	ctrz:A7249_00757
ko:K03545	ctrz:A7249_00758
ko:K03569	ctrz:A7249_00761
ko:K00057	ctrz:A7249_00766
ko:K02412	ctrz:A7249_00769
ko:K02411	ctrz:A7249_00770
ko:K02409	ctrz:A7249_00771
ko:K13819	ctrz:A7249_00772
ko:K04487	ctrz:A7249_00773
ko:K06178	ctrz:A7249_00775
ko:K03524	ctrz:A7249_00777
ko:K05837	ctrz:A7249_00778
ko:K01875	ctrz:A7249_00781
ko:K11752	ctrz:A7249_00782
ko:K14652	ctrz:A7249_00783
ko:K00794	ctrz:A7249_00784
ko:K03310	ctrz:A7249_00787
ko:K03466	ctrz:A7249_00791
ko:K00351	ctrz:A7249_00796
ko:K03210	ctrz:A7249_00797
ko:K00231	ctrz:A7249_00801
ko:K01599	ctrz:A7249_00803
ko:K03723	ctrz:A7249_00804
ko:K00161	ctrz:A7249_00261
ko:K00162	ctrz:A7249_00262
ko:K00627	ctrz:A7249_00263
ko:K00688	ctrz:A7249_00264
ko:K02313	ctrz:A7249_00266
ko:K03217	ctrz:A7249_00267
ko:K04487	ctrz:A7249_00274
ko:K07083	ctrz:A7249_00278
ko:K01962	ctrz:A7249_00281
ko:K01448	ctrz:A7249_00284
ko:K01928	ctrz:A7249_00285
ko:K03587	ctrz:A7249_00286
ko:K03438	ctrz:A7249_00288
ko:K02313	ctrz:A7249_00291
ko:K00347	ctrz:A7249_00294
ko:K00348	ctrz:A7249_00295
ko:K00349	ctrz:A7249_00296
ko:K00350	ctrz:A7249_00297
ko:K02437	ctrz:A7249_00298
ko:K03800	ctrz:A7249_00301
ko:K03696	ctrz:A7249_00302
ko:K00566	ctrz:A7249_00303
ko:K01963	ctrz:A7249_00309
ko:K04564	ctrz:A7249_00310
ko:K03559	ctrz:A7249_00638
ko:K01872	ctrz:A7249_00805
ko:K00615	ctrz:A7249_00809
ko:K01241	ctrz:A7249_00810
ko:K02356	ctrz:A7249_00811
ko:K01929	ctrz:A7249_00816
ko:K01000	ctrz:A7249_00817
ko:K01925	ctrz:A7249_00818
ko:K03588	ctrz:A7249_00820
ko:K02563	ctrz:A7249_00821
ko:K06960	ctrz:A7249_00823
ko:K00791	ctrz:A7249_00826
ko:K09710	ctrz:A7249_00829
ko:K09458	ctrz:A7249_00830
ko:K00263	ctrz:A7249_00833
ko:K00655	ctrz:A7249_00835
ko:K04066	ctrz:A7249_00838
ko:K04567	ctrz:A7249_00841
ko:K01883	ctrz:A7249_00842
ko:K03536	ctrz:A7249_00844
ko:K02919	ctrz:A7249_00845
ko:K02954	ctrz:A7249_00846
ko:K03703	ctrz:A7249_00850
ko:K03555	ctrz:A7249_00851
ko:K14164	ctrz:A7249_00855
ko:K00995	ctrz:A7249_00856
ko:K00703	ctrz:A7249_00857
ko:K03685	ctrz:A7249_00313
ko:K04485	ctrz:A7249_00314
ko:K01749	ctrz:A7249_00315
ko:K01873	ctrz:A7249_00318
ko:K03046	ctrz:A7249_00330
ko:K03043	ctrz:A7249_00331
ko:K02935	ctrz:A7249_00332
ko:K02864	ctrz:A7249_00333
ko:K02863	ctrz:A7249_00334
ko:K02867	ctrz:A7249_00335
ko:K02601	ctrz:A7249_00336
ko:K03073	ctrz:A7249_00337
ko:K02358	ctrz:A7249_00339
ko:K02518	ctrz:A7249_00341
ko:K01803	ctrz:A7249_00348
ko:K03601	ctrz:A7249_00349
ko:K03602	ctrz:A7249_00350
ko:K01662	ctrz:A7249_00352
ko:K00873	ctrz:A7249_00353
ko:K03701	ctrz:A7249_00354
ko:K02343	ctrz:A7249_00355
ko:K09747	ctrz:A7249_00356
ko:K11381	ctrz:A7249_00362
ko:K03686	ctrz:A7249_00363
ko:K02970	ctrz:A7249_00364
ko:K01338	ctrz:A7249_00366
ko:K02028	ctrz:A7249_00133
ko:K14220	ctrz:A7249_00039
ko:K15035	ctrz:A7249_00020
ko:K14222	ctrz:A7249_00815
ko:K01985	ctrz:A7249_00795
ko:K01985	ctrz:A7249_00808
ko:K01980	ctrz:A7249_00794
ko:K01980	ctrz:A7249_00807
ko:K17103	ctrz:A7249_00889
ko:K08483	ctrz:A7249_00357
ko:K11189	ctrz:A7249_00358
ko:K00784	ctrz:A7249_00368
ko:K02342	ctrz:A7249_00575
ko:K07258	ctrz:A7249_00591
ko:K03227	ctrz:A7249_00603
ko:K02454	ctrz:A7249_00611
ko:K01262	ctrz:A7249_00614
ko:K00939	ctrz:A7249_00131
ko:K02035	ctrz:A7249_00142
ko:K06889	ctrz:A7249_00154
ko:K00567	ctrz:A7249_00512
ko:K02033	ctrz:A7249_00514
ko:K02035	ctrz:A7249_00515
ko:K02030	ctrz:A7249_00523
ko:K00033	ctrz:A7249_00067
ko:K11707	ctrz:A7249_00071
ko:K11710	ctrz:A7249_00072
ko:K01679	ctrz:A7249_00920
ko:K04763	ctrz:A7249_00931
ko:K00700	ctrz:A7249_00933
ko:K03856	ctrz:A7249_00408
ko:K00970	ctrz:A7249_00437
ko:K09815	ctrz:A7249_00443
ko:K02035	ctrz:A7249_00185
ko:K02049	ctrz:A7249_00190
ko:K01409	ctrz:A7249_00209
ko:K15582	ctrz:A7249_00212
ko:K10823	ctrz:A7249_00213
ko:K15583	ctrz:A7249_00214
ko:K06889	ctrz:A7249_00218
ko:K02806	ctrz:A7249_00306
ko:K02806	ctrz:A7249_00307
ko:K02124	ctrz:A7249_00320
ko:K02123	ctrz:A7249_00321
ko:K02120	ctrz:A7249_00322
ko:K02118	ctrz:A7249_00323
ko:K02117	ctrz:A7249_00324
ko:K02121	ctrz:A7249_00326
ko:K00616	ctrz:A7249_00329
ko:K06910	ctrz:A7249_00788
ko:K07117	ctrz:A7249_00789
ko:K01507	ctrz:A7249_00832
ko:K11708	ctrz:A7249_00073
ko:K11709	ctrz:A7249_00074
ko:K03177	ctrz:A7249_00096
ko:K06179	ctrz:A7249_00109
ko:K07315	ctrz:A7249_00628
ko:K00241	ctrz:A7249_00634
ko:K03386	ctrz:A7249_00644
ko:K02428	ctrz:A7249_00648
ko:K00813	ctrz:A7249_00682
ko:K01934	ctrz:A7249_00694
ko:K01719	ctrz:A7249_00464
ko:K00380	ctrz:A7249_00466
ko:K01885	ctrz:A7249_00477
ko:K07098	ctrz:A7249_00493
ko:K00970	ctrz:A7249_00755
ko:K01596	ctrz:A7249_00762
ko:K00972	ctrz:A7249_00767
ko:K01834	ctrz:A7249_00774
ko:K02433	ctrz:A7249_00004
ko:K03471	ctrz:A7249_00009
ko:K01082	ctrz:A7249_00834
ko:K01909	ctrz:A7249_00836
ko:K00652	ctrz:A7249_00837
ko:K01408	ctrz:A7249_00867
ko:K00059	ctrz:A7249_00253
ko:K07052	ctrz:A7249_00270
ko:K02342	ctrz:A7249_00277
ko:K14233	ctrz:A7249_00379
ko:K14228	ctrz:A7249_00498
ko:K01977	ctrz:A7249_00793
ko:K01977	ctrz:A7249_00806
ko:K04084	ctrz:A7249_00636
ko:K14236	ctrz:A7249_00146
ko:K14227	ctrz:A7249_00191
ko:K14218	ctrz:A7249_00681
ko:K14230	ctrz:A7249_00220
ko:K14230	ctrz:A7249_00346
ko:K14235	ctrz:A7249_00338
ko:K14233	ctrz:A7249_00534
ko:K14231	ctrz:A7249_00449
ko:K14221	ctrz:A7249_00236
ko:K14233	ctrz:A7249_00442
ko:K14228	ctrz:A7249_00542
ko:K14228	ctrz:A7249_00578
ko:K14219	ctrz:A7249_00502
ko:K14219	ctrz:A7249_00702
ko:K14232	ctrz:A7249_00675
ko:K14229	ctrz:A7249_00725
ko:K14224	ctrz:A7249_00726
ko:K14226	ctrz:A7249_00792
ko:K14223	ctrz:A7249_00858
ko:K14218	ctrz:A7249_00192
ko:K14219	ctrz:A7249_00645
ko:K14234	ctrz:A7249_00722
ko:K14225	ctrz:A7249_00731
ko:K14228	ctrz:A7249_00506
ko:K14228	ctrz:A7249_00929
ko:K14232	ctrz:A7249_00063
ko:K14237	ctrz:A7249_00237
ko:K14230	ctrz:A7249_00221
ko:K14234	ctrz:A7249_00145
ko:K14234	ctrz:A7249_00340
ko:K14225	ctrz:A7249_00759
ko:K14237	ctrz:A7249_00892
ko:K01840	ctrz:A7249_00311
ko:K06972	ctrz:A7249_00887
ko:K08719	ctrz:A7249_00765
ko:K07081	ctrz:A7249_00458
ko:K01695	ctrz:A7249_00179
ko:K00239	ctrz:A7249_00632
ko:K03625	ctrz:A7249_00895
ko:K08275	ctrz:A7249_00083
ko:K01802	ctrz:A7249_00581
ko:K08274	ctrz:A7249_00403
ko:K01921	ctrz:A7249_00822
ko:K01924	ctrz:A7249_00822
ko:K01829	ctrz:A7249_00840
ko:K01829	ctrz:A7249_00843
ko:K03309	ctrz:A7249_00428
ko:K07033	ctrz:A7249_00735
ko:K03825	ctrz:A7249_00490
ko:K03496	ctrz:A7249_00622
ko:K03497	ctrz:A7249_00739
ko:K03111	ctrz:A7249_00046
ko:K03496	ctrz:A7249_p7
ko:K02626	ctrz:A7249_00397
ko:K11991	ctrz:A7249_00908
ko:K04771	ctrz:A7249_00886
ko:K19411	ctrz:A7249_00724
ko:K19405	ctrz:A7249_00723
ko:K02031	ctrz:A7249_00741
ko:K07125	ctrz:A7249_00343
ko:K22100	ctrz:A7249_00347
ko:K12132	ctrz:A7249_00317
ko:K20265	ctrz:A7249_00230
ko:K20074	ctrz:A7249_00275
ko:K11749	ctrz:A7249_00076
ko:K22099	ctrz:A7249_00654
ko:K00526	ctrz:A7249_00891
ko:K02314	ctrz:A7249_00535
ko:K00287	ctrz:A7249_00655
ko:K03553	ctrz:A7249_00695
ko:K02316	ctrz:A7249_00852
ko:K02335	ctrz:A7249_00530
ko:K02314	ctrz:A7249_p3
ko:K01520	ctrz:A7249_00308
ko:K02032	ctrz:A7249_00740
ko:K00525	ctrz:A7249_00890
ko:K02050	ctrz:A7249_00919
ko:K02051	ctrz:A7249_00919
ko:K01534	ctrz:A7249_00779
ko:K16239	ctrz:A7249_00087
