ko:K07483	cuq:Cul210931_2064
ko:K01429	cuq:Cul210931_2081
ko:K01430	cuq:Cul210931_2082
ko:K14260	cuq:Cul210931_2084
ko:K07030	cuq:Cul210931_0979
ko:K03655	cuq:Cul210931_0980
ko:K08316	cuq:Cul210931_0982
ko:K00954	cuq:Cul210931_0983
ko:K07090	cuq:Cul210931_0984
ko:K02028	cuq:Cul210931_0986
ko:K02029	cuq:Cul210931_0987
ko:K02030	cuq:Cul210931_0988
ko:K08974	cuq:Cul210931_0989
ko:K02945	cuq:Cul210931_0993
ko:K02755	cuq:Cul210931_0994
ko:K02756	cuq:Cul210931_0994
ko:K02757	cuq:Cul210931_0994
ko:K00859	cuq:Cul210931_0995
ko:K03702	cuq:Cul210931_0997
ko:K03701	cuq:Cul210931_1002
ko:K02520	cuq:Cul210931_1003
ko:K02916	cuq:Cul210931_1004
ko:K02887	cuq:Cul210931_1005
ko:K01738	cuq:Cul210931_1777
ko:K00640	cuq:Cul210931_1778
ko:K06975	cuq:Cul210931_1779
ko:K00005	cuq:Cul210931_1782
ko:K00425	cuq:Cul210931_1786
ko:K00426	cuq:Cul210931_1787
ko:K16013	cuq:Cul210931_1788
ko:K16012	cuq:Cul210931_1789
ko:K18118	cuq:Cul210931_1790
ko:K02039	cuq:Cul210931_1793
ko:K02036	cuq:Cul210931_1795
ko:K02038	cuq:Cul210931_1796
ko:K02037	cuq:Cul210931_1797
ko:K02040	cuq:Cul210931_1798
ko:K15520	cuq:Cul210931_1799
ko:K02619	cuq:Cul210931_1803
ko:K06980	cuq:Cul210931_1804
ko:K01933	cuq:Cul210931_1806
ko:K00764	cuq:Cul210931_1807
ko:K03647	cuq:Cul210931_1809
ko:K11068	cuq:Cul210931_1811
ko:K01952	cuq:Cul210931_1812
ko:K01952	cuq:Cul210931_1813
ko:K01952	cuq:Cul210931_1814
ko:K00432	cuq:Cul210931_1815
ko:K01354	cuq:Cul210931_1816
ko:K01923	cuq:Cul210931_1817
ko:K01756	cuq:Cul210931_1818
ko:K03499	cuq:Cul210931_1819
ko:K01945	cuq:Cul210931_1821
ko:K02484	cuq:Cul210931_1824
ko:K02931	cuq:Cul210931_0417
ko:K03837	cuq:Cul210931_0418
ko:K01752	cuq:Cul210931_0419
ko:K01424	cuq:Cul210931_0420
ko:K02994	cuq:Cul210931_0423
ko:K02933	cuq:Cul210931_0424
ko:K02881	cuq:Cul210931_0425
ko:K02988	cuq:Cul210931_0426
ko:K02907	cuq:Cul210931_0427
ko:K02876	cuq:Cul210931_0428
ko:K15770	cuq:Cul210931_0430
ko:K15771	cuq:Cul210931_0431
ko:K15772	cuq:Cul210931_0432
ko:K10112	cuq:Cul210931_0436
ko:K03076	cuq:Cul210931_0437
ko:K00939	cuq:Cul210931_0438
ko:K01265	cuq:Cul210931_0439
ko:K01186	cuq:Cul210931_0440
ko:K02518	cuq:Cul210931_0442
ko:K02952	cuq:Cul210931_0443
ko:K02948	cuq:Cul210931_0444
ko:K02986	cuq:Cul210931_0445
ko:K03040	cuq:Cul210931_0446
ko:K02879	cuq:Cul210931_0447
ko:K06173	cuq:Cul210931_0449
ko:K14743	cuq:Cul210931_0452
ko:K03466	cuq:Cul210931_0454
ko:K02871	cuq:Cul210931_0458
ko:K02996	cuq:Cul210931_0459
ko:K03431	cuq:Cul210931_0460
ko:K01775	cuq:Cul210931_0465
ko:K06925	cuq:Cul210931_0466
ko:K07085	cuq:Cul210931_0467
ko:K03789	cuq:Cul210931_0470
ko:K01409	cuq:Cul210931_0471
ko:K04078	cuq:Cul210931_0472
ko:K16647	cuq:Cul210931_1262
ko:K07305	cuq:Cul210931_1263
ko:K03684	cuq:Cul210931_1266
ko:K01662	cuq:Cul210931_1267
ko:K01092	cuq:Cul210931_1274
ko:K00886	cuq:Cul210931_1275
ko:K03086	cuq:Cul210931_1276
ko:K07560	cuq:Cul210931_1282
ko:K03087	cuq:Cul210931_1283
ko:K03709	cuq:Cul210931_1284
ko:K01784	cuq:Cul210931_1285
ko:K04756	cuq:Cul210931_1289
ko:K03386	cuq:Cul210931_1290
ko:K04761	cuq:Cul210931_1291
ko:K03578	cuq:Cul210931_1293
ko:K07738	cuq:Cul210931_1294
ko:K01356	cuq:Cul210931_1296
ko:K03436	cuq:Cul210931_1297
ko:K08483	cuq:Cul210931_1298
ko:K03436	cuq:Cul210931_1299
ko:K00882	cuq:Cul210931_1300
ko:K02768	cuq:Cul210931_1301
ko:K02769	cuq:Cul210931_1301
ko:K02770	cuq:Cul210931_1301
ko:K11189	cuq:Cul210931_1302
ko:K00299	cuq:Cul210931_1304
ko:K03665	cuq:Cul210931_1307
ko:K01778	cuq:Cul210931_1310
ko:K00791	cuq:Cul210931_1311
ko:K04567	cuq:Cul210931_2086
ko:K00012	cuq:Cul210931_2090
ko:K01494	cuq:Cul210931_2091
ko:K00135	cuq:Cul210931_2093
ko:K06147	cuq:Cul210931_2095
ko:K06147	cuq:Cul210931_2096
ko:K16786	cuq:Cul210931_2097
ko:K16787	cuq:Cul210931_2097
ko:K16785	cuq:Cul210931_2098
ko:K16926	cuq:Cul210931_2099
ko:K01207	cuq:Cul210931_2101
ko:K16648	cuq:Cul210931_2103
ko:K01596	cuq:Cul210931_2109
ko:K03439	cuq:Cul210931_2110
ko:K06860	cuq:Cul210931_2111
ko:K12437	cuq:Cul210931_2118
ko:K12428	cuq:Cul210931_2119
ko:K13671	cuq:Cul210931_2123
ko:K13687	cuq:Cul210931_2125
ko:K14136	cuq:Cul210931_2126
ko:K16650	cuq:Cul210931_2128
ko:K01126	cuq:Cul210931_2131
ko:K02445	cuq:Cul210931_2132
ko:K01854	cuq:Cul210931_2133
ko:K02013	cuq:Cul210931_2134
ko:K02015	cuq:Cul210931_2135
ko:K02016	cuq:Cul210931_2136
ko:K01858	cuq:Cul210931_0099
ko:K15342	cuq:Cul210931_0106
ko:K06966	cuq:Cul210931_0116
ko:K07120	cuq:Cul210931_0121
ko:K07090	cuq:Cul210931_0123
ko:K02821	cuq:Cul210931_0124
ko:K03475	cuq:Cul210931_0125
ko:K03579	cuq:Cul210931_0126
ko:K00661	cuq:Cul210931_0127
ko:K03919	cuq:Cul210931_0128
ko:K01246	cuq:Cul210931_0129
ko:K06996	cuq:Cul210931_0134
ko:K00864	cuq:Cul210931_0136
ko:K02440	cuq:Cul210931_0137
ko:K07386	cuq:Cul210931_0139
ko:K05845	cuq:Cul210931_0142
ko:K11387	cuq:Cul210931_0143
ko:K13686	cuq:Cul210931_0144
ko:K16652	cuq:Cul210931_0145
ko:K16653	cuq:Cul210931_0146
ko:K04077	cuq:Cul210931_0473
ko:K03088	cuq:Cul210931_0474
ko:K00088	cuq:Cul210931_0477
ko:K00088	cuq:Cul210931_0478
ko:K01951	cuq:Cul210931_0480
ko:K02072	cuq:Cul210931_0487
ko:K02071	cuq:Cul210931_0488
ko:K02073	cuq:Cul210931_0489
ko:K02073	cuq:Cul210931_0490
ko:K09167	cuq:Cul210931_0491
ko:K08981	cuq:Cul210931_0492
ko:K02077	cuq:Cul210931_0493
ko:K03709	cuq:Cul210931_0497
ko:K03216	cuq:Cul210931_0498
ko:K01491	cuq:Cul210931_0499
ko:K00641	cuq:Cul210931_0502
ko:K02016	cuq:Cul210931_0505
ko:K02015	cuq:Cul210931_0506
ko:K02013	cuq:Cul210931_0507
ko:K01740	cuq:Cul210931_0509
ko:K00031	cuq:Cul210931_0510
ko:K01142	cuq:Cul210931_0513
ko:K01867	cuq:Cul210931_0516
ko:K07058	cuq:Cul210931_0517
ko:K07258	cuq:Cul210931_0518
ko:K01488	cuq:Cul210931_0519
ko:K00761	cuq:Cul210931_0523
ko:K01840	cuq:Cul210931_0525
ko:K06168	cuq:Cul210931_1316
ko:K03565	cuq:Cul210931_1317
ko:K03523	cuq:Cul210931_1320
ko:K16784	cuq:Cul210931_1321
ko:K03743	cuq:Cul210931_1325
ko:K00995	cuq:Cul210931_1326
ko:K09780	cuq:Cul210931_1327
ko:K05794	cuq:Cul210931_1328
ko:K03466	cuq:Cul210931_1329
ko:K12574	cuq:Cul210931_1331
ko:K01714	cuq:Cul210931_1332
ko:K00215	cuq:Cul210931_1334
ko:K00962	cuq:Cul210931_1335
ko:K02956	cuq:Cul210931_1336
ko:K11753	cuq:Cul210931_1338
ko:K03177	cuq:Cul210931_1339
ko:K02834	cuq:Cul210931_1344
ko:K02519	cuq:Cul210931_1345
ko:K07742	cuq:Cul210931_1346
ko:K02600	cuq:Cul210931_1347
ko:K09748	cuq:Cul210931_1348
ko:K01881	cuq:Cul210931_1350
ko:K09861	cuq:Cul210931_1351
ko:K02303	cuq:Cul210931_1352
ko:K00567	cuq:Cul210931_1355
ko:K02224	cuq:Cul210931_1356
ko:K13580	cuq:Cul210931_1358
ko:K03404	cuq:Cul210931_1359
ko:K00116	cuq:Cul210931_1360
ko:K17883	cuq:Cul210931_1362
ko:K01875	cuq:Cul210931_2140
ko:K03710	cuq:Cul210931_2141
ko:K04518	cuq:Cul210931_2145
ko:K01126	cuq:Cul210931_2153
ko:K03317	cuq:Cul210931_2154
ko:K01489	cuq:Cul210931_2155
ko:K00758	cuq:Cul210931_2156
ko:K00016	cuq:Cul210931_2157
ko:K07304	cuq:Cul210931_2158
ko:K04564	cuq:Cul210931_2162
ko:K08224	cuq:Cul210931_2165
ko:K09384	cuq:Cul210931_2166
ko:K13671	cuq:Cul210931_2168
ko:K07146	cuq:Cul210931_2174
ko:K03217	cuq:Cul210931_2177
ko:K09125	cuq:Cul210931_2179
ko:K06177	cuq:Cul210931_2182
ko:K01990	cuq:Cul210931_2187
ko:K00382	cuq:Cul210931_0527
ko:K01958	cuq:Cul210931_0528
ko:K11263	cuq:Cul210931_0531
ko:K01011	cuq:Cul210931_0532
ko:K06287	cuq:Cul210931_0536
ko:K00852	cuq:Cul210931_0537
ko:K02529	cuq:Cul210931_0538
ko:K01966	cuq:Cul210931_0540
ko:K01966	cuq:Cul210931_0541
ko:K03524	cuq:Cul210931_0542
ko:K01992	cuq:Cul210931_0544
ko:K01992	cuq:Cul210931_0545
ko:K01990	cuq:Cul210931_0546
ko:K01589	cuq:Cul210931_0547
ko:K01588	cuq:Cul210931_0548
ko:K02016	cuq:Cul210931_0550
ko:K02015	cuq:Cul210931_0551
ko:K02013	cuq:Cul210931_0552
ko:K02026	cuq:Cul210931_0555
ko:K02025	cuq:Cul210931_0556
ko:K02027	cuq:Cul210931_0557
ko:K16870	cuq:Cul210931_0560
ko:K00966	cuq:Cul210931_0561
ko:K01840	cuq:Cul210931_0565
ko:K01809	cuq:Cul210931_0567
ko:K01251	cuq:Cul210931_0570
ko:K00943	cuq:Cul210931_0571
ko:K07670	cuq:Cul210931_0572
ko:K07654	cuq:Cul210931_0573
ko:K03070	cuq:Cul210931_0577
ko:K02232	cuq:Cul210931_1364
ko:K01265	cuq:Cul210931_1365
ko:K00099	cuq:Cul210931_1369
ko:K06941	cuq:Cul210931_1372
ko:K00981	cuq:Cul210931_1374
ko:K02838	cuq:Cul210931_1375
ko:K09903	cuq:Cul210931_1376
ko:K02357	cuq:Cul210931_1377
ko:K02967	cuq:Cul210931_1378
ko:K03733	cuq:Cul210931_1380
ko:K04096	cuq:Cul210931_1381
ko:K07391	cuq:Cul210931_1382
ko:K07460	cuq:Cul210931_1383
ko:K03147	cuq:Cul210931_1384
ko:K00788	cuq:Cul210931_1385
ko:K03153	cuq:Cul210931_1386
ko:K03154	cuq:Cul210931_1387
ko:K03149	cuq:Cul210931_1388
ko:K00941	cuq:Cul210931_1390
ko:K03470	cuq:Cul210931_1392
ko:K03100	cuq:Cul210931_1393
ko:K02884	cuq:Cul210931_1394
ko:K06959	cuq:Cul210931_1395
ko:K02768	cuq:Cul210931_1396
ko:K02769	cuq:Cul210931_1396
ko:K02770	cuq:Cul210931_1396
ko:K00554	cuq:Cul210931_1398
ko:K02860	cuq:Cul210931_1399
ko:K02959	cuq:Cul210931_1401
ko:K03106	cuq:Cul210931_1402
ko:K00990	cuq:Cul210931_1403
ko:K04751	cuq:Cul210931_1404
ko:K03110	cuq:Cul210931_1405
ko:K03529	cuq:Cul210931_1407
ko:K01512	cuq:Cul210931_1408
ko:K03310	cuq:Cul210931_1409
ko:K10563	cuq:Cul210931_1410
ko:K03685	cuq:Cul210931_1411
ko:K07040	cuq:Cul210931_1412
ko:K03671	cuq:Cul210931_2191
ko:K17686	cuq:Cul210931_2193
ko:K08369	cuq:Cul210931_2202
ko:K02939	cuq:Cul210931_2205
ko:K02990	cuq:Cul210931_2207
ko:K07146	cuq:Cul210931_2217
ko:K03975	cuq:Cul210931_2218
ko:K04047	cuq:Cul210931_2220
ko:K01421	cuq:Cul210931_2224
ko:K01869	cuq:Cul210931_2226
ko:K02003	cuq:Cul210931_2227
ko:K02004	cuq:Cul210931_2228
ko:K02564	cuq:Cul210931_2236
ko:K01443	cuq:Cul210931_2237
ko:K01788	cuq:Cul210931_2238
ko:K00845	cuq:Cul210931_2239
ko:K02035	cuq:Cul210931_2241
ko:K00508	cuq:Cul210931_0582
ko:K06949	cuq:Cul210931_0583
ko:K00800	cuq:Cul210931_0584
ko:K03088	cuq:Cul210931_0587
ko:K03657	cuq:Cul210931_0597
ko:K10716	cuq:Cul210931_0598
ko:K03426	cuq:Cul210931_0599
ko:K03657	cuq:Cul210931_0600
ko:K07043	cuq:Cul210931_0602
ko:K07177	cuq:Cul210931_0604
ko:K09118	cuq:Cul210931_0607
ko:K11738	cuq:Cul210931_0614
ko:K03416	cuq:Cul210931_0615
ko:K17489	cuq:Cul210931_0616
ko:K17489	cuq:Cul210931_0617
ko:K17490	cuq:Cul210931_0618
ko:K05602	cuq:Cul210931_0620
ko:K02836	cuq:Cul210931_0622
ko:K12942	cuq:Cul210931_0623
ko:K09812	cuq:Cul210931_0624
ko:K09811	cuq:Cul210931_0625
ko:K03664	cuq:Cul210931_0626
ko:K01673	cuq:Cul210931_0627
ko:K02016	cuq:Cul210931_0629
ko:K02015	cuq:Cul210931_0630
ko:K02015	cuq:Cul210931_0631
ko:K02013	cuq:Cul210931_0632
ko:K00259	cuq:Cul210931_1415
ko:K00262	cuq:Cul210931_1416
ko:K00865	cuq:Cul210931_1417
ko:K00688	cuq:Cul210931_1421
ko:K00873	cuq:Cul210931_1423
ko:K01609	cuq:Cul210931_1425
ko:K01496	cuq:Cul210931_1427
ko:K02500	cuq:Cul210931_1428
ko:K01092	cuq:Cul210931_1429
ko:K01814	cuq:Cul210931_1430
ko:K01817	cuq:Cul210931_1430
ko:K02501	cuq:Cul210931_1431
ko:K01693	cuq:Cul210931_1434
ko:K00817	cuq:Cul210931_1435
ko:K00013	cuq:Cul210931_1436
ko:K02342	cuq:Cul210931_1442
ko:K04762	cuq:Cul210931_1446
ko:K01754	cuq:Cul210931_1449
ko:K05786	cuq:Cul210931_1451
ko:K06180	cuq:Cul210931_1453
ko:K03101	cuq:Cul210931_1454
ko:K01424	cuq:Cul210931_1457
ko:K02346	cuq:Cul210931_1458
ko:K01870	cuq:Cul210931_1459
ko:K02221	cuq:Cul210931_1462
ko:K09772	cuq:Cul210931_1463
ko:K05810	cuq:Cul210931_1464
ko:K02031	cuq:Cul210931_2243
ko:K02034	cuq:Cul210931_2243
ko:K01714	cuq:Cul210931_2245
ko:K00135	cuq:Cul210931_2248
ko:K07250	cuq:Cul210931_2249
ko:K09684	cuq:Cul210931_2250
ko:K00135	cuq:Cul210931_2251
ko:K01792	cuq:Cul210931_2256
ko:K09946	cuq:Cul210931_2259
ko:K01657	cuq:Cul210931_2266
ko:K01658	cuq:Cul210931_2267
ko:K00766	cuq:Cul210931_2268
ko:K13498	cuq:Cul210931_2269
ko:K01696	cuq:Cul210931_2271
ko:K01695	cuq:Cul210931_2272
ko:K14347	cuq:Cul210931_2274
ko:K07735	cuq:Cul210931_2278
ko:K00970	cuq:Cul210931_2279
ko:K03980	cuq:Cul210931_2282
ko:K03088	cuq:Cul210931_2283
ko:K00384	cuq:Cul210931_2286
ko:K03671	cuq:Cul210931_2287
ko:K01448	cuq:Cul210931_2288
ko:K03501	cuq:Cul210931_2292
ko:K03217	cuq:Cul210931_2293
ko:K14267	cuq:Cul210931_0636
ko:K10843	cuq:Cul210931_0638
ko:K03704	cuq:Cul210931_0643
ko:K06901	cuq:Cul210931_0647
ko:K00831	cuq:Cul210931_0651
ko:K01647	cuq:Cul210931_0652
ko:K01962	cuq:Cul210931_0654
ko:K01963	cuq:Cul210931_0654
ko:K01692	cuq:Cul210931_0657
ko:K14393	cuq:Cul210931_0659
ko:K03327	cuq:Cul210931_0665
ko:K01697	cuq:Cul210931_0666
ko:K01586	cuq:Cul210931_0667
ko:K02035	cuq:Cul210931_0670
ko:K02033	cuq:Cul210931_0671
ko:K02034	cuq:Cul210931_0672
ko:K02031	cuq:Cul210931_0673
ko:K02032	cuq:Cul210931_0673
ko:K02228	cuq:Cul210931_0677
ko:K01082	cuq:Cul210931_0681
ko:K03724	cuq:Cul210931_0682
ko:K03649	cuq:Cul210931_0683
ko:K05522	cuq:Cul210931_0684
ko:K01810	cuq:Cul210931_0686
ko:K00135	cuq:Cul210931_0687
ko:K03531	cuq:Cul210931_1465
ko:K03589	cuq:Cul210931_1466
ko:K01924	cuq:Cul210931_1467
ko:K02563	cuq:Cul210931_1468
ko:K03588	cuq:Cul210931_1469
ko:K01925	cuq:Cul210931_1470
ko:K01000	cuq:Cul210931_1471
ko:K01929	cuq:Cul210931_1472
ko:K01928	cuq:Cul210931_1473
ko:K03587	cuq:Cul210931_1474
ko:K03438	cuq:Cul210931_1476
ko:K03925	cuq:Cul210931_1477
ko:K00297	cuq:Cul210931_1481
ko:K13787	cuq:Cul210931_1482
ko:K14337	cuq:Cul210931_1483
ko:K01626	cuq:Cul210931_1486
ko:K00655	cuq:Cul210931_1489
ko:K00845	cuq:Cul210931_1490
ko:K13668	cuq:Cul210931_1491
ko:K03891	cuq:Cul210931_1494
ko:K03890	cuq:Cul210931_1495
ko:K03889	cuq:Cul210931_1496
ko:K02276	cuq:Cul210931_1497
ko:K02275	cuq:Cul210931_1500
ko:K01953	cuq:Cul210931_1501
ko:K02231	cuq:Cul210931_1504
ko:K00768	cuq:Cul210931_1505
ko:K02233	cuq:Cul210931_1506
ko:K00826	cuq:Cul210931_1507
ko:K01255	cuq:Cul210931_1508
ko:K00658	cuq:Cul210931_1510
ko:K00281	cuq:Cul210931_1511
ko:K00605	cuq:Cul210931_1512
ko:K08998	cuq:Cul210931_2295
ko:K03536	cuq:Cul210931_2296
ko:K02914	cuq:Cul210931_2297
ko:K04093	cuq:Cul210931_0688
ko:K03657	cuq:Cul210931_0689
ko:K11175	cuq:Cul210931_0692
ko:K00602	cuq:Cul210931_0693
ko:K10008	cuq:Cul210931_0694
ko:K10005	cuq:Cul210931_0695
ko:K10006	cuq:Cul210931_0696
ko:K10007	cuq:Cul210931_0697
ko:K01644	cuq:Cul210931_0698
ko:K02963	cuq:Cul210931_0701
ko:K02954	cuq:Cul210931_0702
ko:K02902	cuq:Cul210931_0703
ko:K02909	cuq:Cul210931_0704
ko:K07669	cuq:Cul210931_0705
ko:K07653	cuq:Cul210931_0706
ko:K08372	cuq:Cul210931_0707
ko:K03282	cuq:Cul210931_0709
ko:K01934	cuq:Cul210931_0711
ko:K00963	cuq:Cul210931_0712
ko:K03750	cuq:Cul210931_0713
ko:K03790	cuq:Cul210931_0714
ko:K15977	cuq:Cul210931_0716
ko:K07056	cuq:Cul210931_0721
ko:K01874	cuq:Cul210931_0722
ko:K03424	cuq:Cul210931_0723
ko:K02528	cuq:Cul210931_0725
ko:K00919	cuq:Cul210931_0726
ko:K03811	cuq:Cul210931_0732
ko:K00134	cuq:Cul210931_0737
ko:K02437	cuq:Cul210931_1513
ko:K03801	cuq:Cul210931_1515
ko:K03644	cuq:Cul210931_1516
ko:K02013	cuq:Cul210931_1517
ko:K02015	cuq:Cul210931_1518
ko:K02015	cuq:Cul210931_1519
ko:K02016	cuq:Cul210931_1520
ko:K01915	cuq:Cul210931_1524
ko:K07035	cuq:Cul210931_1527
ko:K00088	cuq:Cul210931_1528
ko:K07084	cuq:Cul210931_1530
ko:K01733	cuq:Cul210931_1533
ko:K00982	cuq:Cul210931_1538
ko:K01915	cuq:Cul210931_1539
ko:K00849	cuq:Cul210931_1545
ko:K07164	cuq:Cul210931_1548
ko:K00817	cuq:Cul210931_1550
ko:K01104	cuq:Cul210931_1552
ko:K02227	cuq:Cul210931_1554
ko:K00163	cuq:Cul210931_1557
ko:K02078	cuq:Cul210931_1559
ko:K02566	cuq:Cul210931_1560
ko:K01259	cuq:Cul210931_0740
ko:K02837	cuq:Cul210931_0741
ko:K01056	cuq:Cul210931_0743
ko:K00459	cuq:Cul210931_0744
ko:K01056	cuq:Cul210931_0746
ko:K02897	cuq:Cul210931_0747
ko:K00948	cuq:Cul210931_0749
ko:K04042	cuq:Cul210931_0750
ko:K03723	cuq:Cul210931_0755
ko:K03758	cuq:Cul210931_0756
ko:K02428	cuq:Cul210931_0757
ko:K01689	cuq:Cul210931_0760
ko:K09009	cuq:Cul210931_0762
ko:K01524	cuq:Cul210931_0763
ko:K03624	cuq:Cul210931_0769
ko:K18455	cuq:Cul210931_0771
ko:K12503	cuq:Cul210931_0773
ko:K00867	cuq:Cul210931_0775
ko:K00600	cuq:Cul210931_0776
ko:K03823	cuq:Cul210931_0782
ko:K01679	cuq:Cul210931_0785
ko:K02446	cuq:Cul210931_0786
ko:K03602	cuq:Cul210931_0788
ko:K03601	cuq:Cul210931_0789
ko:K03527	cuq:Cul210931_0790
ko:K06942	cuq:Cul210931_0793
ko:K00820	cuq:Cul210931_1582
ko:K01129	cuq:Cul210931_1586
ko:K01880	cuq:Cul210931_1591
ko:K03711	cuq:Cul210931_1593
ko:K00806	cuq:Cul210931_1595
ko:K03584	cuq:Cul210931_1596
ko:K00868	cuq:Cul210931_1598
ko:K07042	cuq:Cul210931_1600
ko:K09761	cuq:Cul210931_1602
ko:K03686	cuq:Cul210931_1603
ko:K03705	cuq:Cul210931_1604
ko:K01897	cuq:Cul210931_1608
ko:K00705	cuq:Cul210931_1609
ko:K01284	cuq:Cul210931_1611
ko:K01823	cuq:Cul210931_1613
ko:K06147	cuq:Cul210931_1617
ko:K03311	cuq:Cul210931_1618
ko:K16649	cuq:Cul210931_0152
ko:K11707	cuq:Cul210931_0153
ko:K11710	cuq:Cul210931_0154
ko:K11708	cuq:Cul210931_0155
ko:K11709	cuq:Cul210931_0156
ko:K11707	cuq:Cul210931_0157
ko:K00817	cuq:Cul210931_0166
ko:K14445	cuq:Cul210931_0169
ko:K03480	cuq:Cul210931_0170
ko:K02803	cuq:Cul210931_0171
ko:K02804	cuq:Cul210931_0171
