ko:K01921	ctrw:CTRC3_04080
ko:K02340	ctrw:CTRC3_00250
ko:K07056	ctrw:CTRC3_00255
ko:K00164	ctrw:CTRC3_00290
ko:K00658	ctrw:CTRC3_00295
ko:K05810	ctrw:CTRC3_00300
ko:K03526	ctrw:CTRC3_00305
ko:K02400	ctrw:CTRC3_00320
ko:K02405	ctrw:CTRC3_00325
ko:K01866	ctrw:CTRC3_00330
ko:K03596	ctrw:CTRC3_00340
ko:K03301	ctrw:CTRC3_00345
ko:K00099	ctrw:CTRC3_00380
ko:K03629	ctrw:CTRC3_00395
ko:K02338	ctrw:CTRC3_00400
ko:K03664	ctrw:CTRC3_00405
ko:K03734	ctrw:CTRC3_00410
ko:K01491	ctrw:CTRC3_00415
ko:K02902	ctrw:CTRC3_00450
ko:K00705	ctrw:CTRC3_00455
ko:K04058	ctrw:CTRC3_00465
ko:K03230	ctrw:CTRC3_00470
ko:K03229	ctrw:CTRC3_00475
ko:K06942	ctrw:CTRC3_00480
ko:K01698	ctrw:CTRC3_03370
ko:K00346	ctrw:CTRC3_03375
ko:K03582	ctrw:CTRC3_03400
ko:K03583	ctrw:CTRC3_03405
ko:K03168	ctrw:CTRC3_03420
ko:K02221	ctrw:CTRC3_03430
ko:K03581	ctrw:CTRC3_03475
ko:K14233	ctrw:CTRC3_t04775
ko:K14220	ctrw:CTRC3_t04737
ko:K14234	ctrw:CTRC3_t04741
ko:K14234	ctrw:CTRC3_t04759
ko:K14236	ctrw:CTRC3_t04743
ko:K14227	ctrw:CTRC3_t04745
ko:K14218	ctrw:CTRC3_t04747
ko:K14218	ctrw:CTRC3_t04785
ko:K14230	ctrw:CTRC3_t04749
ko:K14230	ctrw:CTRC3_t04761
ko:K14221	ctrw:CTRC3_t04753
ko:K14235	ctrw:CTRC3_t04757
ko:K14233	ctrw:CTRC3_t04763
ko:K14233	ctrw:CTRC3_t04765
ko:K14233	ctrw:CTRC3_t04807
ko:K14231	ctrw:CTRC3_t04767
ko:K14219	ctrw:CTRC3_t04771
ko:K14219	ctrw:CTRC3_t04781
ko:K14228	ctrw:CTRC3_t04777
ko:K14228	ctrw:CTRC3_t04779
ko:K14232	ctrw:CTRC3_t04783
ko:K14224	ctrw:CTRC3_t04793
ko:K14226	ctrw:CTRC3_t04799
ko:K14222	ctrw:CTRC3_t04801
ko:K14223	ctrw:CTRC3_t04803
ko:K01980	ctrw:CTRC3_r04819
ko:K01980	ctrw:CTRC3_r04821
ko:K01985	ctrw:CTRC3_r04811
ko:K01985	ctrw:CTRC3_r04813
ko:K04487	ctrw:CTRC3_01345
ko:K07083	ctrw:CTRC3_01370
ko:K01962	ctrw:CTRC3_01385
ko:K01448	ctrw:CTRC3_01400
ko:K01928	ctrw:CTRC3_01405
ko:K03587	ctrw:CTRC3_01410
ko:K03438	ctrw:CTRC3_01420
ko:K02313	ctrw:CTRC3_01435
ko:K00347	ctrw:CTRC3_01450
ko:K00348	ctrw:CTRC3_01455
ko:K00349	ctrw:CTRC3_01460
ko:K00350	ctrw:CTRC3_01465
ko:K02437	ctrw:CTRC3_01470
ko:K03800	ctrw:CTRC3_01485
ko:K03696	ctrw:CTRC3_01490
ko:K00566	ctrw:CTRC3_01495
ko:K01963	ctrw:CTRC3_01525
ko:K04564	ctrw:CTRC3_01530
ko:K03685	ctrw:CTRC3_01545
ko:K04485	ctrw:CTRC3_01550
ko:K01749	ctrw:CTRC3_01555
ko:K01873	ctrw:CTRC3_01565
ko:K03524	ctrw:CTRC3_03875
ko:K05837	ctrw:CTRC3_03880
ko:K01875	ctrw:CTRC3_03895
ko:K11752	ctrw:CTRC3_03900
ko:K14652	ctrw:CTRC3_03905
ko:K00794	ctrw:CTRC3_03910
ko:K03310	ctrw:CTRC3_03925
ko:K03466	ctrw:CTRC3_03945
ko:K00351	ctrw:CTRC3_03955
ko:K03210	ctrw:CTRC3_03960
ko:K00231	ctrw:CTRC3_03985
ko:K00991	ctrw:CTRC3_02455
ko:K06173	ctrw:CTRC3_02460
ko:K07710	ctrw:CTRC3_02480
ko:K07714	ctrw:CTRC3_02485
ko:K03584	ctrw:CTRC3_02495
ko:K08998	ctrw:CTRC3_02515
ko:K01890	ctrw:CTRC3_02525
ko:K02034	ctrw:CTRC3_02540
ko:K07091	ctrw:CTRC3_04510
ko:K04075	ctrw:CTRC3_04515
ko:K03798	ctrw:CTRC3_04520
ko:K00962	ctrw:CTRC3_04525
ko:K02956	ctrw:CTRC3_04530
ko:K01265	ctrw:CTRC3_04580
ko:K03321	ctrw:CTRC3_04615
ko:K03527	ctrw:CTRC3_04630
ko:K03644	ctrw:CTRC3_02965
ko:K03222	ctrw:CTRC3_02970
ko:K03223	ctrw:CTRC3_02985
ko:K03226	ctrw:CTRC3_02990
ko:K03228	ctrw:CTRC3_03000
ko:K02455	ctrw:CTRC3_03030
ko:K02453	ctrw:CTRC3_03040
ko:K03572	ctrw:CTRC3_03055
ko:K01868	ctrw:CTRC3_03085
ko:K11753	ctrw:CTRC3_00485
ko:K02834	ctrw:CTRC3_00495
ko:K02519	ctrw:CTRC3_00500
ko:K02600	ctrw:CTRC3_00505
ko:K02945	ctrw:CTRC3_00510
ko:K00384	ctrw:CTRC3_00515
ko:K00997	ctrw:CTRC3_00520
ko:K00208	ctrw:CTRC3_00545
ko:K03575	ctrw:CTRC3_00565
ko:K04077	ctrw:CTRC3_00580
ko:K04078	ctrw:CTRC3_00585
ko:K08602	ctrw:CTRC3_00590
ko:K03695	ctrw:CTRC3_00600
ko:K01783	ctrw:CTRC3_00640
ko:K02356	ctrw:CTRC3_00645
ko:K02160	ctrw:CTRC3_00650
ko:K01961	ctrw:CTRC3_00655
ko:K02871	ctrw:CTRC3_00665
ko:K02996	ctrw:CTRC3_00670
ko:K02029	ctrw:CTRC3_00685
ko:K07058	ctrw:CTRC3_00700
ko:K06999	ctrw:CTRC3_00725
ko:K07566	ctrw:CTRC3_00730
ko:K09125	ctrw:CTRC3_00745
ko:K07039	ctrw:CTRC3_00750
ko:K01972	ctrw:CTRC3_00780
ko:K06861	ctrw:CTRC3_03485
ko:K01627	ctrw:CTRC3_03495
ko:K06180	ctrw:CTRC3_03515
ko:K06960	ctrw:CTRC3_03520
ko:K02469	ctrw:CTRC3_03525
ko:K02470	ctrw:CTRC3_03530
ko:K02492	ctrw:CTRC3_03535
ko:K03224	ctrw:CTRC3_03575
ko:K02417	ctrw:CTRC3_03590
ko:K03219	ctrw:CTRC3_03600
ko:K02838	ctrw:CTRC3_03615
ko:K03046	ctrw:CTRC3_01630
ko:K03043	ctrw:CTRC3_01635
ko:K02935	ctrw:CTRC3_01640
ko:K02864	ctrw:CTRC3_01645
ko:K02863	ctrw:CTRC3_01650
ko:K02867	ctrw:CTRC3_01655
ko:K02601	ctrw:CTRC3_01660
ko:K03073	ctrw:CTRC3_01665
ko:K02358	ctrw:CTRC3_01670
ko:K02518	ctrw:CTRC3_01675
ko:K01803	ctrw:CTRC3_01720
ko:K03601	ctrw:CTRC3_01725
ko:K03602	ctrw:CTRC3_01730
ko:K01662	ctrw:CTRC3_01740
ko:K00873	ctrw:CTRC3_01745
ko:K03701	ctrw:CTRC3_01750
ko:K02343	ctrw:CTRC3_01755
ko:K09747	ctrw:CTRC3_01760
ko:K11381	ctrw:CTRC3_01790
ko:K03686	ctrw:CTRC3_01795
ko:K02970	ctrw:CTRC3_01800
ko:K01338	ctrw:CTRC3_01810
ko:K03733	ctrw:CTRC3_01830
ko:K06287	ctrw:CTRC3_01840
ko:K03075	ctrw:CTRC3_01855
ko:K01599	ctrw:CTRC3_03995
ko:K03723	ctrw:CTRC3_04000
ko:K01872	ctrw:CTRC3_04005
ko:K00615	ctrw:CTRC3_04015
ko:K01241	ctrw:CTRC3_04020
ko:K02356	ctrw:CTRC3_04030
ko:K01929	ctrw:CTRC3_04050
ko:K01000	ctrw:CTRC3_04055
ko:K01925	ctrw:CTRC3_04060
ko:K03588	ctrw:CTRC3_04070
ko:K02563	ctrw:CTRC3_04075
ko:K06960	ctrw:CTRC3_04085
ko:K00791	ctrw:CTRC3_04100
ko:K09710	ctrw:CTRC3_04115
ko:K14234	ctrw:CTRC3_t04789
ko:K01772	ctrw:CTRC3_02590
ko:K07099	ctrw:CTRC3_02605
ko:K00975	ctrw:CTRC3_02610
ko:K03628	ctrw:CTRC3_02620
ko:K00859	ctrw:CTRC3_02625
ko:K03301	ctrw:CTRC3_02640
ko:K00995	ctrw:CTRC3_02645
ko:K03495	ctrw:CTRC3_02665
ko:K03800	ctrw:CTRC3_02670
ko:K00940	ctrw:CTRC3_02675
ko:K03550	ctrw:CTRC3_02680
ko:K01159	ctrw:CTRC3_02685
ko:K14225	ctrw:CTRC3_t04795
ko:K14228	ctrw:CTRC3_t04773
ko:K01462	ctrw:CTRC3_01860
ko:K02528	ctrw:CTRC3_01865
ko:K06888	ctrw:CTRC3_01875
ko:K03523	ctrw:CTRC3_01900
ko:K01714	ctrw:CTRC3_01915
ko:K00928	ctrw:CTRC3_01920
ko:K00133	ctrw:CTRC3_01925
ko:K00215	ctrw:CTRC3_01930
ko:K01867	ctrw:CTRC3_03105
ko:K03702	ctrw:CTRC3_03110
ko:K01689	ctrw:CTRC3_03115
ko:K00240	ctrw:CTRC3_03135
ko:K00239	ctrw:CTRC3_03140
ko:K03424	ctrw:CTRC3_03155
ko:K03562	ctrw:CTRC3_03165
ko:K03641	ctrw:CTRC3_03180
ko:K03640	ctrw:CTRC3_03185
ko:K14228	ctrw:CTRC3_t04809
ko:K14232	ctrw:CTRC3_t04739
ko:K02913	ctrw:CTRC3_00800
ko:K09808	ctrw:CTRC3_00805
ko:K09810	ctrw:CTRC3_00810
ko:K03720	ctrw:CTRC3_00895
ko:K01696	ctrw:CTRC3_00905
ko:K01695	ctrw:CTRC3_00910
ko:K03611	ctrw:CTRC3_00930
ko:K00979	ctrw:CTRC3_00960
ko:K01937	ctrw:CTRC3_00965
ko:K07447	ctrw:CTRC3_00970
ko:K00036	ctrw:CTRC3_00975
ko:K01057	ctrw:CTRC3_00980
ko:K02343	ctrw:CTRC3_00985
ko:K00943	ctrw:CTRC3_00990
ko:K02469	ctrw:CTRC3_00995
ko:K02470	ctrw:CTRC3_01000
ko:K00773	ctrw:CTRC3_01015
ko:K06213	ctrw:CTRC3_01020
ko:K15580	ctrw:CTRC3_01040
ko:K15581	ctrw:CTRC3_01045
ko:K03319	ctrw:CTRC3_01070
ko:K00850	ctrw:CTRC3_01075
ko:K09903	ctrw:CTRC3_03620
ko:K02357	ctrw:CTRC3_03625
ko:K02967	ctrw:CTRC3_03630
ko:K03162	ctrw:CTRC3_03635
ko:K09013	ctrw:CTRC3_03660
ko:K09015	ctrw:CTRC3_03665
ko:K11717	ctrw:CTRC3_03670
ko:K07220	ctrw:CTRC3_03690
ko:K03306	ctrw:CTRC3_03695
ko:K00927	ctrw:CTRC3_03700
ko:K10773	ctrw:CTRC3_03720
ko:K03650	ctrw:CTRC3_03725
ko:K01613	ctrw:CTRC3_03730
ko:K03070	ctrw:CTRC3_03740
ko:K00800	ctrw:CTRC3_01940
ko:K00891	ctrw:CTRC3_01945
ko:K01736	ctrw:CTRC3_01950
ko:K01735	ctrw:CTRC3_01955
ko:K13832	ctrw:CTRC3_01960
ko:K03758	ctrw:CTRC3_01980
ko:K00024	ctrw:CTRC3_01990
ko:K01810	ctrw:CTRC3_02000
ko:K03665	ctrw:CTRC3_02005
ko:K06167	ctrw:CTRC3_02010
ko:K09996	ctrw:CTRC3_02015
ko:K06966	ctrw:CTRC3_02045
ko:K09131	ctrw:CTRC3_02050
ko:K10206	ctrw:CTRC3_02060
ko:K01881	ctrw:CTRC3_02075
ko:K03705	ctrw:CTRC3_02080
ko:K03687	ctrw:CTRC3_02085
ko:K04043	ctrw:CTRC3_02090
ko:K12573	ctrw:CTRC3_02095
ko:K07164	ctrw:CTRC3_02100
ko:K06041	ctrw:CTRC3_02105
ko:K00658	ctrw:CTRC3_02110
ko:K00912	ctrw:CTRC3_02125
ko:K09458	ctrw:CTRC3_04120
ko:K00263	ctrw:CTRC3_04140
ko:K00655	ctrw:CTRC3_04150
ko:K04066	ctrw:CTRC3_04165
ko:K04567	ctrw:CTRC3_04180
ko:K01883	ctrw:CTRC3_04185
ko:K03536	ctrw:CTRC3_04200
ko:K02919	ctrw:CTRC3_04205
ko:K02954	ctrw:CTRC3_04210
ko:K03703	ctrw:CTRC3_04235
ko:K03555	ctrw:CTRC3_04240
ko:K14237	ctrw:CTRC3_t04755
ko:K14230	ctrw:CTRC3_t04751
ko:K01977	ctrw:CTRC3_r04815
ko:K01977	ctrw:CTRC3_r04817
ko:K03227	ctrw:CTRC3_02995
ko:K02454	ctrw:CTRC3_03035
ko:K01262	ctrw:CTRC3_03050
ko:K00059	ctrw:CTRC3_01240
ko:K07052	ctrw:CTRC3_01325
ko:K00970	ctrw:CTRC3_03755
ko:K01596	ctrw:CTRC3_03790
ko:K00972	ctrw:CTRC3_03815
ko:K01834	ctrw:CTRC3_03855
ko:K02342	ctrw:CTRC3_01365
ko:K02806	ctrw:CTRC3_01510
ko:K02806	ctrw:CTRC3_01515
ko:K02124	ctrw:CTRC3_01580
ko:K02123	ctrw:CTRC3_01585
ko:K02120	ctrw:CTRC3_01590
ko:K06910	ctrw:CTRC3_03930
ko:K07117	ctrw:CTRC3_03935
ko:K14225	ctrw:CTRC3_t04797
ko:K02118	ctrw:CTRC3_01595
ko:K02117	ctrw:CTRC3_01600
ko:K02121	ctrw:CTRC3_01610
ko:K00616	ctrw:CTRC3_01625
ko:K08483	ctrw:CTRC3_01765
ko:K11189	ctrw:CTRC3_01770
ko:K00784	ctrw:CTRC3_01825
ko:K03856	ctrw:CTRC3_02020
ko:K01507	ctrw:CTRC3_04130
ko:K01082	ctrw:CTRC3_04145
ko:K01909	ctrw:CTRC3_04155
ko:K00652	ctrw:CTRC3_04160
ko:K07315	ctrw:CTRC3_03120
ko:K00241	ctrw:CTRC3_03145
ko:K00241	ctrw:CTRC3_03150
ko:K03386	ctrw:CTRC3_03200
ko:K02428	ctrw:CTRC3_03220
ko:K02433	ctrw:CTRC3_00020
ko:K03471	ctrw:CTRC3_00045
ko:K00970	ctrw:CTRC3_02165
ko:K09815	ctrw:CTRC3_02190
ko:K01719	ctrw:CTRC3_02295
ko:K01408	ctrw:CTRC3_04320
ko:K00380	ctrw:CTRC3_02305
ko:K01885	ctrw:CTRC3_02360
ko:K00033	ctrw:CTRC3_00335
ko:K11707	ctrw:CTRC3_00360
ko:K11710	ctrw:CTRC3_00365
ko:K11708	ctrw:CTRC3_00370
ko:K11709	ctrw:CTRC3_00375
ko:K00813	ctrw:CTRC3_03390
ko:K01934	ctrw:CTRC3_03450
ko:K03177	ctrw:CTRC3_00490
ko:K06179	ctrw:CTRC3_00560
ko:K00939	ctrw:CTRC3_00680
ko:K02028	ctrw:CTRC3_00690
ko:K02035	ctrw:CTRC3_00740
ko:K07098	ctrw:CTRC3_02450
ko:K00567	ctrw:CTRC3_02535
ko:K02033	ctrw:CTRC3_02545
ko:K02035	ctrw:CTRC3_02550
ko:K02030	ctrw:CTRC3_02595
ko:K04763	ctrw:CTRC3_04670
ko:K00700	ctrw:CTRC3_04680
ko:K06889	ctrw:CTRC3_00795
ko:K02035	ctrw:CTRC3_00925
ko:K02049	ctrw:CTRC3_00950
ko:K01409	ctrw:CTRC3_01035
ko:K15582	ctrw:CTRC3_01050
ko:K10823	ctrw:CTRC3_01055
ko:K15583	ctrw:CTRC3_01060
ko:K06889	ctrw:CTRC3_01080
ko:K02342	ctrw:CTRC3_02855
ko:K07258	ctrw:CTRC3_02930
ko:K14237	ctrw:CTRC3_t04805
ko:K06972	ctrw:CTRC3_04430
ko:K11645	ctrw:CTRC3_01125
ko:K07081	ctrw:CTRC3_02260
ko:K08275	ctrw:CTRC3_00425
ko:K01924	ctrw:CTRC3_04080
ko:K01802	ctrw:CTRC3_02880
ko:K08719	ctrw:CTRC3_03805
ko:K08274	ctrw:CTRC3_01995
ko:K01829	ctrw:CTRC3_04175
ko:K01829	ctrw:CTRC3_04195
ko:K03309	ctrw:CTRC3_02120
ko:K07033	ctrw:CTRC3_03655
ko:K03825	ctrw:CTRC3_02435
ko:K03497	ctrw:CTRC3_03675
ko:K03496	ctrw:CTRC3_03090
ko:K03111	ctrw:CTRC3_00230
ko:K02626	ctrw:CTRC3_01975
ko:K11991	ctrw:CTRC3_04535
ko:K04771	ctrw:CTRC3_04425
ko:K19411	ctrw:CTRC3_03610
ko:K02031	ctrw:CTRC3_03685
ko:K19405	ctrw:CTRC3_03605
ko:K07125	ctrw:CTRC3_01690
ko:K22100	ctrw:CTRC3_01715
ko:K12132	ctrw:CTRC3_01560
ko:K20265	ctrw:CTRC3_01130
ko:K20074	ctrw:CTRC3_01350
ko:K11749	ctrw:CTRC3_00385
ko:K01214	ctrw:CTRC3_00220
ko:K22099	ctrw:CTRC3_03250
ko:K00526	ctrw:CTRC3_04450
ko:K02335	ctrw:CTRC3_02630
ko:K01520	ctrw:CTRC3_01520
ko:K02316	ctrw:CTRC3_04250
ko:K02314	ctrw:CTRC3_02660
ko:K00287	ctrw:CTRC3_03255
ko:K03553	ctrw:CTRC3_03460
ko:K02032	ctrw:CTRC3_03680
ko:K00525	ctrw:CTRC3_04445
ko:K02050	ctrw:CTRC3_04595
ko:K02051	ctrw:CTRC3_04595
ko:K01534	ctrw:CTRC3_03885
ko:K16239	ctrw:CTRC3_00445
