ko:K19302	hpyh:HPOKI828_04335
ko:K01783	hpyh:HPOKI828_07770
ko:K03841	hpyh:HPOKI828_07775
ko:K04656	hpyh:HPOKI828_07805
ko:K04655	hpyh:HPOKI828_07810
ko:K02377	hpyh:HPOKI828_07820
ko:K01711	hpyh:HPOKI828_07825
ko:K00971	hpyh:HPOKI828_07830
ko:K12048	hpyh:HPOKI828_07835
ko:K12049	hpyh:HPOKI828_07840
ko:K12050	hpyh:HPOKI828_07845
ko:K12051	hpyh:HPOKI828_07850
ko:K09747	hpyh:HPOKI828_07865
ko:K01579	hpyh:HPOKI828_07870
ko:K03694	hpyh:HPOKI828_07875
ko:K06891	hpyh:HPOKI828_07880
ko:K01935	hpyh:HPOKI828_07895
ko:K00031	hpyh:HPOKI828_07905
ko:K01647	hpyh:HPOKI828_07910
ko:K03760	hpyh:HPOKI828_07940
ko:K12977	hpyh:HPOKI828_07945
ko:K13747	hpyh:HPOKI828_07950
ko:K03415	hpyh:HPOKI828_07955
ko:K09859	hpyh:HPOKI828_07960
ko:K00566	hpyh:HPOKI828_07985
ko:K04078	hpyh:HPOKI828_07995
ko:K04077	hpyh:HPOKI828_08000
ko:K01918	hpyh:HPOKI828_08040
ko:K02535	hpyh:HPOKI828_02075
ko:K00872	hpyh:HPOKI828_02085
ko:K02834	hpyh:HPOKI828_02100
ko:K09748	hpyh:HPOKI828_02105
ko:K07098	hpyh:HPOKI828_02110
ko:K02400	hpyh:HPOKI828_02125
ko:K02956	hpyh:HPOKI828_02130
ko:K02847	hpyh:HPOKI828_02135
ko:K03786	hpyh:HPOKI828_02140
ko:K01262	hpyh:HPOKI828_02145
ko:K00950	hpyh:HPOKI828_02150
ko:K02404	hpyh:HPOKI828_02155
ko:K04562	hpyh:HPOKI828_02160
ko:K02405	hpyh:HPOKI828_02170
ko:K02416	hpyh:HPOKI828_02175
ko:K02417	hpyh:HPOKI828_02180
ko:K03711	hpyh:HPOKI828_02195
ko:K07478	hpyh:HPOKI828_02200
ko:K13640	hpyh:HPOKI828_02205
ko:K05516	hpyh:HPOKI828_02210
ko:K12506	hpyh:HPOKI828_02235
ko:K16235	hpyh:HPOKI828_02245
ko:K00995	hpyh:HPOKI828_02250
ko:K00076	hpyh:HPOKI828_02260
ko:K01714	hpyh:HPOKI828_02265
ko:K00254	hpyh:HPOKI828_02275
ko:K00937	hpyh:HPOKI828_02280
ko:K01154	hpyh:HPOKI828_02290
ko:K03427	hpyh:HPOKI828_02295
ko:K08602	hpyh:HPOKI828_02330
ko:K03455	hpyh:HPOKI828_02335
ko:K00342	hpyh:HPOKI828_06435
ko:K00343	hpyh:HPOKI828_06440
ko:K15778	hpyh:HPOKI828_06450
ko:K01695	hpyh:HPOKI828_06460
ko:K01696	hpyh:HPOKI828_06465
ko:K13498	hpyh:HPOKI828_06470
ko:K00766	hpyh:HPOKI828_06475
ko:K01658	hpyh:HPOKI828_06480
ko:K01657	hpyh:HPOKI828_06485
ko:K07491	hpyh:HPOKI828_06510
ko:K03707	hpyh:HPOKI828_06530
ko:K03811	hpyh:HPOKI828_06535
ko:K00949	hpyh:HPOKI828_06540
ko:K02879	hpyh:HPOKI828_06550
ko:K03040	hpyh:HPOKI828_06555
ko:K02986	hpyh:HPOKI828_06560
ko:K02948	hpyh:HPOKI828_06565
ko:K02952	hpyh:HPOKI828_06570
ko:K02919	hpyh:HPOKI828_06575
ko:K02518	hpyh:HPOKI828_06580
ko:K01265	hpyh:HPOKI828_06585
ko:K03076	hpyh:HPOKI828_06590
ko:K02876	hpyh:HPOKI828_06595
ko:K02988	hpyh:HPOKI828_06600
ko:K02881	hpyh:HPOKI828_06605
ko:K02933	hpyh:HPOKI828_06610
ko:K02994	hpyh:HPOKI828_06615
ko:K02954	hpyh:HPOKI828_06620
ko:K02931	hpyh:HPOKI828_06625
ko:K02895	hpyh:HPOKI828_06630
ko:K02874	hpyh:HPOKI828_06635
ko:K02961	hpyh:HPOKI828_06640
ko:K02904	hpyh:HPOKI828_06645
ko:K02878	hpyh:HPOKI828_06650
ko:K02982	hpyh:HPOKI828_06655
ko:K02890	hpyh:HPOKI828_06660
ko:K02965	hpyh:HPOKI828_06665
ko:K02886	hpyh:HPOKI828_06670
ko:K02892	hpyh:HPOKI828_06675
ko:K02926	hpyh:HPOKI828_06680
ko:K02906	hpyh:HPOKI828_06685
ko:K01154	hpyh:HPOKI828_04000
ko:K01534	hpyh:HPOKI828_04005
ko:K07391	hpyh:HPOKI828_04010
ko:K01462	hpyh:HPOKI828_04015
ko:K01358	hpyh:HPOKI828_04020
ko:K03545	hpyh:HPOKI828_04025
ko:K15846	hpyh:HPOKI828_04035
ko:K03637	hpyh:HPOKI828_04045
ko:K03831	hpyh:HPOKI828_04050
ko:K03635	hpyh:HPOKI828_04055
ko:K03636	hpyh:HPOKI828_04060
ko:K01497	hpyh:HPOKI828_04065
ko:K14652	hpyh:HPOKI828_04075
ko:K07270	hpyh:HPOKI828_04085
ko:K07043	hpyh:HPOKI828_04090
ko:K00997	hpyh:HPOKI828_04095
ko:K02415	hpyh:HPOKI828_04100
ko:K02556	hpyh:HPOKI828_04130
ko:K02557	hpyh:HPOKI828_04135
ko:K05845	hpyh:HPOKI828_04155
ko:K05846	hpyh:HPOKI828_04155
ko:K05847	hpyh:HPOKI828_04160
ko:K03703	hpyh:HPOKI828_04175
ko:K00003	hpyh:HPOKI828_04180
ko:K07460	hpyh:HPOKI828_04185
ko:K03671	hpyh:HPOKI828_04190
ko:K00384	hpyh:HPOKI828_04195
ko:K07270	hpyh:HPOKI828_04205
ko:K02108	hpyh:HPOKI828_04220
ko:K00088	hpyh:HPOKI828_04225
ko:K02433	hpyh:HPOKI828_04230
ko:K00859	hpyh:HPOKI828_04235
ko:K00797	hpyh:HPOKI828_04240
ko:K05515	hpyh:HPOKI828_00125
ko:K02073	hpyh:HPOKI828_00130
ko:K03386	hpyh:HPOKI828_00135
ko:K02016	hpyh:HPOKI828_00140
ko:K03588	hpyh:HPOKI828_00145
ko:K02387	hpyh:HPOKI828_00150
ko:K02388	hpyh:HPOKI828_00155
ko:K02408	hpyh:HPOKI828_00160
ko:K03587	hpyh:HPOKI828_00165
ko:K00413	hpyh:HPOKI828_00185
ko:K00412	hpyh:HPOKI828_00190
ko:K00411	hpyh:HPOKI828_00195
ko:K03723	hpyh:HPOKI828_00200
ko:K11754	hpyh:HPOKI828_00220
ko:K01869	hpyh:HPOKI828_00230
ko:K03074	hpyh:HPOKI828_00240
ko:K03210	hpyh:HPOKI828_00250
ko:K03313	hpyh:HPOKI828_00255
ko:K02967	hpyh:HPOKI828_00270
ko:K02357	hpyh:HPOKI828_00275
ko:K07491	hpyh:HPOKI828_00300
ko:K11928	hpyh:HPOKI828_00320
ko:K13821	hpyh:HPOKI828_00325
ko:K03190	hpyh:HPOKI828_00390
ko:K03189	hpyh:HPOKI828_00395
ko:K03188	hpyh:HPOKI828_00400
ko:K03187	hpyh:HPOKI828_00405
ko:K03191	hpyh:HPOKI828_00410
ko:K02015	hpyh:HPOKI828_04515
ko:K19157	hpyh:HPOKI828_04530
ko:K15847	hpyh:HPOKI828_04540
ko:K04654	hpyh:HPOKI828_04565
ko:K04653	hpyh:HPOKI828_04570
ko:K04652	hpyh:HPOKI828_04575
ko:K00925	hpyh:HPOKI828_04590
ko:K13788	hpyh:HPOKI828_04595
ko:K02389	hpyh:HPOKI828_04605
ko:K02390	hpyh:HPOKI828_04610
ko:K03657	hpyh:HPOKI828_04625
ko:K15843	hpyh:HPOKI828_04630
ko:K15844	hpyh:HPOKI828_04635
ko:K01955	hpyh:HPOKI828_04655
ko:K00134	hpyh:HPOKI828_04665
ko:K01821	hpyh:HPOKI828_04680
ko:K06187	hpyh:HPOKI828_04685
ko:K06176	hpyh:HPOKI828_04690
ko:K03799	hpyh:HPOKI828_04695
ko:K01495	hpyh:HPOKI828_04700
ko:K00795	hpyh:HPOKI828_04705
ko:K03787	hpyh:HPOKI828_04710
ko:K01737	hpyh:HPOKI828_04720
ko:K10009	hpyh:HPOKI828_04755
ko:K02424	hpyh:HPOKI828_04760
ko:K01775	hpyh:HPOKI828_04765
ko:K03310	hpyh:HPOKI828_04770
ko:K00285	hpyh:HPOKI828_04775
ko:K09022	hpyh:HPOKI828_04780
ko:K02520	hpyh:HPOKI828_00690
ko:K02916	hpyh:HPOKI828_00695
ko:K02887	hpyh:HPOKI828_00700
ko:K01752	hpyh:HPOKI828_00725
ko:K03837	hpyh:HPOKI828_00730
ko:K01626	hpyh:HPOKI828_00735
ko:K03564	hpyh:HPOKI828_00750
ko:K00782	hpyh:HPOKI828_00755
ko:K18929	hpyh:HPOKI828_00760
ko:K18928	hpyh:HPOKI828_00765
ko:K03303	hpyh:HPOKI828_00770
ko:K03303	hpyh:HPOKI828_00775
ko:K03575	hpyh:HPOKI828_00780
ko:K09477	hpyh:HPOKI828_00785
ko:K00404	hpyh:HPOKI828_00790
ko:K00405	hpyh:HPOKI828_00795
ko:K00407	hpyh:HPOKI828_00800
ko:K00406	hpyh:HPOKI828_00805
ko:K11785	hpyh:HPOKI828_00835
ko:K01689	hpyh:HPOKI828_00845
ko:K00891	hpyh:HPOKI828_00860
ko:K03279	hpyh:HPOKI828_00870
ko:K07126	hpyh:HPOKI828_00875
ko:K01698	hpyh:HPOKI828_00890
ko:K02484	hpyh:HPOKI828_00895
ko:K08303	hpyh:HPOKI828_00915
ko:K02836	hpyh:HPOKI828_00925
ko:K03750	hpyh:HPOKI828_00930
ko:K02421	hpyh:HPOKI828_00935
ko:K01624	hpyh:HPOKI828_00950
ko:K02356	hpyh:HPOKI828_00955
ko:K15898	hpyh:HPOKI828_00965
ko:K01585	hpyh:HPOKI828_05095
ko:K15257	hpyh:HPOKI828_05110
ko:K01772	hpyh:HPOKI828_05115
ko:K01874	hpyh:HPOKI828_05120
ko:K00574	hpyh:HPOKI828_05125
ko:K16052	hpyh:HPOKI828_05130
ko:K15846	hpyh:HPOKI828_05170
ko:K01951	hpyh:HPOKI828_05175
ko:K07812	hpyh:HPOKI828_05185
ko:K02503	hpyh:HPOKI828_05200
ko:K01889	hpyh:HPOKI828_05210
ko:K01890	hpyh:HPOKI828_05215
ko:K00800	hpyh:HPOKI828_05220
ko:K03527	hpyh:HPOKI828_05225
ko:K02945	hpyh:HPOKI828_05230
ko:K00058	hpyh:HPOKI828_05240
ko:K03182	hpyh:HPOKI828_05245
ko:K06997	hpyh:HPOKI828_05250
ko:K03269	hpyh:HPOKI828_05255
ko:K03415	hpyh:HPOKI828_05260
ko:K03407	hpyh:HPOKI828_05265
ko:K03408	hpyh:HPOKI828_05270
ko:K11065	hpyh:HPOKI828_05280
ko:K04564	hpyh:HPOKI828_05285
ko:K15256	hpyh:HPOKI828_05290
ko:K04066	hpyh:HPOKI828_05295
ko:K06013	hpyh:HPOKI828_05320
ko:K02493	hpyh:HPOKI828_05325
ko:K00262	hpyh:HPOKI828_05330
ko:K01772	hpyh:HPOKI828_05355
ko:K02020	hpyh:HPOKI828_02350
ko:K02018	hpyh:HPOKI828_02355
ko:K02017	hpyh:HPOKI828_02360
ko:K01885	hpyh:HPOKI828_02365
ko:K06207	hpyh:HPOKI828_02385
ko:K03496	hpyh:HPOKI828_02470
ko:K03205	hpyh:HPOKI828_02515
ko:K03196	hpyh:HPOKI828_02530
ko:K12048	hpyh:HPOKI828_02550
ko:K12049	hpyh:HPOKI828_02555
ko:K03781	hpyh:HPOKI828_02610
ko:K02946	hpyh:HPOKI828_06690
ko:K07133	hpyh:HPOKI828_06695
ko:K03470	hpyh:HPOKI828_06705
ko:K01679	hpyh:HPOKI828_06720
ko:K07787	hpyh:HPOKI828_06740
ko:K03686	hpyh:HPOKI828_06755
ko:K00566	hpyh:HPOKI828_06765
ko:K00969	hpyh:HPOKI828_06775
ko:K07722	hpyh:HPOKI828_06780
ko:K03561	hpyh:HPOKI828_06785
ko:K03559	hpyh:HPOKI828_06790
ko:K03832	hpyh:HPOKI828_06795
ko:K03284	hpyh:HPOKI828_06815
ko:K00927	hpyh:HPOKI828_06820
ko:K00134	hpyh:HPOKI828_06825
ko:K03648	hpyh:HPOKI828_06830
ko:K00655	hpyh:HPOKI828_06835
ko:K03797	hpyh:HPOKI828_06845
ko:K00767	hpyh:HPOKI828_06865
ko:K03517	hpyh:HPOKI828_06870
ko:K01613	hpyh:HPOKI828_06875
ko:K03179	hpyh:HPOKI828_06890
ko:K02238	hpyh:HPOKI828_06895
ko:K02484	hpyh:HPOKI828_06910
ko:K03570	hpyh:HPOKI828_06925
ko:K03569	hpyh:HPOKI828_06930
ko:K03544	hpyh:HPOKI828_06935
ko:K00677	hpyh:HPOKI828_06940
ko:K02372	hpyh:HPOKI828_06945
ko:K00979	hpyh:HPOKI828_01250
ko:K03981	hpyh:HPOKI828_01255
ko:K07126	hpyh:HPOKI828_01280
ko:K01749	hpyh:HPOKI828_01290
ko:K01881	hpyh:HPOKI828_01295
ko:K02492	hpyh:HPOKI828_01300
ko:K02523	hpyh:HPOKI828_01305
ko:K04047	hpyh:HPOKI828_01320
ko:K07710	hpyh:HPOKI828_01325
ko:K02394	hpyh:HPOKI828_01335
ko:K05592	hpyh:HPOKI828_01340
ko:K13896	hpyh:HPOKI828_01355
ko:K13895	hpyh:HPOKI828_01360
ko:K01939	hpyh:HPOKI828_01385
ko:K11749	hpyh:HPOKI828_01400
ko:K03601	hpyh:HPOKI828_01405
ko:K07316	hpyh:HPOKI828_01410
ko:K03695	hpyh:HPOKI828_01430
ko:K06196	hpyh:HPOKI828_01435
ko:K01465	hpyh:HPOKI828_01440
ko:K06168	hpyh:HPOKI828_01455
ko:K09778	hpyh:HPOKI828_01460
ko:K06940	hpyh:HPOKI828_01480
ko:K01609	hpyh:HPOKI828_01490
ko:K01524	hpyh:HPOKI828_01500
ko:K02841	hpyh:HPOKI828_01505
ko:K02517	hpyh:HPOKI828_01510
ko:K00773	hpyh:HPOKI828_01515
ko:K09944	hpyh:HPOKI828_01520
ko:K02114	hpyh:HPOKI828_05630
ko:K02112	hpyh:HPOKI828_05635
ko:K02115	hpyh:HPOKI828_05640
ko:K02111	hpyh:HPOKI828_05645
ko:K02113	hpyh:HPOKI828_05650
ko:K02109	hpyh:HPOKI828_05655
ko:K02109	hpyh:HPOKI828_05660
ko:K03497	hpyh:HPOKI828_05665
ko:K03496	hpyh:HPOKI828_05670
ko:K03524	hpyh:HPOKI828_05675
ko:K00604	hpyh:HPOKI828_05680
ko:K02884	hpyh:HPOKI828_05715
ko:K00554	hpyh:HPOKI828_05720
ko:K02860	hpyh:HPOKI828_05725
ko:K06960	hpyh:HPOKI828_05730
ko:K02959	hpyh:HPOKI828_05735
ko:K03106	hpyh:HPOKI828_05740
ko:K01873	hpyh:HPOKI828_05745
ko:K02563	hpyh:HPOKI828_05755
ko:K00286	hpyh:HPOKI828_05770
ko:K04095	hpyh:HPOKI828_05775
ko:K07042	hpyh:HPOKI828_05780
ko:K03839	hpyh:HPOKI828_05785
ko:K00384	hpyh:HPOKI828_05800
ko:K01810	hpyh:HPOKI828_05810
ko:K06200	hpyh:HPOKI828_05825
ko:K02029	hpyh:HPOKI828_05830
ko:K02029	hpyh:HPOKI828_05835
ko:K02028	hpyh:HPOKI828_05840
ko:K02030	hpyh:HPOKI828_05845
ko:K02429	hpyh:HPOKI828_05855
ko:K06901	hpyh:HPOKI828_05860
ko:K03784	hpyh:HPOKI828_05890
ko:K01255	hpyh:HPOKI828_02905
ko:K00759	hpyh:HPOKI828_02915
ko:K01808	hpyh:HPOKI828_02925
ko:K03100	hpyh:HPOKI828_02935
ko:K01491	hpyh:HPOKI828_02940
ko:K01465	hpyh:HPOKI828_02960
ko:K02417	hpyh:HPOKI828_02975
ko:K10773	hpyh:HPOKI828_02980
ko:K07082	hpyh:HPOKI828_02995
ko:K00176	hpyh:HPOKI828_03000
ko:K00174	hpyh:HPOKI828_03005
ko:K00175	hpyh:HPOKI828_03010
ko:K00177	hpyh:HPOKI828_03015
ko:K03611	hpyh:HPOKI828_03035
ko:K05366	hpyh:HPOKI828_03050
ko:K00652	hpyh:HPOKI828_03055
ko:K02406	hpyh:HPOKI828_03070
ko:K07457	hpyh:HPOKI828_03075
ko:K01599	hpyh:HPOKI828_03085
ko:K01992	hpyh:HPOKI828_03115
ko:K01972	hpyh:HPOKI828_03130
ko:K03415	hpyh:HPOKI828_03140
ko:K01876	hpyh:HPOKI828_03145
ko:K00939	hpyh:HPOKI828_03150
ko:K07270	hpyh:HPOKI828_03155
ko:K01507	hpyh:HPOKI828_03165
ko:K03664	hpyh:HPOKI828_07230
ko:K03561	hpyh:HPOKI828_07235
ko:K03559	hpyh:HPOKI828_07240
ko:K03536	hpyh:HPOKI828_07245
ko:K03217	hpyh:HPOKI828_07255
ko:K06346	hpyh:HPOKI828_07260
ko:K03650	hpyh:HPOKI828_07265
ko:K07337	hpyh:HPOKI828_07295
ko:K06178	hpyh:HPOKI828_07305
ko:K02337	hpyh:HPOKI828_07310
ko:K00428	hpyh:HPOKI828_07315
ko:K18480	hpyh:HPOKI828_07330
ko:K02067	hpyh:HPOKI828_07335
ko:K02065	hpyh:HPOKI828_07340
ko:K02066	hpyh:HPOKI828_07345
ko:K00826	hpyh:HPOKI828_07355
ko:K02242	hpyh:HPOKI828_07380
ko:K00943	hpyh:HPOKI828_07385
ko:K00954	hpyh:HPOKI828_07390
ko:K03186	hpyh:HPOKI828_07395
ko:K02386	hpyh:HPOKI828_07400
ko:K03657	hpyh:HPOKI828_07405
ko:K01875	hpyh:HPOKI828_07415
ko:K03602	hpyh:HPOKI828_07425
ko:K03183	hpyh:HPOKI828_07430
ko:K08973	hpyh:HPOKI828_07435
ko:K01992	hpyh:HPOKI828_07450
ko:K01993	hpyh:HPOKI828_07455
ko:K03306	hpyh:HPOKI828_07470
ko:K01928	hpyh:HPOKI828_07485
ko:K00616	hpyh:HPOKI828_07490
ko:K10716	hpyh:HPOKI828_02645
ko:K02902	hpyh:HPOKI828_02650
ko:K15846	hpyh:HPOKI828_02660
ko:K01000	hpyh:HPOKI828_02665
ko:K01925	hpyh:HPOKI828_02670
ko:K07107	hpyh:HPOKI828_02680
ko:K03308	hpyh:HPOKI828_02690
ko:K03308	hpyh:HPOKI828_02695
ko:K02338	hpyh:HPOKI828_02705
ko:K02470	hpyh:HPOKI828_02710
ko:K08077	hpyh:HPOKI828_02730
ko:K00104	hpyh:HPOKI828_02740
ko:K00215	hpyh:HPOKI828_02745
ko:K01915	hpyh:HPOKI828_02760
ko:K02939	hpyh:HPOKI828_02770
ko:K01419	hpyh:HPOKI828_02775
ko:K03667	hpyh:HPOKI828_02780
ko:K07126	hpyh:HPOKI828_02795
ko:K01776	hpyh:HPOKI828_02800
ko:K03628	hpyh:HPOKI828_02805
ko:K02909	hpyh:HPOKI828_02810
ko:K07056	hpyh:HPOKI828_02815
ko:K03218	hpyh:HPOKI828_02820
ko:K01962	hpyh:HPOKI828_02840
ko:K09458	hpyh:HPOKI828_02845
ko:K02078	hpyh:HPOKI828_02855
ko:K00059	hpyh:HPOKI828_02860
ko:K02970	hpyh:HPOKI828_02865
ko:K01778	hpyh:HPOKI828_02885
ko:K06942	hpyh:HPOKI828_02900
ko:K13626	hpyh:HPOKI828_06955
ko:K05807	hpyh:HPOKI828_06965
ko:K01338	hpyh:HPOKI828_06970
ko:K04517	hpyh:HPOKI828_06975
ko:K01173	hpyh:HPOKI828_06980
ko:K01156	hpyh:HPOKI828_06990
ko:K01012	hpyh:HPOKI828_07000
ko:K07058	hpyh:HPOKI828_07005
ko:K09457	hpyh:HPOKI828_07045
ko:K09710	hpyh:HPOKI828_07050
ko:K00791	hpyh:HPOKI828_07055
ko:K03279	hpyh:HPOKI828_07060
ko:K00075	hpyh:HPOKI828_07075
ko:K02420	hpyh:HPOKI828_07080
ko:K02412	hpyh:HPOKI828_07085
ko:K03196	hpyh:HPOKI828_07090
ko:K01870	hpyh:HPOKI828_07095
ko:K06941	hpyh:HPOKI828_07120
ko:K06041	hpyh:HPOKI828_07125
ko:K12574	hpyh:HPOKI828_07130
ko:K02528	hpyh:HPOKI828_07135
ko:K01433	hpyh:HPOKI828_07160
ko:K04773	hpyh:HPOKI828_07165
ko:K03768	hpyh:HPOKI828_07215
ko:K03563	hpyh:HPOKI828_07220
ko:K00919	hpyh:HPOKI828_07225
ko:K07456	hpyh:HPOKI828_03170
ko:K03526	hpyh:HPOKI828_03190
ko:K00674	hpyh:HPOKI828_03195
ko:K07126	hpyh:HPOKI828_03200
ko:K03923	hpyh:HPOKI828_03210
ko:K05927	hpyh:HPOKI828_03215
ko:K05922	hpyh:HPOKI828_03220
ko:K03620	hpyh:HPOKI828_03225
ko:K03605	hpyh:HPOKI828_03230
ko:K06920	hpyh:HPOKI828_03255
ko:K00970	hpyh:HPOKI828_03260
ko:K01885	hpyh:HPOKI828_03280
ko:K02221	hpyh:HPOKI828_03285
ko:K08309	hpyh:HPOKI828_03290
ko:K00963	hpyh:HPOKI828_03295
ko:K00790	hpyh:HPOKI828_03305
ko:K01744	hpyh:HPOKI828_03310
ko:K01079	hpyh:HPOKI828_03325
ko:K02217	hpyh:HPOKI828_03330
ko:K18285	hpyh:HPOKI828_03335
ko:K07277	hpyh:HPOKI828_03340
ko:K11784	hpyh:HPOKI828_03345
ko:K02434	hpyh:HPOKI828_03355
ko:K03469	hpyh:HPOKI828_03370
ko:K03685	hpyh:HPOKI828_03375
ko:K01736	hpyh:HPOKI828_03380
ko:K11473	hpyh:HPOKI828_03395
ko:K00812	hpyh:HPOKI828_03410
ko:K04763	hpyh:HPOKI828_03420
ko:K00567	hpyh:HPOKI828_03425
ko:K07090	hpyh:HPOKI828_03430
ko:K13016	hpyh:HPOKI828_03435
ko:K02897	hpyh:HPOKI828_07495
ko:K01056	hpyh:HPOKI828_07500
ko:K11720	hpyh:HPOKI828_07505
ko:K07318	hpyh:HPOKI828_07510
ko:K09943	hpyh:HPOKI828_07535
ko:K17686	hpyh:HPOKI828_07540
ko:K11752	hpyh:HPOKI828_07550
ko:K03312	hpyh:HPOKI828_07555
ko:K00290	hpyh:HPOKI828_07560
ko:K08591	hpyh:HPOKI828_07570
ko:K01633	hpyh:HPOKI828_07575
ko:K02014	hpyh:HPOKI828_07585
ko:K01042	hpyh:HPOKI828_07590
ko:K02600	hpyh:HPOKI828_07595
ko:K01156	hpyh:HPOKI828_07625
ko:K03655	hpyh:HPOKI828_07635
ko:K01142	hpyh:HPOKI828_07650
ko:K02313	hpyh:HPOKI828_07665
ko:K00820	hpyh:HPOKI828_07680
ko:K03427	hpyh:HPOKI828_07695
ko:K01153	hpyh:HPOKI828_07700
ko:K07043	hpyh:HPOKI828_07705
ko:K16091	hpyh:HPOKI828_07710
ko:K01476	hpyh:HPOKI828_07720
ko:K00259	hpyh:HPOKI828_07725
ko:K00858	hpyh:HPOKI828_07740
ko:K03631	hpyh:HPOKI828_07745
ko:K02342	hpyh:HPOKI828_07765
