ko:K19416	amh:I633_11325
ko:K03086	amh:I633_03500
ko:K09117	amh:I633_03510
ko:K02970	amh:I633_03520
ko:K08591	amh:I633_03535
ko:K01633	amh:I633_03540
ko:K00950	amh:I633_03545
ko:K08300	amh:I633_08935
ko:K07040	amh:I633_08960
ko:K02911	amh:I633_08965
ko:K03621	amh:I633_08970
ko:K00645	amh:I633_08985
ko:K02078	amh:I633_08995
ko:K09458	amh:I633_09000
ko:K07082	amh:I633_09010
ko:K00943	amh:I633_09015
ko:K02341	amh:I633_09020
ko:K03424	amh:I633_09025
ko:K03547	amh:I633_04315
ko:K07862	amh:I633_04335
ko:K01468	amh:I633_04345
ko:K05836	amh:I633_04350
ko:K01745	amh:I633_04365
ko:K05805	amh:I633_04370
ko:K07552	amh:I633_04435
ko:K07001	amh:I633_04475
ko:K03427	amh:I633_04520
ko:K01154	amh:I633_04525
ko:K01153	amh:I633_04530
ko:K05590	amh:I633_04625
ko:K02451	amh:I633_04645
ko:K01704	amh:I633_04655
ko:K01703	amh:I633_04660
ko:K00962	amh:I633_09930
ko:K09948	amh:I633_09935
ko:K03088	amh:I633_10100
ko:K05803	amh:I633_10115
ko:K06203	amh:I633_10130
ko:K03529	amh:I633_10135
ko:K03528	amh:I633_10140
ko:K01972	amh:I633_10145
ko:K09928	amh:I633_10150
ko:K00912	amh:I633_10170
ko:K09791	amh:I633_10175
ko:K00979	amh:I633_10180
ko:K14441	amh:I633_10190
ko:K06911	amh:I633_10215
ko:K01647	amh:I633_10230
ko:K00242	amh:I633_10240
ko:K01807	amh:I633_15410
ko:K06938	amh:I633_15435
ko:K00382	amh:I633_15470
ko:K00627	amh:I633_15475
ko:K00163	amh:I633_15480
ko:K03807	amh:I633_15490
ko:K03806	amh:I633_15495
ko:K06985	amh:I633_15500
ko:K00767	amh:I633_15505
ko:K02654	amh:I633_15525
ko:K00859	amh:I633_15530
ko:K09862	amh:I633_15540
ko:K02535	amh:I633_15575
ko:K03531	amh:I633_15580
ko:K03590	amh:I633_15585
ko:K03589	amh:I633_15590
ko:K01921	amh:I633_15595
ko:K01924	amh:I633_15600
ko:K01925	amh:I633_15625
ko:K01000	amh:I633_15630
ko:K01929	amh:I633_15635
ko:K01928	amh:I633_15640
ko:K03587	amh:I633_15645
ko:K03586	amh:I633_15650
ko:K03438	amh:I633_15655
ko:K03925	amh:I633_15660
ko:K01273	amh:I633_15675
ko:K07787	amh:I633_15680
ko:K07798	amh:I633_15685
ko:K09986	amh:I633_21130
ko:K00762	amh:I633_21170
ko:K00989	amh:I633_21175
ko:K03427	amh:I633_21255
ko:K01154	amh:I633_21265
ko:K07043	amh:I633_21280
ko:K07733	amh:I633_21290
ko:K07154	amh:I633_21325
ko:K02529	amh:I633_21370
ko:K02114	amh:I633_21415
ko:K02112	amh:I633_21420
ko:K02111	amh:I633_21435
ko:K02113	amh:I633_21440
ko:K02109	amh:I633_21445
ko:K02110	amh:I633_21450
ko:K02108	amh:I633_21455
ko:K03501	amh:I633_21475
ko:K03495	amh:I633_21480
ko:K02398	amh:I633_05360
ko:K02386	amh:I633_05365
ko:K03415	amh:I633_05370
ko:K02387	amh:I633_05380
ko:K02388	amh:I633_05385
ko:K02389	amh:I633_05390
ko:K02390	amh:I633_05395
ko:K02391	amh:I633_05400
ko:K02392	amh:I633_05405
ko:K02393	amh:I633_05410
ko:K02394	amh:I633_05415
ko:K02395	amh:I633_05420
ko:K02396	amh:I633_05425
ko:K02397	amh:I633_05430
ko:K02406	amh:I633_05440
ko:K02406	amh:I633_05445
ko:K02406	amh:I633_05450
ko:K02407	amh:I633_05460
ko:K02422	amh:I633_05465
ko:K02406	amh:I633_05525
ko:K10941	amh:I633_05530
ko:K02408	amh:I633_05550
ko:K02410	amh:I633_05565
ko:K02411	amh:I633_05570
ko:K02412	amh:I633_05575
ko:K02413	amh:I633_05580
ko:K02415	amh:I633_05595
ko:K02416	amh:I633_05600
ko:K02417	amh:I633_05605
ko:K02418	amh:I633_05610
ko:K02419	amh:I633_05615
ko:K02420	amh:I633_05620
ko:K02421	amh:I633_05625
ko:K02401	amh:I633_05630
ko:K02400	amh:I633_05635
ko:K02404	amh:I633_05640
ko:K04562	amh:I633_05645
ko:K02405	amh:I633_05650
ko:K03413	amh:I633_05655
ko:K03414	amh:I633_05660
ko:K03407	amh:I633_05665
ko:K03412	amh:I633_05670
ko:K03408	amh:I633_05685
ko:K03408	amh:I633_05690
ko:K16264	amh:I633_11025
ko:K15726	amh:I633_11045
ko:K16091	amh:I633_11050
ko:K00901	amh:I633_11120
ko:K03594	amh:I633_11145
ko:K03594	amh:I633_11150
ko:K00405	amh:I633_11170
ko:K00407	amh:I633_11175
ko:K00406	amh:I633_11180
ko:K09926	amh:I633_11185
ko:K09792	amh:I633_11205
ko:K14055	amh:I633_11215
ko:K14058	amh:I633_11220
ko:K07001	amh:I633_11225
ko:K12410	amh:I633_11250
ko:K11065	amh:I633_11260
ko:K00995	amh:I633_11270
ko:K03703	amh:I633_11275
ko:K15977	amh:I633_11305
ko:K01915	amh:I633_16470
ko:K07708	amh:I633_16480
ko:K00655	amh:I633_16505
ko:K09893	amh:I633_16510
ko:K01873	amh:I633_16550
ko:K02339	amh:I633_16555
ko:K01255	amh:I633_16560
ko:K11720	amh:I633_16575
ko:K03088	amh:I633_16590
ko:K05970	amh:I633_16760
ko:K01198	amh:I633_16785
ko:K01209	amh:I633_16785
ko:K07226	amh:I633_16845
ko:K07089	amh:I633_22371
ko:K02609	amh:I633_22411
ko:K02313	amh:I633_00005
ko:K02338	amh:I633_00010
ko:K03629	amh:I633_00015
ko:K02470	amh:I633_00020
ko:K01879	amh:I633_00030
ko:K01878	amh:I633_00035
ko:K01246	amh:I633_00040
ko:K09894	amh:I633_00050
ko:K03500	amh:I633_00110
ko:K00604	amh:I633_00115
ko:K01462	amh:I633_00120
ko:K04096	amh:I633_00130
ko:K07479	amh:I633_00140
ko:K07566	amh:I633_00145
ko:K00228	amh:I633_00150
ko:K07275	amh:I633_00155
ko:K06886	amh:I633_00160
ko:K00014	amh:I633_00165
ko:K14161	amh:I633_00220
ko:K05501	amh:I633_00260
ko:K13038	amh:I633_00265
ko:K03630	amh:I633_00270
ko:K02902	amh:I633_00295
ko:K02913	amh:I633_00300
ko:K00954	amh:I633_00315
ko:K11211	amh:I633_00320
ko:K02439	amh:I633_00365
ko:K00651	amh:I633_05700
ko:K03576	amh:I633_05725
ko:K04761	amh:I633_05730
ko:K01673	amh:I633_05735
ko:K03321	amh:I633_05740
ko:K02167	amh:I633_05750
ko:K09919	amh:I633_05760
ko:K03565	amh:I633_05765
ko:K03563	amh:I633_05780
ko:K01573	amh:I633_05785
ko:K03974	amh:I633_05835
ko:K03969	amh:I633_05840
ko:K03970	amh:I633_05845
ko:K00500	amh:I633_05855
ko:K03721	amh:I633_05860
ko:K16171	amh:I633_05865
ko:K05800	amh:I633_05875
ko:K00263	amh:I633_05880
ko:K00453	amh:I633_05895
ko:K00472	amh:I633_05910
ko:K03561	amh:I633_05940
ko:K03561	amh:I633_05945
ko:K03832	amh:I633_05955
ko:K06957	amh:I633_05965
ko:K03789	amh:I633_06010
ko:K07235	amh:I633_11330
ko:K07236	amh:I633_11335
ko:K01875	amh:I633_11370
ko:K06199	amh:I633_11375
ko:K07478	amh:I633_11380
ko:K03634	amh:I633_11385
ko:K00259	amh:I633_11405
ko:K01591	amh:I633_11410
ko:K05788	amh:I633_11430
ko:K02945	amh:I633_11435
ko:K00945	amh:I633_11440
ko:K00800	amh:I633_11445
ko:K00831	amh:I633_11450
ko:K02469	amh:I633_11455
ko:K11107	amh:I633_11480
ko:K01923	amh:I633_11520
ko:K07287	amh:I633_11525
ko:K01714	amh:I633_11530
ko:K03567	amh:I633_11535
ko:K03564	amh:I633_11540
ko:K03809	amh:I633_11565
ko:K10763	amh:I633_11575
ko:K09938	amh:I633_11580
ko:K01933	amh:I633_11585
ko:K11175	amh:I633_11590
ko:K15256	amh:I633_11620
ko:K15257	amh:I633_11625
ko:K15918	amh:I633_11630
ko:K07026	amh:I633_11635
ko:K01091	amh:I633_11655
ko:K02013	amh:I633_16850
ko:K02015	amh:I633_16855
ko:K02440	amh:I633_16890
ko:K01251	amh:I633_16950
ko:K07088	amh:I633_16960
ko:K06136	amh:I633_17010
ko:K06137	amh:I633_17015
ko:K06139	amh:I633_17025
ko:K00140	amh:I633_17110
ko:K03777	amh:I633_17130
ko:K06214	amh:I633_17145
ko:K04338	amh:I633_17150
ko:K04337	amh:I633_17155
ko:K04335	amh:I633_17165
ko:K01625	amh:I633_17210
ko:K00874	amh:I633_17215
ko:K01998	amh:I633_22896
ko:K01778	amh:I633_01155
ko:K01586	amh:I633_01160
ko:K03186	amh:I633_01195
ko:K09950	amh:I633_01230
ko:K07107	amh:I633_01240
ko:K04046	amh:I633_01245
ko:K02529	amh:I633_01290
ko:K00111	amh:I633_01400
ko:K03569	amh:I633_01505
ko:K03570	amh:I633_01510
ko:K03571	amh:I633_01515
ko:K06287	amh:I633_01520
ko:K08301	amh:I633_01525
ko:K09889	amh:I633_01555
ko:K03592	amh:I633_01560
ko:K07773	amh:I633_01575
ko:K14187	amh:I633_06795
ko:K14170	amh:I633_06800
ko:K03413	amh:I633_06805
ko:K03113	amh:I633_06810
ko:K07711	amh:I633_06840
ko:K07715	amh:I633_06850
ko:K01876	amh:I633_06870
ko:K08310	amh:I633_06875
ko:K01159	amh:I633_06880
ko:K03550	amh:I633_06885
ko:K03551	amh:I633_06890
ko:K07107	amh:I633_06895
ko:K03562	amh:I633_06900
ko:K03640	amh:I633_06925
ko:K03517	amh:I633_06935
ko:K00077	amh:I633_06955
ko:K00133	amh:I633_06965
ko:K12262	amh:I633_06975
ko:K07043	amh:I633_07000
ko:K16090	amh:I633_07025
ko:K06192	amh:I633_07060
ko:K01893	amh:I633_07090
ko:K07301	amh:I633_07100
ko:K09897	amh:I633_12390
ko:K09916	amh:I633_12490
ko:K03310	amh:I633_12505
ko:K00134	amh:I633_12520
ko:K00705	amh:I633_12555
ko:K00134	amh:I633_12560
ko:K01792	amh:I633_12565
ko:K01625	amh:I633_12570
ko:K01690	amh:I633_12580
ko:K01057	amh:I633_12585
ko:K00036	amh:I633_12590
ko:K00873	amh:I633_12600
ko:K09190	amh:I633_12655
ko:K09967	amh:I633_12660
ko:K07093	amh:I633_12670
ko:K01815	amh:I633_12685
ko:K01895	amh:I633_18035
ko:K07093	amh:I633_18060
ko:K03525	amh:I633_18080
ko:K03524	amh:I633_18085
ko:K00075	amh:I633_18090
ko:K03717	amh:I633_18115
ko:K00012	amh:I633_18150
ko:K00067	amh:I633_18170
ko:K01790	amh:I633_18175
ko:K00973	amh:I633_18180
ko:K03207	amh:I633_18225
ko:K02377	amh:I633_18230
ko:K02343	amh:I633_13580
ko:K00759	amh:I633_13585
ko:K09929	amh:I633_13590
ko:K09930	amh:I633_13595
ko:K17103	amh:I633_13615
ko:K03777	amh:I633_13635
ko:K03695	amh:I633_13640
ko:K05810	amh:I633_13645
ko:K06180	amh:I633_13650
ko:K05807	amh:I633_13655
ko:K03088	amh:I633_13665
ko:K07157	amh:I633_13670
ko:K09701	amh:I633_13690
ko:K00574	amh:I633_13695
ko:K02557	amh:I633_13700
ko:K02556	amh:I633_13705
ko:K03602	amh:I633_13710
ko:K01662	amh:I633_13725
ko:K01095	amh:I633_13730
ko:K00946	amh:I633_13735
ko:K03625	amh:I633_13740
ko:K00606	amh:I633_18945
ko:K01918	amh:I633_18950
ko:K16090	amh:I633_19000
ko:K06200	amh:I633_19045
ko:K09973	amh:I633_19060
ko:K02358	amh:I633_19065
ko:K02355	amh:I633_19070
ko:K02992	amh:I633_19075
ko:K02950	amh:I633_19080
ko:K03046	amh:I633_19085
ko:K02864	amh:I633_19105
ko:K02863	amh:I633_19110
ko:K02867	amh:I633_19115
ko:K02601	amh:I633_19135
ko:K03073	amh:I633_19140
ko:K09964	amh:I633_19170
ko:K05591	amh:I633_19175
ko:K01465	amh:I633_19180
ko:K03098	amh:I633_19185
ko:K01495	amh:I633_19220
ko:K13938	amh:I633_19225
ko:K12251	amh:I633_19240
ko:K06953	amh:I633_19245
ko:K02356	amh:I633_19270
ko:K00847	amh:I633_19275
ko:K01652	amh:I633_19330
ko:K09940	amh:I633_09055
ko:K07516	amh:I633_09075
ko:K09748	amh:I633_09175
ko:K02600	amh:I633_09180
ko:K02519	amh:I633_09185
ko:K02834	amh:I633_09190
ko:K02956	amh:I633_09200
ko:K06182	amh:I633_09205
ko:K07394	amh:I633_09225
ko:K10716	amh:I633_14375
ko:K08989	amh:I633_14385
ko:K02003	amh:I633_14425
ko:K01425	amh:I633_14440
ko:K03415	amh:I633_14450
ko:K01637	amh:I633_14455
ko:K01638	amh:I633_14465
ko:K07001	amh:I633_14470
ko:K08679	amh:I633_14475
ko:K02472	amh:I633_14540
ko:K01953	amh:I633_14610
ko:K01953	amh:I633_14655
ko:K01991	amh:I633_14680
ko:K07234	amh:I633_20025
ko:K02575	amh:I633_20030
ko:K02575	amh:I633_20035
ko:K02003	amh:I633_20050
ko:K04042	amh:I633_20090
ko:K13529	amh:I633_20110
ko:K00325	amh:I633_20130
ko:K00324	amh:I633_20135
ko:K03088	amh:I633_20185
ko:K02300	amh:I633_20215
ko:K02299	amh:I633_20220
ko:K02298	amh:I633_20225
ko:K02297	amh:I633_20230
ko:K04078	amh:I633_20280
ko:K03926	amh:I633_20300
ko:K04084	amh:I633_20305
ko:K03786	amh:I633_20315
ko:K02687	amh:I633_20400
ko:K19092	amh:I633_02845
ko:K06153	amh:I633_03550
ko:K02503	amh:I633_03555
ko:K05782	amh:I633_03570
ko:K07636	amh:I633_03600
ko:K02040	amh:I633_03605
ko:K03561	amh:I633_03625
ko:K03561	amh:I633_03630
ko:K03832	amh:I633_03640
ko:K01682	amh:I633_03675
ko:K01682	amh:I633_03695
ko:K09005	amh:I633_03700
ko:K06195	amh:I633_03730
ko:K02528	amh:I633_03735
ko:K00097	amh:I633_03740
ko:K03771	amh:I633_03745
ko:K04744	amh:I633_03750
ko:K05801	amh:I633_03755
ko:K03981	amh:I633_03765
ko:K07462	amh:I633_03770
ko:K03584	amh:I633_03780
ko:K03474	amh:I633_03785
ko:K00997	amh:I633_03790
ko:K00052	amh:I633_04665
ko:K01649	amh:I633_04670
ko:K01689	amh:I633_04680
ko:K01937	amh:I633_04685
ko:K03555	amh:I633_04690
ko:K04061	amh:I633_04715
ko:K02195	amh:I633_04755
ko:K02196	amh:I633_04760
ko:K02197	amh:I633_04765
ko:K02198	amh:I633_04770
ko:K02199	amh:I633_04775
ko:K04754	amh:I633_04790
ko:K03305	amh:I633_04805
ko:K10107	amh:I633_04810
ko:K09689	amh:I633_04815
ko:K09688	amh:I633_04820
ko:K12990	amh:I633_04845
ko:K00963	amh:I633_04850
ko:K02237	amh:I633_04855
ko:K06966	amh:I633_04875
ko:K06879	amh:I633_04885
ko:K15723	amh:I633_04890
ko:K04656	amh:I633_04935
ko:K04656	amh:I633_04945
ko:K03620	amh:I633_04960
ko:K00239	amh:I633_10245
ko:K00240	amh:I633_10250
ko:K00164	amh:I633_10255
ko:K00658	amh:I633_10260
ko:K01902	amh:I633_10275
ko:K16091	amh:I633_10360
ko:K16211	amh:I633_10400
ko:K01886	amh:I633_10415
ko:K06219	amh:I633_10455
ko:K03778	amh:I633_10460
ko:K00432	amh:I633_10465
ko:K00563	amh:I633_10505
ko:K03273	amh:I633_10510
ko:K07014	amh:I633_10515
ko:K09904	amh:I633_10520
ko:K06899	amh:I633_10525
ko:K00850	amh:I633_10565
ko:K07146	amh:I633_10615
ko:K01029	amh:I633_10630
ko:K16872	amh:I633_15745
ko:K09761	amh:I633_15770
ko:K01920	amh:I633_15775
ko:K07735	amh:I633_15780
ko:K07447	amh:I633_15785
ko:K02670	amh:I633_15795
ko:K02669	amh:I633_15800
ko:K06997	amh:I633_15805
ko:K00286	amh:I633_15810
ko:K09861	amh:I633_15890
ko:K01810	amh:I633_15905
ko:K01733	amh:I633_15925
ko:K00872	amh:I633_15930
ko:K00906	amh:I633_15995
ko:K06205	amh:I633_21495
ko:K09767	amh:I633_21510
ko:K03217	amh:I633_21515
ko:K02415	amh:I633_00375
ko:K03181	amh:I633_00380
ko:K03179	amh:I633_00385
ko:K03656	amh:I633_00405
ko:K07154	amh:I633_00420
ko:K03315	amh:I633_00435
ko:K07112	amh:I633_00450
ko:K13771	amh:I633_00455
ko:K07090	amh:I633_00460
ko:K17218	amh:I633_00470
ko:K00425	amh:I633_00510
ko:K15726	amh:I633_00560
ko:K13774	amh:I633_00580
ko:K13779	amh:I633_00605
ko:K01993	amh:I633_00680
ko:K00703	amh:I633_01585
ko:K03439	amh:I633_01600
ko:K03575	amh:I633_01610
ko:K07233	amh:I633_01665
ko:K03413	amh:I633_01700
ko:K03412	amh:I633_01740
ko:K03413	amh:I633_01750
ko:K03407	amh:I633_01755
ko:K03408	amh:I633_01760
ko:K03411	amh:I633_01790
ko:K03412	amh:I633_01795
ko:K01194	amh:I633_01825
ko:K01012	amh:I633_07140
ko:K02169	amh:I633_07155
ko:K01935	amh:I633_07160
ko:K05995	amh:I633_07165
ko:K09954	amh:I633_07205
ko:K03639	amh:I633_07215
ko:K06938	amh:I633_07250
ko:K05541	amh:I633_07255
ko:K10804	amh:I633_07270
ko:K02003	amh:I633_07275
ko:K07071	amh:I633_07285
ko:K07589	amh:I633_07290
ko:K07637	amh:I633_07300
ko:K09780	amh:I633_07325
ko:K01695	amh:I633_07330
ko:K01696	amh:I633_07335
ko:K13498	amh:I633_07340
ko:K00766	amh:I633_07345
ko:K01657	amh:I633_07355
ko:K07053	amh:I633_07360
ko:K05896	amh:I633_07370
ko:K06024	amh:I633_07375
ko:K06178	amh:I633_07380
ko:K06222	amh:I633_07385
ko:K02529	amh:I633_12705
ko:K01685	amh:I633_12710
ko:K01812	amh:I633_12715
ko:K00874	amh:I633_12740
ko:K08325	amh:I633_12830
ko:K01494	amh:I633_12870
ko:K01874	amh:I633_12880
ko:K08307	amh:I633_12900
ko:K03269	amh:I633_12925
ko:K00690	amh:I633_12945
ko:K03781	amh:I633_12960
ko:K06169	amh:I633_12990
ko:K00764	amh:I633_13000
ko:K03558	amh:I633_13005
ko:K03749	amh:I633_13010
ko:K11754	amh:I633_13015
ko:K01963	amh:I633_13020
ko:K06173	amh:I633_13025
ko:K00133	amh:I633_13035
ko:K03473	amh:I633_13040
ko:K01711	amh:I633_18260
ko:K02406	amh:I633_18325
ko:K02879	amh:I633_18340
ko:K03040	amh:I633_18345
ko:K02986	amh:I633_18350
ko:K02948	amh:I633_18355
ko:K02952	amh:I633_18360
ko:K02919	amh:I633_18365
ko:K02876	amh:I633_18385
ko:K02907	amh:I633_18390
ko:K02988	amh:I633_18395
ko:K02881	amh:I633_18400
ko:K02933	amh:I633_18405
ko:K02994	amh:I633_18410
ko:K02954	amh:I633_18415
ko:K02931	amh:I633_18420
ko:K02895	amh:I633_18425
ko:K02874	amh:I633_18430
ko:K03182	amh:I633_18530
ko:K05368	amh:I633_18535
ko:K00426	amh:I633_18595
ko:K05800	amh:I633_18605
ko:K01698	amh:I633_02570
ko:K01524	amh:I633_02575
ko:K03732	amh:I633_02580
ko:K03671	amh:I633_02585
ko:K03628	amh:I633_02590
ko:K03313	amh:I633_02605
ko:K01588	amh:I633_02610
ko:K01589	amh:I633_02615
ko:K04047	amh:I633_02625
ko:K05838	amh:I633_02650
ko:K09937	amh:I633_02665
ko:K01939	amh:I633_02670
ko:K06991	amh:I633_02680
ko:K07106	amh:I633_02730
ko:K01775	amh:I633_02735
ko:K06193	amh:I633_02775
ko:K03829	amh:I633_02780
ko:K16345	amh:I633_08195
ko:K02083	amh:I633_08205
ko:K01868	amh:I633_08280
ko:K02520	amh:I633_08285
ko:K02916	amh:I633_08290
ko:K02887	amh:I633_08295
ko:K01889	amh:I633_08475
ko:K01890	amh:I633_08480
ko:K04764	amh:I633_08485
ko:K01434	amh:I633_08500
ko:K00794	amh:I633_13745
ko:K14652	amh:I633_13750
ko:K00793	amh:I633_13755
ko:K11752	amh:I633_13760
ko:K07738	amh:I633_13765
ko:K00600	amh:I633_13770
ko:K02536	amh:I633_13775
ko:K04485	amh:I633_13795
ko:K03424	amh:I633_13820
ko:K00275	amh:I633_13825
ko:K03685	amh:I633_13835
ko:K03100	amh:I633_13840
ko:K03598	amh:I633_13860
ko:K03597	amh:I633_13865
ko:K03088	amh:I633_13870
ko:K00278	amh:I633_13880
ko:K09159	amh:I633_13895
ko:K03775	amh:I633_13910
ko:K04751	amh:I633_13915
ko:K08084	amh:I633_13925
ko:K02680	amh:I633_13940
ko:K02655	amh:I633_13955
ko:K02673	amh:I633_13975
ko:K02672	amh:I633_13980
ko:K02671	amh:I633_13985
ko:K03527	amh:I633_13990
ko:K03101	amh:I633_14005
ko:K11753	amh:I633_14020
ko:K03980	amh:I633_14025
ko:K02968	amh:I633_14030
ko:K03453	amh:I633_14050
ko:K01772	amh:I633_19340
ko:K04087	amh:I633_19355
ko:K04088	amh:I633_19360
ko:K03665	amh:I633_19365
ko:K03666	amh:I633_19370
ko:K00791	amh:I633_19375
ko:K03572	amh:I633_19380
ko:K01448	amh:I633_19385
ko:K06925	amh:I633_19390
ko:K03426	amh:I633_19425
ko:K07740	amh:I633_19430
ko:K09823	amh:I633_19435
ko:K03088	amh:I633_19475
ko:K02939	amh:I633_19495
ko:K02963	amh:I633_19500
ko:K02990	amh:I633_19505
ko:K09918	amh:I633_19515
ko:K02003	amh:I633_19520
ko:K02429	amh:I633_19600
ko:K02529	amh:I633_19610
ko:K00426	amh:I633_19640
ko:K00425	amh:I633_19645
ko:K09790	amh:I633_03825
ko:K07243	amh:I633_03895
ko:K03387	amh:I633_09260
ko:K05777	amh:I633_09350
ko:K05779	amh:I633_09365
ko:K03664	amh:I633_09505
ko:K09801	amh:I633_09515
ko:K09773	amh:I633_09555
ko:K07303	amh:I633_09570
ko:K07302	amh:I633_09575
ko:K07153	amh:I633_09615
ko:K07461	amh:I633_14715
ko:K00982	amh:I633_14730
ko:K02517	amh:I633_14740
ko:K00761	amh:I633_14795
ko:K14540	amh:I633_14830
ko:K03437	amh:I633_14835
ko:K02616	amh:I633_14905
ko:K09456	amh:I633_14910
ko:K05851	amh:I633_14940
ko:K13483	amh:I633_14980
ko:K11178	amh:I633_14985
ko:K11177	amh:I633_14990
ko:K05520	amh:I633_15030
ko:K07058	amh:I633_15035
ko:K03557	amh:I633_20410
ko:K01945	amh:I633_20440
ko:K10716	amh:I633_20465
ko:K00855	amh:I633_20470
ko:K04762	amh:I633_20535
ko:K02452	amh:I633_20540
ko:K02453	amh:I633_20545
ko:K02455	amh:I633_20555
ko:K02456	amh:I633_20560
ko:K02457	amh:I633_20565
ko:K02458	amh:I633_20570
ko:K02459	amh:I633_20575
ko:K02460	amh:I633_20580
ko:K02461	amh:I633_20585
ko:K02462	amh:I633_20590
ko:K08312	amh:I633_20635
ko:K03669	amh:I633_20650
ko:K03670	amh:I633_20655
ko:K07070	amh:I633_20690
ko:K03745	amh:I633_20705
ko:K04760	amh:I633_20725
ko:K06959	amh:I633_20730
ko:K02529	amh:I633_20755
ko:K08998	amh:I633_21520
ko:K03536	amh:I633_21525
ko:K02914	amh:I633_21530
ko:K05782	amh:I633_21696
ko:K05548	amh:I633_21701
ko:K03464	amh:I633_21761
ko:K01055	amh:I633_21821
ko:K13926	amh:I633_00685
ko:K06918	amh:I633_00750
ko:K08990	amh:I633_00755
ko:K04095	amh:I633_00770
ko:K03150	amh:I633_00775
ko:K06222	amh:I633_06045
ko:K02837	amh:I633_06160
ko:K01887	amh:I633_06165
ko:K01738	amh:I633_06185
ko:K02836	amh:I633_06235
ko:K04567	amh:I633_06240
ko:K00077	amh:I633_06245
ko:K07320	amh:I633_06305
ko:K01736	amh:I633_06310
ko:K05820	amh:I633_06315
ko:K09786	amh:I633_06325
ko:K04564	amh:I633_06340
ko:K07390	amh:I633_06345
ko:K03088	amh:I633_06355
ko:K02192	amh:I633_06375
ko:K03683	amh:I633_06385
ko:K01126	amh:I633_06395
ko:K03704	amh:I633_06405
ko:K03750	amh:I633_11660
ko:K07141	amh:I633_11675
ko:K09989	amh:I633_11680
ko:K01738	amh:I633_11690
ko:K07726	amh:I633_11720
ko:K00432	amh:I633_11795
