ko:K19405	ctrd:SOTOND1_00718
ko:K00036	ctrd:SOTOND1_00191
ko:K01057	ctrd:SOTOND1_00192
ko:K02343	ctrd:SOTOND1_00193
ko:K00943	ctrd:SOTOND1_00194
ko:K02469	ctrd:SOTOND1_00195
ko:K02470	ctrd:SOTOND1_00196
ko:K00773	ctrd:SOTOND1_00199
ko:K06213	ctrd:SOTOND1_00200
ko:K15580	ctrd:SOTOND1_00204
ko:K15581	ctrd:SOTOND1_00205
ko:K03319	ctrd:SOTOND1_00210
ko:K00850	ctrd:SOTOND1_00211
ko:K00895	ctrd:SOTOND1_00213
ko:K00164	ctrd:SOTOND1_00057
ko:K00658	ctrd:SOTOND1_00058
ko:K05810	ctrd:SOTOND1_00059
ko:K03526	ctrd:SOTOND1_00060
ko:K02400	ctrd:SOTOND1_00064
ko:K02405	ctrd:SOTOND1_00065
ko:K01866	ctrd:SOTOND1_00066
ko:K03596	ctrd:SOTOND1_00068
ko:K03301	ctrd:SOTOND1_00069
ko:K00099	ctrd:SOTOND1_00075
ko:K03629	ctrd:SOTOND1_00078
ko:K02338	ctrd:SOTOND1_00079
ko:K03664	ctrd:SOTOND1_00080
ko:K03734	ctrd:SOTOND1_00081
ko:K01491	ctrd:SOTOND1_00082
ko:K02902	ctrd:SOTOND1_00088
ko:K00705	ctrd:SOTOND1_00089
ko:K04058	ctrd:SOTOND1_00091
ko:K03230	ctrd:SOTOND1_00092
ko:K03229	ctrd:SOTOND1_00093
ko:K06942	ctrd:SOTOND1_00094
ko:K11753	ctrd:SOTOND1_00095
ko:K02834	ctrd:SOTOND1_00097
ko:K02519	ctrd:SOTOND1_00098
ko:K02600	ctrd:SOTOND1_00099
ko:K02945	ctrd:SOTOND1_00100
ko:K00384	ctrd:SOTOND1_00101
ko:K00997	ctrd:SOTOND1_00102
ko:K00208	ctrd:SOTOND1_00106
ko:K01265	ctrd:SOTOND1_00912
ko:K03321	ctrd:SOTOND1_00917
ko:K03527	ctrd:SOTOND1_00920
ko:K03311	ctrd:SOTOND1_00589
ko:K00382	ctrd:SOTOND1_00592
ko:K03644	ctrd:SOTOND1_00593
ko:K03222	ctrd:SOTOND1_00594
ko:K03223	ctrd:SOTOND1_00596
ko:K03226	ctrd:SOTOND1_00597
ko:K03228	ctrd:SOTOND1_00599
ko:K02455	ctrd:SOTOND1_00605
ko:K02453	ctrd:SOTOND1_00607
ko:K03572	ctrd:SOTOND1_00610
ko:K01868	ctrd:SOTOND1_00616
ko:K01867	ctrd:SOTOND1_00620
ko:K03702	ctrd:SOTOND1_00621
ko:K01689	ctrd:SOTOND1_00622
ko:K00240	ctrd:SOTOND1_00626
ko:K00239	ctrd:SOTOND1_00627
ko:K03424	ctrd:SOTOND1_00630
ko:K03562	ctrd:SOTOND1_00632
ko:K03641	ctrd:SOTOND1_00635
ko:K03640	ctrd:SOTOND1_00636
ko:K02527	ctrd:SOTOND1_00216
ko:K01869	ctrd:SOTOND1_00217
ko:K01845	ctrd:SOTOND1_00218
ko:K07735	ctrd:SOTOND1_00219
ko:K08999	ctrd:SOTOND1_00220
ko:K01807	ctrd:SOTOND1_00221
ko:K03787	ctrd:SOTOND1_00226
ko:K03179	ctrd:SOTOND1_00227
ko:K03186	ctrd:SOTOND1_00228
ko:K03308	ctrd:SOTOND1_00241
ko:K02078	ctrd:SOTOND1_00246
ko:K00645	ctrd:SOTOND1_00248
ko:K00648	ctrd:SOTOND1_00249
ko:K06187	ctrd:SOTOND1_00250
ko:K07277	ctrd:SOTOND1_00251
ko:K06142	ctrd:SOTOND1_00252
ko:K02536	ctrd:SOTOND1_00253
ko:K00161	ctrd:SOTOND1_00255
ko:K00162	ctrd:SOTOND1_00256
ko:K00627	ctrd:SOTOND1_00257
ko:K00688	ctrd:SOTOND1_00258
ko:K02313	ctrd:SOTOND1_00260
ko:K03217	ctrd:SOTOND1_00261
ko:K03648	ctrd:SOTOND1_00645
ko:K03657	ctrd:SOTOND1_00646
ko:K03092	ctrd:SOTOND1_00647
ko:K06137	ctrd:SOTOND1_00648
ko:K13941	ctrd:SOTOND1_00651
ko:K01633	ctrd:SOTOND1_00652
ko:K03086	ctrd:SOTOND1_00653
ko:K02968	ctrd:SOTOND1_00655
ko:K03980	ctrd:SOTOND1_00662
ko:K01151	ctrd:SOTOND1_00663
ko:K02986	ctrd:SOTOND1_00664
ko:K07146	ctrd:SOTOND1_00665
ko:K13789	ctrd:SOTOND1_00666
ko:K01698	ctrd:SOTOND1_00672
ko:K00346	ctrd:SOTOND1_00673
ko:K03582	ctrd:SOTOND1_00679
ko:K03583	ctrd:SOTOND1_00680
ko:K03168	ctrd:SOTOND1_00683
ko:K02221	ctrd:SOTOND1_00685
ko:K03559	ctrd:SOTOND1_00633
ko:K04487	ctrd:SOTOND1_00268
ko:K07083	ctrd:SOTOND1_00272
ko:K01962	ctrd:SOTOND1_00275
ko:K01448	ctrd:SOTOND1_00278
ko:K01928	ctrd:SOTOND1_00279
ko:K03587	ctrd:SOTOND1_00280
ko:K03438	ctrd:SOTOND1_00282
ko:K02313	ctrd:SOTOND1_00285
ko:K00347	ctrd:SOTOND1_00288
ko:K00348	ctrd:SOTOND1_00289
ko:K00349	ctrd:SOTOND1_00290
ko:K00350	ctrd:SOTOND1_00291
ko:K02437	ctrd:SOTOND1_00292
ko:K03800	ctrd:SOTOND1_00295
ko:K03696	ctrd:SOTOND1_00296
ko:K00566	ctrd:SOTOND1_00297
ko:K01963	ctrd:SOTOND1_00304
ko:K04564	ctrd:SOTOND1_00305
ko:K03685	ctrd:SOTOND1_00308
ko:K04485	ctrd:SOTOND1_00309
ko:K01749	ctrd:SOTOND1_00310
ko:K01873	ctrd:SOTOND1_00313
ko:K03581	ctrd:SOTOND1_00692
ko:K06861	ctrd:SOTOND1_00694
ko:K01627	ctrd:SOTOND1_00696
ko:K06180	ctrd:SOTOND1_00700
ko:K06960	ctrd:SOTOND1_00701
ko:K02469	ctrd:SOTOND1_00702
ko:K02470	ctrd:SOTOND1_00703
ko:K02492	ctrd:SOTOND1_00704
ko:K03224	ctrd:SOTOND1_00711
ko:K02417	ctrd:SOTOND1_00714
ko:K03219	ctrd:SOTOND1_00716
ko:K02838	ctrd:SOTOND1_00722
ko:K09903	ctrd:SOTOND1_00723
ko:K02357	ctrd:SOTOND1_00724
ko:K02967	ctrd:SOTOND1_00725
ko:K03162	ctrd:SOTOND1_00727
ko:K09013	ctrd:SOTOND1_00731
ko:K09015	ctrd:SOTOND1_00732
ko:K11717	ctrd:SOTOND1_00733
ko:K07220	ctrd:SOTOND1_00737
ko:K03306	ctrd:SOTOND1_00738
ko:K00927	ctrd:SOTOND1_00739
ko:K10773	ctrd:SOTOND1_00743
ko:K03650	ctrd:SOTOND1_00744
ko:K01613	ctrd:SOTOND1_00745
ko:K03046	ctrd:SOTOND1_00325
ko:K03043	ctrd:SOTOND1_00326
ko:K02935	ctrd:SOTOND1_00327
ko:K02864	ctrd:SOTOND1_00328
ko:K02863	ctrd:SOTOND1_00329
ko:K02867	ctrd:SOTOND1_00330
ko:K02601	ctrd:SOTOND1_00331
ko:K03073	ctrd:SOTOND1_00332
ko:K02358	ctrd:SOTOND1_00334
ko:K02518	ctrd:SOTOND1_00336
ko:K01803	ctrd:SOTOND1_00345
ko:K03601	ctrd:SOTOND1_00346
ko:K03602	ctrd:SOTOND1_00347
ko:K01662	ctrd:SOTOND1_00349
ko:K00873	ctrd:SOTOND1_00350
ko:K03701	ctrd:SOTOND1_00351
ko:K02343	ctrd:SOTOND1_00352
ko:K09747	ctrd:SOTOND1_00353
ko:K11381	ctrd:SOTOND1_00359
ko:K03686	ctrd:SOTOND1_00360
ko:K02970	ctrd:SOTOND1_00361
ko:K01338	ctrd:SOTOND1_00363
ko:K03733	ctrd:SOTOND1_00366
ko:K06287	ctrd:SOTOND1_00368
ko:K03075	ctrd:SOTOND1_00371
ko:K01462	ctrd:SOTOND1_00372
ko:K02528	ctrd:SOTOND1_00373
ko:K03070	ctrd:SOTOND1_00747
ko:K03977	ctrd:SOTOND1_00749
ko:K03544	ctrd:SOTOND1_00751
ko:K01358	ctrd:SOTOND1_00752
ko:K03545	ctrd:SOTOND1_00753
ko:K03569	ctrd:SOTOND1_00756
ko:K00057	ctrd:SOTOND1_00761
ko:K02412	ctrd:SOTOND1_00764
ko:K02411	ctrd:SOTOND1_00765
ko:K02409	ctrd:SOTOND1_00766
ko:K13819	ctrd:SOTOND1_00767
ko:K04487	ctrd:SOTOND1_00768
ko:K06178	ctrd:SOTOND1_00770
ko:K03524	ctrd:SOTOND1_00772
ko:K05837	ctrd:SOTOND1_00773
ko:K01875	ctrd:SOTOND1_00776
ko:K11752	ctrd:SOTOND1_00777
ko:K14652	ctrd:SOTOND1_00778
ko:K00794	ctrd:SOTOND1_00779
ko:K03310	ctrd:SOTOND1_00782
ko:K03466	ctrd:SOTOND1_00786
ko:K00351	ctrd:SOTOND1_00791
ko:K03210	ctrd:SOTOND1_00792
ko:K00231	ctrd:SOTOND1_00796
ko:K01599	ctrd:SOTOND1_00798
ko:K01985	ctrd:SOTOND1_00790
ko:K01985	ctrd:SOTOND1_00803
ko:K02028	ctrd:SOTOND1_00132
ko:K15035	ctrd:SOTOND1_00020
ko:K14222	ctrd:SOTOND1_00810
ko:K14220	ctrd:SOTOND1_00040
ko:K01977	ctrd:SOTOND1_00788
ko:K01977	ctrd:SOTOND1_00801
ko:K01980	ctrd:SOTOND1_00789
ko:K01980	ctrd:SOTOND1_00802
ko:K17103	ctrd:SOTOND1_00885
ko:K14233	ctrd:SOTOND1_00376
ko:K14228	ctrd:SOTOND1_00925
ko:K04084	ctrd:SOTOND1_00631
ko:K14236	ctrd:SOTOND1_00145
ko:K14227	ctrd:SOTOND1_00185
ko:K14218	ctrd:SOTOND1_00676
ko:K14230	ctrd:SOTOND1_00214
ko:K14230	ctrd:SOTOND1_00343
ko:K14235	ctrd:SOTOND1_00333
ko:K14233	ctrd:SOTOND1_00528
ko:K14231	ctrd:SOTOND1_00444
ko:K14228	ctrd:SOTOND1_00493
ko:K14221	ctrd:SOTOND1_00230
ko:K14233	ctrd:SOTOND1_00437
ko:K14228	ctrd:SOTOND1_00536
ko:K14228	ctrd:SOTOND1_00573
ko:K14219	ctrd:SOTOND1_00497
ko:K14219	ctrd:SOTOND1_00640
ko:K14219	ctrd:SOTOND1_00697
ko:K14232	ctrd:SOTOND1_00670
ko:K14229	ctrd:SOTOND1_00720
ko:K14224	ctrd:SOTOND1_00721
ko:K14226	ctrd:SOTOND1_00787
ko:K14223	ctrd:SOTOND1_00853
ko:K14218	ctrd:SOTOND1_00186
ko:K14234	ctrd:SOTOND1_00717
ko:K14225	ctrd:SOTOND1_00726
ko:K14228	ctrd:SOTOND1_00501
ko:K14232	ctrd:SOTOND1_00063
ko:K14237	ctrd:SOTOND1_00231
ko:K14230	ctrd:SOTOND1_00215
ko:K14234	ctrd:SOTOND1_00144
ko:K14234	ctrd:SOTOND1_00335
ko:K14225	ctrd:SOTOND1_00754
ko:K00970	ctrd:SOTOND1_00432
ko:K02342	ctrd:SOTOND1_00570
ko:K07258	ctrd:SOTOND1_00586
ko:K01408	ctrd:SOTOND1_00862
ko:K01409	ctrd:SOTOND1_00203
ko:K15582	ctrd:SOTOND1_00206
ko:K10823	ctrd:SOTOND1_00207
ko:K15583	ctrd:SOTOND1_00208
ko:K06889	ctrd:SOTOND1_00212
ko:K09815	ctrd:SOTOND1_00438
ko:K01719	ctrd:SOTOND1_00459
ko:K00380	ctrd:SOTOND1_00461
ko:K01885	ctrd:SOTOND1_00472
ko:K03227	ctrd:SOTOND1_00598
ko:K02454	ctrd:SOTOND1_00606
ko:K01262	ctrd:SOTOND1_00609
ko:K07315	ctrd:SOTOND1_00623
ko:K00241	ctrd:SOTOND1_00629
ko:K03386	ctrd:SOTOND1_00639
ko:K02428	ctrd:SOTOND1_00643
ko:K01679	ctrd:SOTOND1_00916
ko:K04763	ctrd:SOTOND1_00927
ko:K00700	ctrd:SOTOND1_00929
ko:K07098	ctrd:SOTOND1_00488
ko:K00567	ctrd:SOTOND1_00506
ko:K02033	ctrd:SOTOND1_00508
ko:K02035	ctrd:SOTOND1_00509
ko:K02030	ctrd:SOTOND1_00517
ko:K00813	ctrd:SOTOND1_00677
ko:K01934	ctrd:SOTOND1_00689
ko:K00059	ctrd:SOTOND1_00247
ko:K07052	ctrd:SOTOND1_00264
ko:K02342	ctrd:SOTOND1_00271
ko:K02806	ctrd:SOTOND1_00301
ko:K02806	ctrd:SOTOND1_00302
ko:K02124	ctrd:SOTOND1_00315
ko:K02123	ctrd:SOTOND1_00316
ko:K02120	ctrd:SOTOND1_00317
ko:K02118	ctrd:SOTOND1_00318
ko:K02117	ctrd:SOTOND1_00319
ko:K02121	ctrd:SOTOND1_00321
ko:K00616	ctrd:SOTOND1_00324
ko:K03856	ctrd:SOTOND1_00403
ko:K00970	ctrd:SOTOND1_00750
ko:K08483	ctrd:SOTOND1_00354
ko:K11189	ctrd:SOTOND1_00355
ko:K00784	ctrd:SOTOND1_00365
ko:K01596	ctrd:SOTOND1_00757
ko:K00972	ctrd:SOTOND1_00762
ko:K01834	ctrd:SOTOND1_00769
ko:K06910	ctrd:SOTOND1_00783
ko:K07117	ctrd:SOTOND1_00784
ko:K02433	ctrd:SOTOND1_00004
ko:K03471	ctrd:SOTOND1_00009
ko:K00033	ctrd:SOTOND1_00067
ko:K11707	ctrd:SOTOND1_00071
ko:K11710	ctrd:SOTOND1_00072
ko:K11708	ctrd:SOTOND1_00073
ko:K11709	ctrd:SOTOND1_00074
ko:K02035	ctrd:SOTOND1_00141
ko:K06889	ctrd:SOTOND1_00153
ko:K02035	ctrd:SOTOND1_00179
ko:K02049	ctrd:SOTOND1_00184
ko:K03177	ctrd:SOTOND1_00096
ko:K06179	ctrd:SOTOND1_00108
ko:K00939	ctrd:SOTOND1_00130
ko:K01507	ctrd:SOTOND1_00827
ko:K01082	ctrd:SOTOND1_00829
ko:K01909	ctrd:SOTOND1_00831
ko:K00652	ctrd:SOTOND1_00832
ko:K14237	ctrd:SOTOND1_00888
ko:K01840	ctrd:SOTOND1_00306
ko:K06972	ctrd:SOTOND1_00883
ko:K07081	ctrd:SOTOND1_00453
ko:K03625	ctrd:SOTOND1_00891
ko:K00239	ctrd:SOTOND1_00628
ko:K08275	ctrd:SOTOND1_00083
ko:K01802	ctrd:SOTOND1_00576
ko:K03309	ctrd:SOTOND1_00423
ko:K01921	ctrd:SOTOND1_00817
ko:K01924	ctrd:SOTOND1_00817
ko:K08274	ctrd:SOTOND1_00398
ko:K01829	ctrd:SOTOND1_00835
ko:K01829	ctrd:SOTOND1_00838
ko:K07033	ctrd:SOTOND1_00730
ko:K03825	ctrd:SOTOND1_00485
ko:K03496	ctrd:SOTOND1_00617
ko:K03496	ctrd:SOTOND1_p7
ko:K03497	ctrd:SOTOND1_00734
ko:K03111	ctrd:SOTOND1_00047
ko:K02626	ctrd:SOTOND1_00394
ko:K11991	ctrd:SOTOND1_00904
ko:K04771	ctrd:SOTOND1_00882
ko:K19411	ctrd:SOTOND1_00719
ko:K02031	ctrd:SOTOND1_00736
ko:K07125	ctrd:SOTOND1_00338
ko:K22100	ctrd:SOTOND1_00344
ko:K12132	ctrd:SOTOND1_00312
ko:K20265	ctrd:SOTOND1_00224
ko:K20074	ctrd:SOTOND1_00269
ko:K11749	ctrd:SOTOND1_00076
ko:K22099	ctrd:SOTOND1_00649
ko:K00526	ctrd:SOTOND1_00887
ko:K02335	ctrd:SOTOND1_00524
ko:K02316	ctrd:SOTOND1_00847
ko:K02314	ctrd:SOTOND1_p3
ko:K02314	ctrd:SOTOND1_00529
ko:K00287	ctrd:SOTOND1_00650
ko:K03553	ctrd:SOTOND1_00690
ko:K01520	ctrd:SOTOND1_00303
ko:K02032	ctrd:SOTOND1_00735
ko:K00525	ctrd:SOTOND1_00886
ko:K02050	ctrd:SOTOND1_00915
ko:K02051	ctrd:SOTOND1_00915
ko:K01534	ctrd:SOTOND1_00774
ko:K16239	ctrd:SOTOND1_00087
