ko:K00459	hpl:HPB8_982
ko:K02988	hpl:HPB8_177
ko:K01521	hpl:HPB8_1082
ko:K06193	hpl:HPB8_1084
ko:K03781	hpl:HPB8_1087
ko:K01159	hpl:HPB8_1089
ko:K02492	hpl:HPB8_1324
ko:K01881	hpl:HPB8_1325
ko:K01749	hpl:HPB8_1326
ko:K03981	hpl:HPB8_1334
ko:K00979	hpl:HPB8_1335
ko:K07090	hpl:HPB8_1341
ko:K12267	hpl:HPB8_1342
ko:K04485	hpl:HPB8_1343
ko:K13819	hpl:HPB8_1345
ko:K04487	hpl:HPB8_1346
ko:K00099	hpl:HPB8_1349
ko:K00981	hpl:HPB8_1350
ko:K02313	hpl:HPB8_1
ko:K01142	hpl:HPB8_3
ko:K03655	hpl:HPB8_6
ko:K02876	hpl:HPB8_178
ko:K03076	hpl:HPB8_179
ko:K01265	hpl:HPB8_180
ko:K02518	hpl:HPB8_181
ko:K02919	hpl:HPB8_182
ko:K02952	hpl:HPB8_183
ko:K02948	hpl:HPB8_184
ko:K02986	hpl:HPB8_185
ko:K03040	hpl:HPB8_186
ko:K02879	hpl:HPB8_187
ko:K03415	hpl:HPB8_444
ko:K03495	hpl:HPB8_1352
ko:K01808	hpl:HPB8_770
ko:K03100	hpl:HPB8_772
ko:K01491	hpl:HPB8_773
ko:K01465	hpl:HPB8_778
ko:K02417	hpl:HPB8_781
ko:K10773	hpl:HPB8_782
ko:K07082	hpl:HPB8_785
ko:K00176	hpl:HPB8_786
ko:K00174	hpl:HPB8_787
ko:K00175	hpl:HPB8_788
ko:K00177	hpl:HPB8_789
ko:K04562	hpl:HPB8_1152
ko:K02404	hpl:HPB8_1153
ko:K00950	hpl:HPB8_1154
ko:K03786	hpl:HPB8_1156
ko:K02956	hpl:HPB8_1158
ko:K02400	hpl:HPB8_1159
ko:K01928	hpl:HPB8_36
ko:K03306	hpl:HPB8_39
ko:K01993	hpl:HPB8_42
ko:K04079	hpl:HPB8_1356
ko:K02911	hpl:HPB8_1367
ko:K02600	hpl:HPB8_14
ko:K01042	hpl:HPB8_15
ko:K01633	hpl:HPB8_19
ko:K08591	hpl:HPB8_20
ko:K03312	hpl:HPB8_23
ko:K11752	hpl:HPB8_24
ko:K11720	hpl:HPB8_32
ko:K01056	hpl:HPB8_33
ko:K06920	hpl:HPB8_839
ko:K02221	hpl:HPB8_846
ko:K08309	hpl:HPB8_847
ko:K00963	hpl:HPB8_848
ko:K00790	hpl:HPB8_850
ko:K01744	hpl:HPB8_851
ko:K01079	hpl:HPB8_855
ko:K02217	hpl:HPB8_856
ko:K07277	hpl:HPB8_858
ko:K02434	hpl:HPB8_861
ko:K03685	hpl:HPB8_865
ko:K01736	hpl:HPB8_866
ko:K11473	hpl:HPB8_869
ko:K00812	hpl:HPB8_876
ko:K07090	hpl:HPB8_880
ko:K04042	hpl:HPB8_885
ko:K02419	hpl:HPB8_886
ko:K06442	hpl:HPB8_1205
ko:K11753	hpl:HPB8_1206
ko:K00615	hpl:HPB8_1207
ko:K03466	hpl:HPB8_1209
ko:K02392	hpl:HPB8_1211
ko:K03596	hpl:HPB8_1216
ko:K01662	hpl:HPB8_1217
ko:K02411	hpl:HPB8_1218
ko:K02410	hpl:HPB8_1219
ko:K02409	hpl:HPB8_1220
ko:K01937	hpl:HPB8_1223
ko:K07462	hpl:HPB8_1224
ko:K06180	hpl:HPB8_1225
ko:K03657	hpl:HPB8_52
ko:K02386	hpl:HPB8_53
ko:K03186	hpl:HPB8_54
ko:K00954	hpl:HPB8_55
ko:K00943	hpl:HPB8_56
ko:K00826	hpl:HPB8_63
ko:K02066	hpl:HPB8_65
ko:K02065	hpl:HPB8_66
ko:K00428	hpl:HPB8_71
ko:K02337	hpl:HPB8_72
ko:K06178	hpl:HPB8_73
ko:K07337	hpl:HPB8_77
ko:K03650	hpl:HPB8_84
ko:K03217	hpl:HPB8_86
ko:K03536	hpl:HPB8_88
ko:K02914	hpl:HPB8_89
ko:K03561	hpl:HPB8_91
ko:K03664	hpl:HPB8_92
ko:K08973	hpl:HPB8_46
ko:K03183	hpl:HPB8_47
ko:K03602	hpl:HPB8_48
ko:K01875	hpl:HPB8_50
ko:K00919	hpl:HPB8_93
ko:K03563	hpl:HPB8_94
ko:K04773	hpl:HPB8_106
ko:K01433	hpl:HPB8_107
ko:K01154	hpl:HPB8_108
ko:K02528	hpl:HPB8_113
ko:K06041	hpl:HPB8_115
ko:K06941	hpl:HPB8_116
ko:K01895	hpl:HPB8_1163
ko:K09748	hpl:HPB8_1164
ko:K02834	hpl:HPB8_1165
ko:K02519	hpl:HPB8_1166
ko:K00872	hpl:HPB8_1169
ko:K02535	hpl:HPB8_1171
ko:K03610	hpl:HPB8_1172
ko:K00606	hpl:HPB8_1177
ko:K03551	hpl:HPB8_1178
ko:K03117	hpl:HPB8_1179
ko:K03118	hpl:HPB8_1180
ko:K07568	hpl:HPB8_1181
ko:K03501	hpl:HPB8_1182
ko:K06950	hpl:HPB8_1183
ko:K03413	hpl:HPB8_1186
ko:K02687	hpl:HPB8_1187
ko:K03798	hpl:HPB8_1188
ko:K07241	hpl:HPB8_1196
ko:K02406	hpl:HPB8_800
ko:K01599	hpl:HPB8_803
ko:K01972	hpl:HPB8_813
ko:K03415	hpl:HPB8_814
ko:K01876	hpl:HPB8_815
ko:K07270	hpl:HPB8_817
ko:K07270	hpl:HPB8_818
ko:K07456	hpl:HPB8_820
ko:K01924	hpl:HPB8_822
ko:K02897	hpl:HPB8_34
ko:K02992	hpl:HPB8_295
ko:K02355	hpl:HPB8_296
ko:K01892	hpl:HPB8_301
ko:K00133	hpl:HPB8_302
ko:K08159	hpl:HPB8_306
ko:K01839	hpl:HPB8_313
ko:K06901	hpl:HPB8_321
ko:K02939	hpl:HPB8_730
ko:K01419	hpl:HPB8_731
ko:K03667	hpl:HPB8_732
ko:K01776	hpl:HPB8_743
ko:K03628	hpl:HPB8_744
ko:K07270	hpl:HPB8_1013
ko:K07043	hpl:HPB8_1014
ko:K00997	hpl:HPB8_1016
ko:K02415	hpl:HPB8_1017
ko:K02556	hpl:HPB8_1023
ko:K02557	hpl:HPB8_1024
ko:K03703	hpl:HPB8_1030
ko:K04047	hpl:HPB8_1320
ko:K02523	hpl:HPB8_1323
ko:K03269	hpl:HPB8_445
ko:K06997	hpl:HPB8_446
ko:K03182	hpl:HPB8_447
ko:K02945	hpl:HPB8_450
ko:K03527	hpl:HPB8_451
ko:K00800	hpl:HPB8_452
ko:K01890	hpl:HPB8_453
ko:K01889	hpl:HPB8_454
ko:K02503	hpl:HPB8_456
ko:K01951	hpl:HPB8_461
ko:K00574	hpl:HPB8_466
ko:K01874	hpl:HPB8_467
ko:K01772	hpl:HPB8_468
ko:K03168	hpl:HPB8_487
ko:K03168	hpl:HPB8_537
ko:K03110	hpl:HPB8_970
ko:K06940	hpl:HPB8_971
ko:K03639	hpl:HPB8_977
ko:K03752	hpl:HPB8_978
ko:K02401	hpl:HPB8_979
ko:K01448	hpl:HPB8_981
ko:K01866	hpl:HPB8_983
ko:K03060	hpl:HPB8_985
ko:K09903	hpl:HPB8_986
ko:K01682	hpl:HPB8_988
ko:K00053	hpl:HPB8_1234
ko:K00912	hpl:HPB8_1236
ko:K02393	hpl:HPB8_1239
ko:K00942	hpl:HPB8_1244
ko:K03116	hpl:HPB8_1245
ko:K01887	hpl:HPB8_1246
ko:K07226	hpl:HPB8_1247
ko:K01845	hpl:HPB8_1256
ko:K03979	hpl:HPB8_1259
ko:K12372	hpl:HPB8_1260
ko:K01735	hpl:HPB8_1279
ko:K00773	hpl:HPB8_1281
ko:K02517	hpl:HPB8_1282
ko:K02841	hpl:HPB8_1283
ko:K01609	hpl:HPB8_1286
ko:K06940	hpl:HPB8_1288
ko:K09778	hpl:HPB8_1292
ko:K06168	hpl:HPB8_1293
ko:K01465	hpl:HPB8_1296
ko:K03695	hpl:HPB8_1298
ko:K03601	hpl:HPB8_1304
ko:K11749	hpl:HPB8_1305
ko:K01939	hpl:HPB8_1308
ko:K05592	hpl:HPB8_1316
ko:K02394	hpl:HPB8_1317
ko:K03621	hpl:HPB8_1366
ko:K04759	hpl:HPB8_888
ko:K07501	hpl:HPB8_889
ko:K01028	hpl:HPB8_891
ko:K01029	hpl:HPB8_892
ko:K02106	hpl:HPB8_893
ko:K00901	hpl:HPB8_901
ko:K02469	hpl:HPB8_902
ko:K03701	hpl:HPB8_909
ko:K03438	hpl:HPB8_912
ko:K07023	hpl:HPB8_916
ko:K03092	hpl:HPB8_920
ko:K06861	hpl:HPB8_921
ko:K06925	hpl:HPB8_922
ko:K02343	hpl:HPB8_923
ko:K06895	hpl:HPB8_924
ko:K12370	hpl:HPB8_1262
ko:K12368	hpl:HPB8_1264
ko:K02899	hpl:HPB8_1265
ko:K02888	hpl:HPB8_1266
ko:K02397	hpl:HPB8_1267
ko:K01163	hpl:HPB8_1270
ko:K01586	hpl:HPB8_1272
ko:K07710	hpl:HPB8_1319
ko:K00648	hpl:HPB8_1365
ko:K04075	hpl:HPB8_933
ko:K01095	hpl:HPB8_944
ko:K01921	hpl:HPB8_945
ko:K07447	hpl:HPB8_1230
ko:K04096	hpl:HPB8_1231
ko:K03608	hpl:HPB8_1232
ko:K03609	hpl:HPB8_1233
ko:K03075	hpl:HPB8_225
ko:K02169	hpl:HPB8_226
ko:K01867	hpl:HPB8_227
ko:K00014	hpl:HPB8_231
ko:K12573	hpl:HPB8_232
ko:K02340	hpl:HPB8_233
ko:K02990	hpl:HPB8_234
ko:K02963	hpl:HPB8_236
ko:K02341	hpl:HPB8_254
ko:K02358	hpl:HPB8_285
ko:K02913	hpl:HPB8_286
ko:K03073	hpl:HPB8_287
ko:K02601	hpl:HPB8_288
ko:K02867	hpl:HPB8_289
ko:K02863	hpl:HPB8_290
ko:K03636	hpl:HPB8_1009
ko:K09794	hpl:HPB8_241
ko:K01872	hpl:HPB8_242
ko:K06287	hpl:HPB8_243
ko:K01956	hpl:HPB8_247
ko:K00796	hpl:HPB8_253
ko:K00285	hpl:HPB8_605
ko:K03310	hpl:HPB8_606
ko:K01775	hpl:HPB8_607
ko:K01737	hpl:HPB8_617
ko:K03787	hpl:HPB8_619
ko:K00795	hpl:HPB8_620
ko:K01495	hpl:HPB8_621
ko:K03799	hpl:HPB8_622
ko:K06176	hpl:HPB8_623
ko:K06187	hpl:HPB8_624
ko:K01821	hpl:HPB8_625
ko:K00134	hpl:HPB8_628
ko:K00003	hpl:HPB8_1031
ko:K07460	hpl:HPB8_1032
ko:K03671	hpl:HPB8_1033
ko:K00384	hpl:HPB8_1034
ko:K07270	hpl:HPB8_1035
ko:K02108	hpl:HPB8_1037
ko:K00859	hpl:HPB8_1040
ko:K00797	hpl:HPB8_1041
ko:K03977	hpl:HPB8_1044
ko:K03530	hpl:HPB8_1045
ko:K09860	hpl:HPB8_1047
ko:K13038	hpl:HPB8_1051
ko:K00788	hpl:HPB8_1053
ko:K03811	hpl:HPB8_191
ko:K03707	hpl:HPB8_194
ko:K01657	hpl:HPB8_198
ko:K00766	hpl:HPB8_200
ko:K13498	hpl:HPB8_201
ko:K01696	hpl:HPB8_202
ko:K01695	hpl:HPB8_203
ko:K00343	hpl:HPB8_207
ko:K00342	hpl:HPB8_208
ko:K00341	hpl:HPB8_209
ko:K00340	hpl:HPB8_210
ko:K00339	hpl:HPB8_211
ko:K00338	hpl:HPB8_212
ko:K00337	hpl:HPB8_213
ko:K00334	hpl:HPB8_216
ko:K00333	hpl:HPB8_217
ko:K00332	hpl:HPB8_218
ko:K00331	hpl:HPB8_219
ko:K00330	hpl:HPB8_220
ko:K12410	hpl:HPB8_221
ko:K00762	hpl:HPB8_223
ko:K02838	hpl:HPB8_224
ko:K03531	hpl:HPB8_566
ko:K03590	hpl:HPB8_567
ko:K03770	hpl:HPB8_568
ko:K00833	hpl:HPB8_569
ko:K02435	hpl:HPB8_571
ko:K01879	hpl:HPB8_574
ko:K00057	hpl:HPB8_584
ko:K01878	hpl:HPB8_585
ko:K07164	hpl:HPB8_587
ko:K02527	hpl:HPB8_588
ko:K13292	hpl:HPB8_591
ko:K01963	hpl:HPB8_596
ko:K00783	hpl:HPB8_597
ko:K01929	hpl:HPB8_947
ko:K00948	hpl:HPB8_949
ko:K05837	hpl:HPB8_950
ko:K06180	hpl:HPB8_952
ko:K03439	hpl:HPB8_954
ko:K09812	hpl:HPB8_955
ko:K09811	hpl:HPB8_956
ko:K02407	hpl:HPB8_959
ko:K02422	hpl:HPB8_960
ko:K12251	hpl:HPB8_964
ko:K07084	hpl:HPB8_965
ko:K03634	hpl:HPB8_993
ko:K03070	hpl:HPB8_994
ko:K01154	hpl:HPB8_998
ko:K01534	hpl:HPB8_999
ko:K07391	hpl:HPB8_1000
ko:K01462	hpl:HPB8_1001
ko:K01358	hpl:HPB8_1002
ko:K03545	hpl:HPB8_1003
ko:K03637	hpl:HPB8_1006
ko:K03831	hpl:HPB8_1007
ko:K00928	hpl:HPB8_256
ko:K08311	hpl:HPB8_257
ko:K06199	hpl:HPB8_260
ko:K00806	hpl:HPB8_264
ko:K01945	hpl:HPB8_270
ko:K04744	hpl:HPB8_273
ko:K00962	hpl:HPB8_275
ko:K02110	hpl:HPB8_276
ko:K00640	hpl:HPB8_278
ko:K01156	hpl:HPB8_9
ko:K18929	hpl:HPB8_1427
ko:K00940	hpl:HPB8_1369
ko:K00789	hpl:HPB8_1370
ko:K02536	hpl:HPB8_1371
ko:K00208	hpl:HPB8_1372
ko:K01803	hpl:HPB8_1373
ko:K00246	hpl:HPB8_1374
ko:K00600	hpl:HPB8_1383
ko:K04567	hpl:HPB8_1384
ko:K03558	hpl:HPB8_1385
ko:K03820	hpl:HPB8_1386
ko:K02356	hpl:HPB8_1389
ko:K02421	hpl:HPB8_1393
ko:K03750	hpl:HPB8_1394
ko:K02836	hpl:HPB8_1395
ko:K08303	hpl:HPB8_1397
ko:K01698	hpl:HPB8_1402
ko:K00891	hpl:HPB8_1408
ko:K01689	hpl:HPB8_1411
ko:K01624	hpl:HPB8_1390
ko:K14048	hpl:HPB8_1492
ko:K09805	hpl:HPB8_1062
ko:K09805	hpl:HPB8_1474
ko:K00652	hpl:HPB8_796
ko:K11754	hpl:HPB8_1673
ko:K00616	hpl:HPB8_35
ko:K07316	hpl:HPB8_7
ko:K09765	hpl:HPB8_1466
ko:K01733	hpl:HPB8_1468
ko:K00645	hpl:HPB8_1475
ko:K03086	hpl:HPB8_1477
ko:K00116	hpl:HPB8_1479
ko:K02871	hpl:HPB8_1481
ko:K02996	hpl:HPB8_1482
ko:K02835	hpl:HPB8_1487
ko:K02968	hpl:HPB8_1488
ko:K03431	hpl:HPB8_1489
ko:K03101	hpl:HPB8_1490
ko:K01428	hpl:HPB8_1493
ko:K03187	hpl:HPB8_1496
ko:K03188	hpl:HPB8_1497
ko:K03189	hpl:HPB8_1498
ko:K03190	hpl:HPB8_1499
ko:K13821	hpl:HPB8_1512
ko:K00767	hpl:HPB8_1526
ko:K03517	hpl:HPB8_1527
ko:K01613	hpl:HPB8_1528
ko:K03179	hpl:HPB8_1531
ko:K03570	hpl:HPB8_1540
ko:K03569	hpl:HPB8_1541
ko:K03544	hpl:HPB8_1542
ko:K00677	hpl:HPB8_1543
ko:K02372	hpl:HPB8_1544
ko:K13626	hpl:HPB8_1545
ko:K05807	hpl:HPB8_1547
ko:K01338	hpl:HPB8_1548
ko:K01012	hpl:HPB8_1555
ko:K07058	hpl:HPB8_1556
ko:K09457	hpl:HPB8_1570
ko:K09710	hpl:HPB8_1571
ko:K00791	hpl:HPB8_1572
ko:K04656	hpl:HPB8_1577
ko:K02377	hpl:HPB8_1580
ko:K01711	hpl:HPB8_1581
ko:K00407	hpl:HPB8_1419
ko:K00405	hpl:HPB8_1420
ko:K00404	hpl:HPB8_1421
ko:K03575	hpl:HPB8_1423
ko:K03303	hpl:HPB8_1424
ko:K03303	hpl:HPB8_1425
ko:K00782	hpl:HPB8_1428
ko:K03564	hpl:HPB8_1429
ko:K01626	hpl:HPB8_1431
ko:K03837	hpl:HPB8_1433
ko:K01752	hpl:HPB8_1434
ko:K02887	hpl:HPB8_1441
ko:K02916	hpl:HPB8_1442
ko:K02520	hpl:HPB8_1443
ko:K01868	hpl:HPB8_1444
ko:K03168	hpl:HPB8_1449
ko:K02406	hpl:HPB8_1450
ko:K01628	hpl:HPB8_1453
ko:K03705	hpl:HPB8_1454
ko:K03687	hpl:HPB8_1455
ko:K04043	hpl:HPB8_1456
ko:K07173	hpl:HPB8_1460
ko:K00406	hpl:HPB8_1418
ko:K01579	hpl:HPB8_1590
ko:K03694	hpl:HPB8_1591
ko:K06891	hpl:HPB8_1592
ko:K00820	hpl:HPB8_1710
ko:K02357	hpl:HPB8_1683
ko:K03841	hpl:HPB8_1688
ko:K03631	hpl:HPB8_1693
ko:K00858	hpl:HPB8_1694
ko:K00259	hpl:HPB8_1700
ko:K01476	hpl:HPB8_1701
ko:K07043	hpl:HPB8_1703
ko:K01153	hpl:HPB8_1704
ko:K03427	hpl:HPB8_1705
ko:K01935	hpl:HPB8_1595
ko:K00031	hpl:HPB8_1597
ko:K01647	hpl:HPB8_1598
ko:K03760	hpl:HPB8_1603
ko:K13747	hpl:HPB8_1605
ko:K03415	hpl:HPB8_1606
ko:K09859	hpl:HPB8_1607
ko:K00566	hpl:HPB8_1612
ko:K09747	hpl:HPB8_1589
ko:K13979	hpl:HPB8_400
ko:K02242	hpl:HPB8_57
ko:K04078	hpl:HPB8_1614
ko:K04077	hpl:HPB8_1615
ko:K01918	hpl:HPB8_1619
ko:K01591	hpl:HPB8_1620
ko:K01673	hpl:HPB8_1621
ko:K01627	hpl:HPB8_1622
ko:K00794	hpl:HPB8_1623
ko:K03625	hpl:HPB8_1624
ko:K02392	hpl:HPB8_1631
ko:K00097	hpl:HPB8_1634
ko:K03474	hpl:HPB8_1635
ko:K02072	hpl:HPB8_1640
ko:K02071	hpl:HPB8_1641
ko:K04061	hpl:HPB8_1642
ko:K00793	hpl:HPB8_1643
ko:K03424	hpl:HPB8_1644
ko:K08307	hpl:HPB8_1645
ko:K03642	hpl:HPB8_1646
ko:K03270	hpl:HPB8_1647
ko:K09774	hpl:HPB8_1649
ko:K03978	hpl:HPB8_1650
ko:K05515	hpl:HPB8_1652
ko:K02073	hpl:HPB8_1655
ko:K02016	hpl:HPB8_1657
ko:K02016	hpl:HPB8_1658
ko:K03588	hpl:HPB8_1659
ko:K02387	hpl:HPB8_1661
ko:K02388	hpl:HPB8_1662
ko:K02408	hpl:HPB8_1663
ko:K03587	hpl:HPB8_1664
ko:K00413	hpl:HPB8_1666
ko:K00412	hpl:HPB8_1667
ko:K00411	hpl:HPB8_1668
ko:K03723	hpl:HPB8_1669
ko:K01869	hpl:HPB8_1675
ko:K03074	hpl:HPB8_1677
ko:K03072	hpl:HPB8_1678
ko:K03210	hpl:HPB8_1679
ko:K03313	hpl:HPB8_1680
ko:K02967	hpl:HPB8_1682
ko:K14233	hpl:HPB8_t30
ko:K14228	hpl:HPB8_t19
ko:K01916	hpl:HPB8_1235
ko:K03342	hpl:HPB8_1269
ko:K03317	hpl:HPB8_312
ko:K13893	hpl:HPB8_228
ko:K09804	hpl:HPB8_248
ko:K09944	hpl:HPB8_1280
ko:K04771	hpl:HPB8_1134
ko:K13894	hpl:HPB8_229
ko:K13896	hpl:HPB8_1313
ko:K13895	hpl:HPB8_1312
ko:K09943	hpl:HPB8_27
ko:K11028	hpl:HPB8_666
ko:K14220	hpl:HPB8_t29
ko:K14226	hpl:HPB8_t14
ko:K04517	hpl:HPB8_1549
ko:K14234	hpl:HPB8_t4
ko:K14232	hpl:HPB8_t13
ko:K01990	hpl:HPB8_265
ko:K14221	hpl:HPB8_t35
ko:K14225	hpl:HPB8_t20
ko:K14228	hpl:HPB8_t12
ko:K14232	hpl:HPB8_t25
ko:K14228	hpl:HPB8_t3
ko:K14233	hpl:HPB8_t26
ko:K00949	hpl:HPB8_190
ko:K02067	hpl:HPB8_67
ko:K06346	hpl:HPB8_85
ko:K03768	hpl:HPB8_95
ko:K01679	hpl:HPB8_154
ko:K04093	hpl:HPB8_1271
ko:K03605	hpl:HPB8_834
ko:K01455	hpl:HPB8_246
ko:K02843	hpl:HPB8_300
ko:K01674	hpl:HPB8_304
ko:K03784	hpl:HPB8_314
ko:K14228	hpl:HPB8_t2
ko:K00941	hpl:HPB8_1054
ko:K07097	hpl:HPB8_1160
ko:K02483	hpl:HPB8_1400
ko:K06882	hpl:HPB8_953
ko:K02484	hpl:HPB8_1535
ko:K07791	hpl:HPB8_929
ko:K02484	hpl:HPB8_1401
ko:K01719	hpl:HPB8_261
ko:K14230	hpl:HPB8_t23
ko:K14234	hpl:HPB8_t7
ko:K14231	hpl:HPB8_t1
ko:K12107	hpl:HPB8_700
ko:K14229	hpl:HPB8_t32
ko:K03296	hpl:HPB8_806
ko:K08077	hpl:HPB8_691
ko:K05540	hpl:HPB8_932
ko:K10856	hpl:HPB8_898
ko:K14224	hpl:HPB8_t33
ko:K14222	hpl:HPB8_t18
ko:K14225	hpl:HPB8_t6
ko:K14235	hpl:HPB8_t8
ko:K14224	hpl:HPB8_t36
ko:K14237	hpl:HPB8_t34
ko:K14236	hpl:HPB8_t5
ko:K14230	hpl:HPB8_t22
ko:K14233	hpl:HPB8_t17
