ko:K02030	rsc:RCFBP_20811
ko:K02510	rsc:RCFBP_11598
ko:K00799	rsc:RCFBP_10378
ko:K02053	rsc:RCFBP_11743
ko:K14236	rsc:RCFBP_tRNA4
ko:K02055	rsc:RCFBP_11796
ko:K03566	rsc:RCFBP_21162
ko:K14219	rsc:RCFBP_tRNA53
ko:K14218	rsc:RCFBP_tRNA37
ko:K14218	rsc:RCFBP_tRNA40
ko:K03417	rsc:RCFBP_11385
ko:K00529	rsc:RCFBP_20194
ko:K01978	rsc:RCFBP_misc_RNA_2
ko:K00344	rsc:RCFBP_20230
ko:K01977	rsc:RCFBP_16s_rRNA_1
ko:K01977	rsc:RCFBP_16s_rRNA_2
ko:K01977	rsc:RCFBP_16s_rRNA_3
ko:K05540	rsc:RCFBP_20975
ko:K02614	rsc:RCFBP_10584
ko:K13628	rsc:RCFBP_20459
ko:K14237	rsc:RCFBP_tRNA15
ko:K14219	rsc:RCFBP_tRNA26
ko:K00941	rsc:RCFBP_21346
ko:K14231	rsc:RCFBP_tRNA31
ko:K14228	rsc:RCFBP_tRNA24
ko:K14230	rsc:RCFBP_tRNA12
ko:K14224	rsc:RCFBP_tRNA38
ko:K14224	rsc:RCFBP_tRNA41
ko:K14225	rsc:RCFBP_tRNA28
ko:K14228	rsc:RCFBP_tRNA22
ko:K07749	rsc:RCFBP_20236
ko:K14415	rsc:RCFBP_21263
ko:K03574	rsc:RCFBP_10629
ko:K00970	rsc:RCFBP_10820
ko:K02533	rsc:RCFBP_20272
ko:K09810	rsc:RCFBP_20316
ko:K00799	rsc:RCFBP_10158
ko:K02056	rsc:RCFBP_11222
ko:K17322	rsc:RCFBP_10397
ko:K02484	rsc:RCFBP_10384
ko:K02054	rsc:RCFBP_11744
ko:K01985	rsc:RCFBP_5s_rRNA_1
ko:K01985	rsc:RCFBP_5s_rRNA_3
ko:K01985	rsc:RCFBP_5s_rRNA_2
ko:K00799	rsc:RCFBP_20865
ko:K14235	rsc:RCFBP_tRNA7
ko:K04517	rsc:RCFBP_20575
ko:K14267	rsc:RCFBP_20040
ko:K14234	rsc:RCFBP_tRNA48
ko:K14170	rsc:RCFBP_20577
ko:K14189	rsc:RCFBP_11280
ko:K14441	rsc:RCFBP_11644
ko:K06857	rsc:RCFBP_10815
ko:K14225	rsc:RCFBP_tRNA33
ko:K14225	rsc:RCFBP_tRNA34
ko:K01173	rsc:RCFBP_20672
ko:K05874	rsc:RCFBP_11434
ko:K02358	rsc:RCFBP_10428
ko:K01524	rsc:RCFBP_11516
ko:K06020	rsc:RCFBP_10543
ko:K07497	rsc:RCFBP_10016
ko:K01884	rsc:RCFBP_11151
ko:K07497	rsc:RCFBP_10017
ko:K15035	rsc:RCFBP_misc_RNA_8
ko:K14233	rsc:RCFBP_tRNA14
ko:K03457	rsc:RCFBP_20200
ko:K14230	rsc:RCFBP_tRNA29
ko:K14414	rsc:RCFBP_21265
ko:K14226	rsc:RCFBP_tRNA43
ko:K01760	rsc:RCFBP_11647
ko:K07491	rsc:RCFBP_10484
ko:K14237	rsc:RCFBP_tRNA17
ko:K14237	rsc:RCFBP_tRNA20
ko:K14234	rsc:RCFBP_tRNA8
ko:K14227	rsc:RCFBP_tRNA2
ko:K14227	rsc:RCFBP_tRNA44
ko:K14227	rsc:RCFBP_tRNA9
ko:K14222	rsc:RCFBP_tRNA35
ko:K01607	rsc:RCFBP_11146
ko:K14223	rsc:RCFBP_tRNA30
ko:K09004	rsc:RCFBP_10223
ko:K14230	rsc:RCFBP_tRNA46
ko:K14228	rsc:RCFBP_tRNA19
ko:K14218	rsc:RCFBP_tRNA1
ko:K14219	rsc:RCFBP_tRNA49
ko:K01980	rsc:RCFBP_23s_rRNA_1
ko:K01980	rsc:RCFBP_23s_rRNA_2
ko:K01980	rsc:RCFBP_23s_rRNA_3
ko:K07483	rsc:RCFBP_11105
ko:K14742	rsc:RCFBP_20064
ko:K02650	rsc:RCFBP_20916
ko:K03719	rsc:RCFBP_10335
ko:K00128	rsc:RCFBP_11081
ko:K00128	rsc:RCFBP_21293
ko:K00249	rsc:RCFBP_11365
ko:K06867	rsc:RCFBP_11793
ko:K07165	rsc:RCFBP_10537
ko:K00253	rsc:RCFBP_21214
ko:K06919	rsc:RCFBP_11467
ko:K14645	rsc:RCFBP_10794
ko:K14652	rsc:RCFBP_20700
ko:K14645	rsc:RCFBP_10793
ko:K00666	rsc:RCFBP_21042
ko:K01969	rsc:RCFBP_21224
ko:K15011	rsc:RCFBP_21406
ko:K15773	rsc:RCFBP_11900
ko:K15270	rsc:RCFBP_11167
ko:K11939	rsc:RCFBP_10658
ko:K15269	rsc:RCFBP_21304
ko:K02049	rsc:RCFBP_20234
ko:K02313	rsc:RCFBP_10001
ko:K02338	rsc:RCFBP_10002
ko:K02470	rsc:RCFBP_10003
ko:K02029	rsc:RCFBP_10050
ko:K05916	rsc:RCFBP_10066
ko:K13771	rsc:RCFBP_10067
ko:K03427	rsc:RCFBP_10068
ko:K01153	rsc:RCFBP_10070
ko:K07649	rsc:RCFBP_10071
ko:K07687	rsc:RCFBP_10077
ko:K02073	rsc:RCFBP_10079
ko:K01548	rsc:RCFBP_10081
ko:K07646	rsc:RCFBP_10080
ko:K01547	rsc:RCFBP_10082
ko:K01546	rsc:RCFBP_10083
ko:K01512	rsc:RCFBP_10093
ko:K07115	rsc:RCFBP_10095
ko:K03608	rsc:RCFBP_10097
ko:K03609	rsc:RCFBP_10098
ko:K03610	rsc:RCFBP_10099
ko:K00077	rsc:RCFBP_10102
ko:K03530	rsc:RCFBP_10104
ko:K15012	rsc:RCFBP_21405
ko:K11960	rsc:RCFBP_11348
ko:K01659	rsc:RCFBP_11384
ko:K03772	rsc:RCFBP_20636
ko:K14761	rsc:RCFBP_20631
ko:K01055	rsc:RCFBP_21193
ko:K01834	rsc:RCFBP_21134
ko:K00042	rsc:RCFBP_10196
ko:K15634	rsc:RCFBP_20983
ko:K15738	rsc:RCFBP_20507
ko:K02428	rsc:RCFBP_11254
ko:K15539	rsc:RCFBP_20219
ko:K02031	rsc:RCFBP_11448
ko:K01243	rsc:RCFBP_10087
ko:K02049	rsc:RCFBP_10091
ko:K02050	rsc:RCFBP_10092
ko:K01724	rsc:RCFBP_10109
ko:K03406	rsc:RCFBP_10047
ko:K02523	rsc:RCFBP_10637
ko:K02888	rsc:RCFBP_10638
ko:K02899	rsc:RCFBP_10639
ko:K03979	rsc:RCFBP_10640
ko:K00931	rsc:RCFBP_10641
ko:K08311	rsc:RCFBP_10643
ko:K01881	rsc:RCFBP_10644
ko:K00472	rsc:RCFBP_10646
ko:K00760	rsc:RCFBP_10648
ko:K03106	rsc:RCFBP_10649
ko:K06950	rsc:RCFBP_10651
ko:K02668	rsc:RCFBP_10652
ko:K02667	rsc:RCFBP_10653
ko:K03806	rsc:RCFBP_10654
ko:K06077	rsc:RCFBP_10669
ko:K11065	rsc:RCFBP_10671
ko:K02687	rsc:RCFBP_10673
ko:K01961	rsc:RCFBP_10674
ko:K02160	rsc:RCFBP_10675
ko:K03786	rsc:RCFBP_10676
ko:K02558	rsc:RCFBP_10679
ko:K07000	rsc:RCFBP_10680
ko:K03181	rsc:RCFBP_10681
ko:K01147	rsc:RCFBP_10682
ko:K03832	rsc:RCFBP_10683
ko:K00014	rsc:RCFBP_10684
ko:K03814	rsc:RCFBP_10685
ko:K03284	rsc:RCFBP_10687
ko:K07152	rsc:RCFBP_11482
ko:K08307	rsc:RCFBP_11495
ko:K01908	rsc:RCFBP_11496
ko:K01956	rsc:RCFBP_11497
ko:K11250	rsc:RCFBP_11498
ko:K01955	rsc:RCFBP_11499
ko:K03624	rsc:RCFBP_11500
ko:K03798	rsc:RCFBP_11505
ko:K00796	rsc:RCFBP_11506
ko:K03431	rsc:RCFBP_11507
ko:K02040	rsc:RCFBP_11508
ko:K02037	rsc:RCFBP_11509
ko:K02038	rsc:RCFBP_11510
ko:K02036	rsc:RCFBP_11511
ko:K02039	rsc:RCFBP_11512
ko:K07636	rsc:RCFBP_11514
ko:K00937	rsc:RCFBP_11515
ko:K07088	rsc:RCFBP_20392
ko:K01706	rsc:RCFBP_20395
ko:K03703	rsc:RCFBP_20406
ko:K02356	rsc:RCFBP_20408
ko:K01207	rsc:RCFBP_20409
ko:K00997	rsc:RCFBP_20410
ko:K03474	rsc:RCFBP_20411
ko:K03584	rsc:RCFBP_20412
ko:K00432	rsc:RCFBP_21184
ko:K07001	rsc:RCFBP_21185
ko:K01887	rsc:RCFBP_21206
ko:K03673	rsc:RCFBP_21208
ko:K00906	rsc:RCFBP_21215
ko:K01673	rsc:RCFBP_21216
ko:K09858	rsc:RCFBP_21223
ko:K13766	rsc:RCFBP_21226
ko:K01012	rsc:RCFBP_21227
ko:K01968	rsc:RCFBP_21228
ko:K12972	rsc:RCFBP_21231
ko:K01640	rsc:RCFBP_21232
ko:K06938	rsc:RCFBP_21234
ko:K01591	rsc:RCFBP_10688
ko:K01095	rsc:RCFBP_10691
ko:K00946	rsc:RCFBP_10692
ko:K00029	rsc:RCFBP_10693
ko:K09761	rsc:RCFBP_10697
ko:K00615	rsc:RCFBP_10699
ko:K00134	rsc:RCFBP_10700
ko:K06186	rsc:RCFBP_10704
ko:K00215	rsc:RCFBP_10705
ko:K01869	rsc:RCFBP_10706
ko:K03643	rsc:RCFBP_10707
ko:K02340	rsc:RCFBP_10708
ko:K00147	rsc:RCFBP_10709
ko:K08973	rsc:RCFBP_10710
ko:K07444	rsc:RCFBP_10711
ko:K00325	rsc:RCFBP_10717
ko:K00324	rsc:RCFBP_10718
ko:K01579	rsc:RCFBP_10719
ko:K00324	rsc:RCFBP_10720
ko:K03446	rsc:RCFBP_10723
ko:K03543	rsc:RCFBP_10724
ko:K00566	rsc:RCFBP_10727
ko:K01756	rsc:RCFBP_10730
ko:K03074	rsc:RCFBP_10734
ko:K03072	rsc:RCFBP_10735
ko:K03210	rsc:RCFBP_10736
ko:K00773	rsc:RCFBP_10737
ko:K07568	rsc:RCFBP_10738
ko:K08296	rsc:RCFBP_11518
ko:K07090	rsc:RCFBP_11519
ko:K03809	rsc:RCFBP_11554
ko:K07058	rsc:RCFBP_11555
ko:K01740	rsc:RCFBP_11558
ko:K01736	rsc:RCFBP_11562
ko:K00311	rsc:RCFBP_11563
ko:K01028	rsc:RCFBP_11566
ko:K01029	rsc:RCFBP_11567
ko:K00019	rsc:RCFBP_11568
ko:K03685	rsc:RCFBP_20414
ko:K03100	rsc:RCFBP_20416
ko:K03596	rsc:RCFBP_20417
ko:K03598	rsc:RCFBP_20420
ko:K03597	rsc:RCFBP_20421
ko:K03088	rsc:RCFBP_20422
ko:K09458	rsc:RCFBP_20424
ko:K02078	rsc:RCFBP_20425
ko:K00645	rsc:RCFBP_20427
ko:K00648	rsc:RCFBP_20428
ko:K03621	rsc:RCFBP_20429
ko:K02911	rsc:RCFBP_20431
ko:K07040	rsc:RCFBP_20432
ko:K06287	rsc:RCFBP_20434
ko:K07056	rsc:RCFBP_20435
ko:K04773	rsc:RCFBP_20436
ko:K01091	rsc:RCFBP_20438
ko:K08300	rsc:RCFBP_20440
ko:K03639	rsc:RCFBP_20441
ko:K03752	rsc:RCFBP_20442
ko:K03750	rsc:RCFBP_20443
ko:K09760	rsc:RCFBP_20445
ko:K00782	rsc:RCFBP_20448
ko:K00763	rsc:RCFBP_20449
ko:K02836	rsc:RCFBP_20450
ko:K04567	rsc:RCFBP_20452
ko:K04755	rsc:RCFBP_20455
ko:K04044	rsc:RCFBP_20456
ko:K04082	rsc:RCFBP_20457
ko:K04487	rsc:RCFBP_20461
ko:K00074	rsc:RCFBP_21250
ko:K11942	rsc:RCFBP_21252
ko:K07074	rsc:RCFBP_21262
ko:K07001	rsc:RCFBP_21266
ko:K01512	rsc:RCFBP_21268
ko:K00820	rsc:RCFBP_21275
ko:K04042	rsc:RCFBP_21276
ko:K03655	rsc:RCFBP_10739
ko:K01751	rsc:RCFBP_10746
ko:K08368	rsc:RCFBP_10752
ko:K01714	rsc:RCFBP_10753
ko:K04761	rsc:RCFBP_10758
ko:K04047	rsc:RCFBP_10760
ko:K03179	rsc:RCFBP_10761
ko:K00286	rsc:RCFBP_10763
ko:K06997	rsc:RCFBP_10764
ko:K02669	rsc:RCFBP_10765
ko:K02670	rsc:RCFBP_10766
ko:K02655	rsc:RCFBP_10767
ko:K08084	rsc:RCFBP_10769
ko:K02671	rsc:RCFBP_10770
ko:K02672	rsc:RCFBP_10771
ko:K00432	rsc:RCFBP_10774
ko:K06996	rsc:RCFBP_10777
ko:K11473	rsc:RCFBP_10780
ko:K11472	rsc:RCFBP_10781
ko:K00798	rsc:RCFBP_10784
ko:K01626	rsc:RCFBP_10787
ko:K03568	rsc:RCFBP_10788
ko:K01868	rsc:RCFBP_11572
ko:K02520	rsc:RCFBP_11573
ko:K02916	rsc:RCFBP_11574
ko:K02887	rsc:RCFBP_11575
ko:K01889	rsc:RCFBP_11576
ko:K01890	rsc:RCFBP_11577
ko:K04764	rsc:RCFBP_11578
ko:K02346	rsc:RCFBP_11594
ko:K01142	rsc:RCFBP_11600
ko:K01414	rsc:RCFBP_11602
ko:K01491	rsc:RCFBP_11603
ko:K00163	rsc:RCFBP_11606
ko:K00627	rsc:RCFBP_11607
ko:K00382	rsc:RCFBP_11609
ko:K07107	rsc:RCFBP_11614
ko:K07262	rsc:RCFBP_11616
ko:K13643	rsc:RCFBP_20462
ko:K10441	rsc:RCFBP_20464
ko:K02529	rsc:RCFBP_20466
ko:K03702	rsc:RCFBP_20469
ko:K00832	rsc:RCFBP_20470
ko:K10773	rsc:RCFBP_20474
ko:K09019	rsc:RCFBP_20475
ko:K09989	rsc:RCFBP_20484
ko:K04079	rsc:RCFBP_20488
ko:K03303	rsc:RCFBP_20500
ko:K07240	rsc:RCFBP_20501
ko:K07240	rsc:RCFBP_20502
ko:K02621	rsc:RCFBP_20503
ko:K02622	rsc:RCFBP_20505
ko:K10001	rsc:RCFBP_20510
ko:K01993	rsc:RCFBP_21291
ko:K01476	rsc:RCFBP_21298
ko:K01633	rsc:RCFBP_21299
ko:K08218	rsc:RCFBP_21302
ko:K00145	rsc:RCFBP_21311
ko:K01142	rsc:RCFBP_21313
ko:K00762	rsc:RCFBP_21314
ko:K01778	rsc:RCFBP_21316
ko:K02517	rsc:RCFBP_21317
ko:K02517	rsc:RCFBP_21318
ko:K00789	rsc:RCFBP_21319
ko:K13652	rsc:RCFBP_21321
ko:K07726	rsc:RCFBP_21327
ko:K09456	rsc:RCFBP_21331
ko:K00459	rsc:RCFBP_21338
ko:K03147	rsc:RCFBP_21339
ko:K03154	rsc:RCFBP_21341
ko:K00982	rsc:RCFBP_10791
ko:K03631	rsc:RCFBP_10796
ko:K00858	rsc:RCFBP_10797
ko:K03705	rsc:RCFBP_10798
ko:K05836	rsc:RCFBP_10799
ko:K01712	rsc:RCFBP_10800
ko:K01745	rsc:RCFBP_10801
ko:K01468	rsc:RCFBP_10803
ko:K01772	rsc:RCFBP_10804
ko:K04762	rsc:RCFBP_10805
ko:K03687	rsc:RCFBP_10808
ko:K06140	rsc:RCFBP_10811
ko:K04043	rsc:RCFBP_10812
ko:K03686	rsc:RCFBP_10813
ko:K05773	rsc:RCFBP_10816
ko:K00606	rsc:RCFBP_10817
ko:K00950	rsc:RCFBP_10819
ko:K10763	rsc:RCFBP_10822
ko:K01933	rsc:RCFBP_10824
ko:K10778	rsc:RCFBP_10827
ko:K03919	rsc:RCFBP_10830
ko:K09990	rsc:RCFBP_10831
ko:K00791	rsc:RCFBP_10834
ko:K03572	rsc:RCFBP_10835
ko:K06192	rsc:RCFBP_10836
ko:K00684	rsc:RCFBP_11624
ko:K03549	rsc:RCFBP_11628
ko:K06959	rsc:RCFBP_11631
ko:K05807	rsc:RCFBP_11635
ko:K06180	rsc:RCFBP_11636
ko:K05810	rsc:RCFBP_11637
ko:K03821	rsc:RCFBP_11639
ko:K00023	rsc:RCFBP_11641
ko:K05541	rsc:RCFBP_11643
ko:K01079	rsc:RCFBP_11649
ko:K01438	rsc:RCFBP_11650
ko:K03723	rsc:RCFBP_11651
ko:K00991	rsc:RCFBP_11652
ko:K01770	rsc:RCFBP_11653
ko:K04756	rsc:RCFBP_11654
ko:K07638	rsc:RCFBP_11656
ko:K07659	rsc:RCFBP_11657
ko:K02291	rsc:RCFBP_11661
ko:K03545	rsc:RCFBP_11667
ko:K01754	rsc:RCFBP_20520
ko:K03592	rsc:RCFBP_20523
ko:K09889	rsc:RCFBP_20524
ko:K03831	rsc:RCFBP_20525
ko:K13288	rsc:RCFBP_20526
ko:K06949	rsc:RCFBP_20528
ko:K02227	rsc:RCFBP_20530
ko:K02884	rsc:RCFBP_20532
ko:K00554	rsc:RCFBP_20533
ko:K02860	rsc:RCFBP_20534
ko:K02959	rsc:RCFBP_20535
ko:K04046	rsc:RCFBP_20547
ko:K00285	rsc:RCFBP_20555
ko:K03522	rsc:RCFBP_20557
ko:K03521	rsc:RCFBP_20558
ko:K02073	rsc:RCFBP_20559
ko:K02072	rsc:RCFBP_20560
ko:K02071	rsc:RCFBP_20561
ko:K12339	rsc:RCFBP_20564
ko:K03149	rsc:RCFBP_21342
ko:K00788	rsc:RCFBP_21343
ko:K01251	rsc:RCFBP_21350
ko:K08972	rsc:RCFBP_21351
ko:K00297	rsc:RCFBP_21352
ko:K07006	rsc:RCFBP_21354
ko:K08309	rsc:RCFBP_21356
ko:K10001	rsc:RCFBP_21360
ko:K03500	rsc:RCFBP_21369
ko:K03799	rsc:RCFBP_21370
ko:K00604	rsc:RCFBP_21372
ko:K01462	rsc:RCFBP_21374
ko:K04096	rsc:RCFBP_21376
ko:K05837	rsc:RCFBP_21381
ko:K05515	rsc:RCFBP_21382
ko:K03571	rsc:RCFBP_21383
ko:K03570	rsc:RCFBP_21384
ko:K03569	rsc:RCFBP_21385
ko:K02435	rsc:RCFBP_21386
ko:K03975	rsc:RCFBP_10839
ko:K03980	rsc:RCFBP_10841
ko:K02968	rsc:RCFBP_10842
ko:K01940	rsc:RCFBP_10845
ko:K09913	rsc:RCFBP_10846
ko:K07001	rsc:RCFBP_10847
ko:K00075	rsc:RCFBP_10848
ko:K09767	rsc:RCFBP_10849
ko:K08591	rsc:RCFBP_10850
ko:K06925	rsc:RCFBP_10857
ko:K01448	rsc:RCFBP_10858
ko:K00979	rsc:RCFBP_10863
ko:K09791	rsc:RCFBP_10864
ko:K00912	rsc:RCFBP_10865
ko:K03561	rsc:RCFBP_10867
ko:K03601	rsc:RCFBP_10868
ko:K04564	rsc:RCFBP_10869
ko:K00023	rsc:RCFBP_10870
ko:K09975	rsc:RCFBP_10874
ko:K03530	rsc:RCFBP_10875
ko:K03762	rsc:RCFBP_10877
ko:K07090	rsc:RCFBP_10881
ko:K01358	rsc:RCFBP_11668
ko:K03544	rsc:RCFBP_11669
ko:K01338	rsc:RCFBP_11670
ko:K03530	rsc:RCFBP_11671
ko:K03770	rsc:RCFBP_11673
ko:K03100	rsc:RCFBP_11674
ko:K10804	rsc:RCFBP_11675
ko:K02003	rsc:RCFBP_11676
ko:K01810	rsc:RCFBP_11677
ko:K01952	rsc:RCFBP_11680
ko:K03530	rsc:RCFBP_11689
ko:K03274	rsc:RCFBP_20566
ko:K00012	rsc:RCFBP_20568
ko:K05788	rsc:RCFBP_20571
ko:K02945	rsc:RCFBP_20572
ko:K00945	rsc:RCFBP_20573
ko:K00800	rsc:RCFBP_20574
ko:K00817	rsc:RCFBP_20576
ko:K00831	rsc:RCFBP_20578
ko:K09924	rsc:RCFBP_20579
ko:K02469	rsc:RCFBP_20580
ko:K06911	rsc:RCFBP_20592
ko:K01620	rsc:RCFBP_20607
ko:K01821	rsc:RCFBP_20608
ko:K07403	rsc:RCFBP_20612
ko:K02434	rsc:RCFBP_21391
ko:K09921	rsc:RCFBP_21392
ko:K03733	rsc:RCFBP_21393
ko:K06969	rsc:RCFBP_21394
ko:K06204	rsc:RCFBP_21399
ko:K01419	rsc:RCFBP_21402
ko:K03667	rsc:RCFBP_21403
ko:K03088	rsc:RCFBP_21411
ko:K00930	rsc:RCFBP_21412
ko:K05501	rsc:RCFBP_21414
ko:K00375	rsc:RCFBP_21415
ko:K00823	rsc:RCFBP_21416
ko:K00641	rsc:RCFBP_21418
ko:K06200	rsc:RCFBP_21423
ko:K03577	rsc:RCFBP_21435
ko:K03585	rsc:RCFBP_21436
ko:K02970	rsc:RCFBP_21439
ko:K13529	rsc:RCFBP_10893
ko:K01714	rsc:RCFBP_10897
ko:K15977	rsc:RCFBP_10900
ko:K09005	rsc:RCFBP_10906
ko:K00031	rsc:RCFBP_10910
ko:K03704	rsc:RCFBP_10917
ko:K06891	rsc:RCFBP_10918
ko:K03694	rsc:RCFBP_10919
ko:K07649	rsc:RCFBP_11747
ko:K07774	rsc:RCFBP_11748
ko:K05527	rsc:RCFBP_11754
ko:K06190	rsc:RCFBP_11755
ko:K01999	rsc:RCFBP_11759
ko:K01997	rsc:RCFBP_11760
ko:K01998	rsc:RCFBP_11761
ko:K01995	rsc:RCFBP_11762
ko:K01996	rsc:RCFBP_11763
ko:K07516	rsc:RCFBP_11768
ko:K08281	rsc:RCFBP_11769
ko:K01872	rsc:RCFBP_20624
ko:K08983	rsc:RCFBP_20626
ko:K01886	rsc:RCFBP_20629
ko:K05838	rsc:RCFBP_20640
ko:K07396	rsc:RCFBP_20641
ko:K03782	rsc:RCFBP_20643
ko:K07290	rsc:RCFBP_20645
ko:K01207	rsc:RCFBP_20647
ko:K00275	rsc:RCFBP_20648
ko:K00574	rsc:RCFBP_20649
ko:K01556	rsc:RCFBP_20656
ko:K00453	rsc:RCFBP_20657
ko:K00252	rsc:RCFBP_20659
ko:K06901	rsc:RCFBP_20661
ko:K02068	rsc:RCFBP_20667
ko:K02069	rsc:RCFBP_20668
ko:K03650	rsc:RCFBP_21447
ko:K03217	rsc:RCFBP_21448
ko:K08998	rsc:RCFBP_21449
ko:K03536	rsc:RCFBP_21450
ko:K02914	rsc:RCFBP_21451
ko:K01995	rsc:RCFBP_10121
ko:K01996	rsc:RCFBP_10122
ko:K01999	rsc:RCFBP_10123
ko:K01997	rsc:RCFBP_10124
ko:K01998	rsc:RCFBP_10125
ko:K07090	rsc:RCFBP_10128
ko:K09954	rsc:RCFBP_10133
ko:K01999	rsc:RCFBP_10137
ko:K03495	rsc:RCFBP_10138
ko:K03501	rsc:RCFBP_10139
ko:K02108	rsc:RCFBP_10143
ko:K02110	rsc:RCFBP_10144
ko:K02109	rsc:RCFBP_10145
ko:K02113	rsc:RCFBP_10146
ko:K02111	rsc:RCFBP_10147
ko:K02115	rsc:RCFBP_10148
ko:K02112	rsc:RCFBP_10149
ko:K02114	rsc:RCFBP_10150
ko:K06929	rsc:RCFBP_10154
ko:K02040	rsc:RCFBP_10157
ko:K01599	rsc:RCFBP_10165
ko:K04066	rsc:RCFBP_10166
ko:K13821	rsc:RCFBP_10167
ko:K01999	rsc:RCFBP_10168
ko:K13038	rsc:RCFBP_10964
ko:K03101	rsc:RCFBP_10966
ko:K01870	rsc:RCFBP_10967
ko:K11753	rsc:RCFBP_10968
ko:K11175	rsc:RCFBP_10972
ko:K03500	rsc:RCFBP_10973
ko:K03517	rsc:RCFBP_10977
ko:K00767	rsc:RCFBP_10978
ko:K00278	rsc:RCFBP_10979
ko:K02913	rsc:RCFBP_10980
ko:K02902	rsc:RCFBP_10981
ko:K03630	rsc:RCFBP_10982
ko:K03774	rsc:RCFBP_10983
ko:K03527	rsc:RCFBP_10984
ko:K01999	rsc:RCFBP_10985
ko:K01997	rsc:RCFBP_10986
ko:K01998	rsc:RCFBP_10987
ko:K01995	rsc:RCFBP_10988
ko:K01996	rsc:RCFBP_10989
ko:K01999	rsc:RCFBP_10998
ko:K13634	rsc:RCFBP_10999
ko:K07090	rsc:RCFBP_11000
ko:K07107	rsc:RCFBP_11782
ko:K06980	rsc:RCFBP_11787
ko:K07082	rsc:RCFBP_11788
ko:K00943	rsc:RCFBP_11789
ko:K02341	rsc:RCFBP_11790
ko:K02676	rsc:RCFBP_11791
ko:K03424	rsc:RCFBP_11792
ko:K02053	rsc:RCFBP_11797
ko:K02053	rsc:RCFBP_11798
ko:K00161	rsc:RCFBP_11803
ko:K00162	rsc:RCFBP_11804
ko:K00627	rsc:RCFBP_11805
