ko:K18917	cgj:AR0_04770
ko:K07071	cgj:AR0_08575
ko:K03625	cgj:AR0_08595
ko:K02356	cgj:AR0_08600
ko:K01735	cgj:AR0_08610
ko:K00891	cgj:AR0_08615
ko:K01736	cgj:AR0_08620
ko:K02654	cgj:AR0_08625
ko:K02015	cgj:AR0_08635
ko:K02016	cgj:AR0_08640
ko:K02013	cgj:AR0_08645
ko:K00014	cgj:AR0_08650
ko:K07082	cgj:AR0_08655
ko:K07447	cgj:AR0_08660
ko:K01872	cgj:AR0_08665
ko:K07478	cgj:AR0_08670
ko:K01876	cgj:AR0_08680
ko:K07054	cgj:AR0_08685
ko:K01421	cgj:AR0_08695
ko:K00299	cgj:AR0_08720
ko:K01752	cgj:AR0_08725
ko:K00111	cgj:AR0_08730
ko:K01892	cgj:AR0_08735
ko:K03768	cgj:AR0_08745
ko:K00951	cgj:AR0_08760
ko:K00759	cgj:AR0_08765
ko:K02035	cgj:AR0_08770
ko:K03074	cgj:AR0_08780
ko:K03072	cgj:AR0_08785
ko:K03210	cgj:AR0_08790
ko:K07104	cgj:AR0_09850
ko:K00873	cgj:AR0_09855
ko:K01609	cgj:AR0_09865
ko:K01496	cgj:AR0_09875
ko:K02500	cgj:AR0_09880
ko:K01092	cgj:AR0_09885
ko:K01814	cgj:AR0_09890
ko:K01817	cgj:AR0_09890
ko:K02501	cgj:AR0_09955
ko:K01693	cgj:AR0_09970
ko:K00817	cgj:AR0_09975
ko:K00013	cgj:AR0_09980
ko:K00010	cgj:AR0_10020
ko:K02013	cgj:AR0_10030
ko:K02015	cgj:AR0_10035
ko:K02016	cgj:AR0_10040
ko:K02342	cgj:AR0_10050
ko:K06044	cgj:AR0_10060
ko:K04762	cgj:AR0_10090
ko:K01236	cgj:AR0_10105
ko:K03551	cgj:AR0_08795
ko:K03550	cgj:AR0_08800
ko:K01159	cgj:AR0_08805
ko:K10805	cgj:AR0_08815
ko:K08256	cgj:AR0_08830
ko:K00995	cgj:AR0_08840
ko:K01868	cgj:AR0_08850
ko:K07156	cgj:AR0_08865
ko:K16647	cgj:AR0_08925
ko:K07305	cgj:AR0_08930
ko:K03684	cgj:AR0_08945
ko:K01662	cgj:AR0_08950
ko:K01092	cgj:AR0_08985
ko:K00886	cgj:AR0_08990
ko:K03086	cgj:AR0_08995
ko:K07560	cgj:AR0_09035
ko:K03087	cgj:AR0_09040
ko:K03709	cgj:AR0_09045
ko:K01784	cgj:AR0_09050
ko:K04761	cgj:AR0_09070
ko:K03578	cgj:AR0_09080
ko:K07738	cgj:AR0_09085
ko:K01356	cgj:AR0_09095
ko:K03436	cgj:AR0_09100
ko:K00882	cgj:AR0_09105
ko:K08483	cgj:AR0_09110
ko:K00882	cgj:AR0_09120
ko:K02768	cgj:AR0_09125
ko:K02769	cgj:AR0_09125
ko:K02770	cgj:AR0_09125
ko:K11189	cgj:AR0_09130
ko:K03665	cgj:AR0_09145
ko:K01778	cgj:AR0_09160
ko:K00791	cgj:AR0_09165
ko:K06168	cgj:AR0_09190
ko:K10008	cgj:AR0_09195
ko:K10005	cgj:AR0_09200
ko:K10006	cgj:AR0_09205
ko:K10007	cgj:AR0_09210
ko:K03565	cgj:AR0_09215
ko:K03523	cgj:AR0_09235
ko:K16784	cgj:AR0_09240
ko:K03743	cgj:AR0_09260
ko:K00995	cgj:AR0_09265
ko:K05794	cgj:AR0_09275
ko:K03466	cgj:AR0_09280
ko:K12574	cgj:AR0_09290
ko:K01714	cgj:AR0_09295
ko:K00215	cgj:AR0_09305
ko:K00962	cgj:AR0_09315
ko:K02956	cgj:AR0_09320
ko:K11753	cgj:AR0_09330
ko:K03177	cgj:AR0_09335
ko:K02834	cgj:AR0_09360
ko:K02519	cgj:AR0_09365
ko:K07742	cgj:AR0_09370
ko:K02600	cgj:AR0_09375
ko:K09748	cgj:AR0_09380
ko:K15580	cgj:AR0_09390
ko:K15581	cgj:AR0_09395
ko:K15582	cgj:AR0_09400
ko:K02031	cgj:AR0_09405
ko:K02032	cgj:AR0_09405
ko:K01881	cgj:AR0_09410
ko:K09861	cgj:AR0_09415
ko:K13580	cgj:AR0_09420
ko:K03404	cgj:AR0_09425
ko:K00116	cgj:AR0_09445
ko:K17883	cgj:AR0_09455
ko:K01265	cgj:AR0_09475
ko:K02004	cgj:AR0_09495
ko:K02003	cgj:AR0_09500
ko:K00099	cgj:AR0_09515
ko:K01992	cgj:AR0_09525
ko:K01990	cgj:AR0_09530
ko:K06941	cgj:AR0_09535
ko:K00981	cgj:AR0_09545
ko:K02838	cgj:AR0_09550
ko:K09903	cgj:AR0_09555
ko:K02357	cgj:AR0_09560
ko:K02967	cgj:AR0_09565
ko:K03733	cgj:AR0_09575
ko:K04096	cgj:AR0_09580
ko:K07391	cgj:AR0_09585
ko:K07460	cgj:AR0_09590
ko:K03470	cgj:AR0_09600
ko:K03100	cgj:AR0_09605
ko:K02884	cgj:AR0_09615
ko:K00788	cgj:AR0_09620
ko:K03153	cgj:AR0_09625
ko:K03154	cgj:AR0_09630
ko:K03149	cgj:AR0_09635
ko:K06959	cgj:AR0_09645
ko:K03319	cgj:AR0_09655
ko:K01857	cgj:AR0_09660
ko:K00554	cgj:AR0_09675
ko:K02860	cgj:AR0_09685
ko:K02959	cgj:AR0_09695
ko:K11051	cgj:AR0_09705
ko:K11050	cgj:AR0_09710
ko:K03106	cgj:AR0_09715
ko:K00990	cgj:AR0_09720
ko:K04751	cgj:AR0_09725
ko:K03320	cgj:AR0_09730
ko:K03110	cgj:AR0_09735
ko:K03529	cgj:AR0_09745
ko:K01512	cgj:AR0_09750
ko:K07090	cgj:AR0_09765
ko:K10563	cgj:AR0_09780
ko:K03685	cgj:AR0_09785
ko:K07040	cgj:AR0_09790
ko:K00262	cgj:AR0_09810
ko:K00865	cgj:AR0_09815
ko:K03521	cgj:AR0_06650
ko:K03522	cgj:AR0_06655
ko:K04487	cgj:AR0_06660
ko:K07154	cgj:AR0_06670
ko:K03824	cgj:AR0_06680
ko:K00566	cgj:AR0_06700
ko:K02342	cgj:AR0_06715
ko:K01972	cgj:AR0_06720
ko:K02435	cgj:AR0_06730
ko:K02433	cgj:AR0_06735
ko:K02529	cgj:AR0_06755
ko:K10441	cgj:AR0_06760
ko:K10440	cgj:AR0_06765
ko:K10439	cgj:AR0_06770
ko:K06726	cgj:AR0_06775
ko:K02016	cgj:AR0_06785
ko:K03453	cgj:AR0_06790
ko:K02434	cgj:AR0_06795
ko:K06988	cgj:AR0_06800
ko:K06895	cgj:AR0_06810
ko:K05596	cgj:AR0_06815
ko:K07393	cgj:AR0_06820
ko:K01687	cgj:AR0_06835
ko:K01652	cgj:AR0_06850
ko:K01653	cgj:AR0_06855
ko:K03564	cgj:AR0_11975
ko:K00997	cgj:AR0_11985
ko:K11533	cgj:AR0_11995
ko:K02428	cgj:AR0_12035
ko:K00989	cgj:AR0_12040
ko:K09780	cgj:AR0_12620
ko:K03340	cgj:AR0_12640
ko:K03932	cgj:AR0_12645
ko:K00697	cgj:AR0_12750
ko:K01087	cgj:AR0_12760
ko:K02077	cgj:AR0_12770
ko:K02074	cgj:AR0_12775
ko:K02075	cgj:AR0_12780
ko:K03218	cgj:AR0_12810
ko:K01883	cgj:AR0_12815
ko:K02808	cgj:AR0_12820
ko:K02809	cgj:AR0_12820
ko:K02810	cgj:AR0_12820
ko:K01193	cgj:AR0_12825
ko:K02564	cgj:AR0_12830
ko:K01443	cgj:AR0_12835
ko:K03574	cgj:AR0_13340
ko:K02030	cgj:AR0_13350
ko:K14949	cgj:AR0_13355
ko:K00925	cgj:AR0_13360
ko:K13788	cgj:AR0_13365
ko:K00528	cgj:AR0_13370
ko:K08289	cgj:AR0_13395
ko:K01939	cgj:AR0_13400
ko:K01624	cgj:AR0_13420
ko:K00762	cgj:AR0_13435
ko:K01011	cgj:AR0_13445
ko:K03624	cgj:AR0_05445
ko:K18455	cgj:AR0_05455
ko:K01626	cgj:AR0_05465
ko:K12503	cgj:AR0_05470
ko:K00867	cgj:AR0_05485
ko:K00600	cgj:AR0_05490
ko:K13950	cgj:AR0_05495
ko:K03823	cgj:AR0_05515
ko:K07160	cgj:AR0_05530
ko:K01679	cgj:AR0_05550
ko:K04091	cgj:AR0_05590
ko:K02446	cgj:AR0_05595
ko:K03602	cgj:AR0_05620
ko:K03601	cgj:AR0_05625
ko:K03527	cgj:AR0_05630
ko:K03308	cgj:AR0_05650
ko:K06942	cgj:AR0_05665
ko:K07552	cgj:AR0_05725
ko:K01607	cgj:AR0_05745
ko:K03405	cgj:AR0_05790
ko:K06193	cgj:AR0_05820
ko:K00053	cgj:AR0_06860
ko:K16264	cgj:AR0_06885
ko:K00058	cgj:AR0_06900
ko:K00052	cgj:AR0_06910
ko:K07182	cgj:AR0_06920
ko:K02342	cgj:AR0_06925
ko:K02361	cgj:AR0_06940
ko:K01885	cgj:AR0_06945
ko:K07727	cgj:AR0_06950
ko:K03147	cgj:AR0_07010
ko:K00688	cgj:AR0_07020
ko:K01069	cgj:AR0_07025
ko:K07090	cgj:AR0_07030
ko:K07090	cgj:AR0_07060
ko:K01703	cgj:AR0_07080
ko:K01704	cgj:AR0_07085
ko:K03574	cgj:AR0_07100
ko:K00057	cgj:AR0_07110
ko:K01921	cgj:AR0_07115
ko:K00946	cgj:AR0_07125
ko:K03648	cgj:AR0_07130
ko:K07030	cgj:AR0_07135
ko:K03655	cgj:AR0_07140
ko:K08316	cgj:AR0_07150
ko:K00954	cgj:AR0_07155
ko:K02028	cgj:AR0_07160
ko:K02029	cgj:AR0_07165
ko:K02030	cgj:AR0_07170
ko:K08974	cgj:AR0_07180
ko:K02945	cgj:AR0_07315
ko:K02755	cgj:AR0_07320
ko:K02756	cgj:AR0_07320
ko:K02757	cgj:AR0_07320
ko:K00859	cgj:AR0_07325
ko:K00852	cgj:AR0_07355
ko:K02529	cgj:AR0_07360
ko:K03702	cgj:AR0_07370
ko:K03701	cgj:AR0_07410
ko:K02520	cgj:AR0_07420
ko:K02916	cgj:AR0_07425
ko:K02887	cgj:AR0_07430
ko:K05814	cgj:AR0_07440
ko:K05815	cgj:AR0_07445
ko:K05813	cgj:AR0_07450
ko:K10112	cgj:AR0_07455
ko:K01126	cgj:AR0_07460
ko:K03437	cgj:AR0_07465
ko:K01889	cgj:AR0_07470
ko:K01890	cgj:AR0_07475
ko:K00145	cgj:AR0_07495
ko:K00620	cgj:AR0_07500
ko:K00930	cgj:AR0_07505
ko:K00611	cgj:AR0_07515
ko:K03402	cgj:AR0_07520
ko:K01940	cgj:AR0_07525
ko:K01755	cgj:AR0_07530
ko:K07114	cgj:AR0_07540
ko:K09791	cgj:AR0_07550
ko:K01866	cgj:AR0_07555
ko:K06442	cgj:AR0_07595
ko:K00858	cgj:AR0_07600
ko:K03631	cgj:AR0_07605
ko:K01937	cgj:AR0_07620
ko:K01515	cgj:AR0_07625
ko:K04763	cgj:AR0_07630
ko:K18230	cgj:AR0_07635
ko:K05896	cgj:AR0_07645
ko:K01011	cgj:AR0_07655
ko:K06024	cgj:AR0_07660
ko:K06178	cgj:AR0_07665
ko:K00945	cgj:AR0_07670
ko:K03977	cgj:AR0_07675
ko:K07238	cgj:AR0_07705
ko:K03316	cgj:AR0_07710
ko:K09858	cgj:AR0_07725
ko:K06889	cgj:AR0_07730
ko:K07397	cgj:AR0_07730
ko:K03070	cgj:AR0_07735
ko:K08999	cgj:AR0_07750
ko:K00033	cgj:AR0_07795
ko:K01990	cgj:AR0_07810
ko:K02042	cgj:AR0_07825
ko:K02042	cgj:AR0_07830
ko:K02041	cgj:AR0_07835
ko:K02044	cgj:AR0_07840
ko:K00941	cgj:AR0_07850
ko:K00878	cgj:AR0_07855
ko:K03885	cgj:AR0_07860
ko:K00574	cgj:AR0_07865
ko:K07101	cgj:AR0_07875
ko:K03321	cgj:AR0_07900
ko:K00721	cgj:AR0_07930
ko:K03820	cgj:AR0_07935
ko:K07113	cgj:AR0_07940
ko:K00595	cgj:AR0_07955
ko:K03727	cgj:AR0_07980
ko:K03118	cgj:AR0_07985
ko:K03116	cgj:AR0_07990
ko:K13573	cgj:AR0_07995
ko:K13571	cgj:AR0_08005
ko:K13570	cgj:AR0_08010
ko:K13527	cgj:AR0_08020
ko:K07442	cgj:AR0_08025
ko:K01267	cgj:AR0_08030
ko:K01744	cgj:AR0_08055
ko:K00765	cgj:AR0_08060
ko:K01523	cgj:AR0_08065
ko:K00548	cgj:AR0_08075
ko:K03325	cgj:AR0_08090
ko:K15526	cgj:AR0_08110
ko:K06153	cgj:AR0_08115
ko:K00254	cgj:AR0_08130
ko:K06910	cgj:AR0_08145
ko:K07588	cgj:AR0_08180
ko:K01847	cgj:AR0_08185
ko:K01847	cgj:AR0_08190
ko:K01772	cgj:AR0_08225
ko:K01681	cgj:AR0_08240
ko:K01951	cgj:AR0_08250
ko:K07166	cgj:AR0_08265
ko:K09157	cgj:AR0_08270
ko:K01186	cgj:AR0_08300
ko:K04488	cgj:AR0_08320
ko:K11717	cgj:AR0_08325
ko:K09013	cgj:AR0_08330
ko:K09015	cgj:AR0_08335
ko:K09014	cgj:AR0_08340
ko:K14339	cgj:AR0_08350
ko:K01990	cgj:AR0_08355
ko:K01992	cgj:AR0_08360
ko:K02259	cgj:AR0_08365
ko:K00615	cgj:AR0_08385
ko:K00616	cgj:AR0_08390
ko:K00036	cgj:AR0_08395
ko:K01057	cgj:AR0_08405
ko:K03320	cgj:AR0_08420
ko:K03075	cgj:AR0_08425
ko:K01595	cgj:AR0_08430
ko:K01803	cgj:AR0_08435
ko:K00927	cgj:AR0_08440
ko:K00134	cgj:AR0_08445
ko:K09762	cgj:AR0_08450
ko:K06958	cgj:AR0_08460
ko:K03703	cgj:AR0_08465
ko:K00794	cgj:AR0_08475
ko:K14652	cgj:AR0_08480
ko:K00793	cgj:AR0_08485
ko:K11752	cgj:AR0_08490
ko:K01783	cgj:AR0_08495
ko:K03500	cgj:AR0_08500
ko:K00604	cgj:AR0_08505
ko:K03695	cgj:AR0_13465
ko:K03312	cgj:AR0_13470
ko:K01739	cgj:AR0_13495
ko:K00138	cgj:AR0_13540
ko:K13640	cgj:AR0_13545
ko:K03686	cgj:AR0_13550
ko:K03687	cgj:AR0_13555
ko:K04043	cgj:AR0_13560
ko:K01243	cgj:AR0_13570
ko:K13953	cgj:AR0_13585
ko:K07090	cgj:AR0_13600
ko:K00956	cgj:AR0_13610
ko:K00957	cgj:AR0_13615
ko:K00549	cgj:AR0_10120
ko:K02337	cgj:AR0_10125
ko:K05786	cgj:AR0_10130
ko:K06180	cgj:AR0_10140
ko:K03101	cgj:AR0_10145
ko:K18230	cgj:AR0_10155
ko:K01424	cgj:AR0_10165
ko:K02346	cgj:AR0_10170
ko:K11939	cgj:AR0_10175
ko:K01870	cgj:AR0_10190
ko:K02221	cgj:AR0_10205
ko:K09772	cgj:AR0_10210
ko:K06997	cgj:AR0_10215
ko:K05810	cgj:AR0_10220
ko:K03531	cgj:AR0_10225
ko:K03589	cgj:AR0_10230
ko:K01924	cgj:AR0_10235
ko:K02563	cgj:AR0_10240
ko:K03588	cgj:AR0_10245
ko:K01925	cgj:AR0_10250
ko:K01000	cgj:AR0_10255
ko:K01929	cgj:AR0_10260
ko:K00390	cgj:AR0_13620
ko:K00392	cgj:AR0_13625
ko:K00528	cgj:AR0_13630
ko:K04750	cgj:AR0_13640
ko:K07793	cgj:AR0_13650
ko:K07794	cgj:AR0_13655
ko:K07795	cgj:AR0_13660
ko:K16786	cgj:AR0_13690
ko:K16787	cgj:AR0_13690
ko:K16785	cgj:AR0_13695
ko:K16923	cgj:AR0_13700
ko:K01246	cgj:AR0_13775
ko:K05916	cgj:AR0_13780
ko:K06988	cgj:AR0_13790
ko:K03488	cgj:AR0_13795
ko:K14260	cgj:AR0_13810
ko:K00012	cgj:AR0_13820
ko:K01494	cgj:AR0_13825
ko:K01207	cgj:AR0_13845
ko:K16648	cgj:AR0_13860
ko:K01596	cgj:AR0_13900
ko:K03439	cgj:AR0_13910
ko:K06860	cgj:AR0_13915
ko:K16163	cgj:AR0_14630
ko:K00450	cgj:AR0_14640
ko:K05548	cgj:AR0_14650
ko:K01657	cgj:AR0_14675
ko:K01658	cgj:AR0_14680
ko:K00766	cgj:AR0_14685
ko:K13498	cgj:AR0_14690
ko:K01696	cgj:AR0_14695
ko:K01695	cgj:AR0_14700
ko:K03475	cgj:AR0_14705
ko:K01990	cgj:AR0_14715
ko:K01992	cgj:AR0_14720
ko:K14347	cgj:AR0_14735
ko:K09164	cgj:AR0_14740
ko:K03116	cgj:AR0_14785
ko:K03305	cgj:AR0_14790
ko:K04098	cgj:AR0_14800
ko:K00010	cgj:AR0_14830
ko:K00010	cgj:AR0_14835
ko:K03762	cgj:AR0_14850
ko:K09384	cgj:AR0_14870
ko:K02016	cgj:AR0_14875
ko:K08987	cgj:AR0_14885
ko:K00868	cgj:AR0_14895
ko:K07735	cgj:AR0_14920
ko:K03587	cgj:AR0_10270
ko:K03438	cgj:AR0_10285
ko:K03925	cgj:AR0_10290
ko:K00297	cgj:AR0_10315
ko:K13787	cgj:AR0_10320
ko:K14337	cgj:AR0_10325
ko:K01626	cgj:AR0_10350
ko:K13671	cgj:AR0_10360
ko:K00655	cgj:AR0_10380
ko:K00845	cgj:AR0_10385
ko:K13668	cgj:AR0_10390
ko:K03891	cgj:AR0_10405
ko:K03890	cgj:AR0_10410
ko:K03889	cgj:AR0_10415
ko:K02276	cgj:AR0_10420
ko:K02275	cgj:AR0_10435
ko:K01953	cgj:AR0_10440
ko:K02231	cgj:AR0_10455
ko:K00768	cgj:AR0_10460
ko:K02233	cgj:AR0_10465
ko:K00826	cgj:AR0_10475
ko:K01255	cgj:AR0_10480
ko:K00658	cgj:AR0_10490
ko:K03801	cgj:AR0_10505
ko:K03644	cgj:AR0_10510
ko:K07085	cgj:AR0_10520
ko:K01915	cgj:AR0_10530
ko:K01928	cgj:AR0_10265
ko:K01733	cgj:AR0_10595
ko:K00982	cgj:AR0_10625
ko:K01915	cgj:AR0_10630
ko:K00849	cgj:AR0_10650
ko:K07164	cgj:AR0_10670
ko:K01104	cgj:AR0_10685
ko:K00163	cgj:AR0_10705
ko:K05833	cgj:AR0_10710
ko:K05832	cgj:AR0_10715
ko:K01989	cgj:AR0_10720
ko:K02078	cgj:AR0_10740
ko:K02566	cgj:AR0_10745
ko:K01113	cgj:AR0_10815
ko:K00820	cgj:AR0_10855
ko:K01129	cgj:AR0_10865
ko:K01776	cgj:AR0_12055
ko:K06891	cgj:AR0_12085
ko:K00763	cgj:AR0_12095
ko:K01079	cgj:AR0_12115
ko:K02274	cgj:AR0_12120
ko:K02217	cgj:AR0_12130
ko:K07301	cgj:AR0_12145
ko:K03647	cgj:AR0_12155
ko:K02919	cgj:AR0_12165
ko:K01916	cgj:AR0_12170
ko:K01835	cgj:AR0_12200
ko:K02004	cgj:AR0_12230
ko:K02003	cgj:AR0_12235
ko:K00790	cgj:AR0_12285
ko:K01738	cgj:AR0_12300
ko:K00640	cgj:AR0_12305
ko:K06975	cgj:AR0_12310
ko:K04487	cgj:AR0_05835
ko:K00767	cgj:AR0_05840
ko:K03517	cgj:AR0_05845
ko:K09936	cgj:AR0_05855
ko:K03800	cgj:AR0_05870
ko:K04750	cgj:AR0_05875
ko:K00481	cgj:AR0_05885
ko:K16925	cgj:AR0_05890
ko:K16786	cgj:AR0_05895
ko:K16787	cgj:AR0_05895
ko:K16785	cgj:AR0_05900
ko:K07300	cgj:AR0_05910
ko:K11065	cgj:AR0_05930
ko:K09781	cgj:AR0_05940
ko:K00077	cgj:AR0_05945
ko:K09956	cgj:AR0_05950
ko:K00537	cgj:AR0_05970
ko:K09146	cgj:AR0_05980
ko:K06207	cgj:AR0_05990
ko:K15525	cgj:AR0_06000
ko:K00674	cgj:AR0_06030
ko:K16237	cgj:AR0_06035
ko:K00674	cgj:AR0_06040
ko:K01439	cgj:AR0_06045
ko:K01534	cgj:AR0_06370
ko:K01887	cgj:AR0_06395
ko:K01586	cgj:AR0_06400
ko:K00003	cgj:AR0_06425
ko:K00872	cgj:AR0_06430
ko:K00374	cgj:AR0_06440
ko:K00373	cgj:AR0_06445
ko:K00371	cgj:AR0_06450
ko:K00370	cgj:AR0_06455
ko:K02575	cgj:AR0_06460
ko:K03750	cgj:AR0_06490
ko:K03639	cgj:AR0_06495
ko:K00666	cgj:AR0_06500
ko:K03628	cgj:AR0_06505
ko:K02835	cgj:AR0_06510
ko:K02493	cgj:AR0_06515
ko:K02851	cgj:AR0_06525
ko:K02108	cgj:AR0_06535
ko:K02110	cgj:AR0_06540
ko:K02109	cgj:AR0_06545
ko:K02113	cgj:AR0_06550
ko:K02111	cgj:AR0_06555
ko:K02115	cgj:AR0_06560
ko:K02112	cgj:AR0_06565
ko:K02114	cgj:AR0_06570
ko:K07503	cgj:AR0_06580
ko:K05606	cgj:AR0_06585
ko:K05838	cgj:AR0_06595
ko:K04091	cgj:AR0_06600
ko:K15554	cgj:AR0_06605
ko:K15555	cgj:AR0_06610
ko:K15553	cgj:AR0_06615
ko:K00700	cgj:AR0_06620
ko:K16147	cgj:AR0_06625
ko:K02013	cgj:AR0_06630
ko:K06966	cgj:AR0_06050
ko:K00796	cgj:AR0_06055
ko:K13693	cgj:AR0_06060
ko:K00563	cgj:AR0_06075
ko:K01193	cgj:AR0_06080
ko:K16148	cgj:AR0_06085
ko:K00975	cgj:AR0_06090
ko:K03088	cgj:AR0_06100
ko:K03117	cgj:AR0_06110
ko:K03593	cgj:AR0_06115
ko:K01616	cgj:AR0_06145
ko:K00014	cgj:AR0_06160
ko:K03929	cgj:AR0_06165
ko:K00549	cgj:AR0_06195
ko:K18277	cgj:AR0_06205
ko:K16012	cgj:AR0_06230
ko:K16013	cgj:AR0_06235
ko:K00426	cgj:AR0_06240
ko:K00425	cgj:AR0_06245
ko:K03574	cgj:AR0_06255
ko:K05592	cgj:AR0_06270
ko:K11928	cgj:AR0_06285
ko:K01028	cgj:AR0_06315
ko:K01029	cgj:AR0_06320
ko:K00626	cgj:AR0_06325
ko:K07068	cgj:AR0_06330
ko:K02106	cgj:AR0_06335
ko:K01081	cgj:AR0_00125
ko:K03655	cgj:AR0_00160
ko:K02077	cgj:AR0_00170
ko:K02074	cgj:AR0_00180
ko:K02058	cgj:AR0_00185
ko:K02057	cgj:AR0_00190
ko:K02056	cgj:AR0_00195
ko:K03767	cgj:AR0_00205
ko:K00135	cgj:AR0_00530
ko:K03380	cgj:AR0_00540
ko:K01069	cgj:AR0_00545
ko:K07090	cgj:AR0_00550
ko:K03284	cgj:AR0_00590
ko:K03811	cgj:AR0_00605
ko:K07175	cgj:AR0_00610
ko:K03300	cgj:AR0_00625
ko:K01012	cgj:AR0_00650
ko:K08170	cgj:AR0_00675
ko:K01430	cgj:AR0_00720
ko:K01429	cgj:AR0_00725
ko:K01428	cgj:AR0_00730
ko:K03187	cgj:AR0_00735
ko:K03188	cgj:AR0_00740
ko:K03189	cgj:AR0_00745
ko:K03190	cgj:AR0_00750
ko:K01241	cgj:AR0_00770
ko:K13821	cgj:AR0_00785
ko:K12942	cgj:AR0_00795
ko:K00389	cgj:AR0_00805
ko:K08296	cgj:AR0_00835
ko:K00045	cgj:AR0_00845
ko:K00854	cgj:AR0_00860
ko:K01918	cgj:AR0_00865
ko:K00606	cgj:AR0_00870
ko:K03652	cgj:AR0_00880
ko:K07025	cgj:AR0_00895
ko:K05786	cgj:AR0_00955
ko:K01579	cgj:AR0_00970
ko:K07120	cgj:AR0_00980
ko:K07090	cgj:AR0_00990
ko:K03579	cgj:AR0_01000
ko:K00661	cgj:AR0_01005
ko:K03919	cgj:AR0_01010
ko:K01246	cgj:AR0_01015
ko:K06996	cgj:AR0_01030
ko:K07386	cgj:AR0_01060
ko:K03338	cgj:AR0_01080
ko:K00140	cgj:AR0_01090
ko:K03337	cgj:AR0_01095
ko:K03336	cgj:AR0_01100
ko:K03335	cgj:AR0_01105
ko:K00010	cgj:AR0_01110
ko:K06605	cgj:AR0_01115
ko:K03704	cgj:AR0_01165
ko:K00265	cgj:AR0_01210
ko:K00266	cgj:AR0_01215
ko:K11387	cgj:AR0_01225
ko:K13686	cgj:AR0_01230
ko:K16652	cgj:AR0_01235
ko:K16653	cgj:AR0_01240
ko:K16649	cgj:AR0_01280
ko:K03310	cgj:AR0_01325
ko:K03635	cgj:AR0_01345
ko:K03637	cgj:AR0_01355
ko:K03750	cgj:AR0_01360
ko:K02018	cgj:AR0_01365
ko:K02020	cgj:AR0_01370
ko:K10112	cgj:AR0_01380
ko:K08972	cgj:AR0_01385
ko:K00817	cgj:AR0_01390
ko:K06213	cgj:AR0_01405
ko:K14445	cgj:AR0_01410
ko:K04517	cgj:AR0_01420
ko:K06994	cgj:AR0_01450
ko:K00773	cgj:AR0_01455
ko:K09125	cgj:AR0_01460
ko:K01885	cgj:AR0_01475
ko:K02343	cgj:AR0_01500
ko:K09747	cgj:AR0_01505
ko:K06187	cgj:AR0_01510
ko:K07009	cgj:AR0_01515
ko:K02342	cgj:AR0_01525
ko:K01649	cgj:AR0_01540
ko:K00928	cgj:AR0_01550
ko:K00133	cgj:AR0_01555
ko:K03088	cgj:AR0_01565
ko:K03781	cgj:AR0_01570
ko:K05571	cgj:AR0_01615
ko:K05570	cgj:AR0_01620
