ko:K01006	sagl:GBS222_1396
ko:K02860	sagl:GBS222_1108
ko:K06960	sagl:GBS222_1110
ko:K02959	sagl:GBS222_1111
ko:K02003	sagl:GBS222_1113
ko:K01955	sagl:GBS222_1115
ko:K01956	sagl:GBS222_1116
ko:K02825	sagl:GBS222_1117
ko:K06180	sagl:GBS222_1118
ko:K03101	sagl:GBS222_1119
ko:K02899	sagl:GBS222_1121
ko:K02888	sagl:GBS222_1123
ko:K07282	sagl:GBS222_1124
ko:K03151	sagl:GBS222_1125
ko:K04487	sagl:GBS222_1126
ko:K01736	sagl:GBS222_1130
ko:K01735	sagl:GBS222_1131
ko:K03785	sagl:GBS222_1132
ko:K06969	sagl:GBS222_1133
ko:K02887	sagl:GBS222_1135
ko:K02916	sagl:GBS222_1136
ko:K02520	sagl:GBS222_1137
ko:K00945	sagl:GBS222_1138
ko:K02013	sagl:GBS222_1145
ko:K02016	sagl:GBS222_1146
ko:K04069	sagl:GBS222_1151
ko:K07139	sagl:GBS222_1154
ko:K03100	sagl:GBS222_1158
ko:K10773	sagl:GBS222_0446
ko:K06207	sagl:GBS222_0451
ko:K01925	sagl:GBS222_0453
ko:K02563	sagl:GBS222_0454
ko:K03589	sagl:GBS222_0455
ko:K03590	sagl:GBS222_0456
ko:K03531	sagl:GBS222_0457
ko:K06997	sagl:GBS222_0458
ko:K09772	sagl:GBS222_0459
ko:K02221	sagl:GBS222_0460
ko:K04074	sagl:GBS222_0462
ko:K01870	sagl:GBS222_0463
ko:K02029	sagl:GBS222_0468
ko:K01491	sagl:GBS222_0471
ko:K03601	sagl:GBS222_0473
ko:K03602	sagl:GBS222_0474
ko:K13789	sagl:GBS222_0475
ko:K06442	sagl:GBS222_0476
ko:K03402	sagl:GBS222_0477
ko:K03631	sagl:GBS222_0478
ko:K03530	sagl:GBS222_0482
ko:K06885	sagl:GBS222_0489
ko:K04041	sagl:GBS222_0493
ko:K02836	sagl:GBS222_0495
ko:K09812	sagl:GBS222_0496
ko:K09811	sagl:GBS222_0497
ko:K08602	sagl:GBS222_0677
ko:K01872	sagl:GBS222_0682
ko:K00876	sagl:GBS222_0697
ko:K02343	sagl:GBS222_0699
ko:K03524	sagl:GBS222_0701
ko:K00789	sagl:GBS222_0702
ko:K16925	sagl:GBS222_0706
ko:K16786	sagl:GBS222_0707
ko:K16787	sagl:GBS222_0707
ko:K16785	sagl:GBS222_0708
ko:K03707	sagl:GBS222_0710
ko:K00941	sagl:GBS222_0711
ko:K00878	sagl:GBS222_0712
ko:K00788	sagl:GBS222_0713
ko:K00790	sagl:GBS222_0714
ko:K01265	sagl:GBS222_0717
ko:K07058	sagl:GBS222_0718
ko:K01972	sagl:GBS222_0721
ko:K00975	sagl:GBS222_0725
ko:K00703	sagl:GBS222_0727
ko:K02110	sagl:GBS222_0728
ko:K02108	sagl:GBS222_0729
ko:K00850	sagl:GBS222_0785
ko:K00873	sagl:GBS222_0786
ko:K03100	sagl:GBS222_0787
ko:K00820	sagl:GBS222_0788
ko:K06193	sagl:GBS222_0789
ko:K02029	sagl:GBS222_0790
ko:K02968	sagl:GBS222_0795
ko:K02057	sagl:GBS222_0800
ko:K02057	sagl:GBS222_0801
ko:K02469	sagl:GBS222_0804
ko:K01951	sagl:GBS222_0809
ko:K03710	sagl:GBS222_0810
ko:K04094	sagl:GBS222_0811
ko:K02003	sagl:GBS222_0816
ko:K03106	sagl:GBS222_0825
ko:K01256	sagl:GBS222_0829
ko:K02039	sagl:GBS222_0830
ko:K02036	sagl:GBS222_0831
ko:K02036	sagl:GBS222_0832
ko:K02038	sagl:GBS222_0833
ko:K02037	sagl:GBS222_0834
ko:K02040	sagl:GBS222_0835
ko:K11753	sagl:GBS222_0840
ko:K00600	sagl:GBS222_0898
ko:K07566	sagl:GBS222_0899
ko:K02493	sagl:GBS222_0900
ko:K02835	sagl:GBS222_0901
ko:K01821	sagl:GBS222_0903
ko:K03734	sagl:GBS222_0904
ko:K16169	sagl:GBS222_0908
ko:K03816	sagl:GBS222_0909
ko:K00364	sagl:GBS222_0910
ko:K06180	sagl:GBS222_0916
ko:K00858	sagl:GBS222_0917
ko:K00948	sagl:GBS222_0920
ko:K04487	sagl:GBS222_0921
ko:K01926	sagl:GBS222_0923
ko:K03630	sagl:GBS222_0924
ko:K00075	sagl:GBS222_0943
ko:K00950	sagl:GBS222_0944
ko:K01633	sagl:GBS222_0945
ko:K00796	sagl:GBS222_0946
ko:K01495	sagl:GBS222_0947
ko:K11754	sagl:GBS222_0948
ko:K01807	sagl:GBS222_1011
ko:K01575	sagl:GBS222_1020
ko:K01652	sagl:GBS222_1021
ko:K01790	sagl:GBS222_1028
ko:K00973	sagl:GBS222_1029
ko:K06967	sagl:GBS222_1032
ko:K00759	sagl:GBS222_1034
ko:K07462	sagl:GBS222_1036
ko:K07124	sagl:GBS222_1037
ko:K03665	sagl:GBS222_1040
ko:K00791	sagl:GBS222_1041
ko:K04486	sagl:GBS222_1046
ko:K01126	sagl:GBS222_1050
ko:K03703	sagl:GBS222_1051
ko:K09765	sagl:GBS222_1052
ko:K03327	sagl:GBS222_1053
ko:K00991	sagl:GBS222_1167
ko:K00067	sagl:GBS222_1174
ko:K03086	sagl:GBS222_1176
ko:K03282	sagl:GBS222_1178
ko:K02970	sagl:GBS222_1179
ko:K06940	sagl:GBS222_1180
ko:K03320	sagl:GBS222_1182
ko:K07146	sagl:GBS222_1184
ko:K00688	sagl:GBS222_1187
ko:K00705	sagl:GBS222_1188
ko:K02529	sagl:GBS222_1189
ko:K15772	sagl:GBS222_1192
ko:K03070	sagl:GBS222_1200
ko:K03466	sagl:GBS222_1267
ko:K04042	sagl:GBS222_1276
ko:K03311	sagl:GBS222_1291
ko:K01874	sagl:GBS222_1292
ko:K16868	sagl:GBS222_1293
ko:K01142	sagl:GBS222_1297
ko:K00831	sagl:GBS222_1302
ko:K07056	sagl:GBS222_1304
ko:K02341	sagl:GBS222_1306
ko:K00943	sagl:GBS222_1307
ko:K01997	sagl:GBS222_1312
ko:K01999	sagl:GBS222_1313
ko:K01358	sagl:GBS222_1315
ko:K00761	sagl:GBS222_1316
ko:K14155	sagl:GBS222_1317
ko:K02073	sagl:GBS222_1371
ko:K07010	sagl:GBS222_1373
ko:K05879	sagl:GBS222_1377
ko:K02440	sagl:GBS222_1379
ko:K09710	sagl:GBS222_1385
ko:K00969	sagl:GBS222_1388
ko:K07574	sagl:GBS222_1389
ko:K07015	sagl:GBS222_1391
ko:K02434	sagl:GBS222_1393
ko:K02435	sagl:GBS222_1395
ko:K09773	sagl:GBS222_1397
ko:K00074	sagl:GBS222_1399
ko:K03706	sagl:GBS222_1401
ko:K14260	sagl:GBS222_1402
ko:K00014	sagl:GBS222_1406
ko:K03655	sagl:GBS222_1408
ko:K01775	sagl:GBS222_1410
ko:K00997	sagl:GBS222_1411
ko:K01626	sagl:GBS222_1412
ko:K03070	sagl:GBS222_1413
ko:K01809	sagl:GBS222_1414
ko:K00847	sagl:GBS222_1415
ko:K01193	sagl:GBS222_1417
ko:K03484	sagl:GBS222_1418
ko:K03625	sagl:GBS222_1419
ko:K02356	sagl:GBS222_1421
ko:K01620	sagl:GBS222_1477
ko:K03789	sagl:GBS222_1479
ko:K01915	sagl:GBS222_1484
ko:K00927	sagl:GBS222_1487
ko:K00134	sagl:GBS222_1489
ko:K02355	sagl:GBS222_1490
ko:K02992	sagl:GBS222_1491
ko:K02950	sagl:GBS222_1492
ko:K09760	sagl:GBS222_1495
ko:K01783	sagl:GBS222_1497
ko:K06949	sagl:GBS222_1498
ko:K00563	sagl:GBS222_1499
ko:K02528	sagl:GBS222_1500
ko:K05985	sagl:GBS222_1503
ko:K03424	sagl:GBS222_1504
ko:K03740	sagl:GBS222_1509
ko:K14188	sagl:GBS222_1510
ko:K03739	sagl:GBS222_1511
ko:K03367	sagl:GBS222_1512
ko:K02914	sagl:GBS222_1515
ko:K02000	sagl:GBS222_1518
ko:K00880	sagl:GBS222_1523
ko:K07478	sagl:GBS222_1641
ko:K00005	sagl:GBS222_1656
ko:K00549	sagl:GBS222_1659
ko:K01869	sagl:GBS222_1666
ko:K02601	sagl:GBS222_1669
ko:K03073	sagl:GBS222_1671
ko:K06180	sagl:GBS222_1673
ko:K00757	sagl:GBS222_1678
ko:K04077	sagl:GBS222_1681
ko:K04078	sagl:GBS222_1682
ko:K09861	sagl:GBS222_1688
ko:K01893	sagl:GBS222_0503
ko:K06958	sagl:GBS222_0507
ko:K08659	sagl:GBS222_0510
ko:K02909	sagl:GBS222_0512
ko:K02884	sagl:GBS222_0518
ko:K05837	sagl:GBS222_0519
ko:K02470	sagl:GBS222_0521
ko:K01079	sagl:GBS222_0523
ko:K01689	sagl:GBS222_0526
ko:K00800	sagl:GBS222_0528
ko:K00891	sagl:GBS222_0529
ko:K03215	sagl:GBS222_0531
ko:K02935	sagl:GBS222_1058
ko:K02864	sagl:GBS222_1059
ko:K03978	sagl:GBS222_1066
ko:K03544	sagl:GBS222_1067
ko:K14218	sagl:GBS222_t01
ko:K14218	sagl:GBS222_t23
ko:K14218	sagl:GBS222_t41
ko:K14218	sagl:GBS222_t20
ko:K14218	sagl:GBS222_t53
ko:K14218	sagl:GBS222_t55
ko:K14232	sagl:GBS222_t09
ko:K14232	sagl:GBS222_t32
ko:K14232	sagl:GBS222_t43
ko:K14219	sagl:GBS222_t31
ko:K14219	sagl:GBS222_t42
ko:K14234	sagl:GBS222_t28
ko:K11068	sagl:GBS222_1073
ko:K15738	sagl:GBS222_1093
ko:K00554	sagl:GBS222_1107
ko:K03702	sagl:GBS222_1213
ko:K03979	sagl:GBS222_1219
ko:K03664	sagl:GBS222_1229
ko:K12573	sagl:GBS222_1230
ko:K03075	sagl:GBS222_1231
ko:K00859	sagl:GBS222_1235
ko:K07042	sagl:GBS222_1244
ko:K00243	sagl:GBS222_1252
ko:K02838	sagl:GBS222_1253
ko:K09903	sagl:GBS222_1254
ko:K10824	sagl:GBS222_1255
ko:K15587	sagl:GBS222_1256
ko:K15586	sagl:GBS222_1257
ko:K15584	sagl:GBS222_1259
ko:K02863	sagl:GBS222_1260
ko:K02867	sagl:GBS222_1261
ko:K08170	sagl:GBS222_1262
ko:K03216	sagl:GBS222_1318
ko:K08998	sagl:GBS222_1324
ko:K06178	sagl:GBS222_1325
ko:K06024	sagl:GBS222_1326
ko:K05896	sagl:GBS222_1327
ko:K07095	sagl:GBS222_1330
ko:K01776	sagl:GBS222_1332
ko:K06890	sagl:GBS222_1336
ko:K06950	sagl:GBS222_1337
ko:K03437	sagl:GBS222_1338
ko:K01512	sagl:GBS222_1339
ko:K03217	sagl:GBS222_1340
ko:K10009	sagl:GBS222_1341
ko:K02424	sagl:GBS222_1342
ko:K03624	sagl:GBS222_1344
ko:K07082	sagl:GBS222_1345
ko:K01924	sagl:GBS222_1347
ko:K03977	sagl:GBS222_1350
ko:K07738	sagl:GBS222_1353
ko:K07040	sagl:GBS222_1356
ko:K03799	sagl:GBS222_1357
ko:K03744	sagl:GBS222_1358
ko:K03501	sagl:GBS222_1359
ko:K16785	sagl:GBS222_1362
ko:K16786	sagl:GBS222_1363
ko:K16787	sagl:GBS222_1363
ko:K07862	sagl:GBS222_1365
ko:K03311	sagl:GBS222_1366
ko:K02072	sagl:GBS222_1368
ko:K02071	sagl:GBS222_1369
ko:K03701	sagl:GBS222_1430
ko:K03284	sagl:GBS222_1432
ko:K02963	sagl:GBS222_1433
ko:K02990	sagl:GBS222_1435
ko:K03575	sagl:GBS222_1436
ko:K03671	sagl:GBS222_1438
ko:K07456	sagl:GBS222_1440
ko:K03100	sagl:GBS222_1444
ko:K03581	sagl:GBS222_1445
ko:K00656	sagl:GBS222_1448
ko:K02440	sagl:GBS222_1453
ko:K00426	sagl:GBS222_1462
ko:K00425	sagl:GBS222_1463
ko:K03885	sagl:GBS222_1464
ko:K09747	sagl:GBS222_1469
ko:K07007	sagl:GBS222_1474
ko:K02954	sagl:GBS222_1476
ko:K01939	sagl:GBS222_1538
ko:K01919	sagl:GBS222_1541
ko:K04083	sagl:GBS222_1544
ko:K03823	sagl:GBS222_1547
ko:K03696	sagl:GBS222_1548
ko:K02357	sagl:GBS222_1551
ko:K02967	sagl:GBS222_1552
ko:K03387	sagl:GBS222_1554
ko:K01462	sagl:GBS222_1562
ko:K01625	sagl:GBS222_1567
ko:K03763	sagl:GBS222_1571
ko:K01881	sagl:GBS222_1573
ko:K11749	sagl:GBS222_1574
ko:K00981	sagl:GBS222_1575
ko:K00806	sagl:GBS222_1576
ko:K03210	sagl:GBS222_1577
ko:K07447	sagl:GBS222_1696
ko:K01246	sagl:GBS222_1701
ko:K03550	sagl:GBS222_1702
ko:K03572	sagl:GBS222_1704
ko:K03704	sagl:GBS222_1705
ko:K03555	sagl:GBS222_1706
ko:K03402	sagl:GBS222_1707
ko:K01887	sagl:GBS222_1708
ko:K01876	sagl:GBS222_1712
ko:K01892	sagl:GBS222_1713
ko:K02911	sagl:GBS222_1714
ko:K02913	sagl:GBS222_1715
ko:K00926	sagl:GBS222_1717
ko:K00611	sagl:GBS222_1718
ko:K07717	sagl:GBS222_1719
ko:K05847	sagl:GBS222_1721
ko:K14205	sagl:GBS222_1723
ko:K08987	sagl:GBS222_1725
ko:K01421	sagl:GBS222_1726
ko:K02986	sagl:GBS222_1729
ko:K02939	sagl:GBS222_1732
ko:K03495	sagl:GBS222_1734
ko:K00566	sagl:GBS222_1736
ko:K01752	sagl:GBS222_1737
ko:K01752	sagl:GBS222_1738
ko:K07560	sagl:GBS222_1599
ko:K02012	sagl:GBS222_1605
ko:K07707	sagl:GBS222_1619
ko:K02039	sagl:GBS222_1624
ko:K02038	sagl:GBS222_1626
ko:K02037	sagl:GBS222_1627
ko:K02040	sagl:GBS222_1628
ko:K09761	sagl:GBS222_1630
ko:K02687	sagl:GBS222_1631
ko:K16785	sagl:GBS222_1741
ko:K00995	sagl:GBS222_1744
ko:K03629	sagl:GBS222_1748
ko:K05340	sagl:GBS222_1749
ko:K03402	sagl:GBS222_1752
ko:K00611	sagl:GBS222_1757
ko:K03758	sagl:GBS222_1758
ko:K00926	sagl:GBS222_1759
ko:K01867	sagl:GBS222_1760
ko:K00783	sagl:GBS222_1765
ko:K02003	sagl:GBS222_0560
ko:K03975	sagl:GBS222_0563
ko:K02068	sagl:GBS222_0564
ko:K02069	sagl:GBS222_0565
ko:K03778	sagl:GBS222_0569
ko:K00874	sagl:GBS222_0571
ko:K01195	sagl:GBS222_0572
ko:K01686	sagl:GBS222_0576
ko:K02529	sagl:GBS222_0581
ko:K01868	sagl:GBS222_0585
ko:K10040	sagl:GBS222_0589
ko:K10040	sagl:GBS222_0590
ko:K09790	sagl:GBS222_0596
ko:K03685	sagl:GBS222_0597
ko:K03529	sagl:GBS222_0598
ko:K03110	sagl:GBS222_0601
ko:K07089	sagl:GBS222_0603
ko:K06959	sagl:GBS222_0606
ko:K13292	sagl:GBS222_0610
ko:K08303	sagl:GBS222_0615
ko:K02313	sagl:GBS222_0001
ko:K02338	sagl:GBS222_0002
ko:K06942	sagl:GBS222_0006
ko:K01056	sagl:GBS222_0007
ko:K03723	sagl:GBS222_0008
ko:K04075	sagl:GBS222_0013
ko:K00760	sagl:GBS222_0014
ko:K03798	sagl:GBS222_0015
ko:K01443	sagl:GBS222_0027
ko:K01878	sagl:GBS222_0029
ko:K01118	sagl:GBS222_0030
ko:K01879	sagl:GBS222_0031
ko:K02440	sagl:GBS222_0035
ko:K00615	sagl:GBS222_0040
ko:K00931	sagl:GBS222_0045
ko:K00147	sagl:GBS222_0046
ko:K03438	sagl:GBS222_0047
ko:K01000	sagl:GBS222_0050
ko:K02029	sagl:GBS222_0053
ko:K00384	sagl:GBS222_0056
ko:K00763	sagl:GBS222_0057
ko:K05366	sagl:GBS222_0060
ko:K07444	sagl:GBS222_0064
ko:K07173	sagl:GBS222_0066
ko:K07778	sagl:GBS222_0070
ko:K00942	sagl:GBS222_0073
ko:K03060	sagl:GBS222_0074
ko:K04066	sagl:GBS222_0075
ko:K00604	sagl:GBS222_0076
ko:K03500	sagl:GBS222_0077
ko:K04069	sagl:GBS222_0085
ko:K02759	sagl:GBS222_0088
ko:K02760	sagl:GBS222_0089
ko:K05808	sagl:GBS222_0095
ko:K00928	sagl:GBS222_0096
ko:K00648	sagl:GBS222_0100
ko:K02078	sagl:GBS222_0101
ko:K00645	sagl:GBS222_0103
ko:K09458	sagl:GBS222_0105
ko:K02160	sagl:GBS222_0106
ko:K02372	sagl:GBS222_0107
ko:K01961	sagl:GBS222_0108
ko:K01963	sagl:GBS222_0109
ko:K01962	sagl:GBS222_0110
ko:K01875	sagl:GBS222_0112
ko:K06901	sagl:GBS222_0121
ko:K06925	sagl:GBS222_0122
ko:K02503	sagl:GBS222_0126
ko:K03439	sagl:GBS222_0131
ko:K09748	sagl:GBS222_0132
ko:K02600	sagl:GBS222_0133
ko:K07742	sagl:GBS222_0134
ko:K02519	sagl:GBS222_0136
ko:K02834	sagl:GBS222_0137
ko:K06929	sagl:GBS222_0145
ko:K10682	sagl:GBS222_0148
ko:K10681	sagl:GBS222_0149
ko:K00773	sagl:GBS222_0151
ko:K03523	sagl:GBS222_0153
ko:K11991	sagl:GBS222_0155
ko:K01810	sagl:GBS222_0156
ko:K07335	sagl:GBS222_0159
ko:K00963	sagl:GBS222_0160
ko:K00057	sagl:GBS222_0161
ko:K03536	sagl:GBS222_0162
ko:K03217	sagl:GBS222_0163
ko:K00948	sagl:GBS222_0166
ko:K03584	sagl:GBS222_0168
ko:K03621	sagl:GBS222_0172
ko:K02078	sagl:GBS222_0173
ko:K01923	sagl:GBS222_0174
ko:K01952	sagl:GBS222_0175
ko:K00764	sagl:GBS222_0176
ko:K01933	sagl:GBS222_0177
ko:K11175	sagl:GBS222_0178
ko:K00602	sagl:GBS222_0180
ko:K14230	sagl:GBS222_t07
ko:K14230	sagl:GBS222_t45
ko:K14230	sagl:GBS222_t36
ko:K14230	sagl:GBS222_t13
ko:K01992	sagl:GBS222_0129
ko:K14228	sagl:GBS222_t19
ko:K14228	sagl:GBS222_t51
ko:K01990	sagl:GBS222_0782
ko:K01992	sagl:GBS222_0543
ko:K01990	sagl:GBS222_0128
ko:K01990	sagl:GBS222_0042
ko:K01990	sagl:GBS222_1234
ko:K14235	sagl:GBS222_t16
ko:K14235	sagl:GBS222_t48
ko:K14226	sagl:GBS222_t17
ko:K14226	sagl:GBS222_t49
ko:K00951	sagl:GBS222_1600
ko:K01598	sagl:GBS222_0890
ko:K01977	sagl:GBS222_r01
ko:K01977	sagl:GBS222_r07
ko:K01977	sagl:GBS222_r12
ko:K01977	sagl:GBS222_r04
ko:K01977	sagl:GBS222_r15
ko:K01977	sagl:GBS222_r10
ko:K14224	sagl:GBS222_t05
ko:K14224	sagl:GBS222_t59
ko:K14220	sagl:GBS222_t21
ko:K14223	sagl:GBS222_t18
ko:K14223	sagl:GBS222_t50
ko:K14233	sagl:GBS222_t40
ko:K14227	sagl:GBS222_t04
ko:K14227	sagl:GBS222_t39
ko:K14227	sagl:GBS222_t58
ko:K14225	sagl:GBS222_t03
ko:K14225	sagl:GBS222_t38
ko:K14225	sagl:GBS222_t57
ko:K14231	sagl:GBS222_t14
ko:K14231	sagl:GBS222_t37
ko:K14231	sagl:GBS222_t46
ko:K14233	sagl:GBS222_t06
ko:K14233	sagl:GBS222_t35
ko:K14233	sagl:GBS222_t12
ko:K14222	sagl:GBS222_t62
ko:K14230	sagl:GBS222_t34
ko:K01537	sagl:GBS222_0491
ko:K14219	sagl:GBS222_t64
ko:K02004	sagl:GBS222_0559
ko:K15051	sagl:GBS222_0562
ko:K07035	sagl:GBS222_0568
ko:K10041	sagl:GBS222_0592
ko:K07668	sagl:GBS222_0593
ko:K07652	sagl:GBS222_0594
ko:K03095	sagl:GBS222_0607
ko:K06023	sagl:GBS222_0609
ko:K02822	sagl:GBS222_0342
ko:K03475	sagl:GBS222_0343
ko:K07729	sagl:GBS222_0357
ko:K07586	sagl:GBS222_0372
ko:K02348	sagl:GBS222_0376
ko:K03647	sagl:GBS222_0380
ko:K01607	sagl:GBS222_0386
ko:K01629	sagl:GBS222_0401
ko:K02775	sagl:GBS222_0403
ko:K02025	sagl:GBS222_0407
ko:K01785	sagl:GBS222_0413
ko:K00626	sagl:GBS222_0444
