ko:K02028	ssw:SSGZ1_0443
ko:K01738	ssw:SSGZ1_0387
ko:K05808	ssw:SSGZ1_0391
ko:K00859	ssw:SSGZ1_1238
ko:K03979	ssw:SSGZ1_0741
ko:K08591	ssw:SSGZ1_0746
ko:K02622	ssw:SSGZ1_0747
ko:K04095	ssw:SSGZ1_0749
ko:K04095	ssw:SSGZ1_0750
ko:K02621	ssw:SSGZ1_0753
ko:K00826	ssw:SSGZ1_0756
ko:K02945	ssw:SSGZ1_0758
ko:K01620	ssw:SSGZ1_0759
ko:K04487	ssw:SSGZ1_0762
ko:K03151	ssw:SSGZ1_0763
ko:K03311	ssw:SSGZ1_0764
ko:K02888	ssw:SSGZ1_0765
ko:K02899	ssw:SSGZ1_0766
ko:K03101	ssw:SSGZ1_0769
ko:K06180	ssw:SSGZ1_0770
ko:K06193	ssw:SSGZ1_0771
ko:K02825	ssw:SSGZ1_0773
ko:K00609	ssw:SSGZ1_0774
ko:K01956	ssw:SSGZ1_0775
ko:K01955	ssw:SSGZ1_0776
ko:K01304	ssw:SSGZ1_0778
ko:K02959	ssw:SSGZ1_0780
ko:K06960	ssw:SSGZ1_0781
ko:K00003	ssw:SSGZ1_0785
ko:K00872	ssw:SSGZ1_0786
ko:K00075	ssw:SSGZ1_0787
ko:K02160	ssw:SSGZ1_1621
ko:K09458	ssw:SSGZ1_1622
ko:K00645	ssw:SSGZ1_1624
ko:K02078	ssw:SSGZ1_1626
ko:K00648	ssw:SSGZ1_1627
ko:K00928	ssw:SSGZ1_1631
ko:K01775	ssw:SSGZ1_1633
ko:K00997	ssw:SSGZ1_1634
ko:K03070	ssw:SSGZ1_1635
ko:K00847	ssw:SSGZ1_1637
ko:K01193	ssw:SSGZ1_1639
ko:K03484	ssw:SSGZ1_1640
ko:K03625	ssw:SSGZ1_1641
ko:K02356	ssw:SSGZ1_1643
ko:K03701	ssw:SSGZ1_1645
ko:K03284	ssw:SSGZ1_1646
ko:K02963	ssw:SSGZ1_1648
ko:K02990	ssw:SSGZ1_1650
ko:K03800	ssw:SSGZ1_1652
ko:K00382	ssw:SSGZ1_1655
ko:K00627	ssw:SSGZ1_1656
ko:K00162	ssw:SSGZ1_1657
ko:K00161	ssw:SSGZ1_1658
ko:K02834	ssw:SSGZ1_1662
ko:K02519	ssw:SSGZ1_1663
ko:K07742	ssw:SSGZ1_1665
ko:K02600	ssw:SSGZ1_1666
ko:K09748	ssw:SSGZ1_1667
ko:K03439	ssw:SSGZ1_1668
ko:K02503	ssw:SSGZ1_1672
ko:K07042	ssw:SSGZ1_1242
ko:K04758	ssw:SSGZ1_1251
ko:K04759	ssw:SSGZ1_1252
ko:K09811	ssw:SSGZ1_1253
ko:K09812	ssw:SSGZ1_1254
ko:K02836	ssw:SSGZ1_1255
ko:K03086	ssw:SSGZ1_1268
ko:K03282	ssw:SSGZ1_1270
ko:K02970	ssw:SSGZ1_1272
ko:K00688	ssw:SSGZ1_1279
ko:K01839	ssw:SSGZ1_1283
ko:K01807	ssw:SSGZ1_1284
ko:K01154	ssw:SSGZ1_1285
ko:K01154	ssw:SSGZ1_1286
ko:K03427	ssw:SSGZ1_1287
ko:K01153	ssw:SSGZ1_1288
ko:K03650	ssw:SSGZ1_1289
ko:K09962	ssw:SSGZ1_0064
ko:K02946	ssw:SSGZ1_0066
ko:K02906	ssw:SSGZ1_0067
ko:K02926	ssw:SSGZ1_0068
ko:K02892	ssw:SSGZ1_0069
ko:K02886	ssw:SSGZ1_0070
ko:K02965	ssw:SSGZ1_0071
ko:K02890	ssw:SSGZ1_0072
ko:K02982	ssw:SSGZ1_0073
ko:K02878	ssw:SSGZ1_0074
ko:K02904	ssw:SSGZ1_0075
ko:K02961	ssw:SSGZ1_0076
ko:K02874	ssw:SSGZ1_0077
ko:K02895	ssw:SSGZ1_0078
ko:K02931	ssw:SSGZ1_0079
ko:K02954	ssw:SSGZ1_0080
ko:K02994	ssw:SSGZ1_0081
ko:K02933	ssw:SSGZ1_0083
ko:K02881	ssw:SSGZ1_0084
ko:K02988	ssw:SSGZ1_0085
ko:K02907	ssw:SSGZ1_0086
ko:K02876	ssw:SSGZ1_0087
ko:K03076	ssw:SSGZ1_0088
ko:K02518	ssw:SSGZ1_0090
ko:K02952	ssw:SSGZ1_0091
ko:K02948	ssw:SSGZ1_0092
ko:K03040	ssw:SSGZ1_0093
ko:K02879	ssw:SSGZ1_0094
ko:K09817	ssw:SSGZ1_0106
ko:K09816	ssw:SSGZ1_0107
ko:K02036	ssw:SSGZ1_0967
ko:K02038	ssw:SSGZ1_0968
ko:K02037	ssw:SSGZ1_0969
ko:K02040	ssw:SSGZ1_0970
ko:K11753	ssw:SSGZ1_0976
ko:K07088	ssw:SSGZ1_0993
ko:K08987	ssw:SSGZ1_0997
ko:K00950	ssw:SSGZ1_1003
ko:K01633	ssw:SSGZ1_1004
ko:K00796	ssw:SSGZ1_1005
ko:K01495	ssw:SSGZ1_1006
ko:K01890	ssw:SSGZ1_1012
ko:K01889	ssw:SSGZ1_1014
ko:K01207	ssw:SSGZ1_1015
ko:K01207	ssw:SSGZ1_1016
ko:K01686	ssw:SSGZ1_1019
ko:K01812	ssw:SSGZ1_1020
ko:K01673	ssw:SSGZ1_1844
ko:K04485	ssw:SSGZ1_1845
ko:K00057	ssw:SSGZ1_1851
ko:K00963	ssw:SSGZ1_1852
ko:K05823	ssw:SSGZ1_1856
ko:K01810	ssw:SSGZ1_1862
ko:K00615	ssw:SSGZ1_1865
ko:K02761	ssw:SSGZ1_1881
ko:K02759	ssw:SSGZ1_1883
ko:K02760	ssw:SSGZ1_1884
ko:K01869	ssw:SSGZ1_1889
ko:K00800	ssw:SSGZ1_0591
ko:K00891	ssw:SSGZ1_0592
ko:K03215	ssw:SSGZ1_0596
ko:K01893	ssw:SSGZ1_0606
ko:K06958	ssw:SSGZ1_0611
ko:K00611	ssw:SSGZ1_0617
ko:K00926	ssw:SSGZ1_0618
ko:K03402	ssw:SSGZ1_0622
ko:K07568	ssw:SSGZ1_0623
ko:K03524	ssw:SSGZ1_1457
ko:K02343	ssw:SSGZ1_1459
ko:K00876	ssw:SSGZ1_1463
ko:K03530	ssw:SSGZ1_1478
ko:K03631	ssw:SSGZ1_1482
ko:K03402	ssw:SSGZ1_1483
ko:K06442	ssw:SSGZ1_1484
ko:K13789	ssw:SSGZ1_1485
ko:K03602	ssw:SSGZ1_1486
ko:K03601	ssw:SSGZ1_1487
ko:K04069	ssw:SSGZ1_1499
ko:K02013	ssw:SSGZ1_1501
ko:K00763	ssw:SSGZ1_1504
ko:K06941	ssw:SSGZ1_1507
ko:K00954	ssw:SSGZ1_1510
ko:K07727	ssw:SSGZ1_0282
ko:K01534	ssw:SSGZ1_0284
ko:K06173	ssw:SSGZ1_0286
ko:K00868	ssw:SSGZ1_0287
ko:K03545	ssw:SSGZ1_0303
ko:K01937	ssw:SSGZ1_0308
ko:K01624	ssw:SSGZ1_0309
ko:K02902	ssw:SSGZ1_0310
ko:K03655	ssw:SSGZ1_0311
ko:K14260	ssw:SSGZ1_0316
ko:K03706	ssw:SSGZ1_0317
ko:K02884	ssw:SSGZ1_0319
ko:K02435	ssw:SSGZ1_0321
ko:K02434	ssw:SSGZ1_0323
ko:K01129	ssw:SSGZ1_0324
ko:K02529	ssw:SSGZ1_0325
ko:K00849	ssw:SSGZ1_0326
ko:K00965	ssw:SSGZ1_0327
ko:K07015	ssw:SSGZ1_0331
ko:K07574	ssw:SSGZ1_0333
ko:K03466	ssw:SSGZ1_1185
ko:K01193	ssw:SSGZ1_1186
ko:K02529	ssw:SSGZ1_1190
ko:K02837	ssw:SSGZ1_1197
ko:K01921	ssw:SSGZ1_1200
ko:K06187	ssw:SSGZ1_1201
ko:K00687	ssw:SSGZ1_1202
ko:K01868	ssw:SSGZ1_1212
ko:K02529	ssw:SSGZ1_1218
ko:K00773	ssw:SSGZ1_1220
ko:K06929	ssw:SSGZ1_1222
ko:K02003	ssw:SSGZ1_1227
ko:K11065	ssw:SSGZ1_1229
ko:K03664	ssw:SSGZ1_1234
ko:K12573	ssw:SSGZ1_1235
ko:K03075	ssw:SSGZ1_1236
ko:K10773	ssw:SSGZ1_0796
ko:K00364	ssw:SSGZ1_0797
ko:K03327	ssw:SSGZ1_0798
ko:K02860	ssw:SSGZ1_0800
ko:K00554	ssw:SSGZ1_0801
ko:K00817	ssw:SSGZ1_0802
ko:K02768	ssw:SSGZ1_0805
ko:K02769	ssw:SSGZ1_0805
ko:K02770	ssw:SSGZ1_0805
ko:K00215	ssw:SSGZ1_0808
ko:K15738	ssw:SSGZ1_0810
ko:K03544	ssw:SSGZ1_0818
ko:K03978	ssw:SSGZ1_0819
ko:K00940	ssw:SSGZ1_0820
ko:K03596	ssw:SSGZ1_0822
ko:K01821	ssw:SSGZ1_0823
ko:K02835	ssw:SSGZ1_0827
ko:K02493	ssw:SSGZ1_0828
ko:K07566	ssw:SSGZ1_0829
ko:K00600	ssw:SSGZ1_0831
ko:K01951	ssw:SSGZ1_0841
ko:K03710	ssw:SSGZ1_0842
ko:K03106	ssw:SSGZ1_0844
ko:K06925	ssw:SSGZ1_1676
ko:K02034	ssw:SSGZ1_1680
ko:K09014	ssw:SSGZ1_1686
ko:K11717	ssw:SSGZ1_1689
ko:K09015	ssw:SSGZ1_1690
ko:K09013	ssw:SSGZ1_1691
ko:K06153	ssw:SSGZ1_1694
ko:K01754	ssw:SSGZ1_1699
ko:K00053	ssw:SSGZ1_1700
ko:K01653	ssw:SSGZ1_1701
ko:K01652	ssw:SSGZ1_1702
ko:K01687	ssw:SSGZ1_1707
ko:K02996	ssw:SSGZ1_1712
ko:K02871	ssw:SSGZ1_1713
ko:K06962	ssw:SSGZ1_1715
ko:K03218	ssw:SSGZ1_1716
ko:K07718	ssw:SSGZ1_1724
ko:K03565	ssw:SSGZ1_0394
ko:K03710	ssw:SSGZ1_0397
ko:K12308	ssw:SSGZ1_0399
ko:K01873	ssw:SSGZ1_0409
ko:K01914	ssw:SSGZ1_0416
ko:K06207	ssw:SSGZ1_0417
ko:K03100	ssw:SSGZ1_0420
ko:K01925	ssw:SSGZ1_0426
ko:K02563	ssw:SSGZ1_0427
ko:K03589	ssw:SSGZ1_0428
ko:K03590	ssw:SSGZ1_0429
ko:K03531	ssw:SSGZ1_0430
ko:K06997	ssw:SSGZ1_0431
ko:K09772	ssw:SSGZ1_0432
ko:K02221	ssw:SSGZ1_0433
ko:K04074	ssw:SSGZ1_0435
ko:K01870	ssw:SSGZ1_0437
ko:K03744	ssw:SSGZ1_1293
ko:K07862	ssw:SSGZ1_1298
ko:K03431	ssw:SSGZ1_1305
ko:K01928	ssw:SSGZ1_1308
ko:K00563	ssw:SSGZ1_1310
ko:K06158	ssw:SSGZ1_1312
ko:K01223	ssw:SSGZ1_1322
ko:K01575	ssw:SSGZ1_1326
ko:K01689	ssw:SSGZ1_1335
ko:K00865	ssw:SSGZ1_1339
ko:K01091	ssw:SSGZ1_1340
ko:K01079	ssw:SSGZ1_1343
ko:K02470	ssw:SSGZ1_1345
ko:K01866	ssw:SSGZ1_0113
ko:K03043	ssw:SSGZ1_0115
ko:K03046	ssw:SSGZ1_0116
ko:K00925	ssw:SSGZ1_0128
ko:K11754	ssw:SSGZ1_0130
ko:K06878	ssw:SSGZ1_0135
ko:K04078	ssw:SSGZ1_0139
ko:K04077	ssw:SSGZ1_0140
ko:K02950	ssw:SSGZ1_0141
ko:K02992	ssw:SSGZ1_0142
ko:K02355	ssw:SSGZ1_0143
ko:K00134	ssw:SSGZ1_0145
ko:K00927	ssw:SSGZ1_0146
ko:K01915	ssw:SSGZ1_0149
ko:K03789	ssw:SSGZ1_0153
ko:K07407	ssw:SSGZ1_0159
ko:K01625	ssw:SSGZ1_1021
ko:K01195	ssw:SSGZ1_1023
ko:K00874	ssw:SSGZ1_1024
ko:K00790	ssw:SSGZ1_1028
ko:K02114	ssw:SSGZ1_1030
ko:K02112	ssw:SSGZ1_1031
ko:K02115	ssw:SSGZ1_1032
ko:K02111	ssw:SSGZ1_1033
ko:K02113	ssw:SSGZ1_1034
ko:K02109	ssw:SSGZ1_1035
ko:K02108	ssw:SSGZ1_1036
ko:K01972	ssw:SSGZ1_1039
ko:K07089	ssw:SSGZ1_1041
ko:K00036	ssw:SSGZ1_1043
ko:K03110	ssw:SSGZ1_1046
ko:K03529	ssw:SSGZ1_1049
ko:K03685	ssw:SSGZ1_1050
ko:K00031	ssw:SSGZ1_1058
ko:K01647	ssw:SSGZ1_1059
ko:K01681	ssw:SSGZ1_1060
ko:K03210	ssw:SSGZ1_1072
ko:K02747	ssw:SSGZ1_1073
ko:K02746	ssw:SSGZ1_1074
ko:K07707	ssw:SSGZ1_1897
ko:K07560	ssw:SSGZ1_1900
ko:K09761	ssw:SSGZ1_1914
ko:K02687	ssw:SSGZ1_1915
ko:K07478	ssw:SSGZ1_1919
ko:K03555	ssw:SSGZ1_1929
ko:K03402	ssw:SSGZ1_1930
ko:K01887	ssw:SSGZ1_1931
ko:K00705	ssw:SSGZ1_1935
ko:K02529	ssw:SSGZ1_1940
ko:K01876	ssw:SSGZ1_1944
ko:K03367	ssw:SSGZ1_0629
ko:K03739	ssw:SSGZ1_0630
ko:K14188	ssw:SSGZ1_0631
ko:K03740	ssw:SSGZ1_0632
ko:K00432	ssw:SSGZ1_0636
ko:K02015	ssw:SSGZ1_0637
ko:K02015	ssw:SSGZ1_0638
ko:K02016	ssw:SSGZ1_0639
ko:K02013	ssw:SSGZ1_0640
ko:K00655	ssw:SSGZ1_0643
ko:K02237	ssw:SSGZ1_0644
ko:K00943	ssw:SSGZ1_0651
ko:K02341	ssw:SSGZ1_0652
ko:K07056	ssw:SSGZ1_0654
ko:K00831	ssw:SSGZ1_0655
ko:K01142	ssw:SSGZ1_0661
ko:K01938	ssw:SSGZ1_0679
ko:K07778	ssw:SSGZ1_1516
ko:K04047	ssw:SSGZ1_1519
ko:K03216	ssw:SSGZ1_1527
ko:K08998	ssw:SSGZ1_1529
ko:K06178	ssw:SSGZ1_1530
ko:K06024	ssw:SSGZ1_1531
ko:K05896	ssw:SSGZ1_1532
ko:K07095	ssw:SSGZ1_1535
ko:K01776	ssw:SSGZ1_1537
ko:K01586	ssw:SSGZ1_1539
ko:K06890	ssw:SSGZ1_1541
ko:K06950	ssw:SSGZ1_1542
ko:K03437	ssw:SSGZ1_1543
ko:K01512	ssw:SSGZ1_1544
ko:K03217	ssw:SSGZ1_1545
ko:K03624	ssw:SSGZ1_1546
ko:K07082	ssw:SSGZ1_1547
ko:K01924	ssw:SSGZ1_1549
ko:K03977	ssw:SSGZ1_1554
ko:K07738	ssw:SSGZ1_1559
ko:K07040	ssw:SSGZ1_1563
ko:K00384	ssw:SSGZ1_1564
ko:K02313	ssw:SSGZ1_0001
ko:K02338	ssw:SSGZ1_0002
ko:K06942	ssw:SSGZ1_0006
ko:K01056	ssw:SSGZ1_0007
ko:K03723	ssw:SSGZ1_0008
ko:K04075	ssw:SSGZ1_0013
ko:K00760	ssw:SSGZ1_0014
ko:K03798	ssw:SSGZ1_0015
ko:K02003	ssw:SSGZ1_0857
ko:K13653	ssw:SSGZ1_0867
ko:K04094	ssw:SSGZ1_0868
ko:K02864	ssw:SSGZ1_0871
ko:K03168	ssw:SSGZ1_0872
ko:K04096	ssw:SSGZ1_0873
ko:K11068	ssw:SSGZ1_0879
ko:K03470	ssw:SSGZ1_0881
ko:K14540	ssw:SSGZ1_0882
ko:K06940	ssw:SSGZ1_0883
ko:K06287	ssw:SSGZ1_0884
ko:K01465	ssw:SSGZ1_0886
ko:K03648	ssw:SSGZ1_0887
ko:K00762	ssw:SSGZ1_0889
ko:K01591	ssw:SSGZ1_0891
ko:K00975	ssw:SSGZ1_0895
ko:K00975	ssw:SSGZ1_0896
ko:K00703	ssw:SSGZ1_0897
ko:K03702	ssw:SSGZ1_0905
ko:K01740	ssw:SSGZ1_0911
ko:K11145	ssw:SSGZ1_1736
ko:K01883	ssw:SSGZ1_1737
ko:K00640	ssw:SSGZ1_1740
ko:K00962	ssw:SSGZ1_1741
ko:K07106	ssw:SSGZ1_1746
ko:K02956	ssw:SSGZ1_1748
ko:K01462	ssw:SSGZ1_1757
ko:K01704	ssw:SSGZ1_1759
ko:K01703	ssw:SSGZ1_1760
ko:K00052	ssw:SSGZ1_1761
ko:K01491	ssw:SSGZ1_0444
ko:K03100	ssw:SSGZ1_0446
ko:K08303	ssw:SSGZ1_0454
ko:K03523	ssw:SSGZ1_0458
ko:K02003	ssw:SSGZ1_0462
ko:K02346	ssw:SSGZ1_0472
ko:K08600	ssw:SSGZ1_0480
ko:K03152	ssw:SSGZ1_1346
ko:K05837	ssw:SSGZ1_1347
ko:K02909	ssw:SSGZ1_1365
ko:K03734	ssw:SSGZ1_1366
ko:K02954	ssw:SSGZ1_1369
ko:K04564	ssw:SSGZ1_1373
ko:K02340	ssw:SSGZ1_1374
ko:K09765	ssw:SSGZ1_1376
ko:K01996	ssw:SSGZ1_1377
ko:K01995	ssw:SSGZ1_1378
ko:K01998	ssw:SSGZ1_1379
ko:K01997	ssw:SSGZ1_1380
ko:K01999	ssw:SSGZ1_1381
ko:K01358	ssw:SSGZ1_1383
ko:K00761	ssw:SSGZ1_1384
ko:K00690	ssw:SSGZ1_1386
ko:K10117	ssw:SSGZ1_1389
ko:K07407	ssw:SSGZ1_1390
ko:K14155	ssw:SSGZ1_1392
ko:K01649	ssw:SSGZ1_1762
ko:K07078	ssw:SSGZ1_1766
ko:K03763	ssw:SSGZ1_1768
ko:K05878	ssw:SSGZ1_1771
ko:K05879	ssw:SSGZ1_1772
ko:K02440	ssw:SSGZ1_1774
ko:K01881	ssw:SSGZ1_1775
ko:K11749	ssw:SSGZ1_1776
ko:K00981	ssw:SSGZ1_1777
ko:K00806	ssw:SSGZ1_1778
ko:K03210	ssw:SSGZ1_1779
ko:K01939	ssw:SSGZ1_1780
ko:K01919	ssw:SSGZ1_1781
ko:K07007	ssw:SSGZ1_0169
ko:K00615	ssw:SSGZ1_0175
ko:K00615	ssw:SSGZ1_0176
ko:K01126	ssw:SSGZ1_0179
ko:K09747	ssw:SSGZ1_0180
ko:K02082	ssw:SSGZ1_0181
ko:K00656	ssw:SSGZ1_0187
ko:K02346	ssw:SSGZ1_0188
ko:K07118	ssw:SSGZ1_0190
ko:K02761	ssw:SSGZ1_0194
ko:K03581	ssw:SSGZ1_0205
ko:K03100	ssw:SSGZ1_0206
ko:K07456	ssw:SSGZ1_0216
ko:K03671	ssw:SSGZ1_0218
ko:K12267	ssw:SSGZ1_0220
ko:K01625	ssw:SSGZ1_1078
ko:K00874	ssw:SSGZ1_1079
ko:K01872	ssw:SSGZ1_1094
ko:K08602	ssw:SSGZ1_1101
ko:K01874	ssw:SSGZ1_1103
ko:K01626	ssw:SSGZ1_1105
ko:K01626	ssw:SSGZ1_1106
ko:K00014	ssw:SSGZ1_1107
ko:K01735	ssw:SSGZ1_1108
ko:K01443	ssw:SSGZ1_1114
ko:K01736	ssw:SSGZ1_1117
ko:K03785	ssw:SSGZ1_1118
ko:K06969	ssw:SSGZ1_1119
ko:K02887	ssw:SSGZ1_1122
ko:K02916	ssw:SSGZ1_1123
ko:K02520	ssw:SSGZ1_1124
ko:K00945	ssw:SSGZ1_1125
ko:K05349	ssw:SSGZ1_1948
ko:K02986	ssw:SSGZ1_1954
ko:K02939	ssw:SSGZ1_1957
ko:K03495	ssw:SSGZ1_1959
ko:K00566	ssw:SSGZ1_1965
ko:K01752	ssw:SSGZ1_1966
ko:K01752	ssw:SSGZ1_1967
ko:K00995	ssw:SSGZ1_1972
ko:K03629	ssw:SSGZ1_1977
ko:K01867	ssw:SSGZ1_1979
ko:K00783	ssw:SSGZ1_1985
ko:K01153	ssw:SSGZ1_0682
ko:K01153	ssw:SSGZ1_0683
ko:K01154	ssw:SSGZ1_0687
ko:K01154	ssw:SSGZ1_0688
ko:K03823	ssw:SSGZ1_0692
ko:K04069	ssw:SSGZ1_0696
ko:K02759	ssw:SSGZ1_0699
ko:K02760	ssw:SSGZ1_0700
ko:K02761	ssw:SSGZ1_0701
ko:K00656	ssw:SSGZ1_0703
ko:K00005	ssw:SSGZ1_0706
ko:K00133	ssw:SSGZ1_0707
ko:K01714	ssw:SSGZ1_0708
ko:K00864	ssw:SSGZ1_0711
ko:K02440	ssw:SSGZ1_0714
ko:K15975	ssw:SSGZ1_0715
ko:K06999	ssw:SSGZ1_0716
ko:K03657	ssw:SSGZ1_0721
ko:K00941	ssw:SSGZ1_0723
ko:K00878	ssw:SSGZ1_0724
ko:K00788	ssw:SSGZ1_0725
ko:K00757	ssw:SSGZ1_0727
ko:K03703	ssw:SSGZ1_0739
ko:K01000	ssw:SSGZ1_1568
ko:K03438	ssw:SSGZ1_1571
ko:K03734	ssw:SSGZ1_1580
