ko:K01992	plr:PAQ_060
ko:K02518	plr:PAQ_056
ko:K03073	plr:PAQ_066
ko:K02601	plr:PAQ_067
ko:K02867	plr:PAQ_068
ko:K02863	plr:PAQ_069
ko:K02864	plr:PAQ_070
ko:K02935	plr:PAQ_071
ko:K03043	plr:PAQ_072
ko:K03046	plr:PAQ_073
ko:K02950	plr:PAQ_074
ko:K02992	plr:PAQ_075
ko:K02355	plr:PAQ_076
ko:K02358	plr:PAQ_077
ko:K02946	plr:PAQ_078
ko:K02906	plr:PAQ_079
ko:K02926	plr:PAQ_080
ko:K02892	plr:PAQ_081
ko:K02886	plr:PAQ_082
ko:K02965	plr:PAQ_083
ko:K02890	plr:PAQ_084
ko:K02982	plr:PAQ_085
ko:K02878	plr:PAQ_086
ko:K02904	plr:PAQ_087
ko:K02961	plr:PAQ_088
ko:K02874	plr:PAQ_089
ko:K02895	plr:PAQ_090
ko:K02931	plr:PAQ_091
ko:K02954	plr:PAQ_092
ko:K02994	plr:PAQ_093
ko:K02933	plr:PAQ_094
ko:K02881	plr:PAQ_095
ko:K02988	plr:PAQ_096
ko:K02876	plr:PAQ_097
ko:K03076	plr:PAQ_098
ko:K02919	plr:PAQ_099
ko:K02952	plr:PAQ_100
ko:K02948	plr:PAQ_101
ko:K02986	plr:PAQ_102
ko:K03040	plr:PAQ_103
ko:K02879	plr:PAQ_104
ko:K02888	plr:PAQ_105
ko:K02899	plr:PAQ_106
ko:K03979	plr:PAQ_107
ko:K02968	plr:PAQ_108
ko:K01870	plr:PAQ_109
ko:K02836	plr:PAQ_110
ko:K04567	plr:PAQ_111
ko:K03089	plr:PAQ_113
ko:K02902	plr:PAQ_114
ko:K02913	plr:PAQ_115
ko:K00164	plr:PAQ_122
ko:K00658	plr:PAQ_123
ko:K00382	plr:PAQ_124
ko:K02990	plr:PAQ_126
ko:K02963	plr:PAQ_127
ko:K02939	plr:PAQ_128
ko:K02970	plr:PAQ_131
ko:K03086	plr:PAQ_132
ko:K02297	plr:PAQ_133
ko:K02298	plr:PAQ_134
ko:K02299	plr:PAQ_135
ko:K02300	plr:PAQ_136
ko:K02956	plr:PAQ_139
ko:K00962	plr:PAQ_140
ko:K07400	plr:PAQ_143
ko:K02426	plr:PAQ_144
ko:K00627	plr:PAQ_149
ko:K00163	plr:PAQ_150
ko:K01714	plr:PAQ_151
ko:K02945	plr:PAQ_152
ko:K00800	plr:PAQ_153
ko:K14170	plr:PAQ_154
ko:K02469	plr:PAQ_155
ko:K03070	plr:PAQ_156
ko:K01703	plr:PAQ_158
ko:K01736	plr:PAQ_159
ko:K03704	plr:PAQ_160
ko:K01649	plr:PAQ_161
ko:K02078	plr:PAQ_162
ko:K02911	plr:PAQ_163
ko:K08300	plr:PAQ_165
ko:K01735	plr:PAQ_167
ko:K00891	plr:PAQ_168
ko:K02909	plr:PAQ_169
ko:K01419	plr:PAQ_170
ko:K03667	plr:PAQ_171
ko:K00549	plr:PAQ_173
ko:K01626	plr:PAQ_174
ko:K03628	plr:PAQ_175
ko:K04075	plr:PAQ_176
ko:K02337	plr:PAQ_177
ko:K02357	plr:PAQ_178
ko:K02967	plr:PAQ_179
ko:K01265	plr:PAQ_180
ko:K02221	plr:PAQ_185
ko:K01956	plr:PAQ_187
ko:K01955	plr:PAQ_188
ko:K03624	plr:PAQ_189
ko:K03798	plr:PAQ_190
ko:K02600	plr:PAQ_193
ko:K02519	plr:PAQ_194
ko:K02834	plr:PAQ_195
ko:K01890	plr:PAQ_196
ko:K01889	plr:PAQ_197
ko:K02887	plr:PAQ_198
ko:K02916	plr:PAQ_199
ko:K02520	plr:PAQ_200
ko:K01881	plr:PAQ_202
ko:K03786	plr:PAQ_203
ko:K11102	plr:PAQ_204
ko:K00297	plr:PAQ_205
ko:K00036	plr:PAQ_207
ko:K01462	plr:PAQ_209
ko:K00014	plr:PAQ_210
ko:K01886	plr:PAQ_211
ko:K01883	plr:PAQ_212
ko:K06131	plr:PAQ_219
ko:K06213	plr:PAQ_220
ko:K01876	plr:PAQ_221
ko:K03644	plr:PAQ_225
ko:K00928	plr:PAQ_227
ko:K14219	plr:PAQ_215
ko:K14224	plr:PAQ_057
ko:K14225	plr:PAQ_058
ko:K14225	plr:PAQ_063
ko:K14233	plr:PAQ_061
ko:K14233	plr:PAQ_223
ko:K14232	plr:PAQ_213
ko:K14226	plr:PAQ_216
ko:K14222	plr:PAQ_242
ko:K14229	plr:PAQ_246
ko:K14220	plr:PAQ_251
ko:K14231	plr:PAQ_277
ko:K14223	plr:PAQ_278
ko:K00033	plr:PAQ_062
ko:K01885	plr:PAQ_121
ko:K01409	plr:PAQ_130
ko:K01496	plr:PAQ_145
ko:K06179	plr:PAQ_164
ko:K01523	plr:PAQ_172
ko:K00674	plr:PAQ_181
ko:K01439	plr:PAQ_182
ko:K00845	plr:PAQ_208
ko:K03386	plr:PAQ_234
ko:K03593	plr:PAQ_244
ko:K02433	plr:PAQ_260
ko:K05595	plr:PAQ_282
ko:K14230	plr:PAQ_019
ko:K14230	plr:PAQ_192
ko:K14230	plr:PAQ_252
ko:K14219	plr:PAQ_044
ko:K14219	plr:PAQ_157
ko:K14233	plr:PAQ_224
ko:K14233	plr:PAQ_226
ko:K14234	plr:PAQ_064
ko:K14234	plr:PAQ_279
ko:K14234	plr:PAQ_269
ko:K14235	plr:PAQ_065
ko:K01977	plr:PAQ_117
ko:K14227	plr:PAQ_118
ko:K01980	plr:PAQ_119
ko:K01985	plr:PAQ_120
ko:K14236	plr:PAQ_138
ko:K14228	plr:PAQ_243
ko:K14228	plr:PAQ_141
ko:K14228	plr:PAQ_191
ko:K14221	plr:PAQ_146
ko:K14237	plr:PAQ_147
ko:K14237	plr:PAQ_245
ko:K14218	plr:PAQ_183
ko:K01978	plr:PAQ_265
ko:K08316	plr:PAQ_112
ko:K10027	plr:PAQ_258
ko:K01990	plr:PAQ_059
ko:K15035	plr:PAQ_280
ko:K01658	plr:PAQ_248
ko:K11179	plr:PAQ_142
ko:K01866	plr:PAQ_184
ko:K03640	plr:PAQ_222
ko:K00335	plr:PAQ_011
ko:K00336	plr:PAQ_010
ko:K00821	plr:PAQ_236
ko:K02314	plr:PAQ_129
ko:K02257	plr:PAQ_137
