ko:K07726	lmc:Lm4b_00760
ko:K03106	lmc:Lm4b_01817
ko:K09787	lmc:Lm4b_01818
ko:K03110	lmc:Lm4b_01819
ko:K03529	lmc:Lm4b_01820
ko:K03685	lmc:Lm4b_01821
ko:K02078	lmc:Lm4b_01822
ko:K00059	lmc:Lm4b_01823
ko:K00645	lmc:Lm4b_01824
ko:K03621	lmc:Lm4b_01825
ko:K03655	lmc:Lm4b_01827
ko:K01752	lmc:Lm4b_01828
ko:K01752	lmc:Lm4b_01829
ko:K07030	lmc:Lm4b_01830
ko:K02902	lmc:Lm4b_01832
ko:K01783	lmc:Lm4b_01834
ko:K06949	lmc:Lm4b_01835
ko:K03500	lmc:Lm4b_01838
ko:K00604	lmc:Lm4b_01839
ko:K04066	lmc:Lm4b_01840
ko:K00942	lmc:Lm4b_01843
ko:K00762	lmc:Lm4b_01847
ko:K01591	lmc:Lm4b_01848
ko:K01955	lmc:Lm4b_01851
ko:K01956	lmc:Lm4b_01852
ko:K01465	lmc:Lm4b_01853
ko:K00609	lmc:Lm4b_01854
ko:K02825	lmc:Lm4b_01856
ko:K06180	lmc:Lm4b_01859
ko:K03101	lmc:Lm4b_01860
ko:K06901	lmc:Lm4b_01861
ko:K02760	lmc:Lm4b_02737
ko:K02761	lmc:Lm4b_02738
ko:K02759	lmc:Lm4b_02740
ko:K01919	lmc:Lm4b_02745
ko:K01223	lmc:Lm4b_02746
ko:K02755	lmc:Lm4b_02747
ko:K02756	lmc:Lm4b_02747
ko:K02757	lmc:Lm4b_02747
ko:K03488	lmc:Lm4b_02748
ko:K02003	lmc:Lm4b_02749
ko:K06942	lmc:Lm4b_02755
ko:K02759	lmc:Lm4b_02756
ko:K02760	lmc:Lm4b_02758
ko:K02761	lmc:Lm4b_02759
ko:K03781	lmc:Lm4b_02761
ko:K03497	lmc:Lm4b_02763
ko:K03496	lmc:Lm4b_02764
ko:K03497	lmc:Lm4b_02767
ko:K01788	lmc:Lm4b_02774
ko:K03501	lmc:Lm4b_02775
ko:K03495	lmc:Lm4b_02783
