ko:K08744	mto:MTCTRI2_1854
ko:K02874	mto:MTCTRI2_0730
ko:K02895	mto:MTCTRI2_0731
ko:K02931	mto:MTCTRI2_0732
ko:K02954	mto:MTCTRI2_0733
ko:K02994	mto:MTCTRI2_0734
ko:K02933	mto:MTCTRI2_0735
ko:K02881	mto:MTCTRI2_0736
ko:K02988	mto:MTCTRI2_0737
ko:K02907	mto:MTCTRI2_0738
ko:K02876	mto:MTCTRI2_0739
ko:K04773	mto:MTCTRI2_0740
ko:K01628	mto:MTCTRI2_0743
ko:K03076	mto:MTCTRI2_0748
ko:K08641	mto:MTCTRI2_0861
ko:K00161	mto:MTCTRI2_0866
ko:K01738	mto:MTCTRI2_0871
ko:K14267	mto:MTCTRI2_0881
ko:K03637	mto:MTCTRI2_0887
ko:K03639	mto:MTCTRI2_0892
ko:K03704	mto:MTCTRI2_0894
ko:K00831	mto:MTCTRI2_0907
ko:K00528	mto:MTCTRI2_0909
ko:K01647	mto:MTCTRI2_0912
ko:K07056	mto:MTCTRI2_1028
ko:K01665	mto:MTCTRI2_1030
ko:K01874	mto:MTCTRI2_1032
ko:K03424	mto:MTCTRI2_1033
ko:K02528	mto:MTCTRI2_1035
ko:K01056	mto:MTCTRI2_1039
ko:K02897	mto:MTCTRI2_1040
ko:K00948	mto:MTCTRI2_1042
ko:K04042	mto:MTCTRI2_1043
ko:K03723	mto:MTCTRI2_1046
ko:K00655	mto:MTCTRI2_2217
ko:K00766	mto:MTCTRI2_2227
ko:K02276	mto:MTCTRI2_2228
ko:K02275	mto:MTCTRI2_2235
ko:K01953	mto:MTCTRI2_2236
ko:K00865	mto:MTCTRI2_2240
ko:K00768	mto:MTCTRI2_2242
ko:K02233	mto:MTCTRI2_2243
ko:K00826	mto:MTCTRI2_2245
ko:K00605	mto:MTCTRI2_2246
ko:K01255	mto:MTCTRI2_2248
ko:K00658	mto:MTCTRI2_2250
ko:K07071	mto:MTCTRI2_2251
ko:K03801	mto:MTCTRI2_2252
ko:K03644	mto:MTCTRI2_2253
ko:K01915	mto:MTCTRI2_2256
ko:K00982	mto:MTCTRI2_2257
ko:K01915	mto:MTCTRI2_2258
ko:K00606	mto:MTCTRI2_2261
ko:K09990	mto:MTCTRI2_2263
ko:K07164	mto:MTCTRI2_2265
ko:K00817	mto:MTCTRI2_2267
ko:K02227	mto:MTCTRI2_2271
ko:K00163	mto:MTCTRI2_2277
ko:K00645	mto:MTCTRI2_2279
ko:K02078	mto:MTCTRI2_2280
ko:K00111	mto:MTCTRI2_2285
ko:K03820	mto:MTCTRI2_2297
ko:K03306	mto:MTCTRI2_2314
ko:K01521	mto:MTCTRI2_2324
ko:K14155	mto:MTCTRI2_2329
ko:K09925	mto:MTCTRI2_2330
ko:K04079	mto:MTCTRI2_2334
ko:K03568	mto:MTCTRI2_2356
ko:K02575	mto:MTCTRI2_2370
ko:K02884	mto:MTCTRI2_2960
ko:K00554	mto:MTCTRI2_2962
ko:K02860	mto:MTCTRI2_2963
ko:K06960	mto:MTCTRI2_2964
ko:K02959	mto:MTCTRI2_2965
ko:K03106	mto:MTCTRI2_2972
ko:K00990	mto:MTCTRI2_2974
ko:K04751	mto:MTCTRI2_2975
ko:K03320	mto:MTCTRI2_2976
ko:K03110	mto:MTCTRI2_2977
ko:K03529	mto:MTCTRI2_2978
ko:K01512	mto:MTCTRI2_2979
ko:K03685	mto:MTCTRI2_2982
ko:K07040	mto:MTCTRI2_2983
ko:K09957	mto:MTCTRI2_3829
ko:K05846	mto:MTCTRI2_3830
ko:K05846	mto:MTCTRI2_3831
ko:K05847	mto:MTCTRI2_3832
ko:K05845	mto:MTCTRI2_3833
ko:K00817	mto:MTCTRI2_3850
ko:K01689	mto:MTCTRI2_1049
ko:K01524	mto:MTCTRI2_1052
ko:K07667	mto:MTCTRI2_1053
ko:K07646	mto:MTCTRI2_1054
ko:K01546	mto:MTCTRI2_1056
ko:K01547	mto:MTCTRI2_1057
ko:K01548	mto:MTCTRI2_1058
ko:K09771	mto:MTCTRI2_2689
ko:K06916	mto:MTCTRI2_2722
ko:K00231	mto:MTCTRI2_2729
ko:K01599	mto:MTCTRI2_2730
ko:K03684	mto:MTCTRI2_2733
ko:K01662	mto:MTCTRI2_2734
ko:K00697	mto:MTCTRI2_3556
ko:K02066	mto:MTCTRI2_3566
ko:K02066	mto:MTCTRI2_3567
ko:K01652	mto:MTCTRI2_3575
ko:K01666	mto:MTCTRI2_3598
ko:K07089	mto:MTCTRI2_3021
ko:K01433	mto:MTCTRI2_3022
ko:K00954	mto:MTCTRI2_3023
ko:K03655	mto:MTCTRI2_3032
ko:K03648	mto:MTCTRI2_3035
ko:K00946	mto:MTCTRI2_3036
ko:K01921	mto:MTCTRI2_3040
ko:K00057	mto:MTCTRI2_3041
ko:K00937	mto:MTCTRI2_3043
ko:K03530	mto:MTCTRI2_3045
ko:K01704	mto:MTCTRI2_3046
ko:K01703	mto:MTCTRI2_3047
ko:K00052	mto:MTCTRI2_3056
ko:K02069	mto:MTCTRI2_3062
ko:K00053	mto:MTCTRI2_3063
ko:K01653	mto:MTCTRI2_3064
ko:K01652	mto:MTCTRI2_3065
ko:K01875	mto:MTCTRI2_3913
ko:K01126	mto:MTCTRI2_3921
ko:K04564	mto:MTCTRI2_3925
ko:K02553	mto:MTCTRI2_3932
ko:K00886	mto:MTCTRI2_2754
ko:K03086	mto:MTCTRI2_2755
ko:K07058	mto:MTCTRI2_2759
ko:K00322	mto:MTCTRI2_2765
ko:K07738	mto:MTCTRI2_2770
ko:K01356	mto:MTCTRI2_2772
ko:K03665	mto:MTCTRI2_2777
ko:K01778	mto:MTCTRI2_2778
ko:K00791	mto:MTCTRI2_2779
ko:K06168	mto:MTCTRI2_2785
ko:K03565	mto:MTCTRI2_2788
ko:K03218	mto:MTCTRI2_3644
ko:K01883	mto:MTCTRI2_3645
ko:K01770	mto:MTCTRI2_3646
ko:K00991	mto:MTCTRI2_3647
ko:K07736	mto:MTCTRI2_3648
ko:K04485	mto:MTCTRI2_3650
ko:K01673	mto:MTCTRI2_3653
ko:K03575	mto:MTCTRI2_3654
ko:K02313	mto:MTCTRI2_0001
ko:K02338	mto:MTCTRI2_0002
ko:K03629	mto:MTCTRI2_0003
ko:K02470	mto:MTCTRI2_0005
ko:K02469	mto:MTCTRI2_0006
ko:K00459	mto:MTCTRI2_0024
ko:K07735	mto:MTCTRI2_0040
ko:K01869	mto:MTCTRI2_0043
ko:K01858	mto:MTCTRI2_0048
ko:K02990	mto:MTCTRI2_0055
ko:K02963	mto:MTCTRI2_0057
ko:K02939	mto:MTCTRI2_0058
ko:K00031	mto:MTCTRI2_0068
ko:K00240	mto:MTCTRI2_0252
ko:K00239	mto:MTCTRI2_0253
ko:K00362	mto:MTCTRI2_0257
ko:K00363	mto:MTCTRI2_0258
ko:K02231	mto:MTCTRI2_0259
ko:K02232	mto:MTCTRI2_0260
ko:K02575	mto:MTCTRI2_0266
ko:K02016	mto:MTCTRI2_0270
ko:K02575	mto:MTCTRI2_0272
ko:K04719	mto:MTCTRI2_0312
ko:K01126	mto:MTCTRI2_0323
ko:K07238	mto:MTCTRI2_0325
ko:K15977	mto:MTCTRI2_3067
ko:K02434	mto:MTCTRI2_3071
ko:K02435	mto:MTCTRI2_3074
ko:K01972	mto:MTCTRI2_3076
ko:K00566	mto:MTCTRI2_3087
ko:K04487	mto:MTCTRI2_3088
ko:K03522	mto:MTCTRI2_3091
ko:K03521	mto:MTCTRI2_3092
ko:K02013	mto:MTCTRI2_3104
ko:K01079	mto:MTCTRI2_3105
ko:K00995	mto:MTCTRI2_2799
ko:K03466	mto:MTCTRI2_2801
ko:K01714	mto:MTCTRI2_2806
ko:K01304	mto:MTCTRI2_0326
ko:K01494	mto:MTCTRI2_0328
ko:K00012	mto:MTCTRI2_0329
ko:K00973	mto:MTCTRI2_0341
ko:K14260	mto:MTCTRI2_0344
ko:K11738	mto:MTCTRI2_0353
ko:K04043	mto:MTCTRI2_0357
ko:K03687	mto:MTCTRI2_0358
ko:K03686	mto:MTCTRI2_0359
ko:K01939	mto:MTCTRI2_0364
ko:K06213	mto:MTCTRI2_0369
ko:K01624	mto:MTCTRI2_0370
ko:K03975	mto:MTCTRI2_0371
ko:K07141	mto:MTCTRI2_0378
ko:K07402	mto:MTCTRI2_0379
ko:K09165	mto:MTCTRI2_0383
ko:K00762	mto:MTCTRI2_0386
ko:K03695	mto:MTCTRI2_0388
ko:K08289	mto:MTCTRI2_0392
ko:K10764	mto:MTCTRI2_0394
ko:K03885	mto:MTCTRI2_0395
ko:K00252	mto:MTCTRI2_0403
ko:K13788	mto:MTCTRI2_0411
ko:K00925	mto:MTCTRI2_0412
ko:K00788	mto:MTCTRI2_0417
ko:K03154	mto:MTCTRI2_0419
ko:K03149	mto:MTCTRI2_0420
ko:K07020	mto:MTCTRI2_0424
ko:K00941	mto:MTCTRI2_0425
ko:K03147	mto:MTCTRI2_0426
ko:K01142	mto:MTCTRI2_0430
ko:K01462	mto:MTCTRI2_0432
ko:K06048	mto:MTCTRI2_0436
ko:K07157	mto:MTCTRI2_0437
ko:K13525	mto:MTCTRI2_0438
ko:K01613	mto:MTCTRI2_0440
ko:K03750	mto:MTCTRI2_0441
ko:K04077	mto:MTCTRI2_0443
ko:K03088	mto:MTCTRI2_0448
ko:K00574	mto:MTCTRI2_0450
ko:K09701	mto:MTCTRI2_0451
ko:K09959	mto:MTCTRI2_0463
ko:K00382	mto:MTCTRI2_0466
ko:K07110	mto:MTCTRI2_0469
ko:K01637	mto:MTCTRI2_0471
ko:K00074	mto:MTCTRI2_0472
ko:K00574	mto:MTCTRI2_0473
ko:K00574	mto:MTCTRI2_0474
ko:K00075	mto:MTCTRI2_0487
ko:K06895	mto:MTCTRI2_0493
ko:K01524	mto:MTCTRI2_0502
ko:K00286	mto:MTCTRI2_0506
ko:K00574	mto:MTCTRI2_0511
ko:K02492	mto:MTCTRI2_0517
ko:K01749	mto:MTCTRI2_0518
ko:K13542	mto:MTCTRI2_0519
ko:K01698	mto:MTCTRI2_0520
ko:K00763	mto:MTCTRI2_0582
ko:K07282	mto:MTCTRI2_0583
ko:K06996	mto:MTCTRI2_0586
ko:K09122	mto:MTCTRI2_0588
ko:K02066	mto:MTCTRI2_0596
ko:K02066	mto:MTCTRI2_0597
ko:K07133	mto:MTCTRI2_0607
ko:K00965	mto:MTCTRI2_0629
ko:K00965	mto:MTCTRI2_0630
ko:K00849	mto:MTCTRI2_0631
ko:K01265	mto:MTCTRI2_0750
ko:K03088	mto:MTCTRI2_0751
ko:K00140	mto:MTCTRI2_0770
ko:K01945	mto:MTCTRI2_0791
ko:K01756	mto:MTCTRI2_0796
ko:K01923	mto:MTCTRI2_0799
ko:K01354	mto:MTCTRI2_0800
ko:K01647	mto:MTCTRI2_0919
ko:K06996	mto:MTCTRI2_0934
ko:K02168	mto:MTCTRI2_0940
ko:K03322	mto:MTCTRI2_0948
ko:K02040	mto:MTCTRI2_0952
ko:K02037	mto:MTCTRI2_0953
ko:K02038	mto:MTCTRI2_0954
ko:K02040	mto:MTCTRI2_0956
ko:K02036	mto:MTCTRI2_0957
ko:K02040	mto:MTCTRI2_0958
ko:K02037	mto:MTCTRI2_0959
ko:K02038	mto:MTCTRI2_0960
ko:K10979	mto:MTCTRI2_0961
ko:K01810	mto:MTCTRI2_0970
ko:K02016	mto:MTCTRI2_3107
ko:K13979	mto:MTCTRI2_3108
ko:K00266	mto:MTCTRI2_3937
ko:K03980	mto:MTCTRI2_3989
ko:K03427	mto:MTCTRI2_2809
ko:K09927	mto:MTCTRI2_2815
ko:K01061	mto:MTCTRI2_2818
ko:K00215	mto:MTCTRI2_2826
ko:K07044	mto:MTCTRI2_2830
ko:K00259	mto:MTCTRI2_2833
ko:K00459	mto:MTCTRI2_2834
ko:K00962	mto:MTCTRI2_2836
ko:K02956	mto:MTCTRI2_2838
ko:K11753	mto:MTCTRI2_2839
ko:K03696	mto:MTCTRI2_3661
ko:K04567	mto:MTCTRI2_3663
ko:K03525	mto:MTCTRI2_3665
ko:K01579	mto:MTCTRI2_3666
ko:K01918	mto:MTCTRI2_3667
ko:K00950	mto:MTCTRI2_3671
ko:K01633	mto:MTCTRI2_3672
ko:K00796	mto:MTCTRI2_3673
ko:K01495	mto:MTCTRI2_3674
ko:K03798	mto:MTCTRI2_3675
ko:K09807	mto:MTCTRI2_3688
ko:K00760	mto:MTCTRI2_3689
ko:K04075	mto:MTCTRI2_3690
ko:K07259	mto:MTCTRI2_3692
ko:K09799	mto:MTCTRI2_3694
ko:K04095	mto:MTCTRI2_3708
ko:K02341	mto:MTCTRI2_3712
ko:K07006	mto:MTCTRI2_2099
ko:K02230	mto:MTCTRI2_2100
ko:K02229	mto:MTCTRI2_2102
ko:K02346	mto:MTCTRI2_3119
ko:K06200	mto:MTCTRI2_3126
ko:K15977	mto:MTCTRI2_3127
ko:K06199	mto:MTCTRI2_3133
ko:K06199	mto:MTCTRI2_3134
ko:K01644	mto:MTCTRI2_3139
ko:K09781	mto:MTCTRI2_3155
ko:K03664	mto:MTCTRI2_3163
ko:K09811	mto:MTCTRI2_3164
ko:K09812	mto:MTCTRI2_3165
ko:K02836	mto:MTCTRI2_3168
ko:K00528	mto:MTCTRI2_3169
ko:K03088	mto:MTCTRI2_3990
ko:K00384	mto:MTCTRI2_3992
ko:K03671	mto:MTCTRI2_3993
ko:K03501	mto:MTCTRI2_3998
ko:K03217	mto:MTCTRI2_4000
ko:K08998	mto:MTCTRI2_4001
ko:K03536	mto:MTCTRI2_4002
ko:K02914	mto:MTCTRI2_4003
ko:K06978	mto:MTCTRI2_2853
ko:K15342	mto:MTCTRI2_2874
ko:K05813	mto:MTCTRI2_2890
ko:K02834	mto:MTCTRI2_2895
ko:K02519	mto:MTCTRI2_2896
ko:K07742	mto:MTCTRI2_2897
ko:K02600	mto:MTCTRI2_2898
ko:K09748	mto:MTCTRI2_2899
ko:K01881	mto:MTCTRI2_2902
ko:K02302	mto:MTCTRI2_2904
ko:K02224	mto:MTCTRI2_2905
ko:K03168	mto:MTCTRI2_3714
ko:K03704	mto:MTCTRI2_3716
ko:K12510	mto:MTCTRI2_3726
ko:K02283	mto:MTCTRI2_3727
ko:K01895	mto:MTCTRI2_3735
ko:K10773	mto:MTCTRI2_3742
ko:K01738	mto:MTCTRI2_3753
ko:K09117	mto:MTCTRI2_3758
ko:K03924	mto:MTCTRI2_3762
ko:K00864	mto:MTCTRI2_3766
ko:K06042	mto:MTCTRI2_2103
ko:K03088	mto:MTCTRI2_2107
ko:K05895	mto:MTCTRI2_2108
ko:K05936	mto:MTCTRI2_2109
ko:K03118	mto:MTCTRI2_2132
ko:K03116	mto:MTCTRI2_2133
ko:K03432	mto:MTCTRI2_2144
ko:K03433	mto:MTCTRI2_2145
ko:K00765	mto:MTCTRI2_2156
ko:K11738	mto:MTCTRI2_2162
ko:K06153	mto:MTCTRI2_2171
ko:K02221	mto:MTCTRI2_2182
ko:K09772	mto:MTCTRI2_2183
ko:K06997	mto:MTCTRI2_2184
ko:K05810	mto:MTCTRI2_2185
ko:K03531	mto:MTCTRI2_2186
ko:K03589	mto:MTCTRI2_2187
ko:K01924	mto:MTCTRI2_2188
ko:K02563	mto:MTCTRI2_2189
ko:K03588	mto:MTCTRI2_2190
ko:K01925	mto:MTCTRI2_2191
ko:K01000	mto:MTCTRI2_2192
ko:K01929	mto:MTCTRI2_2193
ko:K01928	mto:MTCTRI2_2194
ko:K03587	mto:MTCTRI2_2200
ko:K03438	mto:MTCTRI2_2202
ko:K03925	mto:MTCTRI2_2203
ko:K03639	mto:MTCTRI2_3172
ko:K03637	mto:MTCTRI2_3174
ko:K03636	mto:MTCTRI2_3175
ko:K04069	mto:MTCTRI2_3201
ko:K00330	mto:MTCTRI2_3208
ko:K00331	mto:MTCTRI2_3209
ko:K00332	mto:MTCTRI2_3210
ko:K00333	mto:MTCTRI2_3211
ko:K00334	mto:MTCTRI2_3212
ko:K00337	mto:MTCTRI2_3215
ko:K00338	mto:MTCTRI2_3216
ko:K00339	mto:MTCTRI2_3217
ko:K00340	mto:MTCTRI2_3218
ko:K00341	mto:MTCTRI2_3219
ko:K00342	mto:MTCTRI2_3220
ko:K00343	mto:MTCTRI2_3221
ko:K18957	mto:MTCTRI2_3941
ko:K03602	mto:MTCTRI2_1137
ko:K03601	mto:MTCTRI2_1138
ko:K03527	mto:MTCTRI2_1140
ko:K06942	mto:MTCTRI2_1142
ko:K00036	mto:MTCTRI2_1152
ko:K01720	mto:MTCTRI2_1161
ko:K01647	mto:MTCTRI2_1162
ko:K00549	mto:MTCTRI2_1164
ko:K12410	mto:MTCTRI2_1182
ko:K00975	mto:MTCTRI2_1244
ko:K06978	mto:MTCTRI2_1246
ko:K03088	mto:MTCTRI2_1252
ko:K03117	mto:MTCTRI2_1255
ko:K03284	mto:MTCTRI2_1270
ko:K00024	mto:MTCTRI2_1271
ko:K05592	mto:MTCTRI2_1284
ko:K13529	mto:MTCTRI2_1353
ko:K05838	mto:MTCTRI2_1361
ko:K00688	mto:MTCTRI2_1365
ko:K00763	mto:MTCTRI2_1367
ko:K06891	mto:MTCTRI2_1368
ko:K01776	mto:MTCTRI2_1375
ko:K00989	mto:MTCTRI2_1377
ko:K02078	mto:MTCTRI2_1381
ko:K00134	mto:MTCTRI2_1473
ko:K00927	mto:MTCTRI2_1474
ko:K01803	mto:MTCTRI2_1475
ko:K03075	mto:MTCTRI2_1477
ko:K01057	mto:MTCTRI2_1482
ko:K00036	mto:MTCTRI2_1484
ko:K00615	mto:MTCTRI2_1486
ko:K02259	mto:MTCTRI2_1493
ko:K09014	mto:MTCTRI2_1498
ko:K09015	mto:MTCTRI2_1499
ko:K09013	mto:MTCTRI2_1500
ko:K11717	mto:MTCTRI2_1501
ko:K01681	mto:MTCTRI2_1513
ko:K01870	mto:MTCTRI2_1579
ko:K02346	mto:MTCTRI2_1580
ko:K03101	mto:MTCTRI2_1582
ko:K06180	mto:MTCTRI2_1583
ko:K06886	mto:MTCTRI2_1585
ko:K07124	mto:MTCTRI2_1587
ko:K02337	mto:MTCTRI2_1590
ko:K00631	mto:MTCTRI2_1593
ko:K00246	mto:MTCTRI2_1596
ko:K01738	mto:MTCTRI2_2376
ko:K00640	mto:MTCTRI2_2377
ko:K01129	mto:MTCTRI2_2387
ko:K01114	mto:MTCTRI2_2392
ko:K01114	mto:MTCTRI2_2393
ko:K01880	mto:MTCTRI2_2400
ko:K03584	mto:MTCTRI2_2405
ko:K03595	mto:MTCTRI2_2407
ko:K07042	mto:MTCTRI2_2410
ko:K09761	mto:MTCTRI2_2415
ko:K03686	mto:MTCTRI2_2416
ko:K03705	mto:MTCTRI2_2417
ko:K03924	mto:MTCTRI2_3227
ko:K07133	mto:MTCTRI2_3242
ko:K03657	mto:MTCTRI2_3260
ko:K03426	mto:MTCTRI2_3262
