ko:K02030	kpn:KPN_01829
ko:K03724	kpn:KPN_pKPN3p05866
ko:K03641	kpn:KPN_00744
ko:K00901	kpn:KPN_04430
ko:K00651	kpn:KPN_04394
ko:K00549	kpn:KPN_04325
ko:K03835	kpn:KPN_03569
ko:K03312	kpn:KPN_04012
ko:K02549	kpn:KPN_02659
ko:K01893	kpn:KPN_00961
ko:K00768	kpn:KPN_02463
ko:K00425	kpn:KPN_00736
ko:K07709	kpn:KPN_04385
ko:K08305	kpn:KPN_03036
ko:K03628	kpn:KPN_04283
ko:K07089	kpn:KPN_03559
ko:K07803	kpn:KPN_04384
ko:K00363	kpn:KPN_03753
ko:K00362	kpn:KPN_02220
ko:K00525	kpn:KPN_02642
ko:K01652	kpn:KPN_02060
ko:K10806	kpn:KPN_01243
ko:K03572	kpn:KPN_04568
ko:K06076	kpn:KPN_02726
ko:K00648	kpn:KPN_01089
ko:K02470	kpn:KPN_04102
ko:K01903	kpn:KPN_00734
ko:K00820	kpn:KPN_04134
ko:K02238	kpn:KPN_00940
ko:K01912	kpn:KPN_01479
ko:K02302	kpn:KPN_03115
ko:K00526	kpn:KPN_03007
ko:K00057	kpn:KPN_03952
ko:K04754	kpn:KPN_02727
ko:K01677	kpn:KPN_00761
ko:K03808	kpn:KPN_02349
ko:K03808	kpn:KPN_00979
ko:K01821	kpn:KPN_01895
ko:K01007	kpn:KPN_02160
ko:K06074	kpn:KPN_02166
ko:K06073	kpn:KPN_02169
ko:K00790	kpn:KPN_03599
ko:K06968	kpn:KPN_03157
ko:K10680	kpn:KPN_01989
ko:K07673	kpn:KPN_02216
ko:K02037	kpn:KPN_04132
ko:K09811	kpn:KPN_03828
ko:K02038	kpn:KPN_04131
ko:K07713	kpn:KPN_04386
ko:K02529	kpn:KPN_01731
ko:K06222	kpn:KPN_00221
ko:K00974	kpn:KPN_03460
ko:K00137	kpn:KPN_01924
ko:K01652	kpn:KPN_04267
ko:K00088	kpn:KPN_02834
ko:K01255	kpn:KPN_04665
ko:K10748	kpn:KPN_01518
ko:K06223	kpn:KPN_03758
ko:K03076	kpn:KPN_03699
ko:K07447	kpn:KPN_03382
ko:K01866	kpn:KPN_01975
ko:K03837	kpn:KPN_03139
ko:K03593	kpn:KPN_02559
ko:K07091	kpn:KPN_04666
ko:K03106	kpn:KPN_02933
ko:K01626	kpn:KPN_00758
ko:K00383	kpn:KPN_03866
ko:K10111	kpn:KPN_04424
ko:K01495	kpn:KPN_02591
ko:K01429	kpn:KPN_03466
ko:K00600	kpn:KPN_02876
ko:K09889	kpn:KPN_04630
ko:K08234	kpn:KPN_00200
ko:K02445	kpn:KPN_02646
ko:K00239	kpn:KPN_00730
ko:K02970	kpn:KPN_03472
ko:K02316	kpn:KPN_03473
ko:K03703	kpn:KPN_02411
ko:K02899	kpn:KPN_03595
ko:K00244	kpn:KPN_04553
ko:K07011	kpn:KPN_02487
ko:K03919	kpn:KPN_02633
ko:K06189	kpn:KPN_00683
ko:K03118	kpn:KPN_04334
ko:K05799	kpn:KPN_00117
ko:K02616	kpn:KPN_01480
ko:K03573	kpn:KPN_03240
ko:K02336	kpn:KPN_00059
ko:K00850	kpn:KPN_04223
ko:K03555	kpn:KPN_03094
ko:K01448	kpn:KPN_02778
ko:K03177	kpn:KPN_03574
ko:K02948	kpn:KPN_03697
ko:K02986	kpn:KPN_03696
ko:K02317	kpn:KPN_04812
ko:K03655	kpn:KPN_04000
ko:K04044	kpn:KPN_02858
ko:K01972	kpn:KPN_03995
ko:K10562	kpn:KPN_04209
ko:K01704	kpn:KPN_00077
ko:K00867	kpn:KPN_04352
ko:K03179	kpn:KPN_04428
ko:K02112	kpn:KPN_04137
ko:K03648	kpn:KPN_02903
ko:K02510	kpn:KPN_04783
ko:K05522	kpn:KPN_00726
ko:K02190	kpn:KPN_03190
ko:K06169	kpn:KPN_04661
ko:K07040	kpn:KPN_01086
ko:K00615	kpn:KPN_03357
ko:K01956	kpn:KPN_00040
ko:K09690	kpn:KPN_02486
ko:K09691	kpn:KPN_02485
ko:K16238	kpn:KPN_00308
ko:K00525	kpn:KPN_03006
ko:K00526	kpn:KPN_02643
ko:K00845	kpn:KPN_02738
ko:K03760	kpn:KPN_00808
ko:K06192	kpn:KPN_00980
ko:K05834	kpn:KPN_04320
ko:K03566	kpn:KPN_03159
ko:K00537	kpn:KPN_02817
ko:K00344	kpn:KPN_04438
ko:K02566	kpn:KPN_00696
ko:K07107	kpn:KPN_00740
ko:K03152	kpn:KPN_00377
ko:K03638	kpn:KPN_00811
ko:K02939	kpn:KPN_04597
ko:K01875	kpn:KPN_00925
ko:K09458	kpn:KPN_01093
ko:K02563	kpn:KPN_00094
ko:K02821	kpn:KPN_04197
ko:K04651	kpn:KPN_03063
ko:K06213	kpn:KPN_03856
ko:K03578	kpn:KPN_01484
ko:K03923	kpn:KPN_03442
ko:K04069	kpn:KPN_00858
ko:K02110	kpn:KPN_04142
ko:K02467	kpn:KPN_03043
ko:K03775	kpn:KPN_03734
ko:K03640	kpn:KPN_00745
ko:K03969	kpn:KPN_01297
ko:K02790	kpn:KPN_01512
ko:K02791	kpn:KPN_01512
ko:K02114	kpn:KPN_04136
ko:K02313	kpn:KPN_04105
ko:K03644	kpn:KPN_00660
ko:K04750	kpn:KPN_04501
ko:K04087	kpn:KPN_04573
ko:K03427	kpn:KPN_00958
ko:K03672	kpn:KPN_02905
ko:K03613	kpn:KPN_01969
ko:K03564	kpn:KPN_02814
ko:K02380	kpn:KPN_04187
ko:K07307	kpn:KPN_01579
ko:K03734	kpn:KPN_02635
ko:K03547	kpn:KPN_00339
ko:K03563	kpn:KPN_03028
ko:K03612	kpn:KPN_01968
ko:K03645	kpn:KPN_00710
ko:K08351	kpn:KPN_03909
ko:K03617	kpn:KPN_01964
ko:K02042	kpn:KPN_pKPN3p05891
ko:K06911	kpn:KPN_03803
ko:K01889	kpn:KPN_02176
ko:K08316	kpn:KPN_03831
ko:K02914	kpn:KPN_04106
ko:K08194	kpn:KPN_04094
ko:K06155	kpn:KPN_03785
ko:K03299	kpn:KPN_01601
ko:K03686	kpn:KPN_00015
ko:K03424	kpn:KPN_04335
ko:K00537	kpn:KPN_pKPN3p05922
ko:K03781	kpn:KPN_01236
ko:K02221	kpn:KPN_03386
ko:K03086	kpn:KPN_03474
ko:K09747	kpn:KPN_00453
ko:K07722	kpn:KPN_03855
ko:K00942	kpn:KPN_03996
ko:K04774	kpn:KPN_01268
ko:K03599	kpn:KPN_03628
ko:K03588	kpn:KPN_00093
ko:K02956	kpn:KPN_03573
ko:K02945	kpn:KPN_00938
ko:K01925	kpn:KPN_00092
ko:K00568	kpn:KPN_02641
ko:K00864	kpn:KPN_04011
ko:K03657	kpn:KPN_04312
ko:K03110	kpn:KPN_03830
ko:K02837	kpn:KPN_04831
ko:K04066	kpn:KPN_04230
ko:K01256	kpn:KPN_00968
ko:K01657	kpn:KPN_01257
ko:K03720	kpn:KPN_04848
ko:K08301	kpn:KPN_03655
ko:K03548	kpn:KPN_02815
ko:K03554	kpn:KPN_00336
ko:K07154	kpn:KPN_01668
ko:K01092	kpn:KPN_02865
ko:K03498	kpn:KPN_04343
ko:K04077	kpn:KPN_04533
ko:K09861	kpn:KPN_00006
ko:K00783	kpn:KPN_00668
ko:K02528	kpn:KPN_00048
ko:K04744	kpn:KPN_00051
ko:K01887	kpn:KPN_02388
ko:K04568	kpn:KPN_04554
ko:K02160	kpn:KPN_03664
ko:K03806	kpn:KPN_00112
ko:K04763	kpn:KPN_03322
ko:K02884	kpn:KPN_02929
ko:K02860	kpn:KPN_02931
ko:K02959	kpn:KPN_02932
ko:K03043	kpn:KPN_04365
ko:K02935	kpn:KPN_04364
ko:K01784	kpn:KPN_00773
ko:K01783	kpn:KPN_03757
ko:K06041	kpn:KPN_03607
ko:K00208	kpn:KPN_01284
ko:K08161	kpn:KPN_00325
ko:K00432	kpn:KPN_02167
ko:K01153	kpn:KPN_00959
ko:K01915	kpn:KPN_04178
ko:K06077	kpn:KPN_01979
ko:K05808	kpn:KPN_03613
ko:K03470	kpn:KPN_00196
ko:K03600	kpn:KPN_03627
ko:K02996	kpn:KPN_03629
ko:K02871	kpn:KPN_03630
ko:K03634	kpn:KPN_00923
ko:K02864	kpn:KPN_04363
ko:K03650	kpn:KPN_04110
ko:K03517	kpn:KPN_00754
ko:K00794	kpn:KPN_00367
ko:K00793	kpn:KPN_02000
ko:K02835	kpn:KPN_02234
ko:K01012	kpn:KPN_00800
ko:K01935	kpn:KPN_00803
ko:K01902	kpn:KPN_00735
ko:K04043	kpn:KPN_00014
ko:K07258	kpn:KPN_00871
ko:K01507	kpn:KPN_04621
ko:K03270	kpn:KPN_03608
ko:K06861	kpn:KPN_03611
ko:K06173	kpn:KPN_02708
ko:K01662	kpn:KPN_00372
ko:K03551	kpn:KPN_02375
ko:K03980	kpn:KPN_01080
ko:K00631	kpn:KPN_04429
ko:K00384	kpn:KPN_00920
ko:K02057	kpn:KPN_00623
ko:K02056	kpn:KPN_00622
ko:K01696	kpn:KPN_01254
ko:K02551	kpn:KPN_02662
ko:K02108	kpn:KPN_04143
ko:K03101	kpn:KPN_00022
ko:K07637	kpn:KPN_01135
ko:K01962	kpn:KPN_00198
ko:K01845	kpn:KPN_00169
ko:K01920	kpn:KPN_03380
ko:K00604	kpn:KPN_03688
ko:K08289	kpn:KPN_02364
ko:K00009	kpn:KPN_03943
ko:K04063	kpn:KPN_01831
ko:K07566	kpn:KPN_03683
ko:K01919	kpn:KPN_03019
ko:K05592	kpn:KPN_03570
ko:K01839	kpn:KPN_04839
ko:K06141	kpn:KPN_03750
ko:K01872	kpn:KPN_03029
ko:K00616	kpn:KPN_02798
ko:K03769	kpn:KPN_04274
ko:K00849	kpn:KPN_00771
ko:K00979	kpn:KPN_00945
ko:K09791	kpn:KPN_00944
ko:K02887	kpn:KPN_02177
ko:K02916	kpn:KPN_02178
ko:K07320	kpn:KPN_02720
ko:K06866	kpn:KPN_02902
ko:K02769	kpn:KPN_02598
ko:K02770	kpn:KPN_02598
ko:K02781	kpn:KPN_03039
ko:K03804	kpn:KPN_00950
ko:K11073	kpn:KPN_00885
ko:K11250	kpn:KPN_01168
ko:K11074	kpn:KPN_00888
ko:K11249	kpn:KPN_00233
ko:K15581	kpn:KPN_02196
ko:K05921	kpn:KPN_04789
ko:K02509	kpn:KPN_04784
ko:K02508	kpn:KPN_04781
ko:K01000	kpn:KPN_00091
ko:K03589	kpn:KPN_00097
ko:K02836	kpn:KPN_03319
ko:K01921	kpn:KPN_00096
ko:K09903	kpn:KPN_00184
ko:K06136	kpn:KPN_01810
ko:K06137	kpn:KPN_01811
ko:K06139	kpn:KPN_01812
ko:K03614	kpn:KPN_01967
ko:K01995	kpn:KPN_03817
ko:K00656	kpn:KPN_00857
ko:K11191	kpn:KPN_04044
ko:K11192	kpn:KPN_04044
ko:K01154	kpn:KPN_pKPN4p07085
ko:K01714	kpn:KPN_02812
ko:K02078	kpn:KPN_01092
ko:K03807	kpn:KPN_00113
ko:K06042	kpn:KPN_03198
ko:K05527	kpn:KPN_00397
ko:K05516	kpn:KPN_04509
ko:K02768	kpn:KPN_02600
ko:K11183	kpn:KPN_02600
ko:K00230	kpn:KPN_04344
ko:K02548	kpn:KPN_04225
ko:K02931	kpn:KPN_03707
ko:K02498	kpn:KPN_04301
ko:K05804	kpn:KPN_04851
ko:K07636	kpn:KPN_00341
ko:K05966	kpn:KPN_00038
ko:K02115	kpn:KPN_04138
ko:K02818	kpn:KPN_04652
ko:K02819	kpn:KPN_04652
ko:K06151	kpn:KPN_02083
ko:K02535	kpn:KPN_00100
ko:K08303	kpn:KPN_01934
ko:K18922	kpn:KPN_03095
ko:K01821	kpn:KPN_02049
ko:K07306	kpn:KPN_00926
ko:K06179	kpn:KPN_01084
ko:K01892	kpn:KPN_02844
ko:K01883	kpn:KPN_00482
ko:K02511	kpn:KPN_04782
ko:K03719	kpn:KPN_00921
ko:K01624	kpn:KPN_03354
ko:K06941	kpn:KPN_02847
ko:K01996	kpn:KPN_03816
ko:K03117	kpn:KPN_04333
ko:K03116	kpn:KPN_04332
ko:K00645	kpn:KPN_01090
ko:K00558	kpn:KPN_04707
ko:K01653	kpn:KPN_00083
ko:K03189	kpn:KPN_03470
ko:K01042	kpn:KPN_03939
ko:K01791	kpn:KPN_04286
ko:K05786	kpn:KPN_04314
ko:K03615	kpn:KPN_01966
ko:K03789	kpn:KPN_04829
ko:K07034	kpn:KPN_00011
ko:K02892	kpn:KPN_03717
ko:K00547	kpn:KPN_00310
ko:K07771	kpn:KPN_00807
ko:K02946	kpn:KPN_03720
ko:K02878	kpn:KPN_03712
ko:K01999	kpn:KPN_00305
ko:K01997	kpn:KPN_00304
ko:K01998	kpn:KPN_00303
ko:K01995	kpn:KPN_00302
ko:K01996	kpn:KPN_00301
ko:K07792	kpn:KPN_04367
ko:K02024	kpn:KPN_04425
ko:K03503	kpn:KPN_pKPN4p07093
ko:K07058	kpn:KPN_04181
ko:K01091	kpn:KPN_03756
ko:K06190	kpn:KPN_01245
ko:K03190	kpn:KPN_03464
ko:K07112	kpn:KPN_01506
ko:K01223	kpn:KPN_02822
ko:K08314	kpn:KPN_04242
ko:K02919	kpn:KPN_00436
ko:K07646	kpn:KPN_00714
ko:K06178	kpn:KPN_01265
ko:K03592	kpn:KPN_04631
ko:K03469	kpn:KPN_00229
ko:K01939	kpn:KPN_04576
ko:K03527	kpn:KPN_00024
ko:K02460	kpn:KPN_00153
ko:K04103	kpn:KPN_02740
ko:K03621	kpn:KPN_01088
ko:K00863	kpn:KPN_03498
ko:K01661	kpn:KPN_02660
ko:K03788	kpn:KPN_04442
ko:K07345	kpn:KPN_00491
ko:K08997	kpn:KPN_02164
ko:K06180	kpn:KPN_02917
ko:K06191	kpn:KPN_03004
ko:K08680	kpn:KPN_02661
ko:K02769	kpn:KPN_03545
ko:K02770	kpn:KPN_03545
ko:K02565	kpn:KPN_00697
ko:K01443	kpn:KPN_00698
