ko:K19079	saus:SA40_0601
ko:K01126	saus:SA40_0031
ko:K01247	saus:SA40_0883
ko:K02837	saus:SA40_0890
ko:K02250	saus:SA40_0895
ko:K03800	saus:SA40_0897
ko:K02003	saus:SA40_0904
ko:K15977	saus:SA40_0907
ko:K02016	saus:SA40_0908
ko:K02548	saus:SA40_0912
ko:K02551	saus:SA40_0914
ko:K01661	saus:SA40_0916
ko:K13715	saus:SA40_0918
ko:K02829	saus:SA40_0928
ko:K02828	saus:SA40_0929
ko:K02827	saus:SA40_0930
ko:K02826	saus:SA40_0931
ko:K01491	saus:SA40_0934
ko:K01588	saus:SA40_0935
ko:K01589	saus:SA40_0936
ko:K03564	saus:SA40_1703
ko:K01845	saus:SA40_1704
ko:K03575	saus:SA40_1708
ko:K07038	saus:SA40_1709
ko:K03565	saus:SA40_1713
ko:K04478	saus:SA40_1714
ko:K05520	saus:SA40_1715
ko:K07058	saus:SA40_1723
ko:K07681	saus:SA40_1725
ko:K01265	saus:SA40_1728
ko:K06915	saus:SA40_0050
ko:K08170	saus:SA40_0070
ko:K03324	saus:SA40_0071
ko:K03303	saus:SA40_0076
ko:K14196	saus:SA40_0078
ko:K02015	saus:SA40_0080
ko:K02015	saus:SA40_0081
ko:K02016	saus:SA40_0082
ko:K01586	saus:SA40_0090
ko:K01923	saus:SA40_0937
ko:K01952	saus:SA40_0939
ko:K01952	saus:SA40_0940
ko:K00764	saus:SA40_0941
ko:K01933	saus:SA40_0942
ko:K11175	saus:SA40_0943
ko:K00602	saus:SA40_0944
ko:K01945	saus:SA40_0945
ko:K16785	saus:SA40_0946
ko:K16786	saus:SA40_0947
ko:K16787	saus:SA40_0947
ko:K16925	saus:SA40_0948
ko:K06969	saus:SA40_0951
ko:K00425	saus:SA40_0956
ko:K00426	saus:SA40_0957
ko:K01462	saus:SA40_0962
ko:K00161	saus:SA40_0964
ko:K00162	saus:SA40_0965
ko:K00627	saus:SA40_0966
ko:K00382	saus:SA40_0967
ko:K03322	saus:SA40_0976
ko:K06207	saus:SA40_0980
ko:K03588	saus:SA40_0984
ko:K02259	saus:SA40_0986
ko:K08976	saus:SA40_0988
ko:K02217	saus:SA40_1733
ko:K02346	saus:SA40_1735
ko:K03215	saus:SA40_1737
ko:K02434	saus:SA40_1740
ko:K02435	saus:SA40_1742
ko:K01972	saus:SA40_1745
ko:K03657	saus:SA40_1746
ko:K01756	saus:SA40_1749
ko:K01771	saus:SA40_0066
ko:K10254	saus:SA40_0072
ko:K07491	saus:SA40_0077
ko:K11189	saus:SA40_0953
ko:K08483	saus:SA40_0954
ko:K03499	saus:SA40_0958
ko:K11072	saus:SA40_0970
ko:K11071	saus:SA40_0971
ko:K11069	saus:SA40_0973
ko:K01092	saus:SA40_0978
ko:K01958	saus:SA40_0985
ko:K02342	saus:SA40_1734
ko:K02433	saus:SA40_1741
ko:K07094	saus:SA40_1747
ko:K01916	saus:SA40_1753
ko:K04518	saus:SA40_1756
ko:K15986	saus:SA40_1760
ko:K01992	saus:SA40_1771
ko:K01990	saus:SA40_1772
ko:K01990	saus:SA40_1774
ko:K01439	saus:SA40_1782
ko:K07052	saus:SA40_1787
ko:K16924	saus:SA40_2443
ko:K02352	saus:SA40_2446
ko:K10947	saus:SA40_2450
ko:K01784	saus:SA40_0095
ko:K03784	saus:SA40_0103
ko:K01619	saus:SA40_0105
ko:K01104	saus:SA40_0118
ko:K01784	saus:SA40_0129
ko:K02049	saus:SA40_0138
ko:K02051	saus:SA40_0139
ko:K02050	saus:SA40_0140
ko:K03471	saus:SA40_1010
ko:K00241	saus:SA40_1018
ko:K02428	saus:SA40_1022
ko:K11041	saus:SA40_1042
ko:K07025	saus:SA40_1046
ko:K07706	saus:SA40_1794
ko:K01409	saus:SA40_1806
ko:K03095	saus:SA40_1820
ko:K03090	saus:SA40_1822
ko:K07315	saus:SA40_1825
ko:K09167	saus:SA40_1830
ko:K08981	saus:SA40_1831
ko:K00819	saus:SA40_0149
ko:K09963	saus:SA40_0155
ko:K02033	saus:SA40_0163
ko:K02035	saus:SA40_0165
ko:K10112	saus:SA40_0170
ko:K15770	saus:SA40_0171
ko:K07784	saus:SA40_0178
ko:K07720	saus:SA40_0179
ko:K02035	saus:SA40_0193
ko:K08258	saus:SA40_1750
ko:K00763	saus:SA40_1754
ko:K00491	saus:SA40_1755
ko:K14445	saus:SA40_1757
ko:K01114	saus:SA40_1779
ko:K04077	saus:SA40_1785
ko:K04078	saus:SA40_1786
ko:K11755	saus:SA40_2430
ko:K02500	saus:SA40_2431
ko:K01814	saus:SA40_2432
ko:K02501	saus:SA40_2433
ko:K01693	saus:SA40_2434
ko:K00817	saus:SA40_2435
ko:K00013	saus:SA40_2436
ko:K00765	saus:SA40_2437
ko:K16785	saus:SA40_2441
ko:K16786	saus:SA40_2442
ko:K16787	saus:SA40_2442
ko:K07146	saus:SA40_2447
ko:K01304	saus:SA40_2448
ko:K03319	saus:SA40_2452
ko:K05786	saus:SA40_2453
ko:K07241	saus:SA40_2455
ko:K11631	saus:SA40_2459
ko:K11632	saus:SA40_2460
ko:K03704	saus:SA40_2466
ko:K04564	saus:SA40_0100
ko:K01839	saus:SA40_0106
ko:K02042	saus:SA40_0107
ko:K02042	saus:SA40_0108
ko:K02041	saus:SA40_0109
ko:K02044	saus:SA40_0110
ko:K04072	saus:SA40_0115
ko:K13012	saus:SA40_0128
ko:K02472	saus:SA40_0130
ko:K09790	saus:SA40_0133
ko:K16264	saus:SA40_0135
ko:K08996	saus:SA40_0145
ko:K00930	saus:SA40_0146
ko:K00620	saus:SA40_0147
ko:K01126	saus:SA40_0991
ko:K00954	saus:SA40_0995
ko:K07040	saus:SA40_0997
ko:K02911	saus:SA40_0998
ko:K14193	saus:SA40_1000
ko:K02016	saus:SA40_1003
ko:K02015	saus:SA40_1004
ko:K08600	saus:SA40_1005
ko:K03437	saus:SA40_1007
ko:K01889	saus:SA40_1008
ko:K01890	saus:SA40_1009
ko:K09888	saus:SA40_1012
ko:K02347	saus:SA40_1014
ko:K07456	saus:SA40_1015
ko:K03671	saus:SA40_1016
ko:K03703	saus:SA40_1017
ko:K00239	saus:SA40_1019
ko:K00240	saus:SA40_1020
ko:K01776	saus:SA40_1021
ko:K07095	saus:SA40_1023
ko:K14200	saus:SA40_1028
ko:K11032	saus:SA40_1032
ko:K00611	saus:SA40_1038
ko:K00926	saus:SA40_1039
ko:K07078	saus:SA40_1789
ko:K07813	saus:SA40_1792
ko:K07800	saus:SA40_1793
ko:K07707	saus:SA40_1795
ko:K00847	saus:SA40_1796
ko:K01193	saus:SA40_1797
ko:K03484	saus:SA40_1798
ko:K03320	saus:SA40_1799
ko:K07112	saus:SA40_1801
ko:K01926	saus:SA40_1802
ko:K06158	saus:SA40_1803
ko:K03789	saus:SA40_1807
ko:K06925	saus:SA40_1809
ko:K01687	saus:SA40_1810
ko:K01652	saus:SA40_1811
ko:K01653	saus:SA40_1812
ko:K00053	saus:SA40_1813
ko:K01649	saus:SA40_1814
ko:K00052	saus:SA40_1815
ko:K01703	saus:SA40_1816
ko:K01704	saus:SA40_1817
ko:K01754	saus:SA40_1818
ko:K06959	saus:SA40_1821
ko:K01775	saus:SA40_1828
ko:K00997	saus:SA40_1829
ko:K01548	saus:SA40_1833
ko:K01547	saus:SA40_1834
ko:K01546	saus:SA40_1835
ko:K07646	saus:SA40_1836
ko:K07667	saus:SA40_1837
ko:K00145	saus:SA40_0148
ko:K03311	saus:SA40_0150
ko:K07106	saus:SA40_0156
ko:K01153	saus:SA40_0160
ko:K02034	saus:SA40_0164
ko:K01118	saus:SA40_0168
ko:K15771	saus:SA40_0172
ko:K15772	saus:SA40_0173
ko:K02012	saus:SA40_0181
ko:K00656	saus:SA40_0182
ko:K04069	saus:SA40_0183
ko:K01126	saus:SA40_0184
ko:K07516	saus:SA40_0188
ko:K00252	saus:SA40_0189
ko:K05916	saus:SA40_0196
ko:K02773	saus:SA40_0203
ko:K03925	saus:SA40_1049
ko:K03438	saus:SA40_1050
ko:K12552	saus:SA40_1052
ko:K01000	saus:SA40_1053
ko:K01925	saus:SA40_1054
ko:K03589	saus:SA40_1055
ko:K03590	saus:SA40_1056
ko:K03531	saus:SA40_1057
ko:K05810	saus:SA40_1058
ko:K06997	saus:SA40_1059
ko:K09772	saus:SA40_1060
ko:K02221	saus:SA40_1061
ko:K04074	saus:SA40_1063
ko:K01870	saus:SA40_1064
ko:K03101	saus:SA40_1068
ko:K06180	saus:SA40_1069
ko:K02825	saus:SA40_1070
ko:K00609	saus:SA40_1072
ko:K01465	saus:SA40_1073
ko:K01956	saus:SA40_1074
ko:K01955	saus:SA40_1075
ko:K01591	saus:SA40_1076
ko:K00762	saus:SA40_1077
ko:K00942	saus:SA40_1082
ko:K03060	saus:SA40_1083
ko:K13038	saus:SA40_1084
ko:K04066	saus:SA40_1085
ko:K01462	saus:SA40_1088
ko:K00604	saus:SA40_1089
ko:K03500	saus:SA40_1090
ko:K06941	saus:SA40_1091
ko:K06949	saus:SA40_1094
ko:K01783	saus:SA40_1095
ko:K02902	saus:SA40_1097
ko:K03655	saus:SA40_1100
ko:K03621	saus:SA40_1102
ko:K01929	saus:SA40_1839
ko:K01921	saus:SA40_1840
ko:K05837	saus:SA40_1841
ko:K06131	saus:SA40_1845
ko:K06950	saus:SA40_1846
ko:K03217	saus:SA40_1847
ko:K00788	saus:SA40_1848
ko:K00878	saus:SA40_1849
ko:K00941	saus:SA40_1850
ko:K03707	saus:SA40_1851
ko:K02372	saus:SA40_1858
ko:K00790	saus:SA40_1859
ko:K02114	saus:SA40_1861
ko:K02112	saus:SA40_1862
ko:K02115	saus:SA40_1863
ko:K02111	saus:SA40_1864
ko:K02113	saus:SA40_1865
ko:K02109	saus:SA40_1866
ko:K02110	saus:SA40_1867
ko:K02108	saus:SA40_1868
ko:K00761	saus:SA40_1871
ko:K00600	saus:SA40_1872
ko:K07566	saus:SA40_1875
ko:K02493	saus:SA40_1876
ko:K02835	saus:SA40_1877
ko:K00016	saus:SA40_0197
ko:K07104	saus:SA40_1065
ko:K02824	saus:SA40_1071
ko:K07030	saus:SA40_1099
ko:K02116	saus:SA40_1869
ko:K01104	saus:SA40_1874
ko:K03048	saus:SA40_1887
ko:K09680	saus:SA40_1889
ko:K02775	saus:SA40_0205
ko:K00852	saus:SA40_0226
ko:K06216	saus:SA40_0228
ko:K01990	saus:SA40_0235
ko:K01992	saus:SA40_0236
ko:K01992	saus:SA40_0237
ko:K00059	saus:SA40_1104
ko:K09787	saus:SA40_1109
ko:K03177	saus:SA40_1144
ko:K00059	saus:SA40_1153
ko:K01619	saus:SA40_1896
ko:K03784	saus:SA40_1897
ko:K02799	saus:SA40_1912
ko:K02800	saus:SA40_1912
ko:K02798	saus:SA40_1914
ko:K03593	saus:SA40_1921
ko:K02004	saus:SA40_0266
ko:K16329	saus:SA40_0270
ko:K03307	saus:SA40_0272
ko:K01639	saus:SA40_0273
ko:K01788	saus:SA40_0276
ko:K03475	saus:SA40_0286
ko:K02822	saus:SA40_0287
ko:K02821	saus:SA40_0288
ko:K07729	saus:SA40_0305
ko:K01990	saus:SA40_0307
ko:K00626	saus:SA40_0310
ko:K01760	saus:SA40_0314
ko:K02443	saus:SA40_1170
ko:K03713	saus:SA40_1180
ko:K01220	saus:SA40_1944
ko:K02786	saus:SA40_1946
ko:K01635	saus:SA40_1947
ko:K00917	saus:SA40_1948
ko:K01819	saus:SA40_1949
ko:K01819	saus:SA40_1950
ko:K02530	saus:SA40_1951
ko:K01727	saus:SA40_1956
ko:K16787	saus:SA40_1968
ko:K16786	saus:SA40_1969
ko:K00939	saus:SA40_1976
ko:K14221	saus:SA40_t002
ko:K14221	saus:SA40_t037
ko:K14221	saus:SA40_t034
ko:K14221	saus:SA40_t023
ko:K02909	saus:SA40_1879
ko:K03628	saus:SA40_1880
ko:K00790	saus:SA40_1883
ko:K01624	saus:SA40_1884
ko:K01937	saus:SA40_1886
ko:K02774	saus:SA40_0204
ko:K05352	saus:SA40_0210
ko:K07322	saus:SA40_0217
ko:K07704	saus:SA40_0218
ko:K05338	saus:SA40_0220
ko:K05339	saus:SA40_0221
ko:K03489	saus:SA40_0222
ko:K01223	saus:SA40_0224
ko:K06726	saus:SA40_0227
ko:K02529	saus:SA40_0229
ko:K01442	saus:SA40_0233
ko:K03466	saus:SA40_0245
ko:K00645	saus:SA40_1103
ko:K02078	saus:SA40_1105
ko:K03685	saus:SA40_1106
ko:K03529	saus:SA40_1107
ko:K03110	saus:SA40_1108
ko:K03106	saus:SA40_1110
ko:K02959	saus:SA40_1111
ko:K02860	saus:SA40_1112
ko:K00554	saus:SA40_1113
ko:K02884	saus:SA40_1114
ko:K14540	saus:SA40_1116
ko:K03470	saus:SA40_1117
ko:K01903	saus:SA40_1118
ko:K01902	saus:SA40_1119
ko:K04096	saus:SA40_1122
ko:K03168	saus:SA40_1123
ko:K04094	saus:SA40_1124
ko:K03733	saus:SA40_1125
ko:K01419	saus:SA40_1126
ko:K03667	saus:SA40_1127
ko:K03706	saus:SA40_1128
ko:K02967	saus:SA40_1129
ko:K02357	saus:SA40_1130
ko:K09903	saus:SA40_1131
ko:K02838	saus:SA40_1132
ko:K00806	saus:SA40_1133
ko:K00981	saus:SA40_1134
ko:K11749	saus:SA40_1135
ko:K01881	saus:SA40_1136
ko:K03763	saus:SA40_1137
ko:K09748	saus:SA40_1138
ko:K02600	saus:SA40_1139
ko:K07742	saus:SA40_1140
ko:K02519	saus:SA40_1142
ko:K02834	saus:SA40_1143
ko:K11753	saus:SA40_1145
ko:K02956	saus:SA40_1146
ko:K00962	saus:SA40_1147
ko:K03466	saus:SA40_1149
ko:K00995	saus:SA40_1156
ko:K07173	saus:SA40_1893
ko:K00756	saus:SA40_1895
ko:K04047	saus:SA40_1898
ko:K01809	saus:SA40_1902
ko:K16264	saus:SA40_1905
ko:K02013	saus:SA40_1910
ko:K00820	saus:SA40_1911
ko:K00009	saus:SA40_1915
ko:K03431	saus:SA40_1917
ko:K01476	saus:SA40_1920
ko:K11068	saus:SA40_1925
ko:K07038	saus:SA40_1927
ko:K02015	saus:SA40_1930
ko:K02015	saus:SA40_1931
ko:K02016	saus:SA40_1932
ko:K03311	saus:SA40_0264
ko:K02003	saus:SA40_0267
ko:K03800	saus:SA40_0285
ko:K02445	saus:SA40_0293
ko:K00299	saus:SA40_0296
ko:K03817	saus:SA40_0298
ko:K07224	saus:SA40_0299
ko:K16301	saus:SA40_0300
ko:K07243	saus:SA40_0301
ko:K03118	saus:SA40_0302
ko:K03116	saus:SA40_0303
ko:K00549	saus:SA40_0312
ko:K09769	saus:SA40_1161
ko:K00174	saus:SA40_1162
ko:K00175	saus:SA40_1163
ko:K06168	saus:SA40_1165
ko:K03555	saus:SA40_1168
ko:K03572	saus:SA40_1169
ko:K02440	saus:SA40_1171
ko:K00864	saus:SA40_1172
ko:K00111	saus:SA40_1173
ko:K00791	saus:SA40_1175
ko:K03666	saus:SA40_1176
ko:K00432	saus:SA40_1177
ko:K03665	saus:SA40_1178
ko:K01915	saus:SA40_1181
ko:K01620	saus:SA40_1199
ko:K06131	saus:SA40_1201
ko:K00928	saus:SA40_1206
ko:K00003	saus:SA40_1207
ko:K01733	saus:SA40_1208
ko:K00872	saus:SA40_1209
ko:K03781	saus:SA40_1213
ko:K02913	saus:SA40_1214
ko:K02954	saus:SA40_1215
ko:K00364	saus:SA40_1216
ko:K01356	saus:SA40_1218
ko:K02787	saus:SA40_1945
ko:K02788	saus:SA40_1945
ko:K12410	saus:SA40_1952
ko:K01575	saus:SA40_1960
ko:K01652	saus:SA40_1961
ko:K03655	saus:SA40_1963
ko:K02996	saus:SA40_1964
ko:K02871	saus:SA40_1965
ko:K06173	saus:SA40_1966
ko:K16785	saus:SA40_1967
ko:K02879	saus:SA40_1970
ko:K03040	saus:SA40_1971
ko:K02948	saus:SA40_1972
ko:K02952	saus:SA40_1973
ko:K02919	saus:SA40_1974
ko:K02518	saus:SA40_1975
ko:K03076	saus:SA40_1977
ko:K02876	saus:SA40_1978
ko:K02907	saus:SA40_1979
ko:K02988	saus:SA40_1980
ko:K02881	saus:SA40_1981
ko:K02933	saus:SA40_1982
ko:K02994	saus:SA40_1983
ko:K02954	saus:SA40_1984
ko:K02931	saus:SA40_1985
ko:K02895	saus:SA40_1986
ko:K02874	saus:SA40_1987
ko:K02961	saus:SA40_1988
ko:K02904	saus:SA40_1989
ko:K02878	saus:SA40_1990
ko:K02982	saus:SA40_1991
ko:K06942	saus:SA40_0319
ko:K02990	saus:SA40_0323
ko:K02963	saus:SA40_0325
ko:K03387	saus:SA40_0337
ko:K06956	saus:SA40_0340
ko:K03816	saus:SA40_0344
ko:K16169	saus:SA40_0345
ko:K01951	saus:SA40_0347
ko:K08987	saus:SA40_0357
ko:K11042	saus:SA40_0360
ko:K03427	saus:SA40_0370
ko:K01154	saus:SA40_0371
ko:K00615	saus:SA40_1221
ko:K03547	saus:SA40_1224
ko:K03282	saus:SA40_1226
ko:K01681	saus:SA40_1228
ko:K07107	saus:SA40_1229
ko:K08591	saus:SA40_1231
ko:K02622	saus:SA40_1232
ko:K02621	saus:SA40_1233
ko:K03310	saus:SA40_1234
ko:K03480	saus:SA40_1235
ko:K14205	saus:SA40_1237
ko:K01821	saus:SA40_1240
ko:K01657	saus:SA40_1244
ko:K00766	saus:SA40_1246
ko:K01609	saus:SA40_1247
ko:K01817	saus:SA40_1248
ko:K01696	saus:SA40_1249
ko:K01695	saus:SA40_1250
ko:K11694	saus:SA40_1251
ko:K11695	saus:SA40_1252
ko:K01834	saus:SA40_0332
ko:K03386	saus:SA40_0338
ko:K00088	saus:SA40_0346
ko:K07491	saus:SA40_0361
ko:K09976	saus:SA40_1222
ko:K05020	saus:SA40_1227
ko:K07304	saus:SA40_1238
ko:K04517	saus:SA40_1242
ko:K02033	saus:SA40_1258
ko:K05822	saus:SA40_1272
ko:K03635	saus:SA40_2017
ko:K02017	saus:SA40_2023
ko:K17216	saus:SA40_0398
ko:K01226	saus:SA40_0413
ko:K03486	saus:SA40_0414
ko:K07305	saus:SA40_1298
ko:K07304	saus:SA40_1299
ko:K03469	saus:SA40_1308
ko:K03294	saus:SA40_1311
ko:K03700	saus:SA40_1324
ko:K02086	saus:SA40_1328
ko:K07052	saus:SA40_2059
ko:K01479	saus:SA40_2080
ko:K01785	saus:SA40_2084
ko:K01992	saus:SA40_2086
ko:K01990	saus:SA40_2087
ko:K01823	saus:SA40_2091
ko:K14233	saus:SA40_t014
ko:K14222	saus:SA40_t027
ko:K14223	saus:SA40_t028
ko:K14223	saus:SA40_t055
ko:K14236	saus:SA40_t031
ko:K14236	saus:SA40_t056
ko:K02034	saus:SA40_1257
ko:K02039	saus:SA40_1261
ko:K02036	saus:SA40_1262
ko:K02038	saus:SA40_1263
ko:K02037	saus:SA40_1264
ko:K02040	saus:SA40_1265
ko:K00243	saus:SA40_1266
ko:K00928	saus:SA40_1268
ko:K00133	saus:SA40_1269
ko:K01714	saus:SA40_1270
ko:K00215	saus:SA40_1271
ko:K01775	saus:SA40_1274
ko:K01586	saus:SA40_1275
ko:K02890	saus:SA40_1992
ko:K02965	saus:SA40_1993
ko:K02886	saus:SA40_1994
ko:K02892	saus:SA40_1995
ko:K02926	saus:SA40_1996
ko:K02906	saus:SA40_1997
ko:K02946	saus:SA40_1998
ko:K06901	saus:SA40_2000
ko:K05340	saus:SA40_2003
ko:K07088	saus:SA40_2004
ko:K11693	saus:SA40_2008
ko:K03639	saus:SA40_2014
ko:K03752	saus:SA40_2015
ko:K03636	saus:SA40_2016
ko:K03753	saus:SA40_2018
ko:K03750	saus:SA40_2019
ko:K03637	saus:SA40_2020
ko:K03638	saus:SA40_2021
ko:K02018	saus:SA40_2024
ko:K02020	saus:SA40_2025
ko:K02379	saus:SA40_2026
ko:K03523	saus:SA40_2028
ko:K02016	saus:SA40_2031
ko:K08717	saus:SA40_2033
ko:K01430	saus:SA40_2034
ko:K01429	saus:SA40_2035
ko:K01428	saus:SA40_2036
ko:K03187	saus:SA40_2037
ko:K03188	saus:SA40_2038
ko:K03189	saus:SA40_2039
ko:K03190	saus:SA40_2040
ko:K05577	saus:SA40_0390
ko:K09822	saus:SA40_0391
ko:K03928	saus:SA40_0395
ko:K03308	saus:SA40_0397
ko:K17217	saus:SA40_0399
ko:K02071	saus:SA40_0400
ko:K02072	saus:SA40_0401
ko:K02073	saus:SA40_0402
ko:K00266	saus:SA40_0411
ko:K02818	saus:SA40_0412
ko:K02819	saus:SA40_0412
ko:K02343	saus:SA40_0416
ko:K09747	saus:SA40_0417
ko:K06187	saus:SA40_0418
ko:K00943	saus:SA40_0420
ko:K02341	saus:SA40_0422
ko:K07461	saus:SA40_0426
ko:K07056	saus:SA40_0427
ko:K01874	saus:SA40_0428
ko:K03424	saus:SA40_0429
ko:K05985	saus:SA40_0430
ko:K02528	saus:SA40_0431
ko:K07734	saus:SA40_1276
ko:K03704	saus:SA40_1278
ko:K01512	saus:SA40_1280
ko:K03311	saus:SA40_1283
ko:K00658	saus:SA40_1288
ko:K00164	saus:SA40_1289
ko:K02563	saus:SA40_1293
ko:K03797	saus:SA40_1295
