ko:K18929	hpf:HPF30_1157
ko:K03187	hpf:HPF30_1230
ko:K03188	hpf:HPF30_1231
ko:K03189	hpf:HPF30_1232
ko:K03190	hpf:HPF30_1233
ko:K13821	hpf:HPF30_1245
ko:K04656	hpf:HPF30_1252
ko:K02377	hpf:HPF30_1254
ko:K01711	hpf:HPF30_1255
ko:K02029	hpf:HPF30_0221
ko:K06200	hpf:HPF30_0222
ko:K01810	hpf:HPF30_0224
ko:K00384	hpf:HPF30_0226
ko:K03839	hpf:HPF30_0229
ko:K07042	hpf:HPF30_0230
ko:K04095	hpf:HPF30_0231
ko:K00286	hpf:HPF30_0232
ko:K02563	hpf:HPF30_0235
ko:K01873	hpf:HPF30_0237
ko:K03106	hpf:HPF30_0238
ko:K02959	hpf:HPF30_0239
ko:K06960	hpf:HPF30_0240
ko:K02860	hpf:HPF30_0241
ko:K00554	hpf:HPF30_0242
ko:K02884	hpf:HPF30_0243
ko:K00604	hpf:HPF30_0248
ko:K03524	hpf:HPF30_0249
ko:K02109	hpf:HPF30_0252
ko:K02109	hpf:HPF30_0253
ko:K02113	hpf:HPF30_0254
ko:K02111	hpf:HPF30_0255
ko:K02115	hpf:HPF30_0256
ko:K02112	hpf:HPF30_0257
ko:K02114	hpf:HPF30_0258
ko:K03641	hpf:HPF30_0262
ko:K03640	hpf:HPF30_0263
ko:K03775	hpf:HPF30_0265
ko:K02396	hpf:HPF30_0270
ko:K03702	hpf:HPF30_0274
ko:K01756	hpf:HPF30_0276
ko:K00648	hpf:HPF30_1092
ko:K03621	hpf:HPF30_1093
ko:K02911	hpf:HPF30_1094
ko:K00940	hpf:HPF30_1096
ko:K00789	hpf:HPF30_1097
ko:K02536	hpf:HPF30_1098
ko:K00208	hpf:HPF30_1099
ko:K01803	hpf:HPF30_1100
ko:K00246	hpf:HPF30_1101
ko:K00600	hpf:HPF30_1111
ko:K04567	hpf:HPF30_1112
ko:K03558	hpf:HPF30_1113
ko:K03820	hpf:HPF30_1114
ko:K02356	hpf:HPF30_1119
ko:K01624	hpf:HPF30_1120
ko:K02421	hpf:HPF30_1123
ko:K03750	hpf:HPF30_1125
ko:K02836	hpf:HPF30_1126
ko:K08303	hpf:HPF30_1128
ko:K01698	hpf:HPF30_1133
ko:K00891	hpf:HPF30_1138
ko:K01689	hpf:HPF30_1141
ko:K01657	hpf:HPF30_0115
ko:K00766	hpf:HPF30_0117
ko:K13498	hpf:HPF30_0118
ko:K01696	hpf:HPF30_0119
ko:K01695	hpf:HPF30_0120
ko:K15778	hpf:HPF30_0122
ko:K00343	hpf:HPF30_0124
ko:K00342	hpf:HPF30_0125
ko:K00341	hpf:HPF30_0126
ko:K00340	hpf:HPF30_0127
ko:K00339	hpf:HPF30_0128
ko:K00338	hpf:HPF30_0129
ko:K00337	hpf:HPF30_0130
ko:K00334	hpf:HPF30_0133
ko:K00333	hpf:HPF30_0134
ko:K00332	hpf:HPF30_0135
ko:K00331	hpf:HPF30_0136
ko:K00330	hpf:HPF30_0137
ko:K12410	hpf:HPF30_0138
ko:K00762	hpf:HPF30_0140
ko:K02838	hpf:HPF30_0141
ko:K03075	hpf:HPF30_0142
ko:K02169	hpf:HPF30_0143
ko:K01867	hpf:HPF30_0144
ko:K13893	hpf:HPF30_0145
ko:K13894	hpf:HPF30_0146
ko:K00014	hpf:HPF30_0148
ko:K12573	hpf:HPF30_0149
ko:K02340	hpf:HPF30_0150
ko:K02990	hpf:HPF30_0151
ko:K02963	hpf:HPF30_0153
ko:K09794	hpf:HPF30_0155
ko:K01872	hpf:HPF30_0156
ko:K06287	hpf:HPF30_0157
ko:K01956	hpf:HPF30_0159
ko:K09804	hpf:HPF30_0160
ko:K00796	hpf:HPF30_0164
ko:K02341	hpf:HPF30_0165
ko:K00928	hpf:HPF30_0167
ko:K08311	hpf:HPF30_0168
ko:K01845	hpf:HPF30_0988
ko:K03979	hpf:HPF30_0991
ko:K12372	hpf:HPF30_0992
ko:K12370	hpf:HPF30_0994
ko:K12368	hpf:HPF30_0996
ko:K02899	hpf:HPF30_0997
ko:K02888	hpf:HPF30_0998
ko:K02397	hpf:HPF30_0999
ko:K01163	hpf:HPF30_1002
ko:K01586	hpf:HPF30_1004
ko:K01735	hpf:HPF30_1013
ko:K09944	hpf:HPF30_1014
ko:K00773	hpf:HPF30_1015
ko:K02517	hpf:HPF30_1016
ko:K02841	hpf:HPF30_1017
ko:K01524	hpf:HPF30_1018
ko:K01609	hpf:HPF30_1020
ko:K06940	hpf:HPF30_1022
ko:K09778	hpf:HPF30_1026
ko:K06168	hpf:HPF30_1027
ko:K01465	hpf:HPF30_1030
ko:K03695	hpf:HPF30_1032
ko:K03601	hpf:HPF30_1037
ko:K02078	hpf:HPF30_0767
ko:K09458	hpf:HPF30_0768
ko:K01962	hpf:HPF30_0769
ko:K03218	hpf:HPF30_0773
ko:K07056	hpf:HPF30_0774
ko:K02909	hpf:HPF30_0775
ko:K03628	hpf:HPF30_0776
ko:K01776	hpf:HPF30_0777
ko:K03667	hpf:HPF30_0808
ko:K01419	hpf:HPF30_0809
ko:K02939	hpf:HPF30_0810
ko:K01915	hpf:HPF30_0812
ko:K00215	hpf:HPF30_0814
ko:K02470	hpf:HPF30_0820
ko:K02338	hpf:HPF30_0821
ko:K04075	hpf:HPF30_0609
ko:K07791	hpf:HPF30_0613
ko:K06895	hpf:HPF30_0617
ko:K02343	hpf:HPF30_0618
ko:K06925	hpf:HPF30_0619
ko:K06861	hpf:HPF30_0620
ko:K03092	hpf:HPF30_0621
ko:K07023	hpf:HPF30_0623
ko:K03438	hpf:HPF30_0627
ko:K03701	hpf:HPF30_0629
ko:K02469	hpf:HPF30_0632
ko:K00901	hpf:HPF30_0633
ko:K10856	hpf:HPF30_0635
ko:K02106	hpf:HPF30_0639
ko:K01029	hpf:HPF30_0640
ko:K01028	hpf:HPF30_0641
ko:K07501	hpf:HPF30_0643
ko:K04759	hpf:HPF30_0644
ko:K02419	hpf:HPF30_0647
ko:K04042	hpf:HPF30_0648
ko:K00097	hpf:HPF30_1474
ko:K02392	hpf:HPF30_1478
ko:K03625	hpf:HPF30_0001
ko:K00794	hpf:HPF30_0002
ko:K01627	hpf:HPF30_0003
ko:K01673	hpf:HPF30_0004
ko:K01591	hpf:HPF30_0005
ko:K01918	hpf:HPF30_0006
ko:K04077	hpf:HPF30_0008
ko:K04078	hpf:HPF30_0009
ko:K00566	hpf:HPF30_0011
ko:K09859	hpf:HPF30_0016
ko:K03415	hpf:HPF30_0017
ko:K13747	hpf:HPF30_0018
ko:K03760	hpf:HPF30_0020
ko:K01173	hpf:HPF30_0022
ko:K01338	hpf:HPF30_0024
ko:K05807	hpf:HPF30_0025
ko:K13626	hpf:HPF30_0027
ko:K02372	hpf:HPF30_0028
ko:K00677	hpf:HPF30_0029
ko:K03544	hpf:HPF30_0030
ko:K03569	hpf:HPF30_0031
ko:K03570	hpf:HPF30_0032
ko:K03179	hpf:HPF30_0040
ko:K01613	hpf:HPF30_0043
ko:K03517	hpf:HPF30_0044
ko:K00767	hpf:HPF30_0046
ko:K03797	hpf:HPF30_0050
ko:K00655	hpf:HPF30_0052
ko:K03648	hpf:HPF30_0053
ko:K07478	hpf:HPF30_0876
ko:K02417	hpf:HPF30_0880
ko:K02416	hpf:HPF30_0881
ko:K02405	hpf:HPF30_0882
ko:K04562	hpf:HPF30_0884
ko:K02404	hpf:HPF30_0885
ko:K00950	hpf:HPF30_0886
ko:K03786	hpf:HPF30_0888
ko:K02956	hpf:HPF30_0890
ko:K02400	hpf:HPF30_0891
ko:K01895	hpf:HPF30_0895
ko:K09748	hpf:HPF30_0896
ko:K02834	hpf:HPF30_0897
ko:K02519	hpf:HPF30_0898
ko:K00872	hpf:HPF30_0900
ko:K02535	hpf:HPF30_0902
ko:K03610	hpf:HPF30_0903
ko:K00606	hpf:HPF30_0908
ko:K03551	hpf:HPF30_0909
ko:K03117	hpf:HPF30_0910
ko:K03118	hpf:HPF30_0911
ko:K07568	hpf:HPF30_0912
ko:K03501	hpf:HPF30_0913
ko:K06950	hpf:HPF30_0914
ko:K03413	hpf:HPF30_0917
ko:K02687	hpf:HPF30_0918
ko:K03798	hpf:HPF30_0919
ko:K07241	hpf:HPF30_0926
ko:K00170	hpf:HPF30_0277
ko:K00169	hpf:HPF30_0278
ko:K00171	hpf:HPF30_0279
ko:K00172	hpf:HPF30_0280
ko:K13979	hpf:HPF30_0285
ko:K01057	hpf:HPF30_0287
ko:K00036	hpf:HPF30_0288
ko:K01690	hpf:HPF30_0289
ko:K01625	hpf:HPF30_0290
ko:K06173	hpf:HPF30_0295
ko:K07091	hpf:HPF30_0296
ko:K00573	hpf:HPF30_0297
ko:K01961	hpf:HPF30_0303
ko:K02160	hpf:HPF30_0304
ko:K01494	hpf:HPF30_0305
ko:K09761	hpf:HPF30_0307
ko:K01772	hpf:HPF30_0309
ko:K00262	hpf:HPF30_0313
ko:K02493	hpf:HPF30_0314
ko:K04066	hpf:HPF30_0320
ko:K15256	hpf:HPF30_0321
ko:K04564	hpf:HPF30_0322
ko:K11065	hpf:HPF30_0323
ko:K03408	hpf:HPF30_0324
ko:K03407	hpf:HPF30_0325
ko:K03415	hpf:HPF30_0326
ko:K03269	hpf:HPF30_0327
ko:K06997	hpf:HPF30_0328
ko:K00406	hpf:HPF30_1148
ko:K00407	hpf:HPF30_1149
ko:K00405	hpf:HPF30_1150
ko:K00404	hpf:HPF30_1151
ko:K03575	hpf:HPF30_1153
ko:K03303	hpf:HPF30_1154
ko:K03303	hpf:HPF30_1155
ko:K00782	hpf:HPF30_1158
ko:K03564	hpf:HPF30_1159
ko:K01626	hpf:HPF30_1161
ko:K03837	hpf:HPF30_1162
ko:K01752	hpf:HPF30_1163
ko:K00645	hpf:HPF30_1169
ko:K01733	hpf:HPF30_1178
ko:K09765	hpf:HPF30_1180
ko:K07173	hpf:HPF30_1185
ko:K04043	hpf:HPF30_1188
ko:K03687	hpf:HPF30_1189
ko:K03705	hpf:HPF30_1190
ko:K01628	hpf:HPF30_1191
ko:K02406	hpf:HPF30_1194
ko:K03168	hpf:HPF30_1195
ko:K01868	hpf:HPF30_1200
ko:K06199	hpf:HPF30_0171
ko:K00806	hpf:HPF30_0175
ko:K01945	hpf:HPF30_0177
ko:K04744	hpf:HPF30_0179
ko:K00962	hpf:HPF30_0181
ko:K02110	hpf:HPF30_0182
ko:K00640	hpf:HPF30_0183
ko:K02358	hpf:HPF30_0188
ko:K02913	hpf:HPF30_0189
ko:K03073	hpf:HPF30_0190
ko:K02601	hpf:HPF30_0191
ko:K02867	hpf:HPF30_0192
ko:K02863	hpf:HPF30_0193
ko:K02864	hpf:HPF30_0194
ko:K02935	hpf:HPF30_0195
ko:K02950	hpf:HPF30_0197
ko:K02992	hpf:HPF30_0198
ko:K02355	hpf:HPF30_0199
ko:K01892	hpf:HPF30_0202
ko:K00133	hpf:HPF30_0203
ko:K08159	hpf:HPF30_0206
ko:K01839	hpf:HPF30_0212
ko:K06901	hpf:HPF30_0215
ko:K02429	hpf:HPF30_0216
ko:K11749	hpf:HPF30_1038
ko:K01939	hpf:HPF30_1041
ko:K13895	hpf:HPF30_1044
ko:K13896	hpf:HPF30_1045
ko:K05592	hpf:HPF30_1048
ko:K02394	hpf:HPF30_1049
ko:K07710	hpf:HPF30_1051
ko:K04047	hpf:HPF30_1052
ko:K02523	hpf:HPF30_1055
ko:K02492	hpf:HPF30_1056
ko:K01881	hpf:HPF30_1057
ko:K01749	hpf:HPF30_1058
ko:K03981	hpf:HPF30_1064
ko:K00979	hpf:HPF30_1065
ko:K07090	hpf:HPF30_1069
ko:K12267	hpf:HPF30_1070
ko:K04485	hpf:HPF30_1071
ko:K13819	hpf:HPF30_1073
ko:K04487	hpf:HPF30_1074
ko:K00099	hpf:HPF30_1079
ko:K00981	hpf:HPF30_1080
ko:K14445	hpf:HPF30_1081
ko:K03495	hpf:HPF30_1082
ko:K04079	hpf:HPF30_1085
ko:K01058	hpf:HPF30_0822
ko:K03308	hpf:HPF30_0823
ko:K03308	hpf:HPF30_0824
ko:K07107	hpf:HPF30_0825
ko:K01925	hpf:HPF30_0827
ko:K01000	hpf:HPF30_0828
ko:K15846	hpf:HPF30_0829
ko:K02902	hpf:HPF30_0830
ko:K03781	hpf:HPF30_0836
ko:K06207	hpf:HPF30_0841
ko:K02018	hpf:HPF30_0847
ko:K02020	hpf:HPF30_0848
ko:K02020	hpf:HPF30_0849
ko:K08602	hpf:HPF30_0852
ko:K01153	hpf:HPF30_0858
ko:K03427	hpf:HPF30_0859
ko:K01154	hpf:HPF30_0860
ko:K00937	hpf:HPF30_0861
ko:K01714	hpf:HPF30_0864
ko:K00995	hpf:HPF30_0867
ko:K12506	hpf:HPF30_0870
ko:K05516	hpf:HPF30_0874
ko:K07090	hpf:HPF30_0655
ko:K00812	hpf:HPF30_0659
ko:K11473	hpf:HPF30_0662
ko:K01736	hpf:HPF30_0665
ko:K03685	hpf:HPF30_0666
ko:K02434	hpf:HPF30_0670
ko:K07277	hpf:HPF30_0673
ko:K02217	hpf:HPF30_0675
ko:K01079	hpf:HPF30_0676
ko:K01744	hpf:HPF30_0679
ko:K00790	hpf:HPF30_0680
ko:K00963	hpf:HPF30_0682
ko:K08309	hpf:HPF30_0683
ko:K02221	hpf:HPF30_0684
ko:K06920	hpf:HPF30_0688
ko:K03620	hpf:HPF30_0694
ko:K03923	hpf:HPF30_0697
ko:K01924	hpf:HPF30_0703
ko:K07456	hpf:HPF30_0705
ko:K07270	hpf:HPF30_0707
ko:K00134	hpf:HPF30_0054
ko:K00927	hpf:HPF30_0055
ko:K03284	hpf:HPF30_0056
ko:K03832	hpf:HPF30_0059
ko:K03561	hpf:HPF30_0061
ko:K07722	hpf:HPF30_0062
ko:K00969	hpf:HPF30_0063
ko:K00566	hpf:HPF30_0065
ko:K03686	hpf:HPF30_0068
ko:K07787	hpf:HPF30_0071
ko:K03470	hpf:HPF30_0077
ko:K07133	hpf:HPF30_0079
ko:K02946	hpf:HPF30_0080
ko:K02906	hpf:HPF30_0081
ko:K02926	hpf:HPF30_0082
ko:K02892	hpf:HPF30_0083
ko:K02886	hpf:HPF30_0084
ko:K02965	hpf:HPF30_0085
ko:K02890	hpf:HPF30_0086
ko:K02982	hpf:HPF30_0087
ko:K02878	hpf:HPF30_0088
ko:K02904	hpf:HPF30_0089
ko:K02961	hpf:HPF30_0090
ko:K02874	hpf:HPF30_0091
ko:K02895	hpf:HPF30_0092
ko:K02931	hpf:HPF30_0093
ko:K02954	hpf:HPF30_0094
ko:K02994	hpf:HPF30_0095
ko:K02933	hpf:HPF30_0096
ko:K02881	hpf:HPF30_0097
ko:K02988	hpf:HPF30_0098
ko:K02876	hpf:HPF30_0099
ko:K03076	hpf:HPF30_0100
ko:K01265	hpf:HPF30_0101
ko:K02518	hpf:HPF30_0102
ko:K02919	hpf:HPF30_0103
ko:K02952	hpf:HPF30_0104
ko:K02948	hpf:HPF30_0105
ko:K02986	hpf:HPF30_0106
ko:K03040	hpf:HPF30_0107
ko:K02879	hpf:HPF30_0108
ko:K03811	hpf:HPF30_0110
ko:K03707	hpf:HPF30_0111
ko:K00609	hpf:HPF30_0933
ko:K06442	hpf:HPF30_0935
ko:K11753	hpf:HPF30_0936
ko:K00615	hpf:HPF30_0937
ko:K03466	hpf:HPF30_0939
ko:K02392	hpf:HPF30_0941
ko:K03596	hpf:HPF30_0943
ko:K01662	hpf:HPF30_0944
ko:K02411	hpf:HPF30_0945
ko:K02410	hpf:HPF30_0946
ko:K02409	hpf:HPF30_0947
ko:K01937	hpf:HPF30_0949
ko:K07462	hpf:HPF30_0950
ko:K06180	hpf:HPF30_0951
ko:K07447	hpf:HPF30_0961
ko:K04096	hpf:HPF30_0962
ko:K03608	hpf:HPF30_0963
ko:K03609	hpf:HPF30_0964
ko:K00053	hpf:HPF30_0965
ko:K00912	hpf:HPF30_0967
ko:K02393	hpf:HPF30_0971
ko:K00942	hpf:HPF30_0975
ko:K03116	hpf:HPF30_0976
ko:K01887	hpf:HPF30_0977
ko:K07226	hpf:HPF30_0978
ko:K07270	hpf:HPF30_0710
ko:K01876	hpf:HPF30_0712
ko:K03415	hpf:HPF30_0713
ko:K01972	hpf:HPF30_0714
ko:K01599	hpf:HPF30_0722
ko:K02406	hpf:HPF30_0725
ko:K03611	hpf:HPF30_0732
ko:K00177	hpf:HPF30_0735
ko:K00175	hpf:HPF30_0736
ko:K00174	hpf:HPF30_0737
ko:K00176	hpf:HPF30_0738
ko:K07082	hpf:HPF30_0739
ko:K10773	hpf:HPF30_0742
ko:K02417	hpf:HPF30_0743
ko:K01465	hpf:HPF30_0746
ko:K01491	hpf:HPF30_0750
ko:K03100	hpf:HPF30_0751
ko:K01808	hpf:HPF30_0753
ko:K00759	hpf:HPF30_0755
ko:K01255	hpf:HPF30_0757
ko:K06942	hpf:HPF30_0758
ko:K01778	hpf:HPF30_0761
ko:K02970	hpf:HPF30_0765
ko:K13038	hpf:HPF30_0490
ko:K15894	hpf:HPF30_0491
ko:K09860	hpf:HPF30_0494
ko:K03530	hpf:HPF30_0495
ko:K03977	hpf:HPF30_0496
ko:K00797	hpf:HPF30_0498
ko:K00859	hpf:HPF30_0499
ko:K02108	hpf:HPF30_0502
ko:K07270	hpf:HPF30_0504
ko:K00384	hpf:HPF30_0505
ko:K03671	hpf:HPF30_0506
ko:K07460	hpf:HPF30_0507
ko:K00003	hpf:HPF30_0508
ko:K03703	hpf:HPF30_0509
ko:K05847	hpf:HPF30_0512
ko:K02557	hpf:HPF30_0515
ko:K02556	hpf:HPF30_0516
ko:K02415	hpf:HPF30_0522
ko:K00997	hpf:HPF30_0523
ko:K07043	hpf:HPF30_0525
ko:K07270	hpf:HPF30_0526
ko:K14652	hpf:HPF30_0527
ko:K03070	hpf:HPF30_0545
ko:K03634	hpf:HPF30_0546
ko:K01682	hpf:HPF30_0551
ko:K09903	hpf:HPF30_0553
ko:K03060	hpf:HPF30_0554
ko:K01866	hpf:HPF30_0556
ko:K00459	hpf:HPF30_0557
ko:K01448	hpf:HPF30_0558
ko:K02401	hpf:HPF30_0560
ko:K03752	hpf:HPF30_0561
ko:K03639	hpf:HPF30_0562
ko:K03639	hpf:HPF30_0565
ko:K06940	hpf:HPF30_0569
ko:K03110	hpf:HPF30_0570
ko:K07084	hpf:HPF30_0575
ko:K12251	hpf:HPF30_0576
ko:K02422	hpf:HPF30_0580
ko:K02407	hpf:HPF30_0581
ko:K09811	hpf:HPF30_0584
ko:K09812	hpf:HPF30_0585
ko:K03439	hpf:HPF30_0586
ko:K06180	hpf:HPF30_0588
ko:K05837	hpf:HPF30_0591
ko:K00948	hpf:HPF30_0592
ko:K01929	hpf:HPF30_0594
ko:K01921	hpf:HPF30_0596
ko:K01095	hpf:HPF30_0597
ko:K01783	hpf:HPF30_1421
ko:K03841	hpf:HPF30_1422
ko:K02357	hpf:HPF30_1428
ko:K02967	hpf:HPF30_1429
ko:K03313	hpf:HPF30_1431
ko:K03210	hpf:HPF30_1432
ko:K03072	hpf:HPF30_1433
ko:K03074	hpf:HPF30_1434
ko:K01869	hpf:HPF30_1436
ko:K11754	hpf:HPF30_1438
ko:K03723	hpf:HPF30_1442
ko:K00411	hpf:HPF30_1443
ko:K00412	hpf:HPF30_1444
ko:K00413	hpf:HPF30_1445
ko:K03587	hpf:HPF30_1449
ko:K02408	hpf:HPF30_1450
ko:K02388	hpf:HPF30_1451
ko:K02387	hpf:HPF30_1452
ko:K03588	hpf:HPF30_1453
ko:K02016	hpf:HPF30_1454
ko:K02073	hpf:HPF30_1456
ko:K05515	hpf:HPF30_1457
ko:K03978	hpf:HPF30_1459
ko:K09774	hpf:HPF30_1460
ko:K03270	hpf:HPF30_1462
ko:K03642	hpf:HPF30_1463
ko:K08307	hpf:HPF30_1464
ko:K03424	hpf:HPF30_1465
ko:K00793	hpf:HPF30_1466
ko:K04061	hpf:HPF30_1467
ko:K02071	hpf:HPF30_1468
ko:K02072	hpf:HPF30_1469
ko:K03474	hpf:HPF30_1473
ko:K12574	hpf:HPF30_1296
ko:K07316	hpf:HPF30_1036
ko:K18682	hpf:HPF30_0573
ko:K01878	hpf:HPF30_0381
ko:K07164	hpf:HPF30_0383
ko:K02527	hpf:HPF30_0384
ko:K13292	hpf:HPF30_0386
ko:K01963	hpf:HPF30_0391
ko:K00783	hpf:HPF30_0392
ko:K00285	hpf:HPF30_0398
ko:K03310	hpf:HPF30_0399
ko:K01775	hpf:HPF30_0400
ko:K01737	hpf:HPF30_0409
ko:K03787	hpf:HPF30_0411
ko:K00795	hpf:HPF30_0412
ko:K01495	hpf:HPF30_0413
ko:K03799	hpf:HPF30_0414
ko:K06176	hpf:HPF30_0415
ko:K06187	hpf:HPF30_0416
ko:K01821	hpf:HPF30_0417
ko:K00134	hpf:HPF30_0420
ko:K01955	hpf:HPF30_0422
ko:K03657	hpf:HPF30_0428
ko:K02390	hpf:HPF30_0431
ko:K02389	hpf:HPF30_0432
ko:K09747	hpf:HPF30_1262
ko:K01579	hpf:HPF30_1263
ko:K03694	hpf:HPF30_1264
ko:K06891	hpf:HPF30_1265
ko:K01935	hpf:HPF30_1268
ko:K00031	hpf:HPF30_1270
ko:K01647	hpf:HPF30_1271
ko:K01012	hpf:HPF30_1275
ko:K07058	hpf:HPF30_1276
ko:K09457	hpf:HPF30_1281
ko:K09710	hpf:HPF30_1282
ko:K00791	hpf:HPF30_1283
ko:K00075	hpf:HPF30_1287
ko:K02420	hpf:HPF30_1288
ko:K02412	hpf:HPF30_1289
ko:K01870	hpf:HPF30_1291
ko:K06941	hpf:HPF30_1294
ko:K06041	hpf:HPF30_1295
ko:K02528	hpf:HPF30_1297
ko:K01154	hpf:HPF30_1299
ko:K01433	hpf:HPF30_1300
ko:K04773	hpf:HPF30_1301
ko:K13788	hpf:HPF30_0434
ko:K00925	hpf:HPF30_0435
ko:K04653	hpf:HPF30_0438
ko:K04654	hpf:HPF30_0439
ko:K02015	hpf:HPF30_0446
ko:K02013	hpf:HPF30_0447
ko:K01883	hpf:HPF30_0449
ko:K03980	hpf:HPF30_0450
ko:K03550	hpf:HPF30_0452
ko:K01159	hpf:HPF30_0456
ko:K03781	hpf:HPF30_0458
ko:K06193	hpf:HPF30_0461
ko:K01521	hpf:HPF30_0462
ko:K02390	hpf:HPF30_0463
ko:K04651	hpf:HPF30_0464
ko:K00748	hpf:HPF30_0466
ko:K03624	hpf:HPF30_0467
ko:K03525	hpf:HPF30_0471
ko:K09792	hpf:HPF30_0472
ko:K03273	hpf:HPF30_0473
ko:K03274	hpf:HPF30_0474
ko:K03272	hpf:HPF30_0475
ko:K03271	hpf:HPF30_0476
ko:K00364	hpf:HPF30_0477
ko:K09805	hpf:HPF30_0479
ko:K03427	hpf:HPF30_0483
ko:K01154	hpf:HPF30_0484
ko:K01153	hpf:HPF30_0485
ko:K00878	hpf:HPF30_0486
ko:K00941	hpf:HPF30_0487
ko:K00788	hpf:HPF30_0488
ko:K03563	hpf:HPF30_1309
ko:K00919	hpf:HPF30_1310
ko:K03664	hpf:HPF30_1311
ko:K03561	hpf:HPF30_1312
ko:K02914	hpf:HPF30_1314
ko:K03536	hpf:HPF30_1315
ko:K03217	hpf:HPF30_1317
ko:K03650	hpf:HPF30_1319
ko:K07337	hpf:HPF30_1324
ko:K06178	hpf:HPF30_1326
ko:K02337	hpf:HPF30_1327
ko:K00428	hpf:HPF30_1328
ko:K02065	hpf:HPF30_1332
ko:K02066	hpf:HPF30_1333
ko:K00826	hpf:HPF30_1335
ko:K00943	hpf:HPF30_1342
ko:K00954	hpf:HPF30_1343
ko:K03186	hpf:HPF30_1344
ko:K02386	hpf:HPF30_1345
ko:K03657	hpf:HPF30_1346
ko:K01875	hpf:HPF30_1348
ko:K03602	hpf:HPF30_1350
ko:K03183	hpf:HPF30_1351
ko:K08973	hpf:HPF30_1352
ko:K01993	hpf:HPF30_1356
ko:K03306	hpf:HPF30_1359
ko:K01928	hpf:HPF30_1362
ko:K16091	hpf:HPF30_0646
ko:K16091	hpf:HPF30_0524
ko:K16091	hpf:HPF30_1410
ko:K00104	hpf:HPF30_0815
ko:K14233	hpf:HPF30_t34
ko:K14218	hpf:HPF30_t32
ko:K14219	hpf:HPF30_t19
ko:K14226	hpf:HPF30_t18
ko:K15726	hpf:HPF30_0372
ko:K01977	hpf:HPF30_r01
ko:K01977	hpf:HPF30_r06
ko:K14230	hpf:HPF30_t13
ko:K14234	hpf:HPF30_t11
ko:K14225	hpf:HPF30_t10
ko:K14236	hpf:HPF30_t09
ko:K14234	hpf:HPF30_t08
ko:K14228	hpf:HPF30_t07
ko:K14228	hpf:HPF30_t06
ko:K14231	hpf:HPF30_t36
ko:K10716	hpf:HPF30_0831
ko:K15035	hpf:HPF30_tm01
ko:K02014	hpf:HPF30_0457
ko:K02014	hpf:HPF30_1382
ko:K02028	hpf:HPF30_0219
ko:K02030	hpf:HPF30_0218
ko:K02433	hpf:HPF30_0500
ko:K00088	hpf:HPF30_0501
