ko:K19079	suz:MS7_0711
ko:K01512	suz:MS7_1360
ko:K03311	suz:MS7_1363
ko:K00658	suz:MS7_1368
ko:K00164	suz:MS7_1369
ko:K02563	suz:MS7_1373
ko:K03797	suz:MS7_1376
ko:K09125	suz:MS7_1388
ko:K08170	suz:MS7_1392
ko:K01754	suz:MS7_1394
ko:K00259	suz:MS7_1395
ko:K02787	suz:MS7_2213
ko:K02788	suz:MS7_2213
ko:K12410	suz:MS7_2220
ko:K01154	suz:MS7_2226
ko:K03427	suz:MS7_2227
ko:K01575	suz:MS7_2234
ko:K01652	suz:MS7_2235
ko:K02996	suz:MS7_2237
ko:K02871	suz:MS7_2238
ko:K06173	suz:MS7_2239
ko:K02879	suz:MS7_2243
ko:K03040	suz:MS7_2244
ko:K02948	suz:MS7_2245
ko:K02952	suz:MS7_2246
ko:K02919	suz:MS7_2247
ko:K02518	suz:MS7_2248
ko:K03076	suz:MS7_2250
ko:K02876	suz:MS7_2251
ko:K02907	suz:MS7_2252
ko:K02988	suz:MS7_2253
ko:K02881	suz:MS7_2254
ko:K02933	suz:MS7_2255
ko:K02994	suz:MS7_2256
ko:K02954	suz:MS7_2257
ko:K02931	suz:MS7_2258
ko:K02895	suz:MS7_2259
ko:K02874	suz:MS7_2260
ko:K02961	suz:MS7_2261
ko:K02904	suz:MS7_2262
ko:K01126	suz:MS7_0214
ko:K07516	suz:MS7_0218
ko:K00252	suz:MS7_0219
ko:K05916	suz:MS7_0226
ko:K02773	suz:MS7_0233
ko:K02774	suz:MS7_0234
ko:K05352	suz:MS7_0240
ko:K07322	suz:MS7_0249
ko:K07704	suz:MS7_0250
ko:K05338	suz:MS7_0252
ko:K05339	suz:MS7_0253
ko:K03489	suz:MS7_0254
ko:K01223	suz:MS7_0256
ko:K06726	suz:MS7_0259
ko:K02529	suz:MS7_0261
ko:K01442	suz:MS7_0266
ko:K00611	suz:MS7_1124
ko:K00926	suz:MS7_1125
ko:K03925	suz:MS7_1135
ko:K03438	suz:MS7_1136
ko:K01000	suz:MS7_1139
ko:K01925	suz:MS7_1140
ko:K03589	suz:MS7_1141
ko:K03590	suz:MS7_1142
ko:K03531	suz:MS7_1143
ko:K05810	suz:MS7_1144
ko:K06997	suz:MS7_1145
ko:K09772	suz:MS7_1146
ko:K02221	suz:MS7_1147
ko:K04074	suz:MS7_1149
ko:K01870	suz:MS7_1150
ko:K03101	suz:MS7_1153
ko:K06180	suz:MS7_1154
ko:K02825	suz:MS7_1155
ko:K00609	suz:MS7_1157
ko:K01465	suz:MS7_1158
ko:K01956	suz:MS7_1159
ko:K01955	suz:MS7_1160
ko:K01591	suz:MS7_1161
ko:K00762	suz:MS7_1162
ko:K00942	suz:MS7_1167
ko:K03060	suz:MS7_1168
ko:K13038	suz:MS7_1169
ko:K04066	suz:MS7_1170
ko:K01462	suz:MS7_1173
ko:K00604	suz:MS7_1174
ko:K03500	suz:MS7_1175
ko:K06941	suz:MS7_1176
ko:K01114	suz:MS7_2035
ko:K04077	suz:MS7_2041
ko:K04078	suz:MS7_2042
ko:K07078	suz:MS7_2045
ko:K07813	suz:MS7_2048
ko:K07707	suz:MS7_2050
ko:K02313	suz:MS7_0001
ko:K02338	suz:MS7_0002
ko:K03629	suz:MS7_0004
ko:K02470	suz:MS7_0005
ko:K02469	suz:MS7_0006
ko:K01745	suz:MS7_0008
ko:K01875	suz:MS7_0009
ko:K00641	suz:MS7_0012
ko:K02939	suz:MS7_0015
ko:K01939	suz:MS7_0017
ko:K00783	suz:MS7_0026
ko:K01126	suz:MS7_0031
ko:K05569	suz:MS7_0903
ko:K05567	suz:MS7_0905
ko:K05566	suz:MS7_0906
ko:K06347	suz:MS7_0908
ko:K00260	suz:MS7_0913
ko:K01126	suz:MS7_0914
ko:K01755	suz:MS7_0915
ko:K01940	suz:MS7_0916
ko:K01810	suz:MS7_0917
ko:K03100	suz:MS7_0919
ko:K03100	suz:MS7_0920
ko:K03695	suz:MS7_0930
ko:K00648	suz:MS7_0938
ko:K09458	suz:MS7_0939
ko:K15581	suz:MS7_0941
ko:K02034	suz:MS7_0951
ko:K01867	suz:MS7_0952
ko:K08602	suz:MS7_0956
ko:K00318	suz:MS7_1770
ko:K00794	suz:MS7_1771
ko:K14652	suz:MS7_1772
ko:K00793	suz:MS7_1773
ko:K11752	suz:MS7_1774
ko:K03893	suz:MS7_1776
ko:K06199	suz:MS7_1785
ko:K06199	suz:MS7_1786
ko:K00789	suz:MS7_1789
ko:K01610	suz:MS7_1790
ko:K08998	suz:MS7_1793
ko:K01911	suz:MS7_1795
ko:K01154	suz:MS7_1807
ko:K00926	suz:MS7_2637
ko:K03758	suz:MS7_2638
ko:K00611	suz:MS7_2639
ko:K01809	suz:MS7_2647
ko:K01421	suz:MS7_2648
ko:K03070	suz:MS7_2654
ko:K03076	suz:MS7_2658
ko:K11936	suz:MS7_2671
ko:K11755	suz:MS7_2677
ko:K02500	suz:MS7_2678
ko:K01814	suz:MS7_2679
ko:K02501	suz:MS7_2680
ko:K01693	suz:MS7_2681
ko:K00817	suz:MS7_2682
ko:K00013	suz:MS7_2683
ko:K00765	suz:MS7_2684
ko:K00375	suz:MS7_0507
ko:K06215	suz:MS7_0508
ko:K08681	suz:MS7_0509
ko:K11535	suz:MS7_0510
ko:K03696	suz:MS7_0514
ko:K04485	suz:MS7_0515
ko:K00640	suz:MS7_0518
ko:K01883	suz:MS7_0519
ko:K11145	suz:MS7_0520
ko:K03218	suz:MS7_0521
ko:K06962	suz:MS7_0522
ko:K03091	suz:MS7_0523
ko:K02913	suz:MS7_0524
ko:K03073	suz:MS7_0525
ko:K02601	suz:MS7_0526
ko:K02867	suz:MS7_0527
ko:K02863	suz:MS7_0528
ko:K02864	suz:MS7_0529
ko:K02935	suz:MS7_0530
ko:K03043	suz:MS7_0532
ko:K03046	suz:MS7_0533
ko:K07590	suz:MS7_0534
ko:K02950	suz:MS7_0535
ko:K02992	suz:MS7_0536
ko:K02355	suz:MS7_0537
ko:K02358	suz:MS7_0538
ko:K05523	suz:MS7_0541
ko:K00826	suz:MS7_0544
ko:K01091	suz:MS7_0545
ko:K15519	suz:MS7_0546
ko:K15518	suz:MS7_0547
ko:K14194	suz:MS7_0551
ko:K14194	suz:MS7_0552
ko:K14194	suz:MS7_0553
ko:K09007	suz:MS7_0556
ko:K07444	suz:MS7_1400
ko:K05366	suz:MS7_1406
ko:K10773	suz:MS7_1408
ko:K01893	suz:MS7_1410
ko:K03524	suz:MS7_1412
ko:K06973	suz:MS7_1416
ko:K00800	suz:MS7_1420
ko:K01735	suz:MS7_1421
ko:K01736	suz:MS7_1422
ko:K00940	suz:MS7_1423
ko:K03183	suz:MS7_1425
ko:K03530	suz:MS7_1427
ko:K00057	suz:MS7_1428
ko:K03977	suz:MS7_1429
ko:K02945	suz:MS7_1430
ko:K00945	suz:MS7_1431
ko:K03654	suz:MS7_1435
ko:K02878	suz:MS7_2263
ko:K02982	suz:MS7_2264
ko:K02890	suz:MS7_2265
ko:K02965	suz:MS7_2266
ko:K02886	suz:MS7_2267
ko:K02892	suz:MS7_2268
ko:K02926	suz:MS7_2269
ko:K02906	suz:MS7_2270
ko:K02946	suz:MS7_2271
ko:K06901	suz:MS7_2273
ko:K03466	suz:MS7_0278
ko:K03311	suz:MS7_0296
ko:K02003	suz:MS7_0299
ko:K03800	suz:MS7_0317
ko:K06949	suz:MS7_1179
ko:K01783	suz:MS7_1180
ko:K02902	suz:MS7_1182
ko:K03655	suz:MS7_1185
ko:K03621	suz:MS7_1187
ko:K00645	suz:MS7_1188
ko:K02078	suz:MS7_1190
ko:K03685	suz:MS7_1191
ko:K03529	suz:MS7_1192
ko:K03110	suz:MS7_1193
ko:K03106	suz:MS7_1195
ko:K02959	suz:MS7_1196
ko:K02860	suz:MS7_1197
ko:K00554	suz:MS7_1198
ko:K02884	suz:MS7_1199
ko:K14540	suz:MS7_1201
ko:K03470	suz:MS7_1202
ko:K01903	suz:MS7_1203
ko:K01902	suz:MS7_1204
ko:K04096	suz:MS7_1207
ko:K03168	suz:MS7_1208
ko:K04094	suz:MS7_1209
ko:K03733	suz:MS7_1210
ko:K01419	suz:MS7_1211
ko:K03667	suz:MS7_1212
ko:K03706	suz:MS7_1213
ko:K02967	suz:MS7_1214
ko:K02357	suz:MS7_1215
ko:K09903	suz:MS7_1216
ko:K02838	suz:MS7_1217
ko:K00806	suz:MS7_1218
ko:K00981	suz:MS7_1219
ko:K11749	suz:MS7_1220
ko:K01881	suz:MS7_1221
ko:K03763	suz:MS7_1222
ko:K09748	suz:MS7_1223
ko:K02600	suz:MS7_1224
ko:K07742	suz:MS7_1225
ko:K02519	suz:MS7_1227
ko:K02834	suz:MS7_1228
ko:K11753	suz:MS7_1230
ko:K02956	suz:MS7_1231
ko:K00962	suz:MS7_1232
ko:K00847	suz:MS7_2051
ko:K01193	suz:MS7_2052
ko:K03484	suz:MS7_2053
ko:K03320	suz:MS7_2054
ko:K07112	suz:MS7_2056
ko:K01926	suz:MS7_2057
ko:K06158	suz:MS7_2058
ko:K03789	suz:MS7_2062
ko:K06925	suz:MS7_2064
ko:K01687	suz:MS7_2065
ko:K01652	suz:MS7_2066
ko:K01653	suz:MS7_2067
ko:K00053	suz:MS7_2068
ko:K01649	suz:MS7_2069
ko:K00052	suz:MS7_2070
ko:K01703	suz:MS7_2071
ko:K01704	suz:MS7_2072
ko:K01754	suz:MS7_2073
ko:K06959	suz:MS7_2080
ko:K01775	suz:MS7_2087
ko:K00997	suz:MS7_2088
ko:K07088	suz:MS7_2278
ko:K03639	suz:MS7_2287
ko:K03752	suz:MS7_2288
ko:K03636	suz:MS7_2289
ko:K03753	suz:MS7_2291
ko:K03750	suz:MS7_2292
ko:K03637	suz:MS7_2293
ko:K03638	suz:MS7_2294
ko:K02018	suz:MS7_2297
ko:K02020	suz:MS7_2298
ko:K02379	suz:MS7_2299
ko:K03523	suz:MS7_2301
ko:K02016	suz:MS7_2303
ko:K08717	suz:MS7_2305
ko:K01430	suz:MS7_2306
ko:K01429	suz:MS7_2307
ko:K01428	suz:MS7_2308
ko:K03187	suz:MS7_2309
ko:K03188	suz:MS7_2310
ko:K03189	suz:MS7_2311
ko:K03190	suz:MS7_2312
ko:K05569	suz:MS7_0678
ko:K05571	suz:MS7_0680
ko:K05946	suz:MS7_0687
ko:K02013	suz:MS7_0697
ko:K02015	suz:MS7_0698
ko:K02015	suz:MS7_0699
ko:K05878	suz:MS7_0700
ko:K05879	suz:MS7_0701
ko:K07220	suz:MS7_0713
ko:K03306	suz:MS7_0714
ko:K06890	suz:MS7_0716
