ko:K00652	eum:ECUMN_3461
ko:K03316	eum:ECUMN_4601
ko:K04016	eum:ECUMN_4610
ko:K12684	eum:ECUMN_3367
ko:K01875	eum:ECUMN_1088
ko:K12687	eum:ECUMN_3400
ko:K12687	eum:ECUMN_4881
ko:K08485	eum:ECUMN_3686
ko:K09979	eum:ECUMN_3634
ko:K01176	eum:ECUMN_4084
ko:K00854	eum:ECUMN_4075
ko:K06183	eum:ECUMN_2520
ko:K12370	eum:ECUMN_4052
ko:K00244	eum:ECUMN_4690
ko:K02508	eum:ECUMN_4967
ko:K00657	eum:ECUMN_1869
ko:K07491	eum:ECUMN_2141
ko:K12056	eum:p1ECUMN_0083
ko:K02752	eum:ECUMN_3037
ko:K02753	eum:ECUMN_3037
ko:K07687	eum:ECUMN_2554
ko:K04753	eum:ECUMN_3500
ko:K04028	eum:ECUMN_2768
ko:K12944	eum:ECUMN_2592
ko:K13301	eum:ECUMN_0097
ko:K03079	eum:ECUMN_4730
ko:K14762	eum:ECUMN_4114
ko:K01424	eum:ECUMN_2056
ko:K13926	eum:ECUMN_3971
ko:K02024	eum:ECUMN_4570
ko:K00799	eum:ECUMN_1926
ko:K11209	eum:ECUMN_3473
ko:K01813	eum:ECUMN_4431
ko:K00823	eum:ECUMN_1608
ko:K07713	eum:ECUMN_4528
ko:K03324	eum:ECUMN_4546
ko:K04025	eum:ECUMN_2759
ko:K05881	eum:ECUMN_1494
ko:K06079	eum:ECUMN_0190
ko:K02773	eum:ECUMN_4901
ko:K11929	eum:ECUMN_0307
ko:K01093	eum:ECUMN_1170
ko:K07659	eum:ECUMN_3864
ko:K03755	eum:ECUMN_4648
ko:K06157	eum:ECUMN_4797
ko:K04065	eum:ECUMN_4999
ko:K01187	eum:ECUMN_1005
ko:K01580	eum:ECUMN_1747
ko:K11930	eum:ECUMN_1176
ko:K11745	eum:ECUMN_0049
ko:K11752	eum:ECUMN_0452
ko:K11753	eum:ECUMN_0025
ko:K11735	eum:ECUMN_2987
ko:K09017	eum:ECUMN_1196
ko:K11072	eum:ECUMN_1369
ko:K04018	eum:ECUMN_4612
ko:K04750	eum:ECUMN_4638
ko:K03759	eum:ECUMN_4647
ko:K01580	eum:ECUMN_4018
ko:K09020	eum:ECUMN_1194
ko:K07311	eum:ECUMN_1874
ko:K00573	eum:ECUMN_3067
ko:K03787	eum:ECUMN_3068
ko:K06176	eum:ECUMN_3069
ko:K01770	eum:ECUMN_3070
ko:K00991	eum:ECUMN_3071
ko:K05589	eum:ECUMN_3072
ko:K00860	eum:ECUMN_3074
ko:K00957	eum:ECUMN_3076
ko:K00390	eum:ECUMN_3090
ko:K07722	eum:ECUMN_3962
ko:K02773	eum:ECUMN_3964
ko:K02774	eum:ECUMN_3965
ko:K02775	eum:ECUMN_3966
ko:K08309	eum:ECUMN_5023
ko:K03720	eum:ECUMN_5024
ko:K05804	eum:ECUMN_5027
ko:K05805	eum:ECUMN_5028
ko:K07663	eum:ECUMN_5029
ko:K07641	eum:ECUMN_5030
ko:K06143	eum:ECUMN_5031
ko:K07773	eum:ECUMN_5032
ko:K02533	eum:ECUMN_5033
ko:K07664	eum:ECUMN_2417
ko:K08303	eum:ECUMN_2419
ko:K04653	eum:ECUMN_3474
ko:K04651	eum:ECUMN_3475
ko:K06281	eum:ECUMN_3478
ko:K06282	eum:ECUMN_3481
ko:K03576	eum:ECUMN_4354
ko:K00549	eum:ECUMN_4355
ko:K00757	eum:ECUMN_4357
ko:K09760	eum:ECUMN_4358
ko:K03183	eum:ECUMN_4359
ko:K03690	eum:ECUMN_4360
ko:K03688	eum:ECUMN_4361
ko:K03116	eum:ECUMN_4362
ko:K03117	eum:ECUMN_4363
ko:K03118	eum:ECUMN_4364
ko:K03424	eum:ECUMN_4365
ko:K05785	eum:ECUMN_4366
ko:K03182	eum:ECUMN_4367
ko:K03498	eum:ECUMN_4373
ko:K00230	eum:ECUMN_4374
ko:K03753	eum:ECUMN_4380
ko:K03752	eum:ECUMN_4381
ko:K09896	eum:ECUMN_4382
ko:K03673	eum:ECUMN_4384
ko:K02335	eum:ECUMN_4387
ko:K02399	eum:ECUMN_0267
ko:K02398	eum:ECUMN_0268
ko:K02386	eum:ECUMN_0269
ko:K02387	eum:ECUMN_0270
ko:K02388	eum:ECUMN_0271
ko:K02389	eum:ECUMN_0272
ko:K02390	eum:ECUMN_0273
ko:K02391	eum:ECUMN_0274
ko:K02392	eum:ECUMN_0275
ko:K02393	eum:ECUMN_0276
ko:K02394	eum:ECUMN_0277
ko:K02396	eum:ECUMN_0279
ko:K02397	eum:ECUMN_0280
ko:K02406	eum:ECUMN_0285
ko:K02407	eum:ECUMN_0286
ko:K02422	eum:ECUMN_0287
ko:K02415	eum:ECUMN_0290
ko:K02405	eum:ECUMN_0291
ko:K02556	eum:ECUMN_0292
ko:K02557	eum:ECUMN_0293
ko:K02346	eum:ECUMN_0294
ko:K03830	eum:ECUMN_0298
ko:K02839	eum:ECUMN_0300
ko:K05997	eum:ECUMN_1973
ko:K03785	eum:ECUMN_1982
ko:K00313	eum:ECUMN_1989
ko:K01007	eum:ECUMN_1992
ko:K02003	eum:ECUMN_0542
ko:K06917	eum:ECUMN_0544
ko:K01483	eum:ECUMN_0546
ko:K01608	eum:ECUMN_0548
ko:K01816	eum:ECUMN_0549
ko:K00865	eum:ECUMN_0554
ko:K02381	eum:ECUMN_0558
ko:K00926	eum:ECUMN_0561
ko:K01589	eum:ECUMN_0562
ko:K01588	eum:ECUMN_0563
ko:K03269	eum:ECUMN_0564
ko:K01883	eum:ECUMN_0566
ko:K01652	eum:ECUMN_0078
ko:K01653	eum:ECUMN_0079
ko:K03435	eum:ECUMN_0080
ko:K03925	eum:ECUMN_0081
ko:K03438	eum:ECUMN_0082
ko:K03586	eum:ECUMN_0083
ko:K03587	eum:ECUMN_0084
ko:K01928	eum:ECUMN_0085
ko:K01929	eum:ECUMN_0086
ko:K01000	eum:ECUMN_0087
ko:K01925	eum:ECUMN_0088
ko:K03588	eum:ECUMN_0089
ko:K12297	eum:ECUMN_1137
ko:K12290	eum:ECUMN_3851
ko:K12288	eum:ECUMN_3853
ko:K02563	eum:ECUMN_0090
ko:K01924	eum:ECUMN_0091
ko:K01921	eum:ECUMN_0092
ko:K03589	eum:ECUMN_0093
ko:K03590	eum:ECUMN_0094
ko:K03531	eum:ECUMN_0095
ko:K02535	eum:ECUMN_0096
ko:K03070	eum:ECUMN_0098
ko:K00859	eum:ECUMN_0101
ko:K00364	eum:ECUMN_0102
ko:K02682	eum:ECUMN_0105
ko:K01676	eum:ECUMN_0810
ko:K00425	eum:ECUMN_0821
ko:K00426	eum:ECUMN_0822
ko:K07107	eum:ECUMN_0824
ko:K03562	eum:ECUMN_0825
ko:K03560	eum:ECUMN_0826
ko:K03646	eum:ECUMN_0827
ko:K03641	eum:ECUMN_0828
ko:K03640	eum:ECUMN_0829
ko:K01775	eum:ECUMN_4587
ko:K03788	eum:ECUMN_4591
ko:K03701	eum:ECUMN_4594
ko:K03111	eum:ECUMN_4595
ko:K06901	eum:ECUMN_4600
ko:K01895	eum:ECUMN_4605
ko:K03385	eum:ECUMN_4606
ko:K04013	eum:ECUMN_4607
ko:K11102	eum:ECUMN_4613
ko:K01808	eum:ECUMN_4621
ko:K06167	eum:ECUMN_4624
ko:K01892	eum:ECUMN_2834
ko:K06941	eum:ECUMN_2837
ko:K00940	eum:ECUMN_2838
ko:K05367	eum:ECUMN_2839
ko:K06894	eum:ECUMN_2840
ko:K01993	eum:ECUMN_3972
ko:K07007	eum:ECUMN_3977
ko:K06144	eum:ECUMN_3979
ko:K06149	eum:ECUMN_3980
ko:K03305	eum:ECUMN_3981
ko:K01414	eum:ECUMN_3983
ko:K07115	eum:ECUMN_3984
ko:K00383	eum:ECUMN_3985
ko:K01551	eum:ECUMN_3991
ko:K03893	eum:ECUMN_3992
ko:K07089	eum:ECUMN_3995
ko:K07285	eum:ECUMN_3997
ko:K07225	eum:ECUMN_3999
ko:K02016	eum:ECUMN_4002
ko:K07227	eum:ECUMN_4004
ko:K02015	eum:ECUMN_4006
ko:K02013	eum:ECUMN_4007
ko:K07507	eum:ECUMN_4008
ko:K00428	eum:ECUMN_4019
ko:K01194	eum:ECUMN_4020
ko:K02013	eum:ECUMN_4855
ko:K05846	eum:ECUMN_2462
ko:K05846	eum:ECUMN_2464
ko:K03777	eum:ECUMN_2467
ko:K07262	eum:ECUMN_2468
ko:K02775	eum:ECUMN_2424
ko:K02774	eum:ECUMN_2425
ko:K02773	eum:ECUMN_2426
ko:K08302	eum:ECUMN_2428
ko:K00878	eum:ECUMN_2436
ko:K03593	eum:ECUMN_2445
ko:K01874	eum:ECUMN_2446
ko:K03978	eum:ECUMN_4388
ko:K09894	eum:ECUMN_4389
ko:K07712	eum:ECUMN_4391
ko:K07708	eum:ECUMN_4392
ko:K01915	eum:ECUMN_4393
ko:K06207	eum:ECUMN_4395
ko:K00331	eum:ECUMN_2626
ko:K00330	eum:ECUMN_2627
ko:K08722	eum:ECUMN_2630
ko:K09161	eum:ECUMN_2633
ko:K09899	eum:ECUMN_2634
ko:K00925	eum:ECUMN_2635
ko:K07095	eum:ECUMN_2639
ko:K07589	eum:ECUMN_2643
ko:K07071	eum:ECUMN_2644
ko:K10017	eum:ECUMN_2646
ko:K10015	eum:ECUMN_2647
ko:K10016	eum:ECUMN_2648
ko:K10014	eum:ECUMN_2649
ko:K03186	eum:ECUMN_2651
ko:K00764	eum:ECUMN_2652
ko:K03558	eum:ECUMN_2653
ko:K03749	eum:ECUMN_2654
ko:K01963	eum:ECUMN_2656
ko:K03975	eum:ECUMN_2657
ko:K00769	eum:ECUMN_0304
ko:K00931	eum:ECUMN_0308
ko:K00147	eum:ECUMN_0309
ko:K07402	eum:ECUMN_0314
ko:K08996	eum:ECUMN_0321
ko:K03694	eum:ECUMN_1077
ko:K02518	eum:ECUMN_1079
ko:K00684	eum:ECUMN_1080
ko:K00384	eum:ECUMN_1083
ko:K03466	eum:ECUMN_1085
ko:K03634	eum:ECUMN_1086
ko:K07478	eum:ECUMN_1087
ko:K11732	eum:ECUMN_0666
ko:K11739	eum:ECUMN_0641
ko:K00748	eum:ECUMN_0179
ko:K06146	eum:ECUMN_4796
ko:K07724	eum:ECUMN_3668
ko:K07309	eum:ECUMN_1872
ko:K04021	eum:ECUMN_2767
ko:K11749	eum:ECUMN_0173
ko:K12410	eum:ECUMN_1298
ko:K07675	eum:ECUMN_4197
ko:K08092	eum:ECUMN_4088
ko:K01061	eum:ECUMN_3484
ko:K00932	eum:ECUMN_3599
ko:K01130	eum:ECUMN_4324
ko:K01061	eum:ECUMN_4356
ko:K03292	eum:ECUMN_4403
ko:K00124	eum:ECUMN_4423
ko:K05711	eum:ECUMN_2861
ko:K11208	eum:ECUMN_1703
ko:K02598	eum:ECUMN_3830
ko:K00228	eum:ECUMN_2757
ko:K11736	eum:ECUMN_0439
ko:K11737	eum:ECUMN_4743
ko:K00885	eum:ECUMN_3696
ko:K05877	eum:ECUMN_2182
ko:K06889	eum:ECUMN_2854
ko:K01491	eum:ECUMN_0569
ko:K02790	eum:ECUMN_1911
ko:K02791	eum:ECUMN_1911
ko:K08094	eum:ECUMN_2964
ko:K06889	eum:ECUMN_1623
ko:K06889	eum:ECUMN_0312
ko:K06889	eum:ECUMN_0332
ko:K12372	eum:ECUMN_4050
ko:K04020	eum:ECUMN_2770
ko:K07263	eum:ECUMN_1748
ko:K00564	eum:ECUMN_4994
ko:K13053	eum:ECUMN_1148
ko:K03774	eum:ECUMN_0029
ko:K03527	eum:ECUMN_0030
ko:K01956	eum:ECUMN_0033
ko:K01955	eum:ECUMN_0034
ko:K02065	eum:ECUMN_3675
ko:K07301	eum:ECUMN_3676
ko:K06041	eum:ECUMN_3677
ko:K03270	eum:ECUMN_3678
ko:K09774	eum:ECUMN_3680
ko:K06861	eum:ECUMN_3681
ko:K03092	eum:ECUMN_3682
ko:K05808	eum:ECUMN_3683
ko:K02806	eum:ECUMN_3684
ko:K06958	eum:ECUMN_3685
ko:K03814	eum:ECUMN_3688
ko:K07648	eum:ECUMN_3690
ko:K07139	eum:ECUMN_3691
ko:K00265	eum:ECUMN_3692
ko:K00266	eum:ECUMN_3693
ko:K03150	eum:ECUMN_4513
ko:K03149	eum:ECUMN_4514
ko:K03154	eum:ECUMN_4515
ko:K00788	eum:ECUMN_4517
ko:K03147	eum:ECUMN_4518
ko:K07740	eum:ECUMN_4519
ko:K03426	eum:ECUMN_4520
ko:K01599	eum:ECUMN_4521
ko:K05982	eum:ECUMN_4522
ko:K09891	eum:ECUMN_4523
ko:K05787	eum:ECUMN_4524
ko:K07803	eum:ECUMN_4526
ko:K07709	eum:ECUMN_4527
ko:K01945	eum:ECUMN_4529
ko:K03827	eum:ECUMN_4538
ko:K00651	eum:ECUMN_4539
ko:K01638	eum:ECUMN_4540
ko:K01637	eum:ECUMN_4541
ko:K01919	eum:ECUMN_3013
ko:K03563	eum:ECUMN_3017
ko:K01872	eum:ECUMN_3018
ko:K03098	eum:ECUMN_4685
ko:K00246	eum:ECUMN_4688
ko:K00245	eum:ECUMN_4689
ko:K04568	eum:ECUMN_4691
ko:K01613	eum:ECUMN_4694
ko:K06949	eum:ECUMN_4695
ko:K06925	eum:ECUMN_4701
ko:K01448	eum:ECUMN_4702
ko:K03572	eum:ECUMN_4703
ko:K00791	eum:ECUMN_4704
ko:K03666	eum:ECUMN_4705
ko:K03665	eum:ECUMN_4706
ko:K04088	eum:ECUMN_4707
ko:K04087	eum:ECUMN_4708
ko:K09937	eum:ECUMN_4709
ko:K05984	eum:ECUMN_2030
ko:K02455	eum:ECUMN_3442
ko:K01939	eum:ECUMN_4710
ko:K03218	eum:ECUMN_4713
ko:K09980	eum:ECUMN_4714
ko:K08989	eum:ECUMN_4717
ko:K09456	eum:ECUMN_4720
ko:K03477	eum:ECUMN_4724
ko:K01241	eum:ECUMN_2320
ko:K00768	eum:ECUMN_2327
ko:K02233	eum:ECUMN_2328
ko:K02231	eum:ECUMN_2329
ko:K04031	eum:ECUMN_2351
ko:K06901	eum:ECUMN_4245
ko:K02039	eum:ECUMN_4250
ko:K02036	eum:ECUMN_4251
ko:K02038	eum:ECUMN_4252
ko:K02037	eum:ECUMN_4253
ko:K02040	eum:ECUMN_4254
ko:K07345	eum:ECUMN_4258
ko:K00820	eum:ECUMN_4259
ko:K04042	eum:ECUMN_4260
ko:K02114	eum:ECUMN_4261
ko:K02112	eum:ECUMN_4262
ko:K02115	eum:ECUMN_4263
ko:K02111	eum:ECUMN_4264
ko:K02113	eum:ECUMN_4265
ko:K02109	eum:ECUMN_4266
ko:K02110	eum:ECUMN_4267
ko:K02108	eum:ECUMN_4268
ko:K03501	eum:ECUMN_4270
ko:K03495	eum:ECUMN_4271
ko:K06223	eum:ECUMN_0969
ko:K09794	eum:ECUMN_1674
ko:K09019	eum:ECUMN_1191
ko:K09023	eum:ECUMN_1192
ko:K09021	eum:ECUMN_1193
ko:K09018	eum:ECUMN_1195
ko:K07243	eum:ECUMN_1201
ko:K07224	eum:ECUMN_1202
ko:K06217	eum:ECUMN_1205
ko:K04477	eum:ECUMN_1208
ko:K06214	eum:ECUMN_1211
ko:K04338	eum:ECUMN_1212
ko:K04337	eum:ECUMN_1213
ko:K03670	eum:ECUMN_1224
ko:K03669	eum:ECUMN_1225
ko:K02517	eum:ECUMN_1229
ko:K07146	eum:ECUMN_1230
ko:K03608	eum:ECUMN_1463
ko:K03609	eum:ECUMN_1464
ko:K03610	eum:ECUMN_1465
ko:K09902	eum:ECUMN_1468
ko:K09160	eum:ECUMN_1470
ko:K03503	eum:ECUMN_1472
ko:K03502	eum:ECUMN_1473
ko:K03611	eum:ECUMN_1474
ko:K03314	eum:ECUMN_1475
ko:K03603	eum:ECUMN_1476
ko:K00285	eum:ECUMN_1478
ko:K01775	eum:ECUMN_1479
ko:K11105	eum:ECUMN_1482
ko:K08308	eum:ECUMN_1484
ko:K02014	eum:ECUMN_1487
ko:K03813	eum:ECUMN_1488
ko:K02013	eum:ECUMN_1490
ko:K02015	eum:ECUMN_1491
ko:K02016	eum:ECUMN_1492
ko:K01194	eum:ECUMN_1493
ko:K05879	eum:ECUMN_1495
ko:K05878	eum:ECUMN_1496
ko:K06942	eum:ECUMN_1500
ko:K01056	eum:ECUMN_1501
ko:K00948	eum:ECUMN_1504
ko:K07351	eum:ECUMN_4922
ko:K04336	eum:ECUMN_1217
ko:K08369	eum:ECUMN_2064
ko:K09916	eum:ECUMN_2066
ko:K07305	eum:ECUMN_2067
ko:K00134	eum:ECUMN_2068
ko:K07180	eum:ECUMN_2072
ko:K09786	eum:ECUMN_2073
ko:K03449	eum:ECUMN_2080
ko:K09712	eum:ECUMN_2082
ko:K11250	eum:ECUMN_2088
ko:K03684	eum:ECUMN_2096
ko:K07285	eum:ECUMN_2098
ko:K09917	eum:ECUMN_2103
ko:K02909	eum:ECUMN_0329
ko:K04764	eum:ECUMN_2003
ko:K01890	eum:ECUMN_2004
ko:K01889	eum:ECUMN_2005
ko:K02887	eum:ECUMN_2006
ko:K02916	eum:ECUMN_2007
ko:K01868	eum:ECUMN_2009
ko:K07283	eum:ECUMN_2011
ko:K03781	eum:ECUMN_2021
ko:K03478	eum:ECUMN_2022
ko:K01222	eum:ECUMN_2023
ko:K02759	eum:ECUMN_2025
ko:K02761	eum:ECUMN_2026
ko:K02760	eum:ECUMN_2027
ko:K04064	eum:ECUMN_2028
ko:K09975	eum:ECUMN_2031
ko:K05526	eum:ECUMN_2033
ko:K01484	eum:ECUMN_2034
ko:K06447	eum:ECUMN_2035
ko:K00673	eum:ECUMN_2036
ko:K00840	eum:ECUMN_2037
ko:K01142	eum:ECUMN_2038
ko:K05777	eum:ECUMN_2043
ko:K05779	eum:ECUMN_2045
ko:K07058	eum:ECUMN_4413
ko:K07560	eum:ECUMN_4414
ko:K03565	eum:ECUMN_3019
ko:K03553	eum:ECUMN_3020
ko:K03743	eum:ECUMN_3021
ko:K02783	eum:ECUMN_3023
ko:K02782	eum:ECUMN_3024
ko:K02783	eum:ECUMN_3024
ko:K02781	eum:ECUMN_3025
ko:K00068	eum:ECUMN_3026
ko:K02466	eum:ECUMN_3027
ko:K02467	eum:ECUMN_3029
ko:K04656	eum:ECUMN_3033
ko:K05796	eum:ECUMN_3034
ko:K01126	eum:ECUMN_3911
ko:K05816	eum:ECUMN_3912
ko:K05595	eum:ECUMN_1797
ko:K05815	eum:ECUMN_3913
ko:K07306	eum:ECUMN_1089
ko:K07308	eum:ECUMN_1091
ko:K08219	eum:ECUMN_1093
ko:K04069	eum:ECUMN_1095
ko:K00656	eum:ECUMN_1096
ko:K09136	eum:ECUMN_1098
ko:K00831	eum:ECUMN_1100
ko:K00800	eum:ECUMN_1101
ko:K07387	eum:ECUMN_1102
ko:K00945	eum:ECUMN_1103
ko:K02945	eum:ECUMN_1104
ko:K05788	eum:ECUMN_1105
ko:K02238	eum:ECUMN_1106
ko:K07688	eum:ECUMN_0575
ko:K03517	eum:ECUMN_0834
ko:K03811	eum:ECUMN_0835
ko:K01626	eum:ECUMN_0838
ko:K01834	eum:ECUMN_0839
ko:K01785	eum:ECUMN_0840
ko:K00849	eum:ECUMN_0841
ko:K05776	eum:ECUMN_0844
ko:K02019	eum:ECUMN_0846
ko:K02020	eum:ECUMN_0848
ko:K02018	eum:ECUMN_0849
ko:K03319	eum:ECUMN_0855
ko:K01681	eum:ECUMN_0856
ko:K06952	eum:ECUMN_0861
ko:K06918	eum:ECUMN_1616
ko:K08990	eum:ECUMN_1617
ko:K03721	eum:ECUMN_1618
ko:K11065	eum:ECUMN_1619
ko:K07751	eum:ECUMN_2843
ko:K04044	eum:ECUMN_2846
ko:K04082	eum:ECUMN_2847
ko:K04488	eum:ECUMN_2849
ko:K05820	eum:ECUMN_2856
ko:K05708	eum:ECUMN_2858
ko:K02380	eum:ECUMN_4421
ko:K00127	eum:ECUMN_4422
ko:K00123	eum:ECUMN_4424
ko:K02379	eum:ECUMN_4426
ko:K03534	eum:ECUMN_4429
ko:K01629	eum:ECUMN_4430
ko:K00848	eum:ECUMN_4432
ko:K02855	eum:ECUMN_4434
ko:K02854	eum:ECUMN_4435
ko:K02856	eum:ECUMN_4436
ko:K04564	eum:ECUMN_4437
ko:K02526	eum:ECUMN_4438
ko:K07640	eum:ECUMN_4440
ko:K07662	eum:ECUMN_4441
ko:K00850	eum:ECUMN_4444
ko:K02048	eum:ECUMN_4445
ko:K01521	eum:ECUMN_4446
ko:K01803	eum:ECUMN_4447
ko:K00528	eum:ECUMN_4452
ko:K02446	eum:ECUMN_4453
ko:K00864	eum:ECUMN_4454
ko:K02440	eum:ECUMN_4455
ko:K09892	eum:ECUMN_4456
ko:K02553	eum:ECUMN_4459
ko:K02548	eum:ECUMN_4460
ko:K03667	eum:ECUMN_4461
ko:K00135	eum:ECUMN_2985
ko:K07237	eum:ECUMN_3803
ko:K07236	eum:ECUMN_3804
ko:K07235	eum:ECUMN_3805
ko:K03745	eum:ECUMN_3808
ko:K03775	eum:ECUMN_3809
ko:K07070	eum:ECUMN_3810
ko:K06158	eum:ECUMN_3814
ko:K07019	eum:ECUMN_3815
ko:K09898	eum:ECUMN_3816
ko:K00855	eum:ECUMN_3817
ko:K10914	eum:ECUMN_3820
ko:K04095	eum:ECUMN_3824
ko:K06141	eum:ECUMN_3827
ko:K00362	eum:ECUMN_3828
ko:K00363	eum:ECUMN_3829
ko:K07048	eum:ECUMN_3836
ko:K01867	eum:ECUMN_3842
ko:K01091	eum:ECUMN_3843
ko:K01783	eum:ECUMN_3844
ko:K06223	eum:ECUMN_3845
ko:K03112	eum:ECUMN_3846
ko:K01735	eum:ECUMN_3847
ko:K00891	eum:ECUMN_3848
ko:K02507	eum:ECUMN_3849
ko:K03704	eum:ECUMN_4068
ko:K01879	eum:ECUMN_4069
ko:K01878	eum:ECUMN_4070
ko:K06971	eum:ECUMN_4902
ko:K02775	eum:ECUMN_4903
