ko:K02030	rsl:RPSI07_mp0136
ko:K13953	rsl:RPSI07_1540
ko:K03719	rsl:RPSI07_2457
ko:K03297	rsl:RPSI07_mp1590
ko:K14232	rsl:RPSI07_tRNA52
ko:K14229	rsl:RPSI07_tRNA25
ko:K04099	rsl:RPSI07_mp1412
ko:K01266	rsl:RPSI07_1984
ko:K13628	rsl:RPSI07_2374
ko:K06893	rsl:RPSI07_2290
ko:K07213	rsl:RPSI07_0095
ko:K00141	rsl:RPSI07_mp0182
ko:K04517	rsl:RPSI07_2478
ko:K06147	rsl:RPSI07_1869
ko:K01179	rsl:RPSI07_mp0109
ko:K01983	rsl:RPSI07_miscRNA_28
ko:K03569	rsl:RPSI07_3318
ko:K14221	rsl:RPSI07_tRNA21
ko:K14221	rsl:RPSI07_tRNA39
ko:K14221	rsl:RPSI07_tRNA42
ko:K14229	rsl:RPSI07_tRNA32
ko:K14393	rsl:RPSI07_1479
ko:K14233	rsl:RPSI07_tRNA36
ko:K04091	rsl:RPSI07_2028
ko:K14225	rsl:RPSI07_tRNA5
ko:K14219	rsl:RPSI07_tRNA47
ko:K14228	rsl:RPSI07_tRNA13
ko:K14162	rsl:RPSI07_mp0735
ko:K00799	rsl:RPSI07_0790
ko:K01759	rsl:RPSI07_2844
ko:K06867	rsl:RPSI07_2561
ko:K02396	rsl:RPSI07_mp0325
ko:K02397	rsl:RPSI07_mp0326
ko:K02421	rsl:RPSI07_mp0329
ko:K02420	rsl:RPSI07_mp0330
ko:K02419	rsl:RPSI07_mp0331
ko:K02418	rsl:RPSI07_mp0332
ko:K02417	rsl:RPSI07_mp0333
ko:K02416	rsl:RPSI07_mp0334
ko:K02415	rsl:RPSI07_mp0335
ko:K00641	rsl:RPSI07_3352
ko:K06200	rsl:RPSI07_3357
ko:K03650	rsl:RPSI07_3381
ko:K03217	rsl:RPSI07_3382
ko:K08998	rsl:RPSI07_3383
ko:K03536	rsl:RPSI07_3384
ko:K02914	rsl:RPSI07_3385
ko:K03704	rsl:RPSI07_mp0003
ko:K00963	rsl:RPSI07_mp0007
ko:K10125	rsl:RPSI07_mp0009
ko:K10126	rsl:RPSI07_mp0010
ko:K01999	rsl:RPSI07_mp0014
ko:K01997	rsl:RPSI07_mp0015
ko:K01998	rsl:RPSI07_mp0016
ko:K01995	rsl:RPSI07_mp0017
ko:K01996	rsl:RPSI07_mp0018
ko:K09945	rsl:RPSI07_mp0047
ko:K01075	rsl:RPSI07_mp0054
ko:K03710	rsl:RPSI07_mp0063
ko:K00705	rsl:RPSI07_mp0198
ko:K01236	rsl:RPSI07_mp0199
ko:K05343	rsl:RPSI07_mp0202
ko:K00703	rsl:RPSI07_mp0204
ko:K02013	rsl:RPSI07_mp0205
ko:K02015	rsl:RPSI07_mp0206
ko:K02016	rsl:RPSI07_mp0207
ko:K07225	rsl:RPSI07_mp0208
ko:K03387	rsl:RPSI07_mp0212
ko:K04759	rsl:RPSI07_mp0217
ko:K04758	rsl:RPSI07_mp0218
ko:K03327	rsl:RPSI07_mp0270
ko:K11931	rsl:RPSI07_mp0274
ko:K11936	rsl:RPSI07_mp0275
ko:K11003	rsl:RPSI07_mp0279
ko:K11004	rsl:RPSI07_mp0280
ko:K03823	rsl:RPSI07_mp0353
ko:K08223	rsl:RPSI07_mp0372
ko:K03088	rsl:RPSI07_mp0376
ko:K02406	rsl:RPSI07_mp0338
ko:K02407	rsl:RPSI07_mp0339
ko:K02422	rsl:RPSI07_mp0340
ko:K03322	rsl:RPSI07_mp0450
ko:K04045	rsl:RPSI07_mp0451
ko:K07118	rsl:RPSI07_mp0455
ko:K04751	rsl:RPSI07_mp0462
ko:K01256	rsl:RPSI07_mp0463
ko:K15977	rsl:RPSI07_mp0544
ko:K09019	rsl:RPSI07_mp0546
ko:K01118	rsl:RPSI07_mp0548
ko:K00384	rsl:RPSI07_mp0554
ko:K03284	rsl:RPSI07_mp0563
ko:K01246	rsl:RPSI07_mp0564
ko:K03449	rsl:RPSI07_mp0565
ko:K00549	rsl:RPSI07_mp0577
ko:K00812	rsl:RPSI07_mp0635
ko:K02160	rsl:RPSI07_mp0637
ko:K01961	rsl:RPSI07_mp0638
ko:K07160	rsl:RPSI07_mp0642
ko:K11892	rsl:RPSI07_mp0652
ko:K11893	rsl:RPSI07_mp0653
ko:K11906	rsl:RPSI07_mp0654
ko:K11901	rsl:RPSI07_mp0656
ko:K11900	rsl:RPSI07_mp0657
ko:K11903	rsl:RPSI07_mp0658
ko:K11897	rsl:RPSI07_mp0659
ko:K02423	rsl:RPSI07_mp0341
ko:K02408	rsl:RPSI07_mp0345
ko:K02409	rsl:RPSI07_mp0346
ko:K02410	rsl:RPSI07_mp0347
ko:K02411	rsl:RPSI07_mp0348
ko:K02412	rsl:RPSI07_mp0349
ko:K02413	rsl:RPSI07_mp0350
ko:K02503	rsl:RPSI07_mp0431
ko:K11740	rsl:RPSI07_mp0437
ko:K07241	rsl:RPSI07_mp0512
ko:K02029	rsl:RPSI07_mp0514
ko:K02029	rsl:RPSI07_mp0515
ko:K02841	rsl:RPSI07_mp0517
ko:K00140	rsl:RPSI07_mp0527
ko:K01895	rsl:RPSI07_mp0528
ko:K07644	rsl:RPSI07_mp0531
ko:K07233	rsl:RPSI07_mp0534
ko:K07156	rsl:RPSI07_mp0535
ko:K06989	rsl:RPSI07_mp0621
ko:K00697	rsl:RPSI07_mp0625
ko:K00325	rsl:RPSI07_mp0627
ko:K00324	rsl:RPSI07_mp0628
ko:K00324	rsl:RPSI07_mp0629
ko:K00098	rsl:RPSI07_mp0630
ko:K00860	rsl:RPSI07_mp0114
ko:K06044	rsl:RPSI07_mp0197
ko:K11896	rsl:RPSI07_mp0660
ko:K11895	rsl:RPSI07_mp0661
ko:K11907	rsl:RPSI07_mp0662
ko:K09768	rsl:RPSI07_mp1470
ko:K01725	rsl:RPSI07_mp1737
ko:K07267	rsl:RPSI07_mp1738
ko:K05819	rsl:RPSI07_mp1695
ko:K00285	rsl:RPSI07_mp1706
ko:K07246	rsl:RPSI07_mp1717
ko:K01685	rsl:RPSI07_mp1720
ko:K06145	rsl:RPSI07_mp1721
ko:K07687	rsl:RPSI07_mp1727
ko:K07677	rsl:RPSI07_mp1728
ko:K01915	rsl:RPSI07_mp0835
ko:K01869	rsl:RPSI07_mp0847
ko:K03119	rsl:RPSI07_mp0851
ko:K07798	rsl:RPSI07_mp0859
ko:K07787	rsl:RPSI07_mp0860
ko:K05596	rsl:RPSI07_mp0867
ko:K10543	rsl:RPSI07_mp1739
ko:K10545	rsl:RPSI07_mp1740
ko:K02529	rsl:RPSI07_mp1743
ko:K01821	rsl:RPSI07_mp1753
ko:K11444	rsl:RPSI07_mp1755
ko:K03412	rsl:RPSI07_mp1756
ko:K13489	rsl:RPSI07_mp1758
ko:K13486	rsl:RPSI07_mp1759
ko:K13488	rsl:RPSI07_mp1760
ko:K13487	rsl:RPSI07_mp1761
ko:K03088	rsl:RPSI07_mp1764
ko:K00612	rsl:RPSI07_mp0872
ko:K10680	rsl:RPSI07_mp0897
ko:K02278	rsl:RPSI07_mp1132
ko:K06895	rsl:RPSI07_mp0868
ko:K12511	rsl:RPSI07_mp1125
ko:K12510	rsl:RPSI07_mp1126
ko:K02283	rsl:RPSI07_mp1127
ko:K02282	rsl:RPSI07_mp1128
ko:K02280	rsl:RPSI07_mp1129
ko:K02279	rsl:RPSI07_mp1130
ko:K03704	rsl:RPSI07_mp1465
ko:K02518	rsl:RPSI07_mp1467
ko:K08355	rsl:RPSI07_mp0919
ko:K02034	rsl:RPSI07_mp0725
ko:K02355	rsl:RPSI07_mp0739
ko:K02114	rsl:RPSI07_mp0746
ko:K00116	rsl:RPSI07_mp0750
ko:K06204	rsl:RPSI07_3332
ko:K01419	rsl:RPSI07_3335
ko:K03667	rsl:RPSI07_3336
ko:K03088	rsl:RPSI07_3345
ko:K00930	rsl:RPSI07_3346
ko:K05501	rsl:RPSI07_3348
ko:K00375	rsl:RPSI07_3349
ko:K00823	rsl:RPSI07_3350
ko:K01681	rsl:RPSI07_mp0134
ko:K01586	rsl:RPSI07_mp0385
ko:K13979	rsl:RPSI07_mp0389
ko:K02029	rsl:RPSI07_mp0413
ko:K03415	rsl:RPSI07_mp0478
ko:K02609	rsl:RPSI07_mp0485
ko:K02610	rsl:RPSI07_mp0486
ko:K02611	rsl:RPSI07_mp0487
ko:K02612	rsl:RPSI07_mp0488
ko:K02613	rsl:RPSI07_mp0489
ko:K04719	rsl:RPSI07_mp0498
ko:K02224	rsl:RPSI07_mp0499
ko:K02234	rsl:RPSI07_mp0501
ko:K02189	rsl:RPSI07_mp0503
ko:K05936	rsl:RPSI07_mp0504
ko:K03394	rsl:RPSI07_mp0505
ko:K02188	rsl:RPSI07_mp0506
ko:K02230	rsl:RPSI07_mp0510
ko:K03576	rsl:RPSI07_mp0578
ko:K00275	rsl:RPSI07_mp0579
ko:K01609	rsl:RPSI07_mp0581
ko:K00766	rsl:RPSI07_mp0582
ko:K06997	rsl:RPSI07_mp0584
ko:K06446	rsl:RPSI07_mp0590
ko:K07734	rsl:RPSI07_mp0592
ko:K01555	rsl:RPSI07_mp0593
ko:K00451	rsl:RPSI07_mp0594
ko:K02839	rsl:RPSI07_mp0597
ko:K01997	rsl:RPSI07_mp0603
ko:K01995	rsl:RPSI07_mp0604
ko:K01998	rsl:RPSI07_mp0604
ko:K01996	rsl:RPSI07_mp0605
ko:K00824	rsl:RPSI07_mp0612
ko:K11902	rsl:RPSI07_mp0679
ko:K11890	rsl:RPSI07_mp0686
ko:K11891	rsl:RPSI07_mp0687
ko:K00459	rsl:RPSI07_mp0291
ko:K01273	rsl:RPSI07_mp0295
ko:K01534	rsl:RPSI07_mp0297
ko:K01649	rsl:RPSI07_mp0300
ko:K07302	rsl:RPSI07_mp0301
ko:K07303	rsl:RPSI07_mp0302
ko:K07141	rsl:RPSI07_mp0304
ko:K04062	rsl:RPSI07_mp0305
ko:K02399	rsl:RPSI07_mp0312
ko:K01091	rsl:RPSI07_mp0419
ko:K07644	rsl:RPSI07_mp0424
ko:K01055	rsl:RPSI07_1172
ko:K07459	rsl:RPSI07_2954
ko:K11189	rsl:RPSI07_3062
ko:K07552	rsl:RPSI07_mp0138
ko:K07090	rsl:RPSI07_mp0142
ko:K01241	rsl:RPSI07_mp0158
ko:K02019	rsl:RPSI07_mp1183
ko:K09984	rsl:RPSI07_mp1189
ko:K07664	rsl:RPSI07_mp1193
ko:K07642	rsl:RPSI07_mp1194
ko:K07302	rsl:RPSI07_mp0937
ko:K07402	rsl:RPSI07_mp0939
ko:K02517	rsl:RPSI07_0324
ko:K03642	rsl:RPSI07_0180
ko:K07056	rsl:RPSI07_0181
ko:K07460	rsl:RPSI07_0182
ko:K07687	rsl:RPSI07_0053
ko:K02073	rsl:RPSI07_0055
ko:K07646	rsl:RPSI07_0056
ko:K01548	rsl:RPSI07_0057
ko:K01547	rsl:RPSI07_0058
ko:K01546	rsl:RPSI07_0059
ko:K00077	rsl:RPSI07_0080
ko:K03530	rsl:RPSI07_0083
ko:K00500	rsl:RPSI07_0089
ko:K07275	rsl:RPSI07_0094
ko:K01999	rsl:RPSI07_0115
ko:K03495	rsl:RPSI07_0116
ko:K03501	rsl:RPSI07_0117
ko:K02108	rsl:RPSI07_0121
ko:K02110	rsl:RPSI07_0122
ko:K02109	rsl:RPSI07_0123
ko:K02113	rsl:RPSI07_0124
ko:K01608	rsl:RPSI07_0165
ko:K11103	rsl:RPSI07_0171
ko:K01477	rsl:RPSI07_0172
ko:K01483	rsl:RPSI07_0173
ko:K09805	rsl:RPSI07_0270
ko:K07007	rsl:RPSI07_0296
ko:K02313	rsl:RPSI07_0001
ko:K02338	rsl:RPSI07_0002
ko:K02470	rsl:RPSI07_0003
ko:K02029	rsl:RPSI07_0032
ko:K05916	rsl:RPSI07_0042
ko:K13771	rsl:RPSI07_0043
ko:K03427	rsl:RPSI07_0044
ko:K01153	rsl:RPSI07_0046
ko:K07649	rsl:RPSI07_0047
ko:K01512	rsl:RPSI07_0070
ko:K07115	rsl:RPSI07_0073
ko:K03608	rsl:RPSI07_0075
ko:K03609	rsl:RPSI07_0076
ko:K03610	rsl:RPSI07_0077
ko:K01995	rsl:RPSI07_0100
ko:K01996	rsl:RPSI07_0101
ko:K01999	rsl:RPSI07_0102
ko:K01997	rsl:RPSI07_0103
ko:K01998	rsl:RPSI07_0104
ko:K07090	rsl:RPSI07_0107
ko:K02463	rsl:RPSI07_0374
ko:K07232	rsl:RPSI07_2560
ko:K00537	rsl:RPSI07_0176
ko:K09954	rsl:RPSI07_0111
ko:K02111	rsl:RPSI07_0125
ko:K02115	rsl:RPSI07_0126
ko:K02112	rsl:RPSI07_0127
ko:K02114	rsl:RPSI07_0128
ko:K06929	rsl:RPSI07_0131
ko:K02040	rsl:RPSI07_0134
ko:K01599	rsl:RPSI07_0140
ko:K04066	rsl:RPSI07_0141
ko:K13821	rsl:RPSI07_0142
ko:K01999	rsl:RPSI07_0143
ko:K06048	rsl:RPSI07_0145
ko:K01752	rsl:RPSI07_0149
ko:K00281	rsl:RPSI07_0150
ko:K02437	rsl:RPSI07_0151
ko:K00605	rsl:RPSI07_0152
ko:K03656	rsl:RPSI07_0155
ko:K14232	rsl:RPSI07_tRNA16
ko:K14220	rsl:RPSI07_tRNA23
ko:K02057	rsl:RPSI07_1251
ko:K04085	rsl:RPSI07_2533
ko:K02010	rsl:RPSI07_0560
ko:K14233	rsl:RPSI07_tRNA11
ko:K14347	rsl:RPSI07_0928
ko:K14287	rsl:RPSI07_1417
ko:K14234	rsl:RPSI07_tRNA6
ko:K09461	rsl:RPSI07_mp0048
ko:K14233	rsl:RPSI07_tRNA50
ko:K14260	rsl:RPSI07_2041
ko:K00428	rsl:RPSI07_mp1205
ko:K09165	rsl:RPSI07_mp1208
ko:K01434	rsl:RPSI07_mp1213
ko:K00874	rsl:RPSI07_mp1214
ko:K01753	rsl:RPSI07_mp1215
ko:K06015	rsl:RPSI07_mp1217
ko:K01625	rsl:RPSI07_mp1220
ko:K09712	rsl:RPSI07_mp1224
ko:K07638	rsl:RPSI07_mp1226
ko:K07659	rsl:RPSI07_mp1227
ko:K07799	rsl:RPSI07_mp1228
ko:K07788	rsl:RPSI07_mp1229
ko:K08303	rsl:RPSI07_mp1520
ko:K03710	rsl:RPSI07_mp1521
ko:K06871	rsl:RPSI07_mp1540
ko:K07303	rsl:RPSI07_mp0938
ko:K01857	rsl:RPSI07_mp0965
ko:K07347	rsl:RPSI07_mp0968
ko:K03701	rsl:RPSI07_mp0979
ko:K07789	rsl:RPSI07_mp1230
ko:K00426	rsl:RPSI07_mp1236
ko:K00425	rsl:RPSI07_mp1237
ko:K06131	rsl:RPSI07_mp1241
ko:K09965	rsl:RPSI07_mp1244
ko:K00372	rsl:RPSI07_mp1245
ko:K00362	rsl:RPSI07_mp1246
ko:K00363	rsl:RPSI07_mp1247
ko:K00362	rsl:RPSI07_mp1248
ko:K02575	rsl:RPSI07_mp1249
ko:K10218	rsl:RPSI07_mp1260
ko:K00812	rsl:RPSI07_mp1261
ko:K03897	rsl:RPSI07_mp1564
ko:K01874	rsl:RPSI07_mp1565
ko:K07124	rsl:RPSI07_mp1584
ko:K01087	rsl:RPSI07_mp1145
ko:K00697	rsl:RPSI07_mp1146
ko:K09122	rsl:RPSI07_mp1150
ko:K07302	rsl:RPSI07_mp1488
ko:K07303	rsl:RPSI07_mp1489
ko:K02275	rsl:RPSI07_mp1766
ko:K00574	rsl:RPSI07_mp1771
ko:K07107	rsl:RPSI07_mp1772
ko:K02078	rsl:RPSI07_mp1773
ko:K02837	rsl:RPSI07_mp1777
ko:K07058	rsl:RPSI07_mp1779
ko:K03092	rsl:RPSI07_mp1786
ko:K10001	rsl:RPSI07_mp1173
ko:K01425	rsl:RPSI07_mp1178
ko:K02018	rsl:RPSI07_mp1180
ko:K07234	rsl:RPSI07_mp1498
ko:K07673	rsl:RPSI07_mp1503
ko:K03753	rsl:RPSI07_mp1504
ko:K00373	rsl:RPSI07_mp1506
ko:K00371	rsl:RPSI07_mp1507
ko:K00370	rsl:RPSI07_mp1508
ko:K02575	rsl:RPSI07_mp1510
ko:K02575	rsl:RPSI07_mp1511
ko:K00612	rsl:RPSI07_mp0713
ko:K00145	rsl:RPSI07_mp0721
ko:K02435	rsl:RPSI07_3319
ko:K02434	rsl:RPSI07_3324
ko:K09921	rsl:RPSI07_3325
ko:K03733	rsl:RPSI07_3326
ko:K06969	rsl:RPSI07_3327
ko:K02398	rsl:RPSI07_mp0313
ko:K02386	rsl:RPSI07_mp0314
ko:K02387	rsl:RPSI07_mp0315
ko:K02388	rsl:RPSI07_mp0316
ko:K02389	rsl:RPSI07_mp0318
ko:K02390	rsl:RPSI07_mp0319
ko:K02391	rsl:RPSI07_mp0320
ko:K02392	rsl:RPSI07_mp0321
ko:K02393	rsl:RPSI07_mp0322
ko:K02394	rsl:RPSI07_mp0323
ko:K02395	rsl:RPSI07_mp0324
ko:K01561	rsl:RPSI07_3158
ko:K03577	rsl:RPSI07_3368
ko:K03585	rsl:RPSI07_3369
ko:K02970	rsl:RPSI07_3372
ko:K03281	rsl:RPSI07_mp0022
ko:K02529	rsl:RPSI07_mp0175
ko:K12508	rsl:RPSI07_mp0180
ko:K14228	rsl:RPSI07_tRNA51
ko:K14232	rsl:RPSI07_tRNA18
ko:K03741	rsl:RPSI07_mp0924
ko:K06992	rsl:RPSI07_2923
ko:K02510	rsl:RPSI07_1681
ko:K00799	rsl:RPSI07_0427
ko:K13993	rsl:RPSI07_1553
ko:K06871	rsl:RPSI07_mp0985
ko:K01754	rsl:RPSI07_mp0986
ko:K11103	rsl:RPSI07_mp0988
ko:K07246	rsl:RPSI07_mp0990
ko:K02472	rsl:RPSI07_mp1010
ko:K00425	rsl:RPSI07_mp1276
ko:K00426	rsl:RPSI07_mp1277
ko:K00077	rsl:RPSI07_mp1278
ko:K13652	rsl:RPSI07_mp1282
ko:K07154	rsl:RPSI07_mp1288
ko:K01118	rsl:RPSI07_mp1292
ko:K00278	rsl:RPSI07_mp1299
ko:K01895	rsl:RPSI07_mp1301
ko:K07090	rsl:RPSI07_mp1304
ko:K09771	rsl:RPSI07_mp1313
ko:K03657	rsl:RPSI07_mp1314
ko:K01091	rsl:RPSI07_mp1604
ko:K08191	rsl:RPSI07_mp0778
ko:K03585	rsl:RPSI07_mp0755
ko:K03543	rsl:RPSI07_mp0760
ko:K06911	rsl:RPSI07_mp0765
ko:K01707	rsl:RPSI07_mp0770
ko:K01706	rsl:RPSI07_mp0773
ko:K01991	rsl:RPSI07_mp1014
ko:K07246	rsl:RPSI07_mp1032
ko:K02034	rsl:RPSI07_mp1034
ko:K12972	rsl:RPSI07_mp1041
ko:K00303	rsl:RPSI07_mp1046
ko:K02655	rsl:RPSI07_mp1319
ko:K02673	rsl:RPSI07_mp1321
ko:K02672	rsl:RPSI07_mp1322
ko:K02671	rsl:RPSI07_mp1323
ko:K08084	rsl:RPSI07_mp1324
ko:K01611	rsl:RPSI07_mp1328
ko:K08989	rsl:RPSI07_mp1332
ko:K01999	rsl:RPSI07_mp1337
ko:K01997	rsl:RPSI07_mp1338
ko:K01998	rsl:RPSI07_mp1339
ko:K03762	rsl:RPSI07_mp1703
ko:K03414	rsl:RPSI07_mp0039
ko:K03413	rsl:RPSI07_mp0040
ko:K06991	rsl:RPSI07_mp0066
ko:K02020	rsl:RPSI07_mp0073
ko:K03924	rsl:RPSI07_mp0076
ko:K01673	rsl:RPSI07_mp0079
ko:K02688	rsl:RPSI07_mp0088
ko:K01304	rsl:RPSI07_mp0225
ko:K03670	rsl:RPSI07_mp0228
ko:K03762	rsl:RPSI07_mp0231
ko:K01738	rsl:RPSI07_mp0255
ko:K01194	rsl:RPSI07_mp0256
ko:K01995	rsl:RPSI07_mp1340
ko:K01996	rsl:RPSI07_mp1341
ko:K00797	rsl:RPSI07_mp1342
ko:K01061	rsl:RPSI07_mp1344
ko:K08987	rsl:RPSI07_mp1345
ko:K00860	rsl:RPSI07_mp1348
ko:K01057	rsl:RPSI07_mp1662
ko:K00036	rsl:RPSI07_mp1663
ko:K01690	rsl:RPSI07_mp1664
ko:K03088	rsl:RPSI07_mp0795
ko:K03220	rsl:RPSI07_mp0803
ko:K03226	rsl:RPSI07_mp0806
ko:K03225	rsl:RPSI07_mp0807
ko:K03230	rsl:RPSI07_mp0810
ko:K03229	rsl:RPSI07_mp0811
ko:K06995	rsl:RPSI07_mp1052
ko:K09930	rsl:RPSI07_mp1066
ko:K15977	rsl:RPSI07_mp1068
ko:K07798	rsl:RPSI07_mp1076
ko:K06193	rsl:RPSI07_mp1360
ko:K00925	rsl:RPSI07_mp1366
ko:K00208	rsl:RPSI07_mp1367
ko:K03319	rsl:RPSI07_mp1369
ko:K02221	rsl:RPSI07_mp1373
ko:K04062	rsl:RPSI07_mp1374
ko:K02405	rsl:RPSI07_mp1378
ko:K04562	rsl:RPSI07_mp1379
ko:K02404	rsl:RPSI07_mp1380
ko:K02400	rsl:RPSI07_mp1381
ko:K02401	rsl:RPSI07_mp1382
ko:K03786	rsl:RPSI07_mp1385
ko:K00014	rsl:RPSI07_mp1386
ko:K00457	rsl:RPSI07_mp1388
ko:K03414	rsl:RPSI07_mp1389
ko:K03413	rsl:RPSI07_mp1390
ko:K03412	rsl:RPSI07_mp1391
ko:K03411	rsl:RPSI07_mp1392
ko:K02275	rsl:RPSI07_mp1668
ko:K02276	rsl:RPSI07_mp1670
ko:K02276	rsl:RPSI07_mp1671
ko:K02029	rsl:RPSI07_mp1680
ko:K03781	rsl:RPSI07_mp1685
ko:K01740	rsl:RPSI07_mp1688
ko:K01999	rsl:RPSI07_mp1692
ko:K03222	rsl:RPSI07_mp0814
ko:K03223	rsl:RPSI07_mp0816
ko:K03224	rsl:RPSI07_mp0817
ko:K03228	rsl:RPSI07_mp0819
ko:K03219	rsl:RPSI07_mp0821
ko:K03466	rsl:RPSI07_mp0832
ko:K02379	rsl:RPSI07_mp1083
ko:K03549	rsl:RPSI07_mp1085
ko:K03704	rsl:RPSI07_mp1086
ko:K00140	rsl:RPSI07_mp1088
ko:K00822	rsl:RPSI07_mp1089
ko:K00019	rsl:RPSI07_mp1092
ko:K07001	rsl:RPSI07_mp1093
ko:K00847	rsl:RPSI07_mp1096
ko:K03408	rsl:RPSI07_mp1396
ko:K03407	rsl:RPSI07_mp1397
ko:K03413	rsl:RPSI07_mp1398
ko:K02557	rsl:RPSI07_mp1399
ko:K02556	rsl:RPSI07_mp1400
ko:K02402	rsl:RPSI07_mp1402
ko:K02403	rsl:RPSI07_mp1403
ko:K08195	rsl:RPSI07_mp1413
ko:K02024	rsl:RPSI07_mp1100
ko:K01193	rsl:RPSI07_mp1101
ko:K03484	rsl:RPSI07_mp1103
ko:K10220	rsl:RPSI07_mp1416
ko:K00574	rsl:RPSI07_mp1423
ko:K00873	rsl:RPSI07_mp1425
ko:K02003	rsl:RPSI07_mp1433
ko:K02053	rsl:RPSI07_1775
ko:K02057	rsl:RPSI07_1250
ko:K02055	rsl:RPSI07_1830
ko:K03566	rsl:RPSI07_3085
ko:K14219	rsl:RPSI07_tRNA53
ko:K14218	rsl:RPSI07_tRNA37
ko:K14218	rsl:RPSI07_tRNA40
ko:K03417	rsl:RPSI07_1429
ko:K00020	rsl:RPSI07_mp0526
ko:K00459	rsl:RPSI07_mp0288
ko:K00529	rsl:RPSI07_2133
ko:K01978	rsl:RPSI07_miscRNA_8
ko:K00344	rsl:RPSI07_2174
ko:K01259	rsl:RPSI07_mp0147
ko:K01977	rsl:RPSI07_16s_rRNA_2
ko:K01977	rsl:RPSI07_16s_rRNA_3
ko:K01977	rsl:RPSI07_16s_rRNA_1
ko:K05540	rsl:RPSI07_2858
ko:K03823	rsl:RPSI07_0352
ko:K03778	rsl:RPSI07_0354
ko:K02614	rsl:RPSI07_0630
ko:K03735	rsl:RPSI07_0360
ko:K03736	rsl:RPSI07_0361
ko:K01141	rsl:RPSI07_0362
ko:K04090	rsl:RPSI07_0366
ko:K00375	rsl:RPSI07_0369
ko:K02455	rsl:RPSI07_0370
ko:K02453	rsl:RPSI07_0373
ko:K14161	rsl:RPSI07_mp0734
ko:K14237	rsl:RPSI07_tRNA15
ko:K14219	rsl:RPSI07_tRNA26
ko:K00941	rsl:RPSI07_3277
ko:K14231	rsl:RPSI07_tRNA31
ko:K14228	rsl:RPSI07_tRNA24
ko:K14236	rsl:RPSI07_tRNA4
ko:K14230	rsl:RPSI07_tRNA12
ko:K14224	rsl:RPSI07_tRNA38
ko:K14224	rsl:RPSI07_tRNA41
ko:K14225	rsl:RPSI07_tRNA28
ko:K14228	rsl:RPSI07_mptRNA1
ko:K14228	rsl:RPSI07_tRNA22
ko:K07749	rsl:RPSI07_2180
ko:K14205	rsl:RPSI07_mp1618
ko:K14415	rsl:RPSI07_3186
ko:K03574	rsl:RPSI07_0676
ko:K00970	rsl:RPSI07_0890
ko:K02533	rsl:RPSI07_2216
ko:K09810	rsl:RPSI07_2258
ko:K00799	rsl:RPSI07_2526
ko:K02056	rsl:RPSI07_1252
ko:K17322	rsl:RPSI07_0448
ko:K02484	rsl:RPSI07_0434
ko:K02054	rsl:RPSI07_1776
ko:K01985	rsl:RPSI07_5s_rRNA_1
ko:K01985	rsl:RPSI07_5s_rRNA_2
ko:K01985	rsl:RPSI07_5s_rRNA_3
