ko:K01978	tmi:THEMA_01015
ko:K00548	tmi:THEMA_03385
ko:K03650	tmi:THEMA_03390
ko:K01295	tmi:THEMA_04160
ko:K01571	tmi:THEMA_04165
ko:K02484	tmi:THEMA_04170
ko:K09816	tmi:THEMA_04180
ko:K09815	tmi:THEMA_04190
ko:K03711	tmi:THEMA_04195
ko:K01426	tmi:THEMA_04210
ko:K09817	tmi:THEMA_04185
ko:K06147	tmi:THEMA_03290
ko:K19114	tmi:THEMA_05180
ko:K06881	tmi:THEMA_06275
ko:K14219	tmi:THEMA_03760
ko:K19221	tmi:THEMA_06985
ko:K02031	tmi:THEMA_02180
ko:K00196	tmi:THEMA_02750
ko:K14236	tmi:THEMA_02450
ko:K00335	tmi:THEMA_04750
ko:K01977	tmi:THEMA_03905
ko:K01980	tmi:THEMA_03890
ko:K01985	tmi:THEMA_03885
ko:K14232	tmi:THEMA_04085
ko:K14232	tmi:THEMA_08125
ko:K14233	tmi:THEMA_02310
ko:K14233	tmi:THEMA_00540
ko:K17997	tmi:THEMA_07185
ko:K14218	tmi:THEMA_03830
ko:K14218	tmi:THEMA_06320
ko:K14219	tmi:THEMA_03790
ko:K14225	tmi:THEMA_03785
ko:K14219	tmi:THEMA_06560
ko:K14219	tmi:THEMA_06315
ko:K14223	tmi:THEMA_02735
ko:K14230	tmi:THEMA_02470
ko:K14230	tmi:THEMA_07630
ko:K14234	tmi:THEMA_02455
ko:K14234	tmi:THEMA_01775
ko:K14233	tmi:THEMA_05310
ko:K14228	tmi:THEMA_00560
ko:K14228	tmi:THEMA_07500
ko:K14229	tmi:THEMA_02265
ko:K14237	tmi:THEMA_07240
ko:K14237	tmi:THEMA_06335
ko:K00927	tmi:THEMA_01220
ko:K01803	tmi:THEMA_01220
ko:K14232	tmi:THEMA_05885
ko:K14224	tmi:THEMA_05260
ko:K17998	tmi:THEMA_07190
ko:K17999	tmi:THEMA_07195
ko:K09022	tmi:THEMA_03650
ko:K14228	tmi:THEMA_00380
ko:K03325	tmi:THEMA_08470
ko:K10441	tmi:THEMA_04230
ko:K00854	tmi:THEMA_04225
ko:K02313	tmi:THEMA_00005
ko:K09125	tmi:THEMA_00690
ko:K09457	tmi:THEMA_00695
ko:K03147	tmi:THEMA_00710
ko:K09700	tmi:THEMA_00720
ko:K09122	tmi:THEMA_00755
ko:K07491	tmi:THEMA_00765
ko:K02519	tmi:THEMA_00775
ko:K02343	tmi:THEMA_00795
ko:K01840	tmi:THEMA_00805
ko:K14540	tmi:THEMA_00810
ko:K07979	tmi:THEMA_00820
ko:K01990	tmi:THEMA_00825
ko:K02967	tmi:THEMA_00840
ko:K02406	tmi:THEMA_00860
ko:K00362	tmi:THEMA_00880
ko:K03183	tmi:THEMA_00885
ko:K07406	tmi:THEMA_00890
ko:K00876	tmi:THEMA_00900
ko:K07442	tmi:THEMA_00915
ko:K03797	tmi:THEMA_00920
ko:K00954	tmi:THEMA_00950
ko:K01868	tmi:THEMA_00955
ko:K01809	tmi:THEMA_00975
ko:K09749	tmi:THEMA_00980
ko:K04094	tmi:THEMA_00985
ko:K04757	tmi:THEMA_00990
ko:K09765	tmi:THEMA_01000
ko:K07560	tmi:THEMA_01005
ko:K00951	tmi:THEMA_01010
ko:K03592	tmi:THEMA_01025
ko:K03568	tmi:THEMA_01030
ko:K07301	tmi:THEMA_01040
ko:K12573	tmi:THEMA_01050
ko:K00761	tmi:THEMA_01055
ko:K00600	tmi:THEMA_01060
ko:K01883	tmi:THEMA_01065
ko:K03408	tmi:THEMA_01070
ko:K00974	tmi:THEMA_01090
ko:K07001	tmi:THEMA_01105
ko:K07056	tmi:THEMA_01120
ko:K03800	tmi:THEMA_01125
ko:K03501	tmi:THEMA_01130
ko:K02004	tmi:THEMA_01135
ko:K02003	tmi:THEMA_01140
ko:K00573	tmi:THEMA_01145
ko:K03407	tmi:THEMA_01155
ko:K03408	tmi:THEMA_01160
ko:K03413	tmi:THEMA_01165
ko:K02418	tmi:THEMA_01170
ko:K02419	tmi:THEMA_01175
ko:K02420	tmi:THEMA_01180
ko:K01358	tmi:THEMA_01190
ko:K03545	tmi:THEMA_01195
ko:K00997	tmi:THEMA_01205
ko:K09117	tmi:THEMA_01215
ko:K00134	tmi:THEMA_01225
ko:K09747	tmi:THEMA_01230
ko:K02343	tmi:THEMA_01235
ko:K03439	tmi:THEMA_00010
ko:K04070	tmi:THEMA_00015
ko:K17758	tmi:THEMA_00025
ko:K17759	tmi:THEMA_00025
ko:K07397	tmi:THEMA_00040
ko:K03406	tmi:THEMA_00045
ko:K03306	tmi:THEMA_00050
ko:K03470	tmi:THEMA_00060
ko:K07220	tmi:THEMA_00065
ko:K02499	tmi:THEMA_00070
ko:K08963	tmi:THEMA_00080
ko:K02421	tmi:THEMA_00085
ko:K02401	tmi:THEMA_00090
ko:K02400	tmi:THEMA_00095
ko:K02404	tmi:THEMA_00100
ko:K04562	tmi:THEMA_00105
ko:K03410	tmi:THEMA_00115
ko:K03411	tmi:THEMA_00120
ko:K02405	tmi:THEMA_00125
ko:K00965	tmi:THEMA_00155
ko:K00703	tmi:THEMA_00160
ko:K06153	tmi:THEMA_00170
ko:K04767	tmi:THEMA_00175
ko:K11749	tmi:THEMA_00185
ko:K00099	tmi:THEMA_00190
ko:K00949	tmi:THEMA_00195
ko:K00567	tmi:THEMA_00200
ko:K09126	tmi:THEMA_00210
ko:K03525	tmi:THEMA_00220
ko:K01740	tmi:THEMA_00225
ko:K00651	tmi:THEMA_00230
ko:K01572	tmi:THEMA_00235
ko:K00176	tmi:THEMA_00240
ko:K00174	tmi:THEMA_00245
ko:K01689	tmi:THEMA_00250
ko:K03696	tmi:THEMA_00270
ko:K03438	tmi:THEMA_00275
ko:K03587	tmi:THEMA_00285
ko:K00384	tmi:THEMA_00290
ko:K00784	tmi:THEMA_00315
ko:K02939	tmi:THEMA_00320
ko:K00973	tmi:THEMA_00325
ko:K03074	tmi:THEMA_00330
ko:K03072	tmi:THEMA_00335
ko:K03210	tmi:THEMA_00340
ko:K11753	tmi:THEMA_00350
ko:K03177	tmi:THEMA_00355
ko:K02834	tmi:THEMA_00360
ko:K02484	tmi:THEMA_00370
ko:K07566	tmi:THEMA_00375
ko:K03705	tmi:THEMA_00385
ko:K03687	tmi:THEMA_00390
ko:K03686	tmi:THEMA_00395
ko:K06948	tmi:THEMA_00400
ko:K01489	tmi:THEMA_00410
ko:K00783	tmi:THEMA_00420
ko:K00603	tmi:THEMA_00425
ko:K05837	tmi:THEMA_00445
ko:K02652	tmi:THEMA_00455
ko:K03531	tmi:THEMA_00460
ko:K03590	tmi:THEMA_00465
ko:K02470	tmi:THEMA_00475
ko:K00826	tmi:THEMA_00485
ko:K00882	tmi:THEMA_00500
ko:K01890	tmi:THEMA_00530
ko:K01889	tmi:THEMA_00535
ko:K02824	tmi:THEMA_00550
ko:K05946	tmi:THEMA_00555
ko:K07003	tmi:THEMA_00565
ko:K01443	tmi:THEMA_00580
ko:K00820	tmi:THEMA_00585
ko:K17246	tmi:THEMA_00590
ko:K17245	tmi:THEMA_00595
ko:K17244	tmi:THEMA_00600
ko:K01207	tmi:THEMA_00605
ko:K03386	tmi:THEMA_00615
ko:K04486	tmi:THEMA_00630
ko:K01937	tmi:THEMA_00635
ko:K09458	tmi:THEMA_00640
ko:K02372	tmi:THEMA_00645
ko:K02371	tmi:THEMA_00650
ko:K03523	tmi:THEMA_00655
ko:K00645	tmi:THEMA_00660
ko:K05979	tmi:THEMA_00665
ko:K01992	tmi:THEMA_00680
ko:K01990	tmi:THEMA_00685
ko:K10439	tmi:THEMA_04235
ko:K07025	tmi:THEMA_01460
ko:K02395	tmi:THEMA_01495
ko:K07133	tmi:THEMA_01585
ko:K01791	tmi:THEMA_01615
ko:K09125	tmi:THEMA_01625
ko:K02963	tmi:THEMA_01640
ko:K02990	tmi:THEMA_01650
ko:K07137	tmi:THEMA_01665
ko:K02025	tmi:THEMA_01680
ko:K02027	tmi:THEMA_01685
ko:K06901	tmi:THEMA_01690
ko:K02030	tmi:THEMA_01695
ko:K02029	tmi:THEMA_01700
ko:K02028	tmi:THEMA_01705
ko:K05515	tmi:THEMA_01710
ko:K03569	tmi:THEMA_01725
ko:K15986	tmi:THEMA_01730
ko:K03798	tmi:THEMA_01765
ko:K04075	tmi:THEMA_01770
ko:K00286	tmi:THEMA_01780
ko:K03763	tmi:THEMA_01790
ko:K01159	tmi:THEMA_01795
ko:K07568	tmi:THEMA_01800
ko:K03820	tmi:THEMA_01805
ko:K03110	tmi:THEMA_01820
ko:K09766	tmi:THEMA_01825
ko:K06206	tmi:THEMA_01845
ko:K03284	tmi:THEMA_01870
ko:K07053	tmi:THEMA_01880
ko:K01956	tmi:THEMA_01885
ko:K01955	tmi:THEMA_01890
ko:K00052	tmi:THEMA_01895
ko:K01704	tmi:THEMA_01900
ko:K01703	tmi:THEMA_01905
ko:K01649	tmi:THEMA_01910
ko:K01649	tmi:THEMA_01915
ko:K01687	tmi:THEMA_01920
ko:K00053	tmi:THEMA_01925
ko:K01653	tmi:THEMA_01930
ko:K01652	tmi:THEMA_01935
ko:K12524	tmi:THEMA_01940
ko:K01733	tmi:THEMA_01945
ko:K00872	tmi:THEMA_01950
ko:K01990	tmi:THEMA_01955
ko:K01992	tmi:THEMA_01960
ko:K00027	tmi:THEMA_01965
ko:K01678	tmi:THEMA_01970
ko:K01677	tmi:THEMA_01975
ko:K06001	tmi:THEMA_01980
ko:K16264	tmi:THEMA_01985
ko:K03091	tmi:THEMA_02005
ko:K02034	tmi:THEMA_02010
ko:K02033	tmi:THEMA_02015
ko:K02035	tmi:THEMA_02020
ko:K00604	tmi:THEMA_02035
ko:K03665	tmi:THEMA_02040
ko:K03666	tmi:THEMA_02045
ko:K00791	tmi:THEMA_02050
ko:K03667	tmi:THEMA_02065
ko:K01419	tmi:THEMA_02070
ko:K00566	tmi:THEMA_02075
ko:K07139	tmi:THEMA_02100
ko:K01881	tmi:THEMA_02105
ko:K07391	tmi:THEMA_02110
ko:K02413	tmi:THEMA_02115
ko:K01784	tmi:THEMA_02130
ko:K07478	tmi:THEMA_02135
ko:K04077	tmi:THEMA_02145
ko:K04078	tmi:THEMA_02150
ko:K02033	tmi:THEMA_02155
ko:K02034	tmi:THEMA_02160
ko:K02342	tmi:THEMA_02190
ko:K07175	tmi:THEMA_02195
ko:K06024	tmi:THEMA_02200
ko:K05896	tmi:THEMA_02205
ko:K01867	tmi:THEMA_02210
ko:K12410	tmi:THEMA_02220
ko:K02493	tmi:THEMA_02230
ko:K09133	tmi:THEMA_02280
ko:K03701	tmi:THEMA_02285
ko:K03075	tmi:THEMA_02290
ko:K01866	tmi:THEMA_02295
ko:K08281	tmi:THEMA_02315
ko:K00763	tmi:THEMA_02320
ko:K06215	tmi:THEMA_02325
ko:K08681	tmi:THEMA_02330
ko:K07027	tmi:THEMA_02340
ko:K03413	tmi:THEMA_02350
ko:K07315	tmi:THEMA_02355
ko:K00575	tmi:THEMA_02370
ko:K03101	tmi:THEMA_02375
ko:K06180	tmi:THEMA_02380
ko:K02337	tmi:THEMA_02385
ko:K02035	tmi:THEMA_02390
ko:K03046	tmi:THEMA_02395
ko:K03043	tmi:THEMA_02400
ko:K02935	tmi:THEMA_02405
ko:K02864	tmi:THEMA_02410
ko:K02863	tmi:THEMA_02415
ko:K02867	tmi:THEMA_02420
ko:K02601	tmi:THEMA_02425
ko:K03073	tmi:THEMA_02430
ko:K02913	tmi:THEMA_02440
ko:K01589	tmi:THEMA_02490
ko:K01588	tmi:THEMA_02495
ko:K01744	tmi:THEMA_02505
ko:K00851	tmi:THEMA_02510
ko:K00046	tmi:THEMA_02520
ko:K00033	tmi:THEMA_02535
ko:K01060	tmi:THEMA_02550
ko:K07406	tmi:THEMA_02555
ko:K01728	tmi:THEMA_02560
ko:K17241	tmi:THEMA_02565
ko:K17243	tmi:THEMA_02575
ko:K03406	tmi:THEMA_02580
ko:K07088	tmi:THEMA_02605
ko:K00005	tmi:THEMA_02610
ko:K17239	tmi:THEMA_02625
ko:K17238	tmi:THEMA_02630
ko:K17237	tmi:THEMA_02635
ko:K07243	tmi:THEMA_02640
ko:K00010	tmi:THEMA_02655
ko:K03412	tmi:THEMA_02685
ko:K00901	tmi:THEMA_02690
ko:K00177	tmi:THEMA_02695
ko:K00175	tmi:THEMA_02700
ko:K03320	tmi:THEMA_02715
ko:K13057	tmi:THEMA_02770
ko:K01990	tmi:THEMA_02775
ko:K01992	tmi:THEMA_02780
ko:K01992	tmi:THEMA_02785
ko:K07457	tmi:THEMA_02810
ko:K00382	tmi:THEMA_02815
ko:K00057	tmi:THEMA_02830
ko:K07090	tmi:THEMA_02835
ko:K15024	tmi:THEMA_02840
ko:K13993	tmi:THEMA_02845
ko:K04043	tmi:THEMA_02850
ko:K03402	tmi:THEMA_02860
ko:K07745	tmi:THEMA_02870
ko:K10773	tmi:THEMA_02885
ko:K01151	tmi:THEMA_02905
ko:K02428	tmi:THEMA_02915
ko:K01754	tmi:THEMA_02935
ko:K02003	tmi:THEMA_02955
ko:K02004	tmi:THEMA_02960
ko:K02417	tmi:THEMA_01265
ko:K02416	tmi:THEMA_01270
ko:K02415	tmi:THEMA_01275
ko:K02557	tmi:THEMA_01280
ko:K02556	tmi:THEMA_01285
ko:K02385	tmi:THEMA_01290
ko:K02390	tmi:THEMA_01295
ko:K02389	tmi:THEMA_01300
ko:K03424	tmi:THEMA_01330
ko:K00640	tmi:THEMA_01335
ko:K01738	tmi:THEMA_01340
ko:K12574	tmi:THEMA_01350
ko:K02078	tmi:THEMA_01355
ko:K05919	tmi:THEMA_01375
ko:K01611	tmi:THEMA_01390
ko:K00797	tmi:THEMA_01395
ko:K06168	tmi:THEMA_01400
ko:K01770	tmi:THEMA_01430
ko:K01916	tmi:THEMA_01440
ko:K13829	tmi:THEMA_02975
ko:K01736	tmi:THEMA_02980
ko:K00014	tmi:THEMA_02985
ko:K00800	tmi:THEMA_02990
ko:K04517	tmi:THEMA_02995
ko:K03856	tmi:THEMA_03000
ko:K03786	tmi:THEMA_02970
ko:K02033	tmi:THEMA_05500
ko:K02035	tmi:THEMA_05505
ko:K01620	tmi:THEMA_05515
ko:K02566	tmi:THEMA_05525
ko:K03218	tmi:THEMA_05530
ko:K11145	tmi:THEMA_05535
ko:K07238	tmi:THEMA_05545
ko:K03783	tmi:THEMA_05550
ko:K02039	tmi:THEMA_05565
ko:K00858	tmi:THEMA_05570
ko:K02221	tmi:THEMA_05575
ko:K06997	tmi:THEMA_05580
ko:K03551	tmi:THEMA_05585
ko:K00606	tmi:THEMA_05595
ko:K00059	tmi:THEMA_05620
ko:K03555	tmi:THEMA_05645
ko:K01783	tmi:THEMA_05650
ko:K06949	tmi:THEMA_05655
ko:K06941	tmi:THEMA_05665
ko:K00075	tmi:THEMA_05670
ko:K06958	tmi:THEMA_05690
ko:K09762	tmi:THEMA_05700
ko:K07738	tmi:THEMA_05705
ko:K03624	tmi:THEMA_05710
ko:K04567	tmi:THEMA_05715
ko:K00812	tmi:THEMA_05750
ko:K06969	tmi:THEMA_05755
ko:K02654	tmi:THEMA_05760
ko:K03151	tmi:THEMA_05770
ko:K00655	tmi:THEMA_05775
ko:K04487	tmi:THEMA_05780
ko:K09777	tmi:THEMA_05790
ko:K00942	tmi:THEMA_05795
ko:K03060	tmi:THEMA_05800
ko:K13038	tmi:THEMA_05805
ko:K07571	tmi:THEMA_05815
ko:K02909	tmi:THEMA_05820
ko:K03704	tmi:THEMA_05825
ko:K06897	tmi:THEMA_05845
ko:K04061	tmi:THEMA_05880
ko:K09005	tmi:THEMA_05905
ko:K01805	tmi:THEMA_05910
ko:K01439	tmi:THEMA_05915
ko:K16786	tmi:THEMA_05930
ko:K03787	tmi:THEMA_05935
ko:K01462	tmi:THEMA_05940
ko:K00789	tmi:THEMA_05955
ko:K02968	tmi:THEMA_05960
ko:K07636	tmi:THEMA_05975
ko:K00756	tmi:THEMA_05980
ko:K02355	tmi:THEMA_05990
ko:K09764	tmi:THEMA_06000
ko:K09770	tmi:THEMA_06015
ko:K00767	tmi:THEMA_06020
ko:K03517	tmi:THEMA_06025
ko:K06989	tmi:THEMA_06030
ko:K00266	tmi:THEMA_06045
ko:K00528	tmi:THEMA_06050
ko:K01990	tmi:THEMA_06055
ko:K03547	tmi:THEMA_06070
ko:K01338	tmi:THEMA_06080
ko:K06925	tmi:THEMA_06085
ko:K04042	tmi:THEMA_06100
ko:K00948	tmi:THEMA_06105
ko:K02897	tmi:THEMA_06110
ko:K01056	tmi:THEMA_06115
ko:K01192	tmi:THEMA_06125
ko:K03596	tmi:THEMA_06130
ko:K01126	tmi:THEMA_06140
ko:K03409	tmi:THEMA_06155
ko:K02108	tmi:THEMA_06170
ko:K02110	tmi:THEMA_06175
ko:K02109	tmi:THEMA_06180
ko:K02113	tmi:THEMA_06185
ko:K02111	tmi:THEMA_06190
ko:K02115	tmi:THEMA_06195
ko:K02112	tmi:THEMA_06200
ko:K02114	tmi:THEMA_06205
ko:K05808	tmi:THEMA_06215
ko:K08301	tmi:THEMA_06220
ko:K02357	tmi:THEMA_06225
ko:K09903	tmi:THEMA_06230
ko:K08369	tmi:THEMA_06235
ko:K07105	tmi:THEMA_06240
ko:K03088	tmi:THEMA_06260
ko:K03783	tmi:THEMA_06270
ko:K03593	tmi:THEMA_06290
ko:K02887	tmi:THEMA_06295
ko:K02916	tmi:THEMA_06300
ko:K02520	tmi:THEMA_06305
ko:K02242	tmi:THEMA_06360
ko:K09776	tmi:THEMA_06370
ko:K02836	tmi:THEMA_06385
ko:K03070	tmi:THEMA_06390
ko:K06442	tmi:THEMA_06400
ko:K06173	tmi:THEMA_06410
ko:K03100	tmi:THEMA_06420
ko:K02884	tmi:THEMA_06425
ko:K00554	tmi:THEMA_06435
ko:K02860	tmi:THEMA_06440
ko:K06960	tmi:THEMA_06445
ko:K02959	tmi:THEMA_06450
ko:K03106	tmi:THEMA_06455
ko:K01512	tmi:THEMA_06460
ko:K03442	tmi:THEMA_06465
ko:K00773	tmi:THEMA_06475
ko:K01619	tmi:THEMA_06485
ko:K03630	tmi:THEMA_06495
ko:K06287	tmi:THEMA_06500
ko:K00805	tmi:THEMA_06505
ko:K03734	tmi:THEMA_06515
ko:K04069	tmi:THEMA_06520
ko:K09141	tmi:THEMA_06525
ko:K06885	tmi:THEMA_06545
ko:K07462	tmi:THEMA_06550
ko:K07447	tmi:THEMA_06555
ko:K03569	tmi:THEMA_06565
ko:K02392	tmi:THEMA_06570
ko:K02392	tmi:THEMA_06575
ko:K02386	tmi:THEMA_06580
ko:K02393	tmi:THEMA_06585
ko:K02394	tmi:THEMA_06590
ko:K08980	tmi:THEMA_06605
ko:K02523	tmi:THEMA_06610
ko:K03855	tmi:THEMA_06620
ko:K00313	tmi:THEMA_06625
ko:K03522	tmi:THEMA_06630
ko:K03521	tmi:THEMA_06635
ko:K07052	tmi:THEMA_06645
ko:K02548	tmi:THEMA_06650
ko:K00133	tmi:THEMA_06685
ko:K01778	tmi:THEMA_06690
ko:K01714	tmi:THEMA_06695
ko:K00215	tmi:THEMA_06700
ko:K05822	tmi:THEMA_06705
ko:K00928	tmi:THEMA_06710
ko:K01586	tmi:THEMA_06715
ko:K05823	tmi:THEMA_06720
ko:K09825	tmi:THEMA_06725
ko:K03500	tmi:THEMA_06740
ko:K06973	tmi:THEMA_06745
ko:K07042	tmi:THEMA_06755
ko:K07037	tmi:THEMA_06760
ko:K02950	tmi:THEMA_06775
ko:K02992	tmi:THEMA_06780
ko:K02355	tmi:THEMA_06785
ko:K02358	tmi:THEMA_06790
ko:K02946	tmi:THEMA_06795
ko:K02906	tmi:THEMA_06800
ko:K02926	tmi:THEMA_06805
ko:K02892	tmi:THEMA_06810
ko:K02886	tmi:THEMA_06815
ko:K02965	tmi:THEMA_06820
ko:K02890	tmi:THEMA_06825
ko:K02982	tmi:THEMA_06830
ko:K02878	tmi:THEMA_06835
ko:K02904	tmi:THEMA_06840
ko:K02961	tmi:THEMA_06845
ko:K02874	tmi:THEMA_06850
ko:K02895	tmi:THEMA_06855
ko:K02931	tmi:THEMA_06860
ko:K02954	tmi:THEMA_06865
ko:K02994	tmi:THEMA_06870
ko:K02933	tmi:THEMA_06875
ko:K02881	tmi:THEMA_06880
ko:K02988	tmi:THEMA_06885
ko:K02907	tmi:THEMA_06890
ko:K02876	tmi:THEMA_06895
ko:K03076	tmi:THEMA_06900
ko:K00939	tmi:THEMA_06905
ko:K01265	tmi:THEMA_06910
ko:K02518	tmi:THEMA_06915
ko:K02919	tmi:THEMA_06920
ko:K02952	tmi:THEMA_06925
ko:K02948	tmi:THEMA_06930
ko:K02986	tmi:THEMA_06935
ko:K03040	tmi:THEMA_06940
ko:K02879	tmi:THEMA_06945
ko:K03628	tmi:THEMA_06950
ko:K00845	tmi:THEMA_06955
ko:K03978	tmi:THEMA_06980
ko:K16329	tmi:THEMA_06990
ko:K02914	tmi:THEMA_06995
ko:K03536	tmi:THEMA_07000
ko:K08998	tmi:THEMA_07005
ko:K03217	tmi:THEMA_07010
ko:K06346	tmi:THEMA_07015
ko:K02888	tmi:THEMA_07025
ko:K02899	tmi:THEMA_07035
ko:K02871	tmi:THEMA_07045
ko:K02996	tmi:THEMA_07050
ko:K03086	tmi:THEMA_07060
ko:K03723	tmi:THEMA_07065
ko:K08591	tmi:THEMA_07080
ko:K03977	tmi:THEMA_07085
ko:K02945	tmi:THEMA_07090
ko:K03527	tmi:THEMA_07095
ko:K00945	tmi:THEMA_07100
ko:K01876	tmi:THEMA_07110
ko:K09942	tmi:THEMA_07120
ko:K02528	tmi:THEMA_07130
ko:K02443	tmi:THEMA_07135
ko:K06929	tmi:THEMA_07140
ko:K00111	tmi:THEMA_07155
ko:K02443	tmi:THEMA_07160
ko:K02440	tmi:THEMA_07170
ko:K03406	tmi:THEMA_07175
ko:K01926	tmi:THEMA_07180
ko:K01858	tmi:THEMA_07215
ko:K09013	tmi:THEMA_07230
ko:K01092	tmi:THEMA_07245
ko:K01193	tmi:THEMA_07250
ko:K01992	tmi:THEMA_07295
ko:K00058	tmi:THEMA_07310
ko:K02838	tmi:THEMA_07320
ko:K00806	tmi:THEMA_07325
ko:K00981	tmi:THEMA_07330
ko:K01872	tmi:THEMA_07335
ko:K04083	tmi:THEMA_07345
ko:K00991	tmi:THEMA_07350
ko:K03696	tmi:THEMA_07360
ko:K07027	tmi:THEMA_07365
ko:K00859	tmi:THEMA_07390
