ko:K13613	bama:RBAU_1681
ko:K01569	bama:RBAU_2206
ko:K03886	bama:RBAU_2211
ko:K04517	bama:RBAU_2216
ko:K00575	bama:RBAU_2227
ko:K00805	bama:RBAU_2229
ko:K00805	bama:RBAU_2231
ko:K03406	bama:RBAU_2954
ko:K03406	bama:RBAU_2955
ko:K03406	bama:RBAU_2956
ko:K03406	bama:RBAU_2957
ko:K07570	bama:RBAU_2977
ko:K16012	bama:RBAU_3727
ko:K16013	bama:RBAU_3728
ko:K10112	bama:RBAU_3733
ko:K01784	bama:RBAU_3737
ko:K01258	bama:RBAU_3738
ko:K03488	bama:RBAU_3749
ko:K06902	bama:RBAU_3750
ko:K01990	bama:RBAU_0457
ko:K09167	bama:RBAU_0467
ko:K08981	bama:RBAU_0468
ko:K07315	bama:RBAU_0478
ko:K03090	bama:RBAU_0481
ko:K05518	bama:RBAU_0482
ko:K03095	bama:RBAU_0485
ko:K03294	bama:RBAU_1247
ko:K16202	bama:RBAU_1257
ko:K01297	bama:RBAU_1259
ko:K07404	bama:RBAU_1263
ko:K04767	bama:RBAU_2820
ko:K00027	bama:RBAU_2837
ko:K01439	bama:RBAU_2846
ko:K01992	bama:RBAU_2848
ko:K01990	bama:RBAU_2849
ko:K06183	bama:RBAU_2851
ko:K05020	bama:RBAU_2854
ko:K06147	bama:RBAU_3573
ko:K00374	bama:RBAU_3576
ko:K07729	bama:RBAU_3590
ko:K01480	bama:RBAU_3597
ko:K03294	bama:RBAU_3607
ko:K10947	bama:RBAU_3612
ko:K01990	bama:RBAU_3614
ko:K01992	bama:RBAU_3615
ko:K00625	bama:RBAU_3623
ko:K08093	bama:RBAU_0337
ko:K16961	bama:RBAU_0365
ko:K16962	bama:RBAU_0366
ko:K16963	bama:RBAU_0367
ko:K02004	bama:RBAU_0371
ko:K01990	bama:RBAU_1150
ko:K01760	bama:RBAU_1156
ko:K01784	bama:RBAU_1168
ko:K02786	bama:RBAU_1171
ko:K01220	bama:RBAU_1172
ko:K02530	bama:RBAU_1173
ko:K06322	bama:RBAU_1930
ko:K06319	bama:RBAU_1932
ko:K07305	bama:RBAU_1949
ko:K07304	bama:RBAU_1950
ko:K03469	bama:RBAU_1974
ko:K03469	bama:RBAU_1976
ko:K01209	bama:RBAU_2715
ko:K17236	bama:RBAU_2716
ko:K17235	bama:RBAU_2717
ko:K00853	bama:RBAU_2722
ko:K06113	bama:RBAU_2724
ko:K07025	bama:RBAU_2735
ko:K11144	bama:RBAU_2739
ko:K03346	bama:RBAU_2740
ko:K10563	bama:RBAU_2749
ko:K07658	bama:RBAU_2752
ko:K01104	bama:RBAU_3478
ko:K01181	bama:RBAU_3513
ko:K00121	bama:RBAU_0548
ko:K00657	bama:RBAU_0563
ko:K03492	bama:RBAU_0577
ko:K11189	bama:RBAU_1350
ko:K08483	bama:RBAU_1351
ko:K03406	bama:RBAU_1354
ko:K00841	bama:RBAU_1359
ko:K07098	bama:RBAU_1366
ko:K06877	bama:RBAU_2176
ko:K03700	bama:RBAU_2185
ko:K02086	bama:RBAU_2189
ko:K02549	bama:RBAU_2910
ko:K08680	bama:RBAU_2913
ko:K02552	bama:RBAU_2915
ko:K16789	bama:RBAU_2921
ko:K07192	bama:RBAU_2922
ko:K03499	bama:RBAU_2931
ko:K01759	bama:RBAU_3693
ko:K01222	bama:RBAU_3704
ko:K03491	bama:RBAU_3708
ko:K07250	bama:RBAU_0388
ko:K00135	bama:RBAU_0389
ko:K00034	bama:RBAU_0391
ko:K02799	bama:RBAU_0396
ko:K02800	bama:RBAU_0396
ko:K02798	bama:RBAU_0397
ko:K06351	bama:RBAU_0405
ko:K00158	bama:RBAU_0430
ko:K01719	bama:RBAU_1186
ko:K16168	bama:RBAU_1982
ko:K16167	bama:RBAU_1983
ko:K03647	bama:RBAU_2019
ko:K00027	bama:RBAU_2766
ko:K00059	bama:RBAU_2775
ko:K06286	bama:RBAU_2793
ko:K07114	bama:RBAU_3525
ko:K07114	bama:RBAU_3527
ko:K08234	bama:RBAU_3554
ko:K00027	bama:RBAU_3557
ko:K02446	bama:RBAU_3561
ko:K00616	bama:RBAU_3563
ko:K03048	bama:RBAU_3568
ko:K12574	bama:RBAU_1410
ko:K21064	bama:RBAU_1073
ko:K01897	bama:RBAU_1009
ko:K17734	bama:RBAU_1689
ko:K02484	bama:RBAU_3857
ko:K01897	bama:RBAU_2699
ko:K11638	bama:RBAU_0755
ko:K06420	bama:RBAU_2001
ko:K06430	bama:RBAU_2183
ko:K00265	bama:RBAU_1833
ko:K06298	bama:RBAU_2682
ko:K16235	bama:RBAU_0249
ko:K06427	bama:RBAU_3178
ko:K15654	bama:RBAU_0339
ko:K11634	bama:RBAU_3795
ko:K01585	bama:RBAU_1430
ko:K15035	bama:RBAU_misc_RNA_26
ko:K01990	bama:RBAU_0221
ko:K01990	bama:RBAU_0898
ko:K01990	bama:RBAU_3186
ko:K14224	bama:RBAU_tRNA20
ko:K14224	bama:RBAU_tRNA3
ko:K14224	bama:RBAU_tRNA56
ko:K14224	bama:RBAU_tRNA27
ko:K14224	bama:RBAU_tRNA83
ko:K14224	bama:RBAU_tRNA38
ko:K18924	bama:RBAU_1268
ko:K14338	bama:RBAU_0722
ko:K03294	bama:RBAU_0730
ko:K02824	bama:RBAU_1507
ko:K02823	bama:RBAU_1512
ko:K02303	bama:RBAU_1520
ko:K01537	bama:RBAU_1524
ko:K03768	bama:RBAU_2285
ko:K07258	bama:RBAU_2298
ko:K03783	bama:RBAU_2299
ko:K04763	bama:RBAU_2301
ko:K03711	bama:RBAU_2303
ko:K00027	bama:RBAU_2306
ko:K01424	bama:RBAU_2309
ko:K01515	bama:RBAU_2312
ko:K06889	bama:RBAU_2315
ko:K00867	bama:RBAU_2326
ko:K07017	bama:RBAU_3037
ko:K01990	bama:RBAU_3051
ko:K01992	bama:RBAU_3052
ko:K13628	bama:RBAU_3057
ko:K03317	bama:RBAU_3059
ko:K01466	bama:RBAU_3080
ko:K09684	bama:RBAU_3081
ko:K03386	bama:RBAU_3824
ko:K03518	bama:RBAU_3829
ko:K00819	bama:RBAU_3850
ko:K01990	bama:RBAU_0198
ko:K02004	bama:RBAU_0210
ko:K01560	bama:RBAU_0218
ko:K01992	bama:RBAU_0222
ko:K01992	bama:RBAU_0223
ko:K01990	bama:RBAU_0990
ko:K01992	bama:RBAU_0991
ko:K00626	bama:RBAU_1015
ko:K05937	bama:RBAU_1024
ko:K03307	bama:RBAU_1029
ko:K00652	bama:RBAU_1802
ko:K00666	bama:RBAU_1813
ko:K01243	bama:RBAU_2574
ko:K10041	bama:RBAU_2591
ko:K00090	bama:RBAU_3330
ko:K09762	bama:RBAU_3334
ko:K03574	bama:RBAU_3337
ko:K06023	bama:RBAU_3356
ko:K02564	bama:RBAU_3358
ko:K09685	bama:RBAU_0052
ko:K02499	bama:RBAU_0063
ko:K07114	bama:RBAU_0070
ko:K01664	bama:RBAU_0080
ko:K02619	bama:RBAU_0081
ko:K07586	bama:RBAU_0850
ko:K11085	bama:RBAU_0851
ko:K09825	bama:RBAU_0855
ko:K02035	bama:RBAU_0866
ko:K02033	bama:RBAU_0867
ko:K04091	bama:RBAU_0876
ko:K03177	bama:RBAU_1627
ko:K06994	bama:RBAU_1646
ko:K00059	bama:RBAU_1649
ko:K00639	bama:RBAU_1661
ko:K15329	bama:RBAU_1674
ko:K15312	bama:RBAU_1677
ko:K13280	bama:RBAU_2431
ko:K02249	bama:RBAU_2435
ko:K02248	bama:RBAU_2436
ko:K02246	bama:RBAU_2438
ko:K02245	bama:RBAU_2439
ko:K02244	bama:RBAU_2440
ko:K02243	bama:RBAU_2441
ko:K16509	bama:RBAU_2445
ko:K00845	bama:RBAU_2452
ko:K01934	bama:RBAU_2456
ko:K02076	bama:RBAU_2473
ko:K01992	bama:RBAU_3187
ko:K03316	bama:RBAU_3191
ko:K00380	bama:RBAU_3193
ko:K07213	bama:RBAU_3201
ko:K01607	bama:RBAU_3207
ko:K16959	bama:RBAU_3214
ko:K16958	bama:RBAU_3215
ko:K16957	bama:RBAU_3216
ko:K00059	bama:RBAU_3220
ko:K14231	bama:RBAU_tRNA42
ko:K14231	bama:RBAU_tRNA77
ko:K14231	bama:RBAU_tRNA58
ko:K14235	bama:RBAU_tRNA45
ko:K14220	bama:RBAU_tRNA25
ko:K14220	bama:RBAU_tRNA81
ko:K14220	bama:RBAU_tRNA36
ko:K01227	bama:RBAU_3430
ko:K14237	bama:RBAU_tRNA53
ko:K14219	bama:RBAU_tRNA86
ko:K14228	bama:RBAU_tRNA66
ko:K14234	bama:RBAU_tRNA14
ko:K11637	bama:RBAU_0754
ko:K01226	bama:RBAU_0774
ko:K03486	bama:RBAU_0775
ko:K03708	bama:RBAU_0091
ko:K07067	bama:RBAU_0096
ko:K09698	bama:RBAU_0100
ko:K00564	bama:RBAU_0113
ko:K01990	bama:RBAU_0897
ko:K01081	bama:RBAU_0908
ko:K02443	bama:RBAU_0916
ko:K01835	bama:RBAU_0920
ko:K02480	bama:RBAU_0921
ko:K01077	bama:RBAU_0930
ko:K03294	bama:RBAU_0935
ko:K03647	bama:RBAU_1700
ko:K03713	bama:RBAU_1708
ko:K00854	bama:RBAU_1715
ko:K13953	bama:RBAU_1718
ko:K13300	bama:RBAU_2483
ko:K01489	bama:RBAU_2494
ko:K02238	bama:RBAU_2521
ko:K05595	bama:RBAU_3247
ko:K01784	bama:RBAU_3257
ko:K01985	bama:RBAU_5s_rRNA_4
ko:K14233	bama:RBAU_tRNA26
ko:K14233	bama:RBAU_tRNA82
ko:K01104	bama:RBAU_0786
ko:K00949	bama:RBAU_1539
ko:K06414	bama:RBAU_1540
ko:K07030	bama:RBAU_1543
ko:K00059	bama:RBAU_1550
ko:K09787	bama:RBAU_1556
ko:K00059	bama:RBAU_2341
ko:K15329	bama:RBAU_2345
ko:K00784	bama:RBAU_2351
ko:K00033	bama:RBAU_2353
ko:K01966	bama:RBAU_2358
ko:K02028	bama:RBAU_2362
ko:K02030	bama:RBAU_2364
ko:K00929	bama:RBAU_2371
ko:K10112	bama:RBAU_3090
ko:K10118	bama:RBAU_3094
ko:K04488	bama:RBAU_3108
ko:K07652	bama:RBAU_3863
ko:K07668	bama:RBAU_3864
ko:K06329	bama:RBAU_3881
ko:K15986	bama:RBAU_3883
ko:K01607	bama:RBAU_3904
ko:K14237	bama:RBAU_tRNA21
ko:K14237	bama:RBAU_tRNA4
ko:K14237	bama:RBAU_tRNA39
ko:K14237	bama:RBAU_tRNA63
ko:K14236	bama:RBAU_tRNA23
ko:K14236	bama:RBAU_tRNA44
ko:K14223	bama:RBAU_tRNA24
ko:K14223	bama:RBAU_tRNA47
ko:K14223	bama:RBAU_tRNA28
ko:K14229	bama:RBAU_tRNA29
ko:K14229	bama:RBAU_tRNA55
ko:K14229	bama:RBAU_tRNA65
ko:K14229	bama:RBAU_tRNA6
ko:K14228	bama:RBAU_tRNA30
ko:K14228	bama:RBAU_tRNA7
ko:K01176	bama:RBAU_0300
ko:K00016	bama:RBAU_0301
ko:K01916	bama:RBAU_0308
ko:K00294	bama:RBAU_0319
ko:K00121	bama:RBAU_0330
ko:K02035	bama:RBAU_1098
ko:K02033	bama:RBAU_1099
ko:K15582	bama:RBAU_1106
ko:K15583	bama:RBAU_1107
ko:K10823	bama:RBAU_1108
ko:K16509	bama:RBAU_1111
ko:K07816	bama:RBAU_1122
ko:K03455	bama:RBAU_1127
ko:K03153	bama:RBAU_1130
ko:K03307	bama:RBAU_1904
ko:K03784	bama:RBAU_1912
ko:K02428	bama:RBAU_2680
ko:K00241	bama:RBAU_2689
ko:K01209	bama:RBAU_2694
ko:K03471	bama:RBAU_2706
ko:K00852	bama:RBAU_3451
ko:K10440	bama:RBAU_3454
ko:K10439	bama:RBAU_3455
ko:K06325	bama:RBAU_3463
ko:K14228	bama:RBAU_tRNA31
ko:K14232	bama:RBAU_tRNA11
ko:K14232	bama:RBAU_tRNA70
ko:K14232	bama:RBAU_tRNA17
ko:K14230	bama:RBAU_tRNA73
ko:K14221	bama:RBAU_tRNA35
ko:K14221	bama:RBAU_tRNA57
ko:K14221	bama:RBAU_tRNA41
ko:K14221	bama:RBAU_tRNA76
ko:K14226	bama:RBAU_tRNA46
ko:K14226	bama:RBAU_tRNA78
ko:K14225	bama:RBAU_tRNA8
ko:K14225	bama:RBAU_tRNA67
ko:K14225	bama:RBAU_tRNA15
ko:K14225	bama:RBAU_tRNA48
ko:K14222	bama:RBAU_tRNA49
ko:K14219	bama:RBAU_tRNA84
ko:K14219	bama:RBAU_tRNA85
ko:K14219	bama:RBAU_tRNA59
ko:K14223	bama:RBAU_tRNA54
ko:K14228	bama:RBAU_tRNA50
ko:K14228	bama:RBAU_tRNA9
ko:K14228	bama:RBAU_tRNA68
ko:K14225	bama:RBAU_tRNA33
ko:K14225	bama:RBAU_tRNA52
ko:K14225	bama:RBAU_tRNA79
ko:K14230	bama:RBAU_tRNA34
ko:K14230	bama:RBAU_tRNA40
ko:K14230	bama:RBAU_tRNA75
ko:K00547	bama:RBAU_0250
ko:K00939	bama:RBAU_0144
ko:K16786	bama:RBAU_0152
ko:K16787	bama:RBAU_0153
ko:K03593	bama:RBAU_0162
ko:K01092	bama:RBAU_0175
ko:K03455	bama:RBAU_0969
ko:K01990	bama:RBAU_0974
ko:K01992	bama:RBAU_0975
ko:K03698	bama:RBAU_0978
ko:K07533	bama:RBAU_0980
ko:K09976	bama:RBAU_1748
ko:K06196	bama:RBAU_1750
ko:K06948	bama:RBAU_2531
ko:K03976	bama:RBAU_2560
ko:K14338	bama:RBAU_2563
ko:K17216	bama:RBAU_2573
ko:K00851	bama:RBAU_3279
ko:K03299	bama:RBAU_3280
ko:K03929	bama:RBAU_3306
ko:K15976	bama:RBAU_0259
ko:K01113	bama:RBAU_0265
ko:K01424	bama:RBAU_0272
ko:K00034	bama:RBAU_0281
ko:K01182	bama:RBAU_0282
ko:K09815	bama:RBAU_0283
ko:K07120	bama:RBAU_1036
ko:K16899	bama:RBAU_1041
ko:K15629	bama:RBAU_1067
ko:K06889	bama:RBAU_1074
ko:K00059	bama:RBAU_1838
ko:K00058	bama:RBAU_1843
ko:K07105	bama:RBAU_2632
ko:K04518	bama:RBAU_2633
ko:K07584	bama:RBAU_2638
ko:K06402	bama:RBAU_2640
ko:K02236	bama:RBAU_2650
ko:K01719	bama:RBAU_2658
ko:K04076	bama:RBAU_2665
ko:K12263	bama:RBAU_3381
ko:K02242	bama:RBAU_3399
ko:K02241	bama:RBAU_3400
ko:K02240	bama:RBAU_3401
ko:K07692	bama:RBAU_3403
ko:K02851	bama:RBAU_3407
ko:K09693	bama:RBAU_3422
ko:K11626	bama:RBAU_0251
ko:K00088	bama:RBAU_0011
ko:K07258	bama:RBAU_0012
ko:K07104	bama:RBAU_0817
ko:K02414	bama:RBAU_1586
ko:K09764	bama:RBAU_1625
ko:K00626	bama:RBAU_2381
ko:K01262	bama:RBAU_2415
ko:K07770	bama:RBAU_3143
ko:K01679	bama:RBAU_3147
ko:K11618	bama:RBAU_3152
ko:K11617	bama:RBAU_3153
ko:K01569	bama:RBAU_3170
ko:K07052	bama:RBAU_3911
ko:K01759	bama:RBAU_3913
ko:K06346	bama:RBAU_3932
ko:K17686	bama:RBAU_3200
ko:K06324	bama:RBAU_0647
ko:K07094	bama:RBAU_0679
ko:K03307	bama:RBAU_0685
ko:K02433	bama:RBAU_0688
ko:K01092	bama:RBAU_1434
ko:K01958	bama:RBAU_1448
ko:K02274	bama:RBAU_1453
ko:K02862	bama:RBAU_1456
ko:K07177	bama:RBAU_1468
ko:K08724	bama:RBAU_1478
ko:K01823	bama:RBAU_2242
ko:K06313	bama:RBAU_2247
ko:K07052	bama:RBAU_2256
ko:K05337	bama:RBAU_2259
ko:K00058	bama:RBAU_2261
ko:K09763	bama:RBAU_2276
ko:K02056	bama:RBAU_2995
ko:K05565	bama:RBAU_2998
ko:K05568	bama:RBAU_3001
ko:K05570	bama:RBAU_3003
ko:K02755	bama:RBAU_3769
ko:K02756	bama:RBAU_3769
ko:K02757	bama:RBAU_3769
ko:K03574	bama:RBAU_3771
ko:K01479	bama:RBAU_3778
ko:K01619	bama:RBAU_3782
ko:K00010	bama:RBAU_3799
ko:K06610	bama:RBAU_3800
ko:K03088	bama:RBAU_0641
ko:K11735	bama:RBAU_0648
ko:K03924	bama:RBAU_0650
ko:K01951	bama:RBAU_0653
ko:K03088	bama:RBAU_0655
ko:K06901	bama:RBAU_0657
ko:K01588	bama:RBAU_0662
ko:K01589	bama:RBAU_0663
ko:K01756	bama:RBAU_0664
ko:K01923	bama:RBAU_0665
ko:K01952	bama:RBAU_0666
ko:K01952	bama:RBAU_0667
ko:K01952	bama:RBAU_0668
ko:K00764	bama:RBAU_0669
ko:K01933	bama:RBAU_0670
ko:K11175	bama:RBAU_0671
ko:K00602	bama:RBAU_0672
ko:K01945	bama:RBAU_0673
ko:K01486	bama:RBAU_0675
ko:K03657	bama:RBAU_0680
ko:K01972	bama:RBAU_0681
ko:K07507	bama:RBAU_0684
ko:K02435	bama:RBAU_0687
ko:K02434	bama:RBAU_0689
ko:K06207	bama:RBAU_1439
ko:K07175	bama:RBAU_1443
ko:K01425	bama:RBAU_1445
ko:K03588	bama:RBAU_1447
ko:K02259	bama:RBAU_1449
ko:K02275	bama:RBAU_1452
ko:K02276	bama:RBAU_1454
ko:K00954	bama:RBAU_1465
ko:K07001	bama:RBAU_1467
ko:K07040	bama:RBAU_1470
ko:K00077	bama:RBAU_1473
ko:K03925	bama:RBAU_1475
ko:K03438	bama:RBAU_1476
ko:K08384	bama:RBAU_1479
ko:K01928	bama:RBAU_1480
ko:K01000	bama:RBAU_1481
ko:K06398	bama:RBAU_2236
ko:K00057	bama:RBAU_2239
ko:K03977	bama:RBAU_2240
ko:K02945	bama:RBAU_2243
ko:K00945	bama:RBAU_2244
ko:K01449	bama:RBAU_2248
ko:K00384	bama:RBAU_2250
ko:K00260	bama:RBAU_2251
ko:K16511	bama:RBAU_2252
ko:K03654	bama:RBAU_2257
ko:K03088	bama:RBAU_2263
ko:K07651	bama:RBAU_2264
ko:K07775	bama:RBAU_2265
ko:K07399	bama:RBAU_2267
ko:K06178	bama:RBAU_2269
ko:K06374	bama:RBAU_2270
ko:K06373	bama:RBAU_2271
ko:K06024	bama:RBAU_2274
ko:K05896	bama:RBAU_2275
ko:K02859	bama:RBAU_2277
ko:K00794	bama:RBAU_2278
ko:K14652	bama:RBAU_2279
ko:K00793	bama:RBAU_2280
ko:K11752	bama:RBAU_2281
ko:K07697	bama:RBAU_2984
ko:K06347	bama:RBAU_2985
ko:K06348	bama:RBAU_2986
ko:K11614	bama:RBAU_2991
ko:K07335	bama:RBAU_2994
ko:K02057	bama:RBAU_2996
ko:K02057	bama:RBAU_2997
ko:K05566	bama:RBAU_2999
ko:K05567	bama:RBAU_3000
ko:K05569	bama:RBAU_3002
ko:K05571	bama:RBAU_3004
ko:K07691	bama:RBAU_3006
ko:K07680	bama:RBAU_3007
ko:K02251	bama:RBAU_3009
ko:K00763	bama:RBAU_3013
ko:K06950	bama:RBAU_3020
ko:K16216	bama:RBAU_3021
ko:K03466	bama:RBAU_3024
ko:K00259	bama:RBAU_3029
ko:K04780	bama:RBAU_3032
ko:K01223	bama:RBAU_3768
ko:K09683	bama:RBAU_3774
ko:K01745	bama:RBAU_3775
ko:K01712	bama:RBAU_3776
ko:K01468	bama:RBAU_3777
ko:K00756	bama:RBAU_3780
ko:K11535	bama:RBAU_3781
ko:K05346	bama:RBAU_3783
ko:K02016	bama:RBAU_3790
ko:K11636	bama:RBAU_3792
ko:K11635	bama:RBAU_3793
ko:K06606	bama:RBAU_3797
ko:K06605	bama:RBAU_3798
ko:K03335	bama:RBAU_3801
ko:K03336	bama:RBAU_3802
ko:K03338	bama:RBAU_3803
ko:K03337	bama:RBAU_3804
ko:K00140	bama:RBAU_3805
ko:K06608	bama:RBAU_3806
ko:K04079	bama:RBAU_3809
ko:K00166	bama:RBAU_2369
ko:K00382	bama:RBAU_2370
ko:K00263	bama:RBAU_2372
ko:K01720	bama:RBAU_2377
ko:K01647	bama:RBAU_2378
ko:K08153	bama:RBAU_3086
ko:K02083	bama:RBAU_3088
ko:K10711	bama:RBAU_3091
ko:K10710	bama:RBAU_3092
ko:K10119	bama:RBAU_3093
ko:K10117	bama:RBAU_3095
ko:K10708	bama:RBAU_3096
ko:K00285	bama:RBAU_3103
ko:K09014	bama:RBAU_3107
ko:K11717	bama:RBAU_3109
ko:K09015	bama:RBAU_3110
ko:K09013	bama:RBAU_3111
ko:K02073	bama:RBAU_3114
ko:K02072	bama:RBAU_3115
ko:K02071	bama:RBAU_3116
ko:K07476	bama:RBAU_3120
ko:K02437	bama:RBAU_3122
ko:K07516	bama:RBAU_3126
ko:K00318	bama:RBAU_3128
ko:K01939	bama:RBAU_3865
ko:K02939	bama:RBAU_3878
ko:K00692	bama:RBAU_3886
ko:K13503	bama:RBAU_3892
ko:K08987	bama:RBAU_3897
ko:K00019	bama:RBAU_3906
ko:K03322	bama:RBAU_0443
ko:K07217	bama:RBAU_0451
ko:K11692	bama:RBAU_0454
ko:K11103	bama:RBAU_0455
ko:K01921	bama:RBAU_0464
ko:K01929	bama:RBAU_0465
ko:K05592	bama:RBAU_0466
ko:K00997	bama:RBAU_0470
ko:K01775	bama:RBAU_0472
ko:K07723	bama:RBAU_0473
ko:K06959	bama:RBAU_0483
ko:K06388	bama:RBAU_1244
ko:K03306	bama:RBAU_1245
ko:K07220	bama:RBAU_1246
ko:K15975	bama:RBAU_1248
ko:K00946	bama:RBAU_0590
ko:K06925	bama:RBAU_0591
ko:K03789	bama:RBAU_0593
ko:K06158	bama:RBAU_0595
ko:K03637	bama:RBAU_0596
ko:K01926	bama:RBAU_0597
ko:K03116	bama:RBAU_0598
ko:K03118	bama:RBAU_0599
ko:K04078	bama:RBAU_0602
ko:K04077	bama:RBAU_0603
ko:K00847	bama:RBAU_0633
ko:K03969	bama:RBAU_0635
ko:K06872	bama:RBAU_0637
ko:K03839	bama:RBAU_1377
ko:K05823	bama:RBAU_1379
ko:K03752	bama:RBAU_1385
ko:K03750	bama:RBAU_1387
ko:K03753	bama:RBAU_1388
ko:K03636	bama:RBAU_1390
ko:K02003	bama:RBAU_1393
ko:K02768	bama:RBAU_1397
ko:K02769	bama:RBAU_1397
ko:K02770	bama:RBAU_1397
ko:K03100	bama:RBAU_1398
ko:K00077	bama:RBAU_1401
ko:K03569	bama:RBAU_1404
ko:K07698	bama:RBAU_1406
ko:K01462	bama:RBAU_1413
ko:K00161	bama:RBAU_1424
ko:K00162	bama:RBAU_1425
ko:K00627	bama:RBAU_1426
ko:K00382	bama:RBAU_1427
ko:K00812	bama:RBAU_2191
ko:K01579	bama:RBAU_2195
ko:K01918	bama:RBAU_2196
ko:K00606	bama:RBAU_2197
ko:K03524	bama:RBAU_2198
ko:K01734	bama:RBAU_2202
ko:K00215	bama:RBAU_2203
ko:K03888	bama:RBAU_2209
ko:K03887	bama:RBAU_2210
ko:K00800	bama:RBAU_2215
ko:K00817	bama:RBAU_2217
ko:K01695	bama:RBAU_2218
ko:K01696	bama:RBAU_2219
ko:K01817	bama:RBAU_2220
ko:K01609	bama:RBAU_2221
ko:K00766	bama:RBAU_2222
ko:K01657	bama:RBAU_2223
ko:K06208	bama:RBAU_2224
ko:K01735	bama:RBAU_2225
ko:K01736	bama:RBAU_2226
ko:K00940	bama:RBAU_2228
ko:K03183	bama:RBAU_2230
ko:K06285	bama:RBAU_2232
ko:K01495	bama:RBAU_2233
ko:K03530	bama:RBAU_2234
ko:K05916	bama:RBAU_2933
ko:K06153	bama:RBAU_2950
ko:K05520	bama:RBAU_2953
ko:K00686	bama:RBAU_2958
ko:K00459	bama:RBAU_2960
ko:K06973	bama:RBAU_2964
ko:K10716	bama:RBAU_2967
ko:K01810	bama:RBAU_2970
ko:K09779	bama:RBAU_2976
ko:K10907	bama:RBAU_2978
ko:K14155	bama:RBAU_2982
ko:K02759	bama:RBAU_3717
ko:K02761	bama:RBAU_3718
ko:K01223	bama:RBAU_3719
ko:K00847	bama:RBAU_3720
ko:K01809	bama:RBAU_3721
ko:K03781	bama:RBAU_3723
ko:K01442	bama:RBAU_3724
ko:K03457	bama:RBAU_3725
ko:K00426	bama:RBAU_3729
ko:K00425	bama:RBAU_3730
ko:K00563	bama:RBAU_3742
ko:K16323	bama:RBAU_3743
ko:K03781	bama:RBAU_3746
ko:K03300	bama:RBAU_3747
ko:K09817	bama:RBAU_0284
ko:K09816	bama:RBAU_0285
ko:K05795	bama:RBAU_0288
ko:K05795	bama:RBAU_0289
ko:K08369	bama:RBAU_0293
ko:K02000	bama:RBAU_0294
ko:K02001	bama:RBAU_0295
ko:K02002	bama:RBAU_0296
ko:K14665	bama:RBAU_0297
ko:K09190	bama:RBAU_0305
ko:K09967	bama:RBAU_0307
ko:K15652	bama:RBAU_0311
ko:K00891	bama:RBAU_0313
ko:K01060	bama:RBAU_0315
ko:K07074	bama:RBAU_0316
ko:K00318	bama:RBAU_0318
ko:K13542	bama:RBAU_0323
ko:K00363	bama:RBAU_0324
ko:K00362	bama:RBAU_0325
ko:K00372	bama:RBAU_0326
ko:K00362	bama:RBAU_0327
ko:K02575	bama:RBAU_0328
ko:K01223	bama:RBAU_0333
ko:K00611	bama:RBAU_1085
ko:K05519	bama:RBAU_1090
ko:K02254	bama:RBAU_1091
ko:K00648	bama:RBAU_1093
ko:K09458	bama:RBAU_1094
ko:K02034	bama:RBAU_1100
ko:K01867	bama:RBAU_1102
