ko:K22617	bsuc:BSSP2_I1954
ko:K07498	bsuc:BSSP2_II1300
ko:K13895	bsuc:BSSP2_I0001
ko:K13894	bsuc:BSSP2_I0002
ko:K13893	bsuc:BSSP2_I0003
ko:K13893	bsuc:BSSP2_I0004
ko:K01999	bsuc:BSSP2_I0007
ko:K13766	bsuc:BSSP2_I0008
ko:K01640	bsuc:BSSP2_I0009
ko:K01968	bsuc:BSSP2_I0010
ko:K01969	bsuc:BSSP2_I0011
ko:K00253	bsuc:BSSP2_I0012
ko:K01907	bsuc:BSSP2_I0014
ko:K01907	bsuc:BSSP2_I0015
ko:K00800	bsuc:BSSP2_I0020
ko:K00945	bsuc:BSSP2_I0021
ko:K02945	bsuc:BSSP2_I0023
ko:K06187	bsuc:BSSP2_I0027
ko:K09747	bsuc:BSSP2_I0028
ko:K02343	bsuc:BSSP2_I0029
ko:K03426	bsuc:BSSP2_I0031
ko:K04518	bsuc:BSSP2_I0032
ko:K00979	bsuc:BSSP2_I0033
ko:K08738	bsuc:BSSP2_I0034
ko:K02297	bsuc:BSSP2_I0037
ko:K02298	bsuc:BSSP2_I0038
ko:K02299	bsuc:BSSP2_I0039
ko:K02300	bsuc:BSSP2_I0040
ko:K07278	bsuc:BSSP2_I0042
ko:K09800	bsuc:BSSP2_I0043
ko:K02200	bsuc:BSSP2_I0618
ko:K02197	bsuc:BSSP2_I0619
ko:K02198	bsuc:BSSP2_I0620
ko:K02200	bsuc:BSSP2_I0621
ko:K00982	bsuc:BSSP2_I0625
ko:K07716	bsuc:BSSP2_I0627
ko:K01256	bsuc:BSSP2_I0629
ko:K00311	bsuc:BSSP2_I0633
ko:K01241	bsuc:BSSP2_I0635
ko:K07126	bsuc:BSSP2_I0641
ko:K00817	bsuc:BSSP2_I0645
ko:K08309	bsuc:BSSP2_I0653
ko:K01714	bsuc:BSSP2_I0656
ko:K03664	bsuc:BSSP2_I0657
ko:K03060	bsuc:BSSP2_I0661
ko:K00762	bsuc:BSSP2_I0663
ko:K08223	bsuc:BSSP2_I0666
ko:K09928	bsuc:BSSP2_I0668
ko:K00997	bsuc:BSSP2_I0669
ko:K03100	bsuc:BSSP2_I0670
ko:K03685	bsuc:BSSP2_I0671
ko:K03584	bsuc:BSSP2_I0673
ko:K06980	bsuc:BSSP2_I0676
ko:K01465	bsuc:BSSP2_I0677
ko:K06895	bsuc:BSSP2_I0683
ko:K01883	bsuc:BSSP2_I0686
ko:K01649	bsuc:BSSP2_I0687
ko:K05786	bsuc:BSSP2_I0688
ko:K02528	bsuc:BSSP2_I0690
ko:K00097	bsuc:BSSP2_I0691
ko:K03771	bsuc:BSSP2_I0692
ko:K04744	bsuc:BSSP2_I0693
ko:K11720	bsuc:BSSP2_I0694
ko:K07091	bsuc:BSSP2_I0695
ko:K01255	bsuc:BSSP2_I0697
ko:K02339	bsuc:BSSP2_I0698
ko:K06158	bsuc:BSSP2_I0700
ko:K00940	bsuc:BSSP2_I0702
ko:K09914	bsuc:BSSP2_I0703
ko:K03635	bsuc:BSSP2_I0704
ko:K03636	bsuc:BSSP2_I0705
ko:K03703	bsuc:BSSP2_I0707
ko:K16079	bsuc:BSSP2_I0710
ko:K00799	bsuc:BSSP2_I0711
ko:K01166	bsuc:BSSP2_I0712
ko:K07115	bsuc:BSSP2_I0715
ko:K11175	bsuc:BSSP2_I0722
ko:K01933	bsuc:BSSP2_I0723
ko:K01784	bsuc:BSSP2_I0727
ko:K03303	bsuc:BSSP2_I0732
ko:K01760	bsuc:BSSP2_I0750
ko:K09969	bsuc:BSSP2_I0752
ko:K09970	bsuc:BSSP2_I0753
ko:K09971	bsuc:BSSP2_I0754
ko:K09972	bsuc:BSSP2_I0755
ko:K00480	bsuc:BSSP2_I0756
ko:K00937	bsuc:BSSP2_I0758
ko:K01524	bsuc:BSSP2_I0759
ko:K03684	bsuc:BSSP2_I0760
ko:K01876	bsuc:BSSP2_I0761
ko:K02621	bsuc:BSSP2_I0763
ko:K01698	bsuc:BSSP2_I0766
ko:K00600	bsuc:BSSP2_I0772
ko:K07738	bsuc:BSSP2_I0773
ko:K11752	bsuc:BSSP2_I0774
ko:K00793	bsuc:BSSP2_I0775
ko:K00794	bsuc:BSSP2_I0776
ko:K03625	bsuc:BSSP2_I0777
ko:K15987	bsuc:BSSP2_I0778
ko:K17662	bsuc:BSSP2_I0780
ko:K03621	bsuc:BSSP2_I0782
ko:K00648	bsuc:BSSP2_I0783
ko:K04764	bsuc:BSSP2_I0784
ko:K11741	bsuc:BSSP2_I0787
ko:K01991	bsuc:BSSP2_I0790
ko:K02259	bsuc:BSSP2_I0797
ko:K00145	bsuc:BSSP2_I0798
ko:K01480	bsuc:BSSP2_I0799
ko:K02996	bsuc:BSSP2_I0801
ko:K02871	bsuc:BSSP2_I0802
ko:K00330	bsuc:BSSP2_I0814
ko:K00331	bsuc:BSSP2_I0815
ko:K00332	bsuc:BSSP2_I0816
ko:K00333	bsuc:BSSP2_I0817
ko:K00334	bsuc:BSSP2_I0818
ko:K00335	bsuc:BSSP2_I0819
ko:K00336	bsuc:BSSP2_I0820
ko:K00337	bsuc:BSSP2_I0821
ko:K00338	bsuc:BSSP2_I0822
ko:K00339	bsuc:BSSP2_I0823
ko:K00340	bsuc:BSSP2_I0824
ko:K00341	bsuc:BSSP2_I0825
ko:K00342	bsuc:BSSP2_I0826
ko:K00343	bsuc:BSSP2_I0827
ko:K03524	bsuc:BSSP2_I0828
ko:K12574	bsuc:BSSP2_I0829
ko:K05606	bsuc:BSSP2_I0830
ko:K01881	bsuc:BSSP2_I0833
ko:K09808	bsuc:BSSP2_I0834
ko:K09810	bsuc:BSSP2_I0835
ko:K02337	bsuc:BSSP2_I0836
ko:K02986	bsuc:BSSP2_I0840
ko:K14058	bsuc:BSSP2_I0841
ko:K07552	bsuc:BSSP2_I0843
ko:K07390	bsuc:BSSP2_I0844
ko:K01952	bsuc:BSSP2_I0846
ko:K01952	bsuc:BSSP2_I0849
ko:K01952	bsuc:BSSP2_I0850
ko:K01923	bsuc:BSSP2_I0851
ko:K02510	bsuc:BSSP2_I0854
ko:K07002	bsuc:BSSP2_I0855
ko:K07104	bsuc:BSSP2_I0856
ko:K01756	bsuc:BSSP2_I0857
ko:K01783	bsuc:BSSP2_I0858
ko:K02517	bsuc:BSSP2_I0859
ko:K09458	bsuc:BSSP2_I0861
ko:K09458	bsuc:BSSP2_I0862
ko:K01785	bsuc:BSSP2_I0866
ko:K00874	bsuc:BSSP2_I0867
ko:K06162	bsuc:BSSP2_I0869
ko:K00344	bsuc:BSSP2_II0533
ko:K01662	bsuc:BSSP2_I0451
ko:K06442	bsuc:BSSP2_I0452
ko:K03215	bsuc:BSSP2_I0453
ko:K06966	bsuc:BSSP2_I0454
ko:K03529	bsuc:BSSP2_I0509
ko:K16264	bsuc:BSSP2_I0510
ko:K06996	bsuc:BSSP2_I0511
ko:K01006	bsuc:BSSP2_I0512
ko:K03523	bsuc:BSSP2_I0520
ko:K01483	bsuc:BSSP2_I0521
ko:K07127	bsuc:BSSP2_I0522
ko:K01711	bsuc:BSSP2_I0535
ko:K01840	bsuc:BSSP2_I0548
ko:K00971	bsuc:BSSP2_I0549
ko:K12995	bsuc:BSSP2_I0551
ko:K10441	bsuc:BSSP2_I0552
ko:K10440	bsuc:BSSP2_I0553
ko:K10439	bsuc:BSSP2_I0554
ko:K01805	bsuc:BSSP2_I0557
ko:K00854	bsuc:BSSP2_I0558
ko:K02529	bsuc:BSSP2_I0559
ko:K01759	bsuc:BSSP2_I0051
ko:K03593	bsuc:BSSP2_I0052
ko:K01835	bsuc:BSSP2_I0053
ko:K06889	bsuc:BSSP2_I0055
ko:K16165	bsuc:BSSP2_I0057
ko:K11068	bsuc:BSSP2_I0062
ko:K14162	bsuc:BSSP2_I0063
ko:K14162	bsuc:BSSP2_I0064
ko:K14161	bsuc:BSSP2_I0065
ko:K14160	bsuc:BSSP2_I0066
ko:K19232	bsuc:BSSP2_I0067
ko:K01940	bsuc:BSSP2_I0069
ko:K06941	bsuc:BSSP2_I0073
ko:K01724	bsuc:BSSP2_I0076
ko:K01975	bsuc:BSSP2_I0078
ko:K10804	bsuc:BSSP2_I0079
ko:K02003	bsuc:BSSP2_I0080
ko:K02004	bsuc:BSSP2_I0081
ko:K06890	bsuc:BSSP2_I0082
ko:K03823	bsuc:BSSP2_I0083
ko:K01681	bsuc:BSSP2_I0088
ko:K02193	bsuc:BSSP2_I0090
ko:K02194	bsuc:BSSP2_I0091
ko:K02195	bsuc:BSSP2_I0092
ko:K02196	bsuc:BSSP2_I0093
ko:K02199	bsuc:BSSP2_I0094
ko:K01687	bsuc:BSSP2_I0095
ko:K11719	bsuc:BSSP2_I0152
ko:K09774	bsuc:BSSP2_I0153
ko:K06861	bsuc:BSSP2_I0154
ko:K03092	bsuc:BSSP2_I0155
ko:K02806	bsuc:BSSP2_I0159
ko:K10773	bsuc:BSSP2_I0163
ko:K06203	bsuc:BSSP2_I0164
ko:K03687	bsuc:BSSP2_I0168
ko:K03705	bsuc:BSSP2_I0169
ko:K00989	bsuc:BSSP2_I0171
ko:K02428	bsuc:BSSP2_I0173
ko:K07056	bsuc:BSSP2_I0175
ko:K07460	bsuc:BSSP2_I0176
ko:K02302	bsuc:BSSP2_I0178
ko:K00381	bsuc:BSSP2_I0180
ko:K00390	bsuc:BSSP2_I0181
ko:K00567	bsuc:BSSP2_I0184
ko:K00548	bsuc:BSSP2_I0187
ko:K07782	bsuc:BSSP2_I0188
ko:K16871	bsuc:BSSP2_I0189
ko:K00957	bsuc:BSSP2_I0190
ko:K00955	bsuc:BSSP2_I0191
ko:K01082	bsuc:BSSP2_I0192
ko:K02444	bsuc:BSSP2_I0196
ko:K00111	bsuc:BSSP2_I0197
ko:K00138	bsuc:BSSP2_I0199
ko:K13953	bsuc:BSSP2_I0200
ko:K09959	bsuc:BSSP2_I0201
ko:K09862	bsuc:BSSP2_I0268
ko:K06287	bsuc:BSSP2_I0269
ko:K02518	bsuc:BSSP2_I0270
ko:K00013	bsuc:BSSP2_I0273
ko:K00790	bsuc:BSSP2_I0275
ko:K03190	bsuc:BSSP2_I0285
ko:K01430	bsuc:BSSP2_I0286
ko:K01429	bsuc:BSSP2_I0288
ko:K01428	bsuc:BSSP2_I0289
ko:K03187	bsuc:BSSP2_I0290
ko:K03188	bsuc:BSSP2_I0291
ko:K03189	bsuc:BSSP2_I0292
ko:K01464	bsuc:BSSP2_I0296
ko:K06016	bsuc:BSSP2_I0297
ko:K17723	bsuc:BSSP2_I0300
ko:K01810	bsuc:BSSP2_I0303
ko:K06987	bsuc:BSSP2_I0304
ko:K01091	bsuc:BSSP2_I0305
ko:K03327	bsuc:BSSP2_I0359
ko:K02480	bsuc:BSSP2_I0361
ko:K14977	bsuc:BSSP2_I0366
ko:K13481	bsuc:BSSP2_I0369
ko:K13481	bsuc:BSSP2_I0370
ko:K13482	bsuc:BSSP2_I0371
ko:K07402	bsuc:BSSP2_I0372
ko:K01487	bsuc:BSSP2_I0375
ko:K01533	bsuc:BSSP2_I0378
ko:K00406	bsuc:BSSP2_I0381
ko:K00407	bsuc:BSSP2_I0382
ko:K00405	bsuc:BSSP2_I0383
ko:K00404	bsuc:BSSP2_I0384
ko:K10778	bsuc:BSSP2_I0389
ko:K17938	bsuc:BSSP2_I0393
ko:K03977	bsuc:BSSP2_I0396
ko:K04046	bsuc:BSSP2_I0397
ko:K02116	bsuc:BSSP2_I0399
ko:K02108	bsuc:BSSP2_I0400
ko:K02110	bsuc:BSSP2_I0401
ko:K02109	bsuc:BSSP2_I0402
ko:K02109	bsuc:BSSP2_I0403
ko:K03470	bsuc:BSSP2_I0404
ko:K06147	bsuc:BSSP2_I0458
ko:K01613	bsuc:BSSP2_I0459
ko:K17103	bsuc:BSSP2_I0460
ko:K00764	bsuc:BSSP2_I0462
ko:K03558	bsuc:BSSP2_I0463
ko:K04485	bsuc:BSSP2_I0464
ko:K00574	bsuc:BSSP2_I0466
ko:K02939	bsuc:BSSP2_I0467
ko:K02963	bsuc:BSSP2_I0469
ko:K02990	bsuc:BSSP2_I0470
ko:K00645	bsuc:BSSP2_I0471
ko:K00059	bsuc:BSSP2_I0472
ko:K02078	bsuc:BSSP2_I0473
ko:K09458	bsuc:BSSP2_I0474
ko:K07082	bsuc:BSSP2_I0475
ko:K00942	bsuc:BSSP2_I0477
ko:K03568	bsuc:BSSP2_I0478
ko:K02275	bsuc:BSSP2_I0480
ko:K02274	bsuc:BSSP2_I0481
ko:K02258	bsuc:BSSP2_I0484
ko:K02276	bsuc:BSSP2_I0485
ko:K14998	bsuc:BSSP2_I0487
ko:K03527	bsuc:BSSP2_I0488
ko:K02204	bsuc:BSSP2_I0489
ko:K03469	bsuc:BSSP2_I0490
ko:K07735	bsuc:BSSP2_I0493
ko:K03790	bsuc:BSSP2_I0495
ko:K01733	bsuc:BSSP2_I0497
ko:K03281	bsuc:BSSP2_I0502
ko:K13581	bsuc:BSSP2_I0503
ko:K01560	bsuc:BSSP2_I0504
ko:K03575	bsuc:BSSP2_I0505
ko:K02167	bsuc:BSSP2_I0563
ko:K07341	bsuc:BSSP2_I0566
ko:K03284	bsuc:BSSP2_I0568
ko:K03449	bsuc:BSSP2_I0570
ko:K06915	bsuc:BSSP2_I0572
ko:K01560	bsuc:BSSP2_I0574
ko:K04564	bsuc:BSSP2_I0575
ko:K01354	bsuc:BSSP2_I0577
ko:K02433	bsuc:BSSP2_I0583
ko:K02426	bsuc:BSSP2_I0584
ko:K11357	bsuc:BSSP2_I0586
ko:K05366	bsuc:BSSP2_I0592
ko:K02048	bsuc:BSSP2_I0105
ko:K02046	bsuc:BSSP2_I0106
ko:K02047	bsuc:BSSP2_I0107
ko:K02045	bsuc:BSSP2_I0108
ko:K13688	bsuc:BSSP2_I0109
ko:K00763	bsuc:BSSP2_I0110
ko:K00847	bsuc:BSSP2_I0113
ko:K05366	bsuc:BSSP2_I0115
ko:K16079	bsuc:BSSP2_I0117
ko:K16079	bsuc:BSSP2_I0118
ko:K03684	bsuc:BSSP2_I0119
ko:K05592	bsuc:BSSP2_I0122
ko:K02470	bsuc:BSSP2_I0123
ko:K01070	bsuc:BSSP2_I0125
ko:K02348	bsuc:BSSP2_I0127
ko:K00121	bsuc:BSSP2_I0128
ko:K03579	bsuc:BSSP2_I0130
ko:K15011	bsuc:BSSP2_I0131
ko:K15012	bsuc:BSSP2_I0134
ko:K01867	bsuc:BSSP2_I0139
ko:K03980	bsuc:BSSP2_I0140
ko:K00990	bsuc:BSSP2_I0141
ko:K00029	bsuc:BSSP2_I0142
ko:K00029	bsuc:BSSP2_I0143
ko:K03555	bsuc:BSSP2_I0144
ko:K03101	bsuc:BSSP2_I0146
ko:K03437	bsuc:BSSP2_I0147
ko:K06969	bsuc:BSSP2_I0148
ko:K05788	bsuc:BSSP2_I0150
ko:K04773	bsuc:BSSP2_I0151
ko:K02529	bsuc:BSSP2_I0202
ko:K06147	bsuc:BSSP2_I0203
ko:K15599	bsuc:BSSP2_I0206
ko:K03707	bsuc:BSSP2_I0207
ko:K15598	bsuc:BSSP2_I0208
ko:K00788	bsuc:BSSP2_I0209
ko:K03149	bsuc:BSSP2_I0210
ko:K03154	bsuc:BSSP2_I0211
ko:K03153	bsuc:BSSP2_I0212
ko:K00941	bsuc:BSSP2_I0213
ko:K05846	bsuc:BSSP2_I0218
ko:K05847	bsuc:BSSP2_I0219
ko:K05846	bsuc:BSSP2_I0220
ko:K05845	bsuc:BSSP2_I0221
ko:K00262	bsuc:BSSP2_I0223
ko:K00303	bsuc:BSSP2_I0224
ko:K02027	bsuc:BSSP2_I0230
ko:K02025	bsuc:BSSP2_I0231
ko:K02026	bsuc:BSSP2_I0232
ko:K10112	bsuc:BSSP2_I0233
ko:K03534	bsuc:BSSP2_I0235
ko:K18335	bsuc:BSSP2_I0237
ko:K18334	bsuc:BSSP2_I0239
ko:K02395	bsuc:BSSP2_I0251
ko:K01897	bsuc:BSSP2_I0307
ko:K03577	bsuc:BSSP2_I0308
ko:K03585	bsuc:BSSP2_I0309
ko:K18138	bsuc:BSSP2_I0310
ko:K02030	bsuc:BSSP2_I0312
ko:K07636	bsuc:BSSP2_I0317
ko:K13583	bsuc:BSSP2_I0318
ko:K00611	bsuc:BSSP2_I0320
ko:K04083	bsuc:BSSP2_I0321
ko:K06195	bsuc:BSSP2_I0322
ko:K10764	bsuc:BSSP2_I0323
ko:K01494	bsuc:BSSP2_I0324
ko:K00254	bsuc:BSSP2_I0329
ko:K01259	bsuc:BSSP2_I0332
ko:K03282	bsuc:BSSP2_I0336
ko:K00643	bsuc:BSSP2_I0337
ko:K06518	bsuc:BSSP2_I0343
ko:K01918	bsuc:BSSP2_I0349
ko:K00606	bsuc:BSSP2_I0350
ko:K00528	bsuc:BSSP2_I0351
ko:K13747	bsuc:BSSP2_I0354
ko:K00919	bsuc:BSSP2_I0409
ko:K03313	bsuc:BSSP2_I0412
ko:K02523	bsuc:BSSP2_I0416
ko:K01878	bsuc:BSSP2_I0418
ko:K01879	bsuc:BSSP2_I0420
ko:K07566	bsuc:BSSP2_I0421
ko:K01945	bsuc:BSSP2_I0429
ko:K03179	bsuc:BSSP2_I0430
ko:K00275	bsuc:BSSP2_I0431
ko:K00208	bsuc:BSSP2_I0434
ko:K03704	bsuc:BSSP2_I0437
ko:K09778	bsuc:BSSP2_I0440
ko:K01736	bsuc:BSSP2_I0443
ko:K14652	bsuc:BSSP2_I0444
ko:K03602	bsuc:BSSP2_I0446
ko:K06911	bsuc:BSSP2_I0450
ko:K07270	bsuc:BSSP2_I1625
ko:K07289	bsuc:BSSP2_I1628
ko:K11074	bsuc:BSSP2_I1629
ko:K11075	bsuc:BSSP2_I1630
ko:K11076	bsuc:BSSP2_I1631
ko:K11073	bsuc:BSSP2_I1632
ko:K07110	bsuc:BSSP2_I1634
ko:K01637	bsuc:BSSP2_I1635
ko:K00076	bsuc:BSSP2_I1643
ko:K16079	bsuc:BSSP2_I1647
ko:K05879	bsuc:BSSP2_I1650
ko:K05878	bsuc:BSSP2_I1651
ko:K05879	bsuc:BSSP2_I1652
ko:K05878	bsuc:BSSP2_I1653
ko:K17205	bsuc:BSSP2_I1655
ko:K17206	bsuc:BSSP2_I1656
ko:K17207	bsuc:BSSP2_I1657
ko:K03695	bsuc:BSSP2_I1672
ko:K02493	bsuc:BSSP2_I1675
ko:K00058	bsuc:BSSP2_II0416
ko:K01462	bsuc:BSSP2_II0417
ko:K09781	bsuc:BSSP2_II0418
ko:K07112	bsuc:BSSP2_II0420
ko:K07112	bsuc:BSSP2_II0421
ko:K01993	bsuc:BSSP2_II0426
ko:K01990	bsuc:BSSP2_II0427
ko:K01990	bsuc:BSSP2_II0428
ko:K02050	bsuc:BSSP2_II0431
ko:K02049	bsuc:BSSP2_II0432
ko:K02051	bsuc:BSSP2_II0433
ko:K03885	bsuc:BSSP2_II0443
ko:K06996	bsuc:BSSP2_II0445
ko:K03310	bsuc:BSSP2_II0447
ko:K03310	bsuc:BSSP2_II0448
ko:K00651	bsuc:BSSP2_II0450
ko:K07273	bsuc:BSSP2_II0451
ko:K00648	bsuc:BSSP2_II0453
ko:K00833	bsuc:BSSP2_II0454
ko:K01935	bsuc:BSSP2_II0455
ko:K00652	bsuc:BSSP2_II0456
ko:K01012	bsuc:BSSP2_II0457
ko:K03831	bsuc:BSSP2_II0459
ko:K07078	bsuc:BSSP2_II0460
ko:K05559	bsuc:BSSP2_II0462
ko:K05560	bsuc:BSSP2_II0463
ko:K05561	bsuc:BSSP2_II0464
ko:K05562	bsuc:BSSP2_II0465
ko:K05563	bsuc:BSSP2_II0466
ko:K05564	bsuc:BSSP2_II0467
ko:K16013	bsuc:BSSP2_II0471
ko:K16012	bsuc:BSSP2_II0472
ko:K00425	bsuc:BSSP2_II0473
ko:K00426	bsuc:BSSP2_II0474
ko:K03710	bsuc:BSSP2_II0476
ko:K18676	bsuc:BSSP2_II0477
ko:K10117	bsuc:BSSP2_II0478
ko:K10118	bsuc:BSSP2_II0480
ko:K10119	bsuc:BSSP2_II0481
ko:K10111	bsuc:BSSP2_II0483
ko:K00166	bsuc:BSSP2_II0484
ko:K00167	bsuc:BSSP2_II0485
ko:K09699	bsuc:BSSP2_II0486
ko:K00382	bsuc:BSSP2_II0487
ko:K14998	bsuc:BSSP2_II0488
ko:K03466	bsuc:BSSP2_II0489
ko:K01266	bsuc:BSSP2_II0490
ko:K08369	bsuc:BSSP2_II0491
ko:K03919	bsuc:BSSP2_II0492
ko:K10823	bsuc:BSSP2_II0493
ko:K15583	bsuc:BSSP2_II0493
ko:K15582	bsuc:BSSP2_II0494
ko:K15581	bsuc:BSSP2_II0495
ko:K15580	bsuc:BSSP2_II0496
ko:K15580	bsuc:BSSP2_II0497
ko:K08678	bsuc:BSSP2_II0499
ko:K12448	bsuc:BSSP2_II0500
ko:K00012	bsuc:BSSP2_II0504
ko:K17315	bsuc:BSSP2_II0640
ko:K00794	bsuc:BSSP2_II0642
ko:K02379	bsuc:BSSP2_II0643
ko:K02011	bsuc:BSSP2_II0648
ko:K02012	bsuc:BSSP2_II0649
ko:K02010	bsuc:BSSP2_II0650
ko:K04565	bsuc:BSSP2_II0653
ko:K14588	bsuc:BSSP2_II0654
ko:K04756	bsuc:BSSP2_II0657
ko:K03386	bsuc:BSSP2_II0658
ko:K04761	bsuc:BSSP2_II0659
ko:K00010	bsuc:BSSP2_II0661
ko:K03338	bsuc:BSSP2_II0665
ko:K03338	bsuc:BSSP2_II0666
ko:K01872	bsuc:BSSP2_I1221
ko:K07478	bsuc:BSSP2_I1226
ko:K02879	bsuc:BSSP2_I1228
ko:K03040	bsuc:BSSP2_I1230
ko:K02948	bsuc:BSSP2_I1231
ko:K02952	bsuc:BSSP2_I1232
ko:K00939	bsuc:BSSP2_I1234
ko:K03076	bsuc:BSSP2_I1235
ko:K02876	bsuc:BSSP2_I1236
ko:K02907	bsuc:BSSP2_I1237
ko:K02988	bsuc:BSSP2_I1238
ko:K02881	bsuc:BSSP2_I1239
ko:K02933	bsuc:BSSP2_I1240
ko:K02994	bsuc:BSSP2_I1241
ko:K02954	bsuc:BSSP2_I1242
ko:K02931	bsuc:BSSP2_I1243
ko:K02895	bsuc:BSSP2_I1244
ko:K02874	bsuc:BSSP2_I1245
ko:K02961	bsuc:BSSP2_I1246
ko:K02904	bsuc:BSSP2_I1247
ko:K02878	bsuc:BSSP2_I1248
ko:K02982	bsuc:BSSP2_I1249
ko:K02890	bsuc:BSSP2_I1250
ko:K02965	bsuc:BSSP2_I1251
ko:K02886	bsuc:BSSP2_I1252
ko:K02892	bsuc:BSSP2_I1253
ko:K02926	bsuc:BSSP2_I1254
ko:K02906	bsuc:BSSP2_I1255
ko:K02946	bsuc:BSSP2_I1256
ko:K02358	bsuc:BSSP2_I1257
ko:K02355	bsuc:BSSP2_I1258
ko:K02992	bsuc:BSSP2_I1259
ko:K02950	bsuc:BSSP2_I1260
ko:K03046	bsuc:BSSP2_I1264
ko:K03043	bsuc:BSSP2_I1265
ko:K02935	bsuc:BSSP2_I1266
ko:K02864	bsuc:BSSP2_I1267
ko:K03824	bsuc:BSSP2_I1574
ko:K00970	bsuc:BSSP2_I1577
ko:K09986	bsuc:BSSP2_I1579
ko:K03924	bsuc:BSSP2_I1580
ko:K07393	bsuc:BSSP2_I1585
ko:K07275	bsuc:BSSP2_I1586
ko:K01649	bsuc:BSSP2_I1589
ko:K13503	bsuc:BSSP2_I1592
ko:K03719	bsuc:BSSP2_I1594
ko:K02002	bsuc:BSSP2_I1600
ko:K02001	bsuc:BSSP2_I1601
ko:K02000	bsuc:BSSP2_I1602
ko:K12372	bsuc:BSSP2_I1603
ko:K12370	bsuc:BSSP2_I1604
ko:K12369	bsuc:BSSP2_I1605
ko:K12368	bsuc:BSSP2_I1606
ko:K12368	bsuc:BSSP2_I1607
ko:K00566	bsuc:BSSP2_I1612
ko:K06975	bsuc:BSSP2_I1615
ko:K13588	bsuc:BSSP2_I1618
ko:K13584	bsuc:BSSP2_I1619
ko:K02034	bsuc:BSSP2_II0366
ko:K02033	bsuc:BSSP2_II0367
ko:K02035	bsuc:BSSP2_II0368
ko:K13967	bsuc:BSSP2_II0370
ko:K17948	bsuc:BSSP2_II0371
ko:K01991	bsuc:BSSP2_II0377
ko:K02377	bsuc:BSSP2_II0378
ko:K01711	bsuc:BSSP2_II0379
ko:K16079	bsuc:BSSP2_II0383
ko:K03818	bsuc:BSSP2_II0384
ko:K02851	bsuc:BSSP2_II0389
ko:K01845	bsuc:BSSP2_II0395
ko:K01790	bsuc:BSSP2_II0399
ko:K00978	bsuc:BSSP2_II0401
ko:K00864	bsuc:BSSP2_II0405
ko:K08224	bsuc:BSSP2_II0407
ko:K07305	bsuc:BSSP2_II0409
ko:K00626	bsuc:BSSP2_II0411
ko:K01895	bsuc:BSSP2_II0413
ko:K03336	bsuc:BSSP2_II0667
ko:K03336	bsuc:BSSP2_II0668
ko:K03335	bsuc:BSSP2_II0669
ko:K03337	bsuc:BSSP2_II0670
ko:K01092	bsuc:BSSP2_II0671
ko:K02010	bsuc:BSSP2_II0672
ko:K02011	bsuc:BSSP2_II0673
ko:K02012	bsuc:BSSP2_II0674
ko:K13821	bsuc:BSSP2_II0675
ko:K03719	bsuc:BSSP2_II0676
ko:K00281	bsuc:BSSP2_II0677
ko:K02437	bsuc:BSSP2_II0678
ko:K00605	bsuc:BSSP2_II0679
ko:K01915	bsuc:BSSP2_II0684
ko:K06446	bsuc:BSSP2_II1052
