ko:K14227	bbrd:BBBR_tRNA02
ko:K03046	bbrd:BBBR_0423
ko:K03657	bbrd:BBBR_0429
ko:K00215	bbrd:BBBR_0431
ko:K01714	bbrd:BBBR_0432
ko:K12574	bbrd:BBBR_0433
ko:K01256	bbrd:BBBR_0434
ko:K03431	bbrd:BBBR_0435
ko:K01462	bbrd:BBBR_0436
ko:K02836	bbrd:BBBR_0439
ko:K09812	bbrd:BBBR_0440
ko:K09811	bbrd:BBBR_0441
ko:K03664	bbrd:BBBR_0443
ko:K02030	bbrd:BBBR_0444
ko:K02030	bbrd:BBBR_0445
ko:K02029	bbrd:BBBR_0446
ko:K02028	bbrd:BBBR_0447
ko:K07089	bbrd:BBBR_0504
ko:K02954	bbrd:BBBR_0508
ko:K02077	bbrd:BBBR_0509
ko:K00128	bbrd:BBBR_0511
ko:K01945	bbrd:BBBR_0512
ko:K01933	bbrd:BBBR_0513
ko:K00764	bbrd:BBBR_0514
ko:K03502	bbrd:BBBR_0515
ko:K01952	bbrd:BBBR_0526
ko:K01923	bbrd:BBBR_0527
ko:K08289	bbrd:BBBR_0528
ko:K08969	bbrd:BBBR_0529
ko:K01620	bbrd:BBBR_0531
ko:K03453	bbrd:BBBR_0532
ko:K02950	bbrd:BBBR_0533
ko:K02992	bbrd:BBBR_0534
ko:K02355	bbrd:BBBR_0535
ko:K02358	bbrd:BBBR_0536
ko:K06199	bbrd:BBBR_0544
ko:K06199	bbrd:BBBR_0545
ko:K07133	bbrd:BBBR_0548
ko:K07220	bbrd:BBBR_0549
ko:K01126	bbrd:BBBR_0550
ko:K05813	bbrd:BBBR_0551
ko:K05815	bbrd:BBBR_0552
ko:K05814	bbrd:BBBR_0553
ko:K03306	bbrd:BBBR_0554
ko:K02440	bbrd:BBBR_0225
ko:K17686	bbrd:BBBR_0226
ko:K09760	bbrd:BBBR_0228
ko:K01990	bbrd:BBBR_0231
ko:K02435	bbrd:BBBR_0234
ko:K02433	bbrd:BBBR_0235
ko:K02434	bbrd:BBBR_0236
ko:K03628	bbrd:BBBR_0240
ko:K02619	bbrd:BBBR_0241
ko:K10188	bbrd:BBBR_0244
ko:K10189	bbrd:BBBR_0245
ko:K10190	bbrd:BBBR_0246
ko:K07407	bbrd:BBBR_0247
ko:K04092	bbrd:BBBR_0248
ko:K01873	bbrd:BBBR_0250
ko:K10773	bbrd:BBBR_0252
ko:K01507	bbrd:BBBR_0256
ko:K16147	bbrd:BBBR_0257
ko:K00651	bbrd:BBBR_0259
ko:K02108	bbrd:BBBR_0260
ko:K02110	bbrd:BBBR_0261
ko:K02109	bbrd:BBBR_0262
ko:K02113	bbrd:BBBR_0263
ko:K02111	bbrd:BBBR_0264
ko:K02115	bbrd:BBBR_0265
ko:K02112	bbrd:BBBR_0266
ko:K02114	bbrd:BBBR_0267
ko:K07503	bbrd:BBBR_0268
ko:K05838	bbrd:BBBR_0272
ko:K00057	bbrd:BBBR_0277
ko:K02911	bbrd:BBBR_0333
ko:K07040	bbrd:BBBR_0334
ko:K00954	bbrd:BBBR_0336
ko:K19265	bbrd:BBBR_0338
ko:K00763	bbrd:BBBR_0341
ko:K00989	bbrd:BBBR_0342
ko:K02428	bbrd:BBBR_0343
ko:K01810	bbrd:BBBR_0345
ko:K02049	bbrd:BBBR_0346
ko:K02050	bbrd:BBBR_0347
ko:K02884	bbrd:BBBR_0349
ko:K03100	bbrd:BBBR_0350
ko:K03470	bbrd:BBBR_0351
ko:K01897	bbrd:BBBR_0354
ko:K06147	bbrd:BBBR_0357
ko:K02027	bbrd:BBBR_0360
ko:K02025	bbrd:BBBR_0361
ko:K02026	bbrd:BBBR_0362
ko:K12308	bbrd:BBBR_0363
ko:K03322	bbrd:BBBR_0367
ko:K01104	bbrd:BBBR_0371
ko:K02551	bbrd:BBBR_0380
ko:K00820	bbrd:BBBR_0448
ko:K06177	bbrd:BBBR_0449
ko:K02025	bbrd:BBBR_0451
ko:K02026	bbrd:BBBR_0452
ko:K12308	bbrd:BBBR_0453
ko:K02027	bbrd:BBBR_0454
ko:K02027	bbrd:BBBR_0455
ko:K03525	bbrd:BBBR_0456
ko:K02035	bbrd:BBBR_0457
ko:K02033	bbrd:BBBR_0458
ko:K02034	bbrd:BBBR_0459
ko:K01697	bbrd:BBBR_0462
ko:K01739	bbrd:BBBR_0463
ko:K03654	bbrd:BBBR_0464
ko:K07173	bbrd:BBBR_0465
ko:K03294	bbrd:BBBR_0467
ko:K01775	bbrd:BBBR_0468
ko:K01129	bbrd:BBBR_0469
ko:K06215	bbrd:BBBR_0472
ko:K08681	bbrd:BBBR_0473
ko:K02027	bbrd:BBBR_0482
ko:K01182	bbrd:BBBR_0484
ko:K07483	bbrd:BBBR_0485
ko:K15580	bbrd:BBBR_0486
ko:K02003	bbrd:BBBR_0489
ko:K01662	bbrd:BBBR_0492
ko:K01588	bbrd:BBBR_0494
ko:K01589	bbrd:BBBR_0495
ko:K03711	bbrd:BBBR_0496
ko:K02003	bbrd:BBBR_0499
ko:K03711	bbrd:BBBR_0502
ko:K03701	bbrd:BBBR_0558
ko:K07457	bbrd:BBBR_0560
ko:K01607	bbrd:BBBR_0564
ko:K00074	bbrd:BBBR_0567
ko:K00598	bbrd:BBBR_0568
ko:K02069	bbrd:BBBR_0574
ko:K02068	bbrd:BBBR_0575
ko:K02356	bbrd:BBBR_0576
ko:K03625	bbrd:BBBR_0577
ko:K01956	bbrd:BBBR_0578
ko:K01955	bbrd:BBBR_0579
ko:K01591	bbrd:BBBR_0580
ko:K00942	bbrd:BBBR_0581
ko:K02342	bbrd:BBBR_0582
ko:K06999	bbrd:BBBR_0585
ko:K01760	bbrd:BBBR_0586
ko:K07133	bbrd:BBBR_0588
ko:K07133	bbrd:BBBR_0591
ko:K01776	bbrd:BBBR_0593
ko:K01778	bbrd:BBBR_0594
ko:K07053	bbrd:BBBR_0596
ko:K03657	bbrd:BBBR_0599
ko:K07177	bbrd:BBBR_0601
ko:K00099	bbrd:BBBR_0604
ko:K03526	bbrd:BBBR_0605
ko:K03584	bbrd:BBBR_0607
ko:K00806	bbrd:BBBR_0608
ko:K16784	bbrd:BBBR_0612
ko:K01972	bbrd:BBBR_0616
ko:K03593	bbrd:BBBR_0617
ko:K01915	bbrd:BBBR_0618
ko:K00382	bbrd:BBBR_0620
ko:K16925	bbrd:BBBR_0623
ko:K16786	bbrd:BBBR_0624
ko:K16787	bbrd:BBBR_0624
ko:K16785	bbrd:BBBR_0625
ko:K03437	bbrd:BBBR_0626
ko:K01889	bbrd:BBBR_0627
ko:K01890	bbrd:BBBR_0628
ko:K00145	bbrd:BBBR_0630
ko:K00620	bbrd:BBBR_0631
ko:K00930	bbrd:BBBR_0632
ko:K00611	bbrd:BBBR_0634
ko:K03402	bbrd:BBBR_0635
ko:K01940	bbrd:BBBR_0636
ko:K19158	bbrd:BBBR_0638
ko:K07473	bbrd:BBBR_0639
ko:K01755	bbrd:BBBR_0641
ko:K03154	bbrd:BBBR_0642
ko:K03149	bbrd:BBBR_0643
ko:K06950	bbrd:BBBR_0646
ko:K01866	bbrd:BBBR_0649
ko:K06442	bbrd:BBBR_0652
ko:K03499	bbrd:BBBR_0654
ko:K00858	bbrd:BBBR_0656
ko:K03631	bbrd:BBBR_0657
ko:K07979	bbrd:BBBR_0660
ko:K01990	bbrd:BBBR_0661
ko:K01733	bbrd:BBBR_0664
ko:K00147	bbrd:BBBR_0665
ko:K00969	bbrd:BBBR_0667
ko:K01207	bbrd:BBBR_0668
ko:K09118	bbrd:BBBR_0670
ko:K03823	bbrd:BBBR_0671
ko:K01056	bbrd:BBBR_0672
ko:K03723	bbrd:BBBR_0673
ko:K01689	bbrd:BBBR_0675
ko:K09009	bbrd:BBBR_0677
ko:K01524	bbrd:BBBR_0678
ko:K01752	bbrd:BBBR_0680
ko:K03624	bbrd:BBBR_0682
ko:K11068	bbrd:BBBR_0683
ko:K03466	bbrd:BBBR_0686
ko:K00700	bbrd:BBBR_0697
ko:K07736	bbrd:BBBR_0698
ko:K01770	bbrd:BBBR_0699
ko:K02075	bbrd:BBBR_0700
ko:K02074	bbrd:BBBR_0701
ko:K02077	bbrd:BBBR_0702
ko:K01491	bbrd:BBBR_0704
ko:K02945	bbrd:BBBR_0705
ko:K00859	bbrd:BBBR_0706
ko:K03702	bbrd:BBBR_0707
ko:K05794	bbrd:BBBR_0708
ko:K00873	bbrd:BBBR_0709
ko:K01515	bbrd:BBBR_0710
ko:K01214	bbrd:BBBR_0715
ko:K01246	bbrd:BBBR_0719
ko:K00800	bbrd:BBBR_0722
ko:K00925	bbrd:BBBR_0723
ko:K13788	bbrd:BBBR_0724
ko:K02004	bbrd:BBBR_0779
ko:K00286	bbrd:BBBR_0783
ko:K02030	bbrd:BBBR_0784
ko:K02028	bbrd:BBBR_0785
ko:K02029	bbrd:BBBR_0786
ko:K02029	bbrd:BBBR_0787
ko:K06942	bbrd:BBBR_0788
ko:K13653	bbrd:BBBR_0789
ko:K07171	bbrd:BBBR_0796
ko:K08217	bbrd:BBBR_0804
ko:K00688	bbrd:BBBR_0805
ko:K01443	bbrd:BBBR_0806
ko:K02564	bbrd:BBBR_0807
ko:K01792	bbrd:BBBR_0811
ko:K06871	bbrd:BBBR_0814
ko:K07090	bbrd:BBBR_0815
ko:K07090	bbrd:BBBR_0817
ko:K08217	bbrd:BBBR_0820
ko:K03306	bbrd:BBBR_0826
ko:K07220	bbrd:BBBR_0827
ko:K01990	bbrd:BBBR_0830
ko:K03655	bbrd:BBBR_0833
ko:K03596	bbrd:BBBR_0892
ko:K00265	bbrd:BBBR_0898
ko:K00266	bbrd:BBBR_0899
ko:K15580	bbrd:BBBR_0900
ko:K16148	bbrd:BBBR_0903
ko:K02013	bbrd:BBBR_0904
ko:K03564	bbrd:BBBR_0907
ko:K03707	bbrd:BBBR_0912
ko:K06999	bbrd:BBBR_0914
ko:K07442	bbrd:BBBR_0915
ko:K08296	bbrd:BBBR_0916
ko:K00549	bbrd:BBBR_0917
ko:K00297	bbrd:BBBR_0918
ko:K01442	bbrd:BBBR_0919
ko:K00982	bbrd:BBBR_0920
ko:K00609	bbrd:BBBR_0921
ko:K00610	bbrd:BBBR_0922
ko:K01465	bbrd:BBBR_0923
ko:K01591	bbrd:BBBR_0924
ko:K02823	bbrd:BBBR_0925
ko:K17828	bbrd:BBBR_0926
ko:K00762	bbrd:BBBR_0927
ko:K16926	bbrd:BBBR_0937
ko:K11358	bbrd:BBBR_0938
ko:K03701	bbrd:BBBR_0939
ko:K03703	bbrd:BBBR_0940
ko:K00014	bbrd:BBBR_0941
ko:K06958	bbrd:BBBR_0942
ko:K09762	bbrd:BBBR_0943
ko:K00927	bbrd:BBBR_0944
ko:K01803	bbrd:BBBR_0945
ko:K03075	bbrd:BBBR_0946
ko:K00016	bbrd:BBBR_0947
ko:K04127	bbrd:BBBR_1001
ko:K02003	bbrd:BBBR_1011
ko:K02004	bbrd:BBBR_1012
ko:K07473	bbrd:BBBR_1013
ko:K19157	bbrd:BBBR_1014
ko:K03088	bbrd:BBBR_1017
ko:K01992	bbrd:BBBR_1020
ko:K11939	bbrd:BBBR_1024
ko:K01990	bbrd:BBBR_1027
ko:K16235	bbrd:BBBR_1043
ko:K09974	bbrd:BBBR_1048
ko:K01657	bbrd:BBBR_1049
ko:K01496	bbrd:BBBR_1050
ko:K02500	bbrd:BBBR_1051
ko:K05520	bbrd:BBBR_1052
ko:K06941	bbrd:BBBR_1053
ko:K00981	bbrd:BBBR_1054
ko:K00948	bbrd:BBBR_0726
ko:K01951	bbrd:BBBR_0743
ko:K01621	bbrd:BBBR_0744
ko:K04042	bbrd:BBBR_0745
ko:K09710	bbrd:BBBR_0746
ko:K02073	bbrd:BBBR_0749
ko:K02071	bbrd:BBBR_0750
ko:K02072	bbrd:BBBR_0751
ko:K01950	bbrd:BBBR_0753
ko:K00656	bbrd:BBBR_0755
ko:K04069	bbrd:BBBR_0756
ko:K03684	bbrd:BBBR_0758
ko:K03545	bbrd:BBBR_0759
ko:K01358	bbrd:BBBR_0762
ko:K01358	bbrd:BBBR_0763
ko:K03544	bbrd:BBBR_0764
ko:K14155	bbrd:BBBR_0765
ko:K03313	bbrd:BBBR_0766
ko:K06966	bbrd:BBBR_0767
ko:K00240	bbrd:BBBR_0769
ko:K00239	bbrd:BBBR_0770
ko:K04096	bbrd:BBBR_0771
ko:K07391	bbrd:BBBR_0772
ko:K07460	bbrd:BBBR_0773
ko:K00868	bbrd:BBBR_0776
ko:K01740	bbrd:BBBR_0777
ko:K02003	bbrd:BBBR_0778
ko:K05995	bbrd:BBBR_0836
ko:K08281	bbrd:BBBR_0837
ko:K07727	bbrd:BBBR_0841
ko:K03816	bbrd:BBBR_0843
ko:K03657	bbrd:BBBR_0844
ko:K02004	bbrd:BBBR_0846
ko:K02003	bbrd:BBBR_0847
ko:K02986	bbrd:BBBR_0848
ko:K07010	bbrd:BBBR_0849
ko:K01489	bbrd:BBBR_0850
ko:K07473	bbrd:BBBR_0854
ko:K01872	bbrd:BBBR_0859
ko:K07447	bbrd:BBBR_0860
ko:K07082	bbrd:BBBR_0861
ko:K02654	bbrd:BBBR_0862
ko:K01736	bbrd:BBBR_0863
ko:K13829	bbrd:BBBR_0864
ko:K03786	bbrd:BBBR_0865
ko:K01937	bbrd:BBBR_0866
ko:K09014	bbrd:BBBR_0868
ko:K09015	bbrd:BBBR_0869
ko:K09013	bbrd:BBBR_0870
ko:K11717	bbrd:BBBR_0871
ko:K04488	bbrd:BBBR_0872
ko:K00975	bbrd:BBBR_0874
ko:K09761	bbrd:BBBR_0876
ko:K02503	bbrd:BBBR_0877
ko:K07042	bbrd:BBBR_0879
ko:K03595	bbrd:BBBR_0881
ko:K01897	bbrd:BBBR_0882
ko:K00324	bbrd:BBBR_0883
ko:K00324	bbrd:BBBR_0884
ko:K00325	bbrd:BBBR_0885
ko:K08177	bbrd:BBBR_0886
ko:K02897	bbrd:BBBR_0887
ko:K00826	bbrd:BBBR_0888
ko:K02428	bbrd:BBBR_0889
ko:K02968	bbrd:BBBR_0891
ko:K14260	bbrd:BBBR_0949
ko:K03311	bbrd:BBBR_0951
ko:K00616	bbrd:BBBR_0952
ko:K00615	bbrd:BBBR_0953
ko:K03705	bbrd:BBBR_0954
ko:K03686	bbrd:BBBR_0955
ko:K06153	bbrd:BBBR_0957
ko:K01868	bbrd:BBBR_0959
ko:K19710	bbrd:BBBR_0960
ko:K01159	bbrd:BBBR_0962
ko:K03550	bbrd:BBBR_0963
ko:K03551	bbrd:BBBR_0964
ko:K03210	bbrd:BBBR_0965
ko:K00759	bbrd:BBBR_0966
ko:K01903	bbrd:BBBR_0967
ko:K01902	bbrd:BBBR_0968
ko:K00602	bbrd:BBBR_0970
ko:K06188	bbrd:BBBR_0971
ko:K06178	bbrd:BBBR_0972
ko:K03977	bbrd:BBBR_0973
ko:K00963	bbrd:BBBR_0975
ko:K03727	bbrd:BBBR_0978
ko:K01091	bbrd:BBBR_0980
ko:K08744	bbrd:BBBR_0988
ko:K00765	bbrd:BBBR_0989
ko:K01523	bbrd:BBBR_0990
ko:K01783	bbrd:BBBR_0991
ko:K01695	bbrd:BBBR_0993
ko:K01696	bbrd:BBBR_0994
ko:K01151	bbrd:BBBR_0996
ko:K16235	bbrd:BBBR_0997
ko:K02838	bbrd:BBBR_1055
ko:K09903	bbrd:BBBR_1056
ko:K02357	bbrd:BBBR_1057
ko:K02967	bbrd:BBBR_1058
ko:K01462	bbrd:BBBR_1059
ko:K01897	bbrd:BBBR_1060
ko:K00088	bbrd:BBBR_1062
ko:K00031	bbrd:BBBR_1063
ko:K20459	bbrd:BBBR_1071
ko:K20460	bbrd:BBBR_1072
ko:K20461	bbrd:BBBR_1073
ko:K01409	bbrd:BBBR_1078
ko:K03789	bbrd:BBBR_1079
ko:K06925	bbrd:BBBR_1081
ko:K01985	bbrd:BBBR_5SrRNA01
ko:K02340	bbrd:BBBR_1082
ko:K02237	bbrd:BBBR_1084
ko:K01869	bbrd:BBBR_1085
ko:K03284	bbrd:BBBR_1087
ko:K01834	bbrd:BBBR_1088
ko:K07006	bbrd:BBBR_1090
ko:K09704	bbrd:BBBR_1094
ko:K02026	bbrd:BBBR_1100
ko:K02025	bbrd:BBBR_1101
ko:K02027	bbrd:BBBR_1102
ko:K01191	bbrd:BBBR_1103
ko:K01191	bbrd:BBBR_1104
ko:K07560	bbrd:BBBR_1105
ko:K07483	bbrd:BBBR_1108
ko:K07483	bbrd:BBBR_1112
ko:K04095	bbrd:BBBR_1117
ko:K03169	bbrd:BBBR_1123
ko:K03205	bbrd:BBBR_1135
ko:K03496	bbrd:BBBR_1149
ko:K03767	bbrd:BBBR_1157
ko:K00951	bbrd:BBBR_1158
ko:K02469	bbrd:BBBR_1163
ko:K03724	bbrd:BBBR_1166
ko:K00852	bbrd:BBBR_1167
ko:K02470	bbrd:BBBR_1169
ko:K03086	bbrd:BBBR_1170
ko:K13787	bbrd:BBBR_1172
ko:K12132	bbrd:BBBR_1173
ko:K00655	bbrd:BBBR_1174
ko:K00766	bbrd:BBBR_1176
ko:K03070	bbrd:BBBR_1177
ko:K03565	bbrd:BBBR_1179
ko:K03743	bbrd:BBBR_1183
ko:K00995	bbrd:BBBR_1184
ko:K03466	bbrd:BBBR_1185
ko:K04095	bbrd:BBBR_1186
ko:K00791	bbrd:BBBR_1187
ko:K06168	bbrd:BBBR_1188
ko:K07816	bbrd:BBBR_1189
ko:K06890	bbrd:BBBR_1191
ko:K01681	bbrd:BBBR_1194
ko:K12952	bbrd:BBBR_1195
ko:K01142	bbrd:BBBR_1200
ko:K02031	bbrd:BBBR_1201
ko:K02032	bbrd:BBBR_1201
ko:K15582	bbrd:BBBR_1202
ko:K15581	bbrd:BBBR_1203
ko:K15580	bbrd:BBBR_1204
ko:K03733	bbrd:BBBR_1205
ko:K02003	bbrd:BBBR_1206
ko:K02004	bbrd:BBBR_1207
ko:K04517	bbrd:BBBR_1209
ko:K14170	bbrd:BBBR_1210
ko:K06207	bbrd:BBBR_1212
ko:K02003	bbrd:BBBR_1214
ko:K02004	bbrd:BBBR_1215
ko:K03111	bbrd:BBBR_1299
ko:K09159	bbrd:BBBR_1313
ko:K03589	bbrd:BBBR_1316
ko:K01924	bbrd:BBBR_1317
ko:K02563	bbrd:BBBR_1318
ko:K03588	bbrd:BBBR_1319
ko:K01925	bbrd:BBBR_1320
ko:K01000	bbrd:BBBR_1321
ko:K01929	bbrd:BBBR_1322
ko:K03587	bbrd:BBBR_1324
ko:K02529	bbrd:BBBR_1377
ko:K02532	bbrd:BBBR_1378
ko:K01193	bbrd:BBBR_1379
ko:K00886	bbrd:BBBR_1380
ko:K07574	bbrd:BBBR_1385
ko:K08972	bbrd:BBBR_1386
ko:K07478	bbrd:BBBR_1392
ko:K18907	bbrd:BBBR_1395
ko:K06895	bbrd:BBBR_1396
ko:K10007	bbrd:BBBR_1398
ko:K10006	bbrd:BBBR_1399
ko:K10005	bbrd:BBBR_1400
ko:K10008	bbrd:BBBR_1401
ko:K01876	bbrd:BBBR_1404
ko:K01892	bbrd:BBBR_1405
ko:K01470	bbrd:BBBR_1408
ko:K03762	bbrd:BBBR_1409
ko:K01485	bbrd:BBBR_1411
ko:K03696	bbrd:BBBR_1412
ko:K03704	bbrd:BBBR_1416
ko:K02484	bbrd:BBBR_1417
ko:K04077	bbrd:BBBR_1421
ko:K03704	bbrd:BBBR_1422
ko:K03648	bbrd:BBBR_1424
ko:K03924	bbrd:BBBR_1425
ko:K07114	bbrd:BBBR_1429
ko:K03602	bbrd:BBBR_1486
ko:K01897	bbrd:BBBR_1488
ko:K03282	bbrd:BBBR_1489
ko:K01524	bbrd:BBBR_1492
ko:K07458	bbrd:BBBR_1495
ko:K00674	bbrd:BBBR_1498
ko:K01647	bbrd:BBBR_1499
ko:K01265	bbrd:BBBR_1500
ko:K07386	bbrd:BBBR_1502
ko:K03111	bbrd:BBBR_1503
ko:K01881	bbrd:BBBR_1504
ko:K04069	bbrd:BBBR_1505
ko:K13288	bbrd:BBBR_1507
ko:K00088	bbrd:BBBR_1508
ko:K02851	bbrd:BBBR_1509
ko:K01996	bbrd:BBBR_1511
ko:K01995	bbrd:BBBR_1512
ko:K01998	bbrd:BBBR_1513
ko:K01997	bbrd:BBBR_1514
ko:K01999	bbrd:BBBR_1515
ko:K02493	bbrd:BBBR_1517
ko:K02835	bbrd:BBBR_1518
ko:K02909	bbrd:BBBR_1519
ko:K01462	bbrd:BBBR_1522
ko:K00845	bbrd:BBBR_1526
ko:K10805	bbrd:BBBR_1529
ko:K13940	bbrd:BBBR_1531
ko:K00796	bbrd:BBBR_1532
ko:K01495	bbrd:BBBR_1533
ko:K03798	bbrd:BBBR_1534
ko:K00760	bbrd:BBBR_1535
ko:K04075	bbrd:BBBR_1536
ko:K04487	bbrd:BBBR_1217
