ko:K18929	hpu:HPCU_00650
ko:K02419	hpu:HPCU_03680
ko:K04759	hpu:HPCU_03690
ko:K07501	hpu:HPCU_03695
ko:K01028	hpu:HPCU_03720
ko:K01029	hpu:HPCU_03725
ko:K02106	hpu:HPCU_03735
ko:K10856	hpu:HPCU_03755
ko:K00901	hpu:HPCU_03765
ko:K02469	hpu:HPCU_03770
ko:K03701	hpu:HPCU_03795
ko:K03438	hpu:HPCU_03805
ko:K07023	hpu:HPCU_03820
ko:K03092	hpu:HPCU_03830
ko:K06861	hpu:HPCU_03835
ko:K06925	hpu:HPCU_03840
ko:K02343	hpu:HPCU_03845
ko:K06895	hpu:HPCU_03850
ko:K07791	hpu:HPCU_03870
ko:K04075	hpu:HPCU_03890
ko:K01095	hpu:HPCU_03930
ko:K01921	hpu:HPCU_03935
ko:K03978	hpu:HPCU_08025
ko:K09774	hpu:HPCU_08030
ko:K03270	hpu:HPCU_08040
ko:K03642	hpu:HPCU_08045
ko:K08307	hpu:HPCU_08050
ko:K03424	hpu:HPCU_08055
ko:K00793	hpu:HPCU_08060
ko:K04061	hpu:HPCU_08065
ko:K02071	hpu:HPCU_08070
ko:K02072	hpu:HPCU_08075
ko:K03474	hpu:HPCU_08095
ko:K00097	hpu:HPCU_08100
ko:K02392	hpu:HPCU_08110
ko:K03650	hpu:HPCU_07315
ko:K07337	hpu:HPCU_07345
ko:K06178	hpu:HPCU_07355
ko:K02337	hpu:HPCU_07360
ko:K00428	hpu:HPCU_07365
ko:K02065	hpu:HPCU_07385
ko:K02066	hpu:HPCU_07390
ko:K00826	hpu:HPCU_07400
ko:K00943	hpu:HPCU_07430
ko:K00954	hpu:HPCU_07435
ko:K03188	hpu:HPCU_00315
ko:K03187	hpu:HPCU_00320
ko:K01428	hpu:HPCU_00330
ko:K03101	hpu:HPCU_00340
ko:K03431	hpu:HPCU_00345
ko:K02968	hpu:HPCU_00350
ko:K02835	hpu:HPCU_00355
ko:K02996	hpu:HPCU_00380
ko:K02871	hpu:HPCU_00385
ko:K00116	hpu:HPCU_00395
ko:K03086	hpu:HPCU_00405
ko:K00645	hpu:HPCU_00415
ko:K01733	hpu:HPCU_00460
ko:K03545	hpu:HPCU_04215
ko:K15846	hpu:HPCU_04225
ko:K03637	hpu:HPCU_04230
ko:K03831	hpu:HPCU_04235
ko:K03636	hpu:HPCU_04245
ko:K14652	hpu:HPCU_04260
ko:K07270	hpu:HPCU_04265
ko:K07043	hpu:HPCU_04270
ko:K00997	hpu:HPCU_04275
ko:K02415	hpu:HPCU_04280
ko:K02556	hpu:HPCU_04315
ko:K02557	hpu:HPCU_04320
ko:K05847	hpu:HPCU_04335
ko:K03703	hpu:HPCU_04345
ko:K00003	hpu:HPCU_04350
ko:K07460	hpu:HPCU_04355
ko:K03671	hpu:HPCU_04360
ko:K00384	hpu:HPCU_04365
ko:K07270	hpu:HPCU_04370
ko:K02108	hpu:HPCU_04385
ko:K00859	hpu:HPCU_04400
ko:K00797	hpu:HPCU_04405
ko:K03977	hpu:HPCU_04415
ko:K03530	hpu:HPCU_04420
ko:K09860	hpu:HPCU_04430
ko:K15894	hpu:HPCU_04445
ko:K13038	hpu:HPCU_04450
ko:K00789	hpu:HPCU_01115
ko:K00940	hpu:HPCU_01120
ko:K02911	hpu:HPCU_01130
ko:K03621	hpu:HPCU_01135
ko:K00648	hpu:HPCU_01140
ko:K03168	hpu:HPCU_01205
ko:K01625	hpu:HPCU_05565
ko:K01690	hpu:HPCU_05570
ko:K00036	hpu:HPCU_05575
ko:K01057	hpu:HPCU_05580
ko:K13979	hpu:HPCU_05590
ko:K00172	hpu:HPCU_05615
ko:K00171	hpu:HPCU_05620
ko:K00169	hpu:HPCU_05625
ko:K00170	hpu:HPCU_05630
ko:K01756	hpu:HPCU_05635
ko:K03702	hpu:HPCU_05645
ko:K02396	hpu:HPCU_05675
ko:K03775	hpu:HPCU_05700
ko:K03640	hpu:HPCU_05710
ko:K03641	hpu:HPCU_05715
ko:K02114	hpu:HPCU_05735
ko:K02112	hpu:HPCU_05740
ko:K02115	hpu:HPCU_05745
ko:K02111	hpu:HPCU_05750
ko:K02113	hpu:HPCU_05755
ko:K02109	hpu:HPCU_05760
ko:K02109	hpu:HPCU_05765
ko:K03524	hpu:HPCU_05780
ko:K00604	hpu:HPCU_05785
ko:K02884	hpu:HPCU_05830
ko:K00891	hpu:HPCU_00750
ko:K01698	hpu:HPCU_00775
ko:K08303	hpu:HPCU_00800
ko:K02836	hpu:HPCU_00810
ko:K03750	hpu:HPCU_00815
ko:K02421	hpu:HPCU_00820
ko:K01624	hpu:HPCU_00840
ko:K02356	hpu:HPCU_00845
ko:K03820	hpu:HPCU_00860
ko:K03558	hpu:HPCU_00870
ko:K02527	hpu:HPCU_05035
ko:K07164	hpu:HPCU_05040
ko:K01878	hpu:HPCU_05050
ko:K00057	hpu:HPCU_05055
ko:K01879	hpu:HPCU_05100
ko:K15633	hpu:HPCU_05110
ko:K02435	hpu:HPCU_05115
ko:K00833	hpu:HPCU_05120
ko:K03770	hpu:HPCU_05125
ko:K03590	hpu:HPCU_05130
ko:K03531	hpu:HPCU_05135
ko:K01711	hpu:HPCU_00195
ko:K02377	hpu:HPCU_00200
ko:K04656	hpu:HPCU_00210
ko:K13821	hpu:HPCU_00265
ko:K03190	hpu:HPCU_00305
ko:K03189	hpu:HPCU_00310
ko:K01929	hpu:HPCU_03945
ko:K00948	hpu:HPCU_03955
ko:K05837	hpu:HPCU_03960
ko:K06946	hpu:HPCU_03970
ko:K06180	hpu:HPCU_03975
ko:K03439	hpu:HPCU_03985
ko:K09812	hpu:HPCU_03990
ko:K09811	hpu:HPCU_03995
ko:K02407	hpu:HPCU_04010
ko:K02422	hpu:HPCU_04015
ko:K12251	hpu:HPCU_04035
ko:K07084	hpu:HPCU_04045
ko:K03110	hpu:HPCU_04070
ko:K03639	hpu:HPCU_04085
ko:K03752	hpu:HPCU_04090
ko:K02401	hpu:HPCU_04095
ko:K01448	hpu:HPCU_04105
ko:K00459	hpu:HPCU_04110
ko:K01866	hpu:HPCU_04115
ko:K03060	hpu:HPCU_04125
ko:K09903	hpu:HPCU_04130
ko:K01682	hpu:HPCU_04140
ko:K03634	hpu:HPCU_04165
ko:K03070	hpu:HPCU_04170
ko:K01154	hpu:HPCU_04190
ko:K01534	hpu:HPCU_04195
ko:K07391	hpu:HPCU_04200
ko:K01462	hpu:HPCU_04205
ko:K01358	hpu:HPCU_04210
ko:K15257	hpu:HPCU_05265
ko:K01772	hpu:HPCU_05270
ko:K01874	hpu:HPCU_05275
ko:K00574	hpu:HPCU_05280
ko:K15846	hpu:HPCU_05290
ko:K02970	hpu:HPCU_03075
ko:K01778	hpu:HPCU_03095
ko:K06942	hpu:HPCU_03110
ko:K01255	hpu:HPCU_03115
ko:K00759	hpu:HPCU_03125
ko:K01808	hpu:HPCU_03135
ko:K03100	hpu:HPCU_03145
ko:K01491	hpu:HPCU_03150
ko:K01465	hpu:HPCU_03170
ko:K02417	hpu:HPCU_03185
ko:K10773	hpu:HPCU_03190
ko:K07082	hpu:HPCU_03205
ko:K00176	hpu:HPCU_03215
ko:K00174	hpu:HPCU_03220
ko:K00175	hpu:HPCU_03225
ko:K00177	hpu:HPCU_03230
ko:K03611	hpu:HPCU_03245
ko:K09765	hpu:HPCU_00470
ko:K07173	hpu:HPCU_00495
ko:K04043	hpu:HPCU_00515
ko:K03687	hpu:HPCU_00520
ko:K03705	hpu:HPCU_00525
ko:K01628	hpu:HPCU_00530
ko:K02406	hpu:HPCU_00545
ko:K03168	hpu:HPCU_00550
ko:K01868	hpu:HPCU_00575
ko:K02520	hpu:HPCU_00580
ko:K02916	hpu:HPCU_00585
ko:K02887	hpu:HPCU_00590
ko:K01153	hpu:HPCU_04485
ko:K03427	hpu:HPCU_04495
ko:K00788	hpu:HPCU_04500
ko:K00941	hpu:HPCU_04505
ko:K00878	hpu:HPCU_04510
ko:K09805	hpu:HPCU_04540
ko:K00364	hpu:HPCU_04550
ko:K03271	hpu:HPCU_04555
ko:K03272	hpu:HPCU_04560
ko:K03274	hpu:HPCU_04565
ko:K03273	hpu:HPCU_04570
ko:K09792	hpu:HPCU_04575
ko:K03525	hpu:HPCU_04580
ko:K03624	hpu:HPCU_04600
ko:K00748	hpu:HPCU_04605
ko:K04651	hpu:HPCU_04615
ko:K02390	hpu:HPCU_04620
ko:K01521	hpu:HPCU_04625
ko:K06193	hpu:HPCU_04630
ko:K03781	hpu:HPCU_04645
ko:K01159	hpu:HPCU_04655
ko:K03550	hpu:HPCU_04680
ko:K03980	hpu:HPCU_04690
ko:K01883	hpu:HPCU_04695
ko:K02013	hpu:HPCU_04705
ko:K02015	hpu:HPCU_04710
ko:K02406	hpu:HPCU_03290
ko:K01599	hpu:HPCU_03305
ko:K01972	hpu:HPCU_03350
ko:K03415	hpu:HPCU_03355
ko:K03186	hpu:HPCU_07440
ko:K02386	hpu:HPCU_07445
ko:K03657	hpu:HPCU_07450
ko:K01875	hpu:HPCU_07460
ko:K03602	hpu:HPCU_07470
ko:K03183	hpu:HPCU_07475
ko:K08973	hpu:HPCU_07480
ko:K01928	hpu:HPCU_07530
ko:K02897	hpu:HPCU_07540
ko:K01056	hpu:HPCU_07545
ko:K11720	hpu:HPCU_07550
ko:K09943	hpu:HPCU_07570
ko:K11752	hpu:HPCU_07585
ko:K03312	hpu:HPCU_07590
ko:K08591	hpu:HPCU_07605
ko:K01633	hpu:HPCU_07610
ko:K01042	hpu:HPCU_07625
ko:K02600	hpu:HPCU_07630
ko:K03655	hpu:HPCU_07655
ko:K01142	hpu:HPCU_07670
ko:K02313	hpu:HPCU_07680
ko:K00820	hpu:HPCU_07695
ko:K01993	hpu:HPCU_07500
ko:K03306	hpu:HPCU_07515
ko:K03625	hpu:HPCU_00005
ko:K00794	hpu:HPCU_00010
ko:K01627	hpu:HPCU_00015
ko:K01673	hpu:HPCU_00020
ko:K01591	hpu:HPCU_00025
ko:K01918	hpu:HPCU_00030
ko:K01876	hpu:HPCU_03360
ko:K07270	hpu:HPCU_03370
ko:K07456	hpu:HPCU_03390
ko:K01924	hpu:HPCU_03400
ko:K04653	hpu:HPCU_04750
ko:K04654	hpu:HPCU_04745
ko:K03923	hpu:HPCU_03430
ko:K03620	hpu:HPCU_03445
ko:K06920	hpu:HPCU_03475
ko:K02221	hpu:HPCU_03500
ko:K08309	hpu:HPCU_03505
ko:K00963	hpu:HPCU_03510
ko:K00790	hpu:HPCU_03520
ko:K01744	hpu:HPCU_03525
ko:K01079	hpu:HPCU_03540
ko:K02217	hpu:HPCU_03545
ko:K07277	hpu:HPCU_03555
ko:K02434	hpu:HPCU_03570
ko:K03685	hpu:HPCU_03590
ko:K01736	hpu:HPCU_03595
ko:K11473	hpu:HPCU_03610
ko:K00812	hpu:HPCU_03630
ko:K07090	hpu:HPCU_03645
ko:K01154	hpu:HPCU_07710
ko:K01153	hpu:HPCU_07730
ko:K07043	hpu:HPCU_07735
ko:K01476	hpu:HPCU_07750
ko:K00259	hpu:HPCU_07755
ko:K00858	hpu:HPCU_07775
ko:K03631	hpu:HPCU_07780
ko:K01783	hpu:HPCU_07820
ko:K03841	hpu:HPCU_07825
ko:K02357	hpu:HPCU_07870
ko:K02967	hpu:HPCU_07875
ko:K03313	hpu:HPCU_07890
ko:K03210	hpu:HPCU_07895
ko:K03072	hpu:HPCU_07900
ko:K03074	hpu:HPCU_07905
ko:K01869	hpu:HPCU_07915
ko:K11754	hpu:HPCU_07925
ko:K03723	hpu:HPCU_07945
ko:K00411	hpu:HPCU_07950
ko:K00412	hpu:HPCU_07955
ko:K00413	hpu:HPCU_07960
ko:K03587	hpu:HPCU_07970
ko:K02408	hpu:HPCU_07975
ko:K02388	hpu:HPCU_07980
ko:K02387	hpu:HPCU_07985
ko:K03588	hpu:HPCU_07990
ko:K02016	hpu:HPCU_07995
ko:K02016	hpu:HPCU_08000
ko:K02073	hpu:HPCU_08010
ko:K05515	hpu:HPCU_08015
ko:K02687	hpu:HPCU_02225
ko:K03413	hpu:HPCU_02230
ko:K06950	hpu:HPCU_02245
ko:K03501	hpu:HPCU_02250
ko:K07568	hpu:HPCU_02255
ko:K03118	hpu:HPCU_02260
ko:K03117	hpu:HPCU_02265
ko:K03551	hpu:HPCU_02275
ko:K00606	hpu:HPCU_02280
ko:K03610	hpu:HPCU_02305
ko:K02535	hpu:HPCU_02310
ko:K00872	hpu:HPCU_02320
ko:K02519	hpu:HPCU_02330
ko:K02834	hpu:HPCU_02335
ko:K09748	hpu:HPCU_02340
ko:K01895	hpu:HPCU_02345
ko:K02400	hpu:HPCU_02365
ko:K02956	hpu:HPCU_02370
ko:K03786	hpu:HPCU_02380
ko:K00950	hpu:HPCU_02390
ko:K02404	hpu:HPCU_02395
ko:K04562	hpu:HPCU_02400
ko:K02405	hpu:HPCU_02410
ko:K02416	hpu:HPCU_02415
ko:K02417	hpu:HPCU_02420
ko:K07478	hpu:HPCU_02440
ko:K05516	hpu:HPCU_02450
ko:K12506	hpu:HPCU_02475
ko:K00995	hpu:HPCU_02490
ko:K02952	hpu:HPCU_06625
ko:K02919	hpu:HPCU_06630
ko:K02518	hpu:HPCU_06635
ko:K01265	hpu:HPCU_06640
ko:K03076	hpu:HPCU_06645
ko:K02876	hpu:HPCU_06650
ko:K02988	hpu:HPCU_06655
ko:K02881	hpu:HPCU_06660
ko:K02933	hpu:HPCU_06665
ko:K02994	hpu:HPCU_06670
ko:K02954	hpu:HPCU_06675
ko:K02931	hpu:HPCU_06680
ko:K02895	hpu:HPCU_06685
ko:K02874	hpu:HPCU_06690
ko:K02961	hpu:HPCU_06695
ko:K02904	hpu:HPCU_06700
ko:K02878	hpu:HPCU_06705
ko:K02982	hpu:HPCU_06710
ko:K02890	hpu:HPCU_06715
ko:K02965	hpu:HPCU_06720
ko:K02886	hpu:HPCU_06725
ko:K02892	hpu:HPCU_06730
ko:K02926	hpu:HPCU_06735
ko:K02906	hpu:HPCU_06740
ko:K02946	hpu:HPCU_06745
ko:K07133	hpu:HPCU_06750
ko:K03470	hpu:HPCU_06760
ko:K07787	hpu:HPCU_06790
ko:K03686	hpu:HPCU_06805
ko:K00566	hpu:HPCU_06815
ko:K00969	hpu:HPCU_06825
ko:K07722	hpu:HPCU_06830
ko:K03561	hpu:HPCU_06835
ko:K03832	hpu:HPCU_06845
ko:K03284	hpu:HPCU_06865
ko:K00927	hpu:HPCU_06870
ko:K00134	hpu:HPCU_06875
ko:K03648	hpu:HPCU_06880
ko:K00655	hpu:HPCU_06885
ko:K03797	hpu:HPCU_06895
ko:K01714	hpu:HPCU_02505
ko:K00937	hpu:HPCU_02520
ko:K01154	hpu:HPCU_02530
ko:K03427	hpu:HPCU_02535
ko:K01153	hpu:HPCU_02540
ko:K01153	hpu:HPCU_02550
ko:K08602	hpu:HPCU_02580
ko:K02020	hpu:HPCU_02595
ko:K02018	hpu:HPCU_02600
ko:K06207	hpu:HPCU_02630
ko:K03781	hpu:HPCU_02650
ko:K02902	hpu:HPCU_02680
ko:K15846	hpu:HPCU_02690
ko:K01000	hpu:HPCU_02695
ko:K01925	hpu:HPCU_02700
ko:K07107	hpu:HPCU_02710
ko:K03308	hpu:HPCU_02715
ko:K03308	hpu:HPCU_02720
ko:K02338	hpu:HPCU_02735
ko:K02470	hpu:HPCU_02740
ko:K00215	hpu:HPCU_02775
ko:K00767	hpu:HPCU_06920
ko:K03517	hpu:HPCU_06925
ko:K01613	hpu:HPCU_06930
ko:K03179	hpu:HPCU_06945
ko:K03570	hpu:HPCU_07010
ko:K03569	hpu:HPCU_07015
ko:K03544	hpu:HPCU_07020
ko:K00677	hpu:HPCU_07025
ko:K02372	hpu:HPCU_07030
ko:K13626	hpu:HPCU_07035
ko:K05807	hpu:HPCU_07045
ko:K01338	hpu:HPCU_07050
ko:K01173	hpu:HPCU_07060
ko:K01012	hpu:HPCU_07075
ko:K07058	hpu:HPCU_07080
ko:K09457	hpu:HPCU_07110
ko:K09710	hpu:HPCU_07115
ko:K00791	hpu:HPCU_07120
ko:K00075	hpu:HPCU_07140
ko:K02420	hpu:HPCU_07145
ko:K02412	hpu:HPCU_07150
ko:K01870	hpu:HPCU_07160
ko:K07316	hpu:HPCU_01625
ko:K18682	hpu:HPCU_04055
ko:K03695	hpu:HPCU_01650
ko:K01465	hpu:HPCU_01660
ko:K06168	hpu:HPCU_01675
ko:K09778	hpu:HPCU_01680
ko:K06940	hpu:HPCU_01700
ko:K01609	hpu:HPCU_01710
ko:K01524	hpu:HPCU_01720
ko:K02841	hpu:HPCU_01725
ko:K02517	hpu:HPCU_01730
ko:K00773	hpu:HPCU_01735
ko:K09944	hpu:HPCU_01740
ko:K01735	hpu:HPCU_01745
ko:K01163	hpu:HPCU_01795
ko:K02397	hpu:HPCU_01810
ko:K02888	hpu:HPCU_01815
ko:K02899	hpu:HPCU_01820
ko:K12368	hpu:HPCU_01825
ko:K12370	hpu:HPCU_01835
ko:K12372	hpu:HPCU_01845
ko:K03979	hpu:HPCU_01850
ko:K01845	hpu:HPCU_01865
ko:K07226	hpu:HPCU_01915
ko:K01887	hpu:HPCU_01920
ko:K03116	hpu:HPCU_01925
ko:K00942	hpu:HPCU_01930
ko:K02935	hpu:HPCU_06110
ko:K02864	hpu:HPCU_06115
ko:K02863	hpu:HPCU_06120
ko:K02867	hpu:HPCU_06125
ko:K02601	hpu:HPCU_06130
ko:K03073	hpu:HPCU_06135
ko:K02913	hpu:HPCU_06140
ko:K02358	hpu:HPCU_06145
ko:K00640	hpu:HPCU_06170
ko:K02110	hpu:HPCU_06175
ko:K00962	hpu:HPCU_06180
ko:K04744	hpu:HPCU_06190
ko:K01945	hpu:HPCU_06200
ko:K00806	hpu:HPCU_06210
ko:K06199	hpu:HPCU_06230
ko:K08311	hpu:HPCU_06245
ko:K00928	hpu:HPCU_06250
ko:K02341	hpu:HPCU_06260
ko:K00796	hpu:HPCU_06265
ko:K09804	hpu:HPCU_06285
ko:K01956	hpu:HPCU_06290
ko:K06287	hpu:HPCU_06320
ko:K01872	hpu:HPCU_06325
ko:K09794	hpu:HPCU_06330
ko:K02393	hpu:HPCU_01950
ko:K00912	hpu:HPCU_01970
ko:K00053	hpu:HPCU_01980
ko:K03609	hpu:HPCU_01985
ko:K03608	hpu:HPCU_01990
ko:K04096	hpu:HPCU_01995
ko:K07447	hpu:HPCU_02000
ko:K06180	hpu:HPCU_02050
ko:K07462	hpu:HPCU_02055
ko:K01937	hpu:HPCU_02060
ko:K02409	hpu:HPCU_02070
ko:K02410	hpu:HPCU_02075
ko:K02411	hpu:HPCU_02080
ko:K01662	hpu:HPCU_02085
ko:K03596	hpu:HPCU_02090
ko:K02392	hpu:HPCU_02105
ko:K03466	hpu:HPCU_02115
ko:K00615	hpu:HPCU_02125
ko:K11753	hpu:HPCU_02130
ko:K06442	hpu:HPCU_02135
ko:K00609	hpu:HPCU_02145
ko:K07241	hpu:HPCU_02170
ko:K03798	hpu:HPCU_02220
ko:K02963	hpu:HPCU_06355
ko:K02990	hpu:HPCU_06365
ko:K02340	hpu:HPCU_06375
ko:K12573	hpu:HPCU_06380
ko:K00014	hpu:HPCU_06385
ko:K13894	hpu:HPCU_06395
ko:K13893	hpu:HPCU_06400
ko:K01867	hpu:HPCU_06405
ko:K02169	hpu:HPCU_06410
ko:K03075	hpu:HPCU_06415
ko:K02838	hpu:HPCU_06420
ko:K00762	hpu:HPCU_06425
ko:K12410	hpu:HPCU_06435
ko:K00330	hpu:HPCU_06440
ko:K00331	hpu:HPCU_06445
ko:K00332	hpu:HPCU_06450
ko:K00333	hpu:HPCU_06455
ko:K00334	hpu:HPCU_06460
ko:K00337	hpu:HPCU_06475
ko:K00338	hpu:HPCU_06480
ko:K00339	hpu:HPCU_06485
ko:K00340	hpu:HPCU_06490
ko:K00341	hpu:HPCU_06495
ko:K00342	hpu:HPCU_06500
ko:K00343	hpu:HPCU_06505
ko:K15778	hpu:HPCU_06515
ko:K01695	hpu:HPCU_06540
ko:K01696	hpu:HPCU_06545
ko:K13498	hpu:HPCU_06550
ko:K00766	hpu:HPCU_06555
ko:K01657	hpu:HPCU_06565
ko:K03707	hpu:HPCU_06585
ko:K03811	hpu:HPCU_06590
ko:K02879	hpu:HPCU_06605
ko:K03040	hpu:HPCU_06610
ko:K02986	hpu:HPCU_06615
ko:K02948	hpu:HPCU_06620
ko:K16091	hpu:HPCU_03685
ko:K16091	hpu:HPCU_07740
ko:K00104	hpu:HPCU_02770
ko:K14233	hpu:HPCU_t08139
ko:K14218	hpu:HPCU_t08143
ko:K14219	hpu:HPCU_t08169
ko:K14226	hpu:HPCU_t08171
ko:K15726	hpu:HPCU_05085
ko:K14230	hpu:HPCU_t08181
ko:K14234	hpu:HPCU_t08185
ko:K14225	hpu:HPCU_t08187
ko:K14236	hpu:HPCU_t08189
ko:K14234	hpu:HPCU_t08191
ko:K14228	hpu:HPCU_t08193
ko:K14228	hpu:HPCU_t08195
ko:K14231	hpu:HPCU_t08197
ko:K10716	hpu:HPCU_02675
ko:K03496	hpu:HPCU_01300
ko:K02014	hpu:HPCU_04650
ko:K02014	hpu:HPCU_07620
ko:K02028	hpu:HPCU_05955
ko:K02030	hpu:HPCU_05960
ko:K07098	hpu:HPCU_02350
ko:K01262	hpu:HPCU_02385
ko:K03711	hpu:HPCU_02435
ko:K13640	hpu:HPCU_02445
ko:K01679	hpu:HPCU_06770
ko:K14048	hpu:HPCU_00335
ko:K03406	hpu:HPCU_00375
ko:K03635	hpu:HPCU_04240
ko:K05845	hpu:HPCU_04330
ko:K05846	hpu:HPCU_04330
ko:K00088	hpu:HPCU_04390
ko:K02433	hpu:HPCU_04395
ko:K00939	hpu:HPCU_03365
