ko:K02888	crh:A353_0173
ko:K02931	crh:A353_0186
ko:K02874	crh:A353_0187
ko:K02961	crh:A353_0188
ko:K02878	crh:A353_0189
ko:K02982	crh:A353_0190
ko:K02890	crh:A353_0191
ko:K02965	crh:A353_0192
ko:K02886	crh:A353_0193
ko:K02926	crh:A353_0194
ko:K02906	crh:A353_0195
ko:K02946	crh:A353_0196
ko:K02358	crh:A353_0197
ko:K02355	crh:A353_0198
ko:K02992	crh:A353_0199
ko:K02950	crh:A353_0200
ko:K03046	crh:A353_0201
ko:K03043	crh:A353_0202
ko:K02935	crh:A353_0203
ko:K02863	crh:A353_0205
ko:K02867	crh:A353_0206
ko:K02299	crh:A353_0211
ko:K02298	crh:A353_0212
ko:K02297	crh:A353_0213
ko:K00826	crh:A353_0215
ko:K01462	crh:A353_0216
ko:K01755	crh:A353_0217
ko:K01586	crh:A353_0218
ko:K01778	crh:A353_0219
ko:K01878	crh:A353_0220
ko:K03704	crh:A353_0222
ko:K01496	crh:A353_0115
ko:K02342	crh:A353_0117
ko:K01885	crh:A353_0132
ko:K03386	crh:A353_0148
ko:K00616	crh:A353_0149
ko:K14231	crh:A353_081
ko:K00674	crh:A353_018
ko:K01523	crh:A353_026
ko:K00033	crh:A353_045
ko:K02433	crh:A353_054
ko:K14226	crh:A353_098
ko:K14233	crh:A353_0103
ko:K14229	crh:A353_0140
ko:K14230	crh:A353_049
ko:K14237	crh:A353_066
ko:K14224	crh:A353_041
ko:K14236	crh:A353_0209
ko:K01985	crh:A353_0150
ko:K14232	crh:A353_096
ko:K14218	crh:A353_075
ko:K01980	crh:A353_0151
ko:K14230	crh:A353_0133
ko:K14235	crh:A353_0207
ko:K14230	crh:A353_0164
ko:K14227	crh:A353_017
ko:K14225	crh:A353_042
ko:K14225	crh:A353_0208
ko:K14233	crh:A353_043
ko:K14233	crh:A353_0143
ko:K14220	crh:A353_048
ko:K14221	crh:A353_067
ko:K14223	crh:A353_082
ko:K14234	crh:A353_083
ko:K14228	crh:A353_091
ko:K14228	crh:A353_0138
ko:K14219	crh:A353_097
ko:K14219	crh:A353_0142
ko:K14228	crh:A353_0113
ko:K14222	crh:A353_0137
ko:K01977	crh:A353_0152
ko:K00525	crh:A353_014
ko:K01956	crh:A353_088
ko:K02884	crh:A353_0161
ko:K02314	crh:A353_070
ko:K02316	crh:A353_073
ko:K03553	crh:A353_0146
