ko:K01985	baph:IX46_02530
ko:K03839	baph:IX46_01555
ko:K01669	baph:IX46_01560
ko:K00164	baph:IX46_01570
ko:K00658	baph:IX46_01575
ko:K01834	baph:IX46_01580
ko:K00850	baph:IX46_01585
ko:K01803	baph:IX46_01595
ko:K05788	baph:IX46_01600
ko:K02945	baph:IX46_01605
ko:K00945	baph:IX46_01610
ko:K00800	baph:IX46_01615
ko:K00831	baph:IX46_01620
ko:K01875	baph:IX46_01625
ko:K00384	baph:IX46_01630
ko:K02518	baph:IX46_01635
ko:K01876	baph:IX46_01640
ko:K09816	baph:IX46_01645
ko:K09817	baph:IX46_01650
ko:K00873	baph:IX46_01665
ko:K00036	baph:IX46_01670
ko:K06178	baph:IX46_01475
ko:K01956	baph:IX46_00755
ko:K00215	baph:IX46_00760
ko:K03527	baph:IX46_00765
ko:K03101	baph:IX46_00770
ko:K01870	baph:IX46_00775
ko:K11753	baph:IX46_00780
ko:K02968	baph:IX46_00785
ko:K03686	baph:IX46_00790
ko:K01955	baph:IX46_00750
ko:K00330	baph:IX46_00800
ko:K00331	baph:IX46_00805
ko:K13378	baph:IX46_00810
ko:K00334	baph:IX46_00815
ko:K00336	baph:IX46_00825
ko:K00337	baph:IX46_00830
ko:K00338	baph:IX46_00835
ko:K00339	baph:IX46_00840
ko:K00340	baph:IX46_00845
ko:K00341	baph:IX46_00850
ko:K00342	baph:IX46_00855
ko:K00343	baph:IX46_00860
ko:K11754	baph:IX46_00870
ko:K03558	baph:IX46_00875
ko:K00948	baph:IX46_00880
ko:K00919	baph:IX46_00885
ko:K02835	baph:IX46_00890
ko:K02493	baph:IX46_00895
ko:K01916	baph:IX46_00905
ko:K00925	baph:IX46_00910
ko:K13788	baph:IX46_00915
ko:K11107	baph:IX46_00920
ko:K00526	baph:IX46_00925
ko:K00525	baph:IX46_00930
ko:K02469	baph:IX46_00935
ko:K09945	baph:IX46_00945
ko:K03386	baph:IX46_00950
ko:K03648	baph:IX46_00960
ko:K03687	baph:IX46_00965
ko:K00858	baph:IX46_00970
ko:K06186	baph:IX46_00975
ko:K07390	baph:IX46_00980
ko:K03683	baph:IX46_00985
ko:K04564	baph:IX46_00990
ko:K01056	baph:IX46_00995
ko:K06942	baph:IX46_01000
ko:K01733	baph:IX46_01005
ko:K00872	baph:IX46_01010
ko:K12524	baph:IX46_01015
ko:K00760	baph:IX46_01020
ko:K04043	baph:IX46_00795
ko:K00606	baph:IX46_01030
ko:K06204	baph:IX46_01035
ko:K03070	baph:IX46_01050
ko:K00859	baph:IX46_01055
ko:K00364	baph:IX46_01060
ko:K00163	baph:IX46_01070
ko:K00627	baph:IX46_01075
ko:K00382	baph:IX46_01080
ko:K01611	baph:IX46_01085
ko:K00797	baph:IX46_01090
ko:K01243	baph:IX46_01100
ko:K15724	baph:IX46_01105
ko:K03531	baph:IX46_01110
ko:K03590	baph:IX46_01115
ko:K01921	baph:IX46_01120
ko:K01924	baph:IX46_01125
ko:K01918	baph:IX46_01025
ko:K02563	baph:IX46_01130
ko:K03588	baph:IX46_01135
ko:K01925	baph:IX46_01140
ko:K01000	baph:IX46_01145
ko:K03587	baph:IX46_01160
ko:K01881	baph:IX46_01260
ko:K02401	baph:IX46_01265
ko:K02400	baph:IX46_01270
ko:K01887	baph:IX46_01275
ko:K01069	baph:IX46_01295
ko:K02372	baph:IX46_01250
ko:K02337	baph:IX46_01255
ko:K03469	baph:IX46_01300
ko:K01704	baph:IX46_03165
ko:K01703	baph:IX46_03170
ko:K00052	baph:IX46_03175
ko:K01649	baph:IX46_03185
ko:K13497	baph:IX46_03190
ko:K01657	baph:IX46_03195
ko:K03799	baph:IX46_01675
ko:K03608	baph:IX46_01690
ko:K03609	baph:IX46_01695
ko:K03610	baph:IX46_01700
ko:K00564	baph:IX46_01705
ko:K03286	baph:IX46_01720
ko:K01465	baph:IX46_01730
ko:K02399	baph:IX46_01735
ko:K02386	baph:IX46_01740
ko:K02387	baph:IX46_01745
ko:K02388	baph:IX46_01750
ko:K02389	baph:IX46_01755
ko:K02390	baph:IX46_01760
ko:K02391	baph:IX46_01765
ko:K02392	baph:IX46_01770
ko:K02393	baph:IX46_01775
ko:K02394	baph:IX46_01780
ko:K02395	baph:IX46_01785
ko:K02396	baph:IX46_01790
ko:K08300	baph:IX46_01795
ko:K06179	baph:IX46_01800
ko:K02911	baph:IX46_01805
ko:K00645	baph:IX46_01810
ko:K00059	baph:IX46_01815
ko:K02078	baph:IX46_01820
ko:K00943	baph:IX46_01825
ko:K02341	baph:IX46_01830
ko:K03424	baph:IX46_01835
ko:K02778	baph:IX46_01840
ko:K02779	baph:IX46_01840
ko:K02503	baph:IX46_01845
ko:K09476	baph:IX46_01850
ko:K01893	baph:IX46_01855
ko:K00763	baph:IX46_01860
ko:K15738	baph:IX46_01875
ko:K07146	baph:IX46_01880
ko:K01873	baph:IX46_01885
ko:K01255	baph:IX46_01890
ko:K00611	baph:IX46_01895
ko:K00609	baph:IX46_01900
ko:K00610	baph:IX46_01905
ko:K09022	baph:IX46_01910
ko:K05592	baph:IX46_01915
ko:K00962	baph:IX46_01920
ko:K02956	baph:IX46_01925
ko:K03177	baph:IX46_01930
ko:K02834	baph:IX46_01935
ko:K02519	baph:IX46_01940
ko:K02600	baph:IX46_01945
ko:K03075	baph:IX46_01955
ko:K03798	baph:IX46_01965
ko:K02427	baph:IX46_01970
ko:K03624	baph:IX46_01975
ko:K00790	baph:IX46_01985
ko:K02888	baph:IX46_01990
ko:K02899	baph:IX46_01995
ko:K03979	baph:IX46_02000
ko:K02996	baph:IX46_02005
ko:K02871	baph:IX46_02010
ko:K14170	baph:IX46_02015
ko:K03106	baph:IX46_02025
ko:K02959	baph:IX46_02030
ko:K02860	baph:IX46_02035
ko:K00554	baph:IX46_02040
ko:K02884	baph:IX46_02045
ko:K03568	baph:IX46_02050
ko:K03786	baph:IX46_02055
ko:K03557	baph:IX46_02060
ko:K06180	baph:IX46_02065
ko:K05807	baph:IX46_02070
ko:K01872	baph:IX46_02075
ko:K03563	baph:IX46_02080
ko:K01919	baph:IX46_02100
ko:K00789	baph:IX46_02105
ko:K01150	baph:IX46_02110
ko:K09761	baph:IX46_02115
ko:K01807	baph:IX46_02120
ko:K01886	baph:IX46_02140
ko:K01937	baph:IX46_02145
ko:K01689	baph:IX46_02150
ko:K10026	baph:IX46_02155
ko:K01737	baph:IX46_02160
ko:K01770	baph:IX46_02170
ko:K00991	baph:IX46_02175
ko:K05589	baph:IX46_02180
ko:K00860	baph:IX46_02185
ko:K00956	baph:IX46_02190
ko:K00957	baph:IX46_02195
ko:K02302	baph:IX46_02200
ko:K00390	baph:IX46_02205
ko:K00381	baph:IX46_02210
ko:K00380	baph:IX46_02215
ko:K03673	baph:IX46_02220
ko:K02335	baph:IX46_02225
ko:K03978	baph:IX46_02230
ko:K06207	baph:IX46_02235
ko:K00942	baph:IX46_02240
ko:K06980	baph:IX46_02245
ko:K02836	baph:IX46_02255
ko:K04567	baph:IX46_02260
ko:K01586	baph:IX46_02265
ko:K00560	baph:IX46_02275
ko:K06168	baph:IX46_02280
ko:K07042	baph:IX46_02285
ko:K06189	baph:IX46_02290
ko:K01869	baph:IX46_02295
ko:K02340	baph:IX46_02300
ko:K04085	baph:IX46_02310
ko:K00133	baph:IX46_02315
ko:K01624	baph:IX46_02330
ko:K03442	baph:IX46_02335
ko:K03583	baph:IX46_02340
ko:K03581	baph:IX46_02350
ko:K14682	baph:IX46_02355
ko:K00794	baph:IX46_02370
ko:K00946	baph:IX46_02375
ko:K03625	baph:IX46_02390
ko:K01662	baph:IX46_02395
ko:K00795	baph:IX46_02400
ko:K11179	baph:IX46_02410
ko:K02300	baph:IX46_02420
ko:K02299	baph:IX46_02425
ko:K02298	baph:IX46_02430
ko:K02297	baph:IX46_02435
ko:K05527	baph:IX46_02440
ko:K03545	baph:IX46_02445
ko:K01358	baph:IX46_02450
ko:K03544	baph:IX46_02455
ko:K01338	baph:IX46_02460
ko:K03770	baph:IX46_02465
ko:K06920	baph:IX46_02470
ko:K18889	baph:IX46_02475
ko:K18890	baph:IX46_02480
ko:K02343	baph:IX46_02485
ko:K09747	baph:IX46_02490
ko:K04079	baph:IX46_02495
ko:K00939	baph:IX46_02500
ko:K01491	baph:IX46_02510
ko:K01883	baph:IX46_02515
ko:K09158	baph:IX46_02520
ko:K03704	baph:IX46_02525
ko:K00014	baph:IX46_02545
ko:K07566	baph:IX46_02550
ko:K03747	baph:IX46_02555
ko:K01462	baph:IX46_02560
ko:K00604	baph:IX46_02565
ko:K02879	baph:IX46_02570
ko:K03040	baph:IX46_02575
ko:K02986	baph:IX46_02580
ko:K02948	baph:IX46_02585
ko:K02952	baph:IX46_02590
ko:K02919	baph:IX46_02595
ko:K03076	baph:IX46_02600
ko:K02876	baph:IX46_02605
ko:K02907	baph:IX46_02610
ko:K02988	baph:IX46_02615
ko:K02881	baph:IX46_02620
ko:K02933	baph:IX46_02625
ko:K02994	baph:IX46_02630
ko:K02954	baph:IX46_02635
ko:K02931	baph:IX46_02640
ko:K02895	baph:IX46_02645
ko:K02874	baph:IX46_02650
ko:K02961	baph:IX46_02655
ko:K02904	baph:IX46_02660
ko:K02878	baph:IX46_02665
ko:K02982	baph:IX46_02670
ko:K02890	baph:IX46_02675
ko:K02965	baph:IX46_02680
ko:K02886	baph:IX46_02685
ko:K02892	baph:IX46_02690
ko:K02926	baph:IX46_02695
ko:K02906	baph:IX46_02700
ko:K02946	baph:IX46_02705
ko:K02358	baph:IX46_02710
ko:K02355	baph:IX46_02715
ko:K02992	baph:IX46_02720
ko:K02950	baph:IX46_02725
ko:K07237	baph:IX46_02730
ko:K07236	baph:IX46_02735
ko:K07235	baph:IX46_02740
ko:K03772	baph:IX46_02745
ko:K00821	baph:IX46_02755
ko:K06141	baph:IX46_02760
ko:K01867	baph:IX46_02765
ko:K01783	baph:IX46_02770
ko:K01735	baph:IX46_02775
ko:K00891	baph:IX46_02780
ko:K03784	baph:IX46_02790
ko:K01839	baph:IX46_02795
ko:K02837	baph:IX46_02800
ko:K01424	baph:IX46_02805
ko:K07400	baph:IX46_02810
ko:K02170	baph:IX46_02815
ko:K03111	baph:IX46_02820
ko:K02314	baph:IX46_02825
ko:K01920	baph:IX46_02830
ko:K06997	baph:IX46_02840
ko:K01980	baph:IX46_02535
ko:K14230	baph:IX46_02135
ko:K03595	baph:IX46_01350
ko:K02257	baph:IX46_02415
