ko:K07489	ypo:BZ17_3368
ko:K00075	ypo:BZ17_2306
ko:K00230	ypo:BZ17_2312
ko:K03498	ypo:BZ17_2313
ko:K01825	ypo:BZ17_2316
ko:K08191	ypo:BZ17_3123
ko:K01812	ypo:BZ17_3124
ko:K00041	ypo:BZ17_3125
ko:K01685	ypo:BZ17_3126
ko:K07862	ypo:BZ17_3128
ko:K07043	ypo:BZ17_3130
ko:K00219	ypo:BZ17_3133
ko:K15125	ypo:BZ17_3142
ko:K10112	ypo:BZ17_3159
ko:K02529	ypo:BZ17_3161
ko:K02027	ypo:BZ17_3162
ko:K02025	ypo:BZ17_3163
ko:K02026	ypo:BZ17_3164
ko:K05349	ypo:BZ17_3166
ko:K15547	ypo:BZ17_3168
ko:K15549	ypo:BZ17_3169
ko:K02198	ypo:BZ17_3995
ko:K02199	ypo:BZ17_3996
ko:K02200	ypo:BZ17_3997
ko:K04754	ypo:BZ17_3999
ko:K06076	ypo:BZ17_4000
ko:K01782	ypo:BZ17_4003
ko:K08296	ypo:BZ17_4004
ko:K07320	ypo:BZ17_4006
ko:K01736	ypo:BZ17_4007
ko:K07261	ypo:BZ17_4008
ko:K07090	ypo:BZ17_4009
ko:K09906	ypo:BZ17_4010
ko:K15461	ypo:BZ17_4012
ko:K00647	ypo:BZ17_4013
ko:K01779	ypo:BZ17_4014
ko:K03473	ypo:BZ17_4019
ko:K06173	ypo:BZ17_4021
ko:K03975	ypo:BZ17_4022
ko:K01963	ypo:BZ17_4023
ko:K11754	ypo:BZ17_4024
ko:K03749	ypo:BZ17_4025
ko:K03558	ypo:BZ17_4026
ko:K00764	ypo:BZ17_4027
ko:K03186	ypo:BZ17_4028
ko:K10014	ypo:BZ17_4029
ko:K10016	ypo:BZ17_4030
ko:K10015	ypo:BZ17_4031
ko:K10017	ypo:BZ17_4032
ko:K07071	ypo:BZ17_4033
ko:K07095	ypo:BZ17_4035
ko:K03475	ypo:BZ17_4037
ko:K02822	ypo:BZ17_4038
ko:K02821	ypo:BZ17_4039
ko:K13788	ypo:BZ17_4041
ko:K00925	ypo:BZ17_4042
ko:K09899	ypo:BZ17_4043
ko:K09161	ypo:BZ17_4044
ko:K19270	ypo:BZ17_4045
ko:K14058	ypo:BZ17_208
ko:K03737	ypo:BZ17_209
ko:K03297	ypo:BZ17_210
ko:K07507	ypo:BZ17_211
ko:K03668	ypo:BZ17_213
ko:K03778	ypo:BZ17_214
ko:K09978	ypo:BZ17_217
ko:K00007	ypo:BZ17_218
ko:K01118	ypo:BZ17_220
ko:K03578	ypo:BZ17_221
ko:K04775	ypo:BZ17_224
ko:K11021	ypo:BZ17_228
ko:K01299	ypo:BZ17_229
ko:K07639	ypo:BZ17_230
ko:K07661	ypo:BZ17_231
ko:K03758	ypo:BZ17_233
ko:K00324	ypo:BZ17_235
ko:K00325	ypo:BZ17_236
ko:K14055	ypo:BZ17_237
ko:K00567	ypo:BZ17_239
ko:K01077	ypo:BZ17_240
ko:K01653	ypo:BZ17_243
ko:K01652	ypo:BZ17_244
ko:K01241	ypo:BZ17_249
ko:K02049	ypo:BZ17_250
ko:K02050	ypo:BZ17_251
ko:K02051	ypo:BZ17_252
ko:K17204	ypo:BZ17_254
ko:K17203	ypo:BZ17_255
ko:K17202	ypo:BZ17_256
ko:K02529	ypo:BZ17_258
ko:K03315	ypo:BZ17_259
ko:K14155	ypo:BZ17_260
ko:K07790	ypo:BZ17_261
ko:K00945	ypo:BZ17_1102
ko:K00800	ypo:BZ17_1103
ko:K00831	ypo:BZ17_1104
ko:K12342	ypo:BZ17_1105
ko:K12342	ypo:BZ17_1106
ko:K01424	ypo:BZ17_1107
ko:K09136	ypo:BZ17_1108
ko:K06212	ypo:BZ17_1109
ko:K00656	ypo:BZ17_1110
ko:K07270	ypo:BZ17_1111
ko:K04069	ypo:BZ17_1112
ko:K08219	ypo:BZ17_1113
ko:K01875	ypo:BZ17_1114
ko:K07478	ypo:BZ17_1115
ko:K03634	ypo:BZ17_1117
ko:K03466	ypo:BZ17_1118
ko:K03719	ypo:BZ17_1119
ko:K00384	ypo:BZ17_1120
ko:K16013	ypo:BZ17_1121
ko:K16012	ypo:BZ17_1122
ko:K00684	ypo:BZ17_1123
ko:K02518	ypo:BZ17_1124
ko:K03694	ypo:BZ17_1125
ko:K06891	ypo:BZ17_1126
ko:K03704	ypo:BZ17_1127
ko:K05685	ypo:BZ17_1128
ko:K13888	ypo:BZ17_1129
ko:K09824	ypo:BZ17_1130
ko:K07459	ypo:BZ17_1131
ko:K05601	ypo:BZ17_1133
ko:K11933	ypo:BZ17_1134
ko:K00156	ypo:BZ17_1135
ko:K01620	ypo:BZ17_1136
ko:K04093	ypo:BZ17_1140
ko:K10000	ypo:BZ17_1141
ko:K09997	ypo:BZ17_1142
ko:K09999	ypo:BZ17_1143
ko:K09998	ypo:BZ17_1144
ko:K02013	ypo:BZ17_1148
ko:K09996	ypo:BZ17_1152
ko:K11753	ypo:BZ17_1940
ko:K02968	ypo:BZ17_1941
ko:K03717	ypo:BZ17_1942
ko:K03313	ypo:BZ17_1943
ko:K03686	ypo:BZ17_1944
ko:K04043	ypo:BZ17_1945
ko:K07034	ypo:BZ17_1946
ko:K03831	ypo:BZ17_1949
ko:K00616	ypo:BZ17_1950
ko:K09861	ypo:BZ17_1951
ko:K01733	ypo:BZ17_1953
ko:K00872	ypo:BZ17_1954
ko:K12524	ypo:BZ17_1955
ko:K07773	ypo:BZ17_1957
ko:K05805	ypo:BZ17_1958
ko:K05804	ypo:BZ17_1961
ko:K03720	ypo:BZ17_1962
ko:K08309	ypo:BZ17_1964
ko:K06211	ypo:BZ17_1971
ko:K04485	ypo:BZ17_1972
ko:K01079	ypo:BZ17_1973
ko:K07186	ypo:BZ17_1974
ko:K03784	ypo:BZ17_1975
ko:K01839	ypo:BZ17_1976
ko:K00758	ypo:BZ17_1977
ko:K01619	ypo:BZ17_1978
ko:K03317	ypo:BZ17_1979
ko:K03424	ypo:BZ17_1980
ko:K04065	ypo:BZ17_1983
ko:K02837	ypo:BZ17_1984
ko:K03789	ypo:BZ17_1985
ko:K02344	ypo:BZ17_1986
ko:K00564	ypo:BZ17_1987
ko:K01051	ypo:BZ17_1993
ko:K00133	ypo:BZ17_2795
ko:K13735	ypo:BZ17_2796
ko:K02478	ypo:BZ17_2797
ko:K00700	ypo:BZ17_2798
ko:K00975	ypo:BZ17_2800
ko:K00703	ypo:BZ17_2801
ko:K00688	ypo:BZ17_2802
ko:K00111	ypo:BZ17_2803
ko:K02444	ypo:BZ17_2806
ko:K02441	ypo:BZ17_2807
ko:K02439	ypo:BZ17_2808
ko:K03556	ypo:BZ17_2809
ko:K00688	ypo:BZ17_2810
ko:K00705	ypo:BZ17_2811
ko:K07400	ypo:BZ17_2812
ko:K02170	ypo:BZ17_2814
ko:K07490	ypo:BZ17_2816
ko:K04759	ypo:BZ17_2817
ko:K04758	ypo:BZ17_2818
ko:K06959	ypo:BZ17_2819
ko:K04760	ypo:BZ17_2820
ko:K07659	ypo:BZ17_2821
ko:K07638	ypo:BZ17_2822
ko:K01610	ypo:BZ17_2823
ko:K04083	ypo:BZ17_2824
ko:K04762	ypo:BZ17_2825
ko:K08312	ypo:BZ17_2829
ko:K05366	ypo:BZ17_2830
ko:K12288	ypo:BZ17_2831
ko:K12289	ypo:BZ17_2832
ko:K12290	ypo:BZ17_2833
ko:K12291	ypo:BZ17_2834
ko:K02507	ypo:BZ17_2835
ko:K00891	ypo:BZ17_2836
ko:K01735	ypo:BZ17_2837
ko:K03112	ypo:BZ17_2838
ko:K01783	ypo:BZ17_2840
ko:K01091	ypo:BZ17_2841
ko:K01867	ypo:BZ17_2842
ko:K02302	ypo:BZ17_2843
ko:K02598	ypo:BZ17_2844
ko:K00363	ypo:BZ17_2845
ko:K00362	ypo:BZ17_2846
ko:K02002	ypo:BZ17_3666
ko:K02001	ypo:BZ17_3667
ko:K02000	ypo:BZ17_3668
ko:K03647	ypo:BZ17_3671
ko:K03704	ypo:BZ17_3677
ko:K02035	ypo:BZ17_3678
ko:K02033	ypo:BZ17_3679
ko:K02034	ypo:BZ17_3680
ko:K01430	ypo:BZ17_3684
ko:K01429	ypo:BZ17_3685
ko:K01428	ypo:BZ17_3686
ko:K03187	ypo:BZ17_3687
ko:K03188	ypo:BZ17_3688
ko:K03189	ypo:BZ17_3689
ko:K03190	ypo:BZ17_3690
ko:K08717	ypo:BZ17_3691
ko:K07241	ypo:BZ17_3692
ko:K10716	ypo:BZ17_3694
ko:K06199	ypo:BZ17_3695
ko:K06199	ypo:BZ17_3696
ko:K02760	ypo:BZ17_3697
ko:K02761	ypo:BZ17_3698
ko:K02759	ypo:BZ17_3699
ko:K03490	ypo:BZ17_3700
ko:K03478	ypo:BZ17_3701
ko:K03645	ypo:BZ17_3704
ko:K01835	ypo:BZ17_3705
ko:K08978	ypo:BZ17_3707
ko:K07667	ypo:BZ17_3708
ko:K07646	ypo:BZ17_3709
ko:K01548	ypo:BZ17_3710
ko:K01547	ypo:BZ17_3711
ko:K01546	ypo:BZ17_3712
ko:K01669	ypo:BZ17_3715
ko:K06899	ypo:BZ17_1223
ko:K09904	ypo:BZ17_1224
ko:K07014	ypo:BZ17_1225
ko:K01223	ypo:BZ17_1233
ko:K06166	ypo:BZ17_2047
ko:K06165	ypo:BZ17_2048
ko:K06164	ypo:BZ17_2049
ko:K06163	ypo:BZ17_2050
ko:K05781	ypo:BZ17_2051
ko:K05780	ypo:BZ17_2052
ko:K06162	ypo:BZ17_2053
ko:K05774	ypo:BZ17_2054
ko:K06167	ypo:BZ17_2055
ko:K09979	ypo:BZ17_2057
ko:K10112	ypo:BZ17_2059
ko:K02026	ypo:BZ17_2060
ko:K02025	ypo:BZ17_2061
ko:K02027	ypo:BZ17_2062
ko:K07461	ypo:BZ17_2065
ko:K03824	ypo:BZ17_2066
ko:K08303	ypo:BZ17_2068
ko:K18139	ypo:BZ17_2070
ko:K18138	ypo:BZ17_2071
ko:K03585	ypo:BZ17_2072
ko:K05592	ypo:BZ17_2077
ko:K05803	ypo:BZ17_2078
ko:K00962	ypo:BZ17_2079
ko:K02956	ypo:BZ17_2080
ko:K03177	ypo:BZ17_2081
ko:K02834	ypo:BZ17_2082
ko:K02519	ypo:BZ17_2083
ko:K02600	ypo:BZ17_2084
ko:K09748	ypo:BZ17_2085
ko:K03075	ypo:BZ17_2088
ko:K03431	ypo:BZ17_2089
ko:K00796	ypo:BZ17_2090
ko:K03798	ypo:BZ17_2091
ko:K02427	ypo:BZ17_2092
ko:K07574	ypo:BZ17_2093
ko:K03624	ypo:BZ17_2094
ko:K07259	ypo:BZ17_2095
ko:K07771	ypo:BZ17_2096
ko:K07643	ypo:BZ17_2097
ko:K03979	ypo:BZ17_2098
ko:K02954	ypo:BZ17_2902
ko:K02994	ypo:BZ17_2903
ko:K02933	ypo:BZ17_2904
ko:K02881	ypo:BZ17_2905
ko:K02988	ypo:BZ17_2906
ko:K02907	ypo:BZ17_2907
ko:K02876	ypo:BZ17_2908
ko:K03076	ypo:BZ17_2909
ko:K02919	ypo:BZ17_2910
ko:K02952	ypo:BZ17_2911
ko:K02948	ypo:BZ17_2912
ko:K02986	ypo:BZ17_2913
ko:K03040	ypo:BZ17_2914
ko:K02879	ypo:BZ17_2915
ko:K09890	ypo:BZ17_2917
ko:K03282	ypo:BZ17_2918
ko:K03499	ypo:BZ17_2919
ko:K03500	ypo:BZ17_2920
ko:K00604	ypo:BZ17_2921
ko:K01462	ypo:BZ17_2922
ko:K04096	ypo:BZ17_2923
ko:K03747	ypo:BZ17_2924
ko:K07479	ypo:BZ17_2925
ko:K07566	ypo:BZ17_2926
ko:K00014	ypo:BZ17_2927
ko:K00651	ypo:BZ17_2939
ko:K01638	ypo:BZ17_2940
ko:K01637	ypo:BZ17_2941
ko:K00906	ypo:BZ17_2942
ko:K13641	ypo:BZ17_2943
ko:K00548	ypo:BZ17_2944
ko:K11016	ypo:BZ17_2945
ko:K11017	ypo:BZ17_2946
ko:K00928	ypo:BZ17_2948
ko:K01810	ypo:BZ17_2949
ko:K13256	ypo:BZ17_2950
ko:K10110	ypo:BZ17_2951
ko:K10109	ypo:BZ17_2952
ko:K10108	ypo:BZ17_2953
ko:K10111	ypo:BZ17_2955
ko:K02024	ypo:BZ17_2956
ko:K05775	ypo:BZ17_2957
ko:K04082	ypo:BZ17_3775
ko:K04044	ypo:BZ17_3776
ko:K04755	ypo:BZ17_3777
ko:K07751	ypo:BZ17_3779
ko:K00940	ypo:BZ17_3785
ko:K06941	ypo:BZ17_3786
ko:K02656	ypo:BZ17_3787
ko:K15539	ypo:BZ17_3788
ko:K03526	ypo:BZ17_3789
ko:K01892	ypo:BZ17_3790
ko:K17713	ypo:BZ17_3792
ko:K03977	ypo:BZ17_3793
ko:K07088	ypo:BZ17_3794
ko:K03601	ypo:BZ17_3796
ko:K00088	ypo:BZ17_3798
ko:K01951	ypo:BZ17_3799
ko:K06887	ypo:BZ17_3800
ko:K00941	ypo:BZ17_3807
ko:K08303	ypo:BZ17_3811
ko:K09946	ypo:BZ17_3812
ko:K07664	ypo:BZ17_3813
ko:K07642	ypo:BZ17_3814
ko:K18326	ypo:BZ17_3815
ko:K07789	ypo:BZ17_3816
ko:K07788	ypo:BZ17_3817
ko:K07799	ypo:BZ17_3818
ko:K02052	ypo:BZ17_3819
ko:K00375	ypo:BZ17_3820
ko:K00823	ypo:BZ17_3821
ko:K02055	ypo:BZ17_3822
ko:K02054	ypo:BZ17_3823
ko:K02053	ypo:BZ17_3824
ko:K04046	ypo:BZ17_3826
ko:K06213	ypo:BZ17_3827
ko:K05540	ypo:BZ17_3024
ko:K02687	ypo:BZ17_3025
ko:K14392	ypo:BZ17_3026
ko:K01961	ypo:BZ17_3029
ko:K02160	ypo:BZ17_3030
ko:K03786	ypo:BZ17_3031
ko:K17247	ypo:BZ17_3032
ko:K18765	ypo:BZ17_3035
ko:K03569	ypo:BZ17_3036
ko:K03570	ypo:BZ17_3037
ko:K03571	ypo:BZ17_3038
ko:K06287	ypo:BZ17_3039
ko:K08301	ypo:BZ17_3040
ko:K03568	ypo:BZ17_3043
ko:K11021	ypo:BZ17_3044
ko:K15548	ypo:BZ17_3054
