ko:K00459	hpb:HELPY_0591
ko:K05846	hpb:HELPY_0539
ko:K02557	hpb:HELPY_0541
ko:K02556	hpb:HELPY_0542
ko:K02415	hpb:HELPY_0548
ko:K00997	hpb:HELPY_0549
ko:K07043	hpb:HELPY_0553
ko:K07270	hpb:HELPY_0554
ko:K00797	hpb:HELPY_0522
ko:K00859	hpb:HELPY_0523
ko:K02433	hpb:HELPY_0524
ko:K00088	hpb:HELPY_0525
ko:K03415	hpb:HELPY_0017
ko:K03760	hpb:HELPY_0020
ko:K01647	hpb:HELPY_0024
ko:K00031	hpb:HELPY_0025
ko:K03279	hpb:HELPY_1384
ko:K01935	hpb:HELPY_0027
ko:K06891	hpb:HELPY_0030
ko:K03694	hpb:HELPY_0031
ko:K01579	hpb:HELPY_0032
ko:K09747	hpb:HELPY_0033
ko:K01711	hpb:HELPY_0040
ko:K02377	hpb:HELPY_0041
ko:K04655	hpb:HELPY_0042
ko:K04656	hpb:HELPY_0043
ko:K11928	hpb:HELPY_0048
ko:K00794	hpb:HELPY_0002
ko:K01627	hpb:HELPY_0003
ko:K01673	hpb:HELPY_0004
ko:K01591	hpb:HELPY_0005
ko:K01918	hpb:HELPY_0006
ko:K04077	hpb:HELPY_0008
ko:K04078	hpb:HELPY_0009
ko:K00566	hpb:HELPY_0011
ko:K09859	hpb:HELPY_0016
ko:K03190	hpb:HELPY_0063
ko:K03189	hpb:HELPY_0064
ko:K03188	hpb:HELPY_0065
ko:K03187	hpb:HELPY_0066
ko:K01428	hpb:HELPY_0068
ko:K03101	hpb:HELPY_0071
ko:K03431	hpb:HELPY_0072
ko:K02968	hpb:HELPY_0073
ko:K02835	hpb:HELPY_0074
ko:K03406	hpb:HELPY_0078
ko:K02996	hpb:HELPY_0080
ko:K02871	hpb:HELPY_0081
ko:K00116	hpb:HELPY_0083
ko:K03705	hpb:HELPY_0111
ko:K02406	hpb:HELPY_0115
ko:K03545	hpb:HELPY_0565
ko:K01358	hpb:HELPY_0566
ko:K01462	hpb:HELPY_0567
ko:K07391	hpb:HELPY_0568
ko:K02004	hpb:HELPY_0577
ko:K03070	hpb:HELPY_0578
ko:K03634	hpb:HELPY_0579
ko:K01682	hpb:HELPY_0585
ko:K09903	hpb:HELPY_0587
ko:K03060	hpb:HELPY_0588
ko:K01866	hpb:HELPY_0590
ko:K01448	hpb:HELPY_0592
ko:K02401	hpb:HELPY_0594
ko:K03752	hpb:HELPY_0595
ko:K03639	hpb:HELPY_0596
ko:K03110	hpb:HELPY_0602
ko:K07084	hpb:HELPY_0607
ko:K12251	hpb:HELPY_0608
ko:K03168	hpb:HELPY_0116
ko:K01868	hpb:HELPY_0122
ko:K02520	hpb:HELPY_0123
ko:K02916	hpb:HELPY_0124
ko:K02887	hpb:HELPY_0125
ko:K01752	hpb:HELPY_0132
ko:K03837	hpb:HELPY_0133
ko:K01626	hpb:HELPY_0134
ko:K03564	hpb:HELPY_0137
ko:K00782	hpb:HELPY_0138
ko:K03086	hpb:HELPY_0085
ko:K00645	hpb:HELPY_0087
ko:K01733	hpb:HELPY_0095
ko:K03406	hpb:HELPY_0097
ko:K09765	hpb:HELPY_0098
ko:K03406	hpb:HELPY_0101
ko:K07173	hpb:HELPY_0104
ko:K04043	hpb:HELPY_0109
ko:K03687	hpb:HELPY_0110
ko:K01628	hpb:HELPY_0112
ko:K03303	hpb:HELPY_0142
ko:K03303	hpb:HELPY_0143
ko:K03575	hpb:HELPY_0144
ko:K09477	hpb:HELPY_0145
ko:K00404	hpb:HELPY_0147
ko:K00405	hpb:HELPY_0149
ko:K00406	hpb:HELPY_0151
ko:K01689	hpb:HELPY_0158
ko:K00891	hpb:HELPY_0161
ko:K02421	hpb:HELPY_0176
ko:K01624	hpb:HELPY_0180
ko:K02356	hpb:HELPY_0181
ko:K03820	hpb:HELPY_0184
ko:K03558	hpb:HELPY_0185
ko:K04567	hpb:HELPY_0186
ko:K00600	hpb:HELPY_0187
ko:K00245	hpb:HELPY_0194
ko:K00246	hpb:HELPY_0196
ko:K01803	hpb:HELPY_0197
ko:K00208	hpb:HELPY_0198
ko:K02536	hpb:HELPY_0199
ko:K00789	hpb:HELPY_0200
ko:K00940	hpb:HELPY_0201
ko:K02911	hpb:HELPY_0203
ko:K00981	hpb:HELPY_0218
ko:K00099	hpb:HELPY_0219
ko:K06910	hpb:HELPY_0222
ko:K04487	hpb:HELPY_0224
ko:K04485	hpb:HELPY_0228
ko:K12267	hpb:HELPY_0229
ko:K07090	hpb:HELPY_0230
ko:K00979	hpb:HELPY_0234
ko:K03981	hpb:HELPY_0235
ko:K03621	hpb:HELPY_0204
ko:K00648	hpb:HELPY_0205
ko:K03593	hpb:HELPY_0210
ko:K04079	hpb:HELPY_0213
ko:K07126	hpb:HELPY_0214
ko:K01439	hpb:HELPY_0215
ko:K03495	hpb:HELPY_0216
ko:K07126	hpb:HELPY_0164
ko:K01698	hpb:HELPY_0166
ko:K08303	hpb:HELPY_0172
ko:K02836	hpb:HELPY_0174
ko:K03750	hpb:HELPY_0175
ko:K03609	hpb:HELPY_0335
ko:K03608	hpb:HELPY_0336
ko:K04096	hpb:HELPY_0337
ko:K07447	hpb:HELPY_0338
ko:K07126	hpb:HELPY_0339
ko:K06180	hpb:HELPY_0350
ko:K07462	hpb:HELPY_0351
ko:K01937	hpb:HELPY_0352
ko:K02409	hpb:HELPY_0354
ko:K02410	hpb:HELPY_0355
ko:K02411	hpb:HELPY_0356
ko:K01662	hpb:HELPY_0357
ko:K03596	hpb:HELPY_0358
ko:K02392	hpb:HELPY_0361
ko:K03610	hpb:HELPY_0397
ko:K02535	hpb:HELPY_0398
ko:K00872	hpb:HELPY_0400
ko:K02519	hpb:HELPY_0402
ko:K02834	hpb:HELPY_0403
ko:K09748	hpb:HELPY_0404
ko:K01895	hpb:HELPY_0405
ko:K07098	hpb:HELPY_0406
ko:K02400	hpb:HELPY_0412
ko:K02956	hpb:HELPY_0413
ko:K03786	hpb:HELPY_0415
ko:K01262	hpb:HELPY_0416
ko:K00950	hpb:HELPY_0417
ko:K02404	hpb:HELPY_0418
ko:K04562	hpb:HELPY_0419
ko:K02405	hpb:HELPY_0421
ko:K02416	hpb:HELPY_0422
ko:K02417	hpb:HELPY_0423
ko:K03711	hpb:HELPY_0426
ko:K07478	hpb:HELPY_0427
ko:K05516	hpb:HELPY_0429
ko:K12506	hpb:HELPY_0434
ko:K16235	hpb:HELPY_0436
ko:K00995	hpb:HELPY_0437
ko:K00076	hpb:HELPY_0439
ko:K01714	hpb:HELPY_0440
ko:K00937	hpb:HELPY_0443
ko:K01154	hpb:HELPY_0444
ko:K03427	hpb:HELPY_0445
ko:K07126	hpb:HELPY_0240
ko:K01749	hpb:HELPY_0242
ko:K01881	hpb:HELPY_0243
ko:K02492	hpb:HELPY_0244
ko:K02523	hpb:HELPY_0245
ko:K04047	hpb:HELPY_0248
ko:K07710	hpb:HELPY_0249
ko:K00773	hpb:HELPY_0287
ko:K01735	hpb:HELPY_0289
ko:K01586	hpb:HELPY_0296
ko:K01163	hpb:HELPY_0298
ko:K02397	hpb:HELPY_0301
ko:K02888	hpb:HELPY_0302
ko:K02899	hpb:HELPY_0303
ko:K12368	hpb:HELPY_0304
ko:K12370	hpb:HELPY_0306
ko:K03979	hpb:HELPY_0310
ko:K03466	hpb:HELPY_0363
ko:K00615	hpb:HELPY_0365
ko:K11753	hpb:HELPY_0366
ko:K06442	hpb:HELPY_0367
ko:K00609	hpb:HELPY_0369
ko:K07241	hpb:HELPY_0374
ko:K03798	hpb:HELPY_0381
ko:K02687	hpb:HELPY_0382
ko:K03413	hpb:HELPY_0383
ko:K02394	hpb:HELPY_0251
ko:K05592	hpb:HELPY_0252
ko:K01939	hpb:HELPY_0260
ko:K11749	hpb:HELPY_0263
ko:K03601	hpb:HELPY_0264
ko:K03695	hpb:HELPY_0270
ko:K06196	hpb:HELPY_0271
ko:K01465	hpb:HELPY_0272
ko:K06168	hpb:HELPY_0275
ko:K09778	hpb:HELPY_0276
ko:K12372	hpb:HELPY_0309
ko:K01845	hpb:HELPY_0313
ko:K07226	hpb:HELPY_0321
ko:K01887	hpb:HELPY_0322
ko:K03116	hpb:HELPY_0323
ko:K00942	hpb:HELPY_0324
ko:K02393	hpb:HELPY_0328
ko:K00912	hpb:HELPY_0332
ko:K00053	hpb:HELPY_0334
ko:K02517	hpb:HELPY_0286
ko:K06940	hpb:HELPY_0280
ko:K01609	hpb:HELPY_0282
ko:K02841	hpb:HELPY_0285
ko:K03272	hpb:HELPY_0494
ko:K11754	hpb:HELPY_1548
ko:K02422	hpb:HELPY_0612
ko:K02407	hpb:HELPY_0613
ko:K06603	hpb:HELPY_0614
ko:K09811	hpb:HELPY_0616
ko:K09812	hpb:HELPY_0617
ko:K03439	hpb:HELPY_0618
ko:K06180	hpb:HELPY_0620
ko:K05837	hpb:HELPY_0624
ko:K00948	hpb:HELPY_0625
ko:K01929	hpb:HELPY_0627
ko:K01921	hpb:HELPY_0629
ko:K01095	hpb:HELPY_0630
ko:K00769	hpb:HELPY_0632
ko:K04075	hpb:HELPY_0639
ko:K01424	hpb:HELPY_0644
ko:K06895	hpb:HELPY_0648
ko:K06925	hpb:HELPY_0650
ko:K02343	hpb:HELPY_0649
ko:K06861	hpb:HELPY_0651
ko:K03092	hpb:HELPY_0652
ko:K07023	hpb:HELPY_0655
ko:K03438	hpb:HELPY_0659
ko:K03701	hpb:HELPY_0661
ko:K02469	hpb:HELPY_0668
ko:K00901	hpb:HELPY_0669
ko:K02106	hpb:HELPY_0679
ko:K01029	hpb:HELPY_0681
ko:K01028	hpb:HELPY_0682
ko:K00626	hpb:HELPY_0683
ko:K07501	hpb:HELPY_0684
ko:K04759	hpb:HELPY_0685
ko:K02419	hpb:HELPY_0687
ko:K04042	hpb:HELPY_0688
ko:K07090	hpb:HELPY_0693
ko:K02112	hpb:HELPY_1104
ko:K18929	hpb:HELPY_0139
ko:K02115	hpb:HELPY_1105
ko:K01784	hpb:HELPY_1064
ko:K13016	hpb:HELPY_0692
ko:K01156	hpb:HELPY_1492
ko:K12977	hpb:HELPY_0019
ko:K04763	hpb:HELPY_0695
ko:K00963	hpb:HELPY_0725
ko:K08309	hpb:HELPY_0726
ko:K02221	hpb:HELPY_0727
ko:K01885	hpb:HELPY_0728
ko:K06920	hpb:HELPY_0732
ko:K03620	hpb:HELPY_0738
ko:K03923	hpb:HELPY_0741
ko:K07126	hpb:HELPY_0744
ko:K00674	hpb:HELPY_0745
ko:K01924	hpb:HELPY_0748
ko:K07456	hpb:HELPY_0750
ko:K01507	hpb:HELPY_0751
ko:K00939	hpb:HELPY_0754
ko:K01876	hpb:HELPY_0755
ko:K03415	hpb:HELPY_0756
ko:K01972	hpb:HELPY_0757
ko:K14048	hpb:HELPY_0069
ko:K01736	hpb:HELPY_0708
ko:K03469	hpb:HELPY_0710
ko:K02434	hpb:HELPY_0713
ko:K07277	hpb:HELPY_0716
ko:K02217	hpb:HELPY_0718
ko:K01744	hpb:HELPY_0722
ko:K00790	hpb:HELPY_0723
ko:K03685	hpb:HELPY_0709
ko:K00812	hpb:HELPY_0697
ko:K11473	hpb:HELPY_0705
ko:K00407	hpb:HELPY_0150
ko:K02503	hpb:HELPY_1021
ko:K03296	hpb:HELPY_0765
ko:K13819	hpb:HELPY_0225
ko:K13640	hpb:HELPY_0428
ko:K13747	hpb:HELPY_0018
ko:K00020	hpb:HELPY_0730
ko:K00652	hpb:HELPY_0774
ko:K01156	hpb:HELPY_0782
ko:K01534	hpb:HELPY_0569
ko:K11085	hpb:HELPY_0371
ko:K14059	hpb:HELPY_1521
ko:K13788	hpb:HELPY_0889
ko:K00215	hpb:HELPY_0843
ko:K12573	hpb:HELPY_1224
ko:K03279	hpb:HELPY_0163
ko:K09457	hpb:HELPY_1381
ko:K09804	hpb:HELPY_1211
ko:K01491	hpb:HELPY_0799
ko:K02563	hpb:HELPY_1129
ko:K00286	hpb:HELPY_1132
ko:K04095	hpb:HELPY_1133
ko:K07042	hpb:HELPY_1134
ko:K03839	hpb:HELPY_1135
ko:K00384	hpb:HELPY_1138
ko:K01810	hpb:HELPY_1140
ko:K06200	hpb:HELPY_1142
ko:K02429	hpb:HELPY_1148
ko:K06901	hpb:HELPY_1149
ko:K01839	hpb:HELPY_1152
ko:K08159	hpb:HELPY_1158
ko:K00133	hpb:HELPY_1161
ko:K01892	hpb:HELPY_1162
ko:K02355	hpb:HELPY_1167
ko:K02992	hpb:HELPY_1168
ko:K02950	hpb:HELPY_1169
ko:K02935	hpb:HELPY_1172
ko:K02864	hpb:HELPY_1173
ko:K02863	hpb:HELPY_1174
ko:K02867	hpb:HELPY_1175
ko:K02601	hpb:HELPY_1176
ko:K03073	hpb:HELPY_1177
ko:K02913	hpb:HELPY_1178
ko:K02358	hpb:HELPY_1179
ko:K02970	hpb:HELPY_0815
ko:K02078	hpb:HELPY_0817
ko:K09458	hpb:HELPY_0818
ko:K01962	hpb:HELPY_0819
ko:K03218	hpb:HELPY_0823
ko:K07056	hpb:HELPY_0824
ko:K02909	hpb:HELPY_0825
ko:K03628	hpb:HELPY_0826
ko:K01776	hpb:HELPY_0827
ko:K03667	hpb:HELPY_0831
ko:K01419	hpb:HELPY_0832
ko:K02939	hpb:HELPY_0833
ko:K01915	hpb:HELPY_0840
ko:K02470	hpb:HELPY_0851
ko:K02338	hpb:HELPY_0852
ko:K03308	hpb:HELPY_0855
ko:K03308	hpb:HELPY_0856
ko:K01925	hpb:HELPY_0859
ko:K01000	hpb:HELPY_0860
ko:K02902	hpb:HELPY_0862
ko:K03550	hpb:HELPY_0868
ko:K03980	hpb:HELPY_0870
ko:K01883	hpb:HELPY_0871
ko:K02013	hpb:HELPY_0873
ko:K02015	hpb:HELPY_0874
ko:K04654	hpb:HELPY_0882
ko:K04653	hpb:HELPY_0883
ko:K02389	hpb:HELPY_0891
ko:K02390	hpb:HELPY_0892
ko:K03657	hpb:HELPY_0895
ko:K01955	hpb:HELPY_0903
ko:K00134	hpb:HELPY_0905
ko:K01821	hpb:HELPY_0908
ko:K06187	hpb:HELPY_0909
ko:K06176	hpb:HELPY_0910
ko:K03799	hpb:HELPY_0911
ko:K01495	hpb:HELPY_0912
ko:K00795	hpb:HELPY_0913
ko:K03787	hpb:HELPY_0914
ko:K01737	hpb:HELPY_0916
ko:K01775	hpb:HELPY_0927
ko:K03310	hpb:HELPY_0928
ko:K00285	hpb:HELPY_0929
ko:K00783	hpb:HELPY_0935
ko:K01963	hpb:HELPY_0936
ko:K02527	hpb:HELPY_0943
ko:K07164	hpb:HELPY_0944
ko:K01878	hpb:HELPY_0946
ko:K00057	hpb:HELPY_0947
ko:K02078	hpb:HELPY_0948
ko:K01879	hpb:HELPY_0959
ko:K02435	hpb:HELPY_0962
ko:K00833	hpb:HELPY_0963
ko:K03770	hpb:HELPY_0964
ko:K03590	hpb:HELPY_0965
ko:K03531	hpb:HELPY_0967
ko:K01772	hpb:HELPY_1010
ko:K01874	hpb:HELPY_1011
ko:K00574	hpb:HELPY_1012
ko:K00767	hpb:HELPY_1345
ko:K03517	hpb:HELPY_1346
ko:K01613	hpb:HELPY_1347
ko:K03179	hpb:HELPY_1350
ko:K03570	hpb:HELPY_1359
ko:K03569	hpb:HELPY_1360
ko:K03544	hpb:HELPY_1361
ko:K00677	hpb:HELPY_1362
ko:K02372	hpb:HELPY_1363
ko:K05807	hpb:HELPY_1365
ko:K01338	hpb:HELPY_1366
ko:K01012	hpb:HELPY_1372
ko:K07058	hpb:HELPY_1373
ko:K09710	hpb:HELPY_1382
ko:K00791	hpb:HELPY_1383
ko:K00075	hpb:HELPY_1387
ko:K02420	hpb:HELPY_1388
ko:K02412	hpb:HELPY_1389
ko:K01870	hpb:HELPY_1391
ko:K06941	hpb:HELPY_1397
ko:K06041	hpb:HELPY_1398
ko:K02528	hpb:HELPY_1400
ko:K01433	hpb:HELPY_1403
ko:K04773	hpb:HELPY_1404
ko:K03563	hpb:HELPY_1413
ko:K00919	hpb:HELPY_1414
ko:K03664	hpb:HELPY_1415
ko:K03561	hpb:HELPY_1416
ko:K01951	hpb:HELPY_1015
ko:K01889	hpb:HELPY_1022
ko:K01890	hpb:HELPY_1023
ko:K00800	hpb:HELPY_1024
ko:K03527	hpb:HELPY_1025
ko:K02945	hpb:HELPY_1026
ko:K03182	hpb:HELPY_1029
ko:K06997	hpb:HELPY_1030
ko:K03269	hpb:HELPY_1031
ko:K03415	hpb:HELPY_1032
ko:K03407	hpb:HELPY_1033
ko:K03408	hpb:HELPY_1034
ko:K11065	hpb:HELPY_1035
ko:K04564	hpb:HELPY_1036
ko:K04066	hpb:HELPY_1038
ko:K02493	hpb:HELPY_1044
ko:K00262	hpb:HELPY_1045
ko:K01772	hpb:HELPY_1049
ko:K09761	hpb:HELPY_1051
ko:K01494	hpb:HELPY_1053
ko:K02160	hpb:HELPY_1054
ko:K00573	hpb:HELPY_1061
ko:K07091	hpb:HELPY_1062
ko:K06173	hpb:HELPY_1063
ko:K01625	hpb:HELPY_1068
ko:K01690	hpb:HELPY_1069
ko:K00036	hpb:HELPY_1070
ko:K01057	hpb:HELPY_1071
ko:K00172	hpb:HELPY_1077
ko:K00171	hpb:HELPY_1078
ko:K00169	hpb:HELPY_1079
ko:K00170	hpb:HELPY_1081
ko:K01756	hpb:HELPY_1082
ko:K03702	hpb:HELPY_1084
ko:K02396	hpb:HELPY_1091
ko:K03775	hpb:HELPY_1096
ko:K03640	hpb:HELPY_1098
ko:K03641	hpb:HELPY_1099
ko:K02114	hpb:HELPY_1103
ko:K02111	hpb:HELPY_1106
ko:K02113	hpb:HELPY_1107
ko:K02109	hpb:HELPY_1108
ko:K02109	hpb:HELPY_1109
ko:K03524	hpb:HELPY_1112
ko:K00604	hpb:HELPY_1113
ko:K00640	hpb:HELPY_1186
ko:K02110	hpb:HELPY_1188
ko:K00962	hpb:HELPY_1189
ko:K04744	hpb:HELPY_1191
ko:K01945	hpb:HELPY_1194
ko:K00806	hpb:HELPY_1196
ko:K06199	hpb:HELPY_1200
ko:K08311	hpb:HELPY_1203
ko:K00928	hpb:HELPY_1204
ko:K02341	hpb:HELPY_1206
ko:K00796	hpb:HELPY_1207
ko:K01956	hpb:HELPY_1212
ko:K06287	hpb:HELPY_1215
ko:K01872	hpb:HELPY_1216
ko:K09794	hpb:HELPY_1217
ko:K02963	hpb:HELPY_1220
ko:K02990	hpb:HELPY_1222
ko:K02340	hpb:HELPY_1223
ko:K00014	hpb:HELPY_1225
ko:K01867	hpb:HELPY_1229
ko:K02169	hpb:HELPY_1230
ko:K03075	hpb:HELPY_1231
ko:K02838	hpb:HELPY_1232
ko:K00762	hpb:HELPY_1233
ko:K12410	hpb:HELPY_1235
ko:K00330	hpb:HELPY_1236
ko:K00331	hpb:HELPY_1237
ko:K00332	hpb:HELPY_1238
ko:K00333	hpb:HELPY_1239
ko:K00334	hpb:HELPY_1240
ko:K00337	hpb:HELPY_1243
ko:K00338	hpb:HELPY_1244
ko:K00339	hpb:HELPY_1245
ko:K00340	hpb:HELPY_1246
ko:K00341	hpb:HELPY_1247
ko:K00342	hpb:HELPY_1248
ko:K00343	hpb:HELPY_1249
ko:K01695	hpb:HELPY_1254
ko:K01696	hpb:HELPY_1255
ko:K00766	hpb:HELPY_1257
ko:K01657	hpb:HELPY_1259
ko:K02914	hpb:HELPY_CDS1399748D
ko:K03536	hpb:HELPY_1418
ko:K03217	hpb:HELPY_1420
ko:K03650	hpb:HELPY_1422
ko:K07337	hpb:HELPY_1428
ko:K06178	hpb:HELPY_1430
ko:K02337	hpb:HELPY_1431
ko:K00428	hpb:HELPY_1432
ko:K02065	hpb:HELPY_1437
ko:K02066	hpb:HELPY_1438
ko:K00826	hpb:HELPY_1440
ko:K00943	hpb:HELPY_1447
ko:K00954	hpb:HELPY_1448
ko:K03186	hpb:HELPY_1449
ko:K02386	hpb:HELPY_1450
ko:K03657	hpb:HELPY_1451
ko:K01875	hpb:HELPY_1453
ko:K01154	hpb:HELPY_1506
ko:K03427	hpb:HELPY_1507
ko:K01153	hpb:HELPY_1508
ko:K07043	hpb:HELPY_1509
ko:K01476	hpb:HELPY_1512
ko:K00259	hpb:HELPY_1513
ko:K00858	hpb:HELPY_1516
ko:K03631	hpb:HELPY_1517
ko:K01783	hpb:HELPY_1536
ko:K03841	hpb:HELPY_1537
ko:K00413	hpb:HELPY_1541
ko:K00412	hpb:HELPY_1542
ko:K00411	hpb:HELPY_1543
ko:K03723	hpb:HELPY_1544
ko:K01869	hpb:HELPY_1550
ko:K03074	hpb:HELPY_1552
ko:K03072	hpb:HELPY_1553
ko:K03210	hpb:HELPY_1554
ko:K03313	hpb:HELPY_1555
ko:K02967	hpb:HELPY_1557
ko:K02357	hpb:HELPY_1558
ko:K03587	hpb:HELPY_1559
ko:K02408	hpb:HELPY_1560
ko:K02388	hpb:HELPY_1561
ko:K02387	hpb:HELPY_1562
ko:K03588	hpb:HELPY_1563
ko:K02016	hpb:HELPY_1564
ko:K02073	hpb:HELPY_1566
ko:K05515	hpb:HELPY_1568
ko:K03978	hpb:HELPY_1570
ko:K09774	hpb:HELPY_1571
ko:K03270	hpb:HELPY_1573
ko:K03642	hpb:HELPY_1574
ko:K08307	hpb:HELPY_1575
ko:K03424	hpb:HELPY_1576
ko:K00793	hpb:HELPY_1577
ko:K04061	hpb:HELPY_1578
ko:K02071	hpb:HELPY_1579
ko:K02072	hpb:HELPY_1580
ko:K03474	hpb:HELPY_1586
ko:K00097	hpb:HELPY_1587
ko:K02392	hpb:HELPY_1589
ko:K03707	hpb:HELPY_1263
ko:K03811	hpb:HELPY_1266
ko:K02879	hpb:HELPY_1269
ko:K03040	hpb:HELPY_1270
ko:K02986	hpb:HELPY_1271
ko:K02948	hpb:HELPY_1272
ko:K02952	hpb:HELPY_1273
ko:K02919	hpb:HELPY_CDS1274156R
ko:K02518	hpb:HELPY_1274
ko:K01265	hpb:HELPY_1275
ko:K03076	hpb:HELPY_1276
ko:K02876	hpb:HELPY_1277
ko:K02988	hpb:HELPY_1278
ko:K02881	hpb:HELPY_1279
ko:K02933	hpb:HELPY_1280
ko:K02994	hpb:HELPY_1281
ko:K02954	hpb:HELPY_CDS1278829R
ko:K02931	hpb:HELPY_1282
ko:K02895	hpb:HELPY_1283
ko:K02874	hpb:HELPY_1284
ko:K02961	hpb:HELPY_1285
ko:K02904	hpb:HELPY_1286
ko:K02878	hpb:HELPY_1287
ko:K02982	hpb:HELPY_1289
ko:K02890	hpb:HELPY_1290
ko:K02965	hpb:HELPY_1291
ko:K02886	hpb:HELPY_1292
ko:K02892	hpb:HELPY_1293
ko:K02926	hpb:HELPY_1294
ko:K02906	hpb:HELPY_1295
ko:K02946	hpb:HELPY_1296
ko:K03470	hpb:HELPY_1299
ko:K07787	hpb:HELPY_1305
ko:K03686	hpb:HELPY_1308
ko:K00566	hpb:HELPY_1310
ko:K00969	hpb:HELPY_1312
ko:K07722	hpb:HELPY_1313
ko:K03561	hpb:HELPY_1314
ko:K03832	hpb:HELPY_1316
ko:K03284	hpb:HELPY_1320
ko:K00927	hpb:HELPY_1321
ko:K00134	hpb:HELPY_1322
ko:K03648	hpb:HELPY_1323
ko:K00655	hpb:HELPY_1324
ko:K03797	hpb:HELPY_1326
ko:K02884	hpb:HELPY_1121
ko:K00554	hpb:HELPY_1122
ko:K02860	hpb:HELPY_1123
ko:K06960	hpb:HELPY_1124
ko:K02959	hpb:HELPY_1125
ko:K03106	hpb:HELPY_1126
ko:K01873	hpb:HELPY_1127
ko:K03743	hpb:HELPY_0938
ko:K00567	hpb:HELPY_0694
ko:K00059	hpb:HELPY_0816
ko:K07126	hpb:HELPY_0828
ko:K04652	hpb:HELPY_0884
ko:K03442	hpb:HELPY_0976
ko:K02014	hpb:HELPY_0901
ko:K03602	hpb:HELPY_1455
ko:K03183	hpb:HELPY_1456
ko:K08973	hpb:HELPY_1457
ko:K01993	hpb:HELPY_1461
ko:K03306	hpb:HELPY_1464
ko:K01928	hpb:HELPY_1467
ko:K02897	hpb:HELPY_1469
ko:K01056	hpb:HELPY_1470
ko:K11720	hpb:HELPY_1471
ko:K11752	hpb:HELPY_1478
ko:K03312	hpb:HELPY_1479
ko:K08591	hpb:HELPY_1482
ko:K01633	hpb:HELPY_1483
ko:K01042	hpb:HELPY_1486
ko:K02600	hpb:HELPY_1487
ko:K03655	hpb:HELPY_1495
ko:K01142	hpb:HELPY_1498
ko:K02313	hpb:HELPY_1500
ko:K00820	hpb:HELPY_1503
ko:K01585	hpb:HELPY_1006
ko:K01079	hpb:HELPY_0719
ko:K03386	hpb:HELPY_1565
ko:K07133	hpb:HELPY_1297
ko:K01719	hpb:HELPY_1199
ko:K00616	hpb:HELPY_1468
ko:K01679	hpb:HELPY_1301
ko:K00058	hpb:HELPY_1028
ko:K06013	hpb:HELPY_1043
ko:K07126	hpb:HELPY_1067
ko:K03768	hpb:HELPY_1412
ko:K06346	hpb:HELPY_1421
ko:K01674	hpb:HELPY_1159
ko:K02843	hpb:HELPY_1163
ko:K02067	hpb:HELPY_1436
ko:K00845	hpb:HELPY_1072
ko:K07126	hpb:HELPY_1088
ko:K03784	hpb:HELPY_1151
ko:K07126	hpb:HELPY_1534
ko:K02342	hpb:HELPY_1535
ko:K02238	hpb:HELPY_1351
ko:K00949	hpb:HELPY_1267
ko:K13979	hpb:HELPY_1073
ko:K02242	hpb:HELPY_1446
ko:K14233	hpb:HELPY_tRNA1
ko:K01119	hpb:HELPY_0102
ko:K01426	hpb:HELPY_0300
ko:K01455	hpb:HELPY_1213
