ko:K02495	sfs:SFyv_5686
ko:K04095	sfs:SFyv_4878
ko:K03767	sfs:SFyv_4879
ko:K06141	sfs:SFyv_4881
ko:K00362	sfs:SFyv_4884
ko:K00363	sfs:SFyv_4885
ko:K02598	sfs:SFyv_4886
ko:K02302	sfs:SFyv_4887
ko:K10708	sfs:SFyv_4891
ko:K10709	sfs:SFyv_4893
ko:K10710	sfs:SFyv_4895
ko:K10711	sfs:SFyv_4896
ko:K07048	sfs:SFyv_4901
ko:K01867	sfs:SFyv_4909
ko:K01091	sfs:SFyv_4910
ko:K11534	sfs:SFyv_6124
ko:K01653	sfs:SFyv_6125
ko:K12957	sfs:SFyv_6135
ko:K06915	sfs:SFyv_6136
ko:K11720	sfs:SFyv_6138
ko:K07091	sfs:SFyv_6140
ko:K01255	sfs:SFyv_6141
ko:K02339	sfs:SFyv_6142
ko:K01873	sfs:SFyv_6144
ko:K03828	sfs:SFyv_6147
ko:K09893	sfs:SFyv_6148
ko:K00611	sfs:SFyv_6149
ko:K00609	sfs:SFyv_6158
ko:K00610	sfs:SFyv_6160
ko:K09022	sfs:SFyv_6161
ko:K01531	sfs:SFyv_6163
ko:K03485	sfs:SFyv_6164
ko:K02818	sfs:SFyv_6165
ko:K02819	sfs:SFyv_6165
ko:K01226	sfs:SFyv_6166
ko:K15536	sfs:SFyv_6173
ko:K03592	sfs:SFyv_6177
ko:K09889	sfs:SFyv_6178
ko:K02558	sfs:SFyv_6182
ko:K03841	sfs:SFyv_6185
ko:K02057	sfs:SFyv_6187
ko:K02057	sfs:SFyv_6188
ko:K02056	sfs:SFyv_6189
ko:K02058	sfs:SFyv_6190
ko:K02058	sfs:SFyv_6191
ko:K01507	sfs:SFyv_6192
ko:K09800	sfs:SFyv_6196
ko:K07278	sfs:SFyv_6197
ko:K07304	sfs:SFyv_6199
ko:K07109	sfs:SFyv_6202
ko:K02386	sfs:SFyv_1603
ko:K02387	sfs:SFyv_1605
ko:K02388	sfs:SFyv_1606
ko:K02388	sfs:SFyv_1607
ko:K02389	sfs:SFyv_1608
ko:K01424	sfs:SFyv_2136
ko:K05778	sfs:SFyv_2154
ko:K05778	sfs:SFyv_2156
ko:K05777	sfs:SFyv_2157
ko:K05777	sfs:SFyv_2158
ko:K05777	sfs:SFyv_2160
ko:K01142	sfs:SFyv_2166
ko:K00840	sfs:SFyv_2168
ko:K00840	sfs:SFyv_2169
ko:K00673	sfs:SFyv_2170
ko:K06447	sfs:SFyv_2172
ko:K01484	sfs:SFyv_2174
ko:K01484	sfs:SFyv_2175
ko:K05526	sfs:SFyv_2177
ko:K09975	sfs:SFyv_2180
ko:K05984	sfs:SFyv_2182
ko:K01916	sfs:SFyv_2183
ko:K04064	sfs:SFyv_2184
ko:K02760	sfs:SFyv_2185
ko:K02761	sfs:SFyv_2186
ko:K02759	sfs:SFyv_2187
ko:K03490	sfs:SFyv_2189
ko:K03550	sfs:SFyv_2740
ko:K01159	sfs:SFyv_2743
ko:K08310	sfs:SFyv_2746
ko:K01876	sfs:SFyv_2748
ko:K09904	sfs:SFyv_3305
ko:K07014	sfs:SFyv_3306
ko:K07685	sfs:SFyv_3308
ko:K02200	sfs:SFyv_3309
ko:K02199	sfs:SFyv_3310
ko:K02198	sfs:SFyv_3312
ko:K02197	sfs:SFyv_3314
ko:K02196	sfs:SFyv_3315
ko:K02195	sfs:SFyv_3317
ko:K02194	sfs:SFyv_3318
ko:K02193	sfs:SFyv_3319
ko:K02569	sfs:SFyv_3320
ko:K02568	sfs:SFyv_3322
ko:K02574	sfs:SFyv_3323
ko:K02573	sfs:SFyv_3324
ko:K02567	sfs:SFyv_3327
ko:K02570	sfs:SFyv_3328
ko:K02572	sfs:SFyv_3329
ko:K08276	sfs:SFyv_3330
ko:K00116	sfs:SFyv_3331
ko:K00116	sfs:SFyv_3332
ko:K06159	sfs:SFyv_3335
ko:K03919	sfs:SFyv_3337
ko:K10778	sfs:SFyv_3339
ko:K03734	sfs:SFyv_3340
ko:K08311	sfs:SFyv_4125
ko:K03573	sfs:SFyv_4126
ko:K08227	sfs:SFyv_4130
ko:K05939	sfs:SFyv_4132
ko:K02529	sfs:SFyv_4133
ko:K01586	sfs:SFyv_4134
ko:K02100	sfs:SFyv_4138
ko:K00065	sfs:SFyv_4139
ko:K01815	sfs:SFyv_4140
ko:K00626	sfs:SFyv_4141
ko:K12943	sfs:SFyv_4156
ko:K13479	sfs:SFyv_4160
ko:K13480	sfs:SFyv_4162
ko:K01823	sfs:SFyv_4171
ko:K04567	sfs:SFyv_4173
ko:K02836	sfs:SFyv_4176
ko:K07462	sfs:SFyv_4178
ko:K03981	sfs:SFyv_4179
ko:K04763	sfs:SFyv_4180
ko:K03840	sfs:SFyv_4181
ko:K09159	sfs:SFyv_4184
ko:K06980	sfs:SFyv_4185
ko:K11068	sfs:SFyv_4186
ko:K09900	sfs:SFyv_4187
ko:K01223	sfs:SFyv_4189
ko:K00281	sfs:SFyv_4192
ko:K02437	sfs:SFyv_4193
ko:K00605	sfs:SFyv_4196
ko:K03185	sfs:SFyv_4199
ko:K01262	sfs:SFyv_4200
ko:K09895	sfs:SFyv_4201
ko:K06901	sfs:SFyv_5408
ko:K08163	sfs:SFyv_5417
ko:K03836	sfs:SFyv_5418
ko:K01667	sfs:SFyv_5419
ko:K03650	sfs:SFyv_5423
ko:K03217	sfs:SFyv_5426
ko:K03536	sfs:SFyv_5428
ko:K02914	sfs:SFyv_5429
ko:K02313	sfs:SFyv_5430
ko:K02338	sfs:SFyv_5431
ko:K03629	sfs:SFyv_5432
ko:K02470	sfs:SFyv_5434
ko:K00883	sfs:SFyv_5440
ko:K01631	sfs:SFyv_5443
ko:K01684	sfs:SFyv_5444
ko:K01684	sfs:SFyv_5445
ko:K08194	sfs:SFyv_5447
ko:K04080	sfs:SFyv_5454
ko:K04081	sfs:SFyv_5455
ko:K07085	sfs:SFyv_5457
ko:K03482	sfs:SFyv_5458
ko:K02749	sfs:SFyv_5459
ko:K02750	sfs:SFyv_5459
ko:K01232	sfs:SFyv_5460
ko:K01232	sfs:SFyv_5461
ko:K01232	sfs:SFyv_5462
ko:K03307	sfs:SFyv_5464
ko:K00389	sfs:SFyv_5470
ko:K06871	sfs:SFyv_5473
ko:K08154	sfs:SFyv_5475
ko:K01652	sfs:SFyv_5478
ko:K01653	sfs:SFyv_5480
ko:K07675	sfs:SFyv_5482
ko:K01698	sfs:SFyv_0342
ko:K03119	sfs:SFyv_0344
ko:K15552	sfs:SFyv_0345
ko:K10831	sfs:SFyv_0346
ko:K15551	sfs:SFyv_0347
ko:K00782	sfs:SFyv_0353
ko:K11904	sfs:SFyv_0362
ko:K06445	sfs:SFyv_0372
ko:K06199	sfs:SFyv_0930
ko:K03704	sfs:SFyv_0931
ko:K12973	sfs:SFyv_0933
ko:K03326	sfs:SFyv_0935
ko:K07702	sfs:SFyv_0936
ko:K12972	sfs:SFyv_1531
ko:K12972	sfs:SFyv_1532
ko:K04477	sfs:SFyv_1533
ko:K06214	sfs:SFyv_1538
ko:K04338	sfs:SFyv_1540
ko:K01665	sfs:SFyv_2079
ko:K09917	sfs:SFyv_2080
ko:K07285	sfs:SFyv_2087
ko:K01897	sfs:SFyv_2088
ko:K03684	sfs:SFyv_2089
ko:K13069	sfs:SFyv_2099
ko:K09712	sfs:SFyv_2101
ko:K03449	sfs:SFyv_2103
ko:K03449	sfs:SFyv_2105
ko:K14062	sfs:SFyv_2670
ko:K14061	sfs:SFyv_2671
ko:K14058	sfs:SFyv_2672
ko:K05591	sfs:SFyv_2673
ko:K16074	sfs:SFyv_2675
ko:K03543	sfs:SFyv_2689
ko:K00567	sfs:SFyv_2692
ko:K14055	sfs:SFyv_2695
ko:K16052	sfs:SFyv_2700
ko:K15580	sfs:SFyv_2701
ko:K05541	sfs:SFyv_3232
ko:K06518	sfs:SFyv_3233
ko:K01489	sfs:SFyv_3236
ko:K03748	sfs:SFyv_3237
ko:K17722	sfs:SFyv_3239
ko:K17723	sfs:SFyv_3240
ko:K17723	sfs:SFyv_3242
ko:K10541	sfs:SFyv_3243
ko:K10542	sfs:SFyv_3244
ko:K10540	sfs:SFyv_3245
ko:K02529	sfs:SFyv_3246
ko:K07148	sfs:SFyv_3249
ko:K01495	sfs:SFyv_3250
ko:K01070	sfs:SFyv_3252
ko:K01070	sfs:SFyv_3254
ko:K16089	sfs:SFyv_3255
ko:K16089	sfs:SFyv_3257
ko:K11733	sfs:SFyv_3258
ko:K01151	sfs:SFyv_3263
ko:K16325	sfs:SFyv_3265
ko:K10213	sfs:SFyv_3266
ko:K16326	sfs:SFyv_3267
ko:K12265	sfs:SFyv_3965
ko:K04656	sfs:SFyv_3966
ko:K05796	sfs:SFyv_3967
ko:K03487	sfs:SFyv_3971
ko:K15830	sfs:SFyv_3973
ko:K15829	sfs:SFyv_3974
ko:K15828	sfs:SFyv_3975
ko:K15827	sfs:SFyv_3977
ko:K15833	sfs:SFyv_3978
ko:K04652	sfs:SFyv_3980
ko:K04653	sfs:SFyv_3981
ko:K04654	sfs:SFyv_3983
ko:K04655	sfs:SFyv_3984
ko:K15836	sfs:SFyv_3985
ko:K03555	sfs:SFyv_3993
ko:K07314	sfs:SFyv_3995
ko:K07314	sfs:SFyv_3996
ko:K03186	sfs:SFyv_4008
ko:K03087	sfs:SFyv_4010
ko:K06194	sfs:SFyv_4012
ko:K00573	sfs:SFyv_4014
ko:K03787	sfs:SFyv_4015
ko:K06176	sfs:SFyv_4016
ko:K01770	sfs:SFyv_4017
ko:K00991	sfs:SFyv_4018
ko:K05589	sfs:SFyv_4020
ko:K00860	sfs:SFyv_4022
ko:K00956	sfs:SFyv_4023
ko:K00957	sfs:SFyv_4024
ko:K09612	sfs:SFyv_4025
ko:K00390	sfs:SFyv_4028
ko:K00381	sfs:SFyv_4029
ko:K00380	sfs:SFyv_4030
ko:K01737	sfs:SFyv_4032
ko:K00313	sfs:SFyv_4034
ko:K00138	sfs:SFyv_5245
ko:K13954	sfs:SFyv_5246
ko:K03833	sfs:SFyv_5247
ko:K01042	sfs:SFyv_5248
ko:K02798	sfs:SFyv_5252
ko:K02799	sfs:SFyv_5252
ko:K02800	sfs:SFyv_5252
ko:K00009	sfs:SFyv_5253
ko:K02562	sfs:SFyv_5254
ko:K14762	sfs:SFyv_5256
ko:K00427	sfs:SFyv_5266
ko:K14348	sfs:SFyv_5267
ko:K00101	sfs:SFyv_5269
ko:K03216	sfs:SFyv_5270
ko:K00640	sfs:SFyv_5271
ko:K00057	sfs:SFyv_5272
ko:K03071	sfs:SFyv_5274
ko:K15633	sfs:SFyv_5280
ko:K09798	sfs:SFyv_5284
ko:K00060	sfs:SFyv_5290
ko:K00639	sfs:SFyv_5292
ko:K03274	sfs:SFyv_5295
ko:K02843	sfs:SFyv_5297
ko:K02841	sfs:SFyv_5298
ko:K02847	sfs:SFyv_5299
ko:K03279	sfs:SFyv_5301
ko:K02850	sfs:SFyv_5302
ko:K02848	sfs:SFyv_5305
ko:K02844	sfs:SFyv_5306
ko:K02849	sfs:SFyv_5307
ko:K02527	sfs:SFyv_5312
ko:K00954	sfs:SFyv_5313
ko:K10563	sfs:SFyv_5315
ko:K02913	sfs:SFyv_5316
ko:K02902	sfs:SFyv_5317
ko:K01069	sfs:SFyv_0274
ko:K03469	sfs:SFyv_0276
ko:K02342	sfs:SFyv_0277
ko:K11902	sfs:SFyv_0278
ko:K11895	sfs:SFyv_0282
ko:K11896	sfs:SFyv_0284
ko:K11897	sfs:SFyv_0285
ko:K11898	sfs:SFyv_0286
ko:K01548	sfs:SFyv_0847
ko:K03839	sfs:SFyv_0863
ko:K03711	sfs:SFyv_0864
ko:K01886	sfs:SFyv_0870
ko:K02802	sfs:SFyv_0873
ko:K02803	sfs:SFyv_0873
ko:K02804	sfs:SFyv_0873
ko:K02564	sfs:SFyv_0874
ko:K01443	sfs:SFyv_0875
ko:K02565	sfs:SFyv_0876
ko:K02566	sfs:SFyv_0877
ko:K02566	sfs:SFyv_0878
ko:K01953	sfs:SFyv_0880
ko:K03184	sfs:SFyv_0882
ko:K06168	sfs:SFyv_0883
ko:K07042	sfs:SFyv_0888
ko:K06189	sfs:SFyv_0889
ko:K03820	sfs:SFyv_0890
ko:K10001	sfs:SFyv_0892
ko:K10003	sfs:SFyv_0893
ko:K09020	sfs:SFyv_1432
ko:K09018	sfs:SFyv_1433
ko:K07243	sfs:SFyv_1440
ko:K07224	sfs:SFyv_1441
ko:K16301	sfs:SFyv_1442
ko:K00645	sfs:SFyv_1448
ko:K16137	sfs:SFyv_1463
ko:K11606	sfs:SFyv_2013
ko:K11605	sfs:SFyv_2014
ko:K11604	sfs:SFyv_2016
ko:K03823	sfs:SFyv_2589
ko:K09936	sfs:SFyv_2590
ko:K00137	sfs:SFyv_2596
ko:K02053	sfs:SFyv_2597
ko:K02054	sfs:SFyv_2599
ko:K07491	sfs:SFyv_2605
ko:K07491	sfs:SFyv_2606
ko:K16868	sfs:SFyv_2611
ko:K03304	sfs:SFyv_2612
ko:K03817	sfs:SFyv_2614
ko:K09794	sfs:SFyv_2615
ko:K05876	sfs:SFyv_2621
ko:K02477	sfs:SFyv_3182
ko:K02478	sfs:SFyv_3183
ko:K03597	sfs:SFyv_3819
ko:K03088	sfs:SFyv_3820
ko:K00278	sfs:SFyv_3821
ko:K00278	sfs:SFyv_3822
ko:K15460	sfs:SFyv_3823
ko:K05590	sfs:SFyv_3825
ko:K11249	sfs:SFyv_3827
ko:K03648	sfs:SFyv_3829
ko:K03214	sfs:SFyv_3831
ko:K03672	sfs:SFyv_3832
ko:K05812	sfs:SFyv_3834
ko:K00998	sfs:SFyv_3836
ko:K05811	sfs:SFyv_3837
ko:K05807	sfs:SFyv_3844
ko:K06180	sfs:SFyv_3845
ko:K05810	sfs:SFyv_3846
ko:K03695	sfs:SFyv_3847
ko:K05809	sfs:SFyv_3851
ko:K14170	sfs:SFyv_3854
ko:K14187	sfs:SFyv_3855
ko:K01626	sfs:SFyv_3856
ko:K02884	sfs:SFyv_3864
ko:K00554	sfs:SFyv_3865
ko:K02860	sfs:SFyv_3866
ko:K02959	sfs:SFyv_3867
ko:K03106	sfs:SFyv_3868
ko:K03687	sfs:SFyv_3873
ko:K00858	sfs:SFyv_3875
ko:K03631	sfs:SFyv_3876
ko:K06186	sfs:SFyv_3878
ko:K09801	sfs:SFyv_3880
ko:K03664	sfs:SFyv_3882
ko:K07007	sfs:SFyv_5080
ko:K16322	sfs:SFyv_5081
ko:K06144	sfs:SFyv_5082
