ko:K11741	lce:LC2W_2988
ko:K15580	lce:LC2W_0160
ko:K06872	lce:LC2W_0168
ko:K07090	lce:LC2W_0169
ko:K07006	lce:LC2W_0178
ko:K01304	lce:LC2W_0186
ko:K03501	lce:LC2W_0190
ko:K06942	lce:LC2W_0195
ko:K03624	lce:LC2W_0202
ko:K01928	lce:LC2W_0203
ko:K01779	lce:LC2W_0204
ko:K03701	lce:LC2W_1059
ko:K06958	lce:LC2W_1061
ko:K01358	lce:LC2W_1066
ko:K05311	lce:LC2W_1116
ko:K00134	lce:LC2W_1117
ko:K00927	lce:LC2W_1118
ko:K01803	lce:LC2W_1119
ko:K00763	lce:LC2W_1982
ko:K03710	lce:LC2W_1984
ko:K01443	lce:LC2W_1985
ko:K00286	lce:LC2W_1986
ko:K03305	lce:LC2W_1989
ko:K01610	lce:LC2W_1997
ko:K04759	lce:LC2W_1999
ko:K04758	lce:LC2W_2000
ko:K07118	lce:LC2W_2003
ko:K02774	lce:LC2W_2838
ko:K02773	lce:LC2W_2839
ko:K02444	lce:LC2W_2840
ko:K03210	lce:LC2W_2853
ko:K02747	lce:LC2W_2855
ko:K02746	lce:LC2W_2856
ko:K01815	lce:LC2W_2861
ko:K01625	lce:LC2W_2863
ko:K00874	lce:LC2W_2864
ko:K01807	lce:LC2W_2866
ko:K03975	lce:LC2W_2870
ko:K01232	lce:LC2W_2874
ko:K08094	lce:LC2W_0449
ko:K00009	lce:LC2W_0451
ko:K02003	lce:LC2W_0465
ko:K01421	lce:LC2W_0482
ko:K02073	lce:LC2W_0485
ko:K01442	lce:LC2W_0486
ko:K05879	lce:LC2W_0492
ko:K05878	lce:LC2W_0493
ko:K11717	lce:LC2W_1350
ko:K09014	lce:LC2W_1352
ko:K07478	lce:LC2W_1361
ko:K01919	lce:LC2W_1362
ko:K01752	lce:LC2W_1365
ko:K01752	lce:LC2W_1366
ko:K03811	lce:LC2W_1370
ko:K04486	lce:LC2W_1372
ko:K15580	lce:LC2W_1373
ko:K07693	lce:LC2W_1389
ko:K07778	lce:LC2W_1390
ko:K06959	lce:LC2W_1402
ko:K09703	lce:LC2W_2229
ko:K01154	lce:LC2W_2234
ko:K01154	lce:LC2W_2236
ko:K03427	lce:LC2W_2237
ko:K01153	lce:LC2W_2239
ko:K01193	lce:LC2W_2248
ko:K00574	lce:LC2W_2253
ko:K01962	lce:LC2W_2254
ko:K01963	lce:LC2W_2255
ko:K01961	lce:LC2W_2256
ko:K02372	lce:LC2W_2257
ko:K02160	lce:LC2W_2258
ko:K09458	lce:LC2W_2259
ko:K00645	lce:LC2W_2261
ko:K02078	lce:LC2W_2263
ko:K00648	lce:LC2W_2264
ko:K02372	lce:LC2W_2266
ko:K02003	lce:LC2W_3116
ko:K08317	lce:LC2W_3121
ko:K03495	lce:LC2W_3128
ko:K03650	lce:LC2W_3129
ko:K03217	lce:LC2W_3131
ko:K03536	lce:LC2W_3132
ko:K02914	lce:LC2W_3133
ko:K02787	lce:LC2W_p06
ko:K02788	lce:LC2W_p06
ko:K00640	lce:LC2W_p13
ko:K01153	lce:LC2W_p16
ko:K03427	lce:LC2W_p17
ko:K00868	lce:LC2W_0686
ko:K00297	lce:LC2W_0687
ko:K00549	lce:LC2W_0688
ko:K08177	lce:LC2W_0692
ko:K07862	lce:LC2W_0696
ko:K00262	lce:LC2W_0700
ko:K03704	lce:LC2W_0701
ko:K03320	lce:LC2W_0716
ko:K07223	lce:LC2W_0717
ko:K07507	lce:LC2W_0718
ko:K02440	lce:LC2W_0726
ko:K02003	lce:LC2W_1588
ko:K00817	lce:LC2W_1596
ko:K02500	lce:LC2W_1599
ko:K01814	lce:LC2W_1600
ko:K02501	lce:LC2W_1601
ko:K01693	lce:LC2W_1602
ko:K00013	lce:LC2W_1603
ko:K00765	lce:LC2W_1604
ko:K02502	lce:LC2W_1605
ko:K00817	lce:LC2W_1606
ko:K00077	lce:LC2W_1612
ko:K09699	lce:LC2W_1613
ko:K00167	lce:LC2W_1614
ko:K00166	lce:LC2W_1615
ko:K00382	lce:LC2W_1616
ko:K00762	lce:LC2W_1620
ko:K01591	lce:LC2W_1621
ko:K01955	lce:LC2W_1623
ko:K01956	lce:LC2W_1624
ko:K01465	lce:LC2W_1625
ko:K00609	lce:LC2W_1626
ko:K02825	lce:LC2W_1628
ko:K06180	lce:LC2W_1629
ko:K03101	lce:LC2W_1630
ko:K01938	lce:LC2W_1631
ko:K02601	lce:LC2W_2453
ko:K03073	lce:LC2W_2454
ko:K02913	lce:LC2W_2455
ko:K03734	lce:LC2W_2458
ko:K03885	lce:LC2W_2460
ko:K06962	lce:LC2W_2468
ko:K03218	lce:LC2W_2469
ko:K11145	lce:LC2W_2470
ko:K01883	lce:LC2W_2471
ko:K01807	lce:LC2W_2478
ko:K04485	lce:LC2W_2493
ko:K06975	lce:LC2W_2495
ko:K03549	lce:LC2W_2502
ko:K07090	lce:LC2W_0034
ko:K03322	lce:LC2W_0038
ko:K01624	lce:LC2W_0345
ko:K07006	lce:LC2W_0360
ko:K02529	lce:LC2W_0368
ko:K07090	lce:LC2W_0376
ko:K06871	lce:LC2W_0377
ko:K12700	lce:LC2W_0378
ko:K02759	lce:LC2W_1240
ko:K03654	lce:LC2W_1243
ko:K07058	lce:LC2W_1249
ko:K01265	lce:LC2W_1251
ko:K00963	lce:LC2W_1256
ko:K01223	lce:LC2W_1267
ko:K03704	lce:LC2W_1277
ko:K03816	lce:LC2W_1280
ko:K01589	lce:LC2W_1282
ko:K01756	lce:LC2W_1283
ko:K01810	lce:LC2W_1291
ko:K02003	lce:LC2W_2121
ko:K03665	lce:LC2W_2124
ko:K00067	lce:LC2W_2130
ko:K01790	lce:LC2W_2132
ko:K00973	lce:LC2W_2133
ko:K08659	lce:LC2W_0041
ko:K05846	lce:LC2W_0058
ko:K05845	lce:LC2W_0059
ko:K05846	lce:LC2W_0060
ko:K05847	lce:LC2W_0061
ko:K01695	lce:LC2W_0062
ko:K01696	lce:LC2W_0063
ko:K01817	lce:LC2W_0064
ko:K01609	lce:LC2W_0065
ko:K00766	lce:LC2W_0066
ko:K07727	lce:LC2W_0956
ko:K00432	lce:LC2W_0992
ko:K14155	lce:LC2W_0993
ko:K07166	lce:LC2W_0996
ko:K09157	lce:LC2W_0997
ko:K07040	lce:LC2W_1857
ko:K09710	lce:LC2W_1860
ko:K00969	lce:LC2W_1862
ko:K07574	lce:LC2W_1863
ko:K07015	lce:LC2W_1865
ko:K15975	lce:LC2W_1867
ko:K06999	lce:LC2W_1868
ko:K06966	lce:LC2W_1870
ko:K02887	lce:LC2W_1871
ko:K02916	lce:LC2W_1872
ko:K02520	lce:LC2W_1873
ko:K01868	lce:LC2W_1877
ko:K07738	lce:LC2W_1881
ko:K00859	lce:LC2W_1882
ko:K06890	lce:LC2W_1885
ko:K01924	lce:LC2W_1886
ko:K03466	lce:LC2W_1887
ko:K06878	lce:LC2W_1888
ko:K03439	lce:LC2W_1891
ko:K02503	lce:LC2W_1895
ko:K06180	lce:LC2W_1902
ko:K03402	lce:LC2W_1903
ko:K01887	lce:LC2W_1904
ko:K01937	lce:LC2W_2724
ko:K06885	lce:LC2W_2729
ko:K03282	lce:LC2W_2733
ko:K00948	lce:LC2W_2737
ko:K04042	lce:LC2W_2738
ko:K02068	lce:LC2W_2741
ko:K02069	lce:LC2W_2742
ko:K00919	lce:LC2W_2744
ko:K02528	lce:LC2W_2746
ko:K05985	lce:LC2W_2747
ko:K03424	lce:LC2W_2748
ko:K02773	lce:LC2W_2749
ko:K01874	lce:LC2W_2757
ko:K12410	lce:LC2W_2763
ko:K01524	lce:LC2W_2770
ko:K00937	lce:LC2W_2771
ko:K01524	lce:LC2W_2772
ko:K03823	lce:LC2W_2775
ko:K06872	lce:LC2W_2777
ko:K03744	lce:LC2W_2778
ko:K01867	lce:LC2W_2780
ko:K00942	lce:LC2W_2147
ko:K01866	lce:LC2W_2150
ko:K03734	lce:LC2W_2153
ko:K00688	lce:LC2W_2156
ko:K00703	lce:LC2W_2157
ko:K00975	lce:LC2W_2158
ko:K00975	lce:LC2W_2159
ko:K00826	lce:LC2W_2161
ko:K04041	lce:LC2W_2165
ko:K00783	lce:LC2W_3003
ko:K13993	lce:LC2W_3010
ko:K01940	lce:LC2W_3021
ko:K01755	lce:LC2W_3022
ko:K02761	lce:LC2W_3025
ko:K02760	lce:LC2W_3027
ko:K02759	lce:LC2W_3028
ko:K03449	lce:LC2W_3035
ko:K00566	lce:LC2W_1465
ko:K03581	lce:LC2W_1469
ko:K01462	lce:LC2W_1476
ko:K00161	lce:LC2W_1478
ko:K00162	lce:LC2W_1479
ko:K00627	lce:LC2W_1480
ko:K00382	lce:LC2W_1481
ko:K06207	lce:LC2W_1485
ko:K03588	lce:LC2W_1486
ko:K00954	lce:LC2W_1490
ko:K02237	lce:LC2W_1492
ko:K02340	lce:LC2W_1494
ko:K02968	lce:LC2W_1495
ko:K02956	lce:LC2W_1497
ko:K02358	lce:LC2W_1501
ko:K03545	lce:LC2W_1504
ko:K03544	lce:LC2W_1505
ko:K03978	lce:LC2W_1506
ko:K03703	lce:LC2W_1510
ko:K02768	lce:LC2W_1512
ko:K02769	lce:LC2W_1512
ko:K02770	lce:LC2W_1512
ko:K03979	lce:LC2W_1515
ko:K07124	lce:LC2W_1518
ko:K03695	lce:LC2W_1521
ko:K01223	lce:LC2W_2339
ko:K00426	lce:LC2W_2359
ko:K00425	lce:LC2W_2360
ko:K00756	lce:LC2W_2362
ko:K01246	lce:LC2W_2368
ko:K03523	lce:LC2W_2375
ko:K06287	lce:LC2W_2390
ko:K03572	lce:LC2W_2391
ko:K03555	lce:LC2W_2392
ko:K03550	lce:LC2W_0845
ko:K03551	lce:LC2W_0846
ko:K07568	lce:LC2W_0847
ko:K00773	lce:LC2W_0849
ko:K03210	lce:LC2W_0850
ko:K04072	lce:LC2W_0851
ko:K00036	lce:LC2W_0853
ko:K02346	lce:LC2W_0854
ko:K01872	lce:LC2W_0859
ko:K07447	lce:LC2W_0863
ko:K09888	lce:LC2W_0865
ko:K07456	lce:LC2W_0867
ko:K03671	lce:LC2W_0868
ko:K03367	lce:LC2W_0870
ko:K03739	lce:LC2W_0871
ko:K14188	lce:LC2W_0872
ko:K03740	lce:LC2W_0873
ko:K07095	lce:LC2W_0877
ko:K02440	lce:LC2W_0878
ko:K02529	lce:LC2W_0887
ko:K03524	lce:LC2W_0892
ko:K01126	lce:LC2W_0894
ko:K03975	lce:LC2W_0904
ko:K03763	lce:LC2W_1745
ko:K01881	lce:LC2W_1746
ko:K11749	lce:LC2W_1747
ko:K00981	lce:LC2W_1748
ko:K00806	lce:LC2W_1749
ko:K02838	lce:LC2W_1751
ko:K09903	lce:LC2W_1752
ko:K02357	lce:LC2W_1753
ko:K02967	lce:LC2W_1754
ko:K07461	lce:LC2W_1757
ko:K00655	lce:LC2W_1759
ko:K02884	lce:LC2W_1767
ko:K00554	lce:LC2W_1768
ko:K02860	lce:LC2W_1769
ko:K06960	lce:LC2W_1771
ko:K02959	lce:LC2W_1772
ko:K03106	lce:LC2W_1773
ko:K03110	lce:LC2W_1777
ko:K03529	lce:LC2W_1778
ko:K03685	lce:LC2W_1779
ko:K02034	lce:LC2W_1781
ko:K02078	lce:LC2W_1785
ko:K03621	lce:LC2W_1786
ko:K03655	lce:LC2W_1787
ko:K02902	lce:LC2W_1790
ko:K01783	lce:LC2W_1793
ko:K06949	lce:LC2W_1794
ko:K03500	lce:LC2W_1797
ko:K00604	lce:LC2W_1798
ko:K02996	lce:LC2W_2623
ko:K02871	lce:LC2W_2624
ko:K02003	lce:LC2W_2628
ko:K06173	lce:LC2W_2631
ko:K02879	lce:LC2W_2636
ko:K03040	lce:LC2W_2637
ko:K02948	lce:LC2W_2638
ko:K02952	lce:LC2W_2639
ko:K02919	lce:LC2W_2640
ko:K02518	lce:LC2W_2641
ko:K03076	lce:LC2W_2643
ko:K02876	lce:LC2W_2644
ko:K02907	lce:LC2W_2645
ko:K02988	lce:LC2W_2646
ko:K02881	lce:LC2W_2647
ko:K02933	lce:LC2W_2648
ko:K02994	lce:LC2W_2649
ko:K02954	lce:LC2W_2650
ko:K02931	lce:LC2W_2651
ko:K02895	lce:LC2W_2652
ko:K02874	lce:LC2W_2653
ko:K02961	lce:LC2W_2654
ko:K02904	lce:LC2W_2655
ko:K02878	lce:LC2W_2656
ko:K02982	lce:LC2W_2657
ko:K02890	lce:LC2W_2658
ko:K02965	lce:LC2W_2659
ko:K02886	lce:LC2W_2660
ko:K02892	lce:LC2W_2661
ko:K02926	lce:LC2W_2662
ko:K02906	lce:LC2W_2663
ko:K02946	lce:LC2W_2664
ko:K13256	lce:LC2W_2665
ko:K02355	lce:LC2W_2668
ko:K02992	lce:LC2W_2669
ko:K02950	lce:LC2W_2670
ko:K03046	lce:LC2W_2673
ko:K03043	lce:LC2W_2674
ko:K03696	lce:LC2W_2675
ko:K06608	lce:LC2W_0206
ko:K00140	lce:LC2W_0208
ko:K03337	lce:LC2W_0209
ko:K03338	lce:LC2W_0210
ko:K03336	lce:LC2W_0211
ko:K03335	lce:LC2W_0214
ko:K08602	lce:LC2W_0235
ko:K03311	lce:LC2W_0237
ko:K03100	lce:LC2W_0243
ko:K03671	lce:LC2W_0249
ko:K01999	lce:LC2W_0253
ko:K01997	lce:LC2W_0254
ko:K01995	lce:LC2W_0256
ko:K01996	lce:LC2W_0257
ko:K02761	lce:LC2W_0259
ko:K01689	lce:LC2W_1120
ko:K03075	lce:LC2W_1124
ko:K03928	lce:LC2W_1125
ko:K12573	lce:LC2W_1126
ko:K03664	lce:LC2W_1127
ko:K03648	lce:LC2W_1149
ko:K06925	lce:LC2W_1151
ko:K01142	lce:LC2W_1156
ko:K00075	lce:LC2W_1157
ko:K03431	lce:LC2W_1176
ko:K01875	lce:LC2W_2009
ko:K01575	lce:LC2W_2014
ko:K01652	lce:LC2W_2016
ko:K02913	lce:LC2W_2022
ko:K04564	lce:LC2W_2023
ko:K06180	lce:LC2W_2024
ko:K05964	lce:LC2W_2031
ko:K01643	lce:LC2W_2032
ko:K01644	lce:LC2W_2033
ko:K01646	lce:LC2W_2034
ko:K01910	lce:LC2W_2035
ko:K03300	lce:LC2W_2040
ko:K07559	lce:LC2W_2042
ko:K07090	lce:LC2W_2052
ko:K03817	lce:LC2W_2058
ko:K01042	lce:LC2W_2894
ko:K01465	lce:LC2W_2895
ko:K02781	lce:LC2W_2904
ko:K01807	lce:LC2W_2919
ko:K01783	lce:LC2W_2922
ko:K03710	lce:LC2W_2933
ko:K09758	lce:LC2W_2934
ko:K01246	lce:LC2W_0500
ko:K01624	lce:LC2W_0501
ko:K07010	lce:LC2W_0505
ko:K01915	lce:LC2W_0506
ko:K02759	lce:LC2W_0515
ko:K02761	lce:LC2W_0516
ko:K02760	lce:LC2W_0517
ko:K01256	lce:LC2W_0533
ko:K08996	lce:LC2W_0536
ko:K00014	lce:LC2W_0542
ko:K00014	lce:LC2W_0544
ko:K00651	lce:LC2W_0546
ko:K01738	lce:LC2W_0547
ko:K06915	lce:LC2W_1408
ko:K06915	lce:LC2W_1409
ko:K02986	lce:LC2W_1420
ko:K04487	lce:LC2W_1423
ko:K03151	lce:LC2W_1424
ko:K01926	lce:LC2W_1426
ko:K01873	lce:LC2W_1428
ko:K11754	lce:LC2W_1429
ko:K03630	lce:LC2W_1431
ko:K03569	lce:LC2W_1432
ko:K03570	lce:LC2W_1433
ko:K03571	lce:LC2W_1434
ko:K03610	lce:LC2W_1435
ko:K03609	lce:LC2W_1436
ko:K02029	lce:LC2W_1438
ko:K06131	lce:LC2W_1441
ko:K03925	lce:LC2W_1443
ko:K03438	lce:LC2W_1444
ko:K01000	lce:LC2W_1447
ko:K01925	lce:LC2W_1448
ko:K02563	lce:LC2W_1449
ko:K03589	lce:LC2W_1450
ko:K03590	lce:LC2W_1451
ko:K03531	lce:LC2W_1452
ko:K09772	lce:LC2W_1453
ko:K02221	lce:LC2W_1454
ko:K04487	lce:LC2W_1461
ko:K02002	lce:LC2W_2293
ko:K02001	lce:LC2W_2294
ko:K02000	lce:LC2W_2295
ko:K06206	lce:LC2W_2296
ko:K00872	lce:LC2W_2299
ko:K01733	lce:LC2W_2300
ko:K00003	lce:LC2W_2301
ko:K00928	lce:LC2W_2302
ko:K03778	lce:LC2W_2306
ko:K01953	lce:LC2W_2312
ko:K02548	lce:LC2W_2319
ko:K00925	lce:LC2W_2321
ko:K00259	lce:LC2W_2329
ko:K01754	lce:LC2W_2330
ko:K08659	lce:LC2W_2334
ko:K00864	lce:LC2W_0729
ko:K02531	lce:LC2W_0731
ko:K02787	lce:LC2W_0732
ko:K02788	lce:LC2W_0732
ko:K00849	lce:LC2W_0735
ko:K00965	lce:LC2W_0737
ko:K02529	lce:LC2W_0738
ko:K03547	lce:LC2W_0753
ko:K13993	lce:LC2W_0758
ko:K03575	lce:LC2W_0760
ko:K00941	lce:LC2W_0767
ko:K07118	lce:LC2W_0770
ko:K05349	lce:LC2W_0772
ko:K07078	lce:LC2W_1634
ko:K06131	lce:LC2W_1636
ko:K03800	lce:LC2W_1645
ko:K07444	lce:LC2W_1648
ko:K05366	lce:LC2W_1653
ko:K10773	lce:LC2W_1655
ko:K01893	lce:LC2W_1657
ko:K01821	lce:LC2W_1671
ko:K06967	lce:LC2W_1673
ko:K03086	lce:LC2W_1675
ko:K01879	lce:LC2W_1677
ko:K01878	lce:LC2W_1678
ko:K03584	lce:LC2W_1681
ko:K07042	lce:LC2W_1685
ko:K09117	lce:LC2W_1688
ko:K02970	lce:LC2W_1689
ko:K01839	lce:LC2W_2511
ko:K00757	lce:LC2W_2513
ko:K02647	lce:LC2W_2515
ko:K00147	lce:LC2W_2521
ko:K00931	lce:LC2W_2522
ko:K09384	lce:LC2W_2531
ko:K07707	lce:LC2W_2549
ko:K03092	lce:LC2W_0388
ko:K01624	lce:LC2W_0391
ko:K09988	lce:LC2W_0396
ko:K11201	lce:LC2W_0399
ko:K11202	lce:LC2W_0400
ko:K11203	lce:LC2W_0400
ko:K14155	lce:LC2W_0401
ko:K01624	lce:LC2W_0404
ko:K02768	lce:LC2W_0405
ko:K02769	lce:LC2W_0405
ko:K02770	lce:LC2W_0405
ko:K05879	lce:LC2W_0415
ko:K05878	lce:LC2W_0416
ko:K08094	lce:LC2W_0418
ko:K03710	lce:LC2W_0419
ko:K02812	lce:LC2W_0423
ko:K02813	lce:LC2W_0424
ko:K02814	lce:LC2W_0425
ko:K02815	lce:LC2W_0426
ko:K01624	lce:LC2W_0428
ko:K14445	lce:LC2W_0429
ko:K08659	lce:LC2W_1309
ko:K01928	lce:LC2W_1320
ko:K02835	lce:LC2W_1322
ko:K02493	lce:LC2W_1323
ko:K07566	lce:LC2W_1324
ko:K00600	lce:LC2W_1325
ko:K00761	lce:LC2W_1326
ko:K02108	lce:LC2W_1328
ko:K02110	lce:LC2W_1329
ko:K02109	lce:LC2W_1330
ko:K02113	lce:LC2W_1331
ko:K02111	lce:LC2W_1332
ko:K02115	lce:LC2W_1333
ko:K02112	lce:LC2W_1334
ko:K02114	lce:LC2W_1335
ko:K03569	lce:LC2W_1337
ko:K08998	lce:LC2W_1339
ko:K05837	lce:LC2W_1341
ko:K02437	lce:LC2W_1342
ko:K02073	lce:LC2W_1344
ko:K02073	lce:LC2W_1345
ko:K02071	lce:LC2W_1346
ko:K02072	lce:LC2W_1347
ko:K09013	lce:LC2W_1348
ko:K09015	lce:LC2W_1349
ko:K00067	lce:LC2W_2176
ko:K00973	lce:LC2W_2179
ko:K15581	lce:LC2W_2202
ko:K15580	lce:LC2W_2203
ko:K02356	lce:LC2W_2206
ko:K00782	lce:LC2W_2209
ko:K02759	lce:LC2W_2213
ko:K02761	lce:LC2W_2217
ko:K07407	lce:LC2W_2218
ko:K09861	lce:LC2W_2219
ko:K03581	lce:LC2W_2221
ko:K03817	lce:LC2W_3060
ko:K03924	lce:LC2W_3062
ko:K03924	lce:LC2W_3063
ko:K01744	lce:LC2W_3070
ko:K00948	lce:LC2W_3101
ko:K00009	lce:LC2W_3104
ko:K01809	lce:LC2W_0634
ko:K03710	lce:LC2W_0640
ko:K03734	lce:LC2W_0651
ko:K03777	lce:LC2W_0657
ko:K03311	lce:LC2W_0671
ko:K02911	lce:LC2W_1522
ko:K02337	lce:LC2W_1527
ko:K00850	lce:LC2W_1528
ko:K00873	lce:LC2W_1529
ko:K00243	lce:LC2W_1531
ko:K02859	lce:LC2W_1533
ko:K05896	lce:LC2W_1534
ko:K06024	lce:LC2W_1535
ko:K06178	lce:LC2W_1536
ko:K03654	lce:LC2W_1540
ko:K00945	lce:LC2W_1542
ko:K02945	lce:LC2W_1543
ko:K03977	lce:LC2W_1544
ko:K03530	lce:LC2W_1545
ko:K15738	lce:LC2W_1550
ko:K11068	lce:LC2W_1554
ko:K00215	lce:LC2W_0085
ko:K01714	lce:LC2W_0086
ko:K05823	lce:LC2W_0087
ko:K01586	lce:LC2W_0089
ko:K00928	lce:LC2W_0090
ko:K01778	lce:LC2W_0091
ko:K00133	lce:LC2W_0092
ko:K02939	lce:LC2W_0100
ko:K01939	lce:LC2W_0103
ko:K01534	lce:LC2W_0104
ko:K01921	lce:LC2W_0127
ko:K03778	lce:LC2W_0129
ko:K08987	lce:LC2W_0133
ko:K06901	lce:LC2W_0135
ko:K15975	lce:LC2W_0137
ko:K00858	lce:LC2W_1002
ko:K06180	lce:LC2W_1003
ko:K03734	lce:LC2W_1004
ko:K06153	lce:LC2W_1006
ko:K02781	lce:LC2W_1008
ko:K02954	lce:LC2W_1009
ko:K00364	lce:LC2W_1010
ko:K03284	lce:LC2W_1011
ko:K00563	lce:LC2W_1012
ko:K03216	lce:LC2W_1013
ko:K03466	lce:LC2W_1015
ko:K00995	lce:LC2W_1020
ko:K03070	lce:LC2W_1029
ko:K02836	lce:LC2W_1030
ko:K09812	lce:LC2W_1031
ko:K09811	lce:LC2W_1032
ko:K07636	lce:LC2W_1035
ko:K02040	lce:LC2W_1036
ko:K02037	lce:LC2W_1037
ko:K02038	lce:LC2W_1038
ko:K02036	lce:LC2W_1039
ko:K02036	lce:LC2W_1040
ko:K02039	lce:LC2W_1041
ko:K08972	lce:LC2W_1044
ko:K13292	lce:LC2W_1046
ko:K00057	lce:LC2W_1047
ko:K00384	lce:LC2W_1048
ko:K02003	lce:LC2W_1053
ko:K07023	lce:LC2W_1055
ko:K03702	lce:LC2W_1057
ko:K01126	lce:LC2W_1909
ko:K02003	lce:LC2W_1916
ko:K01945	lce:LC2W_1922
ko:K00602	lce:LC2W_1923
ko:K11175	lce:LC2W_1924
ko:K01933	lce:LC2W_1925
ko:K00764	lce:LC2W_1926
ko:K01952	lce:LC2W_1927
ko:K01952	lce:LC2W_1928
ko:K01952	lce:LC2W_1929
ko:K01923	lce:LC2W_1930
ko:K01589	lce:LC2W_1931
ko:K01588	lce:LC2W_1932
ko:K02837	lce:LC2W_1940
ko:K03565	lce:LC2W_1946
ko:K03489	lce:LC2W_1952
ko:K01223	lce:LC2W_1953
ko:K02761	lce:LC2W_1954
ko:K02760	lce:LC2W_1957
ko:K05847	lce:LC2W_2786
ko:K06950	lce:LC2W_2794
ko:K03701	lce:LC2W_2797
ko:K07150	lce:LC2W_2813
ko:K00864	lce:LC2W_2820
ko:K02759	lce:LC2W_2827
ko:K01628	lce:LC2W_2835
ko:K03797	lce:LC2W_1560
ko:K14540	lce:LC2W_1566
ko:K03470	lce:LC2W_1567
ko:K04096	lce:LC2W_1568
ko:K03168	lce:LC2W_1569
ko:K04094	lce:LC2W_1571
ko:K03733	lce:LC2W_1572
ko:K01419	lce:LC2W_1573
ko:K03667	lce:LC2W_1574
ko:K08591	lce:LC2W_1576
ko:K02622	lce:LC2W_1577
ko:K02621	lce:LC2W_1578
ko:K00656	lce:LC2W_1579
ko:K04069	lce:LC2W_1580
ko:K04077	lce:LC2W_2396
ko:K04078	lce:LC2W_2397
ko:K01926	lce:LC2W_2403
ko:K06158	lce:LC2W_2404
ko:K02760	lce:LC2W_2405
ko:K03789	lce:LC2W_2407
ko:K07056	lce:LC2W_2416
ko:K02341	lce:LC2W_2418
ko:K00943	lce:LC2W_2420
ko:K06187	lce:LC2W_2424
ko:K09747	lce:LC2W_2425
ko:K02343	lce:LC2W_2426
ko:K14205	lce:LC2W_2430
ko:K02935	lce:LC2W_2435
ko:K02864	lce:LC2W_2436
ko:K08369	lce:LC2W_2440
ko:K02863	lce:LC2W_2442
ko:K02867	lce:LC2W_2443
ko:K01531	lce:LC2W_2444
ko:K02313	lce:LC2W_0001
ko:K02338	lce:LC2W_0002
ko:K03629	lce:LC2W_0005
ko:K02470	lce:LC2W_0007
ko:K02469	lce:LC2W_0008
ko:K02990	lce:LC2W_0011
ko:K02963	lce:LC2W_0013
ko:K00425	lce:LC2W_0016
