ko:K15581	sew:SeSA_A1879
ko:K07014	sew:SeSA_A2467
ko:K07685	sew:SeSA_A2472
ko:K02200	sew:SeSA_A2473
ko:K02199	sew:SeSA_A2474
ko:K02198	sew:SeSA_A2475
ko:K02197	sew:SeSA_A2476
ko:K02196	sew:SeSA_A2477
ko:K02195	sew:SeSA_A2478
ko:K02194	sew:SeSA_A2479
ko:K02193	sew:SeSA_A2480
ko:K02569	sew:SeSA_A2481
ko:K02568	sew:SeSA_A2482
ko:K02573	sew:SeSA_A2484
ko:K02567	sew:SeSA_A2485
ko:K02572	sew:SeSA_A2487
ko:K08276	sew:SeSA_A2488
ko:K03919	sew:SeSA_A2490
ko:K03734	sew:SeSA_A2492
ko:K09475	sew:SeSA_A2493
ko:K07676	sew:SeSA_A2495
ko:K02469	sew:SeSA_A2498
ko:K00525	sew:SeSA_A2504
ko:K00526	sew:SeSA_A2505
ko:K11107	sew:SeSA_A2506
ko:K01126	sew:SeSA_A2510
ko:K02445	sew:SeSA_A2511
ko:K00111	sew:SeSA_A2512
ko:K00112	sew:SeSA_A2513
ko:K07000	sew:SeSA_A3368
ko:K03651	sew:SeSA_A3369
ko:K09920	sew:SeSA_A3370
ko:K07238	sew:SeSA_A3376
ko:K03673	sew:SeSA_A3379
ko:K03611	sew:SeSA_A3380
ko:K02858	sew:SeSA_A3383
ko:K00982	sew:SeSA_A3391
ko:K07184	sew:SeSA_A3393
ko:K06153	sew:SeSA_A3395
ko:K01633	sew:SeSA_A3396
ko:K08591	sew:SeSA_A3397
ko:K01409	sew:SeSA_A3398
ko:K02970	sew:SeSA_A3399
ko:K02316	sew:SeSA_A3400
ko:K03086	sew:SeSA_A3401
ko:K03776	sew:SeSA_A3407
ko:K07043	sew:SeSA_A3412
ko:K05787	sew:SeSA_A4381
ko:K07862	sew:SeSA_A3416
ko:K07393	sew:SeSA_A3424
ko:K06911	sew:SeSA_A3427
ko:K07640	sew:SeSA_A4275
ko:K07662	sew:SeSA_A4276
ko:K02048	sew:SeSA_A4280
ko:K00847	sew:SeSA_A4283
ko:K10558	sew:SeSA_A4290
ko:K10556	sew:SeSA_A4291
ko:K10557	sew:SeSA_A4292
ko:K10555	sew:SeSA_A4293
ko:K08321	sew:SeSA_A4294
ko:K01783	sew:SeSA_A4296
ko:K01803	sew:SeSA_A4297
ko:K00528	sew:SeSA_A4300
ko:K00090	sew:SeSA_A3841
ko:K00058	sew:SeSA_A3235
ko:K00990	sew:SeSA_A0238
ko:K01265	sew:SeSA_A0239
ko:K02967	sew:SeSA_A0241
ko:K02357	sew:SeSA_A0242
ko:K09903	sew:SeSA_A0243
ko:K02838	sew:SeSA_A0244
ko:K00099	sew:SeSA_A0245
ko:K00806	sew:SeSA_A0246
ko:K00981	sew:SeSA_A0247
ko:K07277	sew:SeSA_A0250
ko:K06142	sew:SeSA_A0251
ko:K02536	sew:SeSA_A0252
ko:K02372	sew:SeSA_A0253
ko:K00677	sew:SeSA_A0254
ko:K03470	sew:SeSA_A0256
ko:K02337	sew:SeSA_A0257
ko:K04075	sew:SeSA_A0263
ko:K01881	sew:SeSA_A0269
ko:K01752	sew:SeSA_A3131
ko:K00048	sew:SeSA_A3133
ko:K02429	sew:SeSA_A3137
ko:K01818	sew:SeSA_A3138
ko:K02430	sew:SeSA_A3141
ko:K06968	sew:SeSA_A3142
ko:K03581	sew:SeSA_A3156
ko:K03582	sew:SeSA_A3157
ko:K01407	sew:SeSA_A3158
ko:K03583	sew:SeSA_A3159
ko:K00560	sew:SeSA_A3165
ko:K08484	sew:SeSA_A3167
ko:K08311	sew:SeSA_A3168
ko:K03573	sew:SeSA_A3169
ko:K08227	sew:SeSA_A3174
ko:K01586	sew:SeSA_A3181
ko:K00428	sew:SeSA_A4031
ko:K07811	sew:SeSA_A4033
ko:K03532	sew:SeSA_A4034
ko:K02470	sew:SeSA_A4047
ko:K03629	sew:SeSA_A4048
ko:K02338	sew:SeSA_A4049
ko:K02313	sew:SeSA_A4050
ko:K02914	sew:SeSA_A4052
ko:K03536	sew:SeSA_A4053
ko:K03217	sew:SeSA_A4054
ko:K03650	sew:SeSA_A4055
ko:K06901	sew:SeSA_A4060
ko:K02039	sew:SeSA_A4062
ko:K02036	sew:SeSA_A4063
ko:K02038	sew:SeSA_A4064
ko:K02037	sew:SeSA_A4065
ko:K02040	sew:SeSA_A4066
ko:K02769	sew:SeSA_A4067
ko:K02770	sew:SeSA_A4067
ko:K00014	sew:SeSA_A4068
ko:K00820	sew:SeSA_A4070
ko:K06890	sew:SeSA_A4073
ko:K02114	sew:SeSA_A4074
ko:K02112	sew:SeSA_A4075
ko:K02115	sew:SeSA_A4076
ko:K02111	sew:SeSA_A4077
ko:K02113	sew:SeSA_A4078
ko:K02109	sew:SeSA_A4079
ko:K02110	sew:SeSA_A4080
ko:K02108	sew:SeSA_A4081
ko:K03199	sew:SeSA_B0108
ko:K03200	sew:SeSA_B0109
ko:K03203	sew:SeSA_B0113
ko:K03204	sew:SeSA_B0114
ko:K03195	sew:SeSA_B0115
ko:K03196	sew:SeSA_B0116
ko:K03169	sew:SeSA_B0121
ko:K03746	sew:SeSA_B0122
ko:K11392	sew:SeSA_A1993
ko:K06966	sew:SeSA_A3129
ko:K03837	sew:SeSA_A3130
ko:K07347	sew:SeSA_A0338
ko:K06445	sew:SeSA_A0358
ko:K03271	sew:SeSA_A0359
ko:K02346	sew:SeSA_A0362
ko:K02839	sew:SeSA_A0364
ko:K00769	sew:SeSA_A0366
ko:K11069	sew:SeSA_A1299
ko:K11070	sew:SeSA_A1300
ko:K11071	sew:SeSA_A1304
ko:K01258	sew:SeSA_A1306
ko:K01756	sew:SeSA_A1311
ko:K07153	sew:SeSA_A1312
ko:K07644	sew:SeSA_A0727
ko:K06048	sew:SeSA_A0741
ko:K02364	sew:SeSA_A0746
ko:K02013	sew:SeSA_A0748
ko:K02015	sew:SeSA_A0749
ko:K02015	sew:SeSA_A0750
ko:K02016	sew:SeSA_A0752
ko:K02361	sew:SeSA_A0753
ko:K02363	sew:SeSA_A0754
ko:K02371	sew:SeSA_A1665
ko:K03315	sew:SeSA_A1668
ko:K06044	sew:SeSA_A1671
ko:K08350	sew:SeSA_A1684
ko:K02575	sew:SeSA_A1693
ko:K02014	sew:SeSA_A1705
ko:K07119	sew:SeSA_A1707
ko:K03823	sew:SeSA_A1708
ko:K09936	sew:SeSA_A1709
ko:K08641	sew:SeSA_A1717
ko:K08303	sew:SeSA_A1721
ko:K07095	sew:SeSA_A2576
ko:K07071	sew:SeSA_A2579
ko:K10017	sew:SeSA_A2580
ko:K10015	sew:SeSA_A2581
ko:K10016	sew:SeSA_A2582
ko:K10014	sew:SeSA_A2583
ko:K03186	sew:SeSA_A2586
ko:K01586	sew:SeSA_A2590
ko:K00764	sew:SeSA_A2592
ko:K03558	sew:SeSA_A2593
ko:K03749	sew:SeSA_A2594
ko:K03975	sew:SeSA_A2597
ko:K06173	sew:SeSA_A2598
ko:K03473	sew:SeSA_A2600
ko:K09906	sew:SeSA_A2610
ko:K07261	sew:SeSA_A2612
ko:K01736	sew:SeSA_A2613
ko:K08296	sew:SeSA_A2616
ko:K06076	sew:SeSA_A2620
ko:K04754	sew:SeSA_A2621
ko:K07259	sew:SeSA_A3491
ko:K03979	sew:SeSA_A3493
ko:K02899	sew:SeSA_A3495
ko:K02888	sew:SeSA_A3496
ko:K02523	sew:SeSA_A3497
ko:K00790	sew:SeSA_A3499
ko:K07323	sew:SeSA_A3502
ko:K02067	sew:SeSA_A3503
ko:K02066	sew:SeSA_A3504
ko:K02065	sew:SeSA_A3505
ko:K07301	sew:SeSA_A3506
ko:K06041	sew:SeSA_A3507
ko:K03270	sew:SeSA_A3508
ko:K09774	sew:SeSA_A3510
ko:K06861	sew:SeSA_A3511
ko:K03092	sew:SeSA_A3512
ko:K05808	sew:SeSA_A3513
ko:K03814	sew:SeSA_A3518
ko:K07648	sew:SeSA_A3521
ko:K07139	sew:SeSA_A3522
ko:K10974	sew:SeSA_A3526
ko:K01788	sew:SeSA_A3530
ko:K03290	sew:SeSA_A3531
ko:K01639	sew:SeSA_A3532
ko:K03600	sew:SeSA_A3534
ko:K03599	sew:SeSA_A3535
ko:K02996	sew:SeSA_A3536
ko:K02871	sew:SeSA_A3537
ko:K06916	sew:SeSA_A3538
ko:K09908	sew:SeSA_A3539
ko:K01573	sew:SeSA_A3545
ko:K01637	sew:SeSA_A4395
ko:K00548	sew:SeSA_A4401
ko:K03455	sew:SeSA_A0554
ko:K08223	sew:SeSA_A0556
ko:K07340	sew:SeSA_A0564
ko:K05838	sew:SeSA_A0568
ko:K02003	sew:SeSA_A0570
ko:K02073	sew:SeSA_A0574
ko:K02071	sew:SeSA_A0575
ko:K04774	sew:SeSA_A1848
ko:K08992	sew:SeSA_A1838
ko:K02824	sew:SeSA_A2734
ko:K07688	sew:SeSA_A0594
ko:K06080	sew:SeSA_A0271
ko:K02073	sew:SeSA_A0272
ko:K02072	sew:SeSA_A0273
ko:K02071	sew:SeSA_A0274
ko:K08307	sew:SeSA_A0290
ko:K03469	sew:SeSA_A0293
ko:K02342	sew:SeSA_A0294
ko:K03980	sew:SeSA_A1238
ko:K02399	sew:SeSA_A1239
ko:K02398	sew:SeSA_A1240
ko:K02386	sew:SeSA_A1241
ko:K02387	sew:SeSA_A1242
ko:K02388	sew:SeSA_A1243
ko:K02389	sew:SeSA_A1244
ko:K02390	sew:SeSA_A1245
ko:K02391	sew:SeSA_A1246
ko:K02392	sew:SeSA_A1247
ko:K02393	sew:SeSA_A1248
ko:K02394	sew:SeSA_A1249
ko:K02395	sew:SeSA_A1250
ko:K02396	sew:SeSA_A1251
ko:K02397	sew:SeSA_A1252
ko:K08300	sew:SeSA_A1253
ko:K06179	sew:SeSA_A1255
ko:K07040	sew:SeSA_A1260
ko:K03621	sew:SeSA_A1261
ko:K00648	sew:SeSA_A1263
ko:K00645	sew:SeSA_A1264
ko:K02078	sew:SeSA_A1266
ko:K09458	sew:SeSA_A1267
ko:K07347	sew:SeSA_A1271
ko:K07345	sew:SeSA_A1273
ko:K07082	sew:SeSA_A1275
ko:K00943	sew:SeSA_A1276
ko:K02341	sew:SeSA_A1277
ko:K03424	sew:SeSA_A1278
ko:K07337	sew:SeSA_A1283
ko:K07000	sew:SeSA_A1286
ko:K03885	sew:SeSA_A1287
ko:K03723	sew:SeSA_A1292
ko:K09808	sew:SeSA_A1294
ko:K09808	sew:SeSA_A1296
ko:K04031	sew:SeSA_A2225
ko:K04029	sew:SeSA_A2226
ko:K09802	sew:SeSA_A2229
ko:K07258	sew:SeSA_A2232
ko:K08354	sew:SeSA_A2233
ko:K06904	sew:SeSA_A2264
ko:K03535	sew:SeSA_A3121
ko:K06175	sew:SeSA_A3124
ko:K07686	sew:SeSA_A4000
ko:K09477	sew:SeSA_A0777
ko:K03148	sew:SeSA_A4372
ko:K05995	sew:SeSA_A4403
ko:K09912	sew:SeSA_A4404
ko:K06182	sew:SeSA_A4405
ko:K00928	sew:SeSA_A4411
ko:K01810	sew:SeSA_A4412
ko:K10110	sew:SeSA_A4419
ko:K10108	sew:SeSA_A4421
ko:K10111	sew:SeSA_A4422
ko:K05775	sew:SeSA_A4424
ko:K03181	sew:SeSA_A4425
ko:K03179	sew:SeSA_A4426
ko:K00901	sew:SeSA_A4428
ko:K01356	sew:SeSA_A4429
ko:K07751	sew:SeSA_A2776
ko:K04044	sew:SeSA_A2779
ko:K04082	sew:SeSA_A2780
ko:K04488	sew:SeSA_A2782
ko:K05820	sew:SeSA_A2795
ko:K00600	sew:SeSA_A2796
ko:K05916	sew:SeSA_A2798
ko:K03305	sew:SeSA_A2802
ko:K07715	sew:SeSA_A2804
ko:K01952	sew:SeSA_A2808
ko:K07106	sew:SeSA_A2814
ko:K00362	sew:SeSA_A3671
ko:K00363	sew:SeSA_A3673
ko:K01867	sew:SeSA_A3678
ko:K01783	sew:SeSA_A3680
ko:K06223	sew:SeSA_A3681
ko:K03112	sew:SeSA_A3682
ko:K01735	sew:SeSA_A3683
ko:K00891	sew:SeSA_A3684
ko:K08312	sew:SeSA_A3691
ko:K04762	sew:SeSA_A3694
ko:K04083	sew:SeSA_A3695
ko:K07638	sew:SeSA_A3699
ko:K04760	sew:SeSA_A3701
ko:K06959	sew:SeSA_A3702
ko:K04758	sew:SeSA_A3703
ko:K04759	sew:SeSA_A3704
ko:K07490	sew:SeSA_A3705
ko:K02170	sew:SeSA_A3708
ko:K07400	sew:SeSA_A3710
ko:K06155	sew:SeSA_A3711
ko:K00705	sew:SeSA_A3712
ko:K00688	sew:SeSA_A3713
ko:K03556	sew:SeSA_A3714
ko:K02444	sew:SeSA_A3715
ko:K02441	sew:SeSA_A3716
ko:K02439	sew:SeSA_A3717
ko:K00111	sew:SeSA_A3718
ko:K00688	sew:SeSA_A3724
ko:K00975	sew:SeSA_A3726
ko:K02438	sew:SeSA_A3727
ko:K00700	sew:SeSA_A3728
ko:K00133	sew:SeSA_A3729
ko:K04084	sew:SeSA_A4593
ko:K03926	sew:SeSA_A4594
ko:K01744	sew:SeSA_A4596
ko:K07113	sew:SeSA_A4597
ko:K04078	sew:SeSA_A4599
ko:K04077	sew:SeSA_A4600
ko:K02356	sew:SeSA_A4604
ko:K03098	sew:SeSA_A4609
ko:K00246	sew:SeSA_A4611
ko:K04568	sew:SeSA_A4614
ko:K01613	sew:SeSA_A4617
ko:K06949	sew:SeSA_A4618
ko:K09996	sew:SeSA_A4620
ko:K06925	sew:SeSA_A4625
ko:K01448	sew:SeSA_A4626
ko:K03572	sew:SeSA_A4627
ko:K00791	sew:SeSA_A4628
ko:K03665	sew:SeSA_A4630
ko:K04088	sew:SeSA_A4631
ko:K04087	sew:SeSA_A4632
ko:K09937	sew:SeSA_A4633
ko:K01939	sew:SeSA_A4634
ko:K03218	sew:SeSA_A4637
ko:K08989	sew:SeSA_A4642
ko:K09456	sew:SeSA_A4645
ko:K03476	sew:SeSA_A4650
ko:K04042	sew:SeSA_A4071
ko:K01091	sew:SeSA_A3679
ko:K03893	sew:SeSA_A0717
ko:K02431	sew:SeSA_A3140
ko:K05527	sew:SeSA_A0505
ko:K07675	sew:SeSA_A3999
ko:K03327	sew:SeSA_A4430
ko:K09823	sew:SeSA_A4433
ko:K06952	sew:SeSA_A4441
ko:K00615	sew:SeSA_A2707
ko:K01962	sew:SeSA_A0258
ko:K00564	sew:SeSA_A4809
ko:K07674	sew:SeSA_A2713
ko:K01439	sew:SeSA_A2716
ko:K07054	sew:SeSA_A2719
ko:K01923	sew:SeSA_A2720
ko:K07287	sew:SeSA_A2722
ko:K03567	sew:SeSA_A2724
ko:K03564	sew:SeSA_A2725
ko:K00865	sew:SeSA_A2726
ko:K02647	sew:SeSA_A2728
ko:K03548	sew:SeSA_A2730
ko:K10763	sew:SeSA_A2733
ko:K00761	sew:SeSA_A2735
ko:K01933	sew:SeSA_A2737
ko:K11175	sew:SeSA_A2738
ko:K00937	sew:SeSA_A2739
ko:K01951	sew:SeSA_A2744
ko:K00088	sew:SeSA_A2745
ko:K03601	sew:SeSA_A2746
ko:K07700	sew:SeSA_A0059
ko:K01572	sew:SeSA_A0060
ko:K01573	sew:SeSA_A0062
ko:K01910	sew:SeSA_A0064
ko:K01646	sew:SeSA_A0065
ko:K01956	sew:SeSA_A0074
ko:K01955	sew:SeSA_A0075
ko:K02182	sew:SeSA_A0079
ko:K05245	sew:SeSA_A0082
ko:K03521	sew:SeSA_A0085
ko:K03522	sew:SeSA_A0086
ko:K00313	sew:SeSA_A0087
ko:K00287	sew:SeSA_A0098
ko:K06195	sew:SeSA_A0100
ko:K02528	sew:SeSA_A0101
ko:K00097	sew:SeSA_A0102
ko:K03771	sew:SeSA_A0103
ko:K04744	sew:SeSA_A0104
ko:K05801	sew:SeSA_A0106
ko:K06177	sew:SeSA_A0107
ko:K03580	sew:SeSA_A0108
ko:K02336	sew:SeSA_A0109
ko:K01804	sew:SeSA_A0113
ko:K09824	sew:SeSA_A1058
ko:K03704	sew:SeSA_A1061
ko:K06891	sew:SeSA_A1062
ko:K03694	sew:SeSA_A1063
ko:K06911	sew:SeSA_A1066
ko:K02518	sew:SeSA_A1068
ko:K00684	sew:SeSA_A1069
ko:K00384	sew:SeSA_A1072
ko:K03634	sew:SeSA_A1075
ko:K07478	sew:SeSA_A1076
ko:K01875	sew:SeSA_A1077
ko:K07308	sew:SeSA_A1080
ko:K04069	sew:SeSA_A1083
ko:K00656	sew:SeSA_A1086
ko:K09136	sew:SeSA_A1088
ko:K00831	sew:SeSA_A1090
ko:K00800	sew:SeSA_A1091
ko:K07387	sew:SeSA_A1092
ko:K00945	sew:SeSA_A1093
ko:K02945	sew:SeSA_A1094
ko:K05788	sew:SeSA_A1095
ko:K02238	sew:SeSA_A1097
ko:K00912	sew:SeSA_A1099
ko:K09927	sew:SeSA_A1100
ko:K09791	sew:SeSA_A1101
ko:K00979	sew:SeSA_A1102
ko:K06219	sew:SeSA_A1105
ko:K09918	sew:SeSA_A2036
ko:K08289	sew:SeSA_A2037
ko:K01690	sew:SeSA_A2039
ko:K00036	sew:SeSA_A2040
ko:K00873	sew:SeSA_A2042
ko:K02560	sew:SeSA_A2043
ko:K09815	sew:SeSA_A2045
ko:K09817	sew:SeSA_A2046
ko:K09816	sew:SeSA_A2047
ko:K03551	sew:SeSA_A2048
ko:K03550	sew:SeSA_A2049
ko:K01159	sew:SeSA_A2052
ko:K08310	sew:SeSA_A2054
ko:K01876	sew:SeSA_A2055
ko:K07136	sew:SeSA_A2058
ko:K06201	sew:SeSA_A2061
ko:K09907	sew:SeSA_A2062
ko:K01887	sew:SeSA_A2064
ko:K03516	sew:SeSA_A2067
ko:K02400	sew:SeSA_A2068
ko:K03414	sew:SeSA_A2070
ko:K03413	sew:SeSA_A2071
ko:K03412	sew:SeSA_A2072
