ko:K00344	vcm:VCM66_0510
ko:K03550	vcm:VCM66_1769
ko:K01159	vcm:VCM66_1770
ko:K01883	vcm:VCM66_1771
ko:K03269	vcm:VCM66_1773
ko:K09858	vcm:VCM66_1775
ko:K03722	vcm:VCM66_1778
ko:K07090	vcm:VCM66_1779
ko:K04067	vcm:VCM66_1780
ko:K01142	vcm:VCM66_1783
ko:K00656	vcm:VCM66_1789
ko:K04069	vcm:VCM66_1792
ko:K09161	vcm:VCM66_1794
ko:K07180	vcm:VCM66_1795
ko:K09786	vcm:VCM66_1796
ko:K03765	vcm:VCM66_0263
ko:K03757	vcm:VCM66_0265
ko:K09939	vcm:VCM66_0268
ko:K02014	vcm:VCM66_0269
ko:K01625	vcm:VCM66_0270
ko:K03299	vcm:VCM66_0271
ko:K00851	vcm:VCM66_0272
ko:K01690	vcm:VCM66_0273
ko:K06145	vcm:VCM66_0274
ko:K03557	vcm:VCM66_0275
ko:K02687	vcm:VCM66_0278
ko:K02160	vcm:VCM66_0281
ko:K03786	vcm:VCM66_0282
ko:K01895	vcm:VCM66_0283
ko:K02342	vcm:VCM66_0284
ko:K05820	vcm:VCM66_0287
ko:K03732	vcm:VCM66_0290
ko:K03671	vcm:VCM66_0291
ko:K03628	vcm:VCM66_0292
ko:K03182	vcm:VCM66_0294
ko:K05368	vcm:VCM66_0296
ko:K00998	vcm:VCM66_0299
ko:K00075	vcm:VCM66_0302
ko:K03524	vcm:VCM66_0303
ko:K00867	vcm:VCM66_0304
ko:K02358	vcm:VCM66_0305
ko:K03073	vcm:VCM66_0306
ko:K02601	vcm:VCM66_0307
ko:K02867	vcm:VCM66_0308
ko:K02863	vcm:VCM66_0309
ko:K02864	vcm:VCM66_0310
ko:K02935	vcm:VCM66_0311
ko:K03043	vcm:VCM66_0312
ko:K03046	vcm:VCM66_0313
ko:K07740	vcm:VCM66_0314
ko:K03426	vcm:VCM66_0315
ko:K12279	vcm:VCM66_0384
ko:K00979	vcm:VCM66_1799
ko:K09791	vcm:VCM66_1800
ko:K00912	vcm:VCM66_1801
ko:K02238	vcm:VCM66_1803
ko:K09928	vcm:VCM66_1804
ko:K09808	vcm:VCM66_1806
ko:K09808	vcm:VCM66_1808
ko:K03723	vcm:VCM66_1810
ko:K00230	vcm:VCM66_2675
ko:K03498	vcm:VCM66_2676
ko:K04042	vcm:VCM66_2682
ko:K02114	vcm:VCM66_2683
ko:K02112	vcm:VCM66_2684
ko:K02115	vcm:VCM66_2685
ko:K02111	vcm:VCM66_2686
ko:K02113	vcm:VCM66_2687
ko:K02109	vcm:VCM66_2688
ko:K02110	vcm:VCM66_2689
ko:K02108	vcm:VCM66_2690
ko:K03497	vcm:VCM66_2692
ko:K03496	vcm:VCM66_2693
ko:K03501	vcm:VCM66_2694
ko:K03495	vcm:VCM66_2695
ko:K03556	vcm:VCM66_A0011
ko:K00688	vcm:VCM66_A0013
ko:K00705	vcm:VCM66_A0014
ko:K00700	vcm:VCM66_A0015
ko:K07136	vcm:VCM66_A0021
ko:K07088	vcm:VCM66_A0023
ko:K09909	vcm:VCM66_A0025
ko:K07093	vcm:VCM66_A0032
ko:K07862	vcm:VCM66_A0035
ko:K07152	vcm:VCM66_A0037
ko:K08974	vcm:VCM66_A0039
ko:K03411	vcm:VCM66_A1047
ko:K00575	vcm:VCM66_A1048
ko:K03408	vcm:VCM66_A1050
ko:K03408	vcm:VCM66_A1051
ko:K03407	vcm:VCM66_A1052
ko:K03413	vcm:VCM66_A1053
ko:K02035	vcm:VCM66_A1055
ko:K02033	vcm:VCM66_A1056
ko:K02034	vcm:VCM66_A1057
ko:K03760	vcm:VCM66_A1059
ko:K07645	vcm:VCM66_A1061
ko:K03497	vcm:VCM66_A1070
ko:K00795	vcm:VCM66_0847
ko:K03602	vcm:VCM66_0848
ko:K02556	vcm:VCM66_0849
ko:K02557	vcm:VCM66_0850
ko:K03151	vcm:VCM66_0851
ko:K06966	vcm:VCM66_0856
ko:K02073	vcm:VCM66_0862
ko:K02072	vcm:VCM66_0863
ko:K02071	vcm:VCM66_0864
ko:K03273	vcm:VCM66_0865
ko:K03485	vcm:VCM66_0866
ko:K02818	vcm:VCM66_0867
ko:K02819	vcm:VCM66_0867
ko:K01226	vcm:VCM66_0868
ko:K02472	vcm:VCM66_0875
ko:K00640	vcm:VCM66_0880
ko:K01912	vcm:VCM66_0881
ko:K05946	vcm:VCM66_0884
ko:K03606	vcm:VCM66_0890
ko:K00600	vcm:VCM66_0897
ko:K03644	vcm:VCM66_0899
ko:K03801	vcm:VCM66_0900
ko:K09158	vcm:VCM66_0901
ko:K07258	vcm:VCM66_0903
ko:K03642	vcm:VCM66_0904
ko:K05837	vcm:VCM66_0905
ko:K03885	vcm:VCM66_1814
ko:K07000	vcm:VCM66_1816
ko:K07337	vcm:VCM66_1818
ko:K09859	vcm:VCM66_1820
ko:K03603	vcm:VCM66_1824
ko:K03314	vcm:VCM66_1825
ko:K03611	vcm:VCM66_1826
ko:K03466	vcm:VCM66_1827
ko:K00259	vcm:VCM66_1829
ko:K06169	vcm:VCM66_1834
ko:K01591	vcm:VCM66_1835
ko:K05788	vcm:VCM66_1838
ko:K02945	vcm:VCM66_1839
ko:K00945	vcm:VCM66_1840
ko:K02237	vcm:VCM66_1841
ko:K03770	vcm:VCM66_1842
ko:K03530	vcm:VCM66_1843
ko:K01338	vcm:VCM66_1844
ko:K03544	vcm:VCM66_1845
ko:K01358	vcm:VCM66_1846
ko:K03545	vcm:VCM66_1847
ko:K10125	vcm:VCM66_1849
ko:K10126	vcm:VCM66_1850
ko:K11690	vcm:VCM66_1851
ko:K11688	vcm:VCM66_1853
ko:K00981	vcm:VCM66_1860
ko:K07107	vcm:VCM66_1862
ko:K03312	vcm:VCM66_A0040
ko:K06975	vcm:VCM66_A0042
ko:K03784	vcm:VCM66_A0050
ko:K01669	vcm:VCM66_A0054
ko:K06078	vcm:VCM66_A0056
ko:K01354	vcm:VCM66_A0060
ko:K02014	vcm:VCM66_A0061
ko:K02040	vcm:VCM66_A0067
ko:K02037	vcm:VCM66_A0068
ko:K02038	vcm:VCM66_A0069
ko:K02036	vcm:VCM66_A0070
ko:K00763	vcm:VCM66_A0096
ko:K06177	vcm:VCM66_A0102
ko:K11901	vcm:VCM66_A0105
ko:K05515	vcm:VCM66_0906
ko:K00783	vcm:VCM66_0907
ko:K09710	vcm:VCM66_0908
ko:K12266	vcm:VCM66_A0178
ko:K12340	vcm:VCM66_2359
ko:K02340	vcm:VCM66_0909
ko:K03643	vcm:VCM66_0910
ko:K01869	vcm:VCM66_0912
ko:K03820	vcm:VCM66_0914
ko:K06189	vcm:VCM66_0915
ko:K07042	vcm:VCM66_0916
ko:K06217	vcm:VCM66_0917
ko:K06168	vcm:VCM66_0918
ko:K03184	vcm:VCM66_0919
ko:K02777	vcm:VCM66_0920
ko:K08483	vcm:VCM66_0921
ko:K02784	vcm:VCM66_0922
ko:K01738	vcm:VCM66_0924
ko:K06203	vcm:VCM66_0925
ko:K03528	vcm:VCM66_0926
ko:K01972	vcm:VCM66_0927
ko:K07340	vcm:VCM66_0931
ko:K05838	vcm:VCM66_0933
ko:K07071	vcm:VCM66_0936
ko:K07095	vcm:VCM66_0937
ko:K07401	vcm:VCM66_0938
ko:K04079	vcm:VCM66_0941
ko:K00939	vcm:VCM66_0942
ko:K01772	vcm:VCM66_0943
ko:K03305	vcm:VCM66_0944
ko:K05785	vcm:VCM66_0946
ko:K01953	vcm:VCM66_0947
ko:K02565	vcm:VCM66_0949
ko:K01443	vcm:VCM66_0950
ko:K02876	vcm:VCM66_2497
ko:K02907	vcm:VCM66_2498
ko:K02988	vcm:VCM66_2499
ko:K02881	vcm:VCM66_2500
ko:K02933	vcm:VCM66_2501
ko:K02994	vcm:VCM66_2502
ko:K02954	vcm:VCM66_2503
ko:K02931	vcm:VCM66_2504
ko:K02895	vcm:VCM66_2505
ko:K02874	vcm:VCM66_2506
ko:K02961	vcm:VCM66_2507
ko:K02904	vcm:VCM66_2508
ko:K02878	vcm:VCM66_2509
ko:K02982	vcm:VCM66_2510
ko:K02890	vcm:VCM66_2511
ko:K02965	vcm:VCM66_2512
ko:K02886	vcm:VCM66_2513
ko:K02892	vcm:VCM66_2514
ko:K02926	vcm:VCM66_2515
ko:K02906	vcm:VCM66_2516
ko:K02946	vcm:VCM66_2517
ko:K03218	vcm:VCM66_2518
ko:K07014	vcm:VCM66_2520
ko:K01939	vcm:VCM66_2522
ko:K03775	vcm:VCM66_2524
ko:K07070	vcm:VCM66_2525
ko:K11747	vcm:VCM66_2526
ko:K06158	vcm:VCM66_2528
ko:K07019	vcm:VCM66_2530
ko:K09898	vcm:VCM66_2532
ko:K00855	vcm:VCM66_2533
ko:K10914	vcm:VCM66_2534
ko:K06447	vcm:VCM66_2536
ko:K00673	vcm:VCM66_2537
ko:K07004	vcm:VCM66_2541
ko:K01867	vcm:VCM66_2543
ko:K01091	vcm:VCM66_2544
ko:K01783	vcm:VCM66_2545
ko:K06223	vcm:VCM66_2546
ko:K03112	vcm:VCM66_2547
ko:K01735	vcm:VCM66_2548
ko:K00891	vcm:VCM66_2549
ko:K02666	vcm:VCM66_2550
ko:K02665	vcm:VCM66_2551
ko:K02662	vcm:VCM66_2554
ko:K05366	vcm:VCM66_2555
ko:K07226	vcm:VCM66_A0867
ko:K07227	vcm:VCM66_A0868
ko:K03832	vcm:VCM66_A0870
ko:K03561	vcm:VCM66_A0871
ko:K02016	vcm:VCM66_A0873
ko:K02015	vcm:VCM66_A0874
ko:K02013	vcm:VCM66_A0875
ko:K07140	vcm:VCM66_A0884
ko:K01465	vcm:VCM66_A0885
ko:K03212	vcm:VCM66_A0889
ko:K09781	vcm:VCM66_A0890
ko:K03704	vcm:VCM66_A0893
ko:K02444	vcm:VCM66_A0900
ko:K10110	vcm:VCM66_A0903
ko:K10108	vcm:VCM66_A0905
ko:K10111	vcm:VCM66_A0906
ko:K03769	vcm:VCM66_A0913
ko:K03415	vcm:VCM66_A0914
ko:K01638	vcm:VCM66_A0917
ko:K05809	vcm:VCM66_0664
ko:K05807	vcm:VCM66_0666
ko:K06180	vcm:VCM66_0667
ko:K05810	vcm:VCM66_0668
ko:K03695	vcm:VCM66_0669
ko:K08303	vcm:VCM66_0675
ko:K03554	vcm:VCM66_0676
ko:K07657	vcm:VCM66_0677
ko:K07636	vcm:VCM66_0678
ko:K02040	vcm:VCM66_0679
ko:K00937	vcm:VCM66_0681
ko:K02037	vcm:VCM66_0682
ko:K02038	vcm:VCM66_0683
ko:K01886	vcm:VCM66_0953
ko:K06173	vcm:VCM66_0955
ko:K01963	vcm:VCM66_0956
ko:K03749	vcm:VCM66_0958
ko:K03558	vcm:VCM66_0959
ko:K00764	vcm:VCM66_0960
ko:K07084	vcm:VCM66_0961
ko:K03683	vcm:VCM66_0962
ko:K09902	vcm:VCM66_1881
ko:K03610	vcm:VCM66_1883
ko:K03609	vcm:VCM66_1884
ko:K03608	vcm:VCM66_1885
ko:K09948	vcm:VCM66_1887
ko:K05782	vcm:VCM66_1894
ko:K01911	vcm:VCM66_1895
ko:K02549	vcm:VCM66_1896
ko:K01661	vcm:VCM66_1897
ko:K08680	vcm:VCM66_1898
ko:K02551	vcm:VCM66_1899
ko:K02552	vcm:VCM66_1900
ko:K08722	vcm:VCM66_1902
ko:K01129	vcm:VCM66_1903
ko:K03684	vcm:VCM66_1908
ko:K07285	vcm:VCM66_1911
ko:K01433	vcm:VCM66_1916
ko:K04773	vcm:VCM66_1918
ko:K09916	vcm:VCM66_1920
ko:K07305	vcm:VCM66_1922
ko:K00134	vcm:VCM66_1924
ko:K00563	vcm:VCM66_1927
ko:K03415	vcm:VCM66_1930
ko:K00873	vcm:VCM66_1932
ko:K11900	vcm:VCM66_A0106
ko:K11896	vcm:VCM66_A0108
ko:K11895	vcm:VCM66_A0109
ko:K11894	vcm:VCM66_A0110
ko:K11906	vcm:VCM66_A0111
ko:K11893	vcm:VCM66_A0112
ko:K11892	vcm:VCM66_A0113
ko:K11907	vcm:VCM66_A0114
ko:K11909	vcm:VCM66_A0116
ko:K11910	vcm:VCM66_A0117
ko:K11891	vcm:VCM66_A0118
ko:K11911	vcm:VCM66_A0119
ko:K06726	vcm:VCM66_A0125
ko:K10441	vcm:VCM66_A0126
ko:K10440	vcm:VCM66_A0127
ko:K10439	vcm:VCM66_A0128
ko:K00852	vcm:VCM66_A0129
ko:K02529	vcm:VCM66_A0130
ko:K03811	vcm:VCM66_A0131
ko:K00757	vcm:VCM66_A0132
ko:K01126	vcm:VCM66_A0134
ko:K02445	vcm:VCM66_A0135
ko:K07080	vcm:VCM66_A0142
ko:K01462	vcm:VCM66_A0148
ko:K05571	vcm:VCM66_A0150
ko:K05570	vcm:VCM66_A0151
ko:K05569	vcm:VCM66_A0152
ko:K05568	vcm:VCM66_A0153
ko:K05567	vcm:VCM66_A0154
ko:K03835	vcm:VCM66_A0158
ko:K01667	vcm:VCM66_A0159
ko:K09954	vcm:VCM66_A0161
ko:K03704	vcm:VCM66_A0164
ko:K09797	vcm:VCM66_A0165
ko:K10773	vcm:VCM66_0967
ko:K03613	vcm:VCM66_0968
ko:K03612	vcm:VCM66_0969
ko:K03614	vcm:VCM66_0970
ko:K03615	vcm:VCM66_0971
ko:K03616	vcm:VCM66_0972
ko:K03617	vcm:VCM66_0973
ko:K03702	vcm:VCM66_0974
ko:K03639	vcm:VCM66_0979
ko:K03638	vcm:VCM66_0980
ko:K03637	vcm:VCM66_0981
ko:K03636	vcm:VCM66_0982
ko:K03635	vcm:VCM66_0983
ko:K00757	vcm:VCM66_0989
ko:K09811	vcm:VCM66_0149
ko:K03089	vcm:VCM66_0150
ko:K00322	vcm:VCM66_0151
ko:K01776	vcm:VCM66_0157
ko:K02521	vcm:VCM66_0160
ko:K00053	vcm:VCM66_0161
ko:K03656	vcm:VCM66_0166
ko:K02035	vcm:VCM66_0170
ko:K02033	vcm:VCM66_0171
ko:K02034	vcm:VCM66_0172
ko:K00383	vcm:VCM66_0174
ko:K07115	vcm:VCM66_0175
ko:K01414	vcm:VCM66_0176
ko:K03657	vcm:VCM66_0178
ko:K05786	vcm:VCM66_0183
ko:K03654	vcm:VCM66_0184
ko:K02014	vcm:VCM66_0188
ko:K03685	vcm:VCM66_2384
ko:K03100	vcm:VCM66_2385
ko:K03596	vcm:VCM66_2386
ko:K03803	vcm:VCM66_2387
ko:K03598	vcm:VCM66_2388
ko:K03597	vcm:VCM66_2389
ko:K03088	vcm:VCM66_2390
ko:K00278	vcm:VCM66_2392
ko:K09159	vcm:VCM66_2394
ko:K06980	vcm:VCM66_2395
ko:K03185	vcm:VCM66_2398
ko:K09895	vcm:VCM66_2399
ko:K09888	vcm:VCM66_2400
ko:K01807	vcm:VCM66_2402
ko:K01653	vcm:VCM66_2404
ko:K01652	vcm:VCM66_2405
ko:K01649	vcm:VCM66_2412
ko:K00052	vcm:VCM66_2413
ko:K01703	vcm:VCM66_2414
ko:K01704	vcm:VCM66_2415
ko:K11720	vcm:VCM66_2421
ko:K07091	vcm:VCM66_2422
ko:K01255	vcm:VCM66_2423
ko:K02339	vcm:VCM66_2424
ko:K01873	vcm:VCM66_2425
ko:K06177	vcm:VCM66_2427
ko:K03580	vcm:VCM66_2428
ko:K07175	vcm:VCM66_2429
ko:K00611	vcm:VCM66_2430
ko:K00609	vcm:VCM66_2432
ko:K00610	vcm:VCM66_2433
ko:K09022	vcm:VCM66_2434
ko:K00655	vcm:VCM66_2435
ko:K00790	vcm:VCM66_2436
ko:K02003	vcm:VCM66_A0741
ko:K08984	vcm:VCM66_A0748
ko:K05805	vcm:VCM66_A0759
ko:K00892	vcm:VCM66_A0760
ko:K05592	vcm:VCM66_A0763
ko:K02040	vcm:VCM66_A0766
ko:K06876	vcm:VCM66_A0768
ko:K01480	vcm:VCM66_A0773
ko:K01585	vcm:VCM66_A0774
ko:K06213	vcm:VCM66_A0777
ko:K04078	vcm:VCM66_A0778
ko:K04077	vcm:VCM66_A0779
ko:K00928	vcm:VCM66_A0781
ko:K06720	vcm:VCM66_A0782
ko:K00836	vcm:VCM66_A0783
ko:K06718	vcm:VCM66_A0784
ko:K01724	vcm:VCM66_A0786
ko:K00500	vcm:VCM66_A0787
ko:K01907	vcm:VCM66_A0788
ko:K00661	vcm:VCM66_A0795
ko:K01493	vcm:VCM66_A0799
ko:K00134	vcm:VCM66_A0802
ko:K00760	vcm:VCM66_0543
ko:K01673	vcm:VCM66_0544
ko:K01918	vcm:VCM66_0549
ko:K00606	vcm:VCM66_0550
ko:K00950	vcm:VCM66_0551
ko:K01894	vcm:VCM66_0553
ko:K06204	vcm:VCM66_0554
ko:K06206	vcm:VCM66_0555
ko:K05365	vcm:VCM66_0560
ko:K07001	vcm:VCM66_0561
ko:K01682	vcm:VCM66_0562
ko:K09910	vcm:VCM66_0563
ko:K04752	vcm:VCM66_0564
ko:K02012	vcm:VCM66_0566
ko:K02011	vcm:VCM66_0567
ko:K02032	vcm:VCM66_0574
ko:K02031	vcm:VCM66_0575
ko:K02034	vcm:VCM66_0576
ko:K02033	vcm:VCM66_0577
ko:K02035	vcm:VCM66_0578
ko:K01845	vcm:VCM66_0584
ko:K01866	vcm:VCM66_0589
ko:K07259	vcm:VCM66_0590
ko:K03624	vcm:VCM66_0592
ko:K01754	vcm:VCM66_0027
ko:K01687	vcm:VCM66_0028
ko:K00826	vcm:VCM66_0029
ko:K11258	vcm:VCM66_0030
ko:K01652	vcm:VCM66_0031
ko:K07391	vcm:VCM66_0032
ko:K03673	vcm:VCM66_0034
ko:K09896	vcm:VCM66_0037
ko:K06377	vcm:VCM66_0039
ko:K11068	vcm:VCM66_0040
ko:K03498	vcm:VCM66_0042
ko:K03499	vcm:VCM66_0043
ko:K03500	vcm:VCM66_0044
ko:K00604	vcm:VCM66_0045
ko:K01462	vcm:VCM66_0046
ko:K04096	vcm:VCM66_0048
ko:K03747	vcm:VCM66_0049
ko:K07479	vcm:VCM66_0050
ko:K01589	vcm:VCM66_0051
ko:K01588	vcm:VCM66_0052
ko:K07566	vcm:VCM66_0054
ko:K00228	vcm:VCM66_0055
ko:K00014	vcm:VCM66_0056
ko:K06199	vcm:VCM66_0060
ko:K03147	vcm:VCM66_0061
ko:K00788	vcm:VCM66_0062
ko:K03148	vcm:VCM66_0063
ko:K03154	vcm:VCM66_0064
ko:K03149	vcm:VCM66_0065
ko:K03150	vcm:VCM66_0066
ko:K01262	vcm:VCM66_0067
ko:K07552	vcm:VCM66_0069
ko:K03718	vcm:VCM66_0071
ko:K06149	vcm:VCM66_0076
ko:K02217	vcm:VCM66_0078
ko:K06144	vcm:VCM66_0079
ko:K07007	vcm:VCM66_0080
ko:K09760	vcm:VCM66_0082
ko:K03183	vcm:VCM66_0083
ko:K01956	vcm:VCM66_2313
ko:K03070	vcm:VCM66_2317
ko:K02535	vcm:VCM66_2319
ko:K03531	vcm:VCM66_2320
ko:K03590	vcm:VCM66_2321
ko:K03589	vcm:VCM66_2322
ko:K01924	vcm:VCM66_2323
ko:K02563	vcm:VCM66_2324
ko:K03588	vcm:VCM66_2325
ko:K01752	vcm:VCM66_A0624
ko:K07685	vcm:VCM66_A0632
ko:K07674	vcm:VCM66_A0633
ko:K02572	vcm:VCM66_A0634
ko:K02570	vcm:VCM66_A0635
ko:K02567	vcm:VCM66_A0636
ko:K02568	vcm:VCM66_A0637
ko:K02569	vcm:VCM66_A0638
ko:K07783	vcm:VCM66_A0642
ko:K02012	vcm:VCM66_A0643
ko:K02011	vcm:VCM66_A0644
ko:K03821	vcm:VCM66_A0646
ko:K00626	vcm:VCM66_A0648
ko:K00023	vcm:VCM66_A0649
ko:K03074	vcm:VCM66_A0650
ko:K03072	vcm:VCM66_A0651
ko:K00975	vcm:VCM66_A0657
ko:K08476	vcm:VCM66_A0662
ko:K08475	vcm:VCM66_A0663
ko:K08478	vcm:VCM66_A0664
ko:K07783	vcm:VCM66_A0665
ko:K00873	vcm:VCM66_A0666
ko:K07647	vcm:VCM66_A0667
ko:K11930	vcm:VCM66_A0668
ko:K01734	vcm:VCM66_A0669
ko:K00901	vcm:VCM66_A0672
ko:K06205	vcm:VCM66_0002
ko:K03650	vcm:VCM66_0003
ko:K03217	vcm:VCM66_0004
ko:K08998	vcm:VCM66_0005
ko:K03536	vcm:VCM66_0006
ko:K02914	vcm:VCM66_0007
ko:K02313	vcm:VCM66_0012
ko:K02338	vcm:VCM66_0013
ko:K03629	vcm:VCM66_0014
ko:K02470	vcm:VCM66_0015
ko:K04080	vcm:VCM66_0018
ko:K01879	vcm:VCM66_0020
ko:K01878	vcm:VCM66_0021
ko:K02013	vcm:VCM66_0189
ko:K02016	vcm:VCM66_0190
ko:K02015	vcm:VCM66_0191
ko:K07106	vcm:VCM66_0194
ko:K11191	vcm:VCM66_0195
ko:K11192	vcm:VCM66_0195
ko:K00989	vcm:VCM66_0198
ko:K00762	vcm:VCM66_0199
ko:K06193	vcm:VCM66_A0508
ko:K00681	vcm:VCM66_A0517
ko:K00324	vcm:VCM66_A0522
ko:K00325	vcm:VCM66_A0523
ko:K09917	vcm:VCM66_A0528
ko:K03113	vcm:VCM66_A0529
ko:K01921	vcm:VCM66_A0531
ko:K09181	vcm:VCM66_A0533
ko:K06934	vcm:VCM66_A0546
ko:K09712	vcm:VCM66_A0553
ko:K02011	vcm:VCM66_A0559
ko:K02012	vcm:VCM66_A0561
ko:K03430	vcm:VCM66_A0562
ko:K01599	vcm:VCM66_0316
ko:K01613	vcm:VCM66_0323
ko:K06949	vcm:VCM66_0324
ko:K06925	vcm:VCM66_0327
ko:K01448	vcm:VCM66_0328
ko:K03572	vcm:VCM66_0329
ko:K00791	vcm:VCM66_0330
ko:K03666	vcm:VCM66_0331
ko:K03665	vcm:VCM66_0332
ko:K04088	vcm:VCM66_0333
ko:K04087	vcm:VCM66_0334
ko:K09937	vcm:VCM66_0335
ko:K03745	vcm:VCM66_0336
ko:K07235	vcm:VCM66_0340
ko:K07236	vcm:VCM66_0341
ko:K07237	vcm:VCM66_0342
ko:K02950	vcm:VCM66_0343
ko:K02992	vcm:VCM66_0344
ko:K02355	vcm:VCM66_0345
ko:K02192	vcm:VCM66_0348
ko:K03594	vcm:VCM66_0349
ko:K02990	vcm:VCM66_0350
ko:K02686	vcm:VCM66_0351
ko:K02963	vcm:VCM66_0352
ko:K02939	vcm:VCM66_0353
ko:K07283	vcm:VCM66_0354
ko:K02314	vcm:VCM66_0355
ko:K01775	vcm:VCM66_0356
ko:K01810	vcm:VCM66_0358
ko:K09823	vcm:VCM66_0362
ko:K05539	vcm:VCM66_0363
ko:K00380	vcm:VCM66_0369
ko:K00381	vcm:VCM66_0370
ko:K00390	vcm:VCM66_0371
ko:K08990	vcm:VCM66_1262
ko:K03721	vcm:VCM66_1263
ko:K02036	vcm:VCM66_0684
ko:K02039	vcm:VCM66_0685
ko:K06201	vcm:VCM66_0688
ko:K04761	vcm:VCM66_0690
ko:K01638	vcm:VCM66_0692
ko:K01637	vcm:VCM66_0694
ko:K07568	vcm:VCM66_0697
ko:K00773	vcm:VCM66_0699
ko:K03210	vcm:VCM66_0700
ko:K03072	vcm:VCM66_0701
ko:K03074	vcm:VCM66_0702
ko:K01092	vcm:VCM66_0703
ko:K04487	vcm:VCM66_0706
ko:K04488	vcm:VCM66_0707
ko:K04082	vcm:VCM66_0709
ko:K04044	vcm:VCM66_0710
ko:K04755	vcm:VCM66_0711
ko:K07751	vcm:VCM66_0713
ko:K00940	vcm:VCM66_0714
ko:K06941	vcm:VCM66_0715
ko:K01892	vcm:VCM66_0718
ko:K03977	vcm:VCM66_0721
ko:K07811	vcm:VCM66_1632
ko:K03532	vcm:VCM66_1633
ko:K02571	vcm:VCM66_1634
ko:K06190	vcm:VCM66_1640
ko:K10806	vcm:VCM66_1641
ko:K09780	vcm:VCM66_1642
ko:K00549	vcm:VCM66_1644
ko:K03576	vcm:VCM66_1646
ko:K03632	vcm:VCM66_1654
ko:K03804	vcm:VCM66_1655
ko:K03633	vcm:VCM66_1656
ko:K06219	vcm:VCM66_1657
ko:K07772	vcm:VCM66_1659
