ko:K18929	hpo:HMPREF4655_20381
ko:K04079	hpo:HMPREF4655_20451
ko:K03495	hpo:HMPREF4655_20454
ko:K14445	hpo:HMPREF4655_20455
ko:K00981	hpo:HMPREF4655_20456
ko:K00099	hpo:HMPREF4655_20457
ko:K02535	hpo:HMPREF4655_20639
ko:K00872	hpo:HMPREF4655_20641
ko:K02519	hpo:HMPREF4655_20643
ko:K02834	hpo:HMPREF4655_20644
ko:K09748	hpo:HMPREF4655_20645
ko:K01895	hpo:HMPREF4655_20646
ko:K02400	hpo:HMPREF4655_20651
ko:K02956	hpo:HMPREF4655_20652
ko:K06901	hpo:HMPREF4655_21366
ko:K01839	hpo:HMPREF4655_21370
ko:K08159	hpo:HMPREF4655_21376
ko:K00133	hpo:HMPREF4655_21379
ko:K01892	hpo:HMPREF4655_21380
ko:K02355	hpo:HMPREF4655_21384
ko:K02992	hpo:HMPREF4655_21385
ko:K02950	hpo:HMPREF4655_21386
ko:K02935	hpo:HMPREF4655_21388
ko:K02864	hpo:HMPREF4655_21389
ko:K02863	hpo:HMPREF4655_21390
ko:K02867	hpo:HMPREF4655_21391
ko:K02601	hpo:HMPREF4655_21392
ko:K03073	hpo:HMPREF4655_21393
ko:K02913	hpo:HMPREF4655_21394
ko:K02358	hpo:HMPREF4655_21395
ko:K00640	hpo:HMPREF4655_21400
ko:K02110	hpo:HMPREF4655_21402
ko:K00962	hpo:HMPREF4655_21405
ko:K00783	hpo:HMPREF4655_21182
ko:K01963	hpo:HMPREF4655_21183
ko:K13292	hpo:HMPREF4655_21188
ko:K02527	hpo:HMPREF4655_21190
ko:K07164	hpo:HMPREF4655_21191
ko:K01878	hpo:HMPREF4655_21193
ko:K00057	hpo:HMPREF4655_21194
ko:K01879	hpo:HMPREF4655_21206
ko:K15633	hpo:HMPREF4655_21208
ko:K02435	hpo:HMPREF4655_21209
ko:K00833	hpo:HMPREF4655_21210
ko:K03770	hpo:HMPREF4655_21211
ko:K03590	hpo:HMPREF4655_21212
ko:K03531	hpo:HMPREF4655_21213
ko:K15257	hpo:HMPREF4655_21225
ko:K01772	hpo:HMPREF4655_21226
ko:K01961	hpo:HMPREF4655_21275
ko:K00573	hpo:HMPREF4655_21281
ko:K07091	hpo:HMPREF4655_21282
ko:K06173	hpo:HMPREF4655_21283
ko:K01625	hpo:HMPREF4655_21288
ko:K01690	hpo:HMPREF4655_21289
ko:K00036	hpo:HMPREF4655_21290
ko:K01057	hpo:HMPREF4655_21291
ko:K13979	hpo:HMPREF4655_21293
ko:K00172	hpo:HMPREF4655_21297
ko:K00171	hpo:HMPREF4655_21298
ko:K00169	hpo:HMPREF4655_21299
ko:K00170	hpo:HMPREF4655_21300
ko:K01756	hpo:HMPREF4655_21301
ko:K03702	hpo:HMPREF4655_21303
ko:K02396	hpo:HMPREF4655_21308
ko:K03775	hpo:HMPREF4655_21313
ko:K03640	hpo:HMPREF4655_21315
ko:K03641	hpo:HMPREF4655_21316
ko:K03667	hpo:HMPREF4655_21089
ko:K01419	hpo:HMPREF4655_21090
ko:K02939	hpo:HMPREF4655_21091
ko:K01915	hpo:HMPREF4655_21093
ko:K00215	hpo:HMPREF4655_21095
ko:K02470	hpo:HMPREF4655_21103
ko:K02338	hpo:HMPREF4655_21104
ko:K01058	hpo:HMPREF4655_21105
ko:K03308	hpo:HMPREF4655_21106
ko:K03308	hpo:HMPREF4655_21107
ko:K07107	hpo:HMPREF4655_21108
ko:K01925	hpo:HMPREF4655_21110
ko:K01000	hpo:HMPREF4655_21111
ko:K15846	hpo:HMPREF4655_21112
ko:K02902	hpo:HMPREF4655_21113
ko:K01736	hpo:HMPREF4655_20937
ko:K03685	hpo:HMPREF4655_20938
ko:K02434	hpo:HMPREF4655_20942
ko:K07277	hpo:HMPREF4655_20945
ko:K02217	hpo:HMPREF4655_20947
ko:K01079	hpo:HMPREF4655_20948
ko:K01744	hpo:HMPREF4655_20951
ko:K00790	hpo:HMPREF4655_20952
ko:K00963	hpo:HMPREF4655_20954
ko:K08309	hpo:HMPREF4655_20955
ko:K02221	hpo:HMPREF4655_20956
ko:K06920	hpo:HMPREF4655_20960
ko:K03550	hpo:HMPREF4655_21118
ko:K03980	hpo:HMPREF4655_21120
ko:K01883	hpo:HMPREF4655_21121
ko:K02013	hpo:HMPREF4655_21123
ko:K02015	hpo:HMPREF4655_21124
ko:K03620	hpo:HMPREF4655_20966
ko:K03923	hpo:HMPREF4655_20969
ko:K01924	hpo:HMPREF4655_20976
ko:K07456	hpo:HMPREF4655_20978
ko:K07270	hpo:HMPREF4655_20982
ko:K01876	hpo:HMPREF4655_20984
ko:K04744	hpo:HMPREF4655_21407
ko:K01945	hpo:HMPREF4655_21409
ko:K00806	hpo:HMPREF4655_21412
ko:K06199	hpo:HMPREF4655_21416
ko:K08311	hpo:HMPREF4655_21419
ko:K00928	hpo:HMPREF4655_21420
ko:K02341	hpo:HMPREF4655_21422
ko:K00796	hpo:HMPREF4655_21423
ko:K09804	hpo:HMPREF4655_21427
ko:K01956	hpo:HMPREF4655_21428
ko:K06287	hpo:HMPREF4655_21431
ko:K01872	hpo:HMPREF4655_21432
ko:K09794	hpo:HMPREF4655_21433
ko:K02963	hpo:HMPREF4655_21436
ko:K02990	hpo:HMPREF4655_21438
ko:K02340	hpo:HMPREF4655_21439
ko:K12573	hpo:HMPREF4655_21440
ko:K00014	hpo:HMPREF4655_21441
ko:K13894	hpo:HMPREF4655_21443
ko:K13893	hpo:HMPREF4655_21444
ko:K01867	hpo:HMPREF4655_21445
ko:K02169	hpo:HMPREF4655_21446
ko:K03075	hpo:HMPREF4655_21447
ko:K02838	hpo:HMPREF4655_21448
ko:K00762	hpo:HMPREF4655_21449
ko:K12410	hpo:HMPREF4655_21451
ko:K00330	hpo:HMPREF4655_21452
ko:K00331	hpo:HMPREF4655_21453
ko:K00332	hpo:HMPREF4655_21454
ko:K02114	hpo:HMPREF4655_21320
ko:K02112	hpo:HMPREF4655_21321
ko:K02115	hpo:HMPREF4655_21322
ko:K02111	hpo:HMPREF4655_21323
ko:K02113	hpo:HMPREF4655_21324
ko:K02109	hpo:HMPREF4655_21325
ko:K02109	hpo:HMPREF4655_21326
ko:K03524	hpo:HMPREF4655_21329
ko:K00604	hpo:HMPREF4655_21330
ko:K02884	hpo:HMPREF4655_21336
ko:K00554	hpo:HMPREF4655_21337
ko:K02860	hpo:HMPREF4655_21338
ko:K06960	hpo:HMPREF4655_21339
ko:K02959	hpo:HMPREF4655_21340
ko:K03106	hpo:HMPREF4655_21341
ko:K01873	hpo:HMPREF4655_21342
ko:K02563	hpo:HMPREF4655_21344
ko:K00286	hpo:HMPREF4655_21347
ko:K04095	hpo:HMPREF4655_21348
ko:K07042	hpo:HMPREF4655_21351
ko:K03839	hpo:HMPREF4655_21352
ko:K00384	hpo:HMPREF4655_21355
ko:K01810	hpo:HMPREF4655_21357
ko:K06200	hpo:HMPREF4655_21359
ko:K04654	hpo:HMPREF4655_21132
ko:K04653	hpo:HMPREF4655_21133
ko:K00925	hpo:HMPREF4655_21137
ko:K13788	hpo:HMPREF4655_21138
ko:K02389	hpo:HMPREF4655_21140
ko:K02390	hpo:HMPREF4655_21141
ko:K03657	hpo:HMPREF4655_21144
ko:K01955	hpo:HMPREF4655_21152
ko:K00134	hpo:HMPREF4655_21154
ko:K01821	hpo:HMPREF4655_21157
ko:K06187	hpo:HMPREF4655_21158
ko:K06176	hpo:HMPREF4655_21159
ko:K03799	hpo:HMPREF4655_21160
ko:K01495	hpo:HMPREF4655_21161
ko:K00795	hpo:HMPREF4655_21162
ko:K03787	hpo:HMPREF4655_21163
ko:K01737	hpo:HMPREF4655_21165
ko:K01775	hpo:HMPREF4655_21173
ko:K03310	hpo:HMPREF4655_21174
ko:K00285	hpo:HMPREF4655_21175
ko:K02429	hpo:HMPREF4655_21365
ko:K02029	hpo:HMPREF4655_21360
ko:K03415	hpo:HMPREF4655_20985
ko:K01972	hpo:HMPREF4655_20986
ko:K01599	hpo:HMPREF4655_20997
ko:K02406	hpo:HMPREF4655_21000
ko:K03611	hpo:HMPREF4655_21006
ko:K00177	hpo:HMPREF4655_21009
ko:K00175	hpo:HMPREF4655_21010
ko:K00174	hpo:HMPREF4655_21011
ko:K00176	hpo:HMPREF4655_21012
ko:K07082	hpo:HMPREF4655_21013
ko:K10773	hpo:HMPREF4655_21016
ko:K02417	hpo:HMPREF4655_21017
ko:K01465	hpo:HMPREF4655_21020
ko:K01491	hpo:HMPREF4655_21024
ko:K03100	hpo:HMPREF4655_21025
ko:K01808	hpo:HMPREF4655_21027
ko:K00759	hpo:HMPREF4655_21029
ko:K01255	hpo:HMPREF4655_21031
ko:K06942	hpo:HMPREF4655_21032
ko:K01874	hpo:HMPREF4655_21227
ko:K00574	hpo:HMPREF4655_21228
ko:K15846	hpo:HMPREF4655_21231
ko:K01951	hpo:HMPREF4655_21232
ko:K02503	hpo:HMPREF4655_21240
ko:K01889	hpo:HMPREF4655_21241
ko:K01890	hpo:HMPREF4655_21242
ko:K00800	hpo:HMPREF4655_21243
ko:K03527	hpo:HMPREF4655_21244
ko:K02945	hpo:HMPREF4655_21245
ko:K03182	hpo:HMPREF4655_21248
ko:K06997	hpo:HMPREF4655_21249
ko:K03269	hpo:HMPREF4655_21250
ko:K03415	hpo:HMPREF4655_21251
ko:K03407	hpo:HMPREF4655_21252
ko:K03408	hpo:HMPREF4655_21253
ko:K11065	hpo:HMPREF4655_21254
ko:K04564	hpo:HMPREF4655_21255
ko:K15256	hpo:HMPREF4655_21256
ko:K04066	hpo:HMPREF4655_21257
ko:K02493	hpo:HMPREF4655_21264
ko:K00262	hpo:HMPREF4655_21265
ko:K01772	hpo:HMPREF4655_21269
ko:K09761	hpo:HMPREF4655_21271
ko:K01494	hpo:HMPREF4655_21273
ko:K02160	hpo:HMPREF4655_21274
ko:K01778	hpo:HMPREF4655_21035
ko:K02970	hpo:HMPREF4655_21039
ko:K02078	hpo:HMPREF4655_21041
ko:K09458	hpo:HMPREF4655_21042
ko:K01962	hpo:HMPREF4655_21043
ko:K03218	hpo:HMPREF4655_21048
ko:K07056	hpo:HMPREF4655_21049
ko:K02909	hpo:HMPREF4655_21050
ko:K03628	hpo:HMPREF4655_21051
ko:K01776	hpo:HMPREF4655_21052
ko:K06940	hpo:HMPREF4655_20836
ko:K03110	hpo:HMPREF4655_20837
ko:K07084	hpo:HMPREF4655_20842
ko:K12251	hpo:HMPREF4655_20843
ko:K02422	hpo:HMPREF4655_20847
ko:K02407	hpo:HMPREF4655_20848
ko:K09811	hpo:HMPREF4655_20851
ko:K09812	hpo:HMPREF4655_20852
ko:K03439	hpo:HMPREF4655_20853
ko:K06180	hpo:HMPREF4655_20855
ko:K00948	hpo:HMPREF4655_20858
ko:K01929	hpo:HMPREF4655_20860
ko:K01921	hpo:HMPREF4655_20862
ko:K01095	hpo:HMPREF4655_20863
ko:K04075	hpo:HMPREF4655_20878
ko:K07791	hpo:HMPREF4655_20882
ko:K06895	hpo:HMPREF4655_20887
ko:K02343	hpo:HMPREF4655_20888
ko:K06925	hpo:HMPREF4655_20889
ko:K06861	hpo:HMPREF4655_20890
ko:K03092	hpo:HMPREF4655_20891
ko:K07023	hpo:HMPREF4655_20894
ko:K03438	hpo:HMPREF4655_20897
ko:K03701	hpo:HMPREF4655_20899
ko:K02469	hpo:HMPREF4655_20902
ko:K00901	hpo:HMPREF4655_20903
ko:K10856	hpo:HMPREF4655_20905
ko:K02106	hpo:HMPREF4655_20909
ko:K01029	hpo:HMPREF4655_20910
ko:K01028	hpo:HMPREF4655_20911
ko:K07501	hpo:HMPREF4655_20913
ko:K04759	hpo:HMPREF4655_20914
ko:K02419	hpo:HMPREF4655_20916
ko:K04042	hpo:HMPREF4655_20917
ko:K07090	hpo:HMPREF4655_20922
ko:K00812	hpo:HMPREF4655_20926
ko:K11473	hpo:HMPREF4655_20934
ko:K00333	hpo:HMPREF4655_21455
ko:K00334	hpo:HMPREF4655_21456
ko:K00337	hpo:HMPREF4655_21459
ko:K00338	hpo:HMPREF4655_21460
ko:K00339	hpo:HMPREF4655_21461
ko:K00340	hpo:HMPREF4655_21462
ko:K00341	hpo:HMPREF4655_21463
ko:K00342	hpo:HMPREF4655_21464
ko:K00343	hpo:HMPREF4655_21465
ko:K15778	hpo:HMPREF4655_21467
ko:K01695	hpo:HMPREF4655_21470
ko:K01696	hpo:HMPREF4655_21471
ko:K13498	hpo:HMPREF4655_21472
