ko:K01183	bal:BACI_c04380
ko:K01756	bal:BACI_c03340
ko:K01923	bal:BACI_c03350
ko:K01952	bal:BACI_c03360
ko:K01952	bal:BACI_c03370
ko:K01952	bal:BACI_c03380
ko:K18925	bal:BACI_c08700
ko:K18924	bal:BACI_c08690
ko:K18231	bal:BACI_c25790
ko:K15518	bal:BACI_c00220
ko:K06377	bal:BACI_c22690
ko:K07533	bal:BACI_c22820
ko:K13953	bal:BACI_c22310
ko:K05845	bal:BACI_c22430
ko:K05846	bal:BACI_c22430
ko:K09124	bal:BACI_c09620
ko:K00634	bal:BACI_c41320
ko:K00632	bal:BACI_c50150
ko:K01992	bal:BACI_c05250
ko:K01784	bal:BACI_c05010
ko:K00128	bal:BACI_c34980
ko:K03215	bal:BACI_c03800
ko:K02004	bal:BACI_c24380
ko:K01243	bal:BACI_c25340
ko:K00010	bal:BACI_c24800
ko:K01119	bal:BACI_c24890
ko:K07729	bal:BACI_c24920
ko:K03406	bal:BACI_c25060
ko:K09702	bal:BACI_c23840
ko:K00657	bal:BACI_c26470
ko:K07025	bal:BACI_c26900
ko:K07052	bal:BACI_c23730
ko:K02003	bal:BACI_c07790
ko:K06901	bal:BACI_c07810
ko:K00847	bal:BACI_c07850
ko:K01193	bal:BACI_c07860
ko:K03484	bal:BACI_c07880
ko:K05520	bal:BACI_c08900
ko:K03781	bal:BACI_c08910
ko:K03758	bal:BACI_c08930
ko:K01776	bal:BACI_c08950
ko:K07106	bal:BACI_c08600
ko:K00344	bal:BACI_c20770
ko:K03070	bal:BACI_c09230
ko:K01448	bal:BACI_c09380
ko:K02034	bal:BACI_c09490
ko:K03657	bal:BACI_c12640
ko:K01657	bal:BACI_c12740
ko:K00766	bal:BACI_c12760
ko:K01609	bal:BACI_c12770
ko:K01817	bal:BACI_c12780
ko:K01696	bal:BACI_c12790
ko:K01695	bal:BACI_c12800
ko:K03303	bal:BACI_c12820
ko:K00023	bal:BACI_c13500
ko:K03821	bal:BACI_c13510
ko:K02012	bal:BACI_c13560
ko:K02011	bal:BACI_c13590
ko:K05306	bal:BACI_c13600
ko:K03430	bal:BACI_c13610
ko:K09798	bal:BACI_c13690
ko:K07697	bal:BACI_c13750
ko:K06920	bal:BACI_c13770
ko:K01737	bal:BACI_c13780
ko:K01649	bal:BACI_c14390
ko:K00052	bal:BACI_c14400
ko:K01703	bal:BACI_c14410
ko:K01704	bal:BACI_c14420
ko:K02502	bal:BACI_c14430
ko:K00765	bal:BACI_c14440
ko:K00013	bal:BACI_c14450
ko:K01693	bal:BACI_c14460
ko:K02501	bal:BACI_c14470
ko:K01814	bal:BACI_c14480
ko:K02500	bal:BACI_c14490
ko:K04486	bal:BACI_c14520
ko:K01586	bal:BACI_c14590
ko:K00390	bal:BACI_c14620
ko:K00958	bal:BACI_c14630
ko:K00860	bal:BACI_c14640
ko:K03308	bal:BACI_c14710
ko:K11102	bal:BACI_c14730
ko:K11622	bal:BACI_c14790
ko:K09136	bal:BACI_c12920
ko:K00658	bal:BACI_c12940
ko:K00164	bal:BACI_c12950
ko:K00782	bal:BACI_c13380
ko:K02598	bal:BACI_c13410
ko:K02242	bal:BACI_c51780
ko:K15975	bal:BACI_c10560
ko:K07090	bal:BACI_c09760
ko:K03305	bal:BACI_c06970
ko:K03311	bal:BACI_c06980
ko:K02829	bal:BACI_c07080
ko:K02828	bal:BACI_c07090
ko:K02827	bal:BACI_c07100
ko:K02759	bal:BACI_c08210
ko:K02760	bal:BACI_c08220
ko:K02761	bal:BACI_c08230
ko:K02034	bal:BACI_c08390
ko:K03311	bal:BACI_c08400
ko:K15975	bal:BACI_c10550
ko:K01994	bal:BACI_c44830
ko:K02205	bal:BACI_c06560
ko:K06332	bal:BACI_c08430
ko:K06419	bal:BACI_c09030
ko:K06979	bal:BACI_c16080
ko:K03524	bal:BACI_c15800
ko:K00606	bal:BACI_c15820
ko:K01918	bal:BACI_c15830
ko:K01579	bal:BACI_c15840
ko:K00812	bal:BACI_c15880
ko:K10773	bal:BACI_c15900
ko:K02440	bal:BACI_c10640
ko:K00864	bal:BACI_c10650
ko:K00111	bal:BACI_c10660
ko:K03088	bal:BACI_c10700
ko:K03657	bal:BACI_c10780
ko:K02503	bal:BACI_c10840
ko:K06334	bal:BACI_c08410
ko:K06333	bal:BACI_c08420
ko:K10979	bal:BACI_c08460
ko:K01652	bal:BACI_c09110
ko:K01575	bal:BACI_c09120
ko:K03652	bal:BACI_c09130
ko:K03321	bal:BACI_c09190
ko:K08987	bal:BACI_c11020
ko:K01599	bal:BACI_c11110
ko:K01772	bal:BACI_c11120
ko:K00231	bal:BACI_c11130
ko:K01421	bal:BACI_c11190
ko:K03594	bal:BACI_c10260
ko:K03407	bal:BACI_c10300
ko:K03800	bal:BACI_c11260
ko:K06885	bal:BACI_c11440
ko:K03088	bal:BACI_c11460
ko:K13653	bal:BACI_c11470
ko:K01638	bal:BACI_c11600
ko:K01637	bal:BACI_c11610
ko:K03704	bal:BACI_c11630
ko:K02250	bal:BACI_c11660
ko:K03100	bal:BACI_c11680
ko:K06304	bal:BACI_c11740
ko:K06303	bal:BACI_c11750
ko:K06302	bal:BACI_c11760
ko:K06301	bal:BACI_c11770
ko:K06300	bal:BACI_c11780
ko:K06299	bal:BACI_c11790
ko:K01953	bal:BACI_c11910
ko:K01772	bal:BACI_c11920
ko:K03781	bal:BACI_c11930
ko:K03320	bal:BACI_c11940
ko:K09767	bal:BACI_c11970
ko:K00243	bal:BACI_c11980
ko:K03695	bal:BACI_c12050
ko:K00648	bal:BACI_c12100
ko:K09458	bal:BACI_c12110
ko:K01867	bal:BACI_c12140
ko:K15580	bal:BACI_c12170
ko:K03707	bal:BACI_c07560
ko:K03154	bal:BACI_c07620
ko:K03149	bal:BACI_c07630
ko:K01546	bal:BACI_c07690
ko:K01547	bal:BACI_c07700
ko:K01548	bal:BACI_c07710
ko:K07646	bal:BACI_c07720
ko:K02034	bal:BACI_c06670
ko:K02445	bal:BACI_c06710
ko:K02529	bal:BACI_c06740
ko:K06726	bal:BACI_c06760
ko:K10441	bal:BACI_c06770
ko:K01114	bal:BACI_c06850
ko:K06153	bal:BACI_c06910
ko:K02826	bal:BACI_c07110
ko:K06310	bal:BACI_c07170
ko:K06311	bal:BACI_c07180
ko:K06312	bal:BACI_c07190
ko:K04758	bal:BACI_c07230
ko:K02040	bal:BACI_c07240
ko:K02037	bal:BACI_c07250
ko:K02038	bal:BACI_c07260
ko:K03547	bal:BACI_c10440
ko:K01990	bal:BACI_c10850
ko:K03574	bal:BACI_c51380
ko:K04517	bal:BACI_c29090
ko:K07052	bal:BACI_c03100
ko:K04564	bal:BACI_c15120
ko:K06373	bal:BACI_c15140
ko:K06374	bal:BACI_c15150
ko:K06178	bal:BACI_c15160
ko:K07399	bal:BACI_c15180
ko:K07775	bal:BACI_c15200
ko:K07651	bal:BACI_c15210
ko:K03654	bal:BACI_c15290
ko:K00260	bal:BACI_c15350
ko:K00384	bal:BACI_c15390
ko:K00945	bal:BACI_c15410
ko:K02945	bal:BACI_c15420
ko:K03977	bal:BACI_c15470
ko:K00057	bal:BACI_c15480
ko:K06398	bal:BACI_c15520
ko:K03530	bal:BACI_c15530
ko:K01426	bal:BACI_c20330
ko:K02057	bal:BACI_c37390
ko:K02303	bal:BACI_c14670
ko:K03322	bal:BACI_c18670
ko:K07146	bal:BACI_c18680
ko:K00077	bal:BACI_c18700
ko:K11535	bal:BACI_c18800
ko:K00756	bal:BACI_c18820
ko:K01118	bal:BACI_c18930
ko:K03311	bal:BACI_c18940
ko:K05606	bal:BACI_c18950
ko:K03636	bal:BACI_c20980
ko:K02575	bal:BACI_c20990
ko:K03666	bal:BACI_c16740
ko:K07023	bal:BACI_c16750
ko:K02556	bal:BACI_c16760
ko:K02557	bal:BACI_c16770
ko:K03413	bal:BACI_c16780
ko:K03407	bal:BACI_c16790
ko:K02417	bal:BACI_c16800
ko:K09770	bal:BACI_c16850
ko:K02396	bal:BACI_c16870
ko:K02397	bal:BACI_c16880
ko:K02407	bal:BACI_c16890
ko:K02422	bal:BACI_c16900
ko:K02387	bal:BACI_c16920
ko:K02388	bal:BACI_c16930
ko:K02408	bal:BACI_c16940
ko:K02409	bal:BACI_c16950
ko:K02410	bal:BACI_c16960
ko:K02411	bal:BACI_c16970
ko:K02412	bal:BACI_c16980
ko:K02389	bal:BACI_c17020
ko:K02390	bal:BACI_c17030
ko:K03415	bal:BACI_c17060
ko:K02406	bal:BACI_c17090
ko:K02406	bal:BACI_c17100
ko:K02417	bal:BACI_c17120
ko:K02416	bal:BACI_c17130
ko:K02417	bal:BACI_c17140
ko:K02419	bal:BACI_c17160
ko:K01999	bal:BACI_c19090
ko:K01995	bal:BACI_c19100
ko:K01996	bal:BACI_c19110
ko:K01997	bal:BACI_c19120
ko:K01998	bal:BACI_c19130
ko:K00425	bal:BACI_c19200
ko:K00426	bal:BACI_c19210
ko:K07078	bal:BACI_c19280
ko:K07006	bal:BACI_c19390
ko:K00003	bal:BACI_c19420
ko:K01733	bal:BACI_c19430
ko:K00872	bal:BACI_c19440
ko:K07507	bal:BACI_c19530
ko:K07088	bal:BACI_c21000
ko:K13542	bal:BACI_c21040
ko:K00363	bal:BACI_c21050
ko:K00362	bal:BACI_c21060
ko:K07322	bal:BACI_c21070
ko:K00675	bal:BACI_c21100
ko:K06416	bal:BACI_c21120
ko:K06950	bal:BACI_c21170
ko:K01887	bal:BACI_c21270
ko:K01265	bal:BACI_c16090
ko:K03816	bal:BACI_c16110
ko:K07148	bal:BACI_c16130
ko:K08989	bal:BACI_c16240
ko:K03704	bal:BACI_c16500
ko:K09190	bal:BACI_c16510
ko:K02420	bal:BACI_c17170
ko:K02421	bal:BACI_c17180
ko:K02401	bal:BACI_c17190
ko:K02400	bal:BACI_c17200
ko:K02404	bal:BACI_c17210
ko:K02392	bal:BACI_c17220
ko:K06425	bal:BACI_c17320
ko:K02012	bal:BACI_c17380
ko:K02011	bal:BACI_c17390
ko:K01953	bal:BACI_c17520
ko:K03088	bal:BACI_c17530
ko:K03315	bal:BACI_c17650
ko:K06895	bal:BACI_c19630
ko:K07001	bal:BACI_c19650
ko:K06949	bal:BACI_c19810
ko:K04047	bal:BACI_c19860
ko:K11210	bal:BACI_c20040
ko:K06330	bal:BACI_c20080
ko:K07089	bal:BACI_c20130
ko:K01870	bal:BACI_c21330
ko:K01929	bal:BACI_c21380
ko:K03466	bal:BACI_c21430
ko:K05995	bal:BACI_c17720
ko:K01753	bal:BACI_c17800
ko:K09903	bal:BACI_c17920
ko:K11102	bal:BACI_c17930
ko:K01744	bal:BACI_c17940
ko:K07717	bal:BACI_c17960
ko:K07719	bal:BACI_c17970
ko:K01914	bal:BACI_c18010
ko:K00928	bal:BACI_c18030
ko:K01448	bal:BACI_c18090
ko:K03284	bal:BACI_c20120
ko:K09793	bal:BACI_c20200
ko:K03311	bal:BACI_c20240
ko:K06878	bal:BACI_c20250
ko:K06385	bal:BACI_c20290
ko:K01775	bal:BACI_c20400
ko:K00375	bal:BACI_c20460
ko:K03311	bal:BACI_c14830
ko:K05916	bal:BACI_c14920
ko:K07090	bal:BACI_c14950
ko:K03306	bal:BACI_c14960
ko:K07220	bal:BACI_c14970
ko:K01495	bal:BACI_c15540
ko:K03183	bal:BACI_c15560
ko:K00940	bal:BACI_c15580
ko:K01736	bal:BACI_c15590
ko:K01735	bal:BACI_c15600
ko:K00817	bal:BACI_c15610
ko:K03887	bal:BACI_c15660
ko:K03888	bal:BACI_c15670
ko:K06973	bal:BACI_c15710
ko:K00215	bal:BACI_c15750
ko:K01734	bal:BACI_c15760
ko:K10026	bal:BACI_c13790
ko:K09457	bal:BACI_c13800
ko:K06131	bal:BACI_c12310
ko:K08602	bal:BACI_c12330
ko:K06886	bal:BACI_c12360
ko:K09962	bal:BACI_c21750
ko:K01091	bal:BACI_c21770
ko:K01779	bal:BACI_c21800
ko:K00865	bal:BACI_c21660
ko:K03308	bal:BACI_c21730
ko:K00648	bal:BACI_c18170
ko:K03665	bal:BACI_c18180
ko:K08223	bal:BACI_c18200
ko:K01738	bal:BACI_c18210
ko:K03308	bal:BACI_c18250
ko:K00826	bal:BACI_c18350
ko:K01652	bal:BACI_c18370
ko:K00053	bal:BACI_c18380
ko:K01687	bal:BACI_c18390
ko:K01754	bal:BACI_c18400
ko:K07282	bal:BACI_c18410
ko:K07150	bal:BACI_c18420
ko:K03740	bal:BACI_c14060
ko:K03739	bal:BACI_c14080
ko:K03367	bal:BACI_c14090
ko:K05366	bal:BACI_c15920
ko:K06327	bal:BACI_c16000
ko:K07444	bal:BACI_c16040
ko:K01299	bal:BACI_c16060
ko:K00858	bal:BACI_c12400
ko:K06180	bal:BACI_c12410
ko:K00973	bal:BACI_c12530
ko:K01790	bal:BACI_c12540
ko:K00067	bal:BACI_c12560
ko:K00208	bal:BACI_c12570
ko:K06180	bal:BACI_c13260
ko:K11473	bal:BACI_c13290
ko:K02647	bal:BACI_c13310
ko:K03327	bal:BACI_c14220
ko:K06153	bal:BACI_c14230
ko:K00826	bal:BACI_c14340
ko:K01652	bal:BACI_c14360
ko:K01653	bal:BACI_c14370
ko:K00053	bal:BACI_c14380
ko:K07052	bal:BACI_c45590
ko:K14228	bal:BACI_c00970
ko:K14228	bal:BACI_c48930
ko:K14228	bal:BACI_c07370
ko:K06415	bal:BACI_c07990
ko:K05799	bal:BACI_c13350
ko:K01664	bal:BACI_c00810
ko:K08222	bal:BACI_c42440
ko:K03574	bal:BACI_c06300
ko:K02057	bal:BACI_c37400
ko:K02277	bal:BACI_c38980
ko:K01916	bal:BACI_c19710
ko:K08978	bal:BACI_c04720
ko:K14230	bal:BACI_c48890
ko:K14230	bal:BACI_c00700
ko:K03293	bal:BACI_c34140
ko:K14233	bal:BACI_c07410
ko:K14233	bal:BACI_c48870
ko:K14233	bal:BACI_c00190
ko:K01048	bal:BACI_c47560
ko:K01259	bal:BACI_c21740
ko:K01077	bal:BACI_c43320
ko:K03296	bal:BACI_c54290
ko:K01426	bal:BACI_c25730
ko:K03491	bal:BACI_c08200
ko:K14392	bal:BACI_c34960
ko:K06889	bal:BACI_c32700
ko:K02304	bal:BACI_c21020
ko:K02056	bal:BACI_c37410
ko:K11626	bal:BACI_c30950
ko:K06325	bal:BACI_c04020
ko:K07979	bal:BACI_c40440
ko:K07250	bal:BACI_c03710
ko:K06431	bal:BACI_c35550
ko:K03093	bal:BACI_c33840
ko:K14224	bal:BACI_c01850
ko:K14224	bal:BACI_c02890
ko:K14224	bal:BACI_c05350
ko:K14224	bal:BACI_c54710
ko:K14224	bal:BACI_c07490
ko:K14224	bal:BACI_c48770
ko:K14224	bal:BACI_c00710
ko:K05822	bal:BACI_c39380
ko:K11686	bal:BACI_c22490
ko:K14229	bal:BACI_c00940
ko:K14229	bal:BACI_c54720
ko:K14229	bal:BACI_c48820
ko:K14229	bal:BACI_c01890
ko:K14229	bal:BACI_c07340
ko:K14229	bal:BACI_c02930
ko:K14228	bal:BACI_c05470
ko:K06893	bal:BACI_c08640
ko:K07705	bal:BACI_c54340
ko:K11619	bal:BACI_c14770
ko:K14237	bal:BACI_c00920
ko:K14237	bal:BACI_c05360
ko:K14237	bal:BACI_c01860
ko:K14237	bal:BACI_c48980
ko:K14237	bal:BACI_c02900
ko:K14237	bal:BACI_c07310
ko:K14220	bal:BACI_c01830
ko:K14220	bal:BACI_c07480
ko:K14220	bal:BACI_c48790
ko:K14220	bal:BACI_c02870
ko:K14220	bal:BACI_c05330
ko:K07052	bal:BACI_pCIXO200500
ko:K01449	bal:BACI_c53850
ko:K01990	bal:BACI_c28700
ko:K14228	bal:BACI_c48950
ko:K14228	bal:BACI_c00950
ko:K14228	bal:BACI_c07350
ko:K01983	bal:BACI_c00250
ko:K01990	bal:BACI_c13940
ko:K04091	bal:BACI_c28750
ko:K01449	bal:BACI_c27150
ko:K01091	bal:BACI_c21880
ko:K01118	bal:BACI_c21960
ko:K00655	bal:BACI_c21970
ko:K11068	bal:BACI_c21980
ko:K03116	bal:BACI_c21990
ko:K03118	bal:BACI_c22000
ko:K07152	bal:BACI_c22040
ko:K01953	bal:BACI_c22060
ko:K05847	bal:BACI_c22420
ko:K03758	bal:BACI_c22440
ko:K01034	bal:BACI_c22560
ko:K01438	bal:BACI_c22580
ko:K19689	bal:BACI_c03750
ko:K02361	bal:BACI_c23140
ko:K04780	bal:BACI_c23170
ko:K06133	bal:BACI_c23200
ko:K03530	bal:BACI_c23220
ko:K03310	bal:BACI_c23260
ko:K06182	bal:BACI_c23320
ko:K01868	bal:BACI_c23350
ko:K02003	bal:BACI_c23360
ko:K02034	bal:BACI_c23420
ko:K07238	bal:BACI_c23430
ko:K02760	bal:BACI_c24040
ko:K02761	bal:BACI_c24050
ko:K09001	bal:BACI_c24070
ko:K01754	bal:BACI_c24110
ko:K09936	bal:BACI_c23500
ko:K09936	bal:BACI_c23520
ko:K00231	bal:BACI_c23670
ko:K03704	bal:BACI_c23720
ko:K00133	bal:BACI_c23780
ko:K01448	bal:BACI_c23870
ko:K03088	bal:BACI_c23980
ko:K02851	bal:BACI_c51870
ko:K06714	bal:BACI_c22600
ko:K02016	bal:BACI_c22100
ko:K00824	bal:BACI_c22110
ko:K06304	bal:BACI_c22870
ko:K05366	bal:BACI_c22930
ko:K01647	bal:BACI_c22960
ko:K01720	bal:BACI_c22970
ko:K00140	bal:BACI_c23010
ko:K03547	bal:BACI_c23060
ko:K00216	bal:BACI_c23130
ko:K06867	bal:BACI_c05720
ko:K06867	bal:BACI_c46690
ko:K01784	bal:BACI_c54430
ko:K01990	bal:BACI_c41880
ko:K02035	bal:BACI_c09470
ko:K02033	bal:BACI_c09480
ko:K03338	bal:BACI_c24810
ko:K00140	bal:BACI_c24820
ko:K03336	bal:BACI_c24830
ko:K03335	bal:BACI_c24840
ko:K01624	bal:BACI_c24850
ko:K03337	bal:BACI_c24860
ko:K01448	bal:BACI_c24960
ko:K09765	bal:BACI_c25020
ko:K09765	bal:BACI_c25030
ko:K01961	bal:BACI_c25180
ko:K14155	bal:BACI_c49130
ko:K08777	bal:BACI_c50530
ko:K07117	bal:BACI_c50830
ko:K11189	bal:BACI_c40170
ko:K01977	bal:BACI_c00310
ko:K01977	bal:BACI_c07280
ko:K01977	bal:BACI_c03230
ko:K01977	bal:BACI_c03280
ko:K01977	bal:BACI_c02980
ko:K01977	bal:BACI_c05300
ko:K01977	bal:BACI_c01800
ko:K01977	bal:BACI_c01010
ko:K01977	bal:BACI_c49010
ko:K01977	bal:BACI_c00890
ko:K01977	bal:BACI_c00070
ko:K05020	bal:BACI_c52290
ko:K02004	bal:BACI_c07770
ko:K03294	bal:BACI_c06030
ko:K03406	bal:BACI_c05850
ko:K00027	bal:BACI_c05890
ko:K08234	bal:BACI_c06160
ko:K00639	bal:BACI_c06280
ko:K03406	bal:BACI_c06920
ko:K07729	bal:BACI_c07030
ko:K03499	bal:BACI_c07070
ko:K09963	bal:BACI_c08190
ko:K02004	bal:BACI_c08340
ko:K03762	bal:BACI_c29730
ko:K07586	bal:BACI_c05180
ko:K11085	bal:BACI_c05190
ko:K09825	bal:BACI_c05280
ko:K03574	bal:BACI_c05500
ko:K01387	bal:BACI_c05630
ko:K07192	bal:BACI_c05650
ko:K03406	bal:BACI_c05660
ko:K01187	bal:BACI_c04200
ko:K06131	bal:BACI_c20160
ko:K14221	bal:BACI_c02910
ko:K14221	bal:BACI_c05380
ko:K14221	bal:BACI_c03020
ko:K14221	bal:BACI_c48850
ko:K14221	bal:BACI_c07430
ko:K14221	bal:BACI_c54700
ko:K04085	bal:BACI_c08060
ko:K02443	bal:BACI_c05730
ko:K05816	bal:BACI_c05740
ko:K05814	bal:BACI_c05760
ko:K05815	bal:BACI_c05770
