ko:K06896	sagp:V193_08600
ko:K01619	sagp:V193_08895
ko:K03317	sagp:V193_08900
ko:K02926	sagp:V193_01290
ko:K02892	sagp:V193_01295
ko:K02886	sagp:V193_01300
ko:K02965	sagp:V193_01305
ko:K02890	sagp:V193_01310
ko:K02982	sagp:V193_01315
ko:K02878	sagp:V193_01320
ko:K02904	sagp:V193_01325
ko:K02961	sagp:V193_01330
ko:K02874	sagp:V193_01335
ko:K02895	sagp:V193_01340
ko:K02931	sagp:V193_01345
ko:K02954	sagp:V193_01350
ko:K02994	sagp:V193_01355
ko:K02933	sagp:V193_01360
ko:K02881	sagp:V193_01365
ko:K02988	sagp:V193_01370
ko:K02907	sagp:V193_01375
ko:K02876	sagp:V193_01380
ko:K03076	sagp:V193_01385
ko:K00939	sagp:V193_01390
ko:K02518	sagp:V193_01395
ko:K02919	sagp:V193_01400
ko:K02952	sagp:V193_01405
ko:K02948	sagp:V193_01410
ko:K03040	sagp:V193_01415
ko:K02879	sagp:V193_01420
ko:K09962	sagp:V193_01505
ko:K12296	sagp:V193_01515
ko:K07260	sagp:V193_01525
ko:K03705	sagp:V193_01535
ko:K03687	sagp:V193_01540
ko:K04043	sagp:V193_01545
ko:K03686	sagp:V193_01550
ko:K06173	sagp:V193_01560
ko:K00868	sagp:V193_01565
ko:K03545	sagp:V193_01585
ko:K03048	sagp:V193_01590
ko:K01937	sagp:V193_01595
ko:K06889	sagp:V193_01600
ko:K07584	sagp:V193_06080
ko:K02888	sagp:V193_06085
ko:K07282	sagp:V193_06090
ko:K03151	sagp:V193_06095
ko:K04487	sagp:V193_06100
ko:K00383	sagp:V193_06110
ko:K01736	sagp:V193_06120
ko:K01735	sagp:V193_06125
ko:K03785	sagp:V193_06130
ko:K06969	sagp:V193_06135
ko:K02887	sagp:V193_06145
ko:K02916	sagp:V193_06150
ko:K02520	sagp:V193_06155
ko:K00945	sagp:V193_06160
ko:K05337	sagp:V193_06170
ko:K01258	sagp:V193_06180
ko:K05362	sagp:V193_06190
ko:K02013	sagp:V193_06195
ko:K02016	sagp:V193_06200
ko:K15986	sagp:V193_06220
ko:K04069	sagp:V193_06225
ko:K03699	sagp:V193_06230
ko:K07139	sagp:V193_06240
ko:K03100	sagp:V193_06260
ko:K00991	sagp:V193_06305
ko:K07271	sagp:V193_06310
ko:K09153	sagp:V193_06320
ko:K12997	sagp:V193_06330
ko:K12996	sagp:V193_06335
ko:K00067	sagp:V193_06340
ko:K02029	sagp:V193_04375
ko:K02028	sagp:V193_04380
ko:K02030	sagp:V193_04385
ko:K02968	sagp:V193_04400
ko:K00867	sagp:V193_04405
ko:K00564	sagp:V193_04410
ko:K07335	sagp:V193_04415
ko:K02057	sagp:V193_04425
ko:K02057	sagp:V193_04430
ko:K00016	sagp:V193_04440
ko:K02469	sagp:V193_04445
ko:K07284	sagp:V193_04450
ko:K08234	sagp:V193_04455
ko:K01951	sagp:V193_04470
ko:K03710	sagp:V193_04475
ko:K04094	sagp:V193_04480
ko:K02073	sagp:V193_04490
ko:K02003	sagp:V193_04505
ko:K02004	sagp:V193_04510
ko:K03106	sagp:V193_04545
ko:K09787	sagp:V193_04550
ko:K14982	sagp:V193_04555
ko:K14983	sagp:V193_04560
ko:K01256	sagp:V193_04565
ko:K02039	sagp:V193_04570
ko:K02036	sagp:V193_04575
ko:K02036	sagp:V193_04580
ko:K02038	sagp:V193_04585
ko:K02037	sagp:V193_04590
ko:K02040	sagp:V193_04595
ko:K01092	sagp:V193_04610
ko:K16509	sagp:V193_04620
ko:K11753	sagp:V193_04625
ko:K03177	sagp:V193_04630
ko:K07052	sagp:V193_04650
ko:K02004	sagp:V193_04655
ko:K00757	sagp:V193_08905
ko:K04077	sagp:V193_08920
ko:K04078	sagp:V193_08925
ko:K05833	sagp:V193_08930
ko:K05832	sagp:V193_08935
ko:K01989	sagp:V193_08940
ko:K07104	sagp:V193_08950
ko:K09861	sagp:V193_08955
ko:K07447	sagp:V193_09000
ko:K03742	sagp:V193_09020
ko:K01246	sagp:V193_09025
ko:K03550	sagp:V193_09030
ko:K08152	sagp:V193_09035
ko:K03572	sagp:V193_09040
ko:K03704	sagp:V193_09045
ko:K03555	sagp:V193_09050
ko:K03402	sagp:V193_09055
ko:K01887	sagp:V193_09060
ko:K01876	sagp:V193_09080
ko:K01892	sagp:V193_09085
ko:K02911	sagp:V193_09090
ko:K02913	sagp:V193_09095
ko:K00926	sagp:V193_09105
ko:K00611	sagp:V193_09110
ko:K07717	sagp:V193_09115
ko:K07719	sagp:V193_09120
ko:K05847	sagp:V193_09125
ko:K05845	sagp:V193_09130
ko:K05846	sagp:V193_09130
ko:K14205	sagp:V193_09135
ko:K08987	sagp:V193_09145
ko:K01421	sagp:V193_09150
ko:K02986	sagp:V193_09165
ko:K02939	sagp:V193_09180
ko:K04485	sagp:V193_01615
ko:K01673	sagp:V193_01620
ko:K09698	sagp:V193_01630
ko:K10439	sagp:V193_01635
ko:K10440	sagp:V193_01640
ko:K10441	sagp:V193_01645
ko:K06726	sagp:V193_01650
ko:K00852	sagp:V193_01655
ko:K02529	sagp:V193_01660
ko:K02004	sagp:V193_01665
ko:K02003	sagp:V193_01670
ko:K01940	sagp:V193_01685
ko:K01755	sagp:V193_01690
ko:K01624	sagp:V193_01695
ko:K02902	sagp:V193_01705
ko:K07030	sagp:V193_01715
ko:K17076	sagp:V193_01735
ko:K17073	sagp:V193_01740
ko:K17074	sagp:V193_01740
ko:K06153	sagp:V193_01750
ko:K16511	sagp:V193_01755
ko:K02851	sagp:V193_01760
ko:K09013	sagp:V193_01765
ko:K09015	sagp:V193_01770
ko:K11717	sagp:V193_01775
ko:K04488	sagp:V193_01780
ko:K09014	sagp:V193_01785
ko:K07258	sagp:V193_01795
ko:K15580	sagp:V193_01800
ko:K15581	sagp:V193_01805
ko:K15582	sagp:V193_01810
ko:K15583	sagp:V193_01815
ko:K10823	sagp:V193_01820
ko:K09817	sagp:V193_01855
ko:K09816	sagp:V193_01860
ko:K15051	sagp:V193_01865
ko:K01866	sagp:V193_01870
ko:K03693	sagp:V193_01875
ko:K03043	sagp:V193_01880
ko:K03046	sagp:V193_01885
ko:K02243	sagp:V193_01895
ko:K03086	sagp:V193_06350
ko:K03282	sagp:V193_06360
ko:K02970	sagp:V193_06365
ko:K06940	sagp:V193_06370
ko:K02030	sagp:V193_06375
ko:K03320	sagp:V193_06380
ko:K07146	sagp:V193_06390
ko:K00688	sagp:V193_06405
ko:K00705	sagp:V193_06410
ko:K02529	sagp:V193_06415
ko:K15770	sagp:V193_06420
ko:K15772	sagp:V193_06430
ko:K03305	sagp:V193_06435
ko:K03305	sagp:V193_06450
ko:K03574	sagp:V193_06455
ko:K03070	sagp:V193_06475
ko:K12270	sagp:V193_06480
ko:K12269	sagp:V193_06485
ko:K12268	sagp:V193_06490
ko:K03702	sagp:V193_06540
ko:K02029	sagp:V193_06550
ko:K02030	sagp:V193_06550
ko:K02028	sagp:V193_06555
ko:K03979	sagp:V193_06570
ko:K06183	sagp:V193_06595
ko:K01759	sagp:V193_06610
ko:K12999	sagp:V193_06615
ko:K03664	sagp:V193_06625
ko:K12573	sagp:V193_06630
ko:K03075	sagp:V193_06635
ko:K02313	sagp:V193_00005
ko:K02338	sagp:V193_00010
ko:K06942	sagp:V193_00030
ko:K01056	sagp:V193_00035
ko:K03723	sagp:V193_00040
ko:K02003	sagp:V193_04660
ko:K03168	sagp:V193_04665
ko:K02016	sagp:V193_04675
ko:K02013	sagp:V193_04680
ko:K02015	sagp:V193_04685
ko:K02015	sagp:V193_04690
ko:K00661	sagp:V193_04695
ko:K03470	sagp:V193_04700
ko:K14540	sagp:V193_04705
ko:K07704	sagp:V193_04725
ko:K01955	sagp:V193_04765
ko:K01956	sagp:V193_04770
ko:K00609	sagp:V193_04775
ko:K01465	sagp:V193_04780
ko:K00762	sagp:V193_04785
ko:K01591	sagp:V193_04790
ko:K00133	sagp:V193_04810
ko:K06131	sagp:V193_04820
ko:K01938	sagp:V193_04835
ko:K03800	sagp:V193_04840
ko:K01598	sagp:V193_04880
ko:K01835	sagp:V193_04890
ko:K00600	sagp:V193_04915
ko:K07566	sagp:V193_04920
ko:K02493	sagp:V193_04925
ko:K02835	sagp:V193_04930
ko:K03495	sagp:V193_09190
ko:K05595	sagp:V193_09195
ko:K00566	sagp:V193_09200
ko:K01752	sagp:V193_09205
ko:K01752	sagp:V193_09210
ko:K16785	sagp:V193_09225
ko:K16787	sagp:V193_09230
ko:K16786	sagp:V193_09235
ko:K00995	sagp:V193_09240
ko:K03629	sagp:V193_09260
ko:K05340	sagp:V193_09265
ko:K00088	sagp:V193_09275
ko:K03402	sagp:V193_09280
ko:K01478	sagp:V193_09295
ko:K00611	sagp:V193_09305
ko:K03758	sagp:V193_09310
ko:K00926	sagp:V193_09315
ko:K01867	sagp:V193_09320
ko:K00783	sagp:V193_09360
ko:K02248	sagp:V193_01905
ko:K00925	sagp:V193_01920
ko:K07729	sagp:V193_01925
ko:K00286	sagp:V193_01940
ko:K01261	sagp:V193_01945
ko:K06878	sagp:V193_01965
ko:K07704	sagp:V193_01985
ko:K05338	sagp:V193_01995
ko:K05339	sagp:V193_02000
ko:K02035	sagp:V193_02005
ko:K02033	sagp:V193_02010
ko:K02034	sagp:V193_02015
ko:K02822	sagp:V193_02050
ko:K03475	sagp:V193_02055
ko:K00615	sagp:V193_02060
ko:K00615	sagp:V193_02065
ko:K02956	sagp:V193_02075
ko:K00962	sagp:V193_02080
ko:K00640	sagp:V193_02090
ko:K01883	sagp:V193_02100
ko:K11145	sagp:V193_02105
ko:K03218	sagp:V193_02110
ko:K06962	sagp:V193_02115
ko:K07729	sagp:V193_02130
ko:K02871	sagp:V193_02135
ko:K02996	sagp:V193_02140
ko:K05846	sagp:V193_02200
ko:K05845	sagp:V193_02205
ko:K05846	sagp:V193_02210
ko:K05847	sagp:V193_02215
ko:K01990	sagp:V193_06650
ko:K00859	sagp:V193_06655
ko:K10563	sagp:V193_06660
ko:K07042	sagp:V193_06705
ko:K10254	sagp:V193_06730
ko:K07304	sagp:V193_06740
ko:K00243	sagp:V193_06745
ko:K02838	sagp:V193_06750
ko:K09903	sagp:V193_06755
ko:K10824	sagp:V193_06760
ko:K15587	sagp:V193_06765
ko:K15586	sagp:V193_06770
ko:K15584	sagp:V193_06780
ko:K02863	sagp:V193_06785
ko:K02867	sagp:V193_06790
ko:K08170	sagp:V193_06795
ko:K03342	sagp:V193_06810
ko:K03466	sagp:V193_06815
ko:K03767	sagp:V193_06820
ko:K03709	sagp:V193_06840
ko:K01243	sagp:V193_06845
ko:K01515	sagp:V193_06855
ko:K04042	sagp:V193_06860
ko:K04750	sagp:V193_06865
ko:K00059	sagp:V193_06885
ko:K01467	sagp:V193_00060
ko:K04075	sagp:V193_00065
ko:K00760	sagp:V193_00070
ko:K03798	sagp:V193_00075
ko:K01990	sagp:V193_00215
ko:K10947	sagp:V193_00225
ko:K01443	sagp:V193_00235
ko:K01878	sagp:V193_00245
ko:K01118	sagp:V193_00250
ko:K01879	sagp:V193_00255
ko:K00105	sagp:V193_00270
ko:K02440	sagp:V193_00275
ko:K00615	sagp:V193_00300
ko:K01990	sagp:V193_00310
ko:K01992	sagp:V193_00315
ko:K02809	sagp:V193_00320
ko:K02810	sagp:V193_00320
ko:K00931	sagp:V193_00325
ko:K00147	sagp:V193_00330
ko:K03438	sagp:V193_00335
ko:K12556	sagp:V193_00345
ko:K01000	sagp:V193_00350
ko:K02030	sagp:V193_00360
ko:K02029	sagp:V193_00365
ko:K02028	sagp:V193_00370
ko:K01821	sagp:V193_04940
ko:K03734	sagp:V193_04945
ko:K16169	sagp:V193_04965
ko:K03816	sagp:V193_04970
ko:K00364	sagp:V193_04975
ko:K06180	sagp:V193_05005
ko:K00858	sagp:V193_05010
ko:K07816	sagp:V193_05015
ko:K00948	sagp:V193_05025
ko:K04487	sagp:V193_05030
ko:K01926	sagp:V193_05040
ko:K03630	sagp:V193_05045
ko:K01223	sagp:V193_05055
ko:K02372	sagp:V193_05065
ko:K11069	sagp:V193_05135
ko:K11070	sagp:V193_05140
ko:K11071	sagp:V193_05145
ko:K11072	sagp:V193_05150
ko:K00075	sagp:V193_05155
ko:K00950	sagp:V193_05160
ko:K01633	sagp:V193_05165
ko:K00796	sagp:V193_05170
ko:K01495	sagp:V193_05175
ko:K11754	sagp:V193_05180
ko:K05786	sagp:V193_05185
ko:K00872	sagp:V193_05190
ko:K00003	sagp:V193_05195
ko:K05020	sagp:V193_05210
ko:K00135	sagp:V193_05215
ko:K07586	sagp:V193_02260
ko:K03565	sagp:V193_02265
ko:K02348	sagp:V193_02280
ko:K03647	sagp:V193_02300
ko:K01607	sagp:V193_02330
ko:K16264	sagp:V193_02355
ko:K02773	sagp:V193_02395
ko:K02774	sagp:V193_02400
ko:K01629	sagp:V193_02410
ko:K02773	sagp:V193_02415
ko:K02775	sagp:V193_02420
ko:K02774	sagp:V193_02425
ko:K02027	sagp:V193_02435
ko:K02026	sagp:V193_02445
ko:K01785	sagp:V193_02470
ko:K01873	sagp:V193_02495
ko:K03311	sagp:V193_06930
ko:K01874	sagp:V193_06935
ko:K16868	sagp:V193_06940
ko:K01142	sagp:V193_06960
ko:K00567	sagp:V193_06970
ko:K00058	sagp:V193_06975
ko:K00831	sagp:V193_06985
ko:K06201	sagp:V193_06990
ko:K07056	sagp:V193_06995
ko:K02341	sagp:V193_07005
ko:K00943	sagp:V193_07010
ko:K04767	sagp:V193_07015
ko:K01996	sagp:V193_07020
ko:K01995	sagp:V193_07025
ko:K01997	sagp:V193_07035
ko:K01999	sagp:V193_07040
ko:K01358	sagp:V193_07050
ko:K00761	sagp:V193_07055
ko:K14155	sagp:V193_07060
ko:K03216	sagp:V193_07065
ko:K03294	sagp:V193_07070
ko:K03499	sagp:V193_07075
ko:K03498	sagp:V193_07080
ko:K08998	sagp:V193_07095
ko:K06178	sagp:V193_07100
ko:K06024	sagp:V193_07105
ko:K05896	sagp:V193_07110
ko:K07095	sagp:V193_07125
ko:K02428	sagp:V193_07130
ko:K01776	sagp:V193_07135
ko:K09976	sagp:V193_07140
ko:K16788	sagp:V193_07145
ko:K07105	sagp:V193_07150
ko:K06890	sagp:V193_07155
ko:K06950	sagp:V193_07160
ko:K03437	sagp:V193_07165
ko:K01512	sagp:V193_07170
ko:K03217	sagp:V193_07175
ko:K10009	sagp:V193_07180
ko:K00384	sagp:V193_00380
ko:K00763	sagp:V193_00385
ko:K01916	sagp:V193_00390
ko:K01372	sagp:V193_00395
ko:K05366	sagp:V193_00400
ko:K03700	sagp:V193_00405
ko:K07444	sagp:V193_00420
ko:K07173	sagp:V193_00430
ko:K01992	sagp:V193_00445
ko:K07778	sagp:V193_00450
ko:K00942	sagp:V193_00465
ko:K03060	sagp:V193_00470
ko:K04066	sagp:V193_00475
ko:K00604	sagp:V193_00480
ko:K03500	sagp:V193_00485
ko:K11617	sagp:V193_00505
ko:K11618	sagp:V193_00510
ko:K03768	sagp:V193_00515
ko:K07570	sagp:V193_00520
ko:K04069	sagp:V193_00525
ko:K02759	sagp:V193_00540
ko:K02760	sagp:V193_00545
ko:K02240	sagp:V193_00565
ko:K05808	sagp:V193_00575
ko:K00928	sagp:V193_00605
ko:K18474	sagp:V193_00615
ko:K00648	sagp:V193_00625
ko:K02078	sagp:V193_00630
ko:K02371	sagp:V193_00635
ko:K00645	sagp:V193_00640
ko:K00059	sagp:V193_00645
ko:K09458	sagp:V193_00650
ko:K02160	sagp:V193_00655
ko:K02372	sagp:V193_00660
ko:K01961	sagp:V193_00665
ko:K01963	sagp:V193_00670
ko:K07729	sagp:V193_05235
ko:K11065	sagp:V193_05245
ko:K03657	sagp:V193_05305
ko:K02614	sagp:V193_05310
ko:K02824	sagp:V193_05315
ko:K03310	sagp:V193_05320
ko:K02945	sagp:V193_05350
ko:K00826	sagp:V193_05370
ko:K02621	sagp:V193_05375
ko:K02622	sagp:V193_05380
ko:K08591	sagp:V193_05385
ko:K03648	sagp:V193_05400
ko:K01791	sagp:V193_05420
ko:K01104	sagp:V193_05480
ko:K03783	sagp:V193_05500
ko:K00537	sagp:V193_05505
ko:K01914	sagp:V193_02545
ko:K00954	sagp:V193_02565
ko:K07177	sagp:V193_02570
ko:K06941	sagp:V193_02585
ko:K01658	sagp:V193_02605
ko:K03523	sagp:V193_02610
ko:K00626	sagp:V193_02625
ko:K10773	sagp:V193_02635
ko:K02236	sagp:V193_02640
ko:K00845	sagp:V193_02650
ko:K06207	sagp:V193_02660
ko:K01925	sagp:V193_02670
ko:K02563	sagp:V193_02675
ko:K03589	sagp:V193_02680
ko:K03590	sagp:V193_02685
ko:K03531	sagp:V193_02690
ko:K06997	sagp:V193_02695
ko:K09772	sagp:V193_02700
ko:K02221	sagp:V193_02705
ko:K04074	sagp:V193_02715
ko:K01870	sagp:V193_02720
ko:K03697	sagp:V193_02735
ko:K02029	sagp:V193_02745
ko:K02028	sagp:V193_02750
ko:K01491	sagp:V193_02760
ko:K03601	sagp:V193_02770
ko:K03602	sagp:V193_02775
ko:K13789	sagp:V193_02780
ko:K06442	sagp:V193_02785
ko:K03402	sagp:V193_02790
ko:K03631	sagp:V193_02795
ko:K03530	sagp:V193_02815
ko:K00226	sagp:V193_02825
ko:K12554	sagp:V193_02830
ko:K02424	sagp:V193_07185
ko:K03624	sagp:V193_07195
ko:K07082	sagp:V193_07200
ko:K01924	sagp:V193_07210
ko:K03977	sagp:V193_07230
ko:K11144	sagp:V193_07235
ko:K03346	sagp:V193_07240
ko:K07738	sagp:V193_07245
ko:K07040	sagp:V193_07260
ko:K03799	sagp:V193_07265
ko:K03744	sagp:V193_07270
ko:K03501	sagp:V193_07275
ko:K03499	sagp:V193_07285
ko:K16785	sagp:V193_07290
ko:K16786	sagp:V193_07295
ko:K16787	sagp:V193_07295
ko:K16924	sagp:V193_07300
ko:K07862	sagp:V193_07305
ko:K03311	sagp:V193_07310
ko:K18369	sagp:V193_07315
ko:K02072	sagp:V193_07320
ko:K02071	sagp:V193_07325
ko:K01439	sagp:V193_07330
ko:K02073	sagp:V193_07335
ko:K02030	sagp:V193_07340
ko:K07010	sagp:V193_07345
ko:K05879	sagp:V193_07365
ko:K02440	sagp:V193_07375
ko:K09710	sagp:V193_07405
ko:K00969	sagp:V193_07420
ko:K07574	sagp:V193_07425
ko:K06948	sagp:V193_07430
ko:K07015	sagp:V193_07435
ko:K02434	sagp:V193_07445
ko:K02433	sagp:V193_07450
ko:K02435	sagp:V193_07455
ko:K01006	sagp:V193_07460
ko:K01978	sagp:V193_09375
ko:K02001	sagp:V193_08075
ko:K02002	sagp:V193_08075
ko:K05363	sagp:V193_02835
ko:K06885	sagp:V193_02850
ko:K01537	sagp:V193_02860
ko:K04041	sagp:V193_02870
ko:K02836	sagp:V193_02880
ko:K09812	sagp:V193_02885
ko:K09811	sagp:V193_02890
ko:K03366	sagp:V193_02905
ko:K01893	sagp:V193_02920
ko:K16923	sagp:V193_02925
ko:K06958	sagp:V193_02940
ko:K09762	sagp:V193_02950
ko:K08659	sagp:V193_02955
ko:K09815	sagp:V193_02960
ko:K02909	sagp:V193_02965
ko:K01488	sagp:V193_02975
ko:K04516	sagp:V193_02985
ko:K02884	sagp:V193_02995
ko:K05837	sagp:V193_03005
ko:K02470	sagp:V193_03015
ko:K06286	sagp:V193_03020
ko:K01079	sagp:V193_03025
ko:K01689	sagp:V193_03040
ko:K15051	sagp:V193_03045
ko:K00800	sagp:V193_03050
ko:K00891	sagp:V193_03055
ko:K03215	sagp:V193_03065
ko:K00600	sagp:V193_03090
ko:K01990	sagp:V193_03120
ko:K01992	sagp:V193_03125
ko:K01992	sagp:V193_03130
ko:K09773	sagp:V193_07465
ko:K00074	sagp:V193_07475
ko:K03706	sagp:V193_07485
ko:K14260	sagp:V193_07490
ko:K01424	sagp:V193_07505
ko:K00014	sagp:V193_07510
ko:K03655	sagp:V193_07520
ko:K01775	sagp:V193_07530
ko:K00997	sagp:V193_07535
ko:K01626	sagp:V193_07540
ko:K03070	sagp:V193_07545
ko:K01809	sagp:V193_07550
ko:K00847	sagp:V193_07555
ko:K02808	sagp:V193_07560
ko:K02809	sagp:V193_07560
ko:K02810	sagp:V193_07560
ko:K01193	sagp:V193_07565
ko:K03484	sagp:V193_07570
ko:K03625	sagp:V193_07575
ko:K02356	sagp:V193_07585
ko:K01262	sagp:V193_07620
ko:K03701	sagp:V193_07635
ko:K03284	sagp:V193_07645
ko:K02963	sagp:V193_07650
ko:K02990	sagp:V193_07660
ko:K03575	sagp:V193_07665
ko:K03671	sagp:V193_07675
ko:K07456	sagp:V193_07685
ko:K03471	sagp:V193_07700
ko:K03100	sagp:V193_07705
ko:K03581	sagp:V193_07710
ko:K00656	sagp:V193_07725
ko:K02440	sagp:V193_07750
ko:K06287	sagp:V193_03160
ko:K02004	sagp:V193_03200
ko:K02003	sagp:V193_03205
ko:K15051	sagp:V193_03215
ko:K03975	sagp:V193_03220
ko:K02068	sagp:V193_03225
ko:K02069	sagp:V193_03230
ko:K07035	sagp:V193_03245
ko:K03778	sagp:V193_03250
ko:K00874	sagp:V193_03260
ko:K01195	sagp:V193_03265
ko:K01686	sagp:V193_03285
ko:K02529	sagp:V193_03310
ko:K01868	sagp:V193_03330
ko:K10040	sagp:V193_03350
ko:K10040	sagp:V193_03355
ko:K10041	sagp:V193_03365
ko:K07668	sagp:V193_03370
ko:K07652	sagp:V193_03375
ko:K09790	sagp:V193_03385
ko:K03685	sagp:V193_03390
ko:K03529	sagp:V193_03395
ko:K03110	sagp:V193_03410
ko:K08986	sagp:V193_03415
ko:K07089	sagp:V193_03420
