ko:K06896	snb:SP670_1565
ko:K00432	snb:SP670_0381
ko:K00566	snb:SP670_0202
ko:K03495	snb:SP670_0204
ko:K03789	snb:SP670_0210
ko:K00012	snb:SP670_0220
ko:K02073	snb:SP670_0229
ko:K02071	snb:SP670_0231
ko:K02072	snb:SP670_0232
ko:K07718	snb:SP670_0235
ko:K03572	snb:SP670_0252
ko:K00794	snb:SP670_0253
ko:K00793	snb:SP670_0255
ko:K11752	snb:SP670_0256
ko:K03550	snb:SP670_0257
ko:K01246	snb:SP670_0258
ko:K03284	snb:SP670_0262
ko:K03701	snb:SP670_0263
ko:K01625	snb:SP670_0386
ko:K00874	snb:SP670_0387
ko:K02746	snb:SP670_0393
ko:K02747	snb:SP670_0394
ko:K03210	snb:SP670_0395
ko:K01589	snb:SP670_0132
ko:K01756	snb:SP670_0134
ko:K12308	snb:SP670_0137
ko:K02082	snb:SP670_0142
ko:K00760	snb:SP670_0035
ko:K03798	snb:SP670_0036
ko:K01939	snb:SP670_0044
ko:K04485	snb:SP670_0102
ko:K01673	snb:SP670_0103
ko:K00948	snb:SP670_0105
ko:K06929	snb:SP670_0109
ko:K03584	snb:SP670_0113
ko:K03621	snb:SP670_0114
ko:K02078	snb:SP670_0115
ko:K01923	snb:SP670_0122
ko:K01952	snb:SP670_0123
ko:K00764	snb:SP670_0124
ko:K04075	snb:SP670_0034
ko:K06942	snb:SP670_0027
ko:K00928	snb:SP670_0487
ko:K00648	snb:SP670_0491
ko:K01759	snb:SP670_1357
ko:K06400	snb:SP670_1284
ko:K02078	snb:SP670_0492
ko:K00645	snb:SP670_0494
ko:K00973	snb:SP670_0428
ko:K01790	snb:SP670_0429
ko:K00067	snb:SP670_0431
ko:K05366	snb:SP670_0437
ko:K07444	snb:SP670_0441
ko:K00009	snb:SP670_0469
ko:K03545	snb:SP670_0472
ko:K03581	snb:SP670_0473
ko:K03100	snb:SP670_0474
ko:K07456	snb:SP670_0480
ko:K03310	snb:SP670_0481
ko:K09458	snb:SP670_0496
ko:K00941	snb:SP670_0775
ko:K10118	snb:SP670_1972
ko:K01784	snb:SP670_1691
ko:K01916	snb:SP670_0878
ko:K07052	snb:SP670_0223
ko:K07052	snb:SP670_1039
ko:K07052	snb:SP670_0611
ko:K07052	snb:SP670_2258
ko:K01990	snb:SP670_1808
ko:K00131	snb:SP670_1219
ko:K11189	snb:SP670_1096
ko:K07474	snb:SP670_2159
ko:K02010	snb:SP670_1899
ko:K01190	snb:SP670_0704
ko:K14260	snb:SP670_2072
ko:K01155	snb:SP670_1923
ko:K03574	snb:SP670_1105
ko:K10119	snb:SP670_1971
ko:K14155	snb:SP670_1604
ko:K00290	snb:SP670_1400
ko:K00868	snb:SP670_1680
ko:K10947	snb:SP670_1535
ko:K07052	snb:SP670_0612
ko:K07052	snb:SP670_0361
ko:K02372	snb:SP670_0498
ko:K01961	snb:SP670_0499
ko:K01963	snb:SP670_0500
ko:K01962	snb:SP670_0501
ko:K03625	snb:SP670_0506
ko:K02056	snb:SP670_1480
ko:K04517	snb:SP670_0923
ko:K02030	snb:SP670_0797
ko:K13052	snb:SP670_0031
ko:K12373	snb:SP670_0135
ko:K02795	snb:SP670_0139
ko:K02793	snb:SP670_0141
ko:K01785	snb:SP670_0143
ko:K07104	snb:SP670_0144
ko:K11618	snb:SP670_0455
ko:K11617	snb:SP670_0454
ko:K14983	snb:SP670_1525
ko:K02005	snb:SP670_1540
ko:K10117	snb:SP670_2311
ko:K00841	snb:SP670_0112
ko:K02057	snb:SP670_1479
ko:K02057	snb:SP670_1478
ko:K03709	snb:SP670_1723
ko:K03324	snb:SP670_0572
ko:K08177	snb:SP670_1670
ko:K06148	snb:SP670_0218
ko:K06148	snb:SP670_0939
ko:K00561	snb:SP670_1166
ko:K07467	snb:SP670_1167
ko:K01992	snb:SP670_0917
ko:K03307	snb:SP670_0948
ko:K00059	snb:SP670_0495
ko:K02035	snb:SP670_0435
ko:K03700	snb:SP670_0438
ko:K00033	snb:SP670_0443
ko:K00869	snb:SP670_0449
ko:K01597	snb:SP670_0450
ko:K00938	snb:SP670_0451
ko:K01823	snb:SP670_0452
ko:K02799	snb:SP670_0466
ko:K02800	snb:SP670_0466
ko:K02798	snb:SP670_0468
ko:K03471	snb:SP670_0475
ko:K11041	snb:SP670_0483
ko:K14188	snb:SP670_2319
ko:K03498	snb:SP670_0151
ko:K03499	snb:SP670_0152
ko:K06183	snb:SP670_0352
ko:K01372	snb:SP670_0353
ko:K02795	snb:SP670_0355
ko:K02793	snb:SP670_0356
ko:K02794	snb:SP670_0356
ko:K13953	snb:SP670_0357
ko:K10041	snb:SP670_0669
ko:K02030	snb:SP670_0228
ko:K02030	snb:SP670_0678
ko:K12556	snb:SP670_0405
ko:K04086	snb:SP670_0408
ko:K00939	snb:SP670_0304
ko:K03491	snb:SP670_0375
ko:K01727	snb:SP670_0382
ko:K07491	snb:SP670_0385
ko:K00046	snb:SP670_0389
ko:K02744	snb:SP670_0390
ko:K02745	snb:SP670_0392
ko:K01409	snb:SP670_0211
ko:K01439	snb:SP670_0230
ko:K03647	snb:SP670_0238
ko:K01104	snb:SP670_0418
ko:K01262	snb:SP670_0264
ko:K12997	snb:SP670_0425
ko:K02371	snb:SP670_0493
ko:K15051	snb:SP670_2042
ko:K02538	snb:SP670_1706
ko:K14623	snb:SP670_0025
ko:K01537	snb:SP670_1637
ko:K07052	snb:SP670_0259
ko:K01990	snb:SP670_0594
ko:K01992	snb:SP670_0695
ko:K10117	snb:SP670_1973
ko:K07052	snb:SP670_1394
ko:K00965	snb:SP670_1927
ko:K00965	snb:SP670_1904
ko:K03436	snb:SP670_1450
ko:K07720	snb:SP670_0236
ko:K01990	snb:SP670_0916
ko:K01176	snb:SP670_0915
ko:K00974	snb:SP670_1641
ko:K01215	snb:SP670_0411
ko:K01200	snb:SP670_1221
ko:K02614	snb:SP670_1926
ko:K07273	snb:SP670_1333
ko:K03501	snb:SP670_0990
ko:K03744	snb:SP670_0991
ko:K03799	snb:SP670_0992
ko:K07040	snb:SP670_0995
ko:K10773	snb:SP670_0996
ko:K02825	snb:SP670_0997
ko:K00609	snb:SP670_0998
ko:K01956	snb:SP670_0999
ko:K01955	snb:SP670_1000
ko:K02029	snb:SP670_0760
ko:K04567	snb:SP670_0762
ko:K01878	snb:SP670_0821
ko:K01879	snb:SP670_0822
ko:K03734	snb:SP670_0826
ko:K06215	snb:SP670_0828
ko:K08681	snb:SP670_0829
ko:K11068	snb:SP670_0830
ko:K02029	snb:SP670_0835
ko:K00384	snb:SP670_0838
ko:K03218	snb:SP670_0839
ko:K01462	snb:SP670_0840
ko:K00763	snb:SP670_0877
ko:K07568	snb:SP670_0881
ko:K02970	snb:SP670_0883
ko:K13292	snb:SP670_0885
ko:K02040	snb:SP670_0897
ko:K02037	snb:SP670_0898
ko:K02038	snb:SP670_0899
ko:K02036	snb:SP670_0900
ko:K02036	snb:SP670_0901
ko:K02039	snb:SP670_0902
ko:K01575	snb:SP670_0905
ko:K00075	snb:SP670_0907
ko:K01872	snb:SP670_0914
ko:K00003	snb:SP670_0935
ko:K00872	snb:SP670_0936
ko:K12267	snb:SP670_0938
ko:K02864	snb:SP670_0942
ko:K02935	snb:SP670_0943
ko:K09747	snb:SP670_1236
ko:K06180	snb:SP670_1240
ko:K00858	snb:SP670_1241
ko:K00948	snb:SP670_1244
ko:K04487	snb:SP670_1245
ko:K01926	snb:SP670_1248
ko:K07010	snb:SP670_1249
ko:K03630	snb:SP670_1250
ko:K03657	snb:SP670_1251
ko:K01265	snb:SP670_1254
ko:K00790	snb:SP670_1257
ko:K03979	snb:SP670_1260
ko:K13678	snb:SP670_1264
ko:K03086	snb:SP670_1266
ko:K02835	snb:SP670_1301
ko:K01821	snb:SP670_1303
ko:K03650	snb:SP670_1304
ko:K01714	snb:SP670_1305
ko:K00133	snb:SP670_1306
ko:K03282	snb:SP670_1309
ko:K01772	snb:SP670_1310
ko:K00690	snb:SP670_1969
ko:K00105	snb:SP670_2331
ko:K01271	snb:SP670_1674
ko:K08643	snb:SP670_0722
ko:K01261	snb:SP670_1940
ko:K03493	snb:SP670_2112
ko:K00262	snb:SP670_0973
ko:K02909	snb:SP670_0977
ko:K06199	snb:SP670_0981
ko:K06199	snb:SP670_0982
ko:K02884	snb:SP670_0983
ko:K06885	snb:SP670_0985
ko:K04096	snb:SP670_1009
ko:K03168	snb:SP670_1013
ko:K09790	snb:SP670_1014
ko:K01649	snb:SP670_1017
ko:K01649	snb:SP670_1018
ko:K00052	snb:SP670_1019
ko:K01704	snb:SP670_1021
ko:K00364	snb:SP670_1027
ko:K03685	snb:SP670_1028
ko:K03529	snb:SP670_1029
ko:K03110	snb:SP670_1032
ko:K00036	snb:SP670_1036
ko:K09694	snb:SP670_1855
ko:K09695	snb:SP670_1856
ko:K09761	snb:SP670_1859
ko:K02687	snb:SP670_1860
ko:K02837	snb:SP670_0514
ko:K02902	snb:SP670_0516
ko:K01652	snb:SP670_0519
ko:K06153	snb:SP670_0533
ko:K02346	snb:SP670_0535
ko:K00656	snb:SP670_0537
ko:K04043	snb:SP670_0589
ko:K03686	snb:SP670_0590
ko:K02503	snb:SP670_0593
ko:K07707	snb:SP670_0598
ko:K03439	snb:SP670_0614
ko:K09748	snb:SP670_0615
ko:K02600	snb:SP670_0616
ko:K00549	snb:SP670_0649
ko:K00297	snb:SP670_0650
ko:K00962	snb:SP670_0651
ko:K00640	snb:SP670_0652
ko:K01883	snb:SP670_0654
ko:K11145	snb:SP670_0655
ko:K02003	snb:SP670_0660
ko:K01624	snb:SP670_0664
ko:K07462	snb:SP670_0670
ko:K03703	snb:SP670_0676
ko:K07058	snb:SP670_0715
ko:K12267	snb:SP670_0718
ko:K07718	snb:SP670_0720
ko:K00791	snb:SP670_0730
ko:K03665	snb:SP670_0731
ko:K07124	snb:SP670_0734
ko:K06207	snb:SP670_0740
ko:K02003	snb:SP670_0744
ko:K01925	snb:SP670_0745
ko:K02563	snb:SP670_0746
ko:K03589	snb:SP670_0747
ko:K01591	snb:SP670_0748
ko:K00762	snb:SP670_0749
ko:K00878	snb:SP670_0766
ko:K00788	snb:SP670_0767
ko:K03707	snb:SP670_0771
ko:K00878	snb:SP670_0773
ko:K00788	snb:SP670_0774
ko:K01223	snb:SP670_0785
ko:K01809	snb:SP670_0786
ko:K03308	snb:SP670_0787
ko:K02029	snb:SP670_0795
ko:K02440	snb:SP670_0807
ko:K02358	snb:SP670_0809
ko:K07282	snb:SP670_0844
ko:K07282	snb:SP670_0845
ko:K03710	snb:SP670_0851
ko:K01951	snb:SP670_0852
ko:K08303	snb:SP670_0870
ko:K06967	snb:SP670_1695
ko:K00615	snb:SP670_1700
ko:K00655	snb:SP670_1708
ko:K02956	snb:SP670_1710
ko:K07118	snb:SP670_1711
ko:K06969	snb:SP670_0918
ko:K03785	snb:SP670_0919
ko:K00014	snb:SP670_0920
ko:K01735	snb:SP670_0921
ko:K01736	snb:SP670_0922
ko:K00800	snb:SP670_0925
ko:K00891	snb:SP670_0926
ko:K04074	snb:SP670_1748
ko:K02221	snb:SP670_1750
ko:K09772	snb:SP670_1751
ko:K06997	snb:SP670_1752
ko:K03531	snb:SP670_1753
ko:K03590	snb:SP670_1754
ko:K01929	snb:SP670_1757
ko:K01921	snb:SP670_1758
ko:K06187	snb:SP670_1759
ko:K00687	snb:SP670_1760
ko:K01060	snb:SP670_1786
ko:K03106	snb:SP670_0988
ko:K03977	snb:SP670_1802
ko:K07738	snb:SP670_1806
ko:K00847	snb:SP670_1814
ko:K01193	snb:SP670_1817
ko:K03484	snb:SP670_1818
ko:K03500	snb:SP670_1827
ko:K00604	snb:SP670_1828
ko:K12960	snb:SP670_0941
ko:K04066	snb:SP670_1829
ko:K03060	snb:SP670_1830
ko:K00942	snb:SP670_1831
ko:K07742	snb:SP670_0617
ko:K09710	snb:SP670_1837
ko:K00969	snb:SP670_1840
ko:K07574	snb:SP670_1841
ko:K07015	snb:SP670_1843
ko:K07862	snb:SP670_1846
ko:K03671	snb:SP670_1850
ko:K09457	snb:SP670_1851
ko:K07478	snb:SP670_1871
ko:K01193	snb:SP670_1872
ko:K02529	snb:SP670_1876
ko:K01695	snb:SP670_1887
ko:K01696	snb:SP670_1888
ko:K01817	snb:SP670_1889
ko:K01609	snb:SP670_1890
ko:K00766	snb:SP670_1891
ko:K01657	snb:SP670_1893
ko:K07507	snb:SP670_1897
ko:K02011	snb:SP670_1898
ko:K02012	snb:SP670_1900
ko:K02039	snb:SP670_1905
ko:K02519	snb:SP670_0619
ko:K02834	snb:SP670_0620
ko:K02435	snb:SP670_0513
ko:K01653	snb:SP670_0520
ko:K00053	snb:SP670_0521
ko:K01754	snb:SP670_0524
ko:K00243	snb:SP670_1375
ko:K02838	snb:SP670_1376
ko:K09903	snb:SP670_1377
ko:K04094	snb:SP670_1378
ko:K02761	snb:SP670_0553
ko:K02787	snb:SP670_0557
ko:K02788	snb:SP670_0557
ko:K03216	snb:SP670_0565
ko:K01937	snb:SP670_0571
ko:K00927	snb:SP670_0574
ko:K01915	snb:SP670_0577
ko:K01154	snb:SP670_0579
ko:K01154	snb:SP670_0580
ko:K01154	snb:SP670_0582
ko:K03427	snb:SP670_0583
ko:K01153	snb:SP670_0584
ko:K03705	snb:SP670_0587
ko:K03687	snb:SP670_0588
ko:K03402	snb:SP670_1428
ko:K01153	snb:SP670_1429
ko:K07341	snb:SP670_1432
ko:K01154	snb:SP670_1434
ko:K03427	snb:SP670_1435
ko:K01873	snb:SP670_0631
ko:K01223	snb:SP670_0642
ko:K01889	snb:SP670_0643
ko:K01890	snb:SP670_0645
ko:K07335	snb:SP670_1481
ko:K00756	snb:SP670_1484
ko:K02968	snb:SP670_1488
ko:K01839	snb:SP670_1497
ko:K01807	snb:SP670_1498
ko:K01491	snb:SP670_1500
ko:K02029	snb:SP670_1503
ko:K03311	snb:SP670_0684
ko:K02867	snb:SP670_0689
ko:K02863	snb:SP670_0690
ko:K01874	snb:SP670_1537
ko:K02003	snb:SP670_1539
ko:K03523	snb:SP670_1542
ko:K00554	snb:SP670_1547
ko:K02860	snb:SP670_1548
ko:K06960	snb:SP670_1551
ko:K02959	snb:SP670_1552
ko:K06941	snb:SP670_1558
ko:K04564	snb:SP670_1560
ko:K02340	snb:SP670_1561
ko:K00789	snb:SP670_1563
ko:K09811	snb:SP670_1567
ko:K09812	snb:SP670_1568
ko:K02836	snb:SP670_1569
ko:K02114	snb:SP670_1586
ko:K02112	snb:SP670_1587
ko:K02115	snb:SP670_1588
ko:K02111	snb:SP670_1589
ko:K02113	snb:SP670_1590
ko:K02109	snb:SP670_1591
ko:K02108	snb:SP670_1592
ko:K02110	snb:SP670_1593
ko:K03624	snb:SP670_1597
ko:K07082	snb:SP670_1598
ko:K01924	snb:SP670_1601
ko:K07461	snb:SP670_1618
ko:K02963	snb:SP670_1622
ko:K02990	snb:SP670_1624
ko:K01893	snb:SP670_1625
ko:K00215	snb:SP670_1642
ko:K03431	snb:SP670_1645
ko:K06958	snb:SP670_1651
ko:K03978	snb:SP670_1653
ko:K02434	snb:SP670_0511
ko:K04047	snb:SP670_1657
ko:K01803	snb:SP670_1659
ko:K00651	snb:SP670_1661
ko:K00759	snb:SP670_1662
ko:K03706	snb:SP670_1668
ko:K05592	snb:SP670_1669
ko:K01928	snb:SP670_1672
ko:K06173	snb:SP670_1681
ko:K06193	snb:SP670_1686
ko:K00945	snb:SP670_1687
ko:K01868	snb:SP670_1716
ko:K07560	snb:SP670_1730
ko:K11065	snb:SP670_1738
ko:K02003	snb:SP670_1740
ko:K01870	snb:SP670_1746
ko:K03655	snb:SP670_1788
ko:K01775	snb:SP670_1789
ko:K00997	snb:SP670_1790
ko:K01626	snb:SP670_1791
ko:K01626	snb:SP670_1792
ko:K03070	snb:SP670_1793
ko:K06188	snb:SP670_1853
ko:K03544	snb:SP670_1654
ko:K01126	snb:SP670_1326
ko:K04042	snb:SP670_1332
ko:K08602	snb:SP670_1341
ko:K03664	snb:SP670_1344
ko:K12573	snb:SP670_1345
ko:K03075	snb:SP670_1346
ko:K00859	snb:SP670_1348
ko:K07042	snb:SP670_1352
ko:K02887	snb:SP670_1358
ko:K02916	snb:SP670_1359
ko:K02520	snb:SP670_1360
ko:K02237	snb:SP670_1365
ko:K07056	snb:SP670_1383
ko:K02341	snb:SP670_1385
ko:K00943	snb:SP670_1386
ko:K00286	snb:SP670_1387
ko:K00147	snb:SP670_1388
ko:K00931	snb:SP670_1389
ko:K06180	snb:SP670_1391
ko:K03101	snb:SP670_1392
ko:K12251	snb:SP670_1397
ko:K10536	snb:SP670_1398
ko:K13747	snb:SP670_1399
ko:K00797	snb:SP670_1401
ko:K02003	snb:SP670_1409
ko:K06959	snb:SP670_1413
ko:K07089	snb:SP670_1416
ko:K01938	snb:SP670_1050
ko:K03575	snb:SP670_1052
ko:K02469	snb:SP670_1060
ko:K01740	snb:SP670_1063
ko:K01740	snb:SP670_1064
ko:K00876	snb:SP670_1068
ko:K03601	snb:SP670_1069
ko:K03602	snb:SP670_1070
ko:K13789	snb:SP670_1071
ko:K06442	snb:SP670_1072
ko:K03402	snb:SP670_1073
ko:K03631	snb:SP670_1074
ko:K03596	snb:SP670_1076
ko:K03648	snb:SP670_1104
ko:K01465	snb:SP670_1106
ko:K03327	snb:SP670_1107
ko:K00161	snb:SP670_1108
ko:K00162	snb:SP670_1109
ko:K00627	snb:SP670_1110
ko:K00382	snb:SP670_1111
ko:K03800	snb:SP670_1112
ko:K03470	snb:SP670_1115
ko:K01689	snb:SP670_1209
ko:K00873	snb:SP670_1424
ko:K00850	snb:SP670_1425
ko:K02337	snb:SP670_1426
ko:K03151	snb:SP670_1443
ko:K04487	snb:SP670_1444
ko:K03466	snb:SP670_1446
ko:K02768	snb:SP670_1448
ko:K02769	snb:SP670_1448
ko:K02770	snb:SP670_1448
ko:K09014	snb:SP670_1453
ko:K11717	snb:SP670_1455
ko:K09015	snb:SP670_1456
ko:K09013	snb:SP670_1457
ko:K02343	snb:SP670_1459
ko:K02945	snb:SP670_1463
ko:K01304	snb:SP670_1465
ko:K00826	snb:SP670_1469
ko:K02621	snb:SP670_1470
ko:K02622	snb:SP670_1472
ko:K08591	snb:SP670_1473
ko:K02470	snb:SP670_1517
ko:K03152	snb:SP670_1519
ko:K05837	snb:SP670_1520
ko:K01256	snb:SP670_1526
ko:K01996	snb:SP670_1571
ko:K01995	snb:SP670_1572
ko:K01998	snb:SP670_1573
ko:K01997	snb:SP670_1574
ko:K01999	snb:SP670_1575
ko:K01358	snb:SP670_1577
ko:K00761	snb:SP670_1578
ko:K07007	snb:SP670_1582
ko:K09861	snb:SP670_1632
ko:K01462	snb:SP670_1635
ko:K00849	snb:SP670_1928
ko:K02529	snb:SP670_1929
ko:K03811	snb:SP670_1934
ko:K05847	snb:SP670_1936
ko:K02787	snb:SP670_1089
ko:K02788	snb:SP670_1089
ko:K01142	snb:SP670_1918
ko:K03816	snb:SP670_1921
ko:K01079	snb:SP670_1214
ko:K00703	snb:SP670_1215
ko:K00975	snb:SP670_1216
ko:K00975	snb:SP670_1217
ko:K01972	snb:SP670_1222
ko:K06158	snb:SP670_1225
ko:K03530	snb:SP670_1226
ko:K11753	snb:SP670_1229
ko:K02899	snb:SP670_1232
ko:K02888	snb:SP670_1234
ko:K01595	snb:SP670_1271
ko:K03588	snb:SP670_1272
ko:K02013	snb:SP670_1288
ko:K02015	snb:SP670_1289
ko:K02015	snb:SP670_1290
ko:K02016	snb:SP670_1291
ko:K00600	snb:SP670_1297
ko:K07566	snb:SP670_1299
ko:K02493	snb:SP670_1300
ko:K02015	snb:SP670_1943
ko:K02015	snb:SP670_1944
ko:K02013	snb:SP670_1945
ko:K02016	snb:SP670_1946
ko:K08998	snb:SP670_1947
ko:K06178	snb:SP670_1948
ko:K06024	snb:SP670_1949
ko:K05896	snb:SP670_1950
ko:K07095	snb:SP670_1953
ko:K01776	snb:SP670_1955
ko:K03574	snb:SP670_1507
ko:K03930	snb:SP670_0672
ko:K06909	snb:SP670_2158
ko:K14540	snb:SP670_1116
ko:K06948	snb:SP670_1842
ko:K11749	snb:SP670_0336
ko:K06919	snb:SP670_0008
ko:K19689	snb:SP670_0350
ko:K14652	snb:SP670_0254
ko:K06198	snb:SP670_1342
ko:K15383	snb:SP670_0373
ko:K02242	snb:SP670_2354
ko:K10040	snb:SP670_0666
ko:K02794	snb:SP670_0138
ko:K02939	snb:SP670_2351
ko:K05808	snb:SP670_2353
ko:K01738	snb:SP670_2357
ko:K01818	snb:SP670_2303
ko:K01628	snb:SP670_2304
ko:K07407	snb:SP670_2306
ko:K00848	snb:SP670_2312
ko:K09816	snb:SP670_2315
ko:K09817	snb:SP670_2316
ko:K03740	snb:SP670_2318
ko:K03739	snb:SP670_2320
ko:K03367	snb:SP670_2321
ko:K02440	snb:SP670_2330
ko:K00864	snb:SP670_2332
ko:K04083	snb:SP670_2334
ko:K03696	snb:SP670_2342
ko:K02357	snb:SP670_2358
ko:K02967	snb:SP670_2359
ko:K03571	snb:SP670_2361
ko:K03570	snb:SP670_2362
ko:K00995	snb:SP670_2366
ko:K03629	snb:SP670_2371
ko:K01867	snb:SP670_2373
ko:K00783	snb:SP670_2382
ko:K01733	snb:SP670_2206
ko:K00688	snb:SP670_2246
ko:K00705	snb:SP670_2247
ko:K02529	snb:SP670_2252
ko:K01876	snb:SP670_2255
ko:K01892	snb:SP670_2264
ko:K01687	snb:SP670_2270
ko:K00615	snb:SP670_2271
ko:K00615	snb:SP670_2272
ko:K01810	snb:SP670_2211
ko:K07010	snb:SP670_2213
ko:K03555	snb:SP670_2217
ko:K03402	snb:SP670_2218
ko:K01887	snb:SP670_2219
ko:K07636	snb:SP670_2223
ko:K02040	snb:SP670_2224
ko:K02037	snb:SP670_2225
ko:K02038	snb:SP670_2226
ko:K02036	snb:SP670_2227
ko:K02039	snb:SP670_2228
ko:K00057	snb:SP670_2231
ko:K00963	snb:SP670_2232
ko:K05823	snb:SP670_2235
ko:K01866	snb:SP670_2240
ko:K00563	snb:SP670_2243
ko:K02911	snb:SP670_2278
ko:K02913	snb:SP670_2279
ko:K00611	snb:SP670_2295
ko:K00926	snb:SP670_2296
ko:K09760	snb:SP670_2058
ko:K01783	snb:SP670_2060
ko:K06949	snb:SP670_2061
ko:K02761	snb:SP670_2102
ko:K02760	snb:SP670_2103
ko:K02759	snb:SP670_2104
ko:K04072	snb:SP670_2105
ko:K03210	snb:SP670_2109
ko:K00615	snb:SP670_2110
ko:K07407	snb:SP670_1974
ko:K03524	snb:SP670_1976
ko:K01126	snb:SP670_2008
ko:K02012	snb:SP670_2009
ko:K07507	snb:SP670_2012
ko:K06925	snb:SP670_2030
ko:K02003	snb:SP670_2036
ko:K00940	snb:SP670_2038
ko:K03046	snb:SP670_2039
ko:K03043	snb:SP670_2040
ko:K00790	snb:SP670_2044
ko:K02528	snb:SP670_2062
ko:K02003	snb:SP670_2064
ko:K05985	snb:SP670_2068
ko:K03424	snb:SP670_2069
ko:K02914	snb:SP670_2071
ko:K02529	snb:SP670_2078
ko:K07778	snb:SP670_2080
ko:K02601	snb:SP670_2087
ko:K03073	snb:SP670_2088
ko:K06180	snb:SP670_2090
ko:K00134	snb:SP670_2091
ko:K00767	snb:SP670_2095
ko:K03217	snb:SP670_2121
ko:K03536	snb:SP670_2122
ko:K00925	snb:SP670_2123
ko:K01443	snb:SP670_2195
ko:K00773	snb:SP670_2197
ko:K01304	snb:SP670_2199
ko:K08987	snb:SP670_2200
ko:K03565	snb:SP670_1979
ko:K09765	snb:SP670_1984
ko:K09765	snb:SP670_1985
ko:K04077	snb:SP670_1986
ko:K04078	snb:SP670_1987
ko:K06878	snb:SP670_1990
ko:K00954	snb:SP670_2047
ko:K01914	snb:SP670_2049
ko:K06890	snb:SP670_2050
ko:K03437	snb:SP670_2051
ko:K01512	snb:SP670_2052
ko:K03217	snb:SP670_2053
ko:K04069	snb:SP670_2054
ko:K01586	snb:SP670_2055
ko:K02768	snb:SP670_1704
ko:K16169	snb:SP670_1922
ko:K08316	snb:SP670_2048
ko:K00917	snb:SP670_1085
ko:K01635	snb:SP670_1086
ko:K02786	snb:SP670_1088
ko:K01220	snb:SP670_1090
ko:K02530	snb:SP670_1092
ko:K08483	snb:SP670_1097
ko:K05845	snb:SP670_1935
ko:K05846	snb:SP670_1935
ko:K06147	snb:SP670_0864
ko:K01819	snb:SP670_1083
ko:K02531	snb:SP670_1087
ko:K02824	snb:SP670_0989
ko:K12292	snb:SP670_0120
