ko:K13040	sbn:Sbal195_3859
ko:K03686	sbn:Sbal195_3536
ko:K02939	sbn:Sbal195_0744
ko:K00954	sbn:Sbal195_4471
ko:K03557	sbn:Sbal195_4081
ko:K03654	sbn:Sbal195_0395
ko:K03771	sbn:Sbal195_1081
ko:K03648	sbn:Sbal195_1067
ko:K03503	sbn:Sbal195_2457
ko:K03574	sbn:Sbal195_4066
ko:K00794	sbn:Sbal195_3300
ko:K02314	sbn:Sbal195_0746
ko:K02316	sbn:Sbal195_1222
ko:K02926	sbn:Sbal195_0201
ko:K03497	sbn:Sbal195_4515
ko:K02412	sbn:Sbal195_3065
ko:K06187	sbn:Sbal195_2688
ko:K02886	sbn:Sbal195_0203
ko:K00813	sbn:Sbal195_2399
ko:K03502	sbn:Sbal195_2458
ko:K02454	sbn:Sbal195_0154
ko:K02453	sbn:Sbal195_0153
ko:K02461	sbn:Sbal195_0161
ko:K07636	sbn:Sbal195_1404
ko:K00382	sbn:Sbal195_4052
ko:K00241	sbn:Sbal195_2632
ko:K09699	sbn:Sbal195_2201
ko:K00123	sbn:Sbal195_0105
ko:K01029	sbn:Sbal195_2979
ko:K03407	sbn:Sbal195_2364
ko:K07678	sbn:Sbal195_3291
ko:K00239	sbn:Sbal195_2630
ko:K00859	sbn:Sbal195_4063
ko:K02914	sbn:Sbal195_4524
ko:K03650	sbn:Sbal195_4520
ko:K02358	sbn:Sbal195_0186
ko:K02275	sbn:Sbal195_4311
ko:K02601	sbn:Sbal195_0188
ko:K03601	sbn:Sbal195_3143
ko:K00782	sbn:Sbal195_1373
ko:K04087	sbn:Sbal195_3890
ko:K00925	sbn:Sbal195_2772
ko:K01953	sbn:Sbal195_1769
ko:K03043	sbn:Sbal195_0193
ko:K02864	sbn:Sbal195_0191
ko:K07071	sbn:Sbal195_2780
ko:K00537	sbn:Sbal195_1826
ko:K03979	sbn:Sbal195_1071
ko:K01682	sbn:Sbal195_4046
ko:K05367	sbn:Sbal195_0072
ko:K00833	sbn:Sbal195_1794
ko:K02400	sbn:Sbal195_3054
ko:K03665	sbn:Sbal195_3892
ko:K03498	sbn:Sbal195_0054
ko:K02456	sbn:Sbal195_0156
ko:K00127	sbn:Sbal195_4226
ko:K00124	sbn:Sbal195_4225
ko:K02379	sbn:Sbal195_4218
ko:K02415	sbn:Sbal195_0131
ko:K02170	sbn:Sbal195_4331
ko:K01657	sbn:Sbal195_2801
ko:K08289	sbn:Sbal195_1092
ko:K08303	sbn:Sbal195_3705
ko:K01695	sbn:Sbal195_2806
ko:K01696	sbn:Sbal195_2805
ko:K07811	sbn:Sbal195_3352
ko:K02654	sbn:Sbal195_4062
ko:K02460	sbn:Sbal195_0160
ko:K00627	sbn:Sbal195_4053
ko:K02459	sbn:Sbal195_0159
ko:K02458	sbn:Sbal195_0158
ko:K02457	sbn:Sbal195_0157
ko:K03060	sbn:Sbal195_0359
ko:K03498	sbn:Sbal195_0027
ko:K05366	sbn:Sbal195_4208
ko:K10763	sbn:Sbal195_1823
ko:K00346	sbn:Sbal195_3685
ko:K01878	sbn:Sbal195_0013
ko:K06204	sbn:Sbal195_0884
ko:K00405	sbn:Sbal195_2219
ko:K00406	sbn:Sbal195_2217
ko:K01610	sbn:Sbal195_0149
ko:K03581	sbn:Sbal195_0587
ko:K03092	sbn:Sbal195_0716
ko:K01159	sbn:Sbal195_2421
ko:K02028	sbn:Sbal195_0984
ko:K09936	sbn:Sbal195_2955
ko:K00963	sbn:Sbal195_1514
ko:K03073	sbn:Sbal195_0187
ko:K03814	sbn:Sbal195_0956
ko:K03587	sbn:Sbal195_0407
ko:K05365	sbn:Sbal195_3868
ko:K03303	sbn:Sbal195_1377
ko:K03974	sbn:Sbal195_1639
ko:K02569	sbn:Sbal195_1945
ko:K07042	sbn:Sbal195_3441
ko:K03406	sbn:Sbal195_3789
ko:K05922	sbn:Sbal195_1921
ko:K03449	sbn:Sbal195_1422
ko:K09922	sbn:Sbal195_3257
ko:K03046	sbn:Sbal195_0194
ko:K03110	sbn:Sbal195_4295
ko:K03969	sbn:Sbal195_1640
ko:K03973	sbn:Sbal195_1642
ko:K02835	sbn:Sbal195_3737
ko:K02909	sbn:Sbal195_0498
ko:K02622	sbn:Sbal195_0818
ko:K02621	sbn:Sbal195_0820
ko:K03469	sbn:Sbal195_2062
ko:K03470	sbn:Sbal195_1495
ko:K00351	sbn:Sbal195_3558
ko:K03168	sbn:Sbal195_2609
ko:K03169	sbn:Sbal195_2830
ko:K00350	sbn:Sbal195_3559
ko:K03424	sbn:Sbal195_2569
ko:K03685	sbn:Sbal195_1278
ko:K03595	sbn:Sbal195_1279
ko:K09747	sbn:Sbal195_2689
ko:K02907	sbn:Sbal195_0218
ko:K03076	sbn:Sbal195_0220
ko:K06195	sbn:Sbal195_1078
ko:K02994	sbn:Sbal195_0214
ko:K02895	sbn:Sbal195_0211
ko:K02933	sbn:Sbal195_0215
ko:K02406	sbn:Sbal195_3089
ko:K07101	sbn:Sbal195_3776
ko:K02110	sbn:Sbal195_4512
ko:K01956	sbn:Sbal195_3526
ko:K07461	sbn:Sbal195_0141
ko:K06177	sbn:Sbal195_3706
ko:K03186	sbn:Sbal195_3714
ko:K03569	sbn:Sbal195_0518
ko:K05592	sbn:Sbal195_0577
ko:K03183	sbn:Sbal195_0431
ko:K03641	sbn:Sbal195_1785
ko:K02405	sbn:Sbal195_3051
ko:K07089	sbn:Sbal195_4034
ko:K00901	sbn:Sbal195_1885
ko:K00549	sbn:Sbal195_3763
ko:K07090	sbn:Sbal195_1651
ko:K03835	sbn:Sbal195_4307
ko:K00404	sbn:Sbal195_2220
ko:K00425	sbn:Sbal195_3137
ko:K02837	sbn:Sbal195_3371
ko:K03496	sbn:Sbal195_4516
ko:K00525	sbn:Sbal195_2407
ko:K00325	sbn:Sbal195_0951
ko:K02258	sbn:Sbal195_4313
ko:K06076	sbn:Sbal195_0401
ko:K01892	sbn:Sbal195_3147
ko:K02945	sbn:Sbal195_2396
ko:K00648	sbn:Sbal195_1757
ko:K00604	sbn:Sbal195_0030
ko:K03500	sbn:Sbal195_0029
ko:K02421	sbn:Sbal195_3056
ko:K02401	sbn:Sbal195_3055
ko:K03413	sbn:Sbal195_3050
ko:K00820	sbn:Sbal195_4502
ko:K04562	sbn:Sbal195_3052
ko:K01845	sbn:Sbal195_1237
ko:K04754	sbn:Sbal195_3039
ko:K00246	sbn:Sbal195_4077
ko:K03808	sbn:Sbal195_2565
ko:K00790	sbn:Sbal195_0728
ko:K07090	sbn:Sbal195_2983
ko:K03502	sbn:Sbal195_4407
ko:K00648	sbn:Sbal195_2748
ko:K06968	sbn:Sbal195_1392
ko:K03760	sbn:Sbal195_2371
ko:K02238	sbn:Sbal195_1704
ko:K02160	sbn:Sbal195_3981
ko:K09811	sbn:Sbal195_4293
ko:K03624	sbn:Sbal195_3430
ko:K00991	sbn:Sbal195_3277
ko:K03536	sbn:Sbal195_4523
ko:K10679	sbn:Sbal195_0977
ko:K06189	sbn:Sbal195_3442
ko:K01056	sbn:Sbal195_3436
ko:K09895	sbn:Sbal195_3804
ko:K03040	sbn:Sbal195_0224
ko:K03545	sbn:Sbal195_1626
ko:K02437	sbn:Sbal195_3800
ko:K06206	sbn:Sbal195_0885
ko:K03531	sbn:Sbal195_0417
ko:K02112	sbn:Sbal195_4507
ko:K02876	sbn:Sbal195_0219
ko:K02890	sbn:Sbal195_0205
ko:K09859	sbn:Sbal195_3600
ko:K03070	sbn:Sbal195_0421
ko:K09710	sbn:Sbal195_3451
ko:K07447	sbn:Sbal195_3178
ko:K02297	sbn:Sbal195_4350
ko:K03787	sbn:Sbal195_3274
ko:K03701	sbn:Sbal195_0579
ko:K02341	sbn:Sbal195_2571
ko:K02342	sbn:Sbal195_2460
ko:K03572	sbn:Sbal195_3895
ko:K03573	sbn:Sbal195_1260
ko:K03582	sbn:Sbal195_2094
ko:K03581	sbn:Sbal195_2093
ko:K03702	sbn:Sbal195_2159
ko:K03703	sbn:Sbal195_2676
ko:K03657	sbn:Sbal195_4015
ko:K03555	sbn:Sbal195_3270
ko:K07568	sbn:Sbal195_2883
ko:K02931	sbn:Sbal195_0212
ko:K02988	sbn:Sbal195_0217
ko:K02276	sbn:Sbal195_4314
ko:K03502	sbn:Sbal195_2040
ko:K05801	sbn:Sbal195_1085
ko:K00411	sbn:Sbal195_3889
ko:K02952	sbn:Sbal195_0221
ko:K02948	sbn:Sbal195_0222
ko:K03629	sbn:Sbal195_0003
ko:K03655	sbn:Sbal195_0351
ko:K00123	sbn:Sbal195_3616
ko:K03584	sbn:Sbal195_1280
ko:K01704	sbn:Sbal195_0400
ko:K03550	sbn:Sbal195_2420
ko:K03551	sbn:Sbal195_2419
ko:K03666	sbn:Sbal195_3893
ko:K00526	sbn:Sbal195_2408
ko:K10805	sbn:Sbal195_2961
ko:K01893	sbn:Sbal195_1947
ko:K02313	sbn:Sbal195_0001
ko:K08282	sbn:Sbal195_3912
ko:K03409	sbn:Sbal195_0748
ko:K03498	sbn:Sbal195_0023
ko:K01419	sbn:Sbal195_0463
ko:K09458	sbn:Sbal195_1761
ko:K04069	sbn:Sbal195_2401
ko:K02111	sbn:Sbal195_4509
ko:K02113	sbn:Sbal195_4510
ko:K03781	sbn:Sbal195_0253
ko:K03617	sbn:Sbal195_2112
ko:K03658	sbn:Sbal195_4082
ko:K02030	sbn:Sbal195_3312
ko:K03613	sbn:Sbal195_2107
ko:K03769	sbn:Sbal195_3867
ko:K09903	sbn:Sbal195_1483
ko:K02380	sbn:Sbal195_0108
ko:K03561	sbn:Sbal195_4371
ko:K03734	sbn:Sbal195_3557
ko:K03563	sbn:Sbal195_3265
ko:K03612	sbn:Sbal195_2108
ko:K06223	sbn:Sbal195_4199
ko:K03645	sbn:Sbal195_2195
ko:K00558	sbn:Sbal195_0372
ko:K03980	sbn:Sbal195_1154
ko:K10125	sbn:Sbal195_2952
ko:K07726	sbn:Sbal195_0794
ko:K01915	sbn:Sbal195_0311
ko:K04654	sbn:Sbal195_1913
ko:K02551	sbn:Sbal195_4288
ko:K04651	sbn:Sbal195_1911
ko:K04652	sbn:Sbal195_1915
ko:K02806	sbn:Sbal195_0714
ko:K03586	sbn:Sbal195_0406
ko:K06916	sbn:Sbal195_0731
ko:K03609	sbn:Sbal195_1901
ko:K02115	sbn:Sbal195_4508
ko:K03224	sbn:Sbal195_2274
ko:K00432	sbn:Sbal195_1407
ko:K06213	sbn:Sbal195_1408
ko:K03500	sbn:Sbal195_1415
ko:K03219	sbn:Sbal195_2249
ko:K03220	sbn:Sbal195_2250
ko:K03221	sbn:Sbal195_2263
ko:K06886	sbn:Sbal195_0038
ko:K00014	sbn:Sbal195_0039
ko:K06940	sbn:Sbal195_0042
ko:K09798	sbn:Sbal195_0044
ko:K03797	sbn:Sbal195_0045
ko:K00057	sbn:Sbal195_0050
ko:K07007	sbn:Sbal195_0051
ko:K03499	sbn:Sbal195_0055
ko:K07667	sbn:Sbal195_0056
ko:K01920	sbn:Sbal195_0840
ko:K09761	sbn:Sbal195_0841
ko:K02742	sbn:Sbal195_0843
ko:K02355	sbn:Sbal195_0855
ko:K02568	sbn:Sbal195_0858
ko:K02567	sbn:Sbal195_0859
ko:K02003	sbn:Sbal195_0868
ko:K09980	sbn:Sbal195_0923
ko:K00134	sbn:Sbal195_2205
ko:K03796	sbn:Sbal195_2208
ko:K09792	sbn:Sbal195_2213
ko:K09926	sbn:Sbal195_2216
ko:K07306	sbn:Sbal195_2228
ko:K01993	sbn:Sbal195_0527
ko:K09889	sbn:Sbal195_0532
ko:K02014	sbn:Sbal195_0534
ko:K09890	sbn:Sbal195_0536
ko:K09807	sbn:Sbal195_0539
ko:K03150	sbn:Sbal195_2434
ko:K03149	sbn:Sbal195_2435
ko:K03154	sbn:Sbal195_2436
ko:K03147	sbn:Sbal195_2439
ko:K06969	sbn:Sbal195_2449
ko:K09707	sbn:Sbal195_2464
ko:K02784	sbn:Sbal195_2465
ko:K08483	sbn:Sbal195_2466
ko:K02777	sbn:Sbal195_2467
ko:K01439	sbn:Sbal195_2470
ko:K05808	sbn:Sbal195_0715
ko:K06861	sbn:Sbal195_0717
ko:K00957	sbn:Sbal195_0962
ko:K00860	sbn:Sbal195_0965
ko:K03790	sbn:Sbal195_0978
ko:K05786	sbn:Sbal195_0982
ko:K07262	sbn:Sbal195_0992
ko:K07300	sbn:Sbal195_0994
ko:K00548	sbn:Sbal195_1007
ko:K02013	sbn:Sbal195_1009
ko:K00761	sbn:Sbal195_1774
ko:K00757	sbn:Sbal195_0545
ko:K01923	sbn:Sbal195_0551
ko:K03764	sbn:Sbal195_0559
ko:K03614	sbn:Sbal195_2109
ko:K03585	sbn:Sbal195_4385
ko:K03072	sbn:Sbal195_2880
ko:K03098	sbn:Sbal195_1537
ko:K01993	sbn:Sbal195_1549
ko:K09941	sbn:Sbal195_1559
ko:K02037	sbn:Sbal195_1566
ko:K02038	sbn:Sbal195_1567
ko:K02036	sbn:Sbal195_1568
ko:K02039	sbn:Sbal195_1569
ko:K02168	sbn:Sbal195_1576
ko:K03305	sbn:Sbal195_1585
ko:K06996	sbn:Sbal195_1591
ko:K03310	sbn:Sbal195_0869
ko:K07814	sbn:Sbal195_0871
ko:K06980	sbn:Sbal195_0872
ko:K08984	sbn:Sbal195_0874
ko:K01918	sbn:Sbal195_0879
ko:K00606	sbn:Sbal195_0880
ko:K00950	sbn:Sbal195_0881
ko:K07751	sbn:Sbal195_0886
ko:K00855	sbn:Sbal195_0888
ko:K07019	sbn:Sbal195_0890
ko:K03559	sbn:Sbal195_1665
ko:K03832	sbn:Sbal195_1666
ko:K03546	sbn:Sbal195_1677
ko:K07043	sbn:Sbal195_1680
ko:K03181	sbn:Sbal195_0130
ko:K06970	sbn:Sbal195_0132
ko:K09712	sbn:Sbal195_0133
ko:K03750	sbn:Sbal195_0136
ko:K01354	sbn:Sbal195_0140
ko:K04083	sbn:Sbal195_0150
ko:K04762	sbn:Sbal195_0151
ko:K08312	sbn:Sbal195_0171
ko:K06917	sbn:Sbal195_0176
ko:K01008	sbn:Sbal195_0177
ko:K00507	sbn:Sbal195_0178
ko:K02015	sbn:Sbal195_1010
ko:K00768	sbn:Sbal195_1011
ko:K02233	sbn:Sbal195_1012
ko:K02231	sbn:Sbal195_1013
ko:K02232	sbn:Sbal195_1014
ko:K00135	sbn:Sbal195_1018
ko:K00005	sbn:Sbal195_1019
ko:K00375	sbn:Sbal195_1023
ko:K01465	sbn:Sbal195_1028
ko:K02003	sbn:Sbal195_1031
ko:K00537	sbn:Sbal195_2469
ko:K03499	sbn:Sbal195_0028
ko:K01462	sbn:Sbal195_0031
ko:K04096	sbn:Sbal195_0033
ko:K03747	sbn:Sbal195_0034
ko:K07479	sbn:Sbal195_0035
ko:K07566	sbn:Sbal195_0036
ko:K00245	sbn:Sbal195_0641
ko:K00246	sbn:Sbal195_0643
ko:K06193	sbn:Sbal195_1421
ko:K06987	sbn:Sbal195_1424
ko:K07001	sbn:Sbal195_1683
ko:K07119	sbn:Sbal195_1684
ko:K04068	sbn:Sbal195_1688
ko:K07234	sbn:Sbal195_1702
ko:K09928	sbn:Sbal195_1703
ko:K00912	sbn:Sbal195_1706
ko:K09791	sbn:Sbal195_1707
ko:K06911	sbn:Sbal195_0058
ko:K00690	sbn:Sbal195_0066
ko:K00847	sbn:Sbal195_0069
ko:K03831	sbn:Sbal195_0070
ko:K06894	sbn:Sbal195_0071
ko:K07107	sbn:Sbal195_0082
ko:K07154	sbn:Sbal195_0678
ko:K00230	sbn:Sbal195_0026
ko:K02498	sbn:Sbal195_4097
ko:K03408	sbn:Sbal195_3044
ko:K03407	sbn:Sbal195_3048
ko:K03414	sbn:Sbal195_3049
ko:K02419	sbn:Sbal195_3058
ko:K02416	sbn:Sbal195_3061
ko:K02413	sbn:Sbal195_3064
ko:K02408	sbn:Sbal195_3069
ko:K02406	sbn:Sbal195_3088
ko:K00134	sbn:Sbal195_3956
ko:K07089	sbn:Sbal195_3958
ko:K11211	sbn:Sbal195_4477
ko:K03579	sbn:Sbal195_3869
ko:K01975	sbn:Sbal195_3871
ko:K06447	sbn:Sbal195_3878
ko:K00673	sbn:Sbal195_3879
ko:K03600	sbn:Sbal195_3885
ko:K03599	sbn:Sbal195_3886
ko:K00413	sbn:Sbal195_3887
ko:K00412	sbn:Sbal195_3888
ko:K00791	sbn:Sbal195_3894
ko:K01968	sbn:Sbal195_2976
ko:K01640	sbn:Sbal195_2977
ko:K00857	sbn:Sbal195_2990
ko:K01284	sbn:Sbal195_2992
ko:K03522	sbn:Sbal195_2994
ko:K03406	sbn:Sbal195_1117
ko:K00033	sbn:Sbal195_2969
ko:K03521	sbn:Sbal195_2995
ko:K06080	sbn:Sbal195_2999
ko:K01881	sbn:Sbal195_3002
ko:K00606	sbn:Sbal195_3004
ko:K07001	sbn:Sbal195_3005
ko:K01790	sbn:Sbal195_3011
ko:K00973	sbn:Sbal195_3012
ko:K09975	sbn:Sbal195_3016
ko:K03431	sbn:Sbal195_3018
ko:K00012	sbn:Sbal195_3019
ko:K00973	sbn:Sbal195_3029
ko:K06925	sbn:Sbal195_3897
ko:K06949	sbn:Sbal195_3901
ko:K01613	sbn:Sbal195_3902
ko:K01126	sbn:Sbal195_3905
ko:K06941	sbn:Sbal195_3151
ko:K02193	sbn:Sbal195_0231
ko:K03117	sbn:Sbal195_0427
ko:K03116	sbn:Sbal195_0428
ko:K02887	sbn:Sbal195_2327
ko:K03667	sbn:Sbal195_0462
ko:K03610	sbn:Sbal195_1902
ko:K03615	sbn:Sbal195_2110
ko:K07034	sbn:Sbal195_1108
ko:K01879	sbn:Sbal195_0012
ko:K01091	sbn:Sbal195_4194
ko:K03169	sbn:Sbal195_4716
ko:K04773	sbn:Sbal195_2411
ko:K09916	sbn:Sbal195_2413
ko:K05539	sbn:Sbal195_0806
ko:K09920	sbn:Sbal195_0815
ko:K03651	sbn:Sbal195_0816
ko:K07000	sbn:Sbal195_0817
ko:K11107	sbn:Sbal195_2409
ko:K00688	sbn:Sbal195_1359
ko:K00975	sbn:Sbal195_1360
ko:K00858	sbn:Sbal195_1378
ko:K03687	sbn:Sbal195_1379
ko:K01662	sbn:Sbal195_1382
ko:K00795	sbn:Sbal195_1383
ko:K02556	sbn:Sbal195_1385
ko:K02557	sbn:Sbal195_1386
ko:K03151	sbn:Sbal195_1387
ko:K07020	sbn:Sbal195_1390
ko:K06966	sbn:Sbal195_1397
ko:K02018	sbn:Sbal195_0829
ko:K02020	sbn:Sbal195_0830
ko:K02019	sbn:Sbal195_0831
ko:K09749	sbn:Sbal195_0837
ko:K00865	sbn:Sbal195_1604
ko:K02647	sbn:Sbal195_1607
ko:K04758	sbn:Sbal195_1617
ko:K04759	sbn:Sbal195_1618
ko:K01886	sbn:Sbal195_1619
ko:K06169	sbn:Sbal195_1621
ko:K03269	sbn:Sbal195_1622
ko:K03544	sbn:Sbal195_1628
ko:K01338	sbn:Sbal195_1629
ko:K03770	sbn:Sbal195_1631
ko:K03225	sbn:Sbal195_2277
ko:K01887	sbn:Sbal195_0495
ko:K06287	sbn:Sbal195_0521
ko:K08301	sbn:Sbal195_0522
ko:K03568	sbn:Sbal195_0525
ko:K03720	sbn:Sbal195_1301
ko:K03775	sbn:Sbal195_1303
ko:K00872	sbn:Sbal195_1305
ko:K01733	sbn:Sbal195_1306
ko:K04078	sbn:Sbal195_0671
ko:K05776	sbn:Sbal195_0684
ko:K07178	sbn:Sbal195_0707
ko:K06213	sbn:Sbal195_0711
ko:K00990	sbn:Sbal195_1479
ko:K01265	sbn:Sbal195_1480
ko:K02967	sbn:Sbal195_1481
ko:K02357	sbn:Sbal195_1482
ko:K02838	sbn:Sbal195_1484
ko:K00806	sbn:Sbal195_1485
ko:K00981	sbn:Sbal195_1486
ko:K00099	sbn:Sbal195_1487
ko:K07277	sbn:Sbal195_1489
ko:K06178	sbn:Sbal195_2796
ko:K06377	sbn:Sbal195_1458
ko:K01433	sbn:Sbal195_1476
ko:K07236	sbn:Sbal195_2315
ko:K07237	sbn:Sbal195_2316
ko:K11179	sbn:Sbal195_2317
ko:K01875	sbn:Sbal195_2319
ko:K06199	sbn:Sbal195_2320
ko:K07478	sbn:Sbal195_2321
ko:K03634	sbn:Sbal195_2322
ko:K06975	sbn:Sbal195_0085
ko:K07107	sbn:Sbal195_0086
ko:K01126	sbn:Sbal195_0095
ko:K07734	sbn:Sbal195_0096
ko:K01468	sbn:Sbal195_0100
ko:K05836	sbn:Sbal195_0101
ko:K01712	sbn:Sbal195_0102
ko:K01745	sbn:Sbal195_0103
ko:K00123	sbn:Sbal195_0104
ko:K01042	sbn:Sbal195_0109
ko:K03833	sbn:Sbal195_0110
ko:K02379	sbn:Sbal195_0111
ko:K07112	sbn:Sbal195_0112
ko:K06158	sbn:Sbal195_0899
ko:K07070	sbn:Sbal195_0900
ko:K06911	sbn:Sbal195_0902
ko:K05591	sbn:Sbal195_0903
ko:K03226	sbn:Sbal195_2278
ko:K03592	sbn:Sbal195_0533
ko:K03442	sbn:Sbal195_0484
ko:K01581	sbn:Sbal195_0486
ko:K09794	sbn:Sbal195_0487
ko:K09858	sbn:Sbal195_2167
ko:K01283	sbn:Sbal195_2170
ko:K00873	sbn:Sbal195_2173
ko:K00036	sbn:Sbal195_2175
ko:K01057	sbn:Sbal195_2176
ko:K01690	sbn:Sbal195_2177
ko:K01129	sbn:Sbal195_2184
ko:K10680	sbn:Sbal195_0473
ko:K00384	sbn:Sbal195_2326
ko:K02916	sbn:Sbal195_2328
ko:K02520	sbn:Sbal195_2329
ko:K01868	sbn:Sbal195_2330
ko:K03327	sbn:Sbal195_2334
ko:K01387	sbn:Sbal195_0657
ko:K00849	sbn:Sbal195_0661
ko:K04084	sbn:Sbal195_0663
ko:K03926	sbn:Sbal195_0664
ko:K07113	sbn:Sbal195_0665
ko:K07184	sbn:Sbal195_0915
ko:K03306	sbn:Sbal195_0916
ko:K07220	sbn:Sbal195_0917
ko:K00797	sbn:Sbal195_0924
ko:K00982	sbn:Sbal195_0927
ko:K07086	sbn:Sbal195_0929
ko:K06916	sbn:Sbal195_0932
ko:K07795	sbn:Sbal195_0935
ko:K02517	sbn:Sbal195_0945
ko:K06996	sbn:Sbal195_1712
ko:K06996	sbn:Sbal195_1714
ko:K01489	sbn:Sbal195_1716
ko:K01141	sbn:Sbal195_1717
ko:K07323	sbn:Sbal195_0725
ko:K02996	sbn:Sbal195_0733
ko:K09937	sbn:Sbal195_0734
ko:K01939	sbn:Sbal195_0735
ko:K03218	sbn:Sbal195_0738
ko:K07283	sbn:Sbal195_0740
ko:K02990	sbn:Sbal195_0741
ko:K02963	sbn:Sbal195_0743
ko:K01775	sbn:Sbal195_0747
ko:K07336	sbn:Sbal195_0750
ko:K07084	sbn:Sbal195_1776
ko:K03683	sbn:Sbal195_1778
ko:K07107	sbn:Sbal195_1781
ko:K03562	sbn:Sbal195_1782
ko:K03560	sbn:Sbal195_1783
ko:K03674	sbn:Sbal195_1789
ko:K01012	sbn:Sbal195_1795
ko:K02169	sbn:Sbal195_1797
ko:K01935	sbn:Sbal195_1798
ko:K09915	sbn:Sbal195_1802
ko:K00243	sbn:Sbal195_1803
ko:K01611	sbn:Sbal195_1806
ko:K00275	sbn:Sbal195_1807
ko:K09768	sbn:Sbal195_1808
ko:K03611	sbn:Sbal195_1813
ko:K03314	sbn:Sbal195_1814
ko:K03603	sbn:Sbal195_1815
ko:K09786	sbn:Sbal195_1817
ko:K03413	sbn:Sbal195_2365
ko:K03413	sbn:Sbal195_3942
ko:K07180	sbn:Sbal195_1818
ko:K07390	sbn:Sbal195_1820
ko:K09938	sbn:Sbal195_1822
ko:K00563	sbn:Sbal195_1747
ko:K03704	sbn:Sbal195_1748
ko:K08300	sbn:Sbal195_1750
ko:K06179	sbn:Sbal195_1751
ko:K07040	sbn:Sbal195_1754
ko:K03621	sbn:Sbal195_1756
ko:K00645	sbn:Sbal195_1758
ko:K02078	sbn:Sbal195_1760
ko:K02014	sbn:Sbal195_1767
ko:K11175	sbn:Sbal195_1772
ko:K01933	sbn:Sbal195_1773
ko:K01776	sbn:Sbal195_0181
ko:K00075	sbn:Sbal195_0183
ko:K03664	sbn:Sbal195_1334
ko:K09801	sbn:Sbal195_1336
ko:K06186	sbn:Sbal195_1337
ko:K03455	sbn:Sbal195_1341
ko:K01638	sbn:Sbal195_1343
ko:K01637	sbn:Sbal195_1344
ko:K02167	sbn:Sbal195_1349
ko:K00705	sbn:Sbal195_1356
ko:K00700	sbn:Sbal195_1357
ko:K01915	sbn:Sbal195_2188
ko:K03839	sbn:Sbal195_2191
ko:K05526	sbn:Sbal195_2198
ko:K03517	sbn:Sbal195_2202
ko:K00134	sbn:Sbal195_2203
ko:K06142	sbn:Sbal195_1490
ko:K02536	sbn:Sbal195_1491
ko:K00677	sbn:Sbal195_1493
ko:K03455	sbn:Sbal195_1499
ko:K03704	sbn:Sbal195_1500
ko:K00067	sbn:Sbal195_1504
ko:K00847	sbn:Sbal195_1506
ko:K02572	sbn:Sbal195_1512
ko:K00500	sbn:Sbal195_1515
ko:K01724	sbn:Sbal195_1516
