ko:K00086	ecln:ECNIH4_18110
ko:K14229	ecln:ECNIH4_15960
ko:K14232	ecln:ECNIH4_07440
ko:K14218	ecln:ECNIH4_06780
ko:K14218	ecln:ECNIH4_06785
ko:K15125	ecln:ECNIH4_22455
ko:K07560	ecln:ECNIH4_22470
ko:K07058	ecln:ECNIH4_22475
ko:K18478	ecln:ECNIH4_22490
ko:K08318	ecln:ECNIH4_22495
ko:K01671	ecln:ECNIH4_22500
ko:K18479	ecln:ECNIH4_22505
ko:K15922	ecln:ECNIH4_22510
ko:K03292	ecln:ECNIH4_22515
ko:K03292	ecln:ECNIH4_22520
ko:K06207	ecln:ECNIH4_22530
ko:K01915	ecln:ECNIH4_22535
ko:K07708	ecln:ECNIH4_22540
ko:K07712	ecln:ECNIH4_22545
ko:K09894	ecln:ECNIH4_22560
ko:K03978	ecln:ECNIH4_22565
ko:K03673	ecln:ECNIH4_22595
ko:K00068	ecln:ECNIH4_05205
ko:K02560	ecln:ECNIH4_09300
ko:K00873	ecln:ECNIH4_09305
ko:K00036	ecln:ECNIH4_09315
ko:K01690	ecln:ECNIH4_09320
ko:K01625	ecln:ECNIH4_09325
ko:K08289	ecln:ECNIH4_09330
ko:K01354	ecln:ECNIH4_09340
ko:K10857	ecln:ECNIH4_09345
ko:K07156	ecln:ECNIH4_09360
ko:K07245	ecln:ECNIH4_09365
ko:K09824	ecln:ECNIH4_09375
ko:K11392	ecln:ECNIH4_09390
ko:K03808	ecln:ECNIH4_09400
ko:K03607	ecln:ECNIH4_09410
ko:K03797	ecln:ECNIH4_09415
ko:K03799	ecln:ECNIH4_09420
ko:K08169	ecln:ECNIH4_09425
ko:K03704	ecln:ECNIH4_09465
ko:K03587	ecln:ECNIH4_09470
ko:K00563	ecln:ECNIH4_09475
ko:K02795	ecln:ECNIH4_09495
ko:K02793	ecln:ECNIH4_09500
ko:K02794	ecln:ECNIH4_09500
ko:K01752	ecln:ECNIH4_09515
ko:K01665	ecln:ECNIH4_09525
ko:K09917	ecln:ECNIH4_09530
ko:K07285	ecln:ECNIH4_09550
ko:K01897	ecln:ECNIH4_09555
ko:K03684	ecln:ECNIH4_09560
ko:K03608	ecln:ECNIH4_09565
ko:K08320	ecln:ECNIH4_13690
ko:K00262	ecln:ECNIH4_13700
ko:K01008	ecln:ECNIH4_13710
ko:K04773	ecln:ECNIH4_13720
ko:K01424	ecln:ECNIH4_13725
ko:K08281	ecln:ECNIH4_13730
ko:K01183	ecln:ECNIH4_13735
ko:K09916	ecln:ECNIH4_13740
ko:K07305	ecln:ECNIH4_13745
ko:K00134	ecln:ECNIH4_13750
ko:K01792	ecln:ECNIH4_13755
ko:K07180	ecln:ECNIH4_13765
ko:K09786	ecln:ECNIH4_13770
ko:K03449	ecln:ECNIH4_13790
ko:K09712	ecln:ECNIH4_13810
ko:K13069	ecln:ECNIH4_13815
ko:K08987	ecln:ECNIH4_13845
ko:K00031	ecln:ECNIH4_13850
ko:K06181	ecln:ECNIH4_13855
ko:K12152	ecln:ECNIH4_13860
ko:K00566	ecln:ECNIH4_13865
ko:K07153	ecln:ECNIH4_13870
ko:K01756	ecln:ECNIH4_13875
ko:K07660	ecln:ECNIH4_13880
ko:K07637	ecln:ECNIH4_13885
ko:K07491	ecln:ECNIH4_13895
ko:K01258	ecln:ECNIH4_13900
ko:K11072	ecln:ECNIH4_13910
ko:K11071	ecln:ECNIH4_13915
ko:K11070	ecln:ECNIH4_13920
ko:K11069	ecln:ECNIH4_13925
ko:K03406	ecln:ECNIH4_13935
ko:K12410	ecln:ECNIH4_13940
ko:K00884	ecln:ECNIH4_13945
ko:K09808	ecln:ECNIH4_13950
ko:K02034	ecln:ECNIH4_11430
ko:K02033	ecln:ECNIH4_11435
ko:K02035	ecln:ECNIH4_11440
ko:K08641	ecln:ECNIH4_11445
ko:K00847	ecln:ECNIH4_11465
ko:K16077	ecln:ECNIH4_11470
ko:K02809	ecln:ECNIH4_11475
ko:K02810	ecln:ECNIH4_11475
ko:K01193	ecln:ECNIH4_11480
ko:K03484	ecln:ECNIH4_11485
ko:K05876	ecln:ECNIH4_11490
ko:K08344	ecln:ECNIH4_11510
ko:K01223	ecln:ECNIH4_15570
ko:K03446	ecln:ECNIH4_15585
ko:K03543	ecln:ECNIH4_15590
ko:K11924	ecln:ECNIH4_15600
ko:K11934	ecln:ECNIH4_15615
ko:K11939	ecln:ECNIH4_15620
ko:K04047	ecln:ECNIH4_15625
ko:K10036	ecln:ECNIH4_15630
ko:K10037	ecln:ECNIH4_15635
ko:K10038	ecln:ECNIH4_15640
ko:K06970	ecln:ECNIH4_15650
ko:K13650	ecln:ECNIH4_15660
ko:K07345	ecln:ECNIH4_15680
ko:K07347	ecln:ECNIH4_15690
ko:K07349	ecln:ECNIH4_15700
ko:K11927	ecln:ECNIH4_15710
ko:K01993	ecln:ECNIH4_15720
ko:K07027	ecln:ECNIH4_15755
ko:K06890	ecln:ECNIH4_15760
ko:K03635	ecln:ECNIH4_15765
ko:K03636	ecln:ECNIH4_15770
ko:K03637	ecln:ECNIH4_15775
ko:K03638	ecln:ECNIH4_15780
ko:K03639	ecln:ECNIH4_15785
ko:K03702	ecln:ECNIH4_15795
ko:K01935	ecln:ECNIH4_15805
ko:K02169	ecln:ECNIH4_15810
ko:K00652	ecln:ECNIH4_15815
ko:K01012	ecln:ECNIH4_15820
ko:K00833	ecln:ECNIH4_15825
ko:K06910	ecln:ECNIH4_15830
ko:K02004	ecln:ECNIH4_17245
ko:K02003	ecln:ECNIH4_17250
ko:K10804	ecln:ECNIH4_17255
ko:K05838	ecln:ECNIH4_17265
ko:K02069	ecln:ECNIH4_17270
ko:K02068	ecln:ECNIH4_17275
ko:K07340	ecln:ECNIH4_17285
ko:K17686	ecln:ECNIH4_17295
ko:K09973	ecln:ECNIH4_17300
ko:K11751	ecln:ECNIH4_17310
ko:K08223	ecln:ECNIH4_17315
ko:K03455	ecln:ECNIH4_17320
ko:K00892	ecln:ECNIH4_17325
ko:K01772	ecln:ECNIH4_17330
ko:K00939	ecln:ECNIH4_17335
ko:K04079	ecln:ECNIH4_17340
ko:K06187	ecln:ECNIH4_17345
ko:K09747	ecln:ECNIH4_17350
ko:K02343	ecln:ECNIH4_17355
ko:K00759	ecln:ECNIH4_17360
ko:K09790	ecln:ECNIH4_17365
ko:K04067	ecln:ECNIH4_17370
ko:K05802	ecln:ECNIH4_17380
ko:K03577	ecln:ECNIH4_17385
ko:K03585	ecln:ECNIH4_17390
ko:K18138	ecln:ECNIH4_17395
ko:K00661	ecln:ECNIH4_17410
ko:K00375	ecln:ECNIH4_17420
ko:K02919	ecln:ECNIH4_17430
ko:K02909	ecln:ECNIH4_17435
ko:K01190	ecln:ECNIH4_17445
ko:K07443	ecln:ECNIH4_17475
ko:K09914	ecln:ECNIH4_17480
ko:K10805	ecln:ECNIH4_17485
ko:K03320	ecln:ECNIH4_17490
ko:K04752	ecln:ECNIH4_17495
ko:K05800	ecln:ECNIH4_17510
ko:K15633	ecln:ECNIH4_00825
ko:K03071	ecln:ECNIH4_00840
ko:K00057	ecln:ECNIH4_00845
ko:K00640	ecln:ECNIH4_00850
ko:K03216	ecln:ECNIH4_00855
ko:K08195	ecln:ECNIH4_00860
ko:K00101	ecln:ECNIH4_00865
ko:K14348	ecln:ECNIH4_00870
ko:K00427	ecln:ECNIH4_00875
ko:K14762	ecln:ECNIH4_00880
ko:K02562	ecln:ECNIH4_00885
ko:K00009	ecln:ECNIH4_00890
ko:K02798	ecln:ECNIH4_00895
ko:K02799	ecln:ECNIH4_00895
ko:K02800	ecln:ECNIH4_00895
ko:K01042	ecln:ECNIH4_00915
ko:K03833	ecln:ECNIH4_00920
ko:K00138	ecln:ECNIH4_00925
ko:K09955	ecln:ECNIH4_00940
ko:K00835	ecln:ECNIH4_00955
ko:K01176	ecln:ECNIH4_00960
ko:K03796	ecln:ECNIH4_00965
ko:K02529	ecln:ECNIH4_00970
ko:K10544	ecln:ECNIH4_00975
ko:K10545	ecln:ECNIH4_00980
ko:K10543	ecln:ECNIH4_00985
ko:K01805	ecln:ECNIH4_00995
ko:K00854	ecln:ECNIH4_01000
ko:K01878	ecln:ECNIH4_01015
ko:K01879	ecln:ECNIH4_01020
ko:K07726	ecln:ECNIH4_01030
ko:K03704	ecln:ECNIH4_01040
ko:K00090	ecln:ECNIH4_01045
ko:K00874	ecln:ECNIH4_01055
ko:K03531	ecln:ECNIH4_19115
ko:K03590	ecln:ECNIH4_19120
ko:K03589	ecln:ECNIH4_19125
ko:K01921	ecln:ECNIH4_19130
ko:K01924	ecln:ECNIH4_19135
ko:K02563	ecln:ECNIH4_19140
ko:K03588	ecln:ECNIH4_19145
ko:K01925	ecln:ECNIH4_19150
ko:K01000	ecln:ECNIH4_19155
ko:K01929	ecln:ECNIH4_19160
ko:K01928	ecln:ECNIH4_19165
ko:K03587	ecln:ECNIH4_19170
ko:K03586	ecln:ECNIH4_19175
ko:K03438	ecln:ECNIH4_19180
ko:K03925	ecln:ECNIH4_19185
ko:K03435	ecln:ECNIH4_19190
ko:K01653	ecln:ECNIH4_19195
ko:K01652	ecln:ECNIH4_19200
ko:K05798	ecln:ECNIH4_19205
ko:K01649	ecln:ECNIH4_19210
ko:K00052	ecln:ECNIH4_19215
ko:K01703	ecln:ECNIH4_19220
ko:K01704	ecln:ECNIH4_19225
ko:K03291	ecln:ECNIH4_19235
ko:K11925	ecln:ECNIH4_19245
ko:K02064	ecln:ECNIH4_19250
ko:K02063	ecln:ECNIH4_19255
ko:K02062	ecln:ECNIH4_19260
ko:K02099	ecln:ECNIH4_19295
ko:K00853	ecln:ECNIH4_19300
ko:K01804	ecln:ECNIH4_19305
ko:K02336	ecln:ECNIH4_19315
ko:K03580	ecln:ECNIH4_19320
ko:K06177	ecln:ECNIH4_19325
ko:K05801	ecln:ECNIH4_19330
ko:K04744	ecln:ECNIH4_19335
ko:K03771	ecln:ECNIH4_19340
ko:K00097	ecln:ECNIH4_19345
ko:K02528	ecln:ECNIH4_19350
ko:K06195	ecln:ECNIH4_19355
ko:K01525	ecln:ECNIH4_19360
ko:K03599	ecln:ECNIH4_02775
ko:K03600	ecln:ECNIH4_02780
ko:K00266	ecln:ECNIH4_02805
ko:K00265	ecln:ECNIH4_02810
ko:K07139	ecln:ECNIH4_02815
ko:K06915	ecln:ECNIH4_02820
ko:K12957	ecln:ECNIH4_02830
ko:K03828	ecln:ECNIH4_02835
ko:K01873	ecln:ECNIH4_02840
ko:K02339	ecln:ECNIH4_02845
ko:K01255	ecln:ECNIH4_02850
ko:K07091	ecln:ECNIH4_02855
ko:K11720	ecln:ECNIH4_02860
ko:K07648	ecln:ECNIH4_02865
ko:K03814	ecln:ECNIH4_02875
ko:K08485	ecln:ECNIH4_02880
ko:K06958	ecln:ECNIH4_02885
ko:K02806	ecln:ECNIH4_02890
ko:K05808	ecln:ECNIH4_02895
ko:K03092	ecln:ECNIH4_02900
ko:K06861	ecln:ECNIH4_02905
ko:K09774	ecln:ECNIH4_02910
ko:K11719	ecln:ECNIH4_02915
ko:K03270	ecln:ECNIH4_02920
ko:K06041	ecln:ECNIH4_02925
ko:K07301	ecln:ECNIH4_02930
ko:K02065	ecln:ECNIH4_02935
ko:K02066	ecln:ECNIH4_02940
ko:K02067	ecln:ECNIH4_02945
ko:K07323	ecln:ECNIH4_02950
ko:K07122	ecln:ECNIH4_02955
ko:K00790	ecln:ECNIH4_02965
ko:K18850	ecln:ECNIH4_20020
ko:K02525	ecln:ECNIH4_01065
ko:K08351	ecln:ECNIH4_01075
ko:K03826	ecln:ECNIH4_01080
ko:K01246	ecln:ECNIH4_01085
ko:K08177	ecln:ECNIH4_01095
ko:K02781	ecln:ECNIH4_05210
ko:K02782	ecln:ECNIH4_05215
ko:K02783	ecln:ECNIH4_05215
ko:K02783	ecln:ECNIH4_05220
ko:K08305	ecln:ECNIH4_05225
ko:K02074	ecln:ECNIH4_05230
ko:K02075	ecln:ECNIH4_05235
ko:K02077	ecln:ECNIH4_05240
ko:K03743	ecln:ECNIH4_05245
ko:K03565	ecln:ECNIH4_05255
ko:K01872	ecln:ECNIH4_05260
ko:K03563	ecln:ECNIH4_05265
ko:K01919	ecln:ECNIH4_05305
ko:K07173	ecln:ECNIH4_05310
ko:K01649	ecln:ECNIH4_05320
ko:K03446	ecln:ECNIH4_05325
ko:K03543	ecln:ECNIH4_05330
ko:K15974	ecln:ECNIH4_05335
ko:K02002	ecln:ECNIH4_05345
ko:K02001	ecln:ECNIH4_05350
ko:K02000	ecln:ECNIH4_05355
ko:K03647	ecln:ECNIH4_05370
ko:K06901	ecln:ECNIH4_05440
ko:K00926	ecln:ECNIH4_05445
ko:K03609	ecln:ECNIH4_09570
ko:K03610	ecln:ECNIH4_09575
ko:K09902	ecln:ECNIH4_09580
ko:K09160	ecln:ECNIH4_09590
ko:K03611	ecln:ECNIH4_09595
ko:K03314	ecln:ECNIH4_09600
ko:K00285	ecln:ECNIH4_09620
ko:K01775	ecln:ECNIH4_09625
ko:K11105	ecln:ECNIH4_09630
ko:K01297	ecln:ECNIH4_09635
ko:K08308	ecln:ECNIH4_09640
ko:K02014	ecln:ECNIH4_09655
ko:K01194	ecln:ECNIH4_09660
ko:K00134	ecln:ECNIH4_09680
ko:K11906	ecln:ECNIH4_09740
ko:K11893	ecln:ECNIH4_09745
ko:K11892	ecln:ECNIH4_09750
ko:K11891	ecln:ECNIH4_09755
ko:K11890	ecln:ECNIH4_09760
ko:K11902	ecln:ECNIH4_09765
ko:K11901	ecln:ECNIH4_09770
ko:K11900	ecln:ECNIH4_09775
ko:K11903	ecln:ECNIH4_09790
ko:K07169	ecln:ECNIH4_09805
ko:K11898	ecln:ECNIH4_09820
ko:K11897	ecln:ECNIH4_09825
ko:K11896	ecln:ECNIH4_09830
ko:K11895	ecln:ECNIH4_09835
ko:K11907	ecln:ECNIH4_09840
ko:K09810	ecln:ECNIH4_13955
ko:K09808	ecln:ECNIH4_13960
ko:K03723	ecln:ECNIH4_13970
ko:K12151	ecln:ECNIH4_13980
ko:K03885	ecln:ECNIH4_13995
ko:K07000	ecln:ECNIH4_14000
ko:K01207	ecln:ECNIH4_14005
ko:K07251	ecln:ECNIH4_14010
ko:K07337	ecln:ECNIH4_14015
ko:K02503	ecln:ECNIH4_14025
ko:K16088	ecln:ECNIH4_14030
ko:K02778	ecln:ECNIH4_14035
ko:K02779	ecln:ECNIH4_14035
ko:K03424	ecln:ECNIH4_14040
ko:K02341	ecln:ECNIH4_14045
ko:K00943	ecln:ECNIH4_14050
ko:K07082	ecln:ECNIH4_14055
ko:K02619	ecln:ECNIH4_14060
ko:K07345	ecln:ECNIH4_14065
ko:K07347	ecln:ECNIH4_14075
ko:K07349	ecln:ECNIH4_14085
ko:K07349	ecln:ECNIH4_14090
ko:K09458	ecln:ECNIH4_14095
ko:K02078	ecln:ECNIH4_14100
ko:K00059	ecln:ECNIH4_14105
ko:K00645	ecln:ECNIH4_14110
ko:K00648	ecln:ECNIH4_14115
ko:K03621	ecln:ECNIH4_14120
ko:K02911	ecln:ECNIH4_14125
ko:K07040	ecln:ECNIH4_14130
ko:K06179	ecln:ECNIH4_14140
ko:K08300	ecln:ECNIH4_14145
ko:K02397	ecln:ECNIH4_14160
ko:K02396	ecln:ECNIH4_14165
ko:K02395	ecln:ECNIH4_14170
ko:K02394	ecln:ECNIH4_14175
ko:K02393	ecln:ECNIH4_14180
ko:K02392	ecln:ECNIH4_14185
ko:K02391	ecln:ECNIH4_14190
ko:K02390	ecln:ECNIH4_14195
ko:K02389	ecln:ECNIH4_14200
ko:K02388	ecln:ECNIH4_14205
ko:K02387	ecln:ECNIH4_14210
ko:K02523	ecln:ECNIH4_02975
ko:K02888	ecln:ECNIH4_02980
ko:K02899	ecln:ECNIH4_02985
ko:K03979	ecln:ECNIH4_02995
ko:K07643	ecln:ECNIH4_03000
ko:K07771	ecln:ECNIH4_03005
ko:K07259	ecln:ECNIH4_03010
ko:K03624	ecln:ECNIH4_03015
ko:K07574	ecln:ECNIH4_03020
ko:K02427	ecln:ECNIH4_03025
ko:K13788	ecln:ECNIH4_07125
ko:K00925	ecln:ECNIH4_07130
ko:K09899	ecln:ECNIH4_07135
ko:K09161	ecln:ECNIH4_07140
ko:K14260	ecln:ECNIH4_07160
ko:K00330	ecln:ECNIH4_07170
ko:K00331	ecln:ECNIH4_07175
ko:K13378	ecln:ECNIH4_07180
ko:K00334	ecln:ECNIH4_07185
ko:K00337	ecln:ECNIH4_07200
ko:K00338	ecln:ECNIH4_07205
ko:K00339	ecln:ECNIH4_07210
ko:K00340	ecln:ECNIH4_07215
ko:K00341	ecln:ECNIH4_07220
ko:K00342	ecln:ECNIH4_07225
ko:K00343	ecln:ECNIH4_07230
ko:K03415	ecln:ECNIH4_07235
ko:K00784	ecln:ECNIH4_07240
ko:K02348	ecln:ECNIH4_07245
ko:K05594	ecln:ECNIH4_07250
ko:K02552	ecln:ECNIH4_07255
ko:K02551	ecln:ECNIH4_07260
ko:K08680	ecln:ECNIH4_07265
ko:K01661	ecln:ECNIH4_07270
ko:K02549	ecln:ECNIH4_07275
ko:K01911	ecln:ECNIH4_07280
ko:K07793	ecln:ECNIH4_07285
ko:K07794	ecln:ECNIH4_07290
ko:K07795	ecln:ECNIH4_07295
ko:K07774	ecln:ECNIH4_07300
ko:K07649	ecln:ECNIH4_07305
ko:K00113	ecln:ECNIH4_07320
ko:K00112	ecln:ECNIH4_07325
ko:K00111	ecln:ECNIH4_07330
ko:K02445	ecln:ECNIH4_07340
ko:K01126	ecln:ECNIH4_07345
ko:K11107	ecln:ECNIH4_07350
ko:K00568	ecln:ECNIH4_07365
ko:K02469	ecln:ECNIH4_07370
ko:K07677	ecln:ECNIH4_07375
ko:K07687	ecln:ECNIH4_07380
ko:K03805	ecln:ECNIH4_11520
ko:K03182	ecln:ECNIH4_11535
ko:K06044	ecln:ECNIH4_11560
ko:K08169	ecln:ECNIH4_11590
ko:K07644	ecln:ECNIH4_11600
ko:K07665	ecln:ECNIH4_11605
ko:K07798	ecln:ECNIH4_11620
ko:K07787	ecln:ECNIH4_11625
ko:K00598	ecln:ECNIH4_11655
ko:K00041	ecln:ECNIH4_11700
ko:K01425	ecln:ECNIH4_11725
ko:K08324	ecln:ECNIH4_11735
ko:K03829	ecln:ECNIH4_11745
ko:K08159	ecln:ECNIH4_11760
ko:K05595	ecln:ECNIH4_11765
ko:K03712	ecln:ECNIH4_11770
ko:K13632	ecln:ECNIH4_11775
ko:K13630	ecln:ECNIH4_11780
ko:K15268	ecln:ECNIH4_11785
ko:K01745	ecln:ECNIH4_15835
ko:K01712	ecln:ECNIH4_15840
ko:K05836	ecln:ECNIH4_15845
ko:K01479	ecln:ECNIH4_15850
ko:K01468	ecln:ECNIH4_15855
ko:K01051	ecln:ECNIH4_15860
ko:K07404	ecln:ECNIH4_15865
ko:K02017	ecln:ECNIH4_15875
ko:K02018	ecln:ECNIH4_15880
ko:K02020	ecln:ECNIH4_15885
ko:K02019	ecln:ECNIH4_15895
ko:K05776	ecln:ECNIH4_15900
ko:K01784	ecln:ECNIH4_15905
ko:K00965	ecln:ECNIH4_15910
ko:K00849	ecln:ECNIH4_15915
ko:K01785	ecln:ECNIH4_15920
ko:K01834	ecln:ECNIH4_15925
ko:K01626	ecln:ECNIH4_15930
ko:K16264	ecln:ECNIH4_15940
ko:K03811	ecln:ECNIH4_15945
ko:K03517	ecln:ECNIH4_15950
ko:K03640	ecln:ECNIH4_15985
ko:K03641	ecln:ECNIH4_15990
ko:K03560	ecln:ECNIH4_16000
ko:K03562	ecln:ECNIH4_16005
ko:K07107	ecln:ECNIH4_16010
ko:K00426	ecln:ECNIH4_16025
ko:K00425	ecln:ECNIH4_16030
ko:K15524	ecln:ECNIH4_16035
ko:K11198	ecln:ECNIH4_16040
ko:K11199	ecln:ECNIH4_16040
ko:K11200	ecln:ECNIH4_16040
ko:K11922	ecln:ECNIH4_16045
ko:K01902	ecln:ECNIH4_16050
ko:K01903	ecln:ECNIH4_16055
ko:K00658	ecln:ECNIH4_16060
ko:K00164	ecln:ECNIH4_16065
ko:K00240	ecln:ECNIH4_16070
ko:K00239	ecln:ECNIH4_16075
ko:K00242	ecln:ECNIH4_16080
ko:K00241	ecln:ECNIH4_16085
ko:K01647	ecln:ECNIH4_16090
ko:K18841	ecln:ECNIH4_23020
ko:K06193	ecln:ECNIH4_21030
ko:K04750	ecln:ECNIH4_21035
ko:K02041	ecln:ECNIH4_21040
ko:K02044	ecln:ECNIH4_21045
ko:K02042	ecln:ECNIH4_21050
ko:K02043	ecln:ECNIH4_21055
ko:K06166	ecln:ECNIH4_21060
ko:K06165	ecln:ECNIH4_21065
ko:K06164	ecln:ECNIH4_21070
ko:K06163	ecln:ECNIH4_21075
ko:K05781	ecln:ECNIH4_21080
ko:K05780	ecln:ECNIH4_21085
ko:K06162	ecln:ECNIH4_21090
ko:K05774	ecln:ECNIH4_21095
ko:K09994	ecln:ECNIH4_21100
ko:K06167	ecln:ECNIH4_21105
ko:K10441	ecln:ECNIH4_21120
ko:K11746	ecln:ECNIH4_19375
ko:K01955	ecln:ECNIH4_19390
ko:K01956	ecln:ECNIH4_19395
ko:K00215	ecln:ECNIH4_19400
ko:K03527	ecln:ECNIH4_19405
ko:K03774	ecln:ECNIH4_19410
ko:K03101	ecln:ECNIH4_19415
ko:K10440	ecln:ECNIH4_21125
ko:K10439	ecln:ECNIH4_21130
ko:K07126	ecln:ECNIH4_21155
ko:K11102	ecln:ECNIH4_21160
ko:K01895	ecln:ECNIH4_21165
ko:K14393	ecln:ECNIH4_21175
ko:K06518	ecln:ECNIH4_21185
ko:K03316	ecln:ECNIH4_21195
ko:K06901	ecln:ECNIH4_21200
ko:K00799	ecln:ECNIH4_21205
ko:K13639	ecln:ECNIH4_21210
ko:K13631	ecln:ECNIH4_21215
ko:K03701	ecln:ECNIH4_21235
ko:K03788	ecln:ECNIH4_21250
ko:K00832	ecln:ECNIH4_21255
ko:K05539	ecln:ECNIH4_21280
ko:K01738	ecln:ECNIH4_17515
ko:K11938	ecln:ECNIH4_17520
ko:K06920	ecln:ECNIH4_17530
ko:K12500	ecln:ECNIH4_17545
ko:K02237	ecln:ECNIH4_17550
ko:K03770	ecln:ECNIH4_17555
ko:K03530	ecln:ECNIH4_17560
ko:K01338	ecln:ECNIH4_17565
ko:K03544	ecln:ECNIH4_17570
ko:K01358	ecln:ECNIH4_17575
ko:K05527	ecln:ECNIH4_17585
ko:K07286	ecln:ECNIH4_17590
ko:K08218	ecln:ECNIH4_17595
ko:K02297	ecln:ECNIH4_17605
ko:K02298	ecln:ECNIH4_17610
ko:K02299	ecln:ECNIH4_17615
ko:K02300	ecln:ECNIH4_17620
ko:K09767	ecln:ECNIH4_17635
ko:K00077	ecln:ECNIH4_17640
ko:K03152	ecln:ECNIH4_17645
ko:K03151	ecln:ECNIH4_17650
ko:K03602	ecln:ECNIH4_17655
ko:K00795	ecln:ECNIH4_17660
ko:K01662	ecln:ECNIH4_17665
ko:K00946	ecln:ECNIH4_17675
ko:K03625	ecln:ECNIH4_17680
ko:K00794	ecln:ECNIH4_17685
ko:K11752	ecln:ECNIH4_17690
ko:K07738	ecln:ECNIH4_17695
ko:K05517	ecln:ECNIH4_17705
ko:K06996	ecln:ECNIH4_17715
ko:K03074	ecln:ECNIH4_17720
ko:K03072	ecln:ECNIH4_17725
ko:K03210	ecln:ECNIH4_17730
ko:K00773	ecln:ECNIH4_17735
ko:K07568	ecln:ECNIH4_17740
ko:K08682	ecln:ECNIH4_17745
ko:K03386	ecln:ECNIH4_17750
ko:K01187	ecln:ECNIH4_17765
ko:K11736	ecln:ECNIH4_17770
ko:K12975	ecln:ECNIH4_01100
ko:K12368	ecln:ECNIH4_01110
ko:K12369	ecln:ECNIH4_01115
ko:K12370	ecln:ECNIH4_01120
ko:K12371	ecln:ECNIH4_01125
ko:K12372	ecln:ECNIH4_01130
ko:K00867	ecln:ECNIH4_01135
ko:K02358	ecln:ECNIH4_01160
ko:K03073	ecln:ECNIH4_01170
ko:K02601	ecln:ECNIH4_01175
ko:K02867	ecln:ECNIH4_01180
