ko:K19416	amad:I636_10590
ko:K11719	amad:I636_03910
ko:K03270	amad:I636_03915
ko:K06041	amad:I636_03920
ko:K07301	amad:I636_03925
ko:K02065	amad:I636_03930
ko:K02066	amad:I636_03935
ko:K07323	amad:I636_03945
ko:K07122	amad:I636_03950
ko:K00790	amad:I636_03960
ko:K04691	amad:I636_03965
ko:K09908	amad:I636_03975
ko:K06916	amad:I636_03980
ko:K06886	amad:I636_03990
ko:K12257	amad:I636_04005
ko:K01999	amad:I636_04035
ko:K00789	amad:I636_04050
ko:K00615	amad:I636_04055
ko:K03472	amad:I636_04060
ko:K00927	amad:I636_04065
ko:K01623	amad:I636_04070
ko:K01868	amad:I636_08225
ko:K02520	amad:I636_08230
ko:K02916	amad:I636_08235
ko:K02887	amad:I636_08240
ko:K01889	amad:I636_08390
ko:K01890	amad:I636_08395
ko:K04764	amad:I636_08400
ko:K01434	amad:I636_08415
ko:K01207	amad:I636_08420
ko:K03723	amad:I636_08435
ko:K09808	amad:I636_08445
ko:K07101	amad:I636_08450
ko:K14161	amad:I636_00185
ko:K05501	amad:I636_00220
ko:K13038	amad:I636_00225
ko:K03630	amad:I636_00230
ko:K02902	amad:I636_00255
ko:K02913	amad:I636_00260
ko:K00954	amad:I636_00275
ko:K11211	amad:I636_00280
ko:K12982	amad:I636_00285
ko:K00060	amad:I636_00310
ko:K02439	amad:I636_00315
ko:K02415	amad:I636_00325
ko:K03181	amad:I636_00330
ko:K03179	amad:I636_00335
ko:K19092	amad:I636_09665
ko:K17218	amad:I636_00415
ko:K00426	amad:I636_00445
ko:K00425	amad:I636_00450
ko:K15726	amad:I636_00500
ko:K01993	amad:I636_00570
ko:K13926	amad:I636_00575
ko:K16088	amad:I636_00585
ko:K06918	amad:I636_00610
ko:K08990	amad:I636_00615
ko:K04095	amad:I636_00630
ko:K03150	amad:I636_00635
ko:K03149	amad:I636_00640
ko:K03154	amad:I636_00645
ko:K14153	amad:I636_00655
ko:K03147	amad:I636_00660
ko:K02498	amad:I636_00665
ko:K02496	amad:I636_00670
ko:K01749	amad:I636_00680
ko:K01952	amad:I636_04940
ko:K12542	amad:I636_04990
ko:K09860	amad:I636_05015
ko:K02399	amad:I636_05020
ko:K02398	amad:I636_05025
ko:K03569	amad:I636_01255
ko:K03570	amad:I636_01260
ko:K03571	amad:I636_01265
ko:K06287	amad:I636_01270
ko:K08301	amad:I636_01275
ko:K03568	amad:I636_01290
ko:K09889	amad:I636_01295
ko:K03592	amad:I636_01300
ko:K07773	amad:I636_01310
ko:K00703	amad:I636_01320
ko:K03439	amad:I636_01330
ko:K03575	amad:I636_01340
ko:K07644	amad:I636_01360
ko:K07798	amad:I636_01385
ko:K07787	amad:I636_01390
ko:K07156	amad:I636_01405
ko:K02305	amad:I636_01450
ko:K03618	amad:I636_01495
ko:K04653	amad:I636_01515
ko:K04651	amad:I636_01520
ko:K04654	amad:I636_01530
ko:K07301	amad:I636_05805
ko:K03427	amad:I636_05840
ko:K01154	amad:I636_05845
ko:K01153	amad:I636_05855
ko:K16264	amad:I636_06030
ko:K01534	amad:I636_06040
ko:K07146	amad:I636_10160
ko:K01029	amad:I636_10175
ko:K01028	amad:I636_10180
ko:K13634	amad:I636_10200
ko:K01284	amad:I636_02115
ko:K01433	amad:I636_02125
ko:K01975	amad:I636_02130
ko:K03579	amad:I636_02135
ko:K05365	amad:I636_02145
ko:K09781	amad:I636_02160
ko:K04752	amad:I636_02175
ko:K03320	amad:I636_02180
ko:K07223	amad:I636_02190
ko:K01845	amad:I636_02200
ko:K00609	amad:I636_02205
ko:K07678	amad:I636_02230
ko:K02621	amad:I636_02235
ko:K06447	amad:I636_02255
ko:K00673	amad:I636_02260
ko:K01867	amad:I636_02280
ko:K01783	amad:I636_02285
ko:K03112	amad:I636_02310
ko:K01735	amad:I636_02315
ko:K00891	amad:I636_02320
ko:K02666	amad:I636_02325
ko:K02662	amad:I636_02345
ko:K05366	amad:I636_02350
ko:K03781	amad:I636_02380
ko:K00860	amad:I636_06680
ko:K00957	amad:I636_06685
ko:K03088	amad:I636_06705
ko:K03924	amad:I636_06740
ko:K08296	amad:I636_06775
ko:K03106	amad:I636_06795
ko:K02959	amad:I636_06860
ko:K02860	amad:I636_06865
ko:K00554	amad:I636_06870
ko:K02884	amad:I636_06875
ko:K01626	amad:I636_06890
ko:K14187	amad:I636_06895
ko:K14170	amad:I636_06900
ko:K03413	amad:I636_06905
ko:K03113	amad:I636_06910
ko:K07726	amad:I636_10970
ko:K00432	amad:I636_11030
ko:K01118	amad:I636_11035
ko:K01740	amad:I636_11045
ko:K09768	amad:I636_11070
ko:K03522	amad:I636_11125
ko:K03521	amad:I636_11130
ko:K00311	amad:I636_11135
ko:K03839	amad:I636_11155
ko:K00824	amad:I636_11170
ko:K07160	amad:I636_11185
ko:K00243	amad:I636_11190
ko:K07397	amad:I636_11195
ko:K03088	amad:I636_15345
ko:K05970	amad:I636_15545
ko:K08323	amad:I636_15550
ko:K01235	amad:I636_15555
ko:K01198	amad:I636_15560
ko:K01209	amad:I636_15560
ko:K02899	amad:I636_02955
ko:K03979	amad:I636_02960
ko:K06194	amad:I636_02975
ko:K00573	amad:I636_02985
ko:K06176	amad:I636_02990
ko:K01770	amad:I636_02995
ko:K00991	amad:I636_03000
ko:K05589	amad:I636_03005
ko:K13821	amad:I636_03025
ko:K07184	amad:I636_03035
ko:K03573	amad:I636_03050
ko:K08311	amad:I636_03055
ko:K08484	amad:I636_03060
ko:K13292	amad:I636_03070
ko:K08218	amad:I636_03090
ko:K03580	amad:I636_03110
ko:K07175	amad:I636_03125
ko:K02302	amad:I636_03135
ko:K05592	amad:I636_03140
ko:K08714	amad:I636_03150
ko:K12340	amad:I636_03160
ko:K09920	amad:I636_03170
ko:K03651	amad:I636_03175
ko:K07000	amad:I636_03180
ko:K02622	amad:I636_03185
ko:K02356	amad:I636_03225
ko:K00766	amad:I636_07425
ko:K01657	amad:I636_07435
ko:K07053	amad:I636_07440
ko:K05896	amad:I636_07450
ko:K06024	amad:I636_07455
ko:K06178	amad:I636_07460
ko:K06222	amad:I636_07465
ko:K06186	amad:I636_07515
ko:K03631	amad:I636_07520
ko:K04047	amad:I636_07525
ko:K00858	amad:I636_07530
ko:K00019	amad:I636_07540
ko:K00641	amad:I636_07550
ko:K03687	amad:I636_07575
ko:K04043	amad:I636_07580
ko:K03686	amad:I636_07585
ko:K01908	amad:I636_07600
ko:K00215	amad:I636_07610
ko:K01956	amad:I636_07615
ko:K01955	amad:I636_07620
ko:K03624	amad:I636_07625
ko:K04080	amad:I636_07640
ko:K00925	amad:I636_07645
ko:K13788	amad:I636_07650
ko:K03820	amad:I636_07665
ko:K06189	amad:I636_07670
ko:K07042	amad:I636_07675
ko:K06168	amad:I636_07685
ko:K03184	amad:I636_07690
ko:K00873	amad:I636_11755
ko:K03521	amad:I636_11775
ko:K01625	amad:I636_11800
ko:K01690	amad:I636_11810
ko:K01057	amad:I636_11815
ko:K00036	amad:I636_11820
ko:K00873	amad:I636_11830
ko:K09190	amad:I636_11880
ko:K09967	amad:I636_11885
ko:K07093	amad:I636_11895
ko:K08325	amad:I636_11950
ko:K00322	amad:I636_16160
ko:K00390	amad:I636_16185
ko:K00381	amad:I636_16190
ko:K03969	amad:I636_16225
ko:K05539	amad:I636_16235
ko:K01070	amad:I636_16270
ko:K16053	amad:I636_16285
ko:K03308	amad:I636_16305
ko:K03840	amad:I636_16335
ko:K00694	amad:I636_16375
ko:K01754	amad:I636_16420
ko:K01142	amad:I636_08470
ko:K02426	amad:I636_08485
ko:K16089	amad:I636_12660
ko:K00765	amad:I636_12670
ko:K00013	amad:I636_12675
ko:K00817	amad:I636_12680
ko:K01089	amad:I636_12685
ko:K02501	amad:I636_12690
ko:K01814	amad:I636_12695
ko:K02500	amad:I636_12700
ko:K11755	amad:I636_12705
ko:K03100	amad:I636_12730
ko:K07136	amad:I636_12750
ko:K04079	amad:I636_12760
ko:K06187	amad:I636_12765
ko:K09747	amad:I636_12780
ko:K00759	amad:I636_12795
ko:K09929	amad:I636_12800
ko:K09930	amad:I636_12805
ko:K17103	amad:I636_12830
ko:K03777	amad:I636_12850
ko:K03695	amad:I636_12855
ko:K05810	amad:I636_12860
ko:K02406	amad:I636_17070
ko:K02879	amad:I636_17085
ko:K03040	amad:I636_17090
ko:K02986	amad:I636_17095
ko:K02948	amad:I636_17100
ko:K02952	amad:I636_17105
ko:K02919	amad:I636_17110
ko:K03076	amad:I636_17115
ko:K02876	amad:I636_17120
ko:K02907	amad:I636_17125
ko:K02988	amad:I636_17130
ko:K02881	amad:I636_17135
ko:K02933	amad:I636_17140
ko:K02994	amad:I636_17145
ko:K02954	amad:I636_17150
ko:K02931	amad:I636_17155
ko:K02895	amad:I636_17160
ko:K02874	amad:I636_17165
ko:K14645	amad:I636_17180
ko:K03218	amad:I636_17190
ko:K12573	amad:I636_17195
ko:K07726	amad:I636_00345
ko:K03656	amad:I636_00355
ko:K07154	amad:I636_00370
ko:K03315	amad:I636_00385
ko:K07112	amad:I636_00390
ko:K07112	amad:I636_00395
ko:K13771	amad:I636_00400
ko:K07090	amad:I636_00405
ko:K04754	amad:I636_04665
ko:K03305	amad:I636_04680
ko:K10107	amad:I636_04685
ko:K09689	amad:I636_04690
ko:K09688	amad:I636_04695
ko:K12990	amad:I636_04720
ko:K00963	amad:I636_04725
ko:K02237	amad:I636_04730
ko:K06966	amad:I636_04750
ko:K06879	amad:I636_04760
ko:K15723	amad:I636_04765
ko:K06175	amad:I636_04800
ko:K00990	amad:I636_04815
ko:K01265	amad:I636_04820
ko:K02967	amad:I636_04825
ko:K02357	amad:I636_04830
ko:K09903	amad:I636_04835
ko:K02838	amad:I636_04840
ko:K00806	amad:I636_04845
ko:K00981	amad:I636_04850
ko:K00099	amad:I636_04855
ko:K11749	amad:I636_04860
ko:K07277	amad:I636_04865
ko:K06142	amad:I636_04870
ko:K02372	amad:I636_04875
ko:K00677	amad:I636_04880
ko:K00748	amad:I636_04885
ko:K03470	amad:I636_04890
ko:K02337	amad:I636_04895
ko:K01962	amad:I636_04900
ko:K04075	amad:I636_04905
ko:K11991	amad:I636_04925
ko:K07394	amad:I636_09040
ko:K03387	amad:I636_09075
ko:K06134	amad:I636_09095
ko:K05777	amad:I636_09145
ko:K05778	amad:I636_09150
ko:K05779	amad:I636_09155
ko:K03664	amad:I636_09215
ko:K09801	amad:I636_09225
ko:K02168	amad:I636_09235
ko:K09773	amad:I636_09255
ko:K07303	amad:I636_09270
ko:K07302	amad:I636_09275
ko:K00940	amad:I636_13375
ko:K02426	amad:I636_13380
ko:K11717	amad:I636_13395
ko:K09015	amad:I636_13400
ko:K09013	amad:I636_13405
ko:K09014	amad:I636_13410
ko:K04487	amad:I636_13415
ko:K13643	amad:I636_13420
ko:K00640	amad:I636_13430
ko:K15396	amad:I636_13435
ko:K03074	amad:I636_13455
ko:K03072	amad:I636_13460
ko:K03210	amad:I636_13465
ko:K00773	amad:I636_13470
ko:K07568	amad:I636_13475
ko:K09980	amad:I636_13485
ko:K10716	amad:I636_13495
ko:K08989	amad:I636_13505
ko:K02003	amad:I636_13530
ko:K01425	amad:I636_13545
ko:K03415	amad:I636_13555
ko:K01637	amad:I636_13560
ko:K01638	amad:I636_13570
ko:K07001	amad:I636_13575
ko:K08679	amad:I636_13580
ko:K05591	amad:I636_17785
ko:K01465	amad:I636_17790
ko:K03098	amad:I636_17795
ko:K01495	amad:I636_17830
ko:K13938	amad:I636_17835
ko:K12251	amad:I636_17845
ko:K06953	amad:I636_17855
ko:K03724	amad:I636_17860
ko:K02356	amad:I636_17875
ko:K00847	amad:I636_17880
ko:K04087	amad:I636_17915
ko:K04088	amad:I636_17920
ko:K03665	amad:I636_17925
ko:K03666	amad:I636_17930
ko:K00791	amad:I636_17935
ko:K03572	amad:I636_17940
ko:K01448	amad:I636_17945
ko:K06925	amad:I636_17950
ko:K01599	amad:I636_17970
ko:K03426	amad:I636_17975
ko:K07740	amad:I636_17980
ko:K09823	amad:I636_17985
ko:K03088	amad:I636_18025
ko:K02939	amad:I636_18045
ko:K02963	amad:I636_18050
ko:K02990	amad:I636_18055
ko:K02386	amad:I636_05035
ko:K03415	amad:I636_05040
ko:K02387	amad:I636_05050
ko:K02388	amad:I636_05055
ko:K02389	amad:I636_05060
ko:K02390	amad:I636_05065
ko:K02391	amad:I636_05070
ko:K02392	amad:I636_05075
ko:K02393	amad:I636_05080
ko:K02394	amad:I636_05085
ko:K02395	amad:I636_05090
ko:K02396	amad:I636_05095
ko:K02397	amad:I636_05100
ko:K02406	amad:I636_05110
ko:K02406	amad:I636_05125
ko:K02407	amad:I636_05135
ko:K02422	amad:I636_05140
ko:K15894	amad:I636_05155
ko:K01756	amad:I636_09310
ko:K07153	amad:I636_09315
ko:K00566	amad:I636_09320
ko:K06181	amad:I636_09325
ko:K00031	amad:I636_09330
ko:K03704	amad:I636_09335
ko:K06891	amad:I636_09340
ko:K03694	amad:I636_09345
ko:K02518	amad:I636_09350
ko:K00684	amad:I636_09360
ko:K00384	amad:I636_09365
ko:K09899	amad:I636_09370
ko:K02742	amad:I636_09375
ko:K04773	amad:I636_09380
ko:K03644	amad:I636_09410
ko:K03801	amad:I636_09415
ko:K09158	amad:I636_09420
ko:K03642	amad:I636_09430
ko:K05837	amad:I636_09435
ko:K05515	amad:I636_09440
ko:K00783	amad:I636_09445
ko:K09710	amad:I636_09450
ko:K00969	amad:I636_09455
ko:K02340	amad:I636_09460
ko:K03643	amad:I636_09465
ko:K01869	amad:I636_09470
ko:K07574	amad:I636_09505
ko:K03798	amad:I636_09515
ko:K00796	amad:I636_09520
ko:K03431	amad:I636_09525
ko:K01803	amad:I636_09530
ko:K03075	amad:I636_09535
ko:K00262	amad:I636_09555
ko:K02472	amad:I636_13645
ko:K01953	amad:I636_13685
ko:K01953	amad:I636_13730
ko:K01991	amad:I636_13755
ko:K07461	amad:I636_13790
ko:K00982	amad:I636_13805
ko:K02517	amad:I636_13830
ko:K00761	amad:I636_13880
ko:K14540	amad:I636_13910
ko:K03437	amad:I636_13915
ko:K09918	amad:I636_18065
ko:K02003	amad:I636_18070
ko:K16264	amad:I636_18100
ko:K03315	amad:I636_18120
ko:K05349	amad:I636_18125
ko:K02429	amad:I636_18130
ko:K02529	amad:I636_18140
ko:K15034	amad:I636_18200
ko:K12262	amad:I636_18225
ko:K03885	amad:I636_18235
ko:K06076	amad:I636_18255
ko:K00820	amad:I636_18285
ko:K04042	amad:I636_18300
ko:K13529	amad:I636_18320
ko:K00325	amad:I636_18340
ko:K01752	amad:I636_10205
ko:K01665	amad:I636_10215
ko:K01676	amad:I636_10220
ko:K09760	amad:I636_10230
ko:K00166	amad:I636_10240
ko:K00167	amad:I636_10245
ko:K09699	amad:I636_10250
ko:K07115	amad:I636_10255
ko:K10805	amad:I636_10265
ko:K09807	amad:I636_10280
ko:K03607	amad:I636_10295
ko:K03797	amad:I636_10300
ko:K03308	amad:I636_10305
ko:K03315	amad:I636_10310
ko:K01256	amad:I636_10315
ko:K15371	amad:I636_10345
ko:K12297	amad:I636_10355
ko:K15738	amad:I636_10365
ko:K03812	amad:I636_10375
ko:K01716	amad:I636_10380
ko:K01669	amad:I636_10390
ko:K01669	amad:I636_10395
ko:K01669	amad:I636_10400
ko:K06876	amad:I636_10405
ko:K03531	amad:I636_14490
ko:K03590	amad:I636_14495
ko:K03589	amad:I636_14500
ko:K01921	amad:I636_14505
ko:K01924	amad:I636_14510
ko:K02563	amad:I636_14515
ko:K03588	amad:I636_14520
ko:K01925	amad:I636_14525
ko:K01000	amad:I636_14530
ko:K01929	amad:I636_14535
ko:K01928	amad:I636_14540
ko:K03587	amad:I636_14545
ko:K03586	amad:I636_14550
ko:K03438	amad:I636_14555
ko:K03925	amad:I636_14560
ko:K01273	amad:I636_14575
ko:K16872	amad:I636_14645
ko:K09761	amad:I636_14675
ko:K01920	amad:I636_14680
ko:K07735	amad:I636_14685
ko:K07447	amad:I636_14690
ko:K02670	amad:I636_14700
ko:K02669	amad:I636_14705
ko:K06997	amad:I636_14710
ko:K00286	amad:I636_14715
ko:K02221	amad:I636_14720
ko:K05349	amad:I636_18930
ko:K02170	amad:I636_18980
ko:K07400	amad:I636_18995
ko:K01779	amad:I636_19005
ko:K03327	amad:I636_19015
ko:K07152	amad:I636_19030
ko:K02259	amad:I636_19040
ko:K02276	amad:I636_19060
ko:K02275	amad:I636_19075
ko:K01356	amad:I636_19080
ko:K00631	amad:I636_19085
ko:K01754	amad:I636_19090
ko:K01687	amad:I636_19095
ko:K07391	amad:I636_19105
ko:K02521	amad:I636_19110
ko:K00053	amad:I636_19115
ko:K07552	amad:I636_19120
ko:K07278	amad:I636_19130
ko:K09800	amad:I636_19135
ko:K03088	amad:I636_19145
ko:K07107	amad:I636_19165
ko:K00931	amad:I636_19170
ko:K04656	amad:I636_01535
ko:K15726	amad:I636_01625
ko:K16264	amad:I636_01630
ko:K00901	amad:I636_01640
ko:K03760	amad:I636_01645
ko:K07233	amad:I636_01750
ko:K14682	amad:I636_02400
ko:K01755	amad:I636_02405
ko:K01940	amad:I636_02410
ko:K00611	amad:I636_02415
ko:K00930	amad:I636_02420
ko:K00145	amad:I636_02425
ko:K01734	amad:I636_02430
ko:K03216	amad:I636_02455
ko:K00057	amad:I636_02465
ko:K03071	amad:I636_02470
ko:K09798	amad:I636_02490
ko:K01126	amad:I636_02500
ko:K01613	amad:I636_02510
ko:K06949	amad:I636_02515
ko:K13288	amad:I636_02520
ko:K04568	amad:I636_03230
ko:K01273	amad:I636_03255
ko:K05527	amad:I636_03275
ko:K03321	amad:I636_03310
ko:K00362	amad:I636_03315
ko:K00363	amad:I636_03320
ko:K00372	amad:I636_03325
ko:K07023	amad:I636_03365
ko:K03673	amad:I636_03370
ko:K16092	amad:I636_03375
ko:K03086	amad:I636_03455
ko:K09117	amad:I636_03465
ko:K02970	amad:I636_03475
ko:K08591	amad:I636_03490
ko:K01633	amad:I636_03495
ko:K00950	amad:I636_03500
ko:K06153	amad:I636_03505
ko:K02503	amad:I636_03510
ko:K03310	amad:I636_07750
ko:K06942	amad:I636_07760
ko:K01056	amad:I636_07765
ko:K02897	amad:I636_07775
ko:K12957	amad:I636_07780
ko:K00948	amad:I636_07795
ko:K00919	amad:I636_07800
ko:K02494	amad:I636_07805
ko:K02492	amad:I636_07810
ko:K02835	amad:I636_07815
ko:K02493	amad:I636_07820
ko:K01627	amad:I636_07835
ko:K07020	amad:I636_07850
ko:K06968	amad:I636_07860
ko:K02355	amad:I636_07865
ko:K01725	amad:I636_07870
ko:K01725	amad:I636_07875
ko:K03924	amad:I636_07900
ko:K03645	amad:I636_07905
ko:K00688	amad:I636_07915
