ko:K01006	lms:LMLG_2238
ko:K13920	lms:LMLG_2828
ko:K01687	lms:LMLG_0448
ko:K01652	lms:LMLG_0447
ko:K01653	lms:LMLG_0446
ko:K00053	lms:LMLG_0445
ko:K01649	lms:LMLG_0444
ko:K00052	lms:LMLG_0443
ko:K01703	lms:LMLG_0442
ko:K01704	lms:LMLG_0441
ko:K01754	lms:LMLG_0440
ko:K01575	lms:LMLG_0439
ko:K00756	lms:LMLG_0438
ko:K02529	lms:LMLG_0437
ko:K05346	lms:LMLG_0435
ko:K01652	lms:LMLG_0425
ko:K07718	lms:LMLG_0421
ko:K03704	lms:LMLG_0415
ko:K01778	lms:LMLG_0413
ko:K01870	lms:LMLG_0412
ko:K04074	lms:LMLG_0411
ko:K04487	lms:LMLG_0409
ko:K00278	lms:LMLG_0408
ko:K00767	lms:LMLG_0407
ko:K03517	lms:LMLG_0406
ko:K02221	lms:LMLG_0401
ko:K09772	lms:LMLG_0400
ko:K06997	lms:LMLG_0399
ko:K03531	lms:LMLG_0398
ko:K03590	lms:LMLG_0397
ko:K03589	lms:LMLG_0396
ko:K02563	lms:LMLG_0395
ko:K01925	lms:LMLG_0394
ko:K00691	lms:LMLG_2230
ko:K15780	lms:LMLG_2365
ko:K14234	lms:LMLG_3503
ko:K14234	lms:LMLG_3537
ko:K01118	lms:LMLG_0576
ko:K01126	lms:LMLG_0581
ko:K07090	lms:LMLG_0586
ko:K11203	lms:LMLG_0597
ko:K11202	lms:LMLG_0598
ko:K01534	lms:LMLG_0610
ko:K03284	lms:LMLG_0617
ko:K01421	lms:LMLG_0619
ko:K08976	lms:LMLG_0625
ko:K00868	lms:LMLG_0632
ko:K07738	lms:LMLG_1767
ko:K00859	lms:LMLG_1766
ko:K00031	lms:LMLG_1763
ko:K01647	lms:LMLG_1762
ko:K07113	lms:LMLG_1760
ko:K00873	lms:LMLG_1759
ko:K00850	lms:LMLG_1758
ko:K01962	lms:LMLG_1756
ko:K01963	lms:LMLG_1755
ko:K02337	lms:LMLG_2983
ko:K00259	lms:LMLG_2984
ko:K00925	lms:LMLG_1745
ko:K11065	lms:LMLG_1743
ko:K04773	lms:LMLG_1741
ko:K00858	lms:LMLG_1740
ko:K00611	lms:LMLG_1107
ko:K00930	lms:LMLG_1109
ko:K00620	lms:LMLG_1110
ko:K00145	lms:LMLG_1111
ko:K03151	lms:LMLG_1112
ko:K04487	lms:LMLG_1113
ko:K02986	lms:LMLG_1117
ko:K01866	lms:LMLG_1118
ko:K02529	lms:LMLG_1119
ko:K13853	lms:LMLG_1120
ko:K01924	lms:LMLG_1126
ko:K03466	lms:LMLG_1127
ko:K06878	lms:LMLG_1128
ko:K03439	lms:LMLG_1136
ko:K06019	lms:LMLG_1829
ko:K13292	lms:LMLG_1830
ko:K08972	lms:LMLG_1832
ko:K03701	lms:LMLG_1836
ko:K03702	lms:LMLG_1837
ko:K07023	lms:LMLG_1839
ko:K02039	lms:LMLG_1842
ko:K02036	lms:LMLG_1843
ko:K02036	lms:LMLG_3017
ko:K02038	lms:LMLG_1846
ko:K02037	lms:LMLG_1847
ko:K02040	lms:LMLG_1848
ko:K07636	lms:LMLG_1849
ko:K06131	lms:LMLG_1853
ko:K09811	lms:LMLG_1857
ko:K09812	lms:LMLG_1858
ko:K02836	lms:LMLG_1860
ko:K03070	lms:LMLG_1861
ko:K05946	lms:LMLG_1873
ko:K02372	lms:LMLG_1877
ko:K03569	lms:LMLG_1878
ko:K00790	lms:LMLG_1879
ko:K02114	lms:LMLG_1881
ko:K02112	lms:LMLG_1882
ko:K02115	lms:LMLG_1883
ko:K02111	lms:LMLG_1884
ko:K02113	lms:LMLG_1885
ko:K02109	lms:LMLG_1886
ko:K02773	lms:LMLG_2445
ko:K01783	lms:LMLG_2443
ko:K02774	lms:LMLG_2441
ko:K00948	lms:LMLG_2439
ko:K07282	lms:LMLG_2430
ko:K15342	lms:LMLG_2421
ko:K08987	lms:LMLG_2419
ko:K07166	lms:LMLG_2780
ko:K09157	lms:LMLG_2781
ko:K02083	lms:LMLG_2784
ko:K02016	lms:LMLG_0504
ko:K02781	lms:LMLG_0505
ko:K01151	lms:LMLG_1673
ko:K03527	lms:LMLG_1671
ko:K06967	lms:LMLG_1669
ko:K03086	lms:LMLG_1668
ko:K09768	lms:LMLG_1666
ko:K09773	lms:LMLG_1665
ko:K01879	lms:LMLG_1664
ko:K01878	lms:LMLG_1663
ko:K03584	lms:LMLG_1662
ko:K07042	lms:LMLG_2564
ko:K07037	lms:LMLG_2563
ko:K09117	lms:LMLG_2560
ko:K02970	lms:LMLG_2559
ko:K09761	lms:LMLG_2558
ko:K02687	lms:LMLG_2557
ko:K03686	lms:LMLG_2556
ko:K04043	lms:LMLG_2981
ko:K03687	lms:LMLG_2553
ko:K03705	lms:LMLG_2552
ko:K03596	lms:LMLG_2548
ko:K02968	lms:LMLG_2547
ko:K02340	lms:LMLG_2546
ko:K02237	lms:LMLG_2543
ko:K09710	lms:LMLG_2541
ko:K00969	lms:LMLG_2539
ko:K07574	lms:LMLG_2538
ko:K00014	lms:LMLG_2537
ko:K07015	lms:LMLG_2535
ko:K03624	lms:LMLG_2716
ko:K00876	lms:LMLG_2718
ko:K07082	lms:LMLG_2720
ko:K07447	lms:LMLG_2723
ko:K01872	lms:LMLG_2725
ko:K01810	lms:LMLG_2664
ko:K14155	lms:LMLG_2661
ko:K02003	lms:LMLG_2659
ko:K02760	lms:LMLG_2658
ko:K00928	lms:LMLG_2657
ko:K05566	lms:LMLG_2652
ko:K05567	lms:LMLG_2651
ko:K05569	lms:LMLG_2649
ko:K05571	lms:LMLG_2647
ko:K09775	lms:LMLG_2645
ko:K03885	lms:LMLG_2642
ko:K07090	lms:LMLG_2166
ko:K09014	lms:LMLG_2162
ko:K11717	lms:LMLG_2160
ko:K09015	lms:LMLG_2159
ko:K09013	lms:LMLG_2158
ko:K02073	lms:LMLG_2155
ko:K02072	lms:LMLG_2154
ko:K02071	lms:LMLG_2153
ko:K02437	lms:LMLG_2147
ko:K02470	lms:LMLG_0168
ko:K02469	lms:LMLG_0167
ko:K06131	lms:LMLG_0166
ko:K02826	lms:LMLG_0161
ko:K02827	lms:LMLG_2924
ko:K02829	lms:LMLG_0158
ko:K07282	lms:LMLG_0157
ko:K01223	lms:LMLG_0156
ko:K02529	lms:LMLG_0136
ko:K02761	lms:LMLG_0133
ko:K13252	lms:LMLG_0131
ko:K10536	lms:LMLG_0129
ko:K00926	lms:LMLG_0128
ko:K10536	lms:LMLG_0127
ko:K03481	lms:LMLG_0126
ko:K03975	lms:LMLG_0125
ko:K02990	lms:LMLG_0123
ko:K02963	lms:LMLG_0121
ko:K07813	lms:LMLG_0119
ko:K07707	lms:LMLG_0116
ko:K02939	lms:LMLG_0114
ko:K01939	lms:LMLG_0111
ko:K03466	lms:LMLG_0105
ko:K02760	lms:LMLG_1403
ko:K02761	lms:LMLG_1404
ko:K02759	lms:LMLG_1405
ko:K01223	lms:LMLG_1406
ko:K07089	lms:LMLG_1409
ko:K03652	lms:LMLG_1416
ko:K03800	lms:LMLG_1419
ko:K03216	lms:LMLG_1424
ko:K04079	lms:LMLG_1430
ko:K04047	lms:LMLG_1431
ko:K03449	lms:LMLG_1437
ko:K01443	lms:LMLG_1446
ko:K03710	lms:LMLG_1448
ko:K08303	lms:LMLG_1452
ko:K03744	lms:LMLG_1453
ko:K03799	lms:LMLG_1454
ko:K02902	lms:LMLG_2059
ko:K01783	lms:LMLG_2061
ko:K06949	lms:LMLG_2062
ko:K03500	lms:LMLG_2065
ko:K00604	lms:LMLG_2066
ko:K04066	lms:LMLG_2067
ko:K13038	lms:LMLG_2068
ko:K03060	lms:LMLG_2069
ko:K00942	lms:LMLG_2070
ko:K00762	lms:LMLG_2074
ko:K01591	lms:LMLG_2075
ko:K01955	lms:LMLG_2078
ko:K01956	lms:LMLG_2079
ko:K01465	lms:LMLG_2993
ko:K00609	lms:LMLG_2994
ko:K02825	lms:LMLG_2082
ko:K06180	lms:LMLG_2085
ko:K03101	lms:LMLG_2086
ko:K06901	lms:LMLG_2087
ko:K03327	lms:LMLG_2088
ko:K03797	lms:LMLG_2093
ko:K11068	lms:LMLG_2106
ko:K09773	lms:LMLG_2237
ko:K06978	lms:LMLG_0270
ko:K03654	lms:LMLG_0268
ko:K02760	lms:LMLG_0262
ko:K02761	lms:LMLG_0261
ko:K02759	lms:LMLG_0259
ko:K01919	lms:LMLG_0254
ko:K01223	lms:LMLG_0253
ko:K06942	lms:LMLG_0246
ko:K02759	lms:LMLG_0245
ko:K05349	lms:LMLG_0244
ko:K02760	lms:LMLG_0243
ko:K02761	lms:LMLG_0242
ko:K03781	lms:LMLG_0240
ko:K03501	lms:LMLG_0223
ko:K03495	lms:LMLG_0222
ko:K03650	lms:LMLG_0221
ko:K03118	lms:LMLG_2627
ko:K03116	lms:LMLG_2626
ko:K07243	lms:LMLG_2625
ko:K07224	lms:LMLG_2624
ko:K06193	lms:LMLG_2620
ko:K02761	lms:LMLG_2616
ko:K02760	lms:LMLG_2615
ko:K06608	lms:LMLG_2607
ko:K00140	lms:LMLG_2606
ko:K03337	lms:LMLG_2605
ko:K03338	lms:LMLG_2604
ko:K03336	lms:LMLG_2040
ko:K03648	lms:LMLG_2036
ko:K00286	lms:LMLG_2030
ko:K03306	lms:LMLG_2021
ko:K07238	lms:LMLG_2011
ko:K02913	lms:LMLG_1918
ko:K02247	lms:LMLG_1926
ko:K00605	lms:LMLG_1932
ko:K00282	lms:LMLG_1933
ko:K00283	lms:LMLG_1934
ko:K02356	lms:LMLG_1939
ko:K02160	lms:LMLG_1940
ko:K01961	lms:LMLG_1941
ko:K03625	lms:LMLG_1944
ko:K01491	lms:LMLG_1945
ko:K03601	lms:LMLG_1946
ko:K03602	lms:LMLG_1947
ko:K13789	lms:LMLG_1948
ko:K03704	lms:LMLG_1949
ko:K01662	lms:LMLG_1950
ko:K06442	lms:LMLG_1951
ko:K03402	lms:LMLG_1952
ko:K03631	lms:LMLG_1953
ko:K00382	lms:LMLG_2975
ko:K00166	lms:LMLG_1958
ko:K00167	lms:LMLG_2976
ko:K09699	lms:LMLG_1961
ko:K03217	lms:LMLG_1967
ko:K01512	lms:LMLG_1969
ko:K07146	lms:LMLG_1972
ko:K03466	lms:LMLG_1974
ko:K00286	lms:LMLG_1739
ko:K07335	lms:LMLG_1737
ko:K02057	lms:LMLG_1735
ko:K02057	lms:LMLG_1734
ko:K09458	lms:LMLG_0856
ko:K00648	lms:LMLG_0857
ko:K03695	lms:LMLG_0861
ko:K06890	lms:LMLG_0862
ko:K01772	lms:LMLG_0866
ko:K01599	lms:LMLG_3006
ko:K02503	lms:LMLG_0873
ko:K00014	lms:LMLG_3009
ko:K13531	lms:LMLG_0902
ko:K13530	lms:LMLG_0903
ko:K06180	lms:LMLG_0904
ko:K07220	lms:LMLG_0909
ko:K03306	lms:LMLG_0910
ko:K06901	lms:LMLG_0916
ko:K05520	lms:LMLG_0918
ko:K02759	lms:LMLG_0921
ko:K07150	lms:LMLG_1631
ko:K07118	lms:LMLG_1632
ko:K05786	lms:LMLG_1633
ko:K00847	lms:LMLG_1657
ko:K03324	lms:LMLG_2490
ko:K03737	lms:LMLG_2489
ko:K04041	lms:LMLG_2488
ko:K07088	lms:LMLG_2487
ko:K13256	lms:LMLG_2482
ko:K01265	lms:LMLG_1532
ko:K03839	lms:LMLG_1531
ko:K03569	lms:LMLG_1527
ko:K02759	lms:LMLG_1521
ko:K02760	lms:LMLG_1520
ko:K02529	lms:LMLG_1513
ko:K05349	lms:LMLG_1511
ko:K00266	lms:LMLG_1505
ko:K08317	lms:LMLG_1501
ko:K02029	lms:LMLG_1498
ko:K01486	lms:LMLG_1496
ko:K02003	lms:LMLG_1490
ko:K00891	lms:LMLG_1488
ko:K03215	lms:LMLG_1486
ko:K02434	lms:LMLG_1483
ko:K02435	lms:LMLG_1481
ko:K01972	lms:LMLG_1479
ko:K03657	lms:LMLG_1478
ko:K03308	lms:LMLG_1476
ko:K02358	lms:LMLG_1274
ko:K02355	lms:LMLG_1275
ko:K02992	lms:LMLG_1276
ko:K02950	lms:LMLG_1277
ko:K01129	lms:LMLG_1278
ko:K01783	lms:LMLG_1280
ko:K00615	lms:LMLG_1281
ko:K01783	lms:LMLG_1282
ko:K01808	lms:LMLG_1283
ko:K02774	lms:LMLG_1288
ko:K02773	lms:LMLG_1289
ko:K01808	lms:LMLG_1297
ko:K07667	lms:LMLG_1301
ko:K07646	lms:LMLG_1302
ko:K01548	lms:LMLG_1303
ko:K01547	lms:LMLG_1304
ko:K01546	lms:LMLG_1305
ko:K02760	lms:LMLG_1306
ko:K02761	lms:LMLG_1307
ko:K02759	lms:LMLG_1308
ko:K01531	lms:LMLG_1312
ko:K00943	lms:LMLG_1317
ko:K00640	lms:LMLG_2934
ko:K01883	lms:LMLG_0819
ko:K11145	lms:LMLG_0818
ko:K03218	lms:LMLG_0817
ko:K06962	lms:LMLG_0816
ko:K03091	lms:LMLG_0815
ko:K02913	lms:LMLG_0814
ko:K03073	lms:LMLG_0813
ko:K02601	lms:LMLG_0812
ko:K02867	lms:LMLG_0810
ko:K02863	lms:LMLG_0809
ko:K02864	lms:LMLG_0808
ko:K02935	lms:LMLG_0807
ko:K00690	lms:LMLG_0798
ko:K03043	lms:LMLG_0796
ko:K03046	lms:LMLG_0795
ko:K15975	lms:LMLG_0786
ko:K02034	lms:LMLG_0784
ko:K02072	lms:LMLG_0767
ko:K02071	lms:LMLG_0766
ko:K02073	lms:LMLG_0765
ko:K00783	lms:LMLG_0756
ko:K03437	lms:LMLG_1041
ko:K01889	lms:LMLG_1038
ko:K01890	lms:LMLG_1037
ko:K02003	lms:LMLG_1036
ko:K03648	lms:LMLG_1031
ko:K09888	lms:LMLG_1029
ko:K02347	lms:LMLG_1027
ko:K07456	lms:LMLG_1026
ko:K03671	lms:LMLG_1025
ko:K03703	lms:LMLG_1024
ko:K00928	lms:LMLG_1023
ko:K01776	lms:LMLG_1020
ko:K00989	lms:LMLG_1019
ko:K07095	lms:LMLG_1017
ko:K02818	lms:LMLG_0997
ko:K02819	lms:LMLG_0997
ko:K00147	lms:LMLG_0993
ko:K00931	lms:LMLG_0992
ko:K03545	lms:LMLG_0985
ko:K03544	lms:LMLG_0984
ko:K03100	lms:LMLG_0983
ko:K03100	lms:LMLG_0982
ko:K03100	lms:LMLG_0981
ko:K14540	lms:LMLG_0980
ko:K03470	lms:LMLG_2971
ko:K04096	lms:LMLG_0977
ko:K03168	lms:LMLG_0976
ko:K01628	lms:LMLG_0333
ko:K02774	lms:LMLG_0330
ko:K02773	lms:LMLG_0329
ko:K06215	lms:LMLG_0326
ko:K08681	lms:LMLG_0325
ko:K04758	lms:LMLG_0323
ko:K04759	lms:LMLG_0322
ko:K01443	lms:LMLG_0318
ko:K01809	lms:LMLG_0316
ko:K02003	lms:LMLG_0312
ko:K03431	lms:LMLG_2233
ko:K01624	lms:LMLG_2218
ko:K01624	lms:LMLG_2217
ko:K03710	lms:LMLG_2207
ko:K02419	lms:LMLG_0649
ko:K02420	lms:LMLG_0650
ko:K02421	lms:LMLG_0651
ko:K02401	lms:LMLG_0652
ko:K02400	lms:LMLG_0653
ko:K02404	lms:LMLG_0654
ko:K02392	lms:LMLG_0655
ko:K02556	lms:LMLG_0659
ko:K02557	lms:LMLG_0660
ko:K03415	lms:LMLG_0663
ko:K02406	lms:LMLG_0664
ko:K03413	lms:LMLG_0665
ko:K03407	lms:LMLG_0666
ko:K02417	lms:LMLG_0667
ko:K02389	lms:LMLG_0670
ko:K02390	lms:LMLG_0671
ko:K02417	lms:LMLG_0672
ko:K02416	lms:LMLG_0673
ko:K02417	lms:LMLG_0674
ko:K09770	lms:LMLG_0677
ko:K02396	lms:LMLG_0679
ko:K02397	lms:LMLG_0680
ko:K02407	lms:LMLG_0681
ko:K02422	lms:LMLG_0682
ko:K02387	lms:LMLG_0685
ko:K02388	lms:LMLG_0686
ko:K02408	lms:LMLG_0687
ko:K02409	lms:LMLG_0688
ko:K02410	lms:LMLG_0689
ko:K02411	lms:LMLG_0690
ko:K02412	lms:LMLG_0691
ko:K00820	lms:LMLG_2947
ko:K00824	lms:LMLG_1140
ko:K01695	lms:LMLG_1148
ko:K01696	lms:LMLG_1149
ko:K01817	lms:LMLG_1150
ko:K01609	lms:LMLG_1151
ko:K00766	lms:LMLG_1152
ko:K01657	lms:LMLG_1154
ko:K04072	lms:LMLG_1155
ko:K01246	lms:LMLG_1160
ko:K01681	lms:LMLG_1162
ko:K03547	lms:LMLG_1168
ko:K00655	lms:LMLG_1169
ko:K02357	lms:LMLG_1179
ko:K02967	lms:LMLG_1180
ko:K01869	lms:LMLG_1184
ko:K07139	lms:LMLG_1185
ko:K01953	lms:LMLG_1187
ko:K00789	lms:LMLG_1188
ko:K08998	lms:LMLG_1194
ko:K01911	lms:LMLG_1196
ko:K01661	lms:LMLG_1197
ko:K02110	lms:LMLG_1887
ko:K02108	lms:LMLG_1888
ko:K00761	lms:LMLG_1892
ko:K00600	lms:LMLG_1893
ko:K07566	lms:LMLG_2772
ko:K02493	lms:LMLG_2771
ko:K02835	lms:LMLG_2770
ko:K00872	lms:LMLG_2768
ko:K01733	lms:LMLG_2767
ko:K00003	lms:LMLG_2766
ko:K02909	lms:LMLG_2765
ko:K03628	lms:LMLG_2762
ko:K00790	lms:LMLG_2761
ko:K13678	lms:LMLG_2759
ko:K01937	lms:LMLG_2533
ko:K01887	lms:LMLG_2531
ko:K01821	lms:LMLG_2528
ko:K06885	lms:LMLG_2527
ko:K08281	lms:LMLG_2520
ko:K02003	lms:LMLG_2510
ko:K02379	lms:LMLG_2506
ko:K00123	lms:LMLG_2504
ko:K08325	lms:LMLG_0518
ko:K03305	lms:LMLG_0519
ko:K00262	lms:LMLG_0524
ko:K02500	lms:LMLG_0527
ko:K01814	lms:LMLG_0528
ko:K02501	lms:LMLG_0529
ko:K01693	lms:LMLG_0530
ko:K00013	lms:LMLG_0531
ko:K00765	lms:LMLG_0532
ko:K02502	lms:LMLG_0533
ko:K04486	lms:LMLG_0534
ko:K07443	lms:LMLG_0535
ko:K06901	lms:LMLG_0537
ko:K06999	lms:LMLG_0544
ko:K06969	lms:LMLG_0545
ko:K03070	lms:LMLG_0547
ko:K01669	lms:LMLG_0552
ko:K00641	lms:LMLG_0558
ko:K01740	lms:LMLG_0559
ko:K03523	lms:LMLG_0563
ko:K02003	lms:LMLG_2726
ko:K03581	lms:LMLG_2730
ko:K00566	lms:LMLG_2733
ko:K04487	lms:LMLG_2734
ko:K07478	lms:LMLG_1816
ko:K03320	lms:LMLG_1814
ko:K04751	lms:LMLG_1813
ko:K01876	lms:LMLG_2982
ko:K01892	lms:LMLG_1810
ko:K01448	lms:LMLG_1809
ko:K07560	lms:LMLG_1808
ko:K00759	lms:LMLG_1806
ko:K07462	lms:LMLG_1805
ko:K12257	lms:LMLG_1803
ko:K03210	lms:LMLG_1801
ko:K00773	lms:LMLG_1800
ko:K07568	lms:LMLG_1799
ko:K03551	lms:LMLG_1798
ko:K03550	lms:LMLG_1797
ko:K03979	lms:LMLG_1793
ko:K00864	lms:LMLG_1792
ko:K02440	lms:LMLG_1791
ko:K02899	lms:LMLG_1790
ko:K02888	lms:LMLG_1788
ko:K08301	lms:LMLG_1787
ko:K03609	lms:LMLG_1786
ko:K03610	lms:LMLG_1785
ko:K03571	lms:LMLG_1784
ko:K03570	lms:LMLG_1783
ko:K03569	lms:LMLG_1782
ko:K03630	lms:LMLG_1781
ko:K11754	lms:LMLG_1779
ko:K01873	lms:LMLG_1778
ko:K01845	lms:LMLG_1777
ko:K01698	lms:LMLG_1776
ko:K01749	lms:LMLG_1774
ko:K02492	lms:LMLG_1773
ko:K03978	lms:LMLG_1772
ko:K01868	lms:LMLG_1771
ko:K05837	lms:LMLG_2145
ko:K05837	lms:LMLG_2144
ko:K02013	lms:LMLG_2143
ko:K02015	lms:LMLG_2142
ko:K02016	lms:LMLG_2141
ko:K03664	lms:LMLG_2123
ko:K12573	lms:LMLG_2122
ko:K03928	lms:LMLG_2121
ko:K03075	lms:LMLG_2119
ko:K01689	lms:LMLG_2115
ko:K15633	lms:LMLG_2114
ko:K01803	lms:LMLG_2113
ko:K00927	lms:LMLG_2112
ko:K00134	lms:LMLG_2111
ko:K05311	lms:LMLG_2110
ko:K03092	lms:LMLG_2109
ko:K01273	lms:LMLG_2108
ko:K01358	lms:LMLG_2902
ko:K06958	lms:LMLG_1822
ko:K00384	lms:LMLG_1826
ko:K10778	lms:LMLG_0087
ko:K02110	lms:LMLG_0074
ko:K02113	lms:LMLG_0073
ko:K02111	lms:LMLG_0072
ko:K02115	lms:LMLG_0071
ko:K02112	lms:LMLG_0070
ko:K02114	lms:LMLG_0069
ko:K00858	lms:LMLG_1459
ko:K06180	lms:LMLG_2957
ko:K00208	lms:LMLG_2712
ko:K03740	lms:LMLG_2711
ko:K14188	lms:LMLG_2710
ko:K03739	lms:LMLG_2709
ko:K03367	lms:LMLG_2708
ko:K01807	lms:LMLG_2706
ko:K00826	lms:LMLG_2703
ko:K00432	lms:LMLG_2698
ko:K02837	lms:LMLG_2693
ko:K05823	lms:LMLG_2798
ko:K02000	lms:LMLG_2796
ko:K02001	lms:LMLG_2795
ko:K02002	lms:LMLG_2794
ko:K00243	lms:LMLG_2791
ko:K11622	lms:LMLG_2790
ko:K00563	lms:LMLG_2243
ko:K15738	lms:LMLG_2246
ko:K01938	lms:LMLG_2247
ko:K03704	lms:LMLG_2250
ko:K02954	lms:LMLG_2253
ko:K03816	lms:LMLG_2256
ko:K01299	lms:LMLG_2257
ko:K07444	lms:LMLG_2258
ko:K05366	lms:LMLG_2264
ko:K10773	lms:LMLG_2266
ko:K01893	lms:LMLG_2268
ko:K00812	lms:LMLG_2995
ko:K01579	lms:LMLG_2273
ko:K01918	lms:LMLG_2274
ko:K00606	lms:LMLG_2275
ko:K03524	lms:LMLG_2278
ko:K01734	lms:LMLG_2280
