ko:K19744	pnc:NCGM2_5052
ko:K03704	pnc:NCGM2_4392
ko:K03724	pnc:NCGM2_4398
ko:K09771	pnc:NCGM2_4401
ko:K09929	pnc:NCGM2_4408
ko:K09930	pnc:NCGM2_4409
ko:K03088	pnc:NCGM2_4413
ko:K02503	pnc:NCGM2_4422
ko:K03578	pnc:NCGM2_4424
ko:K03580	pnc:NCGM2_4437
ko:K03760	pnc:NCGM2_4440
ko:K02044	pnc:NCGM2_4443
ko:K02041	pnc:NCGM2_4444
ko:K02042	pnc:NCGM2_4445
ko:K02042	pnc:NCGM2_4446
ko:K01845	pnc:NCGM2_5289
ko:K09956	pnc:NCGM2_5291
ko:K08159	pnc:NCGM2_5314
ko:K06966	pnc:NCGM2_5316
ko:K02508	pnc:NCGM2_5321
ko:K05921	pnc:NCGM2_5322
ko:K05921	pnc:NCGM2_5323
ko:K00455	pnc:NCGM2_5325
ko:K02509	pnc:NCGM2_5328
ko:K00381	pnc:NCGM2_5331
ko:K00404	pnc:NCGM2_5334
ko:K07552	pnc:NCGM2_5338
ko:K01866	pnc:NCGM2_5340
ko:K01620	pnc:NCGM2_6186
ko:K00600	pnc:NCGM2_6188
ko:K00303	pnc:NCGM2_6189
ko:K00305	pnc:NCGM2_6192
ko:K01433	pnc:NCGM2_6193
ko:K01792	pnc:NCGM2_6195
ko:K09950	pnc:NCGM2_6196
ko:K01589	pnc:NCGM2_6198
ko:K01588	pnc:NCGM2_6199
ko:K01744	pnc:NCGM2_6203
ko:K07112	pnc:NCGM2_6205
ko:K00375	pnc:NCGM2_6206
ko:K03835	pnc:NCGM2_6209
ko:K01960	pnc:NCGM2_6210
ko:K00036	pnc:NCGM2_6215
ko:K08303	pnc:NCGM2_6216
ko:K03657	pnc:NCGM2_6220
ko:K12995	pnc:NCGM2_6224
ko:K01711	pnc:NCGM2_6230
ko:K03187	pnc:NCGM2_0634
ko:K07644	pnc:NCGM2_0640
ko:K03594	pnc:NCGM2_0646
ko:K07290	pnc:NCGM2_0647
ko:K04064	pnc:NCGM2_0650
ko:K04046	pnc:NCGM2_0653
ko:K01428	pnc:NCGM2_0659
ko:K01429	pnc:NCGM2_0660
ko:K03823	pnc:NCGM2_0661
ko:K01430	pnc:NCGM2_0662
ko:K03190	pnc:NCGM2_0663
ko:K01945	pnc:NCGM2_0673
ko:K00602	pnc:NCGM2_0674
ko:K03557	pnc:NCGM2_0675
ko:K02687	pnc:NCGM2_0678
ko:K01961	pnc:NCGM2_0680
ko:K02160	pnc:NCGM2_0681
ko:K03786	pnc:NCGM2_0682
ko:K04084	pnc:NCGM2_0683
ko:K07044	pnc:NCGM2_1603
ko:K13788	pnc:NCGM2_1608
ko:K00925	pnc:NCGM2_1609
ko:K03775	pnc:NCGM2_1611
ko:K09922	pnc:NCGM2_2467
ko:K06940	pnc:NCGM2_2469
ko:K01647	pnc:NCGM2_2471
