ko:K11707	ctq:G11222_00355
ko:K06137	ctq:G11222_03225
ko:K13941	ctq:G11222_03240
ko:K01633	ctq:G11222_03245
ko:K03086	ctq:G11222_03250
ko:K02968	ctq:G11222_03260
ko:K03980	ctq:G11222_03295
ko:K01151	ctq:G11222_03300
ko:K02986	ctq:G11222_03310
ko:K07146	ctq:G11222_03315
ko:K13789	ctq:G11222_03320
ko:K01698	ctq:G11222_03350
ko:K00346	ctq:G11222_03355
ko:K07462	ctq:G11222_02330
ko:K12257	ctq:G11222_02340
ko:K00806	ctq:G11222_02350
ko:K00981	ctq:G11222_02360
ko:K00945	ctq:G11222_02365
ko:K00655	ctq:G11222_02370
ko:K01887	ctq:G11222_02375
ko:K00790	ctq:G11222_02380
ko:K02836	ctq:G11222_02400
ko:K00991	ctq:G11222_02415
ko:K06173	ctq:G11222_02420
ko:K07710	ctq:G11222_02440
ko:K03584	ctq:G11222_02455
ko:K08998	ctq:G11222_02480
ko:K01890	ctq:G11222_02490
ko:K02034	ctq:G11222_02505
ko:K01772	ctq:G11222_02555
ko:K01972	ctq:G11222_00755
ko:K02913	ctq:G11222_00775
ko:K09808	ctq:G11222_00780
ko:K03720	ctq:G11222_00860
ko:K01696	ctq:G11222_00870
ko:K01695	ctq:G11222_00875
ko:K03611	ctq:G11222_00905
ko:K00979	ctq:G11222_00935
ko:K01937	ctq:G11222_00940
ko:K07447	ctq:G11222_00945
ko:K00036	ctq:G11222_00950
ko:K01057	ctq:G11222_00955
ko:K02343	ctq:G11222_00960
ko:K00943	ctq:G11222_00965
ko:K02469	ctq:G11222_00970
ko:K02470	ctq:G11222_00975
ko:K00773	ctq:G11222_00990
ko:K06213	ctq:G11222_00995
ko:K03581	ctq:G11222_00175
ko:K01494	ctq:G11222_00205
ko:K03551	ctq:G11222_00215
ko:K01255	ctq:G11222_00240
ko:K02340	ctq:G11222_00250
ko:K07056	ctq:G11222_00255
ko:K00164	ctq:G11222_00285
ko:K00658	ctq:G11222_00290
ko:K05810	ctq:G11222_00295
ko:K03526	ctq:G11222_00300
ko:K02400	ctq:G11222_00315
ko:K02405	ctq:G11222_00320
ko:K01866	ctq:G11222_00325
ko:K03596	ctq:G11222_00335
ko:K03301	ctq:G11222_00340
ko:K00099	ctq:G11222_00375
ko:K03629	ctq:G11222_00390
ko:K02338	ctq:G11222_00395
ko:K03664	ctq:G11222_00400
ko:K03734	ctq:G11222_00405
ko:K01491	ctq:G11222_00410
ko:K01903	ctq:G11222_04395
ko:K01902	ctq:G11222_04400
ko:K09760	ctq:G11222_04415
ko:K03439	ctq:G11222_04435
ko:K00075	ctq:G11222_04445
ko:K03625	ctq:G11222_04455
ko:K02520	ctq:G11222_04460
ko:K02916	ctq:G11222_04465
ko:K02887	ctq:G11222_04470
ko:K01889	ctq:G11222_04475
ko:K11720	ctq:G11222_04490
ko:K07091	ctq:G11222_04495
ko:K04075	ctq:G11222_04500
ko:K03798	ctq:G11222_04505
ko:K00962	ctq:G11222_04510
ko:K02956	ctq:G11222_04515
ko:K01265	ctq:G11222_04565
ko:K03321	ctq:G11222_04590
ko:K03527	ctq:G11222_04605
ko:K03582	ctq:G11222_03380
ko:K03583	ctq:G11222_03385
ko:K03168	ctq:G11222_03405
ko:K02221	ctq:G11222_03415
ko:K03581	ctq:G11222_03455
ko:K06861	ctq:G11222_03465
ko:K01627	ctq:G11222_03475
ko:K06180	ctq:G11222_03495
ko:K06960	ctq:G11222_03500
ko:K02469	ctq:G11222_03505
ko:K02470	ctq:G11222_03510
ko:K02492	ctq:G11222_03515
ko:K03224	ctq:G11222_03550
ko:K02417	ctq:G11222_03565
ko:K03219	ctq:G11222_03575
ko:K02838	ctq:G11222_03595
ko:K09903	ctq:G11222_03600
ko:K02357	ctq:G11222_03605
ko:K02967	ctq:G11222_03610
ko:K07099	ctq:G11222_02570
ko:K00975	ctq:G11222_02575
ko:K03628	ctq:G11222_02585
ko:K00859	ctq:G11222_02590
ko:K03301	ctq:G11222_02605
ko:K00995	ctq:G11222_02610
ko:K03495	ctq:G11222_02630
ko:K03800	ctq:G11222_02635
ko:K00940	ctq:G11222_02640
ko:K03550	ctq:G11222_02645
ko:K01159	ctq:G11222_02650
ko:K00134	ctq:G11222_02665
ko:K02879	ctq:G11222_02670
ko:K03040	ctq:G11222_02675
ko:K02948	ctq:G11222_02680
ko:K02952	ctq:G11222_02685
ko:K03076	ctq:G11222_02690
ko:K02876	ctq:G11222_02695
ko:K02988	ctq:G11222_02700
ko:K02881	ctq:G11222_02705
ko:K02933	ctq:G11222_02710
ko:K02994	ctq:G11222_02715
ko:K02931	ctq:G11222_02720
ko:K02895	ctq:G11222_02725
ko:K02874	ctq:G11222_02730
ko:K02961	ctq:G11222_02735
ko:K02904	ctq:G11222_02740
ko:K02878	ctq:G11222_02745
ko:K02982	ctq:G11222_02750
ko:K02890	ctq:G11222_02755
ko:K02965	ctq:G11222_02760
ko:K02886	ctq:G11222_02765
ko:K02892	ctq:G11222_02770
ko:K02926	ctq:G11222_02775
ko:K02906	ctq:G11222_02780
ko:K00604	ctq:G11222_02790
ko:K00677	ctq:G11222_02795
ko:K02372	ctq:G11222_02800
ko:K02535	ctq:G11222_02805
ko:K03820	ctq:G11222_02810
ko:K00794	ctq:G11222_03895
ko:K03310	ctq:G11222_03910
ko:K03466	ctq:G11222_03930
ko:K00351	ctq:G11222_03940
ko:K03210	ctq:G11222_03945
ko:K00231	ctq:G11222_03965
ko:K01599	ctq:G11222_03975
ko:K03723	ctq:G11222_03980
ko:K01872	ctq:G11222_03985
ko:K00615	ctq:G11222_03995
ko:K01241	ctq:G11222_04000
ko:K02356	ctq:G11222_04010
ko:K01929	ctq:G11222_04030
ko:K01000	ctq:G11222_04035
ko:K01925	ctq:G11222_04040
ko:K03588	ctq:G11222_04050
ko:K02563	ctq:G11222_04055
ko:K06960	ctq:G11222_04065
ko:K00791	ctq:G11222_04080
ko:K09710	ctq:G11222_04095
ko:K09458	ctq:G11222_04100
ko:K00263	ctq:G11222_04120
ko:K02970	ctq:G11222_01765
ko:K01338	ctq:G11222_01775
ko:K03733	ctq:G11222_01790
ko:K06287	ctq:G11222_01800
ko:K03075	ctq:G11222_01815
ko:K01462	ctq:G11222_01820
ko:K02528	ctq:G11222_01825
ko:K06888	ctq:G11222_01835
ko:K03523	ctq:G11222_01855
ko:K01714	ctq:G11222_01870
ko:K00928	ctq:G11222_01875
ko:K00133	ctq:G11222_01880
ko:K00215	ctq:G11222_01885
ko:K00800	ctq:G11222_01895
ko:K00891	ctq:G11222_01900
ko:K01736	ctq:G11222_01905
ko:K01735	ctq:G11222_01910
ko:K13832	ctq:G11222_01915
ko:K03758	ctq:G11222_01935
ko:K00024	ctq:G11222_01945
ko:K01810	ctq:G11222_01950
ko:K03665	ctq:G11222_01955
ko:K06167	ctq:G11222_01960
ko:K09996	ctq:G11222_01965
ko:K03705	ctq:G11222_02035
ko:K03687	ctq:G11222_02040
ko:K04043	ctq:G11222_02045
ko:K12573	ctq:G11222_02050
ko:K07164	ctq:G11222_02055
ko:K06041	ctq:G11222_02060
ko:K00658	ctq:G11222_02065
ko:K00912	ctq:G11222_02080
ko:K03437	ctq:G11222_02085
ko:K06969	ctq:G11222_02090
ko:K00793	ctq:G11222_02095
ko:K07738	ctq:G11222_02100
ko:K06204	ctq:G11222_02105
ko:K03101	ctq:G11222_02110
ko:K03310	ctq:G11222_02115
ko:K00748	ctq:G11222_02125
ko:K09817	ctq:G11222_02150
ko:K09816	ctq:G11222_02155
ko:K03979	ctq:G11222_02160
ko:K02899	ctq:G11222_02165
ko:K02888	ctq:G11222_02170
ko:K07042	ctq:G11222_02190
ko:K03183	ctq:G11222_02220
ko:K01778	ctq:G11222_02230
ko:K01358	ctq:G11222_02235
ko:K00600	ctq:G11222_02240
ko:K01770	ctq:G11222_02255
ko:K02946	ctq:G11222_02265
ko:K02355	ctq:G11222_02270
ko:K02992	ctq:G11222_02275
ko:K02950	ctq:G11222_02280
ko:K03797	ctq:G11222_02290
ko:K06966	ctq:G11222_02000
ko:K09131	ctq:G11222_02005
ko:K10206	ctq:G11222_02015
ko:K01881	ctq:G11222_02030
ko:K15580	ctq:G11222_01015
ko:K15581	ctq:G11222_01020
ko:K03319	ctq:G11222_01045
ko:K02527	ctq:G11222_01065
ko:K01869	ctq:G11222_01070
ko:K01845	ctq:G11222_01075
ko:K07735	ctq:G11222_01080
ko:K08999	ctq:G11222_01085
ko:K01807	ctq:G11222_01090
ko:K03787	ctq:G11222_01115
ko:K03179	ctq:G11222_01120
ko:K03186	ctq:G11222_01125
ko:K03308	ctq:G11222_01185
ko:K02078	ctq:G11222_01210
ko:K00645	ctq:G11222_01220
ko:K00648	ctq:G11222_01225
ko:K06187	ctq:G11222_01230
ko:K07277	ctq:G11222_01235
ko:K06142	ctq:G11222_01240
ko:K02536	ctq:G11222_01245
ko:K02902	ctq:G11222_00445
ko:K04058	ctq:G11222_00465
ko:K03230	ctq:G11222_00470
ko:K03229	ctq:G11222_00475
ko:K06942	ctq:G11222_00480
ko:K11753	ctq:G11222_00485
ko:K02834	ctq:G11222_00495
ko:K02519	ctq:G11222_00500
ko:K02600	ctq:G11222_00505
ko:K02945	ctq:G11222_00510
ko:K00384	ctq:G11222_00515
ko:K00997	ctq:G11222_00520
ko:K00208	ctq:G11222_00545
ko:K03575	ctq:G11222_00560
ko:K04077	ctq:G11222_00575
ko:K04078	ctq:G11222_00580
ko:K08602	ctq:G11222_00585
ko:K03695	ctq:G11222_00590
ko:K01783	ctq:G11222_00630
ko:K02356	ctq:G11222_00635
ko:K02160	ctq:G11222_00640
ko:K01961	ctq:G11222_00645
ko:K02871	ctq:G11222_00650
ko:K02996	ctq:G11222_00655
ko:K02029	ctq:G11222_00670
ko:K09013	ctq:G11222_03650
ko:K09015	ctq:G11222_03655
ko:K11717	ctq:G11222_03660
ko:K07220	ctq:G11222_03680
ko:K03306	ctq:G11222_03685
ko:K00927	ctq:G11222_03690
ko:K10773	ctq:G11222_03710
ko:K03650	ctq:G11222_03715
ko:K01613	ctq:G11222_03720
ko:K03070	ctq:G11222_03730
ko:K03977	ctq:G11222_03740
ko:K03544	ctq:G11222_03750
ko:K01358	ctq:G11222_03755
ko:K03545	ctq:G11222_03760
ko:K03569	ctq:G11222_03775
ko:K00057	ctq:G11222_03800
ko:K02412	ctq:G11222_03815
ko:K02411	ctq:G11222_03820
ko:K06999	ctq:G11222_00705
ko:K07566	ctq:G11222_00710
ko:K09125	ctq:G11222_00725
ko:K07039	ctq:G11222_00730
ko:K07058	ctq:G11222_00685
ko:K13819	ctq:G11222_03830
ko:K04487	ctq:G11222_03835
ko:K06178	ctq:G11222_03850
ko:K03524	ctq:G11222_03860
ko:K05837	ctq:G11222_03865
ko:K01875	ctq:G11222_03880
ko:K11752	ctq:G11222_03885
ko:K14652	ctq:G11222_03890
ko:K02409	ctq:G11222_03825
ko:K06925	ctq:G11222_02825
ko:K03671	ctq:G11222_02835
ko:K03216	ctq:G11222_02840
ko:K01876	ctq:G11222_02850
ko:K01892	ctq:G11222_02855
ko:K07783	ctq:G11222_02860
ko:K02337	ctq:G11222_02865
ko:K03311	ctq:G11222_02920
ko:K00382	ctq:G11222_02935
ko:K03644	ctq:G11222_02940
ko:K03222	ctq:G11222_02945
ko:K03223	ctq:G11222_02960
ko:K03226	ctq:G11222_02965
ko:K03228	ctq:G11222_02975
ko:K02455	ctq:G11222_03005
ko:K02453	ctq:G11222_03015
ko:K03572	ctq:G11222_03030
ko:K01868	ctq:G11222_03065
ko:K01867	ctq:G11222_03085
ko:K03702	ctq:G11222_03090
ko:K00161	ctq:G11222_01255
ko:K00162	ctq:G11222_01260
ko:K00627	ctq:G11222_01265
ko:K00688	ctq:G11222_01270
ko:K02313	ctq:G11222_01280
ko:K03217	ctq:G11222_01285
ko:K04487	ctq:G11222_01320
ko:K07083	ctq:G11222_01345
ko:K01962	ctq:G11222_01360
ko:K01448	ctq:G11222_01375
ko:K01928	ctq:G11222_01380
ko:K03587	ctq:G11222_01385
ko:K03438	ctq:G11222_01395
ko:K02313	ctq:G11222_01410
ko:K00347	ctq:G11222_01425
ko:K00348	ctq:G11222_01430
ko:K00349	ctq:G11222_01435
ko:K00350	ctq:G11222_01440
ko:K02437	ctq:G11222_01445
ko:K03800	ctq:G11222_01460
ko:K03696	ctq:G11222_01465
ko:K00566	ctq:G11222_01470
ko:K01963	ctq:G11222_01505
ko:K04564	ctq:G11222_01510
ko:K03685	ctq:G11222_01525
ko:K04485	ctq:G11222_01530
ko:K01749	ctq:G11222_01535
ko:K01873	ctq:G11222_01545
ko:K03046	ctq:G11222_01605
ko:K03043	ctq:G11222_01610
ko:K02935	ctq:G11222_01615
ko:K02864	ctq:G11222_01620
ko:K02863	ctq:G11222_01625
ko:K02867	ctq:G11222_01630
ko:K02601	ctq:G11222_01635
ko:K03073	ctq:G11222_01640
ko:K02358	ctq:G11222_01645
ko:K02518	ctq:G11222_01650
ko:K01803	ctq:G11222_01685
ko:K03601	ctq:G11222_01690
ko:K03602	ctq:G11222_01695
ko:K01662	ctq:G11222_01705
ko:K00873	ctq:G11222_01710
ko:K03701	ctq:G11222_01715
ko:K02343	ctq:G11222_01720
ko:K09747	ctq:G11222_01725
ko:K11381	ctq:G11222_01755
ko:K03686	ctq:G11222_01760
ko:K03162	ctq:G11222_03620
ko:K02433	ctq:G11222_00020
ko:K03471	ctq:G11222_00045
ko:K01082	ctq:G11222_04125
ko:K01909	ctq:G11222_04135
ko:K00652	ctq:G11222_04140
ko:K01408	ctq:G11222_04305
ko:K02342	ctq:G11222_02820
ko:K07258	ctq:G11222_02895
ko:K03227	ctq:G11222_02970
ko:K02454	ctq:G11222_03010
ko:K01262	ctq:G11222_03025
ko:K01409	ctq:G11222_01010
ko:K15582	ctq:G11222_01025
ko:K06889	ctq:G11222_01055
ko:K00059	ctq:G11222_01215
ko:K00970	ctq:G11222_02120
ko:K09815	ctq:G11222_02145
ko:K01719	ctq:G11222_02250
ko:K00380	ctq:G11222_02260
ko:K07315	ctq:G11222_03100
ko:K00241	ctq:G11222_03130
ko:K00241	ctq:G11222_03135
ko:K03386	ctq:G11222_03185
ko:K02428	ctq:G11222_03200
ko:K06910	ctq:G11222_03915
ko:K07117	ctq:G11222_03920
ko:K01507	ctq:G11222_04110
ko:K00033	ctq:G11222_00330
ko:K01679	ctq:G11222_04585
ko:K04763	ctq:G11222_04635
ko:K00700	ctq:G11222_04645
ko:K01885	ctq:G11222_02320
ko:K07098	ctq:G11222_02410
ko:K00567	ctq:G11222_02500
ko:K02033	ctq:G11222_02510
ko:K02035	ctq:G11222_02515
ko:K02030	ctq:G11222_02560
ko:K07052	ctq:G11222_01300
ko:K02342	ctq:G11222_01340
ko:K02806	ctq:G11222_01490
ko:K02806	ctq:G11222_01495
ko:K03177	ctq:G11222_00490
ko:K06179	ctq:G11222_00555
ko:K00939	ctq:G11222_00665
ko:K02035	ctq:G11222_00720
ko:K00813	ctq:G11222_03370
ko:K01934	ctq:G11222_03435
ko:K02124	ctq:G11222_01555
ko:K02123	ctq:G11222_01560
ko:K02120	ctq:G11222_01565
ko:K02118	ctq:G11222_01570
ko:K02117	ctq:G11222_01575
ko:K02121	ctq:G11222_01585
ko:K00616	ctq:G11222_01600
ko:K08483	ctq:G11222_01730
ko:K11189	ctq:G11222_01735
ko:K06889	ctq:G11222_00770
ko:K02035	ctq:G11222_00900
ko:K02049	ctq:G11222_00925
ko:K00784	ctq:G11222_01785
ko:K03856	ctq:G11222_01970
ko:K00970	ctq:G11222_03745
ko:K01596	ctq:G11222_03780
ko:K00972	ctq:G11222_03805
ko:K14232	ctq:G11222_t04704
ko:K14233	ctq:G11222_t04730
ko:K14228	ctq:G11222_t04774
ko:K01840	ctq:G11222_01515
ko:K11645	ctq:G11222_01100
ko:K15583	ctq:G11222_01035
ko:K14221	ctq:G11222_t04718
ko:K00850	ctq:G11222_01050
ko:K10823	ctq:G11222_01030
ko:K14223	ctq:G11222_t04768
ko:K01834	ctq:G11222_03840
ko:K14226	ctq:G11222_t04764
ko:K07714	ctq:G11222_02445
ko:K00895	ctq:G11222_01060
ko:K01985	ctq:G11222_r04776
ko:K01985	ctq:G11222_r04778
ko:K11709	ctq:G11222_00370
ko:K11708	ctq:G11222_00365
ko:K11710	ctq:G11222_00360
ko:K14233	ctq:G11222_t04772
ko:K03559	ctq:G11222_03155
ko:K14219	ctq:G11222_t04752
ko:K14227	ctq:G11222_t04710
ko:K09810	ctq:G11222_00785
ko:K14234	ctq:G11222_t04706
ko:K02028	ctq:G11222_00675
ko:K14222	ctq:G11222_t04766
ko:K14220	ctq:G11222_t04702
ko:K01980	ctq:G11222_r04784
ko:K01980	ctq:G11222_r04786
ko:K17103	ctq:G11222_04420
ko:K01977	ctq:G11222_r04780
ko:K01977	ctq:G11222_r04782
ko:K14233	ctq:G11222_t04728
ko:K14228	ctq:G11222_t04734
ko:K04084	ctq:G11222_03145
ko:K14236	ctq:G11222_t04708
ko:K14218	ctq:G11222_t04750
ko:K14230	ctq:G11222_t04714
ko:K14230	ctq:G11222_t04726
ko:K14235	ctq:G11222_t04722
ko:K14233	ctq:G11222_t04740
ko:K14231	ctq:G11222_t04732
ko:K14228	ctq:G11222_t04742
ko:K14228	ctq:G11222_t04744
ko:K14219	ctq:G11222_t04736
ko:K14232	ctq:G11222_t04748
ko:K14229	ctq:G11222_t04756
ko:K14224	ctq:G11222_t04758
ko:K14218	ctq:G11222_t04712
ko:K14219	ctq:G11222_t04746
ko:K14234	ctq:G11222_t04754
ko:K14225	ctq:G11222_t04760
ko:K14228	ctq:G11222_t04738
ko:K14237	ctq:G11222_t04720
ko:K14230	ctq:G11222_t04716
ko:K14234	ctq:G11222_t04724
ko:K14225	ctq:G11222_t04762
ko:K14237	ctq:G11222_t04770
ko:K06972	ctq:G11222_04410
ko:K08719	ctq:G11222_03795
ko:K07081	ctq:G11222_02215
ko:K08275	ctq:G11222_00420
ko:K01802	ctq:G11222_02845
ko:K01921	ctq:G11222_04060
ko:K01924	ctq:G11222_04060
ko:K01829	ctq:G11222_04155
ko:K01829	ctq:G11222_04175
ko:K03309	ctq:G11222_02075
ko:K07033	ctq:G11222_03645
ko:K01214	ctq:G11222_00225
ko:K03825	ctq:G11222_02395
ko:K03496	ctq:G11222_03070
ko:K03497	ctq:G11222_03665
ko:K03111	ctq:G11222_00235
ko:K02626	ctq:G11222_01930
ko:K11991	ctq:G11222_04520
ko:K02031	ctq:G11222_03675
ko:K04771	ctq:G11222_04405
ko:K19411	ctq:G11222_03585
ko:K19405	ctq:G11222_03580
ko:K07125	ctq:G11222_01660
ko:K12132	ctq:G11222_01540
ko:K20265	ctq:G11222_01105
ko:K20074	ctq:G11222_01325
ko:K11749	ctq:G11222_00380
ko:K22100	ctq:G11222_01680
ko:K22099	ctq:G11222_03230
ko:K00526	ctq:G11222_04430
ko:K02335	ctq:G11222_02595
ko:K02314	ctq:G11222_02625
ko:K00287	ctq:G11222_03235
ko:K03553	ctq:G11222_03445
ko:K02316	ctq:G11222_04230
ko:K01520	ctq:G11222_01500
ko:K02032	ctq:G11222_03670
ko:K00525	ctq:G11222_04425
ko:K02050	ctq:G11222_04580
ko:K02051	ctq:G11222_04580
ko:K01534	ctq:G11222_03870
ko:K16239	ctq:G11222_00440
