ko:K18929	cjei:N135_00076
ko:K01338	cjei:N135_01110
ko:K05807	cjei:N135_01111
ko:K13626	cjei:N135_01112
ko:K00286	cjei:N135_01113
ko:K00788	cjei:N135_01118
ko:K00941	cjei:N135_01119
ko:K06923	cjei:N135_01121
ko:K03723	cjei:N135_01122
ko:K11754	cjei:N135_01125
ko:K01869	cjei:N135_01128
ko:K03074	cjei:N135_01129
ko:K03072	cjei:N135_01130
ko:K03210	cjei:N135_01131
ko:K03820	cjei:N135_01132
ko:K00789	cjei:N135_01133
ko:K07862	cjei:N135_01134
ko:K00609	cjei:N135_01135
ko:K08602	cjei:N135_01136
ko:K03657	cjei:N135_01138
ko:K03563	cjei:N135_01140
ko:K00919	cjei:N135_01141
ko:K03664	cjei:N135_01142
ko:K06891	cjei:N135_01144
ko:K03694	cjei:N135_01145
ko:K00684	cjei:N135_01146
ko:K17103	cjei:N135_01151
ko:K01613	cjei:N135_01152
ko:K03798	cjei:N135_01153
ko:K02687	cjei:N135_01154
ko:K03413	cjei:N135_01155
ko:K07501	cjei:N135_01169
ko:K02841	cjei:N135_01170
ko:K02517	cjei:N135_01171
ko:K03271	cjei:N135_01185
ko:K03272	cjei:N135_01186
ko:K03274	cjei:N135_01187
ko:K03273	cjei:N135_01188
ko:K03628	cjei:N135_01192
ko:K02343	cjei:N135_01193
ko:K00316	cjei:N135_01194
ko:K16264	cjei:N135_01197
ko:K11743	cjei:N135_01207
ko:K11742	cjei:N135_01208
ko:K01887	cjei:N135_01209
ko:K03116	cjei:N135_01210
ko:K00942	cjei:N135_01211
ko:K02421	cjei:N135_01213
ko:K02003	cjei:N135_01214
ko:K02357	cjei:N135_01215
ko:K02967	cjei:N135_01216
ko:K00574	cjei:N135_01217
ko:K00413	cjei:N135_01218
ko:K00412	cjei:N135_01219
ko:K00411	cjei:N135_01220
ko:K03893	cjei:N135_01221
ko:K03495	cjei:N135_01222
ko:K11103	cjei:N135_01226
ko:K03306	cjei:N135_01228
ko:K01465	cjei:N135_01229
ko:K00057	cjei:N135_01230
ko:K02434	cjei:N135_01231
ko:K07173	cjei:N135_01232
ko:K00549	cjei:N135_01235
ko:K00297	cjei:N135_01236
ko:K02108	cjei:N135_01237
ko:K04485	cjei:N135_01238
ko:K03110	cjei:N135_01239
ko:K07058	cjei:N135_01244
ko:K05810	cjei:N135_01249
ko:K01980	cjei:N135_00033
ko:K01980	cjei:N135_00796
ko:K01980	cjei:N135_00478
ko:K14219	cjei:N135_01047
ko:K17686	cjei:N135_01191
ko:K00793	cjei:N135_01250
ko:K04078	cjei:N135_01252
ko:K04077	cjei:N135_01253
ko:K05516	cjei:N135_01262
ko:K01091	cjei:N135_01266
ko:K01879	cjei:N135_01267
ko:K01524	cjei:N135_01270
ko:K03474	cjei:N135_01271
ko:K00097	cjei:N135_01272
ko:K01599	cjei:N135_01276
ko:K03703	cjei:N135_01279
ko:K01951	cjei:N135_01281
ko:K01945	cjei:N135_01283
ko:K04744	cjei:N135_01285
ko:K00962	cjei:N135_01286
ko:K01821	cjei:N135_01288
ko:K03686	cjei:N135_01293
ko:K06187	cjei:N135_01296
ko:K03620	cjei:N135_01298
ko:K01448	cjei:N135_01302
ko:K00459	cjei:N135_01303
ko:K01866	cjei:N135_01304
ko:K03060	cjei:N135_01306
ko:K09903	cjei:N135_01307
ko:K09811	cjei:N135_01309
ko:K09812	cjei:N135_01310
ko:K03439	cjei:N135_01311
ko:K06180	cjei:N135_01313
ko:K05837	cjei:N135_01314
ko:K01173	cjei:N135_01338
ko:K00761	cjei:N135_01374
ko:K00029	cjei:N135_01375
ko:K01961	cjei:N135_01378
ko:K02160	cjei:N135_01379
ko:K01494	cjei:N135_01380
ko:K15894	cjei:N135_01381
ko:K15895	cjei:N135_01382
ko:K00648	cjei:N135_01391
ko:K02500	cjei:N135_01403
ko:K02501	cjei:N135_01404
ko:K02406	cjei:N135_01425
ko:K02406	cjei:N135_01426
ko:K02456	cjei:N135_01431
ko:K00099	cjei:N135_01434
ko:K00981	cjei:N135_01435
ko:K03752	cjei:N135_01438
ko:K01058	cjei:N135_01439
ko:K02015	cjei:N135_01440
ko:K02015	cjei:N135_01441
ko:K02013	cjei:N135_01442
ko:K02016	cjei:N135_01443
ko:K03385	cjei:N135_01446
ko:K15876	cjei:N135_01447
ko:K00937	cjei:N135_01448
ko:K03407	cjei:N135_01449
ko:K03551	cjei:N135_01450
ko:K00820	cjei:N135_01454
ko:K00990	cjei:N135_01455
ko:K06901	cjei:N135_01457
ko:K04754	cjei:N135_01459
ko:K07323	cjei:N135_01460
ko:K01042	cjei:N135_01466
ko:K03833	cjei:N135_01467
ko:K03981	cjei:N135_01468
ko:K03839	cjei:N135_01470
ko:K03781	cjei:N135_01473
ko:K01756	cjei:N135_01482
ko:K04758	cjei:N135_01485
ko:K00208	cjei:N135_01489
ko:K01803	cjei:N135_01490
ko:K00927	cjei:N135_01491
ko:K00134	cjei:N135_01492
ko:K00969	cjei:N135_01493
ko:K09710	cjei:N135_01494
ko:K15778	cjei:N135_01496
ko:K02415	cjei:N135_01497
ko:K00997	cjei:N135_01498
ko:K07265	cjei:N135_01502
ko:K07266	cjei:N135_01503
ko:K05685	cjei:N135_00659
ko:K13888	cjei:N135_00658
ko:K09795	cjei:N135_00662
ko:K02217	cjei:N135_00664
ko:K02040	cjei:N135_00665
ko:K02037	cjei:N135_00666
ko:K02038	cjei:N135_00667
ko:K02036	cjei:N135_00668
ko:K07043	cjei:N135_00672
ko:K04656	cjei:N135_00674
ko:K04653	cjei:N135_00676
ko:K04654	cjei:N135_00677
ko:K04651	cjei:N135_00679
ko:K02340	cjei:N135_00682
ko:K12573	cjei:N135_00683
ko:K00053	cjei:N135_00684
ko:K09798	cjei:N135_00685
ko:K04096	cjei:N135_00686
ko:K07568	cjei:N135_00628
ko:K03118	cjei:N135_00629
ko:K03117	cjei:N135_00630
ko:K08311	cjei:N135_00632
ko:K00928	cjei:N135_00633
ko:K02341	cjei:N135_00635
ko:K02536	cjei:N135_00627
ko:K01972	cjei:N135_00637
ko:K06442	cjei:N135_00639
ko:K11753	cjei:N135_00640
ko:K15256	cjei:N135_00641
ko:K01173	cjei:N135_00645
ko:K10773	cjei:N135_00646
ko:K01624	cjei:N135_00648
ko:K02557	cjei:N135_00650
ko:K00796	cjei:N135_00636
ko:K03308	cjei:N135_00652
ko:K04084	cjei:N135_00654
ko:K07447	cjei:N135_00687
ko:K01876	cjei:N135_00692
ko:K00858	cjei:N135_00693
ko:K03631	cjei:N135_00694
ko:K03424	cjei:N135_00696
ko:K08307	cjei:N135_00697
ko:K03642	cjei:N135_00698
ko:K03270	cjei:N135_00699
ko:K02601	cjei:N135_00525
ko:K02867	cjei:N135_00526
ko:K02863	cjei:N135_00527
ko:K02864	cjei:N135_00528
ko:K02935	cjei:N135_00529
ko:K03043	cjei:N135_00530
ko:K01714	cjei:N135_00533
ko:K16849	cjei:N135_00534
ko:K16850	cjei:N135_00535
ko:K02429	cjei:N135_00538
ko:K03534	cjei:N135_00540
ko:K07248	cjei:N135_00541
ko:K02950	cjei:N135_00542
ko:K02992	cjei:N135_00543
ko:K02355	cjei:N135_00544
ko:K06940	cjei:N135_00547
ko:K01609	cjei:N135_00549
ko:K06917	cjei:N135_00551
ko:K01772	cjei:N135_00553
ko:K13017	cjei:N135_00555
ko:K01872	cjei:N135_00556
ko:K06287	cjei:N135_00557
ko:K03695	cjei:N135_00559
ko:K01627	cjei:N135_00428
ko:K03977	cjei:N135_00430
ko:K00891	cjei:N135_00431
ko:K01867	cjei:N135_00432
ko:K01875	cjei:N135_00433
ko:K00873	cjei:N135_00436
ko:K00116	cjei:N135_00437
ko:K03525	cjei:N135_00438
ko:K02435	cjei:N135_00442
ko:K03558	cjei:N135_00443
ko:K04567	cjei:N135_00445
ko:K00600	cjei:N135_00446
ko:K03749	cjei:N135_00448
ko:K00014	cjei:N135_00449
ko:K13292	cjei:N135_00451
ko:K00794	cjei:N135_00427
ko:K00246	cjei:N135_00452
ko:K06152	cjei:N135_00458
ko:K06151	cjei:N135_00459
ko:K01925	cjei:N135_00480
ko:K01000	cjei:N135_00481
ko:K15633	cjei:N135_00482
ko:K00239	cjei:N135_00485
ko:K00240	cjei:N135_00486
ko:K03707	cjei:N135_00488
ko:K02078	cjei:N135_00489
ko:K09458	cjei:N135_00490
ko:K01962	cjei:N135_00491
ko:K01923	cjei:N135_00562
ko:K01952	cjei:N135_00563
ko:K01952	cjei:N135_00564
ko:K00655	cjei:N135_00566
ko:K06199	cjei:N135_00567
ko:K04079	cjei:N135_00568
ko:K03797	cjei:N135_00561
ko:K03587	cjei:N135_00574
ko:K02408	cjei:N135_00575
ko:K02388	cjei:N135_00576
ko:K02387	cjei:N135_00577
ko:K09794	cjei:N135_00497
ko:K02902	cjei:N135_00498
ko:K01783	cjei:N135_00499
ko:K03147	cjei:N135_00501
ko:K09778	cjei:N135_00505
ko:K06168	cjei:N135_00506
ko:K02600	cjei:N135_00508
ko:K03655	cjei:N135_00512
ko:K06886	cjei:N135_00513
ko:K00031	cjei:N135_00580
ko:K00024	cjei:N135_00581
ko:K01903	cjei:N135_00582
ko:K01902	cjei:N135_00583
ko:K00176	cjei:N135_00584
ko:K00174	cjei:N135_00585
ko:K00175	cjei:N135_00586
ko:K00177	cjei:N135_00587
ko:K02523	cjei:N135_00590
ko:K02492	cjei:N135_00591
ko:K01881	cjei:N135_00592
ko:K01649	cjei:N135_00593
ko:K01749	cjei:N135_00594
ko:K03182	cjei:N135_00595
ko:K02029	cjei:N135_00516
ko:K02358	cjei:N135_00522
ko:K02029	cjei:N135_00515
ko:K02913	cjei:N135_00523
ko:K02407	cjei:N135_00597
ko:K02422	cjei:N135_00598
ko:K02356	cjei:N135_00600
ko:K00147	cjei:N135_00607
ko:K00384	cjei:N135_00608
ko:K14652	cjei:N135_00623
ko:K09117	cjei:N135_00624
ko:K01652	cjei:N135_00625
ko:K01653	cjei:N135_00626
ko:K00860	cjei:N135_01504
ko:K07010	cjei:N135_01506
ko:K03271	cjei:N135_01514
ko:K02377	cjei:N135_01519
ko:K01790	cjei:N135_01522
ko:K00817	cjei:N135_01529
ko:K00012	cjei:N135_01533
ko:K06041	cjei:N135_01535
ko:K10107	cjei:N135_01537
ko:K09689	cjei:N135_01538
ko:K09688	cjei:N135_01539
ko:K09979	cjei:N135_01540
ko:K04075	cjei:N135_01544
ko:K02836	cjei:N135_01546
ko:K06176	cjei:N135_01548
ko:K00946	cjei:N135_01549
ko:K02394	cjei:N135_01553
ko:K02396	cjei:N135_01557
ko:K07090	cjei:N135_01559
ko:K02455	cjei:N135_01560
ko:K03978	cjei:N135_00702
ko:K05515	cjei:N135_00704
ko:K03305	cjei:N135_00706
ko:K03667	cjei:N135_00712
ko:K01419	cjei:N135_00713
ko:K02939	cjei:N135_00714
ko:K01940	cjei:N135_00715
ko:K06925	cjei:N135_00717
ko:K06861	cjei:N135_00718
ko:K03092	cjei:N135_00719
ko:K01547	cjei:N135_00724
ko:K07646	cjei:N135_00726
ko:K03702	cjei:N135_00727
ko:K02456	cjei:N135_00730
ko:K04066	cjei:N135_00731
ko:K02393	cjei:N135_00734
ko:K13788	cjei:N135_00735
ko:K00925	cjei:N135_00736
ko:K01714	cjei:N135_01563
ko:K02453	cjei:N135_01564
ko:K03737	cjei:N135_01566
ko:K01091	cjei:N135_01567
ko:K02996	cjei:N135_01569
ko:K02871	cjei:N135_01570
ko:K03582	cjei:N135_01571
ko:K00406	cjei:N135_01577
ko:K00407	cjei:N135_01578
ko:K00405	cjei:N135_01579
ko:K00404	cjei:N135_01580
ko:K09792	cjei:N135_01584
ko:K01956	cjei:N135_01585
ko:K09804	cjei:N135_01586
ko:K01939	cjei:N135_01589
ko:K07112	cjei:N135_01591
ko:K13821	cjei:N135_01594
ko:K01008	cjei:N135_01595
ko:K02379	cjei:N135_01599
ko:K00123	cjei:N135_01602
ko:K00123	cjei:N135_01603
ko:K13747	cjei:N135_01606
ko:K03636	cjei:N135_01608
ko:K03750	cjei:N135_01610
ko:K03438	cjei:N135_00741
ko:K03770	cjei:N135_00742
ko:K03590	cjei:N135_00743
ko:K03531	cjei:N135_00744
ko:K02392	cjei:N135_00745
ko:K02392	cjei:N135_00746
ko:K01915	cjei:N135_00747
ko:K08303	cjei:N135_00749
ko:K01588	cjei:N135_00750
ko:K01878	cjei:N135_00752
ko:K07164	cjei:N135_00754
ko:K02527	cjei:N135_00755
ko:K06180	cjei:N135_00756
ko:K03106	cjei:N135_00757
ko:K02959	cjei:N135_00758
ko:K06960	cjei:N135_00759
ko:K02860	cjei:N135_00760
ko:K00554	cjei:N135_00761
ko:K02884	cjei:N135_00762
ko:K07127	cjei:N135_00763
ko:K01626	cjei:N135_00764
ko:K02337	cjei:N135_00766
ko:K06997	cjei:N135_00767
ko:K02406	cjei:N135_00768
ko:K02493	cjei:N135_00770
ko:K03831	cjei:N135_00773
ko:K03284	cjei:N135_00774
ko:K02054	cjei:N135_00778
ko:K02053	cjei:N135_00779
ko:K01933	cjei:N135_01616
ko:K00859	cjei:N135_01617
ko:K01778	cjei:N135_01618
ko:K07133	cjei:N135_01620
ko:K04047	cjei:N135_01621
ko:K01810	cjei:N135_01622
ko:K00963	cjei:N135_01623
ko:K01895	cjei:N135_01624
ko:K05773	cjei:N135_01626
ko:K05772	cjei:N135_01627
ko:K07160	cjei:N135_01628
ko:K03923	cjei:N135_01632
ko:K03098	cjei:N135_01634
ko:K13979	cjei:N135_01635
ko:K01153	cjei:N135_01636
ko:K01154	cjei:N135_01638
ko:K03427	cjei:N135_01640
ko:K07118	cjei:N135_01641
ko:K00343	cjei:N135_01649
ko:K00342	cjei:N135_01650
ko:K00341	cjei:N135_01651
ko:K00340	cjei:N135_01652
ko:K00339	cjei:N135_01653
ko:K00338	cjei:N135_01654
ko:K00337	cjei:N135_01655
ko:K00334	cjei:N135_01658
ko:K00333	cjei:N135_01659
ko:K00332	cjei:N135_01660
ko:K00331	cjei:N135_01661
ko:K00330	cjei:N135_01662
ko:K02034	cjei:N135_01665
ko:K03832	cjei:N135_00800
ko:K16089	cjei:N135_00801
ko:K03705	cjei:N135_00802
ko:K03687	cjei:N135_00803
ko:K04043	cjei:N135_00804
ko:K00812	cjei:N135_00807
ko:K00640	cjei:N135_00808
ko:K01892	cjei:N135_00810
ko:K00943	cjei:N135_00811
ko:K00954	cjei:N135_00812
ko:K03186	cjei:N135_00813
ko:K02386	cjei:N135_00814
ko:K02073	cjei:N135_00817
ko:K02072	cjei:N135_00818
ko:K02071	cjei:N135_00819
ko:K01873	cjei:N135_00820
ko:K03657	cjei:N135_00822
ko:K11065	cjei:N135_00824
ko:K02567	cjei:N135_00825
ko:K02573	cjei:N135_00826
ko:K02568	cjei:N135_00828
ko:K02570	cjei:N135_00830
ko:K01433	cjei:N135_00835
ko:K01929	cjei:N135_00840
ko:K01921	cjei:N135_00843
ko:K03550	cjei:N135_00844
ko:K03980	cjei:N135_00846
ko:K01883	cjei:N135_00847
ko:K01714	cjei:N135_00851
ko:K06159	cjei:N135_01670
ko:K02518	cjei:N135_01673
ko:K02952	cjei:N135_01674
ko:K02948	cjei:N135_01675
ko:K02986	cjei:N135_01676
ko:K03040	cjei:N135_01677
ko:K02879	cjei:N135_01678
ko:K00765	cjei:N135_01679
ko:K00013	cjei:N135_01680
ko:K01089	cjei:N135_01681
ko:K02501	cjei:N135_01682
ko:K01814	cjei:N135_01683
ko:K09805	cjei:N135_01684
ko:K02500	cjei:N135_01685
ko:K11755	cjei:N135_01686
ko:K12506	cjei:N135_01689
ko:K00958	cjei:N135_01691
ko:K01095	cjei:N135_01692
ko:K02968	cjei:N135_01693
ko:K02835	cjei:N135_01694
ko:K07226	cjei:N135_01695
ko:K02015	cjei:N135_01697
ko:K02013	cjei:N135_01698
ko:K02016	cjei:N135_01699
ko:K03575	cjei:N135_01702
ko:K11752	cjei:N135_01708
ko:K01752	cjei:N135_01710
ko:K03837	cjei:N135_01711
ko:K03561	cjei:N135_01714
ko:K03832	cjei:N135_01716
ko:K00566	cjei:N135_01719
ko:K09774	cjei:N135_00701
ko:K00912	cjei:N135_00856
ko:K01733	cjei:N135_00857
ko:K00979	cjei:N135_00858
ko:K02419	cjei:N135_00863
ko:K04042	cjei:N135_00864
ko:K13038	cjei:N135_00865
ko:K00806	cjei:N135_00867
ko:K02654	cjei:N135_00868
ko:K07091	cjei:N135_00869
ko:K06173	cjei:N135_00870
ko:K01754	cjei:N135_00871
ko:K06929	cjei:N135_00872
ko:K09943	cjei:N135_00873
ko:K01682	cjei:N135_00878
ko:K01772	cjei:N135_00880
ko:K01874	cjei:N135_00881
ko:K03841	cjei:N135_00883
ko:K03753	cjei:N135_00884
ko:K08309	cjei:N135_00886
ko:K02221	cjei:N135_00887
ko:K01613	cjei:N135_00890
ko:K04061	cjei:N135_00891
ko:K01845	cjei:N135_00896
ko:K01491	cjei:N135_00898
ko:K03100	cjei:N135_00899
ko:K03750	cjei:N135_00900
ko:K00790	cjei:N135_00901
ko:K01736	cjei:N135_01720
ko:K03685	cjei:N135_01721
ko:K01928	cjei:N135_01727
ko:K09747	cjei:N135_01728
ko:K00795	cjei:N135_01730
ko:K00615	cjei:N135_01731
ko:K02066	cjei:N135_01732
ko:K02065	cjei:N135_01733
ko:K01265	cjei:N135_01737
ko:K01776	cjei:N135_01738
ko:K03313	cjei:N135_01740
ko:K07243	cjei:N135_01743
ko:K07230	cjei:N135_01744
ko:K02003	cjei:N135_01748
ko:K01689	cjei:N135_01761
ko:K02420	cjei:N135_01764
ko:K00075	cjei:N135_01765
ko:K01647	cjei:N135_01771
ko:K01012	cjei:N135_01773
ko:K03168	cjei:N135_01774
ko:K14238	cjei:N135_01590
ko:K14222	cjei:N135_01706
ko:K14226	cjei:N135_01756
ko:K14232	cjei:N135_01757
ko:K14237	cjei:N135_01807
ko:K14218	cjei:N135_00031
ko:K14218	cjei:N135_00476
ko:K14218	cjei:N135_00794
ko:K14219	cjei:N135_00545
ko:K14233	cjei:N135_01444
ko:K01977	cjei:N135_00030
ko:K14225	cjei:N135_00520
ko:K14235	cjei:N135_00524
ko:K14219	cjei:N135_01754
ko:K14219	cjei:N135_01755
ko:K14230	cjei:N135_00621
ko:K14230	cjei:N135_01315
ko:K14227	cjei:N135_00032
ko:K14227	cjei:N135_00795
ko:K14227	cjei:N135_00477
ko:K14221	cjei:N135_00978
ko:K14237	cjei:N135_00979
ko:K02338	cjei:N135_00002
ko:K02470	cjei:N135_00003
ko:K07084	cjei:N135_00006
ko:K00266	cjei:N135_00009
ko:K03470	cjei:N135_00010
ko:K02237	cjei:N135_00011
ko:K01687	cjei:N135_00013
ko:K08996	cjei:N135_00014
ko:K07023	cjei:N135_00015
ko:K06920	cjei:N135_00016
ko:K03406	cjei:N135_00019
ko:K00428	cjei:N135_00020
ko:K02313	cjei:N135_00001
ko:K06180	cjei:N135_00022
ko:K01756	cjei:N135_00023
ko:K02417	cjei:N135_00062
ko:K02416	cjei:N135_00063
ko:K02405	cjei:N135_00064
ko:K04562	cjei:N135_00066
ko:K02404	cjei:N135_00067
ko:K00950	cjei:N135_00068
ko:K03786	cjei:N135_00069
ko:K04773	cjei:N135_00071
ko:K00782	cjei:N135_00075
ko:K03303	cjei:N135_00078
ko:K06956	cjei:N135_00025
ko:K01937	cjei:N135_00027
ko:K07462	cjei:N135_00028
ko:K01424	cjei:N135_00029
ko:K07552	cjei:N135_00039
ko:K06207	cjei:N135_00043
ko:K02389	cjei:N135_00046
ko:K02390	cjei:N135_00047
ko:K03319	cjei:N135_00051
ko:K00566	cjei:N135_00055
ko:K06966	cjei:N135_00056
ko:K00425	cjei:N135_00083
ko:K00426	cjei:N135_00084
ko:K01779	cjei:N135_00085
ko:K03648	cjei:N135_00086
ko:K01744	cjei:N135_00087
ko:K07791	cjei:N135_00088
