ko:K01212	bami:KSO_000245
ko:K01466	bami:KSO_004385
ko:K01679	bami:KSO_004080
ko:K07770	bami:KSO_004100
ko:K00059	bami:KSO_003715
ko:K01784	bami:KSO_003520
ko:K05595	bami:KSO_003575
ko:K01992	bami:KSO_003880
ko:K01992	bami:KSO_013340
ko:K01992	bami:KSO_018405
ko:K01992	bami:KSO_018410
ko:K03297	bami:KSO_000145
ko:K03297	bami:KSO_017350
ko:K10118	bami:KSO_005450
ko:K05020	bami:KSO_005470
ko:K00027	bami:KSO_005555
ko:K04767	bami:KSO_005640
ko:K06286	bami:KSO_005755
ko:K06183	bami:KSO_005485
ko:K01439	bami:KSO_005510
ko:K00027	bami:KSO_005895
ko:K07658	bami:KSO_005960
ko:K10563	bami:KSO_005975
ko:K03346	bami:KSO_006025
ko:K11144	bami:KSO_006030
ko:K07025	bami:KSO_006050
ko:K00059	bami:KSO_005850
ko:K03317	bami:KSO_004490
ko:K13628	bami:KSO_004500
ko:K07570	bami:KSO_004920
ko:K03406	bami:KSO_005015
ko:K03406	bami:KSO_005020
ko:K03406	bami:KSO_005025
ko:K07017	bami:KSO_004615
ko:K05570	bami:KSO_004790
ko:K05568	bami:KSO_004800
ko:K05565	bami:KSO_004815
ko:K02056	bami:KSO_004835
ko:K02552	bami:KSO_005165
ko:K08680	bami:KSO_005175
ko:K02549	bami:KSO_005190
ko:K03406	bami:KSO_005030
ko:K03499	bami:KSO_005105
ko:K07192	bami:KSO_005145
ko:K16789	bami:KSO_005150
ko:K02050	bami:KSO_005255
ko:K02049	bami:KSO_005260
ko:K02051	bami:KSO_005265
ko:K01048	bami:KSO_005310
ko:K05592	bami:KSO_000960
ko:K11741	bami:KSO_016635
ko:K18924	bami:KSO_016630
ko:K19417	bami:KSO_003280
ko:K18939	bami:KSO_018170
ko:K18939	bami:KSO_002980
ko:K18926	bami:KSO_018175
ko:K01732	bami:KSO_000885
ko:K19427	bami:KSO_003330
ko:K07260	bami:KSO_009640
ko:K10040	bami:KSO_006795
ko:K03296	bami:KSO_016215
ko:K03497	bami:KSO_000055
ko:K03496	bami:KSO_000050
ko:K03497	bami:KSO_000045
ko:K00571	bami:KSO_005820
ko:K18682	bami:KSO_010950
ko:K09022	bami:KSO_019160
ko:K07045	bami:KSO_003770
ko:K07045	bami:KSO_015335
ko:K16919	bami:KSO_005365
ko:K17234	bami:KSO_006145
ko:K07029	bami:KSO_016210
ko:K08194	bami:KSO_017960
ko:K03711	bami:KSO_008580
ko:K04763	bami:KSO_008590
ko:K03783	bami:KSO_008600
ko:K07258	bami:KSO_008610
ko:K03768	bami:KSO_008675
ko:K09763	bami:KSO_008725
ko:K00058	bami:KSO_008805
ko:K05337	bami:KSO_008815
ko:K07052	bami:KSO_008830
ko:K13953	bami:KSO_010635
ko:K00854	bami:KSO_010670
ko:K03713	bami:KSO_010705
ko:K03647	bami:KSO_010750
ko:K08964	bami:KSO_012670
ko:K08969	bami:KSO_012685
ko:K00567	bami:KSO_012710
ko:K01835	bami:KSO_015090
ko:K02443	bami:KSO_015110
ko:K01081	bami:KSO_015150
ko:K02004	bami:KSO_017700
ko:K08093	bami:KSO_017855
ko:K00121	bami:KSO_017895
ko:K01233	bami:KSO_004285
ko:K06421	bami:KSO_012750
ko:K16202	bami:KSO_012985
ko:K13614	bami:KSO_010840
ko:K13611	bami:KSO_010855
ko:K00128	bami:KSO_005720
ko:K11620	bami:KSO_004035
ko:K13037	bami:KSO_001610
ko:K15656	bami:KSO_017840
ko:K06344	bami:KSO_013965
ko:K06343	bami:KSO_013960
ko:K16962	bami:KSO_017725
ko:K03339	bami:KSO_000745
ko:K16706	bami:KSO_002715
ko:K16699	bami:KSO_002725
ko:K13276	bami:KSO_011800
ko:K16043	bami:KSO_014360
ko:K16593	bami:KSO_010245
ko:K00128	bami:KSO_000645
ko:K06389	bami:KSO_013060
ko:K15657	bami:KSO_017835
ko:K16247	bami:KSO_016505
ko:K06359	bami:KSO_013285
ko:K11440	bami:KSO_005125
ko:K06290	bami:KSO_004060
ko:K13615	bami:KSO_010835
ko:K06321	bami:KSO_009535
ko:K06319	bami:KSO_009530
ko:K15654	bami:KSO_017845
ko:K06322	bami:KSO_009540
ko:K16044	bami:KSO_003795
ko:K13277	bami:KSO_001270
ko:K06376	bami:KSO_012660
ko:K11639	bami:KSO_015900
ko:K06362	bami:KSO_002255
ko:K04757	bami:KSO_017170
ko:K00980	bami:KSO_002635
ko:K02277	bami:KSO_011985
ko:K09681	bami:KSO_010050
ko:K06320	bami:KSO_009525
ko:K06336	bami:KSO_007905
ko:K06340	bami:KSO_013945
ko:K07698	bami:KSO_012245
ko:K11814	bami:KSO_010785
ko:K11815	bami:KSO_010790
ko:K06323	bami:KSO_009545
ko:K06352	bami:KSO_013280
ko:K06360	bami:KSO_002100
ko:K06364	bami:KSO_001775
ko:K06366	bami:KSO_005065
ko:K06368	bami:KSO_018120
ko:K06372	bami:KSO_007915
ko:K15327	bami:KSO_010890
ko:K15468	bami:KSO_010830
ko:K06292	bami:KSO_002605
ko:K13613	bami:KSO_010845
ko:K16248	bami:KSO_016495
ko:K06293	bami:KSO_002600
ko:K06361	bami:KSO_017680
ko:K14219	bami:KSO_0t19436
ko:K14219	bami:KSO_0t19516
ko:K14219	bami:KSO_0t19546
ko:K14219	bami:KSO_0t19562
ko:K14219	bami:KSO_0t19574
ko:K02428	bami:KSO_006335
ko:K04076	bami:KSO_006420
ko:K01719	bami:KSO_006455
ko:K02236	bami:KSO_006495
ko:K06402	bami:KSO_006545
ko:K07584	bami:KSO_006555
ko:K04518	bami:KSO_006585
ko:K00626	bami:KSO_008170
ko:K00929	bami:KSO_008220
ko:K00058	bami:KSO_010005
ko:K00059	bami:KSO_010030
ko:K00666	bami:KSO_010175
ko:K00652	bami:KSO_010230
ko:K15329	bami:KSO_012195
ko:K03499	bami:KSO_012235
ko:K00882	bami:KSO_012295
ko:K03436	bami:KSO_012300
ko:K02004	bami:KSO_012305
ko:K02005	bami:KSO_012315
ko:K03635	bami:KSO_012330
ko:K05937	bami:KSO_014545
ko:K00626	bami:KSO_014590
ko:K07533	bami:KSO_014780
ko:K03698	bami:KSO_014790
ko:K03095	bami:KSO_017145
ko:K05518	bami:KSO_017160
ko:K03090	bami:KSO_017165
ko:K07315	bami:KSO_017180
ko:K08981	bami:KSO_017230
ko:K09167	bami:KSO_017235
ko:K07105	bami:KSO_006590
ko:K10041	bami:KSO_006810
ko:K01966	bami:KSO_008285
ko:K00033	bami:KSO_008310
ko:K00784	bami:KSO_008320
ko:K15329	bami:KSO_008355
ko:K00059	bami:KSO_008375
ko:K00867	bami:KSO_008450
ko:K06889	bami:KSO_008510
ko:K01515	bami:KSO_008530
ko:K01424	bami:KSO_008545
ko:K00027	bami:KSO_008560
ko:K06196	bami:KSO_010490
ko:K09976	bami:KSO_010500
ko:K05822	bami:KSO_012385
ko:K07098	bami:KSO_012450
ko:K00841	bami:KSO_012480
ko:K03406	bami:KSO_012515
ko:K08483	bami:KSO_012530
ko:K11189	bami:KSO_012535
ko:K03697	bami:KSO_012635
ko:K03455	bami:KSO_014835
ko:K03294	bami:KSO_015015
ko:K01077	bami:KSO_015040
ko:K02480	bami:KSO_015085
ko:K00158	bami:KSO_017400
ko:K02798	bami:KSO_017565
ko:K02799	bami:KSO_017570
ko:K02800	bami:KSO_017570
ko:K00135	bami:KSO_017610
ko:K07250	bami:KSO_017615
ko:K02030	bami:KSO_008255
ko:K01906	bami:KSO_010220
ko:K06388	bami:KSO_013055
ko:K12263	bami:KSO_002860
ko:K06351	bami:KSO_017525
ko:K06113	bami:KSO_006115
ko:K03483	bami:KSO_017485
ko:K07705	bami:KSO_006065
ko:K15328	bami:KSO_010885
ko:K06016	bami:KSO_016950
ko:K03469	bami:KSO_009370
ko:K03469	bami:KSO_009380
ko:K03177	bami:KSO_011100
ko:K09764	bami:KSO_011110
ko:K02414	bami:KSO_011300
ko:K01719	bami:KSO_013415
ko:K07104	bami:KSO_015600
ko:K01104	bami:KSO_015755
ko:K01113	bami:KSO_018200
ko:K15976	bami:KSO_018230
ko:K11626	bami:KSO_018265
ko:K00547	bami:KSO_018270
ko:K01560	bami:KSO_018430
ko:K07032	bami:KSO_016915
ko:K07258	bami:KSO_019360
ko:K00088	bami:KSO_019365
ko:K16785	bami:KSO_012845
ko:K16786	bami:KSO_012840
ko:K16787	bami:KSO_012840
ko:K08724	bami:KSO_011855
ko:K07177	bami:KSO_011915
ko:K02862	bami:KSO_011980
ko:K02274	bami:KSO_011995
ko:K01958	bami:KSO_012015
ko:K01092	bami:KSO_012090
ko:K03153	bami:KSO_014000
ko:K03455	bami:KSO_014015
ko:K07816	bami:KSO_014035
ko:K16509	bami:KSO_014090
ko:K10823	bami:KSO_014105
ko:K15583	bami:KSO_014110
ko:K15582	bami:KSO_014115
ko:K02033	bami:KSO_014145
ko:K02035	bami:KSO_014150
ko:K06324	bami:KSO_016420
ko:K07052	bami:KSO_016540
ko:K01409	bami:KSO_016575
ko:K00564	bami:KSO_018870
ko:K09698	bami:KSO_018940
ko:K07067	bami:KSO_018960
ko:K03708	bami:KSO_018985
ko:K02619	bami:KSO_019020
ko:K01934	bami:KSO_007775
ko:K00845	bami:KSO_007795
ko:K16509	bami:KSO_007830
ko:K02243	bami:KSO_007850
ko:K02244	bami:KSO_007855
ko:K02245	bami:KSO_007860
ko:K02246	bami:KSO_007865
ko:K02248	bami:KSO_007875
ko:K02249	bami:KSO_007880
ko:K13280	bami:KSO_007900
ko:K01262	bami:KSO_007980
ko:K07304	bami:KSO_009505
ko:K07305	bami:KSO_009510
ko:K03784	bami:KSO_009635
ko:K03307	bami:KSO_009680
ko:K09787	bami:KSO_011455
ko:K00059	bami:KSO_011485
ko:K07030	bami:KSO_011520
ko:K06414	bami:KSO_011535
ko:K00949	bami:KSO_011540
ko:K02530	bami:KSO_013480
ko:K01220	bami:KSO_013485
ko:K02786	bami:KSO_013490
ko:K01784	bami:KSO_013505
ko:K03486	bami:KSO_015810
ko:K01226	bami:KSO_015815
ko:K11637	bami:KSO_015915
ko:K03294	bami:KSO_016035
ko:K01092	bami:KSO_018595
ko:K01243	bami:KSO_007190
ko:K14338	bami:KSO_007250
ko:K03976	bami:KSO_007265
ko:K06948	bami:KSO_007400
ko:K06313	bami:KSO_008875
ko:K01823	bami:KSO_008900
ko:K00805	bami:KSO_008960
ko:K00805	bami:KSO_008970
ko:K00575	bami:KSO_008980
ko:K04517	bami:KSO_009035
ko:K03886	bami:KSO_009060
ko:K01569	bami:KSO_009085
ko:K15312	bami:KSO_010865
ko:K15329	bami:KSO_010880
ko:K00639	bami:KSO_010930
ko:K00059	bami:KSO_010990
ko:K06994	bami:KSO_011005
ko:K07404	bami:KSO_012955
ko:K01297	bami:KSO_012975
ko:K03294	bami:KSO_013035
ko:K02033	bami:KSO_015360
ko:K02035	bami:KSO_015365
ko:K09825	bami:KSO_015405
ko:K07586	bami:KSO_015430
ko:K00294	bami:KSO_017935
ko:K01916	bami:KSO_017980
ko:K00016	bami:KSO_018015
ko:K01176	bami:KSO_018020
ko:K09815	bami:KSO_018105
ko:K01182	bami:KSO_018110
ko:K11085	bami:KSO_015425
ko:K06889	bami:KSO_014275
ko:K07120	bami:KSO_014490
ko:K03307	bami:KSO_014525
ko:K03492	bami:KSO_016650
ko:K00657	bami:KSO_016725
ko:K00121	bami:KSO_016805
ko:K07114	bami:KSO_019075
ko:K02499	bami:KSO_019110
ko:K09685	bami:KSO_019165
ko:K02823	bami:KSO_011680
ko:K02824	bami:KSO_011705
ko:K01760	bami:KSO_013865
ko:K14338	bami:KSO_016080
ko:K02433	bami:KSO_016230
ko:K03307	bami:KSO_016240
ko:K07094	bami:KSO_016270
ko:K03593	bami:KSO_018625
ko:K16787	bami:KSO_018670
ko:K16786	bami:KSO_018675
ko:K00939	bami:KSO_018715
ko:K00974	bami:KSO_009120
ko:K02086	bami:KSO_009170
ko:K03700	bami:KSO_009190
ko:K06877	bami:KSO_009235
ko:K16167	bami:KSO_009335
ko:K16168	bami:KSO_009340
ko:K00853	bami:KSO_006125
ko:K01209	bami:KSO_006160
ko:K03471	bami:KSO_006205
ko:K01209	bami:KSO_006265
ko:K00241	bami:KSO_006290
ko:K02238	bami:KSO_007450
ko:K01489	bami:KSO_007585
ko:K13300	bami:KSO_007640
ko:K02076	bami:KSO_007685
ko:K11991	bami:KSO_019315
ko:K07979	bami:KSO_005350
ko:K16919	bami:KSO_005370
ko:K03794	bami:KSO_011630
ko:K16918	bami:KSO_005380
ko:K16920	bami:KSO_005375
ko:K16919	bami:KSO_005360
ko:K16921	bami:KSO_005355
ko:K15555	bami:KSO_015325
ko:K02303	bami:KSO_011635
ko:K06113	bami:KSO_000860
ko:K14218	bami:KSO_0t19440
ko:K14218	bami:KSO_0t19598
ko:K14218	bami:KSO_0t19570
ko:K14218	bami:KSO_0t19592
ko:K14218	bami:KSO_0t19542
ko:K03417	bami:KSO_008195
ko:K00951	bami:KSO_006710
ko:K16898	bami:KSO_014460
ko:K16899	bami:KSO_014465
ko:K09190	bami:KSO_017995
ko:K14665	bami:KSO_018035
ko:K02002	bami:KSO_018040
ko:K02001	bami:KSO_018045
ko:K02000	bami:KSO_018050
ko:K08369	bami:KSO_018055
ko:K05795	bami:KSO_018075
ko:K05795	bami:KSO_018080
ko:K09816	bami:KSO_018095
ko:K09817	bami:KSO_018100
ko:K07039	bami:KSO_018150
ko:K07704	bami:KSO_006060
ko:K01804	bami:KSO_006120
ko:K06200	bami:KSO_006165
ko:K11473	bami:KSO_006170
ko:K02647	bami:KSO_006180
ko:K06426	bami:KSO_006185
ko:K03437	bami:KSO_006190
ko:K01889	bami:KSO_006195
ko:K01890	bami:KSO_006200
ko:K09888	bami:KSO_006210
ko:K02347	bami:KSO_006220
ko:K07456	bami:KSO_006225
ko:K08989	bami:KSO_006230
ko:K13770	bami:KSO_006245
ko:K13767	bami:KSO_006250
ko:K03521	bami:KSO_006255
ko:K03522	bami:KSO_006260
ko:K03671	bami:KSO_006270
ko:K03703	bami:KSO_006275
ko:K00928	bami:KSO_006280
ko:K00239	bami:KSO_006295
ko:K00240	bami:KSO_006300
ko:K07107	bami:KSO_006305
ko:K01994	bami:KSO_006310
ko:K02340	bami:KSO_007455
ko:K02968	bami:KSO_007460
ko:K06012	bami:KSO_007465
ko:K06385	bami:KSO_007470
ko:K03596	bami:KSO_007480
ko:K03705	bami:KSO_007490
ko:K03687	bami:KSO_007495
ko:K04043	bami:KSO_007500
ko:K03686	bami:KSO_007505
ko:K02687	bami:KSO_007510
ko:K09761	bami:KSO_007515
ko:K03324	bami:KSO_007525
ko:K02970	bami:KSO_007530
ko:K09117	bami:KSO_007535
ko:K07403	bami:KSO_007540
ko:K06438	bami:KSO_007560
ko:K07037	bami:KSO_007570
ko:K07042	bami:KSO_007575
ko:K03584	bami:KSO_007600
ko:K01878	bami:KSO_007605
ko:K01879	bami:KSO_007610
ko:K09773	bami:KSO_007620
ko:K09768	bami:KSO_007625
ko:K03086	bami:KSO_007635
ko:K06967	bami:KSO_007645
ko:K03527	bami:KSO_007655
ko:K01151	bami:KSO_007670
ko:K05967	bami:KSO_007690
ko:K09793	bami:KSO_007715
ko:K04564	bami:KSO_007720
ko:K08222	bami:KSO_007725
ko:K03524	bami:KSO_009125
ko:K01985	bami:KSO_0r19604
ko:K01985	bami:KSO_0r19616
ko:K01985	bami:KSO_0r19606
ko:K01985	bami:KSO_0r19618
ko:K01985	bami:KSO_0r19620
ko:K01985	bami:KSO_0r19608
ko:K01985	bami:KSO_0r19602
ko:K01985	bami:KSO_0r19614
ko:K01985	bami:KSO_0r19612
ko:K01985	bami:KSO_0r19610
ko:K03588	bami:KSO_002195
ko:K04751	bami:KSO_002200
ko:K03320	bami:KSO_002205
ko:K06283	bami:KSO_002235
ko:K03569	bami:KSO_002240
ko:K02392	bami:KSO_002245
ko:K02392	bami:KSO_002250
ko:K02372	bami:KSO_002260
ko:K03282	bami:KSO_002265
ko:K00012	bami:KSO_002330
ko:K05982	bami:KSO_002400
ko:K07240	bami:KSO_002420
ko:K07240	bami:KSO_002425
ko:K06330	bami:KSO_002455
ko:K02114	bami:KSO_002045
ko:K00790	bami:KSO_002065
ko:K06381	bami:KSO_002070
ko:K02379	bami:KSO_002090
ko:K03639	bami:KSO_002095
ko:K01430	bami:KSO_002115
ko:K01429	bami:KSO_002120
ko:K01428	bami:KSO_002125
ko:K06131	bami:KSO_002155
ko:K03823	bami:KSO_002175
ko:K06386	bami:KSO_002180
ko:K02112	bami:KSO_002040
ko:K03893	bami:KSO_002470
ko:K01652	bami:KSO_002485
ko:K01575	bami:KSO_002490
ko:K10441	bami:KSO_002515
ko:K06726	bami:KSO_002520
ko:K02529	bami:KSO_002530
ko:K06295	bami:KSO_002545
ko:K07282	bami:KSO_002560
ko:K01809	bami:KSO_002615
ko:K05946	bami:KSO_002630
ko:K00963	bami:KSO_002660
ko:K01448	bami:KSO_002685
ko:K00012	bami:KSO_002705
ko:K16705	bami:KSO_002710
ko:K16698	bami:KSO_002720
ko:K07777	bami:KSO_002745
ko:K02398	bami:KSO_002780
ko:K02396	bami:KSO_002790
ko:K02397	bami:KSO_002795
ko:K09812	bami:KSO_002865
ko:K09811	bami:KSO_002870
ko:K03797	bami:KSO_002880
ko:K03702	bami:KSO_002940
ko:K03701	bami:KSO_002945
ko:K08972	bami:KSO_002970
ko:K00606	bami:KSO_009130
ko:K01918	bami:KSO_009135
ko:K01579	bami:KSO_009140
ko:K00812	bami:KSO_009160
ko:K01893	bami:KSO_009165
ko:K10773	bami:KSO_009175
ko:K05366	bami:KSO_009185
ko:K07502	bami:KSO_009240
ko:K06327	bami:KSO_009245
ko:K07444	bami:KSO_009260
ko:K01299	bami:KSO_009285
ko:K03816	bami:KSO_009290
ko:K16169	bami:KSO_009295
ko:K07443	bami:KSO_009325
ko:K06429	bami:KSO_009365
ko:K09125	bami:KSO_009375
ko:K03704	bami:KSO_009400
ko:K00651	bami:KSO_009410
ko:K11753	bami:KSO_011095
ko:K02834	bami:KSO_011105
ko:K02519	bami:KSO_011115
ko:K07742	bami:KSO_011125
ko:K02600	bami:KSO_011130
ko:K09748	bami:KSO_011135
ko:K03763	bami:KSO_011140
ko:K01881	bami:KSO_011145
ko:K11749	bami:KSO_011150
ko:K00099	bami:KSO_011155
ko:K00981	bami:KSO_011160
ko:K00806	bami:KSO_011165
ko:K02838	bami:KSO_011170
ko:K09903	bami:KSO_011175
ko:K02357	bami:KSO_011180
ko:K02967	bami:KSO_011185
ko:K02405	bami:KSO_011195
ko:K03411	bami:KSO_011200
ko:K03410	bami:KSO_011205
ko:K03408	bami:KSO_011210
ko:K03407	bami:KSO_011215
ko:K03412	bami:KSO_011220
ko:K04562	bami:KSO_011225
ko:K02404	bami:KSO_011230
ko:K02400	bami:KSO_011235
ko:K02401	bami:KSO_011240
ko:K02421	bami:KSO_011245
ko:K02420	bami:KSO_011250
ko:K02419	bami:KSO_011255
ko:K02418	bami:KSO_011260
ko:K03413	bami:KSO_011265
ko:K02417	bami:KSO_011270
ko:K02416	bami:KSO_011275
ko:K02415	bami:KSO_011280
ko:K02385	bami:KSO_011285
ko:K02390	bami:KSO_011290
ko:K02389	bami:KSO_011295
ko:K02413	bami:KSO_011310
ko:K02412	bami:KSO_011315
ko:K02411	bami:KSO_011320
ko:K02410	bami:KSO_011325
ko:K02409	bami:KSO_011330
ko:K02408	bami:KSO_011335
ko:K02388	bami:KSO_011340
ko:K03088	bami:KSO_013215
ko:K07090	bami:KSO_013295
ko:K07691	bami:KSO_013320
ko:K01685	bami:KSO_013360
ko:K00041	bami:KSO_013365
ko:K02529	bami:KSO_013370
ko:K01812	bami:KSO_013380
ko:K03885	bami:KSO_013385
ko:K02068	bami:KSO_013405
ko:K02069	bami:KSO_013410
ko:K00123	bami:KSO_013440
ko:K14205	bami:KSO_015550
ko:K03623	bami:KSO_015570
ko:K00355	bami:KSO_015585
ko:K02749	bami:KSO_015620
ko:K02750	bami:KSO_015620
ko:K03481	bami:KSO_015625
ko:K01232	bami:KSO_015630
ko:K06425	bami:KSO_015635
ko:K00382	bami:KSO_015645
ko:K00627	bami:KSO_015650
ko:K03215	bami:KSO_015680
ko:K01247	bami:KSO_015685
ko:K03284	bami:KSO_015690
ko:K07300	bami:KSO_015730
ko:K07058	bami:KSO_015745
ko:K03785	bami:KSO_015770
ko:K00014	bami:KSO_015775
ko:K02529	bami:KSO_015780
ko:K05520	bami:KSO_015785
ko:K01304	bami:KSO_018185
ko:K03118	bami:KSO_018190
ko:K03116	bami:KSO_018195
ko:K01449	bami:KSO_018205
ko:K15977	bami:KSO_018220
ko:K15975	bami:KSO_018225
ko:K07719	bami:KSO_018250
ko:K07717	bami:KSO_018255
ko:K01425	bami:KSO_018260
ko:K00826	bami:KSO_018280
ko:K11102	bami:KSO_018285
ko:K07146	bami:KSO_018290
ko:K01613	bami:KSO_018300
ko:K08289	bami:KSO_018315
ko:K08317	bami:KSO_018320
ko:K02445	bami:KSO_018355
ko:K01126	bami:KSO_018360
ko:K16925	bami:KSO_012835
ko:K00384	bami:KSO_003095
ko:K06958	bami:KSO_003110
ko:K11184	bami:KSO_003125
ko:K00675	bami:KSO_003130
ko:K01673	bami:KSO_003145
ko:K03321	bami:KSO_003150
ko:K06966	bami:KSO_003160
ko:K01358	bami:KSO_003180
ko:K03484	bami:KSO_003185
ko:K02532	bami:KSO_003190
ko:K01193	bami:KSO_003195
ko:K03710	bami:KSO_002985
ko:K01443	bami:KSO_002995
ko:K13292	bami:KSO_003005
ko:K06019	bami:KSO_003010
ko:K02502	bami:KSO_003025
ko:K00765	bami:KSO_003030
ko:K00013	bami:KSO_003035
ko:K01693	bami:KSO_003040
ko:K02501	bami:KSO_003045
ko:K01814	bami:KSO_003050
ko:K02500	bami:KSO_003055
ko:K11755	bami:KSO_003060
ko:K13727	bami:KSO_003250
ko:K03092	bami:KSO_003365
ko:K03303	bami:KSO_003370
ko:K05825	bami:KSO_003380
ko:K00782	bami:KSO_003395
ko:K05847	bami:KSO_003585
ko:K05846	bami:KSO_003590
ko:K05845	bami:KSO_003595
ko:K05846	bami:KSO_003600
ko:K05847	bami:KSO_003610
ko:K05846	bami:KSO_003615
ko:K05845	bami:KSO_003620
ko:K05846	bami:KSO_003625
ko:K01118	bami:KSO_003790
ko:K01534	bami:KSO_003815
ko:K03611	bami:KSO_003825
ko:K03657	bami:KSO_003840
ko:K13626	bami:KSO_002805
ko:K03563	bami:KSO_002810
ko:K02406	bami:KSO_002815
ko:K02407	bami:KSO_002820
ko:K02422	bami:KSO_002825
ko:K02423	bami:KSO_002830
ko:K03070	bami:KSO_002845
ko:K02836	bami:KSO_002850
ko:K00318	bami:KSO_004175
ko:K07516	bami:KSO_004185
ko:K02437	bami:KSO_004205
ko:K07476	bami:KSO_004215
ko:K02071	bami:KSO_004235
ko:K02072	bami:KSO_004240
ko:K02073	bami:KSO_004245
ko:K09013	bami:KSO_004260
ko:K09015	bami:KSO_004265
ko:K11717	bami:KSO_004270
ko:K00381	bami:KSO_003850
ko:K02018	bami:KSO_003900
ko:K02020	bami:KSO_003905
ko:K07219	bami:KSO_003910
ko:K07038	bami:KSO_003920
ko:K03758	bami:KSO_003930
ko:K02016	bami:KSO_003940
ko:K02015	bami:KSO_003945
ko:K02015	bami:KSO_003950
ko:K02013	bami:KSO_003955
ko:K02016	bami:KSO_004005
ko:K02015	bami:KSO_004010
ko:K02013	bami:KSO_004015
ko:K11619	bami:KSO_004030
ko:K11621	bami:KSO_004040
ko:K11622	bami:KSO_004045
ko:K09014	bami:KSO_004280
ko:K00285	bami:KSO_004300
ko:K10708	bami:KSO_004320
ko:K10117	bami:KSO_004325
ko:K10119	bami:KSO_004335
ko:K10710	bami:KSO_004340
ko:K10711	bami:KSO_004345
ko:K02083	bami:KSO_004360
ko:K08153	bami:KSO_004370
ko:K07090	bami:KSO_004400
ko:K03644	bami:KSO_004420
ko:K07650	bami:KSO_004095
ko:K04047	bami:KSO_004110
ko:K02013	bami:KSO_004130
ko:K00077	bami:KSO_004140
ko:K01574	bami:KSO_004145
ko:K02103	bami:KSO_003460
ko:K02040	bami:KSO_007735
ko:K02037	bami:KSO_007740
ko:K02038	bami:KSO_007745
ko:K02036	bami:KSO_007750
ko:K02036	bami:KSO_007755
ko:K02913	bami:KSO_007770
ko:K03315	bami:KSO_007785
ko:K01308	bami:KSO_007800
ko:K02247	bami:KSO_007870
ko:K00605	bami:KSO_007930
ko:K00282	bami:KSO_007935
ko:K00283	bami:KSO_007940
