ko:K01006	lmt:LMRG_01014
ko:K01628	lmt:LMRG_01245
ko:K02774	lmt:LMRG_01248
ko:K02773	lmt:LMRG_01249
ko:K06215	lmt:LMRG_01252
ko:K08681	lmt:LMRG_01253
ko:K04758	lmt:LMRG_01257
ko:K04759	lmt:LMRG_01258
ko:K01443	lmt:LMRG_01262
ko:K01809	lmt:LMRG_01264
ko:K02003	lmt:LMRG_01268
ko:K03431	lmt:LMRG_01272
ko:K01624	lmt:LMRG_02807
ko:K01624	lmt:LMRG_02806
ko:K02556	lmt:LMRG_00373
ko:K02557	lmt:LMRG_00374
ko:K03415	lmt:LMRG_00377
ko:K02406	lmt:LMRG_00378
ko:K03413	lmt:LMRG_00379
ko:K03407	lmt:LMRG_00380
ko:K02417	lmt:LMRG_00381
ko:K02389	lmt:LMRG_00385
ko:K02390	lmt:LMRG_00386
ko:K02417	lmt:LMRG_00387
ko:K02416	lmt:LMRG_00388
ko:K02417	lmt:LMRG_00389
ko:K09770	lmt:LMRG_00392
ko:K02396	lmt:LMRG_00394
ko:K02397	lmt:LMRG_00395
ko:K02407	lmt:LMRG_00396
ko:K02422	lmt:LMRG_00397
ko:K02387	lmt:LMRG_00399
ko:K02388	lmt:LMRG_00400
ko:K02408	lmt:LMRG_00401
ko:K02409	lmt:LMRG_00402
ko:K02410	lmt:LMRG_00403
ko:K02411	lmt:LMRG_00404
ko:K02412	lmt:LMRG_00405
ko:K00820	lmt:LMRG_00415
ko:K07726	lmt:LMRG_00421
ko:K02529	lmt:LMRG_00422
ko:K01783	lmt:LMRG_00423
ko:K01808	lmt:LMRG_00424
ko:K01223	lmt:LMRG_00427
ko:K01695	lmt:LMRG_01339
ko:K01696	lmt:LMRG_01338
ko:K01817	lmt:LMRG_01337
ko:K01609	lmt:LMRG_01336
ko:K00766	lmt:LMRG_01335
ko:K01657	lmt:LMRG_01333
ko:K04072	lmt:LMRG_01332
ko:K01246	lmt:LMRG_01327
ko:K01681	lmt:LMRG_01325
ko:K03547	lmt:LMRG_01320
ko:K00655	lmt:LMRG_01319
ko:K02357	lmt:LMRG_01310
ko:K02967	lmt:LMRG_01309
ko:K01869	lmt:LMRG_01307
ko:K07139	lmt:LMRG_01306
ko:K01953	lmt:LMRG_01304
ko:K00789	lmt:LMRG_01303
ko:K08998	lmt:LMRG_01297
ko:K01911	lmt:LMRG_01295
ko:K01661	lmt:LMRG_01294
ko:K02551	lmt:LMRG_01292
ko:K02548	lmt:LMRG_01290
ko:K06958	lmt:LMRG_01774
ko:K00384	lmt:LMRG_01770
ko:K06019	lmt:LMRG_01767
ko:K13292	lmt:LMRG_01766
ko:K08972	lmt:LMRG_01764
ko:K03701	lmt:LMRG_01760
ko:K03702	lmt:LMRG_01759
ko:K07023	lmt:LMRG_01757
ko:K02039	lmt:LMRG_01754
ko:K02036	lmt:LMRG_01753
ko:K02036	lmt:LMRG_01752
ko:K02038	lmt:LMRG_01751
ko:K02037	lmt:LMRG_01750
ko:K02040	lmt:LMRG_01749
ko:K07636	lmt:LMRG_01748
ko:K06131	lmt:LMRG_01745
ko:K09811	lmt:LMRG_01742
ko:K09812	lmt:LMRG_01741
ko:K02836	lmt:LMRG_01739
ko:K03070	lmt:LMRG_01738
ko:K05946	lmt:LMRG_01727
ko:K02372	lmt:LMRG_01724
ko:K02341	lmt:LMRG_02407
ko:K07461	lmt:LMRG_02411
ko:K07056	lmt:LMRG_02412
ko:K06284	lmt:LMRG_02413
ko:K01874	lmt:LMRG_02742
ko:K03424	lmt:LMRG_02750
ko:K05985	lmt:LMRG_02752
ko:K02528	lmt:LMRG_02753
ko:K00919	lmt:LMRG_02755
ko:K02003	lmt:LMRG_02616
ko:K06412	lmt:LMRG_02618
ko:K06412	lmt:LMRG_02619
ko:K04042	lmt:LMRG_02620
ko:K00948	lmt:LMRG_02621
ko:K01114	lmt:LMRG_02627
ko:K02897	lmt:LMRG_02633
ko:K01056	lmt:LMRG_02635
ko:K03723	lmt:LMRG_02636
ko:K07571	lmt:LMRG_02640
ko:K03798	lmt:LMRG_02642
ko:K03525	lmt:LMRG_02643
ko:K02760	lmt:LMRG_00557
ko:K01951	lmt:LMRG_00558
ko:K03827	lmt:LMRG_00568
ko:K01358	lmt:LMRG_00581
ko:K02304	lmt:LMRG_00584
ko:K04031	lmt:LMRG_00587
ko:K04029	lmt:LMRG_00588
ko:K02231	lmt:LMRG_00590
ko:K02233	lmt:LMRG_00591
ko:K13919	lmt:LMRG_00597
ko:K13920	lmt:LMRG_00598
ko:K04024	lmt:LMRG_00604
ko:K13922	lmt:LMRG_00608
ko:K02440	lmt:LMRG_00610
ko:K00925	lmt:LMRG_00611
ko:K01687	lmt:LMRG_01131
ko:K01652	lmt:LMRG_01132
ko:K01653	lmt:LMRG_01133
ko:K00053	lmt:LMRG_01134
ko:K01649	lmt:LMRG_01135
ko:K00052	lmt:LMRG_01136
ko:K01703	lmt:LMRG_01137
ko:K01704	lmt:LMRG_01138
ko:K01754	lmt:LMRG_01139
ko:K01575	lmt:LMRG_01140
ko:K00756	lmt:LMRG_01141
ko:K02529	lmt:LMRG_01142
ko:K05346	lmt:LMRG_01144
ko:K01652	lmt:LMRG_01154
ko:K07718	lmt:LMRG_01159
ko:K03704	lmt:LMRG_01165
ko:K01778	lmt:LMRG_01167
ko:K01870	lmt:LMRG_01168
ko:K04074	lmt:LMRG_01169
ko:K04487	lmt:LMRG_01171
ko:K00278	lmt:LMRG_01172
ko:K00767	lmt:LMRG_01173
ko:K03517	lmt:LMRG_01174
ko:K02221	lmt:LMRG_01178
ko:K09772	lmt:LMRG_01179
ko:K06997	lmt:LMRG_01180
ko:K03531	lmt:LMRG_01181
ko:K03590	lmt:LMRG_01182
ko:K03589	lmt:LMRG_01183
ko:K02563	lmt:LMRG_01184
ko:K00848	lmt:LMRG_02420
ko:K03217	lmt:LMRG_02425
ko:K03536	lmt:LMRG_02426
ko:K02914	lmt:LMRG_02427
ko:K04486	lmt:LMRG_00252
ko:K07443	lmt:LMRG_00253
ko:K06901	lmt:LMRG_00255
ko:K06999	lmt:LMRG_00262
ko:K06969	lmt:LMRG_00263
ko:K03070	lmt:LMRG_00265
ko:K01669	lmt:LMRG_00270
ko:K00641	lmt:LMRG_00276
ko:K01740	lmt:LMRG_00277
ko:K03523	lmt:LMRG_00281
ko:K01118	lmt:LMRG_00294
ko:K01126	lmt:LMRG_00299
ko:K07090	lmt:LMRG_00304
ko:K07478	lmt:LMRG_01456
ko:K03320	lmt:LMRG_01454
ko:K04751	lmt:LMRG_01453
ko:K01876	lmt:LMRG_01451
ko:K01892	lmt:LMRG_01450
ko:K01448	lmt:LMRG_01449
ko:K07560	lmt:LMRG_01448
ko:K00759	lmt:LMRG_01446
ko:K07462	lmt:LMRG_01445
ko:K12257	lmt:LMRG_01443
ko:K03210	lmt:LMRG_01441
ko:K00773	lmt:LMRG_01440
ko:K07568	lmt:LMRG_01439
ko:K03551	lmt:LMRG_01438
ko:K03550	lmt:LMRG_01437
ko:K03979	lmt:LMRG_01433
ko:K00864	lmt:LMRG_01432
ko:K02440	lmt:LMRG_01431
ko:K02899	lmt:LMRG_01430
ko:K02888	lmt:LMRG_01428
ko:K08301	lmt:LMRG_01427
ko:K03609	lmt:LMRG_01426
ko:K03610	lmt:LMRG_01425
ko:K03571	lmt:LMRG_01424
ko:K03570	lmt:LMRG_01423
ko:K03569	lmt:LMRG_01422
ko:K03630	lmt:LMRG_01420
ko:K11754	lmt:LMRG_01417
ko:K01873	lmt:LMRG_01416
ko:K01845	lmt:LMRG_01415
ko:K01698	lmt:LMRG_01414
ko:K01749	lmt:LMRG_01412
ko:K02492	lmt:LMRG_02940
ko:K03978	lmt:LMRG_01409
ko:K01868	lmt:LMRG_01408
ko:K07738	lmt:LMRG_01405
ko:K00859	lmt:LMRG_01404
ko:K00031	lmt:LMRG_01401
ko:K01647	lmt:LMRG_01400
ko:K01810	lmt:LMRG_02712
ko:K14155	lmt:LMRG_02715
ko:K02003	lmt:LMRG_02717
ko:K02760	lmt:LMRG_02718
ko:K00928	lmt:LMRG_02719
ko:K05566	lmt:LMRG_02724
ko:K05567	lmt:LMRG_02725
ko:K05569	lmt:LMRG_02727
ko:K05571	lmt:LMRG_02729
ko:K09775	lmt:LMRG_02731
ko:K03885	lmt:LMRG_02734
ko:K07090	lmt:LMRG_01844
ko:K09014	lmt:LMRG_01837
ko:K11717	lmt:LMRG_01835
ko:K09015	lmt:LMRG_01834
ko:K09013	lmt:LMRG_01833
ko:K02529	lmt:LMRG_02460
ko:K02761	lmt:LMRG_02463
ko:K13252	lmt:LMRG_02465
ko:K10536	lmt:LMRG_02467
ko:K00926	lmt:LMRG_02468
ko:K10536	lmt:LMRG_02469
ko:K03481	lmt:LMRG_02470
ko:K03975	lmt:LMRG_02471
ko:K02990	lmt:LMRG_02473
ko:K02963	lmt:LMRG_02475
ko:K07813	lmt:LMRG_02477
ko:K02939	lmt:LMRG_02482
ko:K01939	lmt:LMRG_02485
ko:K03466	lmt:LMRG_02491
ko:K10778	lmt:LMRG_02327
ko:K02110	lmt:LMRG_02337
ko:K02113	lmt:LMRG_02969
ko:K02111	lmt:LMRG_02339
ko:K02115	lmt:LMRG_02340
ko:K02112	lmt:LMRG_02341
ko:K02114	lmt:LMRG_02342
ko:K00432	lmt:LMRG_02083
ko:K02837	lmt:LMRG_02088
ko:K05823	lmt:LMRG_02112
ko:K02000	lmt:LMRG_02114
ko:K02001	lmt:LMRG_02115
ko:K02002	lmt:LMRG_02116
ko:K00243	lmt:LMRG_02119
ko:K11622	lmt:LMRG_02120
ko:K02529	lmt:LMRG_00491
ko:K00615	lmt:LMRG_00493
ko:K00615	lmt:LMRG_00494
ko:K00864	lmt:LMRG_00495
ko:K00563	lmt:LMRG_01019
ko:K15738	lmt:LMRG_01022
ko:K01938	lmt:LMRG_01023
ko:K03704	lmt:LMRG_01026
ko:K02954	lmt:LMRG_01029
ko:K03816	lmt:LMRG_01032
ko:K01299	lmt:LMRG_01033
ko:K07444	lmt:LMRG_01034
ko:K05366	lmt:LMRG_01039
ko:K10773	lmt:LMRG_01041
ko:K01893	lmt:LMRG_01043
ko:K00812	lmt:LMRG_01044
ko:K01579	lmt:LMRG_01047
ko:K01918	lmt:LMRG_01048
ko:K00606	lmt:LMRG_01049
ko:K03524	lmt:LMRG_01051
ko:K01734	lmt:LMRG_01053
ko:K00215	lmt:LMRG_01054
ko:K00656	lmt:LMRG_01064
ko:K07007	lmt:LMRG_01065
ko:K06973	lmt:LMRG_01066
ko:K00800	lmt:LMRG_01070
ko:K00817	lmt:LMRG_01072
ko:K06208	lmt:LMRG_01073
ko:K02768	lmt:LMRG_01963
ko:K02769	lmt:LMRG_01963
ko:K02770	lmt:LMRG_01963
ko:K00865	lmt:LMRG_01960
ko:K12410	lmt:LMRG_01957
ko:K01875	lmt:LMRG_01949
ko:K06978	lmt:LMRG_01941
ko:K03654	lmt:LMRG_01939
ko:K02760	lmt:LMRG_01933
ko:K02761	lmt:LMRG_01932
ko:K02759	lmt:LMRG_01930
ko:K01919	lmt:LMRG_01925
ko:K01223	lmt:LMRG_01924
ko:K06942	lmt:LMRG_01918
ko:K02759	lmt:LMRG_01917
ko:K05349	lmt:LMRG_01916
ko:K02760	lmt:LMRG_01915
ko:K02761	lmt:LMRG_01914
ko:K03781	lmt:LMRG_01912
ko:K02759	lmt:LMRG_02298
ko:K02760	lmt:LMRG_02299
ko:K02761	lmt:LMRG_02300
ko:K00231	lmt:LMRG_02308
ko:K00997	lmt:LMRG_02309
ko:K01775	lmt:LMRG_02310
ko:K07723	lmt:LMRG_02311
ko:K03321	lmt:LMRG_02321
ko:K06959	lmt:LMRG_02322
ko:K02761	lmt:LMRG_02844
ko:K02760	lmt:LMRG_02014
ko:K02761	lmt:LMRG_02015
ko:K02759	lmt:LMRG_02016
ko:K01223	lmt:LMRG_02017
ko:K07089	lmt:LMRG_02020
ko:K00764	lmt:LMRG_02503
ko:K01952	lmt:LMRG_02502
ko:K01952	lmt:LMRG_02501
ko:K01952	lmt:LMRG_02500
ko:K01923	lmt:LMRG_02499
ko:K01756	lmt:LMRG_02498
ko:K01589	lmt:LMRG_02497
ko:K01588	lmt:LMRG_02496
ko:K06950	lmt:LMRG_02835
ko:K02013	lmt:LMRG_02834
ko:K01142	lmt:LMRG_02830
ko:K02887	lmt:LMRG_02829
ko:K02916	lmt:LMRG_02828
ko:K02520	lmt:LMRG_02827
ko:K02884	lmt:LMRG_02811
ko:K00554	lmt:LMRG_02816
ko:K02860	lmt:LMRG_02817
ko:K07010	lmt:LMRG_02819
ko:K06960	lmt:LMRG_02820
ko:K02959	lmt:LMRG_02821
ko:K03106	lmt:LMRG_00948
ko:K03110	lmt:LMRG_00950
ko:K03529	lmt:LMRG_00951
ko:K03685	lmt:LMRG_00952
ko:K02078	lmt:LMRG_00953
ko:K00645	lmt:LMRG_00955
ko:K03621	lmt:LMRG_00956
ko:K03655	lmt:LMRG_00958
ko:K01752	lmt:LMRG_00959
ko:K01752	lmt:LMRG_00960
ko:K02902	lmt:LMRG_00963
ko:K02874	lmt:LMRG_02166
ko:K02961	lmt:LMRG_02167
ko:K02904	lmt:LMRG_02168
ko:K02878	lmt:LMRG_02169
ko:K02982	lmt:LMRG_02170
ko:K02890	lmt:LMRG_02171
ko:K02965	lmt:LMRG_02172
ko:K02886	lmt:LMRG_02173
ko:K02892	lmt:LMRG_02174
ko:K02926	lmt:LMRG_02175
ko:K02906	lmt:LMRG_02176
ko:K02946	lmt:LMRG_02177
ko:K03734	lmt:LMRG_02181
ko:K03885	lmt:LMRG_02183
ko:K02358	lmt:LMRG_02198
ko:K02355	lmt:LMRG_02199
ko:K02992	lmt:LMRG_02200
ko:K02950	lmt:LMRG_02201
ko:K01129	lmt:LMRG_02202
ko:K01783	lmt:LMRG_02204
ko:K00615	lmt:LMRG_02205
ko:K01783	lmt:LMRG_02206
ko:K01808	lmt:LMRG_02207
ko:K02774	lmt:LMRG_02211
ko:K02773	lmt:LMRG_02212
ko:K01808	lmt:LMRG_02219
ko:K00615	lmt:LMRG_00033
ko:K01808	lmt:LMRG_00036
ko:K01803	lmt:LMRG_00037
ko:K05879	lmt:LMRG_00038
ko:K05878	lmt:LMRG_00039
ko:K02769	lmt:LMRG_00049
ko:K02770	lmt:LMRG_00049
ko:K01624	lmt:LMRG_00050
ko:K03118	lmt:LMRG_00053
ko:K03116	lmt:LMRG_00054
ko:K05995	lmt:LMRG_00055
ko:K07243	lmt:LMRG_00057
ko:K07224	lmt:LMRG_00058
ko:K06193	lmt:LMRG_00062
ko:K02761	lmt:LMRG_00065
ko:K02760	lmt:LMRG_00066
ko:K06608	lmt:LMRG_00075
ko:K02622	lmt:LMRG_00736
ko:K02621	lmt:LMRG_00737
ko:K07173	lmt:LMRG_00738
ko:K01126	lmt:LMRG_00742
ko:K00111	lmt:LMRG_00743
ko:K00791	lmt:LMRG_00744
