ko:K01006	rpn:H374_5750
ko:K02970	rpn:H374_4410
ko:K13598	rpn:H374_4420
ko:K03536	rpn:H374_4470
ko:K02914	rpn:H374_4480
ko:K03978	rpn:H374_560
ko:K02909	rpn:H374_570
ko:K02902	rpn:H374_580
ko:K02065	rpn:H374_600
ko:K02066	rpn:H374_610
ko:K01775	rpn:H374_620
ko:K07323	rpn:H374_630
ko:K04754	rpn:H374_640
ko:K00812	rpn:H374_660
ko:K02887	rpn:H374_4490
ko:K09778	rpn:H374_670
ko:K02527	rpn:H374_680
ko:K02357	rpn:H374_700
ko:K02967	rpn:H374_710
ko:K01883	rpn:H374_720
ko:K03075	rpn:H374_780
ko:K03762	rpn:H374_790
ko:K07275	rpn:H374_810
ko:K00325	rpn:H374_820
ko:K09987	rpn:H374_830
ko:K06879	rpn:H374_840
ko:K13584	rpn:H374_850
ko:K02916	rpn:H374_4500
ko:K02897	rpn:H374_4520
ko:K03071	rpn:H374_860
ko:K01494	rpn:H374_870
ko:K02621	rpn:H374_890
ko:K01887	rpn:H374_910
ko:K01129	rpn:H374_920
ko:K01627	rpn:H374_940
ko:K03501	rpn:H374_990
ko:K03495	rpn:H374_1000
ko:K00940	rpn:H374_1010
ko:K02445	rpn:H374_1020
ko:K01056	rpn:H374_4530
ko:K06942	rpn:H374_4550
ko:K02313	rpn:H374_4580
ko:K09159	rpn:H374_4600
ko:K03723	rpn:H374_4620
ko:K01928	rpn:H374_4630
ko:K01929	rpn:H374_4640
ko:K01000	rpn:H374_4650
ko:K02933	rpn:H374_4090
ko:K02956	rpn:H374_5650
ko:K03177	rpn:H374_5660
ko:K03301	rpn:H374_5670
ko:K07058	rpn:H374_5700
ko:K01915	rpn:H374_5710
ko:K05810	rpn:H374_5730
ko:K00799	rpn:H374_5760
ko:K13643	rpn:H374_5780
ko:K04487	rpn:H374_5790
ko:K04487	rpn:H374_5810
ko:K04488	rpn:H374_5820
ko:K13628	rpn:H374_5830
ko:K03294	rpn:H374_5840
ko:K01262	rpn:H374_5850
ko:K01262	rpn:H374_5860
ko:K02523	rpn:H374_5870
ko:K08218	rpn:H374_5920
ko:K07018	rpn:H374_5970
ko:K00655	rpn:H374_5990
ko:K01867	rpn:H374_6000
ko:K01749	rpn:H374_6020
ko:K06980	rpn:H374_6050
ko:K03684	rpn:H374_6070
ko:K01934	rpn:H374_6080
ko:K01934	rpn:H374_6090
ko:K00382	rpn:H374_6100
ko:K02919	rpn:H374_6140
ko:K00962	rpn:H374_5640
ko:K07277	rpn:H374_9370
ko:K02986	rpn:H374_7300
ko:K05569	rpn:H374_9400
ko:K09903	rpn:H374_9410
ko:K02838	rpn:H374_9420
ko:K03301	rpn:H374_1030
ko:K02536	rpn:H374_1470
ko:K02372	rpn:H374_1480
ko:K00677	rpn:H374_1490
ko:K03671	rpn:H374_1530
ko:K09773	rpn:H374_1540
ko:K01599	rpn:H374_1550
ko:K01772	rpn:H374_1560
ko:K08973	rpn:H374_1570
ko:K00228	rpn:H374_1580
ko:K03762	rpn:H374_1590
ko:K03572	rpn:H374_1610
ko:K02913	rpn:H374_1620
ko:K00995	rpn:H374_1070
ko:K02959	rpn:H374_1630
ko:K03801	rpn:H374_1640
ko:K01439	rpn:H374_1660
ko:K02339	rpn:H374_1670
ko:K07091	rpn:H374_1680
ko:K06167	rpn:H374_1700
ko:K06985	rpn:H374_1730
ko:K09747	rpn:H374_1740
ko:K02343	rpn:H374_1750
ko:K00324	rpn:H374_1770
ko:K00324	rpn:H374_1780
ko:K03624	rpn:H374_1790
ko:K03086	rpn:H374_1820
ko:K06173	rpn:H374_1830
ko:K01872	rpn:H374_1850
ko:K03762	rpn:H374_1890
ko:K09765	rpn:H374_1900
ko:K01878	rpn:H374_1910
ko:K01879	rpn:H374_1920
ko:K07566	rpn:H374_1930
ko:K02493	rpn:H374_1940
ko:K06180	rpn:H374_1950
ko:K01647	rpn:H374_1970
ko:K03979	rpn:H374_1980
ko:K03821	rpn:H374_2260
ko:K03733	rpn:H374_2290
ko:K06204	rpn:H374_2300
ko:K06287	rpn:H374_2310
ko:K02518	rpn:H374_2320
ko:K09710	rpn:H374_2340
ko:K03455	rpn:H374_2350
ko:K06168	rpn:H374_2370
ko:K05366	rpn:H374_2380
ko:K04047	rpn:H374_2400
ko:K00382	rpn:H374_2410
ko:K02113	rpn:H374_2420
ko:K02111	rpn:H374_2430
ko:K02115	rpn:H374_2440
ko:K02112	rpn:H374_2450
ko:K02114	rpn:H374_2460
ko:K01681	rpn:H374_2470
ko:K00337	rpn:H374_2500
ko:K00338	rpn:H374_2510
ko:K02193	rpn:H374_2520
ko:K00342	rpn:H374_2530
ko:K00341	rpn:H374_2540
ko:K00340	rpn:H374_2550
ko:K00339	rpn:H374_2560
ko:K05794	rpn:H374_2600
ko:K01875	rpn:H374_2630
ko:K03118	rpn:H374_2640
ko:K00012	rpn:H374_2670
ko:K02337	rpn:H374_2680
ko:K00789	rpn:H374_2690
ko:K00789	rpn:H374_2700
ko:K03110	rpn:H374_2720
ko:K02911	rpn:H374_2740
ko:K00648	rpn:H374_2750
ko:K03640	rpn:H374_2760
ko:K11720	rpn:H374_2770
ko:K03569	rpn:H374_2780
ko:K03570	rpn:H374_2790
ko:K00942	rpn:H374_2810
ko:K09458	rpn:H374_2820
ko:K03182	rpn:H374_2250
ko:K03655	rpn:H374_4680
ko:K03980	rpn:H374_4710
ko:K01507	rpn:H374_4720
ko:K02197	rpn:H374_4730
ko:K07152	rpn:H374_4740
ko:K03072	rpn:H374_4750
ko:K03210	rpn:H374_4760
ko:K06213	rpn:H374_4780
ko:K02470	rpn:H374_4810
ko:K00790	rpn:H374_4820
ko:K03060	rpn:H374_4830
ko:K00997	rpn:H374_4840
ko:K03769	rpn:H374_4850
ko:K03703	rpn:H374_4900
ko:K03925	rpn:H374_4930
ko:K03438	rpn:H374_4940
ko:K03587	rpn:H374_4970
ko:K05515	rpn:H374_5000
ko:K13599	rpn:H374_5040
ko:K03185	rpn:H374_5050
ko:K01782	rpn:H374_5070
ko:K06894	rpn:H374_5080
ko:K03070	rpn:H374_4860
ko:K01866	rpn:H374_5090
ko:K06442	rpn:H374_5100
ko:K09748	rpn:H374_5110
ko:K02600	rpn:H374_5120
ko:K02519	rpn:H374_5130
ko:K03584	rpn:H374_5190
ko:K01338	rpn:H374_6200
ko:K01754	rpn:H374_6210
ko:K03657	rpn:H374_6230
ko:K00384	rpn:H374_6250
ko:K07088	rpn:H374_6270
ko:K00057	rpn:H374_6280
ko:K00858	rpn:H374_6300
ko:K06187	rpn:H374_6320
ko:K02834	rpn:H374_6350
ko:K02834	rpn:H374_6360
ko:K01903	rpn:H374_6380
ko:K01902	rpn:H374_6390
ko:K03664	rpn:H374_6410
ko:K01714	rpn:H374_6420
ko:K00826	rpn:H374_6430
ko:K07659	rpn:H374_6440
ko:K07638	rpn:H374_6450
ko:K00806	rpn:H374_6460
ko:K00981	rpn:H374_6470
ko:K03684	rpn:H374_6490
ko:K01869	rpn:H374_6500
ko:K02338	rpn:H374_6520
ko:K01890	rpn:H374_6530
ko:K01889	rpn:H374_6540
ko:K01778	rpn:H374_6560
ko:K02563	rpn:H374_6590
ko:K03588	rpn:H374_6610
ko:K01925	rpn:H374_6620
ko:K03101	rpn:H374_6640
ko:K02275	rpn:H374_6660
ko:K02274	rpn:H374_6670
ko:K07010	rpn:H374_6680
ko:K01297	rpn:H374_6710
ko:K08309	rpn:H374_6730
ko:K01823	rpn:H374_6180
ko:K00067	rpn:H374_7430
ko:K07447	rpn:H374_7450
ko:K03386	rpn:H374_7480
ko:K03168	rpn:H374_7500
ko:K01885	rpn:H374_7520
ko:K03523	rpn:H374_7540
ko:K06202	rpn:H374_7560
ko:K03703	rpn:H374_4890
ko:K07082	rpn:H374_7570
ko:K00748	rpn:H374_7580
ko:K03667	rpn:H374_7590
ko:K01419	rpn:H374_7600
ko:K00133	rpn:H374_7630
ko:K03560	rpn:H374_7700
ko:K01892	rpn:H374_7720
ko:K03294	rpn:H374_7730
ko:K00566	rpn:H374_7740
ko:K02258	rpn:H374_7760
ko:K03089	rpn:H374_7770
ko:K03641	rpn:H374_7780
ko:K01808	rpn:H374_7810
ko:K03562	rpn:H374_7710
ko:K03555	rpn:H374_7840
ko:K01082	rpn:H374_7850
ko:K00031	rpn:H374_8240
ko:K06207	rpn:H374_8260
ko:K00162	rpn:H374_8280
ko:K00161	rpn:H374_8290
ko:K01142	rpn:H374_8300
ko:K06179	rpn:H374_8320
ko:K02259	rpn:H374_8340
ko:K08300	rpn:H374_8350
ko:K02535	rpn:H374_8370
ko:K08738	rpn:H374_8380
ko:K03590	rpn:H374_8400
ko:K03589	rpn:H374_8410
ko:K01921	rpn:H374_8420
ko:K00075	rpn:H374_8430
ko:K01924	rpn:H374_8440
ko:K05527	rpn:H374_8460
ko:K03543	rpn:H374_8480
ko:K01613	rpn:H374_8500
ko:K01092	rpn:H374_8520
ko:K02356	rpn:H374_8530
ko:K08311	rpn:H374_8560
ko:K02996	rpn:H374_8570
ko:K02871	rpn:H374_8580
ko:K07716	rpn:H374_8620
ko:K03797	rpn:H374_8630
ko:K02622	rpn:H374_8650
ko:K09991	rpn:H374_8670
ko:K12340	rpn:H374_8680
ko:K01868	rpn:H374_8710
ko:K01923	rpn:H374_8730
ko:K00426	rpn:H374_8760
ko:K00425	rpn:H374_8770
ko:K05571	rpn:H374_8230
ko:K03217	rpn:H374_1080
ko:K16053	rpn:H374_1090
ko:K13292	rpn:H374_1100
ko:K00240	rpn:H374_1120
ko:K03798	rpn:H374_1130
ko:K04075	rpn:H374_1140
ko:K02939	rpn:H374_1150
ko:K02963	rpn:H374_1160
ko:K02990	rpn:H374_1170
ko:K01409	rpn:H374_1190
ko:K03695	rpn:H374_1200
ko:K00023	rpn:H374_1210
ko:K07735	rpn:H374_1240
ko:K07152	rpn:H374_1250
ko:K03629	rpn:H374_1270
ko:K07736	rpn:H374_1300
ko:K02116	rpn:H374_1320
ko:K02108	rpn:H374_1330
ko:K02110	rpn:H374_1340
ko:K02109	rpn:H374_1350
ko:K02109	rpn:H374_1360
ko:K00970	rpn:H374_1410
ko:K09815	rpn:H374_1420
ko:K04079	rpn:H374_2010
ko:K09131	rpn:H374_2020
ko:K03701	rpn:H374_2070
ko:K09817	rpn:H374_2080
ko:K02195	rpn:H374_2120
ko:K05524	rpn:H374_2130
ko:K01265	rpn:H374_2190
ko:K03466	rpn:H374_2210
ko:K02078	rpn:H374_2830
ko:K00059	rpn:H374_2840
ko:K03650	rpn:H374_2870
ko:K15371	rpn:H374_2880
ko:K09888	rpn:H374_2920
ko:K00928	rpn:H374_2950
ko:K02899	rpn:H374_2960
ko:K02888	rpn:H374_2970
ko:K06925	rpn:H374_1430
ko:K03545	rpn:H374_1990
ko:K00643	rpn:H374_2000
ko:K01095	rpn:H374_2980
ko:K03116	rpn:H374_2990
ko:K07056	rpn:H374_3010
ko:K10773	rpn:H374_3020
ko:K07390	rpn:H374_3030
ko:K06999	rpn:H374_3040
ko:K00600	rpn:H374_3050
ko:K03644	rpn:H374_3060
ko:K07042	rpn:H374_3070
ko:K03301	rpn:H374_3090
ko:K03821	rpn:H374_3100
ko:K00626	rpn:H374_3110
ko:K00645	rpn:H374_3120
ko:K14998	rpn:H374_3140
ko:K02342	rpn:H374_3150
ko:K00859	rpn:H374_3160
ko:K03688	rpn:H374_3750
ko:K03977	rpn:H374_3760
ko:K01142	rpn:H374_3770
ko:K03601	rpn:H374_3780
ko:K04744	rpn:H374_3790
ko:K02528	rpn:H374_3810
ko:K03704	rpn:H374_3850
ko:K03531	rpn:H374_3890
ko:K01679	rpn:H374_3900
ko:K03218	rpn:H374_3910
ko:K02358	rpn:H374_3920
ko:K02946	rpn:H374_3930
ko:K02906	rpn:H374_3940
ko:K02926	rpn:H374_3950
ko:K02892	rpn:H374_3960
ko:K02886	rpn:H374_3970
ko:K02965	rpn:H374_3980
ko:K02890	rpn:H374_3990
ko:K02982	rpn:H374_4000
ko:K02878	rpn:H374_4010
ko:K02904	rpn:H374_4020
ko:K02961	rpn:H374_4030
ko:K02874	rpn:H374_4040
ko:K02895	rpn:H374_4050
ko:K02931	rpn:H374_4060
ko:K02954	rpn:H374_4070
ko:K02994	rpn:H374_4080
ko:K04485	rpn:H374_5210
ko:K06178	rpn:H374_5230
ko:K03186	rpn:H374_5250
ko:K04066	rpn:H374_5260
ko:K01698	rpn:H374_5270
ko:K00343	rpn:H374_5300
ko:K11754	rpn:H374_5320
ko:K04564	rpn:H374_5330
ko:K07001	rpn:H374_5340
ko:K03524	rpn:H374_5350
ko:K02520	rpn:H374_5370
ko:K00627	rpn:H374_5380
ko:K02835	rpn:H374_5390
ko:K07462	rpn:H374_5400
ko:K03628	rpn:H374_5420
ko:K04773	rpn:H374_5430
ko:K05788	rpn:H374_5440
ko:K00945	rpn:H374_5450
ko:K02945	rpn:H374_5460
ko:K01358	rpn:H374_5470
ko:K01491	rpn:H374_5500
ko:K00384	rpn:H374_5510
ko:K00791	rpn:H374_5580
ko:K06861	rpn:H374_5600
ko:K09774	rpn:H374_5610
ko:K11719	rpn:H374_5620
ko:K06041	rpn:H374_5630
ko:K00449	rpn:H374_6770
ko:K07243	rpn:H374_6810
ko:K06190	rpn:H374_6820
ko:K03642	rpn:H374_6840
ko:K07258	rpn:H374_6850
ko:K11085	rpn:H374_6870
ko:K03551	rpn:H374_6880
ko:K03550	rpn:H374_6890
ko:K01881	rpn:H374_6910
ko:K01495	rpn:H374_6920
ko:K00979	rpn:H374_6940
ko:K01937	rpn:H374_6950
ko:K00024	rpn:H374_6970
ko:K00029	rpn:H374_7010
ko:K07088	rpn:H374_7020
ko:K04566	rpn:H374_7030
ko:K05833	rpn:H374_7050
ko:K05832	rpn:H374_7060
ko:K01989	rpn:H374_7070
ko:K03820	rpn:H374_7090
ko:K00208	rpn:H374_7100
ko:K04763	rpn:H374_7140
ko:K00330	rpn:H374_7180
ko:K00331	rpn:H374_7190
ko:K00332	rpn:H374_7200
ko:K00333	rpn:H374_7210
ko:K00334	rpn:H374_7220
ko:K08998	rpn:H374_7230
ko:K03652	rpn:H374_7240
ko:K03602	rpn:H374_7250
ko:K01524	rpn:H374_7900
ko:K05567	rpn:H374_7980
ko:K05568	rpn:H374_8000
ko:K05568	rpn:H374_8010
ko:K05568	rpn:H374_8050
ko:K01354	rpn:H374_8070
ko:K05837	rpn:H374_8090
ko:K03596	rpn:H374_8140
ko:K02836	rpn:H374_8150
ko:K00413	rpn:H374_8170
ko:K00412	rpn:H374_8180
ko:K00411	rpn:H374_8190
ko:K02194	rpn:H374_8210
ko:K05566	rpn:H374_8220
ko:K02860	rpn:H374_7270
ko:K09691	rpn:H374_1520
ko:K00335	rpn:H374_410
ko:K02030	rpn:H374_40
ko:K17717	rpn:H374_2270
ko:K17716	rpn:H374_7420
ko:K01980	rpn:H374_r10
ko:K02028	rpn:H374_1710
ko:K14236	rpn:H374_t60
ko:K14224	rpn:H374_t300
ko:K01985	rpn:H374_r30
ko:K00951	rpn:H374_4290
ko:K17103	rpn:H374_8490
ko:K14222	rpn:H374_t170
ko:K14232	rpn:H374_t290
ko:K14237	rpn:H374_t220
ko:K14225	rpn:H374_t70
ko:K14228	rpn:H374_t260
ko:K14219	rpn:H374_t230
ko:K14219	rpn:H374_t200
ko:K14233	rpn:H374_t280
ko:K14233	rpn:H374_t120
ko:K14233	rpn:H374_t130
ko:K14226	rpn:H374_t270
ko:K14237	rpn:H374_t80
ko:K01977	rpn:H374_r20
ko:K14225	rpn:H374_t250
ko:K14218	rpn:H374_t90
ko:K14218	rpn:H374_t100
ko:K14221	rpn:H374_t210
ko:K14223	rpn:H374_t110
ko:K14227	rpn:H374_t190
ko:K14229	rpn:H374_t180
ko:K14220	rpn:H374_t160
ko:K14230	rpn:H374_t150
ko:K14234	rpn:H374_t140
ko:K14231	rpn:H374_t10
ko:K14228	rpn:H374_t30
ko:K08316	rpn:H374_5220
ko:K14235	rpn:H374_t330
ko:K14230	rpn:H374_t320
ko:K14230	rpn:H374_t50
ko:K14234	rpn:H374_t310
ko:K14234	rpn:H374_t20
ko:K14228	rpn:H374_t240
ko:K14219	rpn:H374_t40
ko:K05540	rpn:H374_1450
ko:K01840	rpn:H374_5590
ko:K01791	rpn:H374_7410
ko:K12574	rpn:H374_6290
ko:K15270	rpn:H374_800
ko:K05973	rpn:H374_3730
ko:K11528	rpn:H374_6160
ko:K06867	rpn:H374_8660
ko:K06900	rpn:H374_4570
ko:K01354	rpn:H374_8080
ko:K03723	rpn:H374_4610
ko:K05810	rpn:H374_5720
ko:K04487	rpn:H374_5800
ko:K02470	rpn:H374_4800
ko:K03587	rpn:H374_4960
ko:K05515	rpn:H374_4990
ko:K02519	rpn:H374_5140
ko:K03584	rpn:H374_5180
ko:K01885	rpn:H374_7510
ko:K03555	rpn:H374_7820
ko:K02259	rpn:H374_8330
ko:K02622	rpn:H374_8640
ko:K02022	rpn:H374_7660
ko:K03446	rpn:H374_9390
ko:K02488	rpn:H374_8540
ko:K02488	rpn:H374_8550
ko:K05367	rpn:H374_8990
ko:K18588	rpn:H374_9300
ko:K18587	rpn:H374_4400
ko:K18707	rpn:H374_6550
ko:K06147	rpn:H374_8790
ko:K03205	rpn:H374_7910
ko:K03196	rpn:H374_7920
ko:K03204	rpn:H374_7940
ko:K03203	rpn:H374_7950
ko:K03203	rpn:H374_7960
ko:K03204	rpn:H374_7970
ko:K03496	rpn:H374_130
ko:K03201	rpn:H374_480
ko:K03201	rpn:H374_490
ko:K03201	rpn:H374_500
ko:K03201	rpn:H374_520
ko:K03201	rpn:H374_530
ko:K03497	rpn:H374_970
ko:K03496	rpn:H374_980
ko:K03111	rpn:H374_2060
ko:K16898	rpn:H374_3130
ko:K16899	rpn:H374_6700
ko:K16899	rpn:H374_6690
ko:K00336	rpn:H374_2490
ko:K04771	rpn:H374_320
ko:K06867	rpn:H374_3330
ko:K09690	rpn:H374_1510
ko:K06889	rpn:H374_7320
ko:K09796	rpn:H374_4880
ko:K00507	rpn:H374_1180
ko:K03198	rpn:H374_550
ko:K03199	rpn:H374_2620
ko:K04755	rpn:H374_8920
ko:K03195	rpn:H374_7930
ko:K03199	rpn:H374_540
ko:K02314	rpn:H374_5240
ko:K00525	rpn:H374_5530
ko:K03676	rpn:H374_8870
ko:K02316	rpn:H374_1810
ko:K01520	rpn:H374_6740
ko:K03465	rpn:H374_7790
ko:K03553	rpn:H374_2850
ko:K07552	rpn:H374_4560
ko:K00525	rpn:H374_5520
ko:K00526	rpn:H374_5540
ko:K02335	rpn:H374_2710
ko:K10026	rpn:H374_4510
ko:K21929	rpn:H374_1960
ko:K03595	rpn:H374_380
ko:K11991	rpn:H374_2110
ko:K02257	rpn:H374_7290
