ko:K00020	cpsu:CPTB_00721
ko:K02954	cpsu:CPTB_00326
ko:K02963	cpsu:CPTB_00327
ko:K01644	cpsu:CPTB_00330
ko:K10007	cpsu:CPTB_00331
ko:K10006	cpsu:CPTB_00332
ko:K10005	cpsu:CPTB_00333
ko:K10008	cpsu:CPTB_00334
ko:K00602	cpsu:CPTB_00335
ko:K11175	cpsu:CPTB_00336
ko:K03657	cpsu:CPTB_00339
ko:K04093	cpsu:CPTB_00340
ko:K00135	cpsu:CPTB_00341
ko:K01810	cpsu:CPTB_00342
ko:K05522	cpsu:CPTB_00344
ko:K03649	cpsu:CPTB_00345
ko:K07146	cpsu:CPTB_01117
ko:K13671	cpsu:CPTB_01123
ko:K07784	cpsu:CPTB_01125
ko:K08224	cpsu:CPTB_01129
ko:K04564	cpsu:CPTB_01132
ko:K07304	cpsu:CPTB_01134
ko:K00016	cpsu:CPTB_01136
ko:K00758	cpsu:CPTB_01137
ko:K01489	cpsu:CPTB_01138
ko:K03317	cpsu:CPTB_01139
ko:K01126	cpsu:CPTB_01140
ko:K03310	cpsu:CPTB_01142
ko:K03310	cpsu:CPTB_01143
ko:K04518	cpsu:CPTB_01150
ko:K03710	cpsu:CPTB_01155
ko:K01875	cpsu:CPTB_01156
ko:K02016	cpsu:CPTB_01162
ko:K02015	cpsu:CPTB_01163
ko:K02013	cpsu:CPTB_01164
ko:K01854	cpsu:CPTB_01165
ko:K02445	cpsu:CPTB_01166
ko:K01126	cpsu:CPTB_01167
ko:K00791	cpsu:CPTB_01942
ko:K01778	cpsu:CPTB_01943
ko:K03665	cpsu:CPTB_01946
ko:K00299	cpsu:CPTB_01948
ko:K11189	cpsu:CPTB_01950
ko:K02768	cpsu:CPTB_01951
ko:K02769	cpsu:CPTB_01951
ko:K02770	cpsu:CPTB_01951
ko:K00882	cpsu:CPTB_01952
ko:K03436	cpsu:CPTB_01953
ko:K08483	cpsu:CPTB_01954
ko:K03436	cpsu:CPTB_01955
ko:K01356	cpsu:CPTB_01956
ko:K07738	cpsu:CPTB_01958
ko:K03578	cpsu:CPTB_01959
ko:K04761	cpsu:CPTB_01961
ko:K03386	cpsu:CPTB_01963
ko:K04756	cpsu:CPTB_01964
ko:K01784	cpsu:CPTB_01969
ko:K03709	cpsu:CPTB_01970
ko:K03087	cpsu:CPTB_01971
ko:K07560	cpsu:CPTB_01972
ko:K03086	cpsu:CPTB_01978
ko:K00886	cpsu:CPTB_01979
ko:K01092	cpsu:CPTB_01980
ko:K01092	cpsu:CPTB_01981
ko:K02073	cpsu:CPTB_00555
ko:K02071	cpsu:CPTB_00556
ko:K02072	cpsu:CPTB_00557
ko:K01951	cpsu:CPTB_00565
ko:K00088	cpsu:CPTB_00568
ko:K00088	cpsu:CPTB_00569
ko:K03088	cpsu:CPTB_00573
ko:K04077	cpsu:CPTB_00574
ko:K04078	cpsu:CPTB_00575
ko:K01409	cpsu:CPTB_00576
ko:K03789	cpsu:CPTB_00577
ko:K07085	cpsu:CPTB_00580
ko:K06925	cpsu:CPTB_00581
ko:K01775	cpsu:CPTB_00582
ko:K03431	cpsu:CPTB_00587
ko:K02996	cpsu:CPTB_00588
ko:K02871	cpsu:CPTB_00589
ko:K03466	cpsu:CPTB_00593
ko:K14743	cpsu:CPTB_00595
ko:K06173	cpsu:CPTB_00599
ko:K02879	cpsu:CPTB_00601
ko:K03040	cpsu:CPTB_00602
ko:K02986	cpsu:CPTB_00603
ko:K02948	cpsu:CPTB_00604
ko:K02952	cpsu:CPTB_00605
ko:K02518	cpsu:CPTB_00606
ko:K07736	cpsu:CPTB_01387
ko:K00991	cpsu:CPTB_01388
ko:K01770	cpsu:CPTB_01389
ko:K01883	cpsu:CPTB_01390
ko:K03218	cpsu:CPTB_01391
ko:K01087	cpsu:CPTB_01393
ko:K00697	cpsu:CPTB_01395
ko:K00156	cpsu:CPTB_01399
ko:K08167	cpsu:CPTB_01404
ko:K08167	cpsu:CPTB_01405
ko:K02484	cpsu:CPTB_01407
ko:K01945	cpsu:CPTB_01410
ko:K03499	cpsu:CPTB_01412
ko:K01756	cpsu:CPTB_01413
ko:K01923	cpsu:CPTB_01414
ko:K01354	cpsu:CPTB_01416
ko:K00432	cpsu:CPTB_01417
ko:K01952	cpsu:CPTB_01418
ko:K01952	cpsu:CPTB_01419
ko:K01952	cpsu:CPTB_01420
ko:K11068	cpsu:CPTB_01421
ko:K03647	cpsu:CPTB_01423
ko:K00764	cpsu:CPTB_01425
ko:K01933	cpsu:CPTB_01426
ko:K06980	cpsu:CPTB_01428
ko:K02619	cpsu:CPTB_01430
ko:K03284	cpsu:CPTB_02186
ko:K00033	cpsu:CPTB_02188
ko:K08999	cpsu:CPTB_02195
ko:K03070	cpsu:CPTB_02198
ko:K06889	cpsu:CPTB_02200
ko:K07397	cpsu:CPTB_02200
ko:K09858	cpsu:CPTB_02201
ko:K02013	cpsu:CPTB_02210
ko:K02015	cpsu:CPTB_02211
ko:K02016	cpsu:CPTB_02213
ko:K07792	cpsu:CPTB_02217
ko:K03977	cpsu:CPTB_02218
ko:K00945	cpsu:CPTB_02219
ko:K06178	cpsu:CPTB_02220
ko:K06024	cpsu:CPTB_02221
ko:K01935	cpsu:CPTB_02222
ko:K00833	cpsu:CPTB_02223
ko:K03305	cpsu:CPTB_02225
ko:K01935	cpsu:CPTB_02226
ko:K05896	cpsu:CPTB_02227
ko:K04763	cpsu:CPTB_02229
ko:K01515	cpsu:CPTB_02230
ko:K02029	cpsu:CPTB_00040
ko:K02028	cpsu:CPTB_00041
ko:K07090	cpsu:CPTB_00043
ko:K00954	cpsu:CPTB_00044
ko:K08316	cpsu:CPTB_00045
ko:K03655	cpsu:CPTB_00047
ko:K07030	cpsu:CPTB_00048
ko:K03648	cpsu:CPTB_00049
ko:K00946	cpsu:CPTB_00051
ko:K01921	cpsu:CPTB_00053
ko:K00057	cpsu:CPTB_00054
ko:K03574	cpsu:CPTB_00056
ko:K01704	cpsu:CPTB_00057
ko:K01703	cpsu:CPTB_00058
ko:K01012	cpsu:CPTB_00061
ko:K03932	cpsu:CPTB_00065
ko:K13693	cpsu:CPTB_00195
ko:K00796	cpsu:CPTB_00196
ko:K06966	cpsu:CPTB_00197
ko:K01439	cpsu:CPTB_00198
ko:K00674	cpsu:CPTB_00199
ko:K16237	cpsu:CPTB_00200
ko:K00674	cpsu:CPTB_00201
ko:K16237	cpsu:CPTB_00202
ko:K15525	cpsu:CPTB_00208
ko:K06207	cpsu:CPTB_00210
ko:K09146	cpsu:CPTB_00212
ko:K00537	cpsu:CPTB_00213
ko:K02031	cpsu:CPTB_00216
ko:K02032	cpsu:CPTB_00216
ko:K15582	cpsu:CPTB_00217
ko:K15581	cpsu:CPTB_00218
ko:K15580	cpsu:CPTB_00219
ko:K16785	cpsu:CPTB_00222
ko:K16786	cpsu:CPTB_00223
ko:K16787	cpsu:CPTB_00223
ko:K16925	cpsu:CPTB_00224
ko:K00077	cpsu:CPTB_00225
ko:K09781	cpsu:CPTB_00226
ko:K06193	cpsu:CPTB_00231
ko:K06942	cpsu:CPTB_00233
ko:K03527	cpsu:CPTB_00236
ko:K03601	cpsu:CPTB_00237
ko:K03602	cpsu:CPTB_00238
ko:K02446	cpsu:CPTB_00240
ko:K01679	cpsu:CPTB_00241
ko:K01448	cpsu:CPTB_01016
ko:K03671	cpsu:CPTB_01017
ko:K00384	cpsu:CPTB_01018
ko:K03088	cpsu:CPTB_01020
ko:K03980	cpsu:CPTB_01021
ko:K00970	cpsu:CPTB_01025
ko:K07735	cpsu:CPTB_01026
ko:K14347	cpsu:CPTB_01030
ko:K01695	cpsu:CPTB_01032
ko:K01696	cpsu:CPTB_01033
ko:K13498	cpsu:CPTB_01035
ko:K00766	cpsu:CPTB_01036
ko:K01658	cpsu:CPTB_01037
ko:K01657	cpsu:CPTB_01038
ko:K09946	cpsu:CPTB_01045
ko:K01792	cpsu:CPTB_01048
ko:K07052	cpsu:CPTB_01049
ko:K01714	cpsu:CPTB_01052
ko:K02031	cpsu:CPTB_01054
ko:K02034	cpsu:CPTB_01054
ko:K02033	cpsu:CPTB_01055
ko:K02035	cpsu:CPTB_01056
ko:K00845	cpsu:CPTB_01058
ko:K01788	cpsu:CPTB_01059
ko:K01443	cpsu:CPTB_01060
ko:K02564	cpsu:CPTB_01061
ko:K00865	cpsu:CPTB_01837
ko:K00262	cpsu:CPTB_01838
ko:K00259	cpsu:CPTB_01839
ko:K07040	cpsu:CPTB_01842
ko:K03685	cpsu:CPTB_01843
ko:K10563	cpsu:CPTB_01844
ko:K03310	cpsu:CPTB_01845
ko:K01512	cpsu:CPTB_01846
ko:K03529	cpsu:CPTB_01847
ko:K03110	cpsu:CPTB_01850
ko:K04751	cpsu:CPTB_01851
ko:K00990	cpsu:CPTB_01853
ko:K03106	cpsu:CPTB_01854
ko:K02959	cpsu:CPTB_01855
ko:K02860	cpsu:CPTB_01857
ko:K00554	cpsu:CPTB_01858
ko:K02768	cpsu:CPTB_01860
ko:K02769	cpsu:CPTB_01860
ko:K02770	cpsu:CPTB_01860
ko:K06959	cpsu:CPTB_01861
ko:K02884	cpsu:CPTB_01862
ko:K03100	cpsu:CPTB_01863
ko:K03470	cpsu:CPTB_01864
ko:K07391	cpsu:CPTB_01866
ko:K04096	cpsu:CPTB_01867
ko:K03733	cpsu:CPTB_01868
ko:K02967	cpsu:CPTB_01870
ko:K14231	cpsu:CPTB_tRNA00032
ko:K14227	cpsu:CPTB_tRNA00025
ko:K14232	cpsu:CPTB_tRNA00015
ko:K14230	cpsu:CPTB_tRNA00011
ko:K14225	cpsu:CPTB_tRNA00043
ko:K14225	cpsu:CPTB_tRNA00046
ko:K14230	cpsu:CPTB_tRNA00041
ko:K01911	cpsu:CPTB_00707
ko:K02548	cpsu:CPTB_00708
ko:K02015	cpsu:CPTB_00712
ko:K02016	cpsu:CPTB_00713
ko:K02013	cpsu:CPTB_00714
ko:K07399	cpsu:CPTB_00716
ko:K06196	cpsu:CPTB_00717
ko:K01845	cpsu:CPTB_00720
ko:K00231	cpsu:CPTB_00722
ko:K01599	cpsu:CPTB_00723
ko:K01698	cpsu:CPTB_00726
ko:K13542	cpsu:CPTB_00727
ko:K01749	cpsu:CPTB_00728
ko:K02492	cpsu:CPTB_00729
ko:K00286	cpsu:CPTB_00737
ko:K01524	cpsu:CPTB_00739
ko:K07776	cpsu:CPTB_00741
ko:K07768	cpsu:CPTB_00742
ko:K01834	cpsu:CPTB_00743
ko:K15521	cpsu:CPTB_00744
ko:K01897	cpsu:CPTB_00745
ko:K00075	cpsu:CPTB_00746
ko:K00656	cpsu:CPTB_00749
ko:K04069	cpsu:CPTB_00751
ko:K01619	cpsu:CPTB_00753
ko:K06200	cpsu:CPTB_01525
ko:K02351	cpsu:CPTB_01526
ko:K07245	cpsu:CPTB_01526
ko:K01990	cpsu:CPTB_01527
ko:K01992	cpsu:CPTB_01528
ko:K09136	cpsu:CPTB_01529
ko:K09136	cpsu:CPTB_01536
ko:K07107	cpsu:CPTB_01543
ko:K09936	cpsu:CPTB_01545
ko:K06886	cpsu:CPTB_01546
ko:K01256	cpsu:CPTB_01550
ko:K01256	cpsu:CPTB_01551
ko:K01808	cpsu:CPTB_01555
ko:K06911	cpsu:CPTB_01556
ko:K03545	cpsu:CPTB_01560
ko:K01358	cpsu:CPTB_01561
ko:K01358	cpsu:CPTB_01562
ko:K13950	cpsu:CPTB_01563
ko:K03544	cpsu:CPTB_01564
ko:K00024	cpsu:CPTB_01566
ko:K01873	cpsu:CPTB_01567
ko:K11754	cpsu:CPTB_01568
ko:K00940	cpsu:CPTB_01572
ko:K01885	cpsu:CPTB_00066
ko:K02361	cpsu:CPTB_00067
ko:K02342	cpsu:CPTB_00070
ko:K07182	cpsu:CPTB_00071
ko:K00052	cpsu:CPTB_00072
ko:K00058	cpsu:CPTB_00074
ko:K16264	cpsu:CPTB_00077
ko:K00053	cpsu:CPTB_00078
ko:K01653	cpsu:CPTB_00079
ko:K01652	cpsu:CPTB_00081
ko:K01687	cpsu:CPTB_00085
ko:K01687	cpsu:CPTB_00086
ko:K00046	cpsu:CPTB_00864
ko:K00098	cpsu:CPTB_00865
ko:K00851	cpsu:CPTB_00866
ko:K03299	cpsu:CPTB_00867
ko:K01885	cpsu:CPTB_00868
ko:K00773	cpsu:CPTB_00869
ko:K06994	cpsu:CPTB_00870
ko:K11991	cpsu:CPTB_00871
ko:K04517	cpsu:CPTB_00873
ko:K08681	cpsu:CPTB_00874
ko:K06215	cpsu:CPTB_00875
ko:K00375	cpsu:CPTB_00876
ko:K04561	cpsu:CPTB_00878
ko:K06996	cpsu:CPTB_00879
ko:K02803	cpsu:CPTB_00881
ko:K02804	cpsu:CPTB_00881
ko:K03480	cpsu:CPTB_00882
ko:K14445	cpsu:CPTB_00883
ko:K00817	cpsu:CPTB_00884
ko:K11707	cpsu:CPTB_00890
ko:K11709	cpsu:CPTB_00891
ko:K11708	cpsu:CPTB_00892
ko:K11710	cpsu:CPTB_00893
ko:K11707	cpsu:CPTB_00894
ko:K16649	cpsu:CPTB_00896
ko:K16653	cpsu:CPTB_00902
ko:K16652	cpsu:CPTB_00903
ko:K13686	cpsu:CPTB_00904
ko:K11387	cpsu:CPTB_00905
ko:K05845	cpsu:CPTB_00906
ko:K00849	cpsu:CPTB_01681
ko:K01915	cpsu:CPTB_01685
ko:K00982	cpsu:CPTB_01687
ko:K01733	cpsu:CPTB_01691
ko:K07084	cpsu:CPTB_01694
ko:K00088	cpsu:CPTB_01696
ko:K07035	cpsu:CPTB_01697
ko:K02004	cpsu:CPTB_01701
ko:K02003	cpsu:CPTB_01702
ko:K03427	cpsu:CPTB_01706
ko:K01156	cpsu:CPTB_01712
ko:K01156	cpsu:CPTB_01713
ko:K07316	cpsu:CPTB_01714
ko:K01915	cpsu:CPTB_01730
ko:K03644	cpsu:CPTB_01733
ko:K02357	cpsu:CPTB_01871
ko:K09903	cpsu:CPTB_01872
ko:K02838	cpsu:CPTB_01873
ko:K00981	cpsu:CPTB_01875
ko:K06941	cpsu:CPTB_01877
ko:K06941	cpsu:CPTB_01878
ko:K00099	cpsu:CPTB_01881
ko:K01265	cpsu:CPTB_01885
ko:K03088	cpsu:CPTB_00452
ko:K00800	cpsu:CPTB_00456
ko:K06949	cpsu:CPTB_00457
ko:K00508	cpsu:CPTB_00458
ko:K03070	cpsu:CPTB_00463
ko:K07654	cpsu:CPTB_00467
ko:K07670	cpsu:CPTB_00468
ko:K00943	cpsu:CPTB_00469
ko:K01251	cpsu:CPTB_00470
ko:K01809	cpsu:CPTB_00475
ko:K01840	cpsu:CPTB_00478
ko:K00966	cpsu:CPTB_00482
ko:K16870	cpsu:CPTB_00483
ko:K02027	cpsu:CPTB_00486
ko:K02025	cpsu:CPTB_00488
ko:K02026	cpsu:CPTB_00489
ko:K01588	cpsu:CPTB_00492
ko:K01589	cpsu:CPTB_00493
ko:K03524	cpsu:CPTB_00495
ko:K01966	cpsu:CPTB_00497
ko:K01966	cpsu:CPTB_00498
ko:K02529	cpsu:CPTB_00501
ko:K00852	cpsu:CPTB_00502
ko:K00111	cpsu:CPTB_01279
ko:K01011	cpsu:CPTB_01280
ko:K00762	cpsu:CPTB_01282
ko:K01624	cpsu:CPTB_01285
ko:K14194	cpsu:CPTB_01286
ko:K10947	cpsu:CPTB_01287
ko:K01990	cpsu:CPTB_01290
ko:K01992	cpsu:CPTB_01291
ko:K01939	cpsu:CPTB_01297
ko:K03385	cpsu:CPTB_01299
ko:K07399	cpsu:CPTB_01301
ko:K07101	cpsu:CPTB_01310
ko:K08289	cpsu:CPTB_01311
ko:K02348	cpsu:CPTB_01312
ko:K00528	cpsu:CPTB_01313
ko:K13788	cpsu:CPTB_01314
ko:K00925	cpsu:CPTB_01315
ko:K14949	cpsu:CPTB_01316
ko:K02030	cpsu:CPTB_01317
ko:K03574	cpsu:CPTB_01319
ko:K01990	cpsu:CPTB_01320
ko:K06131	cpsu:CPTB_01322
ko:K01142	cpsu:CPTB_01323
ko:K01462	cpsu:CPTB_01325
ko:K06048	cpsu:CPTB_01328
ko:K05571	cpsu:CPTB_01330
ko:K01595	cpsu:CPTB_02086
ko:K03075	cpsu:CPTB_02087
ko:K01057	cpsu:CPTB_02088
ko:K00036	cpsu:CPTB_02090
ko:K00616	cpsu:CPTB_02091
ko:K00615	cpsu:CPTB_02092
ko:K02259	cpsu:CPTB_02094
ko:K01992	cpsu:CPTB_02095
ko:K01990	cpsu:CPTB_02096
ko:K14339	cpsu:CPTB_02097
ko:K09014	cpsu:CPTB_02099
ko:K09015	cpsu:CPTB_02100
ko:K09013	cpsu:CPTB_02101
ko:K11717	cpsu:CPTB_02102
ko:K04488	cpsu:CPTB_02103
ko:K09157	cpsu:CPTB_02109
ko:K07166	cpsu:CPTB_02110
ko:K01951	cpsu:CPTB_02111
ko:K01681	cpsu:CPTB_02113
ko:K01772	cpsu:CPTB_02116
ko:K01847	cpsu:CPTB_02123
ko:K01847	cpsu:CPTB_02124
ko:K07588	cpsu:CPTB_02125
ko:K05878	cpsu:CPTB_02130
ko:K05879	cpsu:CPTB_02131
ko:K05881	cpsu:CPTB_02132
ko:K06910	cpsu:CPTB_02134
ko:K01186	cpsu:CPTB_00609
ko:K01265	cpsu:CPTB_00610
ko:K01265	cpsu:CPTB_00611
ko:K00939	cpsu:CPTB_00612
ko:K03076	cpsu:CPTB_00613
ko:K10112	cpsu:CPTB_00615
ko:K15772	cpsu:CPTB_00619
ko:K15771	cpsu:CPTB_00620
ko:K15770	cpsu:CPTB_00621
ko:K02876	cpsu:CPTB_00623
ko:K02907	cpsu:CPTB_00624
ko:K02988	cpsu:CPTB_00625
ko:K02881	cpsu:CPTB_00626
ko:K02933	cpsu:CPTB_00627
ko:K02994	cpsu:CPTB_00628
ko:K01424	cpsu:CPTB_00630
ko:K01752	cpsu:CPTB_00632
ko:K03837	cpsu:CPTB_00633
ko:K02931	cpsu:CPTB_00635
ko:K02895	cpsu:CPTB_00636
ko:K02874	cpsu:CPTB_00637
ko:K02033	cpsu:CPTB_00640
ko:K02034	cpsu:CPTB_00641
ko:K02031	cpsu:CPTB_00642
ko:K02032	cpsu:CPTB_00642
ko:K02035	cpsu:CPTB_00643
ko:K02961	cpsu:CPTB_00644
ko:K02904	cpsu:CPTB_00645
ko:K02878	cpsu:CPTB_00646
ko:K02982	cpsu:CPTB_00647
ko:K02890	cpsu:CPTB_00648
ko:K02965	cpsu:CPTB_00649
ko:K02886	cpsu:CPTB_00650
ko:K02892	cpsu:CPTB_00651
ko:K02926	cpsu:CPTB_00652
ko:K02906	cpsu:CPTB_00653
ko:K02946	cpsu:CPTB_00654
ko:K15520	cpsu:CPTB_01434
ko:K02040	cpsu:CPTB_01435
ko:K02037	cpsu:CPTB_01436
ko:K02038	cpsu:CPTB_01437
ko:K02036	cpsu:CPTB_01439
ko:K02039	cpsu:CPTB_01441
ko:K18118	cpsu:CPTB_01443
ko:K16012	cpsu:CPTB_01444
ko:K16013	cpsu:CPTB_01445
ko:K00426	cpsu:CPTB_01446
ko:K00425	cpsu:CPTB_01447
ko:K00005	cpsu:CPTB_01448
ko:K06975	cpsu:CPTB_01449
ko:K00640	cpsu:CPTB_01450
ko:K01738	cpsu:CPTB_01451
ko:K00790	cpsu:CPTB_01455
ko:K02003	cpsu:CPTB_01457
ko:K02004	cpsu:CPTB_01458
ko:K06199	cpsu:CPTB_01459
ko:K06199	cpsu:CPTB_01460
ko:K01835	cpsu:CPTB_01461
ko:K01534	cpsu:CPTB_01474
ko:K01916	cpsu:CPTB_01478
ko:K05596	cpsu:CPTB_00089
ko:K06895	cpsu:CPTB_00090
ko:K02434	cpsu:CPTB_00092
ko:K02016	cpsu:CPTB_00096
ko:K02013	cpsu:CPTB_00097
ko:K02015	cpsu:CPTB_00098
ko:K02433	cpsu:CPTB_00103
ko:K02435	cpsu:CPTB_00104
ko:K01972	cpsu:CPTB_00106
ko:K02342	cpsu:CPTB_00107
ko:K00566	cpsu:CPTB_00109
ko:K04487	cpsu:CPTB_00112
ko:K03522	cpsu:CPTB_00113
ko:K03521	cpsu:CPTB_00114
ko:K02013	cpsu:CPTB_00117
ko:K16147	cpsu:CPTB_00118
ko:K00700	cpsu:CPTB_00119
ko:K03724	cpsu:CPTB_00346
ko:K01082	cpsu:CPTB_00348
ko:K02228	cpsu:CPTB_00352
ko:K02031	cpsu:CPTB_00355
ko:K02032	cpsu:CPTB_00355
ko:K02034	cpsu:CPTB_00356
ko:K02033	cpsu:CPTB_00357
ko:K02035	cpsu:CPTB_00358
ko:K01586	cpsu:CPTB_00361
ko:K01697	cpsu:CPTB_00362
ko:K03327	cpsu:CPTB_00363
ko:K14393	cpsu:CPTB_00370
ko:K01692	cpsu:CPTB_00372
ko:K01962	cpsu:CPTB_00376
ko:K01963	cpsu:CPTB_00376
ko:K01647	cpsu:CPTB_00378
ko:K00831	cpsu:CPTB_00379
ko:K06901	cpsu:CPTB_00383
ko:K03704	cpsu:CPTB_00387
ko:K10843	cpsu:CPTB_00392
ko:K14267	cpsu:CPTB_00394
ko:K14267	cpsu:CPTB_00395
ko:K02013	cpsu:CPTB_00397
ko:K16650	cpsu:CPTB_01171
ko:K14136	cpsu:CPTB_01173
ko:K13687	cpsu:CPTB_01175
ko:K13671	cpsu:CPTB_01177
ko:K12428	cpsu:CPTB_01181
ko:K12437	cpsu:CPTB_01182
ko:K06860	cpsu:CPTB_01189
ko:K03439	cpsu:CPTB_01190
ko:K01596	cpsu:CPTB_01191
ko:K16648	cpsu:CPTB_01198
ko:K01207	cpsu:CPTB_01200
ko:K00135	cpsu:CPTB_01202
ko:K00135	cpsu:CPTB_01203
ko:K01494	cpsu:CPTB_01204
ko:K00012	cpsu:CPTB_01205
ko:K04567	cpsu:CPTB_01209
ko:K14260	cpsu:CPTB_01211
ko:K01430	cpsu:CPTB_01214
ko:K01430	cpsu:CPTB_01215
ko:K01429	cpsu:CPTB_01216
ko:K01428	cpsu:CPTB_01218
ko:K03187	cpsu:CPTB_01219
ko:K03188	cpsu:CPTB_01220
ko:K03189	cpsu:CPTB_01221
ko:K03190	cpsu:CPTB_01222
ko:K01662	cpsu:CPTB_01989
ko:K03684	cpsu:CPTB_01990
ko:K07305	cpsu:CPTB_01993
ko:K16647	cpsu:CPTB_01995
ko:K07156	cpsu:CPTB_01997
ko:K01868	cpsu:CPTB_02000
ko:K00995	cpsu:CPTB_02003
ko:K08256	cpsu:CPTB_02005
