ko:K18138	sens:Q786_02340
ko:K00113	sens:Q786_11270
ko:K12660	sens:Q786_11285
ko:K12661	sens:Q786_11295
ko:K12944	sens:Q786_11315
ko:K07806	sens:Q786_11325
ko:K10012	sens:Q786_11330
ko:K10011	sens:Q786_11335
ko:K13014	sens:Q786_11340
ko:K07264	sens:Q786_11345
ko:K12962	sens:Q786_11350
ko:K12963	sens:Q786_11355
ko:K01911	sens:Q786_11365
ko:K02549	sens:Q786_11370
ko:K01661	sens:Q786_11375
ko:K08680	sens:Q786_11380
ko:K02551	sens:Q786_11385
ko:K02552	sens:Q786_11390
ko:K05594	sens:Q786_11395
ko:K02348	sens:Q786_11400
ko:K00784	sens:Q786_11405
ko:K03415	sens:Q786_11410
ko:K07114	sens:Q786_11415
ko:K00343	sens:Q786_11430
ko:K00342	sens:Q786_11435
ko:K00341	sens:Q786_11440
ko:K00340	sens:Q786_11445
ko:K00339	sens:Q786_11450
ko:K00338	sens:Q786_11455
ko:K00337	sens:Q786_11460
ko:K00334	sens:Q786_11475
ko:K13378	sens:Q786_11480
ko:K00331	sens:Q786_11485
ko:K00330	sens:Q786_11490
ko:K14260	sens:Q786_11500
ko:K09161	sens:Q786_11520
ko:K09899	sens:Q786_11525
ko:K00925	sens:Q786_11530
ko:K13788	sens:Q786_11535
ko:K00615	sens:Q786_11545
ko:K00615	sens:Q786_11550
ko:K03475	sens:Q786_11555
ko:K02822	sens:Q786_11560
ko:K02821	sens:Q786_11565
ko:K07095	sens:Q786_11585
ko:K07071	sens:Q786_11600
ko:K10017	sens:Q786_11605
ko:K10015	sens:Q786_11610
ko:K10016	sens:Q786_11615
ko:K10013	sens:Q786_11625
ko:K03186	sens:Q786_11630
ko:K01586	sens:Q786_11650
ko:K06714	sens:Q786_11655
ko:K00764	sens:Q786_11660
ko:K03749	sens:Q786_11670
ko:K11754	sens:Q786_11675
ko:K01963	sens:Q786_11680
ko:K03975	sens:Q786_11685
ko:K06173	sens:Q786_11690
ko:K03473	sens:Q786_11700
ko:K07052	sens:Q786_11735
ko:K00647	sens:Q786_11740
ko:K15461	sens:Q786_11745
ko:K09906	sens:Q786_11755
ko:K07090	sens:Q786_11760
ko:K07261	sens:Q786_11765
ko:K01736	sens:Q786_11770
ko:K07320	sens:Q786_11775
ko:K08296	sens:Q786_11785
ko:K01782	sens:Q786_11790
ko:K06076	sens:Q786_11805
ko:K04754	sens:Q786_11810
ko:K08477	sens:Q786_11825
ko:K08476	sens:Q786_11830
ko:K08475	sens:Q786_11835
ko:K08478	sens:Q786_11840
ko:K11382	sens:Q786_11845
ko:K12974	sens:Q786_11860
ko:K14261	sens:Q786_11865
ko:K00845	sens:Q786_11870
ko:K03322	sens:Q786_11895
ko:K11535	sens:Q786_11900
ko:K01885	sens:Q786_11930
ko:K11537	sens:Q786_11960
ko:K03815	sens:Q786_11965
ko:K14347	sens:Q786_11980
ko:K09954	sens:Q786_11985
ko:K01972	sens:Q786_11990
ko:K03528	sens:Q786_11995
ko:K06203	sens:Q786_12000
ko:K01738	sens:Q786_12005
ko:K02784	sens:Q786_12015
ko:K08483	sens:Q786_12020
ko:K00868	sens:Q786_12035
ko:K01951	sens:Q786_12045
ko:K12339	sens:Q786_12060
ko:K02045	sens:Q786_12065
ko:K02047	sens:Q786_12070
ko:K02046	sens:Q786_12075
ko:K02048	sens:Q786_12080
ko:K07223	sens:Q786_12090
ko:K01448	sens:Q786_12110
ko:K00228	sens:Q786_12115
ko:K04033	sens:Q786_12130
ko:K04025	sens:Q786_12135
ko:K04026	sens:Q786_12140
ko:K03736	sens:Q786_12145
ko:K03735	sens:Q786_12150
ko:K04019	sens:Q786_12155
ko:K04023	sens:Q786_12160
ko:K04022	sens:Q786_12165
ko:K04024	sens:Q786_12170
ko:K04021	sens:Q786_12175
ko:K04027	sens:Q786_12185
ko:K04020	sens:Q786_12190
ko:K04032	sens:Q786_12195
ko:K04030	sens:Q786_12200
ko:K04029	sens:Q786_12205
ko:K04031	sens:Q786_12210
ko:K00029	sens:Q786_12215
ko:K00616	sens:Q786_12220
ko:K00615	sens:Q786_12225
ko:K12945	sens:Q786_12240
ko:K07674	sens:Q786_12260
ko:K01439	sens:Q786_12275
ko:K06957	sens:Q786_12285
ko:K07054	sens:Q786_12290
ko:K01923	sens:Q786_12295
ko:K07287	sens:Q786_12300
ko:K01714	sens:Q786_12305
ko:K03567	sens:Q786_12310
ko:K03564	sens:Q786_12315
ko:K00865	sens:Q786_12320
ko:K03299	sens:Q786_12325
ko:K02647	sens:Q786_12330
ko:K03548	sens:Q786_12335
ko:K00537	sens:Q786_12345
ko:K10763	sens:Q786_12350
ko:K02824	sens:Q786_12355
ko:K00761	sens:Q786_12360
ko:K01933	sens:Q786_12365
ko:K11175	sens:Q786_12370
ko:K00937	sens:Q786_12375
ko:K01524	sens:Q786_12380
ko:K01951	sens:Q786_12420
ko:K00088	sens:Q786_12425
ko:K03601	sens:Q786_12430
ko:K13735	sens:Q786_12455
ko:K03977	sens:Q786_12465
ko:K17713	sens:Q786_12470
ko:K01892	sens:Q786_12480
ko:K15539	sens:Q786_12490
ko:K06941	sens:Q786_12495
ko:K00940	sens:Q786_12500
ko:K07308	sens:Q786_12510
ko:K07307	sens:Q786_12515
ko:K07306	sens:Q786_12520
ko:K05367	sens:Q786_12525
ko:K06894	sens:Q786_12530
ko:K01011	sens:Q786_12535
ko:K07751	sens:Q786_12555
ko:K04755	sens:Q786_12565
ko:K04044	sens:Q786_12570
ko:K04082	sens:Q786_12575
ko:K13628	sens:Q786_12580
ko:K04488	sens:Q786_12585
ko:K04487	sens:Q786_12590
ko:K13643	sens:Q786_12595
ko:K15396	sens:Q786_12600
ko:K01092	sens:Q786_12605
ko:K06889	sens:Q786_12610
ko:K16950	sens:Q786_12615
ko:K16951	sens:Q786_12620
ko:K00385	sens:Q786_12625
ko:K05820	sens:Q786_12645
ko:K00600	sens:Q786_12650
ko:K05916	sens:Q786_12655
ko:K03765	sens:Q786_12660
ko:K03757	sens:Q786_12665
ko:K03305	sens:Q786_12675
ko:K04751	sens:Q786_12680
ko:K07715	sens:Q786_12685
ko:K07711	sens:Q786_12695
ko:K01952	sens:Q786_12700
ko:K11991	sens:Q786_12710
ko:K07106	sens:Q786_12725
ko:K00077	sens:Q786_12735
ko:K08177	sens:Q786_12740
ko:K00997	sens:Q786_12755
ko:K03474	sens:Q786_12760
ko:K03584	sens:Q786_12765
ko:K03685	sens:Q786_12775
ko:K03100	sens:Q786_12780
ko:K03596	sens:Q786_12785
ko:K03803	sens:Q786_12790
ko:K03598	sens:Q786_12795
ko:K03597	sens:Q786_12800
ko:K03088	sens:Q786_12805
ko:K00278	sens:Q786_12810
ko:K15460	sens:Q786_12815
ko:K05590	sens:Q786_12820
ko:K11249	sens:Q786_12830
ko:K03648	sens:Q786_12840
ko:K03214	sens:Q786_12845
ko:K03672	sens:Q786_12850
ko:K05812	sens:Q786_12855
ko:K00998	sens:Q786_12865
ko:K05811	sens:Q786_12870
ko:K03695	sens:Q786_12905
ko:K05810	sens:Q786_12910
ko:K06180	sens:Q786_12915
ko:K05807	sens:Q786_12920
ko:K05809	sens:Q786_12925
ko:K14170	sens:Q786_12930
ko:K14187	sens:Q786_12940
ko:K01626	sens:Q786_12945
ko:K02884	sens:Q786_12960
ko:K00554	sens:Q786_12965
ko:K02860	sens:Q786_12970
ko:K02959	sens:Q786_12975
ko:K03106	sens:Q786_12980
ko:K03687	sens:Q786_13000
ko:K00858	sens:Q786_13005
ko:K03631	sens:Q786_13010
ko:K06186	sens:Q786_13015
ko:K09801	sens:Q786_13020
ko:K03664	sens:Q786_13030
ko:K12543	sens:Q786_13040
ko:K12541	sens:Q786_13045
ko:K12542	sens:Q786_13050
ko:K07017	sens:Q786_13325
ko:K09824	sens:Q786_13350
ko:K07241	sens:Q786_13365
ko:K07649	sens:Q786_13370
ko:K07774	sens:Q786_13375
ko:K07795	sens:Q786_13380
ko:K07793	sens:Q786_13390
ko:K15737	sens:Q786_13395
ko:K15736	sens:Q786_13400
ko:K00135	sens:Q786_13405
ko:K07250	sens:Q786_13410
ko:K11735	sens:Q786_13415
ko:K15735	sens:Q786_13420
ko:K00375	sens:Q786_13470
ko:K03647	sens:Q786_13485
ko:K02000	sens:Q786_13500
ko:K02001	sens:Q786_13505
ko:K02002	sens:Q786_13510
ko:K15974	sens:Q786_13520
ko:K03543	sens:Q786_13525
ko:K03446	sens:Q786_13530
ko:K07173	sens:Q786_13540
ko:K01919	sens:Q786_13545
ko:K03563	sens:Q786_13585
ko:K01872	sens:Q786_13590
ko:K03565	sens:Q786_13595
ko:K03743	sens:Q786_13605
ko:K08305	sens:Q786_13615
ko:K02783	sens:Q786_13620
ko:K02782	sens:Q786_13625
ko:K02783	sens:Q786_13625
ko:K02781	sens:Q786_13630
ko:K00068	sens:Q786_13635
ko:K02466	sens:Q786_13640
ko:K02468	sens:Q786_13645
ko:K02467	sens:Q786_13650
ko:K12266	sens:Q786_13655
ko:K12264	sens:Q786_13660
ko:K12265	sens:Q786_13665
ko:K04656	sens:Q786_13670
ko:K05796	sens:Q786_13675
ko:K08315	sens:Q786_13685
ko:K15834	sens:Q786_13690
ko:K15832	sens:Q786_13695
ko:K15831	sens:Q786_13700
ko:K15830	sens:Q786_13705
ko:K15829	sens:Q786_13710
ko:K15828	sens:Q786_13715
ko:K15827	sens:Q786_13720
ko:K15833	sens:Q786_13725
ko:K04651	sens:Q786_13730
ko:K04652	sens:Q786_13735
ko:K04653	sens:Q786_13740
ko:K04654	sens:Q786_13745
ko:K04655	sens:Q786_13750
ko:K15836	sens:Q786_13755
ko:K11604	sens:Q786_13765
ko:K11607	sens:Q786_13770
ko:K11605	sens:Q786_13775
ko:K11606	sens:Q786_13780
ko:K03221	sens:Q786_13825
ko:K02078	sens:Q786_13865
ko:K13284	sens:Q786_13870
ko:K13287	sens:Q786_13875
ko:K13286	sens:Q786_13880
ko:K13285	sens:Q786_13885
ko:K03225	sens:Q786_13915
ko:K03230	sens:Q786_13940
ko:K07314	sens:Q786_13995
ko:K03555	sens:Q786_14015
ko:K03186	sens:Q786_14075
ko:K03087	sens:Q786_14090
ko:K00573	sens:Q786_14100
ko:K03787	sens:Q786_14105
ko:K06176	sens:Q786_14110
ko:K01770	sens:Q786_14115
ko:K00991	sens:Q786_14120
ko:K05589	sens:Q786_14125
ko:K00860	sens:Q786_14135
ko:K00957	sens:Q786_14145
ko:K09612	sens:Q786_14150
ko:K15342	sens:Q786_14160
ko:K00390	sens:Q786_14200
ko:K00381	sens:Q786_14205
ko:K00380	sens:Q786_14210
ko:K01737	sens:Q786_14215
ko:K06897	sens:Q786_14220
ko:K10026	sens:Q786_14225
ko:K01689	sens:Q786_14230
ko:K01937	sens:Q786_14235
ko:K04765	sens:Q786_14240
ko:K00951	sens:Q786_14290
ko:K03215	sens:Q786_14295
ko:K07678	sens:Q786_14300
ko:K00865	sens:Q786_14305
ko:K01706	sens:Q786_14310
ko:K13918	sens:Q786_14315
ko:K03535	sens:Q786_14320
ko:K06175	sens:Q786_14330
ko:K15723	sens:Q786_14340
ko:K06879	sens:Q786_14345
ko:K06966	sens:Q786_14350
ko:K03837	sens:Q786_14355
ko:K01752	sens:Q786_14360
ko:K01146	sens:Q786_14365
ko:K00048	sens:Q786_14370
ko:K01628	sens:Q786_14375
ko:K02429	sens:Q786_14380
ko:K01818	sens:Q786_14385
ko:K02431	sens:Q786_14395
ko:K02430	sens:Q786_14400
ko:K06968	sens:Q786_14405
ko:K03566	sens:Q786_14415
ko:K01766	sens:Q786_14425
ko:K02426	sens:Q786_14430
ko:K08304	sens:Q786_14445
ko:K01448	sens:Q786_14460
ko:K16703	sens:Q786_10370
ko:K16710	sens:Q786_10375
ko:K16695	sens:Q786_10380
ko:K03606	sens:Q786_10385
ko:K01840	sens:Q786_10390
ko:K03208	sens:Q786_10400
ko:K03207	sens:Q786_10405
ko:K02377	sens:Q786_10410
ko:K01711	sens:Q786_10415
ko:K03818	sens:Q786_10420
ko:K13683	sens:Q786_10425
ko:K13620	sens:Q786_10430
ko:K13684	sens:Q786_10435
ko:K03819	sens:Q786_10440
ko:K16692	sens:Q786_10450
ko:K01104	sens:Q786_10455
ko:K01991	sens:Q786_10460
ko:K07289	sens:Q786_10470
ko:K01494	sens:Q786_10475
ko:K00876	sens:Q786_10480
ko:K01247	sens:Q786_10490
ko:K04046	sens:Q786_10495
ko:K07799	sens:Q786_10505
ko:K07788	sens:Q786_10510
ko:K07789	sens:Q786_10515
ko:K07642	sens:Q786_10525
ko:K07664	sens:Q786_10530
ko:K08303	sens:Q786_10610
ko:K00941	sens:Q786_10645
ko:K00878	sens:Q786_10650
ko:K07347	sens:Q786_10665
ko:K03593	sens:Q786_10685
ko:K01874	sens:Q786_10690
ko:K02478	sens:Q786_10715
ko:K05846	sens:Q786_10730
ko:K05847	sens:Q786_10735
ko:K05846	sens:Q786_10740
ko:K05845	sens:Q786_10745
ko:K05349	sens:Q786_10750
ko:K00971	sens:Q786_10290
ko:K00971	sens:Q786_10395
ko:K02795	sens:Q786_06035
ko:K07285	sens:Q786_06090
ko:K01897	sens:Q786_06095
ko:K03608	sens:Q786_06105
ko:K01752	sens:Q786_06055
ko:K09917	sens:Q786_06070
ko:K12524	sens:Q786_00005
ko:K02793	sens:Q786_06040
ko:K02794	sens:Q786_06040
ko:K01665	sens:Q786_06065
ko:K03684	sens:Q786_06100
ko:K03609	sens:Q786_06110
ko:K01129	sens:Q786_01100
ko:K02647	sens:Q786_01110
ko:K00674	sens:Q786_01125
ko:K00990	sens:Q786_01130
ko:K01265	sens:Q786_01135
ko:K02967	sens:Q786_01140
ko:K02357	sens:Q786_01145
ko:K09903	sens:Q786_01150
ko:K02838	sens:Q786_01155
ko:K00099	sens:Q786_01160
ko:K00806	sens:Q786_01165
ko:K00981	sens:Q786_01170
ko:K11749	sens:Q786_01175
ko:K07277	sens:Q786_01180
ko:K06142	sens:Q786_01185
ko:K02536	sens:Q786_01190
ko:K02372	sens:Q786_01195
ko:K00677	sens:Q786_01200
ko:K00748	sens:Q786_01205
ko:K03470	sens:Q786_01210
ko:K02337	sens:Q786_01215
ko:K01962	sens:Q786_01220
ko:K08234	sens:Q786_01235
ko:K04075	sens:Q786_01240
ko:K00872	sens:Q786_00010
ko:K01733	sens:Q786_00015
ko:K09861	sens:Q786_00020
ko:K03310	sens:Q786_00025
ko:K00616	sens:Q786_00030
ko:K03831	sens:Q786_00035
ko:K07034	sens:Q786_00040
ko:K04043	sens:Q786_00055
ko:K03686	sens:Q786_00060
ko:K07347	sens:Q786_00110
ko:K06871	sens:Q786_00180
ko:K03313	sens:Q786_00195
ko:K03717	sens:Q786_00200
ko:K01811	sens:Q786_00205
ko:K02968	sens:Q786_00215
ko:K11753	sens:Q786_00220
ko:K01870	sens:Q786_00225
ko:K03101	sens:Q786_00230
ko:K03774	sens:Q786_00235
ko:K03527	sens:Q786_00240
ko:K12700	sens:Q786_00250
ko:K07702	sens:Q786_00255
ko:K07700	sens:Q786_00260
ko:K01572	sens:Q786_00270
ko:K01571	sens:Q786_00275
ko:K01573	sens:Q786_00280
ko:K01646	sens:Q786_00295
ko:K01910	sens:Q786_00290
ko:K01644	sens:Q786_00300
ko:K01643	sens:Q786_00305
ko:K05964	sens:Q786_00310
ko:K05966	sens:Q786_00315
ko:K00215	sens:Q786_00320
ko:K01956	sens:Q786_00325
ko:K01955	sens:Q786_00330
ko:K08277	sens:Q786_00335
ko:K08279	sens:Q786_00340
ko:K08299	sens:Q786_00345
ko:K02182	sens:Q786_00350
ko:K08298	sens:Q786_00355
ko:K08297	sens:Q786_00360
ko:K05245	sens:Q786_00365
ko:K03521	sens:Q786_00375
ko:K03522	sens:Q786_00380
ko:K00313	sens:Q786_00385
ko:K11746	sens:Q786_00415
ko:K01525	sens:Q786_00430
ko:K06195	sens:Q786_00435
ko:K02528	sens:Q786_00440
ko:K00097	sens:Q786_00445
ko:K03771	sens:Q786_00450
ko:K04744	sens:Q786_00455
ko:K05801	sens:Q786_00460
ko:K06177	sens:Q786_00470
ko:K03580	sens:Q786_00475
ko:K02336	sens:Q786_00480
ko:K01804	sens:Q786_00510
ko:K00853	sens:Q786_00515
ko:K02099	sens:Q786_00520
ko:K02062	sens:Q786_00530
ko:K02063	sens:Q786_00535
ko:K02064	sens:Q786_00540
ko:K11925	sens:Q786_00545
ko:K01704	sens:Q786_00555
ko:K01703	sens:Q786_00560
ko:K01649	sens:Q786_00570
ko:K00052	sens:Q786_00565
ko:K05798	sens:Q786_00575
ko:K01652	sens:Q786_00580
ko:K01653	sens:Q786_00585
ko:K03435	sens:Q786_00590
ko:K03925	sens:Q786_00595
ko:K03438	sens:Q786_00600
ko:K03586	sens:Q786_00605
ko:K03587	sens:Q786_00610
ko:K01928	sens:Q786_00615
ko:K01929	sens:Q786_00620
ko:K01000	sens:Q786_00625
ko:K01925	sens:Q786_00630
ko:K03588	sens:Q786_00635
ko:K02563	sens:Q786_00640
ko:K01924	sens:Q786_00645
ko:K01921	sens:Q786_00650
ko:K03589	sens:Q786_00655
ko:K03590	sens:Q786_00660
ko:K03531	sens:Q786_00665
ko:K02535	sens:Q786_00670
ko:K13301	sens:Q786_00675
ko:K03070	sens:Q786_00680
ko:K03574	sens:Q786_00685
ko:K09862	sens:Q786_00700
ko:K00859	sens:Q786_00710
ko:K00364	sens:Q786_00715
ko:K02505	sens:Q786_00720
ko:K02504	sens:Q786_00725
ko:K02682	sens:Q786_00730
ko:K00767	sens:Q786_00735
ko:K03806	sens:Q786_00740
ko:K03807	sens:Q786_00745
ko:K11734	sens:Q786_00760
ko:K00163	sens:Q786_00770
ko:K00627	sens:Q786_00775
ko:K00382	sens:Q786_00780
ko:K03777	sens:Q786_10755
ko:K07262	sens:Q786_10760
ko:K05541	sens:Q786_10790
ko:K16165	sens:Q786_10805
ko:K00450	sens:Q786_10810
ko:K08195	sens:Q786_10815
ko:K06518	sens:Q786_10825
ko:K01489	sens:Q786_10835
ko:K03748	sens:Q786_10840
ko:K17722	sens:Q786_10850
ko:K17723	sens:Q786_10855
ko:K10541	sens:Q786_10860
ko:K10542	sens:Q786_10865
ko:K10540	sens:Q786_10870
ko:K02529	sens:Q786_10875
ko:K07148	sens:Q786_10880
ko:K01495	sens:Q786_10885
ko:K01070	sens:Q786_10890
ko:K01752	sens:Q786_10900
ko:K07783	sens:Q786_10910
ko:K16089	sens:Q786_10915
ko:K11733	sens:Q786_10920
ko:K01151	sens:Q786_10935
ko:K02769	sens:Q786_10940
ko:K02770	sens:Q786_10940
ko:K00882	sens:Q786_10945
ko:K02768	sens:Q786_10950
ko:K11183	sens:Q786_10950
ko:K03291	sens:Q786_10960
ko:K13694	sens:Q786_10985
ko:K13893	sens:Q786_10995
ko:K13894	sens:Q786_11000
ko:K13895	sens:Q786_11005
ko:K13896	sens:Q786_11010
ko:K07552	sens:Q786_11020
ko:K06183	sens:Q786_11025
ko:K02897	sens:Q786_11035
ko:K06899	sens:Q786_11045
ko:K09904	sens:Q786_11050
ko:K07014	sens:Q786_11055
ko:K07685	sens:Q786_11075
ko:K02200	sens:Q786_11080
ko:K02199	sens:Q786_11085
ko:K02198	sens:Q786_11090
ko:K02197	sens:Q786_11095
ko:K02195	sens:Q786_11105
ko:K02194	sens:Q786_11110
ko:K02193	sens:Q786_11115
ko:K02569	sens:Q786_11120
ko:K02568	sens:Q786_11125
ko:K02574	sens:Q786_11130
ko:K02573	sens:Q786_11135
ko:K02567	sens:Q786_11140
ko:K02570	sens:Q786_11145
ko:K08276	sens:Q786_11155
ko:K06159	sens:Q786_11160
ko:K03919	sens:Q786_11165
ko:K10778	sens:Q786_11170
ko:K03734	sens:Q786_11175
ko:K09475	sens:Q786_11180
ko:K07676	sens:Q786_11185
ko:K07687	sens:Q786_11190
ko:K07677	sens:Q786_11195
ko:K06131	sens:Q786_06490
ko:K09780	sens:Q786_06500
ko:K03832	sens:Q786_06505
ko:K10806	sens:Q786_06510
ko:K06190	sens:Q786_06515
ko:K06940	sens:Q786_06525
ko:K07275	sens:Q786_06530
ko:K07217	sens:Q786_06535
ko:K01695	sens:Q786_06555
ko:K01696	sens:Q786_06560
ko:K13498	sens:Q786_06565
ko:K13497	sens:Q786_06570
ko:K01657	sens:Q786_06575
ko:K07053	sens:Q786_06580
ko:K06178	sens:Q786_06590
ko:K04774	sens:Q786_06605
ko:K03168	sens:Q786_06615
ko:K13634	sens:Q786_06620
ko:K01681	sens:Q786_06635
ko:K01497	sens:Q786_06640
ko:K08992	sens:Q786_06650
ko:K01591	sens:Q786_06660
ko:K03113	sens:Q786_06665
ko:K04062	sens:Q786_06670
ko:K14051	sens:Q786_06685
ko:K01147	sens:Q786_06690
ko:K00208	sens:Q786_06700
ko:K03974	sens:Q786_06740
ko:K03969	sens:Q786_06745
ko:K03970	sens:Q786_06750
ko:K03971	sens:Q786_06760
ko:K03972	sens:Q786_06765
ko:K06918	sens:Q786_06770
ko:K08990	sens:Q786_06775
