ko:K00932	ecz:ECS88_3508
ko:K02221	ecz:ECS88_3234
ko:K09131	ecz:ECS88_3235
ko:K09923	ecz:ECS88_3241
ko:K00556	ecz:ECS88_4066
ko:K03655	ecz:ECS88_4067
ko:K03312	ecz:ECS88_4068
ko:K09988	ecz:ECS88_4072
ko:K01624	ecz:ECS88_4074
ko:K01811	ecz:ECS88_4080
ko:K02073	ecz:ECS88_4085
ko:K06901	ecz:ECS88_4089
ko:K01486	ecz:ECS88_4090
ko:K07784	ecz:ECS88_4091
ko:K07783	ecz:ECS88_4092
ko:K07686	ecz:ECS88_4094
ko:K01653	ecz:ECS88_4095
ko:K01652	ecz:ECS88_4096
ko:K06871	ecz:ECS88_4099
ko:K00389	ecz:ECS88_4101
ko:K07085	ecz:ECS88_4107
ko:K04081	ecz:ECS88_4109
ko:K04080	ecz:ECS88_4110
ko:K00883	ecz:ECS88_4117
ko:K02317	ecz:ECS88_4983
ko:K02344	ecz:ECS88_4993
ko:K03789	ecz:ECS88_4994
ko:K08723	ecz:ECS88_4995
ko:K06952	ecz:ECS88_5000
ko:K03704	ecz:ECS88_5016
ko:K03704	ecz:ECS88_5017
ko:K03704	ecz:ECS88_5022
ko:K07644	ecz:ECS88_0606
ko:K07665	ecz:ECS88_0607
ko:K07798	ecz:ECS88_0611
ko:K10679	ecz:ECS88_0615
ko:K06048	ecz:ECS88_0618
ko:K02364	ecz:ECS88_0625
ko:K02013	ecz:ECS88_0627
ko:K02015	ecz:ECS88_0628
ko:K02015	ecz:ECS88_0629
ko:K02016	ecz:ECS88_0631
ko:K02361	ecz:ECS88_0632
ko:K02363	ecz:ECS88_0633
ko:K01252	ecz:ECS88_0634
ko:K00216	ecz:ECS88_0635
ko:K06200	ecz:ECS88_0637
ko:K03805	ecz:ECS88_0645
ko:K03387	ecz:ECS88_0648
ko:K06140	ecz:ECS88_0651
ko:K05964	ecz:ECS88_0655
ko:K01643	ecz:ECS88_0656
ko:K01644	ecz:ECS88_0657
ko:K01646	ecz:ECS88_0658
ko:K01910	ecz:ECS88_0659
ko:K00567	ecz:ECS88_1477
ko:K03543	ecz:ECS88_1481
ko:K05591	ecz:ECS88_1487
ko:K03737	ecz:ECS88_1493
ko:K03778	ecz:ECS88_1496
ko:K09978	ecz:ECS88_1499
ko:K00981	ecz:ECS88_1504
ko:K01118	ecz:ECS88_1507
ko:K03578	ecz:ECS88_1509
ko:K00134	ecz:ECS88_1512
ko:K09794	ecz:ECS88_1521
ko:K03304	ecz:ECS88_1524
ko:K05782	ecz:ECS88_1527
ko:K08303	ecz:ECS88_1529
ko:K03919	ecz:ECS88_2360
ko:K03734	ecz:ECS88_2362
ko:K09475	ecz:ECS88_2364
ko:K07676	ecz:ECS88_2365
ko:K07710	ecz:ECS88_2368
ko:K02106	ecz:ECS88_2372
ko:K00626	ecz:ECS88_2373
ko:K06894	ecz:ECS88_2376
ko:K02469	ecz:ECS88_2379
ko:K00525	ecz:ECS88_2382
ko:K00526	ecz:ECS88_2383
ko:K11107	ecz:ECS88_2384
ko:K01126	ecz:ECS88_2386
ko:K02445	ecz:ECS88_2387
ko:K00111	ecz:ECS88_2388
ko:K00112	ecz:ECS88_2389
ko:K07806	ecz:ECS88_2402
ko:K10012	ecz:ECS88_2403
ko:K10011	ecz:ECS88_2404
ko:K07264	ecz:ECS88_2407
ko:K03439	ecz:ECS88_3242
ko:K03575	ecz:ECS88_3244
ko:K08306	ecz:ECS88_3246
ko:K03289	ecz:ECS88_3247
ko:K01581	ecz:ECS88_3248
ko:K11755	ecz:ECS88_2125
ko:K03826	ecz:ECS88_3969
ko:K03704	ecz:ECS88_3975
ko:K01879	ecz:ECS88_3976
ko:K01878	ecz:ECS88_3977
ko:K01805	ecz:ECS88_3983
ko:K10543	ecz:ECS88_3984
ko:K10545	ecz:ECS88_3985
ko:K10544	ecz:ECS88_3986
ko:K02529	ecz:ECS88_3988
ko:K03796	ecz:ECS88_3989
ko:K00880	ecz:ECS88_4000
ko:K03833	ecz:ECS88_4007
ko:K01042	ecz:ECS88_4008
ko:K02013	ecz:ECS88_4860
ko:K02015	ecz:ECS88_4862
ko:K02016	ecz:ECS88_4863
ko:K03088	ecz:ECS88_4866
ko:K00899	ecz:ECS88_4901
ko:K08963	ecz:ECS88_4902
ko:K03299	ecz:ECS88_4907
ko:K07150	ecz:ECS88_3249
ko:K08478	ecz:ECS88_3278
ko:K08475	ecz:ECS88_3279
ko:K08476	ecz:ECS88_3280
ko:K02470	ecz:ECS88_4122
ko:K03629	ecz:ECS88_4123
ko:K02338	ecz:ECS88_4124
ko:K02313	ecz:ECS88_4125
ko:K02914	ecz:ECS88_4126
ko:K03536	ecz:ECS88_4127
ko:K08998	ecz:ECS88_4128
ko:K03217	ecz:ECS88_4129
ko:K03650	ecz:ECS88_4130
ko:K01667	ecz:ECS88_4131
ko:K06901	ecz:ECS88_4137
ko:K01223	ecz:ECS88_4143
ko:K02755	ecz:ECS88_4144
ko:K02756	ecz:ECS88_4144
ko:K02757	ecz:ECS88_4144
ko:K03488	ecz:ECS88_4145
ko:K02039	ecz:ECS88_4146
ko:K02036	ecz:ECS88_4147
ko:K02038	ecz:ECS88_4148
ko:K02037	ecz:ECS88_4149
ko:K02040	ecz:ECS88_4150
ko:K00820	ecz:ECS88_4151
ko:K04042	ecz:ECS88_4152
ko:K02114	ecz:ECS88_4153
ko:K02112	ecz:ECS88_4154
ko:K02115	ecz:ECS88_4155
ko:K02111	ecz:ECS88_4156
ko:K02113	ecz:ECS88_4157
ko:K02109	ecz:ECS88_4158
ko:K02110	ecz:ECS88_4159
ko:K02108	ecz:ECS88_4160
ko:K03501	ecz:ECS88_4162
ko:K03495	ecz:ECS88_4163
ko:K06205	ecz:ECS88_4164
ko:K03718	ecz:ECS88_4165
ko:K01914	ecz:ECS88_4166
ko:K03924	ecz:ECS88_4168
ko:K02837	ecz:ECS88_5055
ko:K03424	ecz:ECS88_5059
ko:K01619	ecz:ECS88_5062
ko:K01839	ecz:ECS88_5064
ko:K03784	ecz:ECS88_5065
ko:K03800	ecz:ECS88_5067
ko:K04485	ecz:ECS88_5070
ko:K08309	ecz:ECS88_5075
ko:K03720	ecz:ECS88_5076
ko:K05804	ecz:ECS88_5079
ko:K05805	ecz:ECS88_5080
ko:K07663	ecz:ECS88_5081
ko:K07641	ecz:ECS88_5082
ko:K06143	ecz:ECS88_5083
ko:K07773	ecz:ECS88_5084
ko:K02533	ecz:ECS88_5085
ko:K06971	ecz:ECS88_4914
ko:K07340	ecz:ECS88_0493
ko:K05838	ecz:ECS88_0497
ko:K02003	ecz:ECS88_0500
ko:K06917	ecz:ECS88_0502
ko:K01483	ecz:ECS88_0504
ko:K01608	ecz:ECS88_0506
ko:K01816	ecz:ECS88_0507
ko:K00865	ecz:ECS88_0513
ko:K02381	ecz:ECS88_0517
ko:K00926	ecz:ECS88_0520
ko:K01589	ecz:ECS88_0521
ko:K01588	ecz:ECS88_0522
ko:K03269	ecz:ECS88_0524
ko:K01883	ecz:ECS88_0526
ko:K06952	ecz:ECS88_0535
ko:K01695	ecz:ECS88_1395
ko:K01696	ecz:ECS88_1396
ko:K01657	ecz:ECS88_1399
ko:K07053	ecz:ECS88_1400
ko:K06178	ecz:ECS88_1403
ko:K03168	ecz:ECS88_1412
ko:K01681	ecz:ECS88_1416
ko:K03593	ecz:ECS88_2255
ko:K01874	ecz:ECS88_2256
ko:K05846	ecz:ECS88_2272
ko:K05846	ecz:ECS88_2274
ko:K03777	ecz:ECS88_2277
ko:K07262	ecz:ECS88_2278
ko:K05541	ecz:ECS88_2286
ko:K01489	ecz:ECS88_2289
ko:K03748	ecz:ECS88_2290
ko:K10541	ecz:ECS88_2294
ko:K10542	ecz:ECS88_2295
ko:K10540	ecz:ECS88_2296
ko:K02529	ecz:ECS88_2297
ko:K07148	ecz:ECS88_2299
ko:K01495	ecz:ECS88_2300
ko:K02529	ecz:ECS88_3134
ko:K01586	ecz:ECS88_3135
ko:K01815	ecz:ECS88_3140
ko:K00626	ecz:ECS88_3141
ko:K01751	ecz:ECS88_3150
ko:K01464	ecz:ECS88_3152
ko:K00926	ecz:ECS88_3153
ko:K07402	ecz:ECS88_3154
ko:K07141	ecz:ECS88_3156
ko:K06901	ecz:ECS88_3163
ko:K01823	ecz:ECS88_3169
ko:K04567	ecz:ECS88_3170
ko:K02836	ecz:ECS88_3171
ko:K07462	ecz:ECS88_3172
ko:K03981	ecz:ECS88_3173
ko:K04763	ecz:ECS88_3174
ko:K03840	ecz:ECS88_3175
ko:K09159	ecz:ECS88_3177
ko:K06980	ecz:ECS88_3178
ko:K11068	ecz:ECS88_3179
ko:K09900	ecz:ECS88_3180
ko:K01223	ecz:ECS88_3181
ko:K02437	ecz:ECS88_3183
ko:K00605	ecz:ECS88_3184
ko:K02798	ecz:ECS88_4012
ko:K02799	ecz:ECS88_4012
ko:K02800	ecz:ECS88_4012
ko:K00009	ecz:ECS88_4013
ko:K02562	ecz:ECS88_4014
ko:K00427	ecz:ECS88_4020
ko:K00101	ecz:ECS88_4022
ko:K03216	ecz:ECS88_4023
ko:K00640	ecz:ECS88_4024
ko:K00057	ecz:ECS88_4025
ko:K03071	ecz:ECS88_4026
ko:K03676	ecz:ECS88_4027
ko:K09798	ecz:ECS88_4031
ko:K00639	ecz:ECS88_4034
ko:K03274	ecz:ECS88_4035
ko:K02843	ecz:ECS88_4036
ko:K02841	ecz:ECS88_4037
ko:K02848	ecz:ECS88_4044
ko:K02844	ecz:ECS88_4045
ko:K02849	ecz:ECS88_4046
ko:K02527	ecz:ECS88_4047
ko:K00954	ecz:ECS88_4048
ko:K10563	ecz:ECS88_4049
ko:K02913	ecz:ECS88_4050
ko:K02902	ecz:ECS88_4051
ko:K03630	ecz:ECS88_4052
ko:K01520	ecz:ECS88_4054
ko:K05501	ecz:ECS88_4055
ko:K00762	ecz:ECS88_4056
ko:K00989	ecz:ECS88_4057
ko:K01972	ecz:ECS88_4061
ko:K00942	ecz:ECS88_4063
ko:K03060	ecz:ECS88_4064
ko:K02775	ecz:ECS88_4915
ko:K02774	ecz:ECS88_4916
ko:K07345	ecz:ECS88_4932
ko:K07347	ecz:ECS88_4935
ko:K01686	ecz:ECS88_4940
ko:K00040	ecz:ECS88_4941
ko:K01305	ecz:ECS88_4947
ko:K07559	ecz:ECS88_4951
ko:K01153	ecz:ECS88_4966
ko:K01154	ecz:ECS88_4967
ko:K03427	ecz:ECS88_4968
ko:K09803	ecz:ECS88_4971
ko:K01591	ecz:ECS88_1422
ko:K03113	ecz:ECS88_1423
ko:K04062	ecz:ECS88_1424
ko:K00208	ecz:ECS88_1430
ko:K07552	ecz:ECS88_1435
ko:K03974	ecz:ECS88_1443
ko:K03969	ecz:ECS88_1445
ko:K02025	ecz:ECS88_1452
ko:K02026	ecz:ECS88_1453
ko:K10112	ecz:ECS88_1460
ko:K06918	ecz:ECS88_1463
ko:K08990	ecz:ECS88_1464
ko:K03721	ecz:ECS88_1465
ko:K11065	ecz:ECS88_1466
ko:K01151	ecz:ECS88_2308
ko:K02769	ecz:ECS88_2315
ko:K02770	ecz:ECS88_2315
ko:K00882	ecz:ECS88_2316
ko:K02768	ecz:ECS88_2317
ko:K11183	ecz:ECS88_2317
ko:K03291	ecz:ECS88_2318
ko:K02356	ecz:ECS88_2320
ko:K07552	ecz:ECS88_2331
ko:K02897	ecz:ECS88_2334
ko:K06899	ecz:ECS88_2335
ko:K09904	ecz:ECS88_2336
ko:K07014	ecz:ECS88_2337
ko:K00228	ecz:ECS88_2624
ko:K02598	ecz:ECS88_3758
ko:K00794	ecz:ECS88_0410
ko:K03625	ecz:ECS88_0411
ko:K00946	ecz:ECS88_0412
ko:K01095	ecz:ECS88_0413
ko:K01662	ecz:ECS88_0415
ko:K00795	ecz:ECS88_0416
ko:K03602	ecz:ECS88_0417
ko:K03151	ecz:ECS88_0419
ko:K03152	ecz:ECS88_0420
ko:K00077	ecz:ECS88_0421
ko:K09767	ecz:ECS88_0422
ko:K02300	ecz:ECS88_0425
ko:K02299	ecz:ECS88_0426
ko:K02298	ecz:ECS88_0427
ko:K02297	ecz:ECS88_0428
ko:K08218	ecz:ECS88_0429
ko:K07286	ecz:ECS88_0430
ko:K05527	ecz:ECS88_0431
ko:K03545	ecz:ECS88_0433
ko:K11105	ecz:ECS88_1254
ko:K08308	ecz:ECS88_1256
ko:K02014	ecz:ECS88_1259
ko:K03813	ecz:ECS88_1260
ko:K02013	ecz:ECS88_1262
ko:K02015	ecz:ECS88_1263
ko:K02016	ecz:ECS88_1264
ko:K01194	ecz:ECS88_1265
ko:K05879	ecz:ECS88_1267
ko:K05878	ecz:ECS88_1268
ko:K06942	ecz:ECS88_1271
ko:K01056	ecz:ECS88_1272
ko:K00948	ecz:ECS88_1275
ko:K00919	ecz:ECS88_1276
ko:K02494	ecz:ECS88_1277
ko:K02492	ecz:ECS88_1278
ko:K02835	ecz:ECS88_1279
ko:K02493	ecz:ECS88_1280
ko:K01627	ecz:ECS88_1283
ko:K07300	ecz:ECS88_1285
ko:K06197	ecz:ECS88_1286
ko:K06039	ecz:ECS88_1288
ko:K07673	ecz:ECS88_1291
ko:K02575	ecz:ECS88_1293
ko:K00370	ecz:ECS88_1294
ko:K00371	ecz:ECS88_1295
ko:K00373	ecz:ECS88_1296
ko:K00374	ecz:ECS88_1297
ko:K01433	ecz:ECS88_1300
ko:K09858	ecz:ECS88_1301
ko:K07001	ecz:ECS88_1302
ko:K00963	ecz:ECS88_1304
ko:K03606	ecz:ECS88_2144
ko:K03207	ecz:ECS88_2148
ko:K02377	ecz:ECS88_2149
ko:K01711	ecz:ECS88_2150
ko:K03818	ecz:ECS88_2151
ko:K01991	ecz:ECS88_2159
ko:K07289	ecz:ECS88_2163
ko:K01494	ecz:ECS88_2164
ko:K00876	ecz:ECS88_2165
ko:K01247	ecz:ECS88_2167
ko:K04046	ecz:ECS88_2169
ko:K07799	ecz:ECS88_2173
ko:K07788	ecz:ECS88_2174
ko:K07789	ecz:ECS88_2175
ko:K07664	ecz:ECS88_2178
ko:K08303	ecz:ECS88_2184
ko:K06906	ecz:ECS88_2187
ko:K06908	ecz:ECS88_2190
ko:K06907	ecz:ECS88_2191
ko:K00991	ecz:ECS88_3017
ko:K05589	ecz:ECS88_3018
ko:K00860	ecz:ECS88_3021
ko:K00957	ecz:ECS88_3023
ko:K00390	ecz:ECS88_3026
ko:K00381	ecz:ECS88_3027
ko:K00380	ecz:ECS88_3028
ko:K01737	ecz:ECS88_3029
ko:K00313	ecz:ECS88_3031
ko:K10026	ecz:ECS88_3041
ko:K03744	ecz:ECS88_3042
ko:K06872	ecz:ECS88_3043
ko:K06872	ecz:ECS88_3044
ko:K06872	ecz:ECS88_3046
ko:K01689	ecz:ECS88_3047
ko:K01937	ecz:ECS88_3048
ko:K03215	ecz:ECS88_3053
ko:K07678	ecz:ECS88_3054
ko:K01706	ecz:ECS88_3055
ko:K06175	ecz:ECS88_3059
ko:K06966	ecz:ECS88_3064
ko:K03837	ecz:ECS88_3065
ko:K01752	ecz:ECS88_3066
ko:K00048	ecz:ECS88_3068
ko:K02429	ecz:ECS88_3070
ko:K01818	ecz:ECS88_3071
ko:K02431	ecz:ECS88_3073
ko:K02430	ecz:ECS88_3074
ko:K06968	ecz:ECS88_3075
ko:K06149	ecz:ECS88_3900
ko:K03305	ecz:ECS88_3901
ko:K01414	ecz:ECS88_3903
ko:K07115	ecz:ECS88_3904
ko:K00383	ecz:ECS88_3905
ko:K07285	ecz:ECS88_3910
ko:K07225	ecz:ECS88_3912
ko:K02016	ecz:ECS88_3914
ko:K07227	ecz:ECS88_3916
ko:K02015	ecz:ECS88_3918
ko:K02013	ecz:ECS88_3919
ko:K07507	ecz:ECS88_3920
ko:K00428	ecz:ECS88_3931
ko:K01194	ecz:ECS88_3932
ko:K07058	ecz:ECS88_3935
ko:K07290	ecz:ECS88_3937
ko:K00874	ecz:ECS88_3940
ko:K11103	ecz:ECS88_3942
ko:K07109	ecz:ECS88_4809
ko:K07278	ecz:ECS88_4813
ko:K09800	ecz:ECS88_4814
ko:K01507	ecz:ECS88_4816
ko:K03841	ecz:ECS88_4822
ko:K02558	ecz:ECS88_4823
ko:K09889	ecz:ECS88_4824
ko:K03592	ecz:ECS88_4825
ko:K04068	ecz:ECS88_4827
ko:K01226	ecz:ECS88_4829
ko:K02818	ecz:ECS88_4830
ko:K02819	ecz:ECS88_4830
ko:K03485	ecz:ECS88_4831
ko:K01531	ecz:ECS88_4832
ko:K09022	ecz:ECS88_4833
ko:K00610	ecz:ECS88_4834
ko:K00609	ecz:ECS88_4835
ko:K00611	ecz:ECS88_4841
ko:K09893	ecz:ECS88_4842
ko:K03828	ecz:ECS88_4843
ko:K01873	ecz:ECS88_4845
ko:K02339	ecz:ECS88_4846
ko:K01255	ecz:ECS88_4847
ko:K07091	ecz:ECS88_4848
ko:K06915	ecz:ECS88_4850
ko:K03544	ecz:ECS88_0435
ko:K01338	ecz:ECS88_0436
ko:K03530	ecz:ECS88_0437
ko:K03770	ecz:ECS88_0438
ko:K06920	ecz:ECS88_0441
ko:K05800	ecz:ECS88_0444
ko:K04752	ecz:ECS88_0447
ko:K03320	ecz:ECS88_0448
ko:K10805	ecz:ECS88_0449
ko:K09914	ecz:ECS88_0450
ko:K07443	ecz:ECS88_0451
ko:K05839	ecz:ECS88_0457
ko:K03577	ecz:ECS88_0461
ko:K05802	ecz:ECS88_0462
ko:K04067	ecz:ECS88_0464
ko:K09790	ecz:ECS88_0465
ko:K00759	ecz:ECS88_0466
ko:K02343	ecz:ECS88_0467
ko:K09747	ecz:ECS88_0468
ko:K06187	ecz:ECS88_0469
ko:K04079	ecz:ECS88_0470
ko:K00939	ecz:ECS88_0471
ko:K01772	ecz:ECS88_0472
ko:K00892	ecz:ECS88_0474
ko:K03455	ecz:ECS88_0475
ko:K08223	ecz:ECS88_0476
ko:K09973	ecz:ECS88_0481
ko:K01425	ecz:ECS88_0486
ko:K03746	ecz:ECS88_1305
ko:K00857	ecz:ECS88_1306
ko:K09901	ecz:ECS88_1316
ko:K06131	ecz:ECS88_1317
ko:K09780	ecz:ECS88_1321
ko:K03832	ecz:ECS88_1322
ko:K10806	ecz:ECS88_1323
ko:K06190	ecz:ECS88_1324
ko:K07275	ecz:ECS88_1326
ko:K06903	ecz:ECS88_2199
ko:K02775	ecz:ECS88_2234
ko:K02774	ecz:ECS88_2235
ko:K02773	ecz:ECS88_2236
ko:K08302	ecz:ECS88_2238
ko:K00878	ecz:ECS88_2246
ko:K08304	ecz:ECS88_3082
ko:K03488	ecz:ECS88_3111
ko:K01448	ecz:ECS88_3112
ko:K03581	ecz:ECS88_3114
ko:K03582	ecz:ECS88_3115
ko:K01407	ecz:ECS88_3116
ko:K03583	ecz:ECS88_3117
ko:K02680	ecz:ECS88_3120
ko:K02679	ecz:ECS88_3121
ko:K00560	ecz:ECS88_3122
ko:K08484	ecz:ECS88_3124
ko:K08311	ecz:ECS88_3125
ko:K03573	ecz:ECS88_3126
ko:K08227	ecz:ECS88_3130
ko:K01246	ecz:ECS88_3968
ko:K12974	ecz:ECS88_2573
ko:K12975	ecz:ECS88_3965
ko:K13288	ecz:ECS88_4750
ko:K12962	ecz:ECS88_2408
ko:K07793	ecz:ECS88_4276
ko:K09946	ecz:ECS88_2179
ko:K02458	ecz:ECS88_3339
ko:K02458	ecz:ECS88_3718
ko:K02851	ecz:ECS88_4206
ko:K01034	ecz:ECS88_2370
ko:K01460	ecz:ECS88_3370
ko:K09954	ecz:ECS88_2600
ko:K00906	ecz:ECS88_4481
ko:K01534	ecz:ECS88_3872
ko:K02057	ecz:ECS88_4820
ko:K12684	ecz:ECS88_0280
ko:K12687	ecz:ECS88_4891
ko:K06905	ecz:ECS88_2186
ko:K06905	ecz:ECS88_2809
ko:K08485	ecz:ECS88_3590
ko:K09979	ecz:ECS88_3538
ko:K01176	ecz:ECS88_3990
ko:K00854	ecz:ECS88_3982
ko:K06183	ecz:ECS88_2332
ko:K12370	ecz:ECS88_3962
ko:K00244	ecz:ECS88_4742
ko:K00657	ecz:ECS88_1629
ko:K03276	ecz:ECS88_4042
ko:K07687	ecz:ECS88_2366
ko:K04028	ecz:ECS88_2635
ko:K12944	ecz:ECS88_2400
ko:K01139	ecz:ECS88_4065
ko:K13301	ecz:ECS88_0101
ko:K12983	ecz:ECS88_4039
ko:K00073	ecz:ECS88_0516
ko:K14762	ecz:ECS88_4016
ko:K03316	ecz:ECS88_4555
ko:K01424	ecz:ECS88_1819
ko:K02024	ecz:ECS88_4510
ko:K00799	ecz:ECS88_1683
ko:K11209	ecz:ECS88_3371
ko:K03324	ecz:ECS88_4486
ko:K01093	ecz:ECS88_1002
ko:K11929	ecz:ECS88_0276
ko:K07659	ecz:ECS88_3792
ko:K03759	ecz:ECS88_4617
ko:K03755	ecz:ECS88_4618
ko:K04065	ecz:ECS88_5056
ko:K01580	ecz:ECS88_1581
ko:K11930	ecz:ECS88_1009
ko:K11745	ecz:ECS88_0050
ko:K11753	ecz:ECS88_0024
ko:K11735	ecz:ECS88_2927
ko:K09017	ecz:ECS88_1029
ko:K11072	ecz:ECS88_1140
ko:K04018	ecz:ECS88_4569
ko:K04750	ecz:ECS88_4608
ko:K01580	ecz:ECS88_3930
ko:K03482	ecz:ECS88_1614
ko:K04025	ecz:ECS88_2626
ko:K06079	ecz:ECS88_0204
ko:K05881	ecz:ECS88_1266
ko:K02773	ecz:ECS88_4913
ko:K07311	ecz:ECS88_1634
ko:K12297	ecz:ECS88_0969
ko:K12290	ecz:ECS88_3778
ko:K12288	ecz:ECS88_3780
ko:K11732	ecz:ECS88_0613
ko:K11739	ecz:ECS88_0604
ko:K00748	ecz:ECS88_0193
ko:K07309	ecz:ECS88_1632
ko:K07724	ecz:ECS88_3570
ko:K04021	ecz:ECS88_2634
ko:K11749	ecz:ECS88_0186
ko:K12410	ecz:ECS88_1134
ko:K01487	ecz:ECS88_3162
ko:K07675	ecz:ECS88_4093
ko:K01061	ecz:ECS88_3382
ko:K01130	ecz:ECS88_4222
ko:K00124	ecz:ECS88_4341
ko:K11736	ecz:ECS88_0397
ko:K11737	ecz:ECS88_4802
ko:K13381	ecz:ECS88_3726
