ko:K00020	cpse:CPTA_00811
ko:K02864	cpse:CPTA_00844
ko:K02935	cpse:CPTA_00845
ko:K06910	cpse:CPTA_01629
ko:K05881	cpse:CPTA_01631
ko:K05879	cpse:CPTA_01632
ko:K05878	cpse:CPTA_01633
ko:K07588	cpse:CPTA_01638
ko:K01847	cpse:CPTA_01639
ko:K01847	cpse:CPTA_01640
ko:K01772	cpse:CPTA_01647
ko:K01681	cpse:CPTA_01650
ko:K01951	cpse:CPTA_01652
ko:K07166	cpse:CPTA_01653
ko:K09157	cpse:CPTA_01654
ko:K04488	cpse:CPTA_01660
ko:K11717	cpse:CPTA_01661
ko:K09013	cpse:CPTA_01662
ko:K09015	cpse:CPTA_01663
ko:K09014	cpse:CPTA_01664
ko:K14339	cpse:CPTA_01666
ko:K01990	cpse:CPTA_01667
ko:K01992	cpse:CPTA_01668
ko:K02259	cpse:CPTA_01669
ko:K00615	cpse:CPTA_01671
ko:K00616	cpse:CPTA_01672
ko:K00036	cpse:CPTA_01673
ko:K01057	cpse:CPTA_01675
ko:K14231	cpse:CPTA_tRNA00006
ko:K14227	cpse:CPTA_tRNA00013
ko:K14232	cpse:CPTA_tRNA00023
ko:K14230	cpse:CPTA_tRNA00027
ko:K14225	cpse:CPTA_tRNA00041
ko:K14225	cpse:CPTA_tRNA00044
ko:K14230	cpse:CPTA_tRNA00046
ko:K01657	cpse:CPTA_00494
ko:K01658	cpse:CPTA_00495
ko:K00766	cpse:CPTA_00496
ko:K13498	cpse:CPTA_00497
ko:K01696	cpse:CPTA_00499
ko:K01695	cpse:CPTA_00500
ko:K14347	cpse:CPTA_00502
ko:K07735	cpse:CPTA_00506
ko:K00970	cpse:CPTA_00507
ko:K03980	cpse:CPTA_00511
ko:K03088	cpse:CPTA_00512
ko:K00384	cpse:CPTA_00514
ko:K03671	cpse:CPTA_00515
ko:K01448	cpse:CPTA_00516
ko:K03501	cpse:CPTA_00520
ko:K03217	cpse:CPTA_00521
ko:K03536	cpse:CPTA_00522
ko:K02914	cpse:CPTA_00523
ko:K02313	cpse:CPTA_00525
ko:K02338	cpse:CPTA_00526
ko:K03629	cpse:CPTA_00527
ko:K02470	cpse:CPTA_00529
ko:K02469	cpse:CPTA_00533
ko:K06207	cpse:CPTA_01322
ko:K15525	cpse:CPTA_01324
ko:K16237	cpse:CPTA_01330
ko:K00674	cpse:CPTA_01331
ko:K16237	cpse:CPTA_01332
ko:K00674	cpse:CPTA_01333
ko:K01439	cpse:CPTA_01334
ko:K06966	cpse:CPTA_01335
ko:K00796	cpse:CPTA_01336
ko:K13693	cpse:CPTA_01337
ko:K00563	cpse:CPTA_01340
ko:K01193	cpse:CPTA_01341
ko:K01575	cpse:CPTA_01342
ko:K16148	cpse:CPTA_01343
ko:K00975	cpse:CPTA_01344
ko:K03088	cpse:CPTA_01346
ko:K03117	cpse:CPTA_01348
ko:K03593	cpse:CPTA_01349
ko:K01616	cpse:CPTA_01353
ko:K00014	cpse:CPTA_01356
ko:K03929	cpse:CPTA_01357
ko:K03307	cpse:CPTA_01362
ko:K00965	cpse:CPTA_01364
ko:K00849	cpse:CPTA_01365
ko:K05592	cpse:CPTA_01366
ko:K04750	cpse:CPTA_01368
ko:K11928	cpse:CPTA_01372
ko:K07042	cpse:CPTA_02118
ko:K09761	cpse:CPTA_02120
ko:K03686	cpse:CPTA_02121
ko:K03705	cpse:CPTA_02122
ko:K01897	cpse:CPTA_02126
ko:K00705	cpse:CPTA_02127
ko:K01284	cpse:CPTA_02130
ko:K01823	cpse:CPTA_02132
ko:K01823	cpse:CPTA_02133
ko:K06147	cpse:CPTA_02138
ko:K06147	cpse:CPTA_02139
ko:K03311	cpse:CPTA_02140
ko:K07088	cpse:CPTA_02145
ko:K02035	cpse:CPTA_02146
ko:K02033	cpse:CPTA_02147
ko:K02034	cpse:CPTA_02148
ko:K02031	cpse:CPTA_02149
ko:K02032	cpse:CPTA_02149
ko:K06997	cpse:CPTA_02152
ko:K07112	cpse:CPTA_02153
ko:K02035	cpse:CPTA_02156
ko:K03596	cpse:CPTA_02161
ko:K02968	cpse:CPTA_02163
ko:K05835	cpse:CPTA_02164
ko:K02340	cpse:CPTA_02166
ko:K02238	cpse:CPTA_02167
ko:K07399	cpse:CPTA_00228
ko:K03385	cpse:CPTA_00230
ko:K01939	cpse:CPTA_00232
ko:K01992	cpse:CPTA_00238
ko:K01990	cpse:CPTA_00239
ko:K10947	cpse:CPTA_00242
ko:K14194	cpse:CPTA_00243
ko:K01624	cpse:CPTA_00244
ko:K00762	cpse:CPTA_00247
ko:K01011	cpse:CPTA_00249
ko:K00111	cpse:CPTA_00251
ko:K07284	cpse:CPTA_00256
ko:K07284	cpse:CPTA_00259
ko:K03695	cpse:CPTA_00260
ko:K01990	cpse:CPTA_00261
ko:K01992	cpse:CPTA_00262
ko:K03312	cpse:CPTA_00264
ko:K02004	cpse:CPTA_00274
ko:K02003	cpse:CPTA_00275
ko:K02005	cpse:CPTA_00276
ko:K13953	cpse:CPTA_00279
ko:K01251	cpse:CPTA_01063
ko:K00943	cpse:CPTA_01064
ko:K07670	cpse:CPTA_01065
ko:K07654	cpse:CPTA_01066
ko:K03070	cpse:CPTA_01070
ko:K00508	cpse:CPTA_01075
ko:K06949	cpse:CPTA_01076
ko:K00800	cpse:CPTA_01077
ko:K03088	cpse:CPTA_01081
ko:K03657	cpse:CPTA_01092
ko:K10716	cpse:CPTA_01093
ko:K03426	cpse:CPTA_01094
ko:K03657	cpse:CPTA_01095
ko:K07043	cpse:CPTA_01097
ko:K07177	cpse:CPTA_01099
ko:K09118	cpse:CPTA_01101
ko:K00368	cpse:CPTA_01110
ko:K11738	cpse:CPTA_01117
ko:K13580	cpse:CPTA_01870
ko:K03404	cpse:CPTA_01871
ko:K00116	cpse:CPTA_01872
ko:K17883	cpse:CPTA_01874
ko:K02232	cpse:CPTA_01876
ko:K01265	cpse:CPTA_01877
ko:K00099	cpse:CPTA_01881
ko:K06941	cpse:CPTA_01884
ko:K06941	cpse:CPTA_01885
ko:K00981	cpse:CPTA_01887
ko:K02838	cpse:CPTA_01888
ko:K09903	cpse:CPTA_01889
ko:K02357	cpse:CPTA_01890
ko:K02967	cpse:CPTA_01891
ko:K03733	cpse:CPTA_01893
ko:K04096	cpse:CPTA_01894
ko:K07391	cpse:CPTA_01895
ko:K03470	cpse:CPTA_01897
ko:K03100	cpse:CPTA_01898
ko:K02884	cpse:CPTA_01899
ko:K06959	cpse:CPTA_01900
ko:K02768	cpse:CPTA_01901
ko:K02769	cpse:CPTA_01901
ko:K02770	cpse:CPTA_01901
ko:K00554	cpse:CPTA_01903
ko:K02860	cpse:CPTA_01904
ko:K02959	cpse:CPTA_01906
ko:K03106	cpse:CPTA_01907
ko:K00990	cpse:CPTA_01908
ko:K04751	cpse:CPTA_01910
ko:K03110	cpse:CPTA_01911
ko:K03529	cpse:CPTA_01914
ko:K01512	cpse:CPTA_01915
ko:K03310	cpse:CPTA_01916
ko:K03310	cpse:CPTA_00386
ko:K03310	cpse:CPTA_00387
ko:K01126	cpse:CPTA_00389
ko:K03317	cpse:CPTA_00390
ko:K01489	cpse:CPTA_00391
ko:K00758	cpse:CPTA_00392
ko:K00016	cpse:CPTA_00393
ko:K07304	cpse:CPTA_00395
ko:K04564	cpse:CPTA_00397
ko:K08224	cpse:CPTA_00400
ko:K07784	cpse:CPTA_00404
ko:K13671	cpse:CPTA_00406
ko:K07146	cpse:CPTA_00412
ko:K03217	cpse:CPTA_00415
ko:K09125	cpse:CPTA_00417
ko:K06177	cpse:CPTA_00421
ko:K01990	cpse:CPTA_00424
ko:K03671	cpse:CPTA_00429
ko:K17686	cpse:CPTA_00431
ko:K08369	cpse:CPTA_00433
ko:K03750	cpse:CPTA_01219
ko:K03790	cpse:CPTA_01220
ko:K15977	cpse:CPTA_01222
ko:K02484	cpse:CPTA_00121
ko:K08167	cpse:CPTA_00123
ko:K08167	cpse:CPTA_00124
ko:K00156	cpse:CPTA_00129
ko:K00697	cpse:CPTA_00133
ko:K01087	cpse:CPTA_00135
ko:K03218	cpse:CPTA_00137
ko:K01883	cpse:CPTA_00138
ko:K01770	cpse:CPTA_00139
ko:K00991	cpse:CPTA_00140
ko:K07736	cpse:CPTA_00141
ko:K04485	cpse:CPTA_00146
ko:K04485	cpse:CPTA_00147
ko:K01673	cpse:CPTA_00149
ko:K03575	cpse:CPTA_00150
ko:K03696	cpse:CPTA_00153
ko:K07052	cpse:CPTA_00158
ko:K04567	cpse:CPTA_00159
ko:K02168	cpse:CPTA_00164
ko:K01918	cpse:CPTA_00166
ko:K00950	cpse:CPTA_00170
ko:K01633	cpse:CPTA_00171
ko:K00796	cpse:CPTA_00172
ko:K04078	cpse:CPTA_00958
ko:K04077	cpse:CPTA_00959
ko:K03088	cpse:CPTA_00960
ko:K00088	cpse:CPTA_00964
ko:K00088	cpse:CPTA_00965
ko:K01951	cpse:CPTA_00968
ko:K02072	cpse:CPTA_00976
ko:K02071	cpse:CPTA_00977
ko:K02073	cpse:CPTA_00978
ko:K02073	cpse:CPTA_00980
ko:K02077	cpse:CPTA_00984
ko:K03709	cpse:CPTA_00988
ko:K03216	cpse:CPTA_00989
ko:K01491	cpse:CPTA_00990
ko:K00641	cpse:CPTA_00992
ko:K00641	cpse:CPTA_00993
ko:K02016	cpse:CPTA_00996
ko:K02015	cpse:CPTA_00997
ko:K02013	cpse:CPTA_00998
ko:K01740	cpse:CPTA_01000
ko:K01740	cpse:CPTA_01001
ko:K00031	cpse:CPTA_01002
ko:K01142	cpse:CPTA_01005
ko:K01867	cpse:CPTA_01007
ko:K07056	cpse:CPTA_01228
ko:K01874	cpse:CPTA_01229
ko:K03424	cpse:CPTA_01230
ko:K02528	cpse:CPTA_01232
ko:K00919	cpse:CPTA_01233
ko:K03811	cpse:CPTA_01238
ko:K00134	cpse:CPTA_01245
ko:K00134	cpse:CPTA_01246
ko:K01259	cpse:CPTA_01248
ko:K02837	cpse:CPTA_01249
ko:K01056	cpse:CPTA_01251
ko:K00459	cpse:CPTA_01252
ko:K01056	cpse:CPTA_01254
ko:K02897	cpse:CPTA_01255
ko:K00948	cpse:CPTA_01257
ko:K04042	cpse:CPTA_01258
ko:K03723	cpse:CPTA_01262
ko:K03758	cpse:CPTA_01263
ko:K02428	cpse:CPTA_01264
ko:K01689	cpse:CPTA_01266
ko:K09009	cpse:CPTA_01269
ko:K01524	cpse:CPTA_01270
ko:K02231	cpse:CPTA_02016
ko:K00768	cpse:CPTA_02017
ko:K02233	cpse:CPTA_02018
ko:K00826	cpse:CPTA_02019
ko:K01255	cpse:CPTA_02020
ko:K00658	cpse:CPTA_02022
ko:K00281	cpse:CPTA_02023
ko:K00605	cpse:CPTA_02024
ko:K02437	cpse:CPTA_02025
ko:K03801	cpse:CPTA_02027
ko:K03644	cpse:CPTA_02028
ko:K01915	cpse:CPTA_02031
ko:K07316	cpse:CPTA_02047
ko:K01156	cpse:CPTA_02048
ko:K01156	cpse:CPTA_02049
ko:K03427	cpse:CPTA_02055
ko:K02003	cpse:CPTA_02059
ko:K02004	cpse:CPTA_02060
ko:K07035	cpse:CPTA_02064
ko:K00088	cpse:CPTA_02065
ko:K01619	cpse:CPTA_00693
ko:K01840	cpse:CPTA_00694
ko:K00928	cpse:CPTA_00700
ko:K00133	cpse:CPTA_00703
ko:K03088	cpse:CPTA_00704
ko:K03781	cpse:CPTA_00705
ko:K02010	cpse:CPTA_00711
ko:K02011	cpse:CPTA_00712
ko:K02012	cpse:CPTA_00713
ko:K02445	cpse:CPTA_00714
ko:K07657	cpse:CPTA_00715
ko:K05571	cpse:CPTA_00717
ko:K05570	cpse:CPTA_00718
ko:K05569	cpse:CPTA_00719
ko:K05568	cpse:CPTA_00720
ko:K05567	cpse:CPTA_00721
ko:K05565	cpse:CPTA_00722
ko:K01992	cpse:CPTA_00725
ko:K01990	cpse:CPTA_00726
ko:K09117	cpse:CPTA_00731
ko:K10773	cpse:CPTA_00739
ko:K06442	cpse:CPTA_01529
ko:K00858	cpse:CPTA_01530
ko:K03631	cpse:CPTA_01531
ko:K01515	cpse:CPTA_01534
ko:K04763	cpse:CPTA_01535
ko:K05896	cpse:CPTA_01537
ko:K01935	cpse:CPTA_01538
ko:K03305	cpse:CPTA_01539
ko:K00833	cpse:CPTA_01541
ko:K01935	cpse:CPTA_01542
ko:K06024	cpse:CPTA_01543
ko:K06178	cpse:CPTA_01544
ko:K00945	cpse:CPTA_01545
ko:K03977	cpse:CPTA_01546
ko:K07792	cpse:CPTA_01547
ko:K02016	cpse:CPTA_01551
ko:K02015	cpse:CPTA_01553
ko:K02013	cpse:CPTA_01554
ko:K09858	cpse:CPTA_01563
ko:K06889	cpse:CPTA_01564
ko:K07397	cpse:CPTA_01564
ko:K03070	cpse:CPTA_01566
ko:K08999	cpse:CPTA_01569
ko:K00033	cpse:CPTA_01576
ko:K07058	cpse:CPTA_01008
ko:K07258	cpse:CPTA_01009
ko:K07305	cpse:CPTA_01770
ko:K03684	cpse:CPTA_01773
ko:K01662	cpse:CPTA_01774
ko:K01092	cpse:CPTA_01782
ko:K01092	cpse:CPTA_01783
ko:K00886	cpse:CPTA_01784
ko:K03086	cpse:CPTA_01785
ko:K07560	cpse:CPTA_01791
ko:K03087	cpse:CPTA_01792
ko:K03709	cpse:CPTA_01793
ko:K01784	cpse:CPTA_01794
ko:K04756	cpse:CPTA_01799
ko:K03386	cpse:CPTA_01800
ko:K04761	cpse:CPTA_01801
