ko:K15581	ecq:ECED1_1396
ko:K03619	ecq:ECED1_1060
ko:K03618	ecq:ECED1_1061
ko:K00425	ecq:ECED1_1062
ko:K00426	ecq:ECED1_1063
ko:K03704	ecq:ECED1_1065
ko:K03704	ecq:ECED1_1066
ko:K07647	ecq:ECED1_1070
ko:K07772	ecq:ECED1_1072
ko:K03532	ecq:ECED1_1073
ko:K07811	ecq:ECED1_1074
ko:K06074	ecq:ECED1_1911
ko:K00432	ecq:ECED1_1912
ko:K06073	ecq:ECED1_1913
ko:K01890	ecq:ECED1_1915
ko:K01889	ecq:ECED1_1916
ko:K02887	ecq:ECED1_1917
ko:K02916	ecq:ECED1_1918
ko:K01868	ecq:ECED1_1920
ko:K07283	ecq:ECED1_1925
ko:K03781	ecq:ECED1_1934
ko:K03478	ecq:ECED1_1935
ko:K01222	ecq:ECED1_1936
ko:K02759	ecq:ECED1_1938
ko:K02761	ecq:ECED1_1939
ko:K02760	ecq:ECED1_1940
ko:K04064	ecq:ECED1_1941
ko:K09975	ecq:ECED1_1944
ko:K05526	ecq:ECED1_1946
ko:K01484	ecq:ECED1_1947
ko:K06447	ecq:ECED1_1948
ko:K00673	ecq:ECED1_1949
ko:K00840	ecq:ECED1_1950
ko:K01142	ecq:ECED1_1951
ko:K05777	ecq:ECED1_1956
ko:K05779	ecq:ECED1_1958
ko:K03186	ecq:ECED1_2775
ko:K00764	ecq:ECED1_2776
ko:K03558	ecq:ECED1_2777
ko:K03749	ecq:ECED1_2778
ko:K01963	ecq:ECED1_2780
ko:K03975	ecq:ECED1_2781
ko:K06173	ecq:ECED1_2782
ko:K03473	ecq:ECED1_2784
ko:K00647	ecq:ECED1_2787
ko:K09906	ecq:ECED1_2790
ko:K07090	ecq:ECED1_2791
ko:K07261	ecq:ECED1_2792
ko:K01736	ecq:ECED1_2793
ko:K07320	ecq:ECED1_2794
ko:K08296	ecq:ECED1_2803
ko:K06076	ecq:ECED1_2807
ko:K04754	ecq:ECED1_2808
ko:K01753	ecq:ECED1_2813
ko:K07690	ecq:ECED1_2816
ko:K07088	ecq:ECED1_2819
ko:K01577	ecq:ECED1_2820
ko:K03559	ecq:ECED1_3655
ko:K03561	ecq:ECED1_3656
ko:K00655	ecq:ECED1_3676
ko:K02621	ecq:ECED1_3678
ko:K02035	ecq:ECED1_3679
ko:K07645	ecq:ECED1_3683
ko:K03923	ecq:ECED1_3687
ko:K02016	ecq:ECED1_3690
ko:K02015	ecq:ECED1_3691
ko:K02015	ecq:ECED1_3692
ko:K02014	ecq:ECED1_3695
ko:K02622	ecq:ECED1_3696
ko:K07000	ecq:ECED1_3697
ko:K03651	ecq:ECED1_3698
ko:K09920	ecq:ECED1_3699
ko:K03673	ecq:ECED1_3705
ko:K03611	ecq:ECED1_3706
ko:K00926	ecq:ECED1_4522
ko:K00757	ecq:ECED1_4528
ko:K00883	ecq:ECED1_4533
ko:K09760	ecq:ECED1_4536
ko:K03183	ecq:ECED1_4537
ko:K03690	ecq:ECED1_4538
ko:K03688	ecq:ECED1_4539
ko:K03116	ecq:ECED1_4540
ko:K03117	ecq:ECED1_4541
ko:K03118	ecq:ECED1_4542
ko:K03424	ecq:ECED1_4543
ko:K05785	ecq:ECED1_4544
ko:K03182	ecq:ECED1_4545
ko:K03498	ecq:ECED1_4551
ko:K00230	ecq:ECED1_4552
ko:K03753	ecq:ECED1_4557
ko:K03752	ecq:ECED1_4558
ko:K09896	ecq:ECED1_4559
ko:K03673	ecq:ECED1_4561
ko:K02335	ecq:ECED1_4564
ko:K03978	ecq:ECED1_4565
ko:K09894	ecq:ECED1_4566
ko:K07712	ecq:ECED1_4569
ko:K07708	ecq:ECED1_4570
ko:K01915	ecq:ECED1_4571
ko:K06207	ecq:ECED1_4573
ko:K12687	ecq:ECED1_5177
ko:K06905	ecq:ECED1_3062
ko:K06905	ecq:ECED1_2433
ko:K06905	ecq:ECED1_0869
ko:K09979	ecq:ECED1_3814
ko:K08485	ecq:ECED1_3864
ko:K00854	ecq:ECED1_4249
ko:K06183	ecq:ECED1_2634
ko:K12370	ecq:ECED1_4221
ko:K00244	ecq:ECED1_4943
ko:K00657	ecq:ECED1_1752
ko:K04764	ecq:ECED1_1914
ko:K00872	ecq:ECED1_0002
ko:K01733	ecq:ECED1_0003
ko:K09861	ecq:ECED1_0005
ko:K03310	ecq:ECED1_0006
ko:K00616	ecq:ECED1_0008
ko:K03831	ecq:ECED1_0009
ko:K07034	ecq:ECED1_0010
ko:K04043	ecq:ECED1_0013
ko:K05516	ecq:ECED1_1077
ko:K03809	ecq:ECED1_1083
ko:K08320	ecq:ECED1_1961
ko:K03169	ecq:ECED1_1963
ko:K01008	ecq:ECED1_1964
ko:K04773	ecq:ECED1_1968
ko:K08369	ecq:ECED1_1971
ko:K08369	ecq:ECED1_1979
ko:K09916	ecq:ECED1_1981
ko:K07305	ecq:ECED1_1983
ko:K00134	ecq:ECED1_1984
ko:K07180	ecq:ECED1_1988
ko:K09786	ecq:ECED1_1989
ko:K03449	ecq:ECED1_1997
ko:K09712	ecq:ECED1_1999
ko:K11250	ecq:ECED1_2004
ko:K03684	ecq:ECED1_2007
ko:K07285	ecq:ECED1_2009
ko:K09917	ecq:ECED1_2014
ko:K01665	ecq:ECED1_2015
ko:K01752	ecq:ECED1_2017
ko:K08483	ecq:ECED1_2830
ko:K11189	ecq:ECED1_2830
ko:K11201	ecq:ECED1_2830
ko:K11203	ecq:ECED1_2833
ko:K11202	ecq:ECED1_2834
ko:K00845	ecq:ECED1_2835
ko:K03322	ecq:ECED1_2838
ko:K01885	ecq:ECED1_2847
ko:K11537	ecq:ECED1_2849
ko:K03815	ecq:ECED1_2850
ko:K09954	ecq:ECED1_2854
ko:K01972	ecq:ECED1_2855
ko:K03528	ecq:ECED1_2856
ko:K06203	ecq:ECED1_2857
ko:K01738	ecq:ECED1_2858
ko:K02784	ecq:ECED1_2859
ko:K08483	ecq:ECED1_2860
ko:K02777	ecq:ECED1_2861
ko:K00868	ecq:ECED1_2862
ko:K02045	ecq:ECED1_2865
ko:K02047	ecq:ECED1_2866
ko:K02046	ecq:ECED1_2867
ko:K02048	ecq:ECED1_2868
ko:K07106	ecq:ECED1_2870
ko:K11191	ecq:ECED1_2871
ko:K11192	ecq:ECED1_2871
ko:K07223	ecq:ECED1_2873
ko:K07238	ecq:ECED1_3708
ko:K02858	ecq:ECED1_3715
ko:K00982	ecq:ECED1_3721
ko:K07184	ecq:ECED1_3724
ko:K06153	ecq:ECED1_3726
ko:K01633	ecq:ECED1_3727
ko:K08591	ecq:ECED1_3728
ko:K03780	ecq:ECED1_3731
ko:K01409	ecq:ECED1_3733
ko:K02970	ecq:ECED1_3734
ko:K02316	ecq:ECED1_3735
ko:K03086	ecq:ECED1_3736
ko:K03776	ecq:ECED1_3740
ko:K06878	ecq:ECED1_3742
ko:K11391	ecq:ECED1_3751
ko:K07043	ecq:ECED1_3752
ko:K07862	ecq:ECED1_3756
ko:K01685	ecq:ECED1_3758
ko:K07090	ecq:ECED1_4578
ko:K07058	ecq:ECED1_4586
ko:K07560	ecq:ECED1_4587
ko:K02380	ecq:ECED1_4594
ko:K00127	ecq:ECED1_4595
ko:K00123	ecq:ECED1_4597
ko:K02379	ecq:ECED1_4599
ko:K03534	ecq:ECED1_4602
ko:K01629	ecq:ECED1_4603
ko:K07687	ecq:ECED1_2683
ko:K04028	ecq:ECED1_2889
ko:K07095	ecq:ECED1_2764
ko:K07589	ecq:ECED1_2767
ko:K07071	ecq:ECED1_2768
ko:K10017	ecq:ECED1_2770
ko:K10015	ecq:ECED1_2771
ko:K10016	ecq:ECED1_2772
ko:K10014	ecq:ECED1_2773
ko:K09689	ecq:ECED1_3601
ko:K09688	ecq:ECED1_3602
ko:K02461	ecq:ECED1_3604
ko:K02460	ecq:ECED1_3605
ko:K02459	ecq:ECED1_3606
ko:K02457	ecq:ECED1_3608
ko:K02456	ecq:ECED1_3609
ko:K02454	ecq:ECED1_3611
ko:K02453	ecq:ECED1_3612
ko:K02452	ecq:ECED1_3613
ko:K01638	ecq:ECED1_3618
ko:K11472	ecq:ECED1_3621
ko:K11474	ecq:ECED1_3623
ko:K04653	ecq:ECED1_3640
ko:K04651	ecq:ECED1_3641
ko:K06281	ecq:ECED1_3644
ko:K06282	ecq:ECED1_3647
ko:K03732	ecq:ECED1_4465
ko:K03671	ecq:ECED1_4466
ko:K03628	ecq:ECED1_4468
ko:K05790	ecq:ECED1_4470
ko:K02472	ecq:ECED1_4472
ko:K00973	ecq:ECED1_4474
ko:K00848	ecq:ECED1_4605
ko:K02855	ecq:ECED1_4607
ko:K02854	ecq:ECED1_4608
ko:K02856	ecq:ECED1_4609
ko:K04564	ecq:ECED1_4611
ko:K02526	ecq:ECED1_4612
ko:K07640	ecq:ECED1_4614
ko:K07662	ecq:ECED1_4615
ko:K00850	ecq:ECED1_4618
ko:K02048	ecq:ECED1_4619
ko:K01521	ecq:ECED1_4620
ko:K01803	ecq:ECED1_4621
ko:K00528	ecq:ECED1_4626
ko:K02446	ecq:ECED1_4627
ko:K00864	ecq:ECED1_4628
ko:K02440	ecq:ECED1_4629
ko:K09892	ecq:ECED1_4630
ko:K02553	ecq:ECED1_4631
ko:K02548	ecq:ECED1_4632
ko:K03667	ecq:ECED1_4633
ko:K01419	ecq:ECED1_4634
ko:K12944	ecq:ECED1_2717
ko:K01139	ecq:ECED1_4334
ko:K13301	ecq:ECED1_0098
ko:K03079	ecq:ECED1_5047
ko:K00073	ecq:ECED1_0536
ko:K14762	ecq:ECED1_4285
ko:K03316	ecq:ECED1_4791
ko:K01424	ecq:ECED1_1969
ko:K02024	ecq:ECED1_4752
ko:K00799	ecq:ECED1_1836
ko:K11209	ecq:ECED1_3639
ko:K03324	ecq:ECED1_4728
ko:K01580	ecq:ECED1_4195
ko:K01093	ecq:ECED1_1064
ko:K11929	ecq:ECED1_0275
ko:K07659	ecq:ECED1_4065
ko:K03759	ecq:ECED1_4849
ko:K03755	ecq:ECED1_4850
ko:K04065	ecq:ECED1_5246
ko:K01580	ecq:ECED1_1639
ko:K01630	ecq:ECED1_3787
ko:K11745	ecq:ECED1_0046
ko:K11720	ecq:ECED1_3629
ko:K11752	ecq:ECED1_0437
ko:K11753	ecq:ECED1_0022
ko:K11735	ecq:ECED1_3116
ko:K09017	ecq:ECED1_1169
ko:K11072	ecq:ECED1_1269
ko:K01160	ecq:ECED1_1114
ko:K04018	ecq:ECED1_4804
ko:K04025	ecq:ECED1_2880
ko:K06079	ecq:ECED1_0199
ko:K05881	ecq:ECED1_1346
ko:K07311	ecq:ECED1_1758
ko:K12297	ecq:ECED1_0971
ko:K12290	ecq:ECED1_4051
ko:K01784	ecq:ECED1_2386
ko:K12288	ecq:ECED1_4053
ko:K11732	ecq:ECED1_0568
ko:K11739	ecq:ECED1_0559
ko:K00748	ecq:ECED1_0188
ko:K06146	ecq:ECED1_5117
ko:K03686	ecq:ECED1_0014
ko:K03313	ecq:ECED1_0018
ko:K03717	ecq:ECED1_0019
ko:K01870	ecq:ECED1_0023
ko:K03101	ecq:ECED1_0024
ko:K03774	ecq:ECED1_0025
ko:K03527	ecq:ECED1_0026
ko:K01956	ecq:ECED1_0030
ko:K01955	ecq:ECED1_0031
ko:K02182	ecq:ECED1_0036
ko:K08298	ecq:ECED1_0037
ko:K05245	ecq:ECED1_0039
ko:K03521	ecq:ECED1_0040
ko:K03522	ecq:ECED1_0041
ko:K00313	ecq:ECED1_0042
ko:K00287	ecq:ECED1_0047
ko:K01525	ecq:ECED1_0050
ko:K06195	ecq:ECED1_0051
ko:K02528	ecq:ECED1_0052
ko:K00097	ecq:ECED1_0053
ko:K03771	ecq:ECED1_0054
ko:K04744	ecq:ECED1_0055
ko:K05801	ecq:ECED1_0056
ko:K06177	ecq:ECED1_0057
ko:K03580	ecq:ECED1_0058
ko:K02336	ecq:ECED1_0059
ko:K01804	ecq:ECED1_0061
ko:K09019	ecq:ECED1_1164
ko:K09023	ecq:ECED1_1165
ko:K09021	ecq:ECED1_1166
ko:K09018	ecq:ECED1_1168
ko:K07243	ecq:ECED1_1172
ko:K07224	ecq:ECED1_1173
ko:K06217	ecq:ECED1_1175
ko:K04477	ecq:ECED1_1178
ko:K06214	ecq:ECED1_1181
ko:K04338	ecq:ECED1_1182
ko:K04337	ecq:ECED1_1183
ko:K02793	ecq:ECED1_2020
ko:K02794	ecq:ECED1_2020
ko:K02795	ecq:ECED1_2021
ko:K02796	ecq:ECED1_2022
ko:K00563	ecq:ECED1_2025
ko:K03704	ecq:ECED1_2026
ko:K08169	ecq:ECED1_2032
ko:K03799	ecq:ECED1_2033
ko:K03797	ecq:ECED1_2034
ko:K03607	ecq:ECED1_2035
ko:K03808	ecq:ECED1_2037
ko:K11392	ecq:ECED1_2039
ko:K07313	ecq:ECED1_2042
ko:K07156	ecq:ECED1_2046
ko:K02345	ecq:ECED1_2047
ko:K10857	ecq:ECED1_2049
ko:K01354	ecq:ECED1_2050
ko:K09918	ecq:ECED1_2053
ko:K08289	ecq:ECED1_2054
ko:K01625	ecq:ECED1_2055
ko:K01690	ecq:ECED1_2056
ko:K00036	ecq:ECED1_2057
ko:K00873	ecq:ECED1_2059
ko:K02560	ecq:ECED1_2060
ko:K09815	ecq:ECED1_2062
ko:K09817	ecq:ECED1_2063
ko:K09816	ecq:ECED1_2064
ko:K03551	ecq:ECED1_2065
ko:K03550	ecq:ECED1_2066
ko:K01159	ecq:ECED1_2068
ko:K01448	ecq:ECED1_2877
ko:K04033	ecq:ECED1_2879
ko:K04026	ecq:ECED1_2881
ko:K03736	ecq:ECED1_2882
ko:K03735	ecq:ECED1_2883
ko:K04019	ecq:ECED1_2884
ko:K04023	ecq:ECED1_2885
ko:K04022	ecq:ECED1_2886
ko:K04024	ecq:ECED1_2887
ko:K04032	ecq:ECED1_2892
ko:K04029	ecq:ECED1_2894
ko:K04031	ecq:ECED1_2895
ko:K00616	ecq:ECED1_2897
ko:K00615	ecq:ECED1_2898
ko:K07674	ecq:ECED1_2902
ko:K01439	ecq:ECED1_2905
ko:K06999	ecq:ECED1_2907
ko:K07054	ecq:ECED1_2909
ko:K01923	ecq:ECED1_2911
ko:K07287	ecq:ECED1_2912
ko:K01714	ecq:ECED1_2913
ko:K03567	ecq:ECED1_2914
ko:K03564	ecq:ECED1_2915
ko:K03548	ecq:ECED1_2916
ko:K10763	ecq:ECED1_2919
ko:K00761	ecq:ECED1_2921
ko:K01933	ecq:ECED1_2923
ko:K11175	ecq:ECED1_2924
ko:K00937	ecq:ECED1_2925
ko:K01812	ecq:ECED1_3759
ko:K07393	ecq:ECED1_3770
ko:K06911	ecq:ECED1_3773
ko:K01752	ecq:ECED1_3777
ko:K00656	ecq:ECED1_3779
ko:K01754	ecq:ECED1_3782
ko:K00865	ecq:ECED1_3785
ko:K02745	ecq:ECED1_3795
ko:K02746	ecq:ECED1_3796
ko:K02747	ecq:ECED1_3797
ko:K02744	ecq:ECED1_3798
ko:K02079	ecq:ECED1_3799
ko:K02082	ecq:ECED1_3800
ko:K08302	ecq:ECED1_3801
ko:K07056	ecq:ECED1_3806
ko:K07121	ecq:ECED1_3807
ko:K07460	ecq:ECED1_3808
ko:K07089	ecq:ECED1_3811
ko:K03591	ecq:ECED1_4635
ko:K04066	ecq:ECED1_4637
ko:K02909	ecq:ECED1_4638
ko:K03764	ecq:ECED1_4640
ko:K00005	ecq:ECED1_4651
ko:K08483	ecq:ECED1_4653
ko:K11189	ecq:ECED1_4653
ko:K11201	ecq:ECED1_4653
ko:K11203	ecq:ECED1_4654
ko:K11202	ecq:ECED1_4655
ko:K00656	ecq:ECED1_4656
ko:K04069	ecq:ECED1_4657
ko:K11202	ecq:ECED1_4658
ko:K01595	ecq:ECED1_4661
ko:K01438	ecq:ECED1_4662
ko:K00145	ecq:ECED1_4663
ko:K00930	ecq:ECED1_4664
ko:K01755	ecq:ECED1_4665
ko:K04761	ecq:ECED1_4668
ko:K00322	ecq:ECED1_4669
ko:K01776	ecq:ECED1_4676
ko:K00075	ecq:ECED1_4683
ko:K00867	ecq:ECED1_4685
ko:K02358	ecq:ECED1_4687
ko:K03073	ecq:ECED1_4688
ko:K07724	ecq:ECED1_3846
ko:K04021	ecq:ECED1_2888
ko:K11749	ecq:ECED1_0182
ko:K12410	ecq:ECED1_1263
ko:K01487	ecq:ECED1_3343
ko:K07675	ecq:ECED1_4363
ko:K01002	ecq:ECED1_5227
ko:K00124	ecq:ECED1_4596
ko:K11736	ecq:ECED1_0425
ko:K11737	ecq:ECED1_5065
ko:K13381	ecq:ECED1_3998
ko:K02226	ecq:ECED1_0635
ko:K01497	ecq:ECED1_1487
ko:K01491	ecq:ECED1_0549
ko:K08094	ecq:ECED1_4515
ko:K02790	ecq:ECED1_1821
ko:K02791	ecq:ECED1_1821
ko:K12372	ecq:ECED1_4219
ko:K00564	ecq:ECED1_5241
ko:K13053	ecq:ECED1_0981
ko:K10679	ecq:ECED1_0570
ko:K06048	ecq:ECED1_0573
ko:K02364	ecq:ECED1_0582
ko:K02013	ecq:ECED1_0585
ko:K02015	ecq:ECED1_0586
ko:K02015	ecq:ECED1_0587
ko:K02016	ecq:ECED1_0589
ko:K02361	ecq:ECED1_0590
ko:K02363	ecq:ECED1_0591
ko:K01252	ecq:ECED1_0592
ko:K00216	ecq:ECED1_0593
ko:K03805	ecq:ECED1_0603
ko:K03387	ecq:ECED1_0605
ko:K06140	ecq:ECED1_0607
ko:K05964	ecq:ECED1_0611
ko:K01643	ecq:ECED1_0612
ko:K01644	ecq:ECED1_0613
ko:K01646	ecq:ECED1_0614
ko:K01910	ecq:ECED1_0615
ko:K07700	ecq:ECED1_0616
ko:K07702	ecq:ECED1_0617
ko:K03326	ecq:ECED1_0618
ko:K03704	ecq:ECED1_0620
ko:K06199	ecq:ECED1_0621
ko:K06903	ecq:ECED1_0880
ko:K07306	ecq:ECED1_0924
ko:K07308	ecq:ECED1_0926
ko:K08219	ecq:ECED1_0928
ko:K04069	ecq:ECED1_0929
ko:K00656	ecq:ECED1_0930
ko:K09136	ecq:ECED1_0932
ko:K00831	ecq:ECED1_0934
ko:K00800	ecq:ECED1_0935
ko:K07387	ecq:ECED1_0936
ko:K09765	ecq:ECED1_1731
ko:K05846	ecq:ECED1_2572
ko:K05846	ecq:ECED1_2574
ko:K03777	ecq:ECED1_2577
ko:K07262	ecq:ECED1_2578
ko:K05541	ecq:ECED1_2587
ko:K01489	ecq:ECED1_2590
ko:K03748	ecq:ECED1_2591
ko:K10541	ecq:ECED1_2595
ko:K10542	ecq:ECED1_2596
ko:K10540	ecq:ECED1_2597
ko:K02529	ecq:ECED1_2598
ko:K07148	ecq:ECED1_2600
ko:K01495	ecq:ECED1_2601
ko:K01151	ecq:ECED1_2608
ko:K02769	ecq:ECED1_2615
ko:K02770	ecq:ECED1_2615
ko:K00882	ecq:ECED1_2616
ko:K02768	ecq:ECED1_2617
ko:K11183	ecq:ECED1_2617
ko:K09923	ecq:ECED1_3422
ko:K03439	ecq:ECED1_3423
ko:K03575	ecq:ECED1_3424
ko:K08306	ecq:ECED1_3426
ko:K03289	ecq:ECED1_3427
ko:K01581	ecq:ECED1_3428
ko:K07150	ecq:ECED1_3429
ko:K03758	ecq:ECED1_3434
ko:K01584	ecq:ECED1_3435
ko:K03758	ecq:ECED1_3436
ko:K04024	ecq:ECED1_3450
ko:K00656	ecq:ECED1_3461
ko:K04069	ecq:ECED1_3462
ko:K00789	ecq:ECED1_3471
ko:K02843	ecq:ECED1_4306
ko:K02841	ecq:ECED1_4307
ko:K02848	ecq:ECED1_4313
ko:K02844	ecq:ECED1_4314
ko:K02849	ecq:ECED1_4315
ko:K02527	ecq:ECED1_4316
ko:K00954	ecq:ECED1_4317
ko:K10563	ecq:ECED1_4318
ko:K02913	ecq:ECED1_4319
ko:K02902	ecq:ECED1_4320
ko:K03630	ecq:ECED1_4322
ko:K01520	ecq:ECED1_4324
ko:K05501	ecq:ECED1_4325
ko:K00762	ecq:ECED1_4326
ko:K00989	ecq:ECED1_4327
ko:K01972	ecq:ECED1_4330
ko:K00942	ecq:ECED1_4332
ko:K03060	ecq:ECED1_4333
ko:K00556	ecq:ECED1_4335
ko:K05984	ecq:ECED1_1943
ko:K02455	ecq:ECED1_3610
ko:K02455	ecq:ECED1_3992
ko:K09901	ecq:ECED1_1400
ko:K06131	ecq:ECED1_1401
ko:K09780	ecq:ECED1_1405
ko:K03832	ecq:ECED1_1406
ko:K10806	ecq:ECED1_1407
ko:K05523	ecq:ECED1_2232
ko:K07127	ecq:ECED1_2235
ko:K07147	ecq:ECED1_2236
ko:K09933	ecq:ECED1_2242
ko:K03194	ecq:ECED1_2261
ko:K03199	ecq:ECED1_2263
ko:K03200	ecq:ECED1_2264
ko:K03203	ecq:ECED1_2267
ko:K03204	ecq:ECED1_2268
ko:K03195	ecq:ECED1_2269
ko:K03196	ecq:ECED1_2270
ko:K03427	ecq:ECED1_2281
ko:K01241	ecq:ECED1_2288
ko:K06223	ecq:ECED1_3098
ko:K00135	ecq:ECED1_3114
ko:K00375	ecq:ECED1_3126
ko:K06191	ecq:ECED1_3128
ko:K03647	ecq:ECED1_3129
ko:K00525	ecq:ECED1_3130
ko:K00526	ecq:ECED1_3131
ko:K02002	ecq:ECED1_3134
ko:K03543	ecq:ECED1_3139
ko:K07173	ecq:ECED1_3141
ko:K01919	ecq:ECED1_3142
ko:K03563	ecq:ECED1_3145
ko:K02904	ecq:ECED1_3975
ko:K02878	ecq:ECED1_3976
ko:K02982	ecq:ECED1_3977
ko:K02890	ecq:ECED1_3978
ko:K02965	ecq:ECED1_3979
ko:K02886	ecq:ECED1_3980
ko:K02892	ecq:ECED1_3981
ko:K02926	ecq:ECED1_3982
ko:K02906	ecq:ECED1_3983
ko:K02946	ecq:ECED1_3984
ko:K02452	ecq:ECED1_3989
ko:K02453	ecq:ECED1_3990
ko:K02454	ecq:ECED1_3991
ko:K02456	ecq:ECED1_3993
ko:K02457	ecq:ECED1_3994
ko:K02459	ecq:ECED1_3996
ko:K02358	ecq:ECED1_3999
