ko:K12132	btw:BF38_5031
ko:K01271	btw:BF38_5045
ko:K06308	btw:BF38_496
ko:K01081	btw:BF38_731
ko:K03296	btw:BF38_1157
ko:K03328	btw:BF38_1275
ko:K00798	btw:BF38_2697
ko:K19171	btw:BF38_2171
ko:K19147	btw:BF38_5448
ko:K06308	btw:BF38_4295
ko:K00344	btw:BF38_4643
ko:K00433	btw:BF38_537
ko:K02034	btw:BF38_3471
ko:K06307	btw:BF38_4749
ko:K01897	btw:BF38_4804
ko:K19171	btw:BF38_2175
ko:K02777	btw:BF38_1047
ko:K01710	btw:BF38_2448
ko:K01447	btw:BF38_2123
ko:K01447	btw:BF38_4850
ko:K06345	btw:BF38_179
ko:K01447	btw:BF38_2712
ko:K02031	btw:BF38_252
ko:K02032	btw:BF38_253
ko:K01271	btw:BF38_370
ko:K03293	btw:BF38_1938
ko:K02032	btw:BF38_2159
ko:K00344	btw:BF38_3327
ko:K03594	btw:BF38_2230
ko:K00575	btw:BF38_2232
ko:K03407	btw:BF38_2233
ko:K03698	btw:BF38_2248
ko:K15975	btw:BF38_2254
ko:K15975	btw:BF38_2255
ko:K02443	btw:BF38_2262
ko:K02440	btw:BF38_2263
ko:K00864	btw:BF38_2264
ko:K00111	btw:BF38_2265
ko:K03800	btw:BF38_2329
ko:K01897	btw:BF38_2331
ko:K09893	btw:BF38_2336
ko:K11032	btw:BF38_2340
ko:K07098	btw:BF38_2341
ko:K06885	btw:BF38_2343
ko:K03088	btw:BF38_2345
ko:K13653	btw:BF38_2346
ko:K07052	btw:BF38_2351
ko:K03406	btw:BF38_2355
ko:K01638	btw:BF38_2360
ko:K01637	btw:BF38_2361
ko:K03704	btw:BF38_2363
ko:K02250	btw:BF38_2366
ko:K03100	btw:BF38_2369
ko:K16899	btw:BF38_2370
ko:K16898	btw:BF38_2371
ko:K06304	btw:BF38_2373
ko:K06303	btw:BF38_2374
ko:K06302	btw:BF38_2375
ko:K06301	btw:BF38_2376
ko:K06300	btw:BF38_2377
ko:K06299	btw:BF38_2378
ko:K05303	btw:BF38_2440
ko:K00973	btw:BF38_2446
ko:K01790	btw:BF38_2447
ko:K00067	btw:BF38_2449
ko:K00208	btw:BF38_2450
ko:K03657	btw:BF38_2456
ko:K11928	btw:BF38_2463
ko:K01657	btw:BF38_2464
ko:K01658	btw:BF38_2465
ko:K00766	btw:BF38_2466
ko:K01609	btw:BF38_2467
ko:K01817	btw:BF38_2468
ko:K01696	btw:BF38_2469
ko:K01695	btw:BF38_2470
ko:K03303	btw:BF38_2472
ko:K09136	btw:BF38_2481
ko:K00658	btw:BF38_2483
ko:K00164	btw:BF38_2484
ko:K07729	btw:BF38_2485
ko:K02010	btw:BF38_2543
ko:K02011	btw:BF38_2544
ko:K05306	btw:BF38_2545
ko:K03430	btw:BF38_2546
ko:K09798	btw:BF38_2553
ko:K13532	btw:BF38_2555
ko:K15973	btw:BF38_2556
ko:K07697	btw:BF38_2560
ko:K06920	btw:BF38_2561
ko:K01737	btw:BF38_2562
ko:K10026	btw:BF38_2563
ko:K09457	btw:BF38_2564
ko:K03647	btw:BF38_2571
ko:K01990	btw:BF38_2577
ko:K07052	btw:BF38_2581
ko:K03719	btw:BF38_2583
ko:K01297	btw:BF38_2587
ko:K00459	btw:BF38_2588
ko:K03740	btw:BF38_2589
ko:K14188	btw:BF38_2590
ko:K03739	btw:BF38_2591
ko:K03367	btw:BF38_2592
ko:K03839	btw:BF38_2596
ko:K03406	btw:BF38_1929
ko:K07284	btw:BF38_1933
ko:K03305	btw:BF38_1934
ko:K03311	btw:BF38_1935
ko:K07729	btw:BF38_1940
ko:K03499	btw:BF38_1944
ko:K02829	btw:BF38_1945
ko:K02828	btw:BF38_1946
ko:K02827	btw:BF38_1947
ko:K02826	btw:BF38_1948
ko:K03307	btw:BF38_1952
ko:K06310	btw:BF38_1953
ko:K06311	btw:BF38_1954
ko:K06312	btw:BF38_1955
ko:K04759	btw:BF38_1956
ko:K04758	btw:BF38_1958
ko:K02040	btw:BF38_1959
ko:K02037	btw:BF38_1960
ko:K02038	btw:BF38_1961
ko:K09963	btw:BF38_2045
ko:K03491	btw:BF38_2046
ko:K02759	btw:BF38_2047
ko:K02760	btw:BF38_2048
ko:K02761	btw:BF38_2049
ko:K02004	btw:BF38_2053
ko:K02003	btw:BF38_2054
ko:K02005	btw:BF38_2055
ko:K02033	btw:BF38_2057
ko:K02034	btw:BF38_2058
ko:K03311	btw:BF38_2059
ko:K06334	btw:BF38_2060
ko:K06333	btw:BF38_2061
ko:K06332	btw:BF38_2062
ko:K10979	btw:BF38_2065
ko:K03294	btw:BF38_2074
ko:K07106	btw:BF38_2078
ko:K02809	btw:BF38_2079
ko:K02810	btw:BF38_2079
ko:K09963	btw:BF38_2080
ko:K00619	btw:BF38_2086
ko:K18924	btw:BF38_2087
ko:K18925	btw:BF38_2088
ko:K03923	btw:BF38_2093
ko:K08152	btw:BF38_2096
ko:K05520	btw:BF38_2098
ko:K03781	btw:BF38_2099
ko:K02035	btw:BF38_2155
ko:K02033	btw:BF38_2156
ko:K02034	btw:BF38_2157
ko:K03761	btw:BF38_2162
ko:K11637	btw:BF38_2163
ko:K04487	btw:BF38_2173
ko:K07090	btw:BF38_2186
ko:K18926	btw:BF38_2188
ko:K17103	btw:BF38_2204
ko:K03088	btw:BF38_2268
ko:K08168	btw:BF38_2273
ko:K18926	btw:BF38_2274
ko:K03657	btw:BF38_2276
ko:K07533	btw:BF38_2277
ko:K09682	btw:BF38_2280
ko:K02503	btw:BF38_2282
ko:K01990	btw:BF38_2283
ko:K01992	btw:BF38_2284
ko:K09167	btw:BF38_2297
ko:K08981	btw:BF38_2298
ko:K08987	btw:BF38_2302
ko:K09167	btw:BF38_2307
ko:K08981	btw:BF38_2308
ko:K12555	btw:BF38_2310
ko:K01599	btw:BF38_2311
ko:K01772	btw:BF38_2312
ko:K00231	btw:BF38_2313
ko:K07004	btw:BF38_2315
ko:K01421	btw:BF38_2319
ko:K00819	btw:BF38_2382
ko:K01953	btw:BF38_2385
ko:K01772	btw:BF38_2386
ko:K03781	btw:BF38_2387
ko:K03320	btw:BF38_2388
ko:K09767	btw:BF38_2391
ko:K00243	btw:BF38_2392
ko:K03695	btw:BF38_2402
ko:K02254	btw:BF38_2406
ko:K00648	btw:BF38_2407
ko:K09458	btw:BF38_2408
ko:K01867	btw:BF38_2411
ko:K15580	btw:BF38_2413
ko:K15581	btw:BF38_2414
ko:K15582	btw:BF38_2415
ko:K15583	btw:BF38_2416
ko:K10823	btw:BF38_2417
ko:K02035	btw:BF38_2419
ko:K16509	btw:BF38_2421
ko:K16511	btw:BF38_2423
ko:K06131	btw:BF38_2424
ko:K08602	btw:BF38_2426
ko:K06886	btw:BF38_2429
ko:K07816	btw:BF38_2432
ko:K00858	btw:BF38_2433
ko:K06180	btw:BF38_2434
ko:K13280	btw:BF38_2499
ko:K09607	btw:BF38_2504
ko:K00128	btw:BF38_2505
ko:K11072	btw:BF38_2506
ko:K11071	btw:BF38_2507
ko:K11070	btw:BF38_2508
ko:K11069	btw:BF38_2509
ko:K06180	btw:BF38_2513
ko:K11473	btw:BF38_2516
ko:K00104	btw:BF38_2517
ko:K02647	btw:BF38_2518
ko:K18928	btw:BF38_2523
ko:K18929	btw:BF38_2524
ko:K00782	btw:BF38_2525
ko:K02236	btw:BF38_2526
ko:K02598	btw:BF38_2528
ko:K06421	btw:BF38_2531
ko:K00023	btw:BF38_2536
ko:K03821	btw:BF38_2537
ko:K02012	btw:BF38_2542
ko:K03327	btw:BF38_2603
ko:K06153	btw:BF38_2604
ko:K03498	btw:BF38_2610
ko:K00826	btw:BF38_2616
ko:K01652	btw:BF38_2617
ko:K01653	btw:BF38_2618
ko:K00053	btw:BF38_2619
ko:K01649	btw:BF38_2620
ko:K00052	btw:BF38_2621
ko:K01703	btw:BF38_2622
ko:K01704	btw:BF38_2623
ko:K02502	btw:BF38_2624
ko:K00765	btw:BF38_2625
ko:K00013	btw:BF38_2626
ko:K01693	btw:BF38_2627
ko:K02501	btw:BF38_2628
ko:K01814	btw:BF38_2629
ko:K02500	btw:BF38_2630
ko:K01496	btw:BF38_2631
ko:K01523	btw:BF38_2632
ko:K04486	btw:BF38_2633
ko:K17103	btw:BF38_2636
ko:K01586	btw:BF38_2639
ko:K00390	btw:BF38_2641
ko:K00958	btw:BF38_2642
ko:K00860	btw:BF38_2643
ko:K00366	btw:BF38_2644
ko:K02303	btw:BF38_2646
ko:K02304	btw:BF38_2648
ko:K03308	btw:BF38_2649
ko:K11102	btw:BF38_2651
ko:K09145	btw:BF38_2652
ko:K11619	btw:BF38_2654
ko:K11622	btw:BF38_2656
ko:K11617	btw:BF38_2657
ko:K11618	btw:BF38_2658
ko:K03311	btw:BF38_2660
ko:K05916	btw:BF38_2667
ko:K07090	btw:BF38_2670
ko:K03306	btw:BF38_2671
ko:K07220	btw:BF38_2672
ko:K12555	btw:BF38_2673
ko:K03784	btw:BF38_2681
ko:K14205	btw:BF38_2684
ko:K04564	btw:BF38_2687
ko:K06373	btw:BF38_2689
ko:K06374	btw:BF38_2690
ko:K06178	btw:BF38_2691
ko:K07399	btw:BF38_2693
ko:K07775	btw:BF38_2695
ko:K07651	btw:BF38_2696
ko:K05337	btw:BF38_2701
ko:K03654	btw:BF38_2703
ko:K07052	btw:BF38_2704
ko:K00812	btw:BF38_2764
ko:K02086	btw:BF38_2765
ko:K10773	btw:BF38_2766
ko:K05366	btw:BF38_2768
ko:K03700	btw:BF38_2769
ko:K06327	btw:BF38_2776
ko:K07444	btw:BF38_2779
ko:K01299	btw:BF38_2782
ko:K03789	btw:BF38_2783
ko:K06979	btw:BF38_2784
ko:K01265	btw:BF38_2785
ko:K03816	btw:BF38_2786
ko:K16169	btw:BF38_2787
ko:K07148	btw:BF38_2788
ko:K01011	btw:BF38_2794
ko:K08989	btw:BF38_2798
ko:K03469	btw:BF38_2817
ko:K03469	btw:BF38_2820
ko:K03415	btw:BF38_2879
ko:K02406	btw:BF38_2881
ko:K02406	btw:BF38_2882
ko:K02417	btw:BF38_2884
ko:K02416	btw:BF38_2885
ko:K02417	btw:BF38_2886
ko:K02419	btw:BF38_2888
ko:K02420	btw:BF38_2889
ko:K02421	btw:BF38_2890
ko:K02401	btw:BF38_2891
ko:K02400	btw:BF38_2892
ko:K02404	btw:BF38_2893
ko:K02392	btw:BF38_2894
ko:K07050	btw:BF38_2895
ko:K06425	btw:BF38_2903
ko:K02010	btw:BF38_2908
ko:K02012	btw:BF38_2909
ko:K02011	btw:BF38_2910
ko:K01834	btw:BF38_2918
ko:K01953	btw:BF38_2924
ko:K03088	btw:BF38_2925
ko:K16264	btw:BF38_2928
ko:K00648	btw:BF38_2990
ko:K03665	btw:BF38_2992
ko:K15580	btw:BF38_2993
ko:K08223	btw:BF38_2994
ko:K01738	btw:BF38_2995
ko:K03308	btw:BF38_2999
ko:K07304	btw:BF38_3006
ko:K00826	btw:BF38_3008
ko:K01652	btw:BF38_3009
ko:K01653	btw:BF38_3010
ko:K00053	btw:BF38_3011
ko:K01687	btw:BF38_3012
ko:K01754	btw:BF38_3013
ko:K07282	btw:BF38_3015
ko:K07150	btw:BF38_3016
ko:K18118	btw:BF38_3022
ko:K12960	btw:BF38_3025
ko:K06889	btw:BF38_3026
ko:K00077	btw:BF38_3105
ko:K11033	btw:BF38_3108
ko:K11034	btw:BF38_3109
ko:K11034	btw:BF38_3110
ko:K05346	btw:BF38_3112
ko:K01619	btw:BF38_3113
ko:K11535	btw:BF38_3114
ko:K00756	btw:BF38_3115
ko:K01489	btw:BF38_3116
ko:K01262	btw:BF38_3121
ko:K03169	btw:BF38_3125
ko:K01118	btw:BF38_3129
ko:K03311	btw:BF38_3130
ko:K05606	btw:BF38_3131
ko:K14166	btw:BF38_3132
ko:K01426	btw:BF38_3140
ko:K00016	btw:BF38_3142
ko:K00274	btw:BF38_3143
ko:K00666	btw:BF38_3147
ko:K00648	btw:BF38_3149
ko:K01999	btw:BF38_3150
ko:K01995	btw:BF38_3151
ko:K01996	btw:BF38_3152
ko:K01997	btw:BF38_3153
ko:K01998	btw:BF38_3154
ko:K01607	btw:BF38_3158
ko:K16511	btw:BF38_2708
ko:K00260	btw:BF38_2709
ko:K00384	btw:BF38_2713
ko:K01424	btw:BF38_2714
ko:K00945	btw:BF38_2716
ko:K02945	btw:BF38_2717
ko:K01823	btw:BF38_2718
ko:K05739	btw:BF38_2721
ko:K03977	btw:BF38_2723
ko:K00057	btw:BF38_2724
ko:K06398	btw:BF38_2728
ko:K03530	btw:BF38_2729
ko:K01495	btw:BF38_2730
ko:K00805	btw:BF38_2731
ko:K03183	btw:BF38_2732
ko:K00805	btw:BF38_2733
ko:K00940	btw:BF38_2734
ko:K01736	btw:BF38_2735
ko:K01735	btw:BF38_2736
ko:K00817	btw:BF38_2737
ko:K03886	btw:BF38_2741
ko:K03887	btw:BF38_2742
ko:K03888	btw:BF38_2743
ko:K06973	btw:BF38_2747
ko:K00215	btw:BF38_2751
ko:K01734	btw:BF38_2752
ko:K00974	btw:BF38_2755
ko:K03524	btw:BF38_2756
ko:K00606	btw:BF38_2758
ko:K01918	btw:BF38_2759
ko:K01579	btw:BF38_2760
ko:K03704	btw:BF38_2823
ko:K09190	btw:BF38_2824
ko:K14393	btw:BF38_2829
ko:K12574	btw:BF38_2833
ko:K03666	btw:BF38_2848
ko:K07023	btw:BF38_2849
ko:K02556	btw:BF38_2850
ko:K02557	btw:BF38_2851
ko:K03413	btw:BF38_2852
ko:K03407	btw:BF38_2853
ko:K02417	btw:BF38_2854
ko:K00575	btw:BF38_2857
ko:K09770	btw:BF38_2859
ko:K02396	btw:BF38_2861
ko:K02397	btw:BF38_2862
ko:K02407	btw:BF38_2863
ko:K02422	btw:BF38_2864
ko:K02387	btw:BF38_2866
ko:K02388	btw:BF38_2867
ko:K02408	btw:BF38_2868
ko:K02409	btw:BF38_2869
ko:K02410	btw:BF38_2870
ko:K02411	btw:BF38_2871
ko:K02412	btw:BF38_2872
ko:K02389	btw:BF38_2875
ko:K02390	btw:BF38_2876
ko:K03315	btw:BF38_2936
ko:K01679	btw:BF38_2939
ko:K05995	btw:BF38_2944
ko:K06196	btw:BF38_2948
ko:K01753	btw:BF38_2953
ko:K01992	btw:BF38_2962
ko:K06131	btw:BF38_2964
ko:K09903	btw:BF38_2965
ko:K11102	btw:BF38_2966
ko:K01744	btw:BF38_2967
ko:K00027	btw:BF38_2968
ko:K07717	btw:BF38_2969
ko:K07719	btw:BF38_2970
ko:K01914	btw:BF38_2973
ko:K00928	btw:BF38_2977
ko:K03574	btw:BF38_2981
ko:K01448	btw:BF38_2982
ko:K03466	btw:BF38_3061
ko:K03466	btw:BF38_3091
ko:K15580	btw:BF38_3093
ko:K03790	btw:BF38_3098
ko:K03322	btw:BF38_3102
ko:K07146	btw:BF38_3103
ko:K00425	btw:BF38_3161
ko:K00426	btw:BF38_3162
ko:K16013	btw:BF38_3163
ko:K16012	btw:BF38_3164
ko:K07078	btw:BF38_3169
ko:K18104	btw:BF38_3172
ko:K00059	btw:BF38_3176
ko:K05593	btw:BF38_3177
ko:K07006	btw:BF38_3181
ko:K00003	btw:BF38_3182
ko:K01733	btw:BF38_3183
ko:K00872	btw:BF38_3184
ko:K07507	btw:BF38_3193
ko:K00666	btw:BF38_3197
ko:K15652	btw:BF38_3200
ko:K08221	btw:BF38_3202
ko:K06895	btw:BF38_3203
ko:K07001	btw:BF38_3205
ko:K01916	btw:BF38_3211
ko:K11636	btw:BF38_3212
ko:K13275	btw:BF38_3216
ko:K06949	btw:BF38_3223
ko:K03406	btw:BF38_3224
ko:K04047	btw:BF38_3228
ko:K00274	btw:BF38_3233
ko:K00657	btw:BF38_3237
ko:K09815	btw:BF38_3247
ko:K00567	btw:BF38_3251
ko:K11210	btw:BF38_3254
ko:K06330	btw:BF38_3258
ko:K03284	btw:BF38_3262
ko:K07089	btw:BF38_3263
ko:K08986	btw:BF38_3264
ko:K06131	btw:BF38_3266
ko:K09793	btw:BF38_3270
ko:K03088	btw:BF38_3328
ko:K03688	btw:BF38_3330
ko:K00432	btw:BF38_3334
ko:K03924	btw:BF38_3337
ko:K00370	btw:BF38_3338
ko:K00371	btw:BF38_3339
ko:K00373	btw:BF38_3340
ko:K00374	btw:BF38_3341
ko:K07052	btw:BF38_3342
ko:K03671	btw:BF38_3344
ko:K03639	btw:BF38_3352
ko:K03750	btw:BF38_3354
ko:K03635	btw:BF38_3355
ko:K03636	btw:BF38_3356
ko:K02575	btw:BF38_3357
ko:K07088	btw:BF38_3358
ko:K02304	btw:BF38_3359
ko:K13542	btw:BF38_3361
ko:K00363	btw:BF38_3362
ko:K00362	btw:BF38_3363
ko:K07322	btw:BF38_3364
ko:K00675	btw:BF38_3369
ko:K06416	btw:BF38_3371
ko:K06950	btw:BF38_3375
ko:K15738	btw:BF38_3376
ko:K02557	btw:BF38_265
ko:K02556	btw:BF38_266
ko:K07260	btw:BF38_267
ko:K07107	btw:BF38_268
ko:K00240	btw:BF38_269
ko:K00239	btw:BF38_270
ko:K00241	btw:BF38_271
ko:K03703	btw:BF38_273
ko:K03671	btw:BF38_274
ko:K03522	btw:BF38_275
ko:K03521	btw:BF38_276
ko:K13767	btw:BF38_277
ko:K13770	btw:BF38_278
ko:K01897	btw:BF38_279
ko:K02016	btw:BF38_281
ko:K02015	btw:BF38_282
ko:K06969	btw:BF38_293
ko:K07145	btw:BF38_295
ko:K08600	btw:BF38_296
ko:K02013	btw:BF38_297
ko:K02015	btw:BF38_298
ko:K02016	btw:BF38_299
ko:K03311	btw:BF38_303
ko:K06182	btw:BF38_304
ko:K07456	btw:BF38_306
ko:K02347	btw:BF38_307
ko:K09888	btw:BF38_309
ko:K03471	btw:BF38_310
ko:K01893	btw:BF38_314
ko:K01890	btw:BF38_315
ko:K01889	btw:BF38_316
ko:K03437	btw:BF38_317
ko:K06426	btw:BF38_318
ko:K03088	btw:BF38_377
ko:K07729	btw:BF38_382
ko:K00259	btw:BF38_384
ko:K00059	btw:BF38_385
ko:K01755	btw:BF38_390
ko:K01940	btw:BF38_391
ko:K00925	btw:BF38_399
ko:K11065	btw:BF38_401
ko:K00858	btw:BF38_404
ko:K04750	btw:BF38_406
ko:K01895	btw:BF38_407
ko:K03151	btw:BF38_409
ko:K04487	btw:BF38_410
ko:K06286	btw:BF38_411
ko:K01761	btw:BF38_416
ko:K02986	btw:BF38_417
ko:K01866	btw:BF38_420
ko:K03088	btw:BF38_422
ko:K01895	btw:BF38_424
ko:K04766	btw:BF38_425
ko:K04767	btw:BF38_426
ko:K04768	btw:BF38_427
ko:K03750	btw:BF38_484
ko:K03637	btw:BF38_485
ko:K03639	btw:BF38_487
ko:K00641	btw:BF38_493
ko:K01869	btw:BF38_500
ko:K03455	btw:BF38_502
ko:K07228	btw:BF38_503
ko:K02004	btw:BF38_505
ko:K02003	btw:BF38_506
ko:K07139	btw:BF38_510
ko:K01779	btw:BF38_514
ko:K16188	btw:BF38_517
ko:K01048	btw:BF38_518
ko:K03752	btw:BF38_522
ko:K03638	btw:BF38_523
ko:K00789	btw:BF38_526
ko:K01610	btw:BF38_527
ko:K02116	btw:BF38_529
ko:K00874	btw:BF38_598
ko:K01042	btw:BF38_600
ko:K01465	btw:BF38_601
ko:K07260	btw:BF38_604
ko:K02549	btw:BF38_607
ko:K01911	btw:BF38_608
ko:K01661	btw:BF38_609
ko:K08680	btw:BF38_610
ko:K02551	btw:BF38_611
ko:K02552	btw:BF38_612
ko:K02548	btw:BF38_613
ko:K03704	btw:BF38_615
ko:K00688	btw:BF38_619
ko:K00703	btw:BF38_620
ko:K00975	btw:BF38_621
ko:K00975	btw:BF38_622
ko:K00700	btw:BF38_623
ko:K00016	btw:BF38_625
ko:K03088	btw:BF38_627
ko:K07507	btw:BF38_654
ko:K10716	btw:BF38_656
ko:K02446	btw:BF38_717
ko:K01834	btw:BF38_725
ko:K19055	btw:BF38_726
ko:K03644	btw:BF38_727
ko:K09014	btw:BF38_732
ko:K04488	btw:BF38_733
ko:K11717	btw:BF38_734
ko:K09015	btw:BF38_735
ko:K09013	btw:BF38_736
ko:K02073	btw:BF38_737
ko:K02073	btw:BF38_738
ko:K02072	btw:BF38_739
ko:K02071	btw:BF38_740
ko:K07476	btw:BF38_743
ko:K02437	btw:BF38_744
ko:K00537	btw:BF38_745
ko:K07035	btw:BF38_755
ko:K00016	btw:BF38_756
ko:K07729	btw:BF38_762
ko:K07516	btw:BF38_767
ko:K00318	btw:BF38_770
ko:K21900	btw:BF38_904
ko:K03111	btw:BF38_3379
ko:K01118	btw:BF38_3443
ko:K00655	btw:BF38_3444
ko:K11068	btw:BF38_3445
ko:K03116	btw:BF38_3446
ko:K03118	btw:BF38_3447
ko:K07152	btw:BF38_3451
ko:K01953	btw:BF38_3453
ko:K02016	btw:BF38_3457
ko:K00824	btw:BF38_3458
ko:K13993	btw:BF38_3464
ko:K02480	btw:BF38_3466
ko:K13953	btw:BF38_3470
ko:K06880	btw:BF38_3474
ko:K00851	btw:BF38_3475
ko:K00851	btw:BF38_3476
ko:K03206	btw:BF38_3479
ko:K05847	btw:BF38_3482
ko:K05845	btw:BF38_3483
ko:K05846	btw:BF38_3483
ko:K03758	btw:BF38_3484
ko:K11686	btw:BF38_3489
ko:K01034	btw:BF38_3496
ko:K02003	btw:BF38_3572
ko:K01243	btw:BF38_3746
ko:K08602	btw:BF38_3765
ko:K04566	btw:BF38_3776
ko:K01449	btw:BF38_3777
ko:K01426	btw:BF38_3778
ko:K18231	btw:BF38_3782
ko:K11635	btw:BF38_3785
ko:K11636	btw:BF38_3786
ko:K00003	btw:BF38_3790
ko:K01921	btw:BF38_3792
ko:K03707	btw:BF38_3793
ko:K02338	btw:BF38_3861
ko:K03574	btw:BF38_3862
ko:K07214	btw:BF38_3871
ko:K03790	btw:BF38_3878
ko:K06153	btw:BF38_3880
ko:K08310	btw:BF38_3889
ko:K00285	btw:BF38_3890
ko:K00675	btw:BF38_3892
ko:K07025	btw:BF38_3895
ko:K03076	btw:BF38_3908
ko:K01438	btw:BF38_3498
ko:K06714	btw:BF38_3500
ko:K01843	btw:BF38_3501
ko:K06377	btw:BF38_3509
ko:K03466	btw:BF38_3515
ko:K07533	btw:BF38_3527
ko:K06304	btw:BF38_3531
ko:K05366	btw:BF38_3535
ko:K01647	btw:BF38_3538
ko:K01720	btw:BF38_3539
ko:K00140	btw:BF38_3543
ko:K03547	btw:BF38_3548
ko:K08177	btw:BF38_3552
ko:K10557	btw:BF38_4129
ko:K10556	btw:BF38_4130
ko:K10558	btw:BF38_4131
ko:K11216	btw:BF38_4133
ko:K07145	btw:BF38_4139
ko:K16323	btw:BF38_4143
ko:K00147	btw:BF38_4144
ko:K00931	btw:BF38_4145
ko:K00286	btw:BF38_4146
ko:K02205	btw:BF38_4151
ko:K10255	btw:BF38_4153
ko:K01077	btw:BF38_4154
ko:K07727	btw:BF38_4156
ko:K07706	btw:BF38_4160
ko:K07707	btw:BF38_4161
ko:K00876	btw:BF38_4162
ko:K03790	btw:BF38_4163
ko:K01759	btw:BF38_4164
ko:K03924	btw:BF38_4169
ko:K03762	btw:BF38_4172
ko:K03781	btw:BF38_4181
ko:K07090	btw:BF38_4239
ko:K03790	btw:BF38_4240
ko:K11733	btw:BF38_4241
ko:K03574	btw:BF38_4246
ko:K03100	btw:BF38_4248
ko:K01304	btw:BF38_4252
ko:K07160	btw:BF38_4255
ko:K06350	btw:BF38_4256
ko:K06351	btw:BF38_4257
ko:K03100	btw:BF38_4259
ko:K06201	btw:BF38_4260
ko:K06385	btw:BF38_4261
ko:K06329	btw:BF38_4279
ko:K09190	btw:BF38_4281
ko:K00121	btw:BF38_4289
ko:K03325	btw:BF38_4348
ko:K18345	btw:BF38_4354
ko:K18344	btw:BF38_4355
ko:K00657	btw:BF38_4356
ko:K01759	btw:BF38_4363
ko:K13530	btw:BF38_4366
ko:K16263	btw:BF38_4367
ko:K14338	btw:BF38_4372
ko:K05396	btw:BF38_4384
ko:K00648	btw:BF38_4392
ko:K03297	btw:BF38_4468
ko:K11031	btw:BF38_4470
ko:K02106	btw:BF38_4471
ko:K00355	btw:BF38_4473
ko:K16927	btw:BF38_4478
ko:K16786	btw:BF38_4479
ko:K16787	btw:BF38_4479
