ko:K07050	bsz:DK67_1949
ko:K00138	bsz:DK67_2036
ko:K02057	bsz:DK67_2039
ko:K02057	bsz:DK67_2040
ko:K02057	bsz:DK67_2041
ko:K02056	bsz:DK67_2042
ko:K02056	bsz:DK67_2044
ko:K07335	bsz:DK67_2045
ko:K02362	bsz:DK67_2046
ko:K00216	bsz:DK67_2048
ko:K01252	bsz:DK67_2049
ko:K02363	bsz:DK67_2050
ko:K02361	bsz:DK67_2051
ko:K02364	bsz:DK67_2052
ko:K03088	bsz:DK67_2056
ko:K01999	bsz:DK67_2059
ko:K01997	bsz:DK67_2060
ko:K01998	bsz:DK67_2061
ko:K01995	bsz:DK67_2063
ko:K01996	bsz:DK67_2064
ko:K00059	bsz:DK67_2066
ko:K11381	bsz:DK67_2068
ko:K00627	bsz:DK67_2069
ko:K00014	bsz:DK67_2070
ko:K01531	bsz:DK67_2072
ko:K07507	bsz:DK67_2075
ko:K13589	bsz:DK67_2079
ko:K01687	bsz:DK67_2893
ko:K01652	bsz:DK67_2897
ko:K01266	bsz:DK67_2899
ko:K09969	bsz:DK67_2900
ko:K01999	bsz:DK67_2906
ko:K01995	bsz:DK67_2907
ko:K01996	bsz:DK67_2908
ko:K01997	bsz:DK67_2909
ko:K01998	bsz:DK67_2910
ko:K02073	bsz:DK67_2912
ko:K02071	bsz:DK67_2913
ko:K02072	bsz:DK67_2914
ko:K02970	bsz:DK67_2918
ko:K00325	bsz:DK67_2923
ko:K00324	bsz:DK67_2924
ko:K00324	bsz:DK67_2925
ko:K07010	bsz:DK67_2931
ko:K01470	bsz:DK67_2936
ko:K06999	bsz:DK67_2939
ko:K17247	bsz:DK67_2941
ko:K10440	bsz:DK67_2943
ko:K10440	bsz:DK67_2944
ko:K02909	bsz:DK67_619
ko:K06147	bsz:DK67_620
ko:K02557	bsz:DK67_621
ko:K01092	bsz:DK67_623
ko:K02356	bsz:DK67_624
ko:K07126	bsz:DK67_625
ko:K00788	bsz:DK67_626
ko:K13592	bsz:DK67_628
ko:K01159	bsz:DK67_629
ko:K03550	bsz:DK67_630
ko:K03551	bsz:DK67_631
ko:K03562	bsz:DK67_633
ko:K03560	bsz:DK67_634
ko:K03641	bsz:DK67_636
ko:K03640	bsz:DK67_637
ko:K04075	bsz:DK67_640
ko:K03798	bsz:DK67_641
ko:K03431	bsz:DK67_642
ko:K03453	bsz:DK67_644
ko:K03453	bsz:DK67_645
ko:K00831	bsz:DK67_646
ko:K00058	bsz:DK67_647
ko:K01939	bsz:DK67_649
ko:K05800	bsz:DK67_655
ko:K13888	bsz:DK67_657
ko:K05685	bsz:DK67_658
ko:K03832	bsz:DK67_660
ko:K03559	bsz:DK67_661
ko:K03561	bsz:DK67_662
ko:K03088	bsz:DK67_669
ko:K06915	bsz:DK67_1487
ko:K01560	bsz:DK67_1490
ko:K04564	bsz:DK67_1491
ko:K01354	bsz:DK67_1493
ko:K02433	bsz:DK67_1498
ko:K02426	bsz:DK67_1499
ko:K11357	bsz:DK67_1501
ko:K05366	bsz:DK67_1507
ko:K02200	bsz:DK67_1531
ko:K02197	bsz:DK67_1532
ko:K02198	bsz:DK67_1533
ko:K02200	bsz:DK67_1534
ko:K00982	bsz:DK67_1538
ko:K07716	bsz:DK67_1540
ko:K01256	bsz:DK67_1541
ko:K00088	bsz:DK67_2358
ko:K04761	bsz:DK67_2360
ko:K03781	bsz:DK67_2361
ko:K03500	bsz:DK67_2364
ko:K01243	bsz:DK67_2366
ko:K01951	bsz:DK67_2367
ko:K07733	bsz:DK67_2369
ko:K07230	bsz:DK67_2387
ko:K07243	bsz:DK67_2389
ko:K00925	bsz:DK67_2392
ko:K01999	bsz:DK67_2398
ko:K01997	bsz:DK67_2399
ko:K01995	bsz:DK67_2401
ko:K01998	bsz:DK67_2401
ko:K01996	bsz:DK67_2402
ko:K00059	bsz:DK67_2403
ko:K00014	bsz:DK67_2404
ko:K00135	bsz:DK67_2406
ko:K01999	bsz:DK67_2407
ko:K01070	bsz:DK67_70
ko:K02470	bsz:DK67_71
ko:K05592	bsz:DK67_72
ko:K03684	bsz:DK67_75
ko:K16079	bsz:DK67_76
ko:K16079	bsz:DK67_77
ko:K00847	bsz:DK67_80
ko:K00763	bsz:DK67_83
ko:K13688	bsz:DK67_84
ko:K02045	bsz:DK67_85
ko:K02047	bsz:DK67_86
ko:K02046	bsz:DK67_87
ko:K02048	bsz:DK67_88
ko:K01687	bsz:DK67_95
ko:K02199	bsz:DK67_96
ko:K02196	bsz:DK67_97
ko:K02195	bsz:DK67_98
ko:K02194	bsz:DK67_99
ko:K02193	bsz:DK67_100
ko:K01681	bsz:DK67_101
ko:K03823	bsz:DK67_104
ko:K06890	bsz:DK67_105
ko:K02004	bsz:DK67_106
ko:K02003	bsz:DK67_107
ko:K10804	bsz:DK67_108
ko:K01975	bsz:DK67_110
ko:K01104	bsz:DK67_109
ko:K01724	bsz:DK67_111
ko:K06941	bsz:DK67_115
ko:K01940	bsz:DK67_119
ko:K14160	bsz:DK67_122
ko:K14161	bsz:DK67_123
ko:K14162	bsz:DK67_124
ko:K14162	bsz:DK67_125
ko:K01993	bsz:DK67_948
ko:K13895	bsz:DK67_181
ko:K13896	bsz:DK67_182
ko:K12972	bsz:DK67_183
ko:K03629	bsz:DK67_185
ko:K02338	bsz:DK67_186
ko:K02313	bsz:DK67_187
ko:K02968	bsz:DK67_188
ko:K01692	bsz:DK67_189
ko:K10563	bsz:DK67_190
ko:K01255	bsz:DK67_192
ko:K02073	bsz:DK67_199
ko:K09826	bsz:DK67_200
ko:K01716	bsz:DK67_201
ko:K00647	bsz:DK67_202
ko:K00208	bsz:DK67_203
ko:K00564	bsz:DK67_204
ko:K00962	bsz:DK67_205
ko:K02956	bsz:DK67_206
ko:K03177	bsz:DK67_207
ko:K02834	bsz:DK67_208
ko:K02519	bsz:DK67_209
ko:K07742	bsz:DK67_210
ko:K02600	bsz:DK67_211
ko:K09748	bsz:DK67_212
ko:K03439	bsz:DK67_213
ko:K00789	bsz:DK67_214
ko:K03820	bsz:DK67_216
ko:K07042	bsz:DK67_218
ko:K06168	bsz:DK67_220
ko:K03789	bsz:DK67_222
ko:K04047	bsz:DK67_224
ko:K07657	bsz:DK67_228
ko:K02039	bsz:DK67_229
ko:K02036	bsz:DK67_230
ko:K02038	bsz:DK67_231
ko:K02037	bsz:DK67_232
ko:K02950	bsz:DK67_1056
ko:K02992	bsz:DK67_1057
ko:K02355	bsz:DK67_1058
ko:K02358	bsz:DK67_1059
ko:K02946	bsz:DK67_1060
ko:K02906	bsz:DK67_1061
ko:K02926	bsz:DK67_1062
ko:K02892	bsz:DK67_1063
ko:K02886	bsz:DK67_1064
ko:K02965	bsz:DK67_1065
ko:K02890	bsz:DK67_1066
ko:K02982	bsz:DK67_1067
ko:K02878	bsz:DK67_1068
ko:K02904	bsz:DK67_1069
ko:K02961	bsz:DK67_1070
ko:K02874	bsz:DK67_1071
ko:K02895	bsz:DK67_1072
ko:K02931	bsz:DK67_1073
ko:K02954	bsz:DK67_1074
ko:K02994	bsz:DK67_1075
ko:K02933	bsz:DK67_1076
ko:K02881	bsz:DK67_1077
ko:K02988	bsz:DK67_1078
ko:K02907	bsz:DK67_1079
ko:K02876	bsz:DK67_1080
ko:K03076	bsz:DK67_1081
ko:K00939	bsz:DK67_1082
ko:K02952	bsz:DK67_1083
ko:K02948	bsz:DK67_1084
ko:K03040	bsz:DK67_1085
ko:K02879	bsz:DK67_1086
ko:K07478	bsz:DK67_1088
ko:K01872	bsz:DK67_1092
ko:K01077	bsz:DK67_1093
ko:K00031	bsz:DK67_1094
ko:K05520	bsz:DK67_1096
ko:K02533	bsz:DK67_1097
ko:K01776	bsz:DK67_1098
ko:K07080	bsz:DK67_1099
ko:K01847	bsz:DK67_1102
ko:K01965	bsz:DK67_1103
ko:K01966	bsz:DK67_1104
ko:K09457	bsz:DK67_1108
ko:K00384	bsz:DK67_1921
ko:K00796	bsz:DK67_1923
ko:K01633	bsz:DK67_1924
ko:K00950	bsz:DK67_1925
ko:K08990	bsz:DK67_1927
ko:K06918	bsz:DK67_1928
ko:K08296	bsz:DK67_1929
ko:K06204	bsz:DK67_1930
ko:K13587	bsz:DK67_1934
ko:K07007	bsz:DK67_1935
ko:K16053	bsz:DK67_1936
ko:K16053	bsz:DK67_1938
ko:K00769	bsz:DK67_1941
ko:K03809	bsz:DK67_1944
ko:K01754	bsz:DK67_1946
ko:K11927	bsz:DK67_1947
ko:K01738	bsz:DK67_1948
ko:K01011	bsz:DK67_1950
ko:K18118	bsz:DK67_1953
ko:K03446	bsz:DK67_1954
ko:K03543	bsz:DK67_1955
ko:K13953	bsz:DK67_1956
ko:K14347	bsz:DK67_1959
ko:K01784	bsz:DK67_1960
ko:K04765	bsz:DK67_1961
ko:K01868	bsz:DK67_1965
ko:K08998	bsz:DK67_1967
ko:K01495	bsz:DK67_1969
ko:K01496	bsz:DK67_1970
ko:K07001	bsz:DK67_1971
ko:K00459	bsz:DK67_2787
ko:K03427	bsz:DK67_2797
ko:K01154	bsz:DK67_2798
ko:K01153	bsz:DK67_2799
ko:K07043	bsz:DK67_2800
ko:K17202	bsz:DK67_2814
ko:K17203	bsz:DK67_2815
ko:K17204	bsz:DK67_2816
ko:K00862	bsz:DK67_2818
ko:K01624	bsz:DK67_2825
ko:K03841	bsz:DK67_2826
ko:K06207	bsz:DK67_2829
ko:K06213	bsz:DK67_2830
ko:K01284	bsz:DK67_2831
ko:K01644	bsz:DK67_2834
ko:K01644	bsz:DK67_2835
ko:K01704	bsz:DK67_2836
ko:K03979	bsz:DK67_506
ko:K00931	bsz:DK67_507
ko:K00147	bsz:DK67_508
ko:K00969	bsz:DK67_509
ko:K09710	bsz:DK67_510
ko:K00783	bsz:DK67_511
ko:K03797	bsz:DK67_514
ko:K08311	bsz:DK67_515
ko:K00140	bsz:DK67_519
ko:K00868	bsz:DK67_521
ko:K01673	bsz:DK67_522
ko:K03106	bsz:DK67_524
ko:K04092	bsz:DK67_525
ko:K02959	bsz:DK67_526
ko:K03744	bsz:DK67_527
ko:K06872	bsz:DK67_528
ko:K06872	bsz:DK67_529
ko:K08988	bsz:DK67_530
ko:K15371	bsz:DK67_531
ko:K06902	bsz:DK67_532
ko:K00602	bsz:DK67_533
ko:K03500	bsz:DK67_535
ko:K03799	bsz:DK67_536
ko:K01895	bsz:DK67_538
ko:K06997	bsz:DK67_541
ko:K01869	bsz:DK67_542
ko:K03643	bsz:DK67_543
ko:K00616	bsz:DK67_544
ko:K04066	bsz:DK67_545
ko:K02113	bsz:DK67_547
ko:K02111	bsz:DK67_548
ko:K02115	bsz:DK67_549
ko:K02112	bsz:DK67_550
ko:K02114	bsz:DK67_551
ko:K06075	bsz:DK67_552
ko:K00285	bsz:DK67_554
ko:K12658	bsz:DK67_555
ko:K01997	bsz:DK67_556
ko:K01998	bsz:DK67_557
ko:K01995	bsz:DK67_558
ko:K01996	bsz:DK67_559
ko:K04485	bsz:DK67_1379
ko:K00574	bsz:DK67_1381
ko:K02939	bsz:DK67_1382
ko:K02963	bsz:DK67_1384
ko:K02990	bsz:DK67_1385
ko:K00645	bsz:DK67_1386
ko:K00059	bsz:DK67_1387
ko:K02078	bsz:DK67_1388
ko:K09458	bsz:DK67_1389
ko:K07082	bsz:DK67_1390
ko:K00942	bsz:DK67_1392
ko:K03568	bsz:DK67_1393
ko:K02275	bsz:DK67_1395
ko:K02274	bsz:DK67_1396
ko:K02258	bsz:DK67_1399
ko:K02276	bsz:DK67_1400
ko:K14998	bsz:DK67_1402
ko:K03527	bsz:DK67_1403
ko:K02204	bsz:DK67_1404
ko:K03469	bsz:DK67_1405
ko:K07735	bsz:DK67_1408
ko:K03790	bsz:DK67_1410
ko:K01733	bsz:DK67_1412
ko:K03281	bsz:DK67_1417
ko:K01560	bsz:DK67_1419
ko:K03575	bsz:DK67_1420
ko:K03529	bsz:DK67_1424
ko:K16264	bsz:DK67_1425
ko:K06996	bsz:DK67_1426
ko:K01006	bsz:DK67_1427
ko:K00074	bsz:DK67_2245
ko:K02484	bsz:DK67_2250
ko:K00380	bsz:DK67_2255
ko:K03734	bsz:DK67_2256
ko:K02164	bsz:DK67_2265
ko:K02305	bsz:DK67_2267
ko:K04561	bsz:DK67_2268
ko:K04748	bsz:DK67_2269
ko:K02448	bsz:DK67_2270
ko:K00368	bsz:DK67_2279
ko:K03435	bsz:DK67_2282
ko:K10543	bsz:DK67_2283
ko:K10545	bsz:DK67_2284
ko:K10544	bsz:DK67_2285
ko:K00039	bsz:DK67_2286
ko:K00376	bsz:DK67_2292
ko:K07218	bsz:DK67_2293
ko:K03734	bsz:DK67_2297
ko:K07234	bsz:DK67_2300
ko:K02051	bsz:DK67_2301
ko:K02509	bsz:DK67_3105
ko:K00151	bsz:DK67_3109
ko:K01826	bsz:DK67_3110
ko:K07025	bsz:DK67_3115
ko:K01999	bsz:DK67_3121
ko:K01997	bsz:DK67_3122
ko:K01995	bsz:DK67_3123
ko:K01998	bsz:DK67_3123
ko:K01996	bsz:DK67_3124
ko:K07090	bsz:DK67_3126
ko:K03710	bsz:DK67_3127
ko:K02027	bsz:DK67_3128
ko:K02026	bsz:DK67_3129
ko:K02025	bsz:DK67_3130
ko:K10112	bsz:DK67_3131
ko:K02051	bsz:DK67_3134
ko:K02049	bsz:DK67_3135
ko:K02050	bsz:DK67_3136
ko:K16087	bsz:DK67_3138
ko:K01999	bsz:DK67_3140
ko:K01997	bsz:DK67_3141
ko:K01998	bsz:DK67_3142
ko:K01995	bsz:DK67_3144
ko:K01996	bsz:DK67_3145
ko:K00852	bsz:DK67_3155
ko:K13926	bsz:DK67_949
