ko:K02777	bap:BUAP5A_062
ko:K03070	bap:BUAP5A_198
ko:K00859	bap:BUAP5A_200
ko:K00364	bap:BUAP5A_201
ko:K00163	bap:BUAP5A_202
ko:K00627	bap:BUAP5A_203
ko:K00382	bap:BUAP5A_204
ko:K01611	bap:BUAP5A_205
ko:K00797	bap:BUAP5A_206
ko:K03531	bap:BUAP5A_209
ko:K03590	bap:BUAP5A_210
ko:K01924	bap:BUAP5A_211
ko:K02563	bap:BUAP5A_212
ko:K03588	bap:BUAP5A_213
ko:K01925	bap:BUAP5A_214
ko:K01000	bap:BUAP5A_215
ko:K01929	bap:BUAP5A_216
ko:K01928	bap:BUAP5A_217
ko:K03587	bap:BUAP5A_218
ko:K03586	bap:BUAP5A_219
ko:K03438	bap:BUAP5A_220
ko:K01653	bap:BUAP5A_221
ko:K01652	bap:BUAP5A_222
ko:K01265	bap:BUAP5A_225
ko:K02967	bap:BUAP5A_226
ko:K02357	bap:BUAP5A_227
ko:K09903	bap:BUAP5A_228
ko:K02838	bap:BUAP5A_229
ko:K00099	bap:BUAP5A_230
ko:K00806	bap:BUAP5A_231
ko:K07277	bap:BUAP5A_232
ko:K03784	bap:BUAP5A_534
ko:K01839	bap:BUAP5A_535
ko:K02837	bap:BUAP5A_536
ko:K07400	bap:BUAP5A_537
ko:K03111	bap:BUAP5A_538
ko:K02314	bap:BUAP5A_539
ko:K01920	bap:BUAP5A_540
ko:K07447	bap:BUAP5A_541
ko:K06997	bap:BUAP5A_542
ko:K03439	bap:BUAP5A_544
ko:K03575	bap:BUAP5A_545
ko:K01776	bap:BUAP5A_547
ko:K09802	bap:BUAP5A_549
ko:K00762	bap:BUAP5A_552
ko:K01520	bap:BUAP5A_553
ko:K02939	bap:BUAP5A_555
ko:K02963	bap:BUAP5A_556
ko:K02990	bap:BUAP5A_557
ko:K01939	bap:BUAP5A_559
ko:K04087	bap:BUAP5A_560
ko:K04088	bap:BUAP5A_561
ko:K00791	bap:BUAP5A_562
ko:K03572	bap:BUAP5A_563
ko:K00009	bap:BUAP5A_564
ko:K02798	bap:BUAP5A_565
ko:K02799	bap:BUAP5A_565
ko:K02800	bap:BUAP5A_565
ko:K01810	bap:BUAP5A_566
ko:K01448	bap:BUAP5A_569
ko:K02909	bap:BUAP5A_570
ko:K01419	bap:BUAP5A_571
ko:K03667	bap:BUAP5A_572
ko:K04080	bap:BUAP5A_573
ko:K00528	bap:BUAP5A_574
ko:K04568	bap:BUAP5A_575
ko:K00954	bap:BUAP5A_576
ko:K01778	bap:BUAP5A_582
ko:K06202	bap:BUAP5A_583
ko:K01749	bap:BUAP5A_584
ko:K03628	bap:BUAP5A_588
ko:K03671	bap:BUAP5A_589
ko:K03656	bap:BUAP5A_590
ko:K00053	bap:BUAP5A_591
ko:K01687	bap:BUAP5A_592
ko:K02392	bap:BUAP5A_336
ko:K02393	bap:BUAP5A_337
ko:K02394	bap:BUAP5A_338
ko:K02395	bap:BUAP5A_339
ko:K02396	bap:BUAP5A_340
ko:K08300	bap:BUAP5A_341
ko:K06179	bap:BUAP5A_342
ko:K02911	bap:BUAP5A_343
ko:K02078	bap:BUAP5A_345
ko:K00943	bap:BUAP5A_346
ko:K02341	bap:BUAP5A_347
ko:K03424	bap:BUAP5A_348
ko:K01893	bap:BUAP5A_353
ko:K00763	bap:BUAP5A_354
ko:K00059	bap:BUAP5A_344
ko:K02372	bap:BUAP5A_233
ko:K02337	bap:BUAP5A_234
ko:K01881	bap:BUAP5A_235
ko:K02401	bap:BUAP5A_236
ko:K07146	bap:BUAP5A_358
ko:K01873	bap:BUAP5A_359
ko:K01255	bap:BUAP5A_360
ko:K00611	bap:BUAP5A_361
ko:K00609	bap:BUAP5A_362
ko:K00610	bap:BUAP5A_363
ko:K05592	bap:BUAP5A_365
ko:K00962	bap:BUAP5A_366
ko:K02956	bap:BUAP5A_367
ko:K03177	bap:BUAP5A_368
ko:K02834	bap:BUAP5A_369
ko:K02519	bap:BUAP5A_370
ko:K02600	bap:BUAP5A_371
ko:K02400	bap:BUAP5A_237
ko:K01887	bap:BUAP5A_238
ko:K02342	bap:BUAP5A_243
ko:K03271	bap:BUAP5A_245
ko:K00769	bap:BUAP5A_246
ko:K03687	bap:BUAP5A_247
ko:K09801	bap:BUAP5A_248
ko:K03664	bap:BUAP5A_249
ko:K00997	bap:BUAP5A_251
ko:K03595	bap:BUAP5A_252
ko:K03685	bap:BUAP5A_253
ko:K03100	bap:BUAP5A_254
ko:K03596	bap:BUAP5A_255
ko:K00566	bap:BUAP5A_256
ko:K07153	bap:BUAP5A_257
ko:K01756	bap:BUAP5A_258
ko:K08308	bap:BUAP5A_259
ko:K00208	bap:BUAP5A_260
ko:K03801	bap:BUAP5A_263
ko:K03644	bap:BUAP5A_264
ko:K01591	bap:BUAP5A_265
ko:K03746	bap:BUAP5A_267
ko:K06131	bap:BUAP5A_268
ko:K10806	bap:BUAP5A_269
ko:K06190	bap:BUAP5A_270
ko:K01695	bap:BUAP5A_272
ko:K06178	bap:BUAP5A_277
ko:K03168	bap:BUAP5A_279
ko:K06941	bap:BUAP5A_281
ko:K01892	bap:BUAP5A_283
ko:K03495	bap:BUAP5A_001
ko:K02108	bap:BUAP5A_002
ko:K02110	bap:BUAP5A_003
ko:K02109	bap:BUAP5A_004
ko:K02113	bap:BUAP5A_005
ko:K02111	bap:BUAP5A_006
ko:K02115	bap:BUAP5A_007
ko:K02112	bap:BUAP5A_008
ko:K02114	bap:BUAP5A_009
ko:K02470	bap:BUAP5A_010
ko:K02338	bap:BUAP5A_011
ko:K02313	bap:BUAP5A_012
ko:K02914	bap:BUAP5A_013
ko:K03217	bap:BUAP5A_015
ko:K03650	bap:BUAP5A_016
ko:K04078	bap:BUAP5A_018
ko:K04077	bap:BUAP5A_019
ko:K02356	bap:BUAP5A_020
ko:K02317	bap:BUAP5A_022
ko:K03110	bap:BUAP5A_024
ko:K03089	bap:BUAP5A_025
ko:K00820	bap:BUAP5A_026
ko:K04042	bap:BUAP5A_027
ko:K00549	bap:BUAP5A_029
ko:K05787	bap:BUAP5A_031
ko:K03046	bap:BUAP5A_032
ko:K03043	bap:BUAP5A_033
ko:K02935	bap:BUAP5A_034
ko:K02864	bap:BUAP5A_035
ko:K02863	bap:BUAP5A_036
ko:K02867	bap:BUAP5A_037
ko:K02601	bap:BUAP5A_038
ko:K03073	bap:BUAP5A_039
ko:K00075	bap:BUAP5A_044
ko:K01438	bap:BUAP5A_046
ko:K00145	bap:BUAP5A_047
ko:K00930	bap:BUAP5A_048
ko:K01940	bap:BUAP5A_049
ko:K01755	bap:BUAP5A_050
ko:K03071	bap:BUAP5A_052
ko:K00640	bap:BUAP5A_053
ko:K03086	bap:BUAP5A_054
ko:K02316	bap:BUAP5A_055
ko:K02970	bap:BUAP5A_056
ko:K01409	bap:BUAP5A_057
ko:K02858	bap:BUAP5A_058
ko:K06153	bap:BUAP5A_061
ko:K02520	bap:BUAP5A_124
ko:K02916	bap:BUAP5A_125
ko:K02887	bap:BUAP5A_126
ko:K01889	bap:BUAP5A_127
ko:K01890	bap:BUAP5A_128
ko:K04764	bap:BUAP5A_129
ko:K07568	bap:BUAP5A_130
ko:K00773	bap:BUAP5A_131
ko:K03210	bap:BUAP5A_132
ko:K01879	bap:BUAP5A_133
ko:K01878	bap:BUAP5A_134
ko:K01151	bap:BUAP5A_135
ko:K02897	bap:BUAP5A_136
ko:K03771	bap:BUAP5A_138
ko:K02528	bap:BUAP5A_139
ko:K01525	bap:BUAP5A_140
ko:K00287	bap:BUAP5A_141
ko:K01955	bap:BUAP5A_142
ko:K01956	bap:BUAP5A_143
ko:K03527	bap:BUAP5A_145
ko:K03101	bap:BUAP5A_146
ko:K01870	bap:BUAP5A_147
ko:K02968	bap:BUAP5A_149
ko:K03686	bap:BUAP5A_150
ko:K04043	bap:BUAP5A_151
ko:K00330	bap:BUAP5A_152
ko:K00331	bap:BUAP5A_153
ko:K00334	bap:BUAP5A_155
ko:K00335	bap:BUAP5A_156
ko:K00336	bap:BUAP5A_157
ko:K00337	bap:BUAP5A_158
ko:K00338	bap:BUAP5A_159
ko:K00339	bap:BUAP5A_160
ko:K00340	bap:BUAP5A_161
ko:K00341	bap:BUAP5A_162
ko:K00342	bap:BUAP5A_163
ko:K00343	bap:BUAP5A_164
ko:K00948	bap:BUAP5A_166
ko:K00919	bap:BUAP5A_167
ko:K02835	bap:BUAP5A_168
ko:K02493	bap:BUAP5A_169
ko:K00925	bap:BUAP5A_172
ko:K11107	bap:BUAP5A_174
ko:K00526	bap:BUAP5A_175
ko:K00525	bap:BUAP5A_176
ko:K02469	bap:BUAP5A_177
ko:K12297	bap:BUAP5A_356
ko:K00082	bap:BUAP5A_455
ko:K00602	bap:BUAP5A_030
ko:K11755	bap:BUAP5A_104
ko:K11754	bap:BUAP5A_165
ko:K09022	bap:BUAP5A_364
ko:K03545	bap:BUAP5A_467
ko:K02315	bap:BUAP5A_021
ko:K00974	bap:BUAP5A_060
ko:K02414	bap:BUAP5A_078
ko:K09945	bap:BUAP5A_178
ko:K03386	bap:BUAP5A_179
ko:K01147	bap:BUAP5A_261
ko:K01497	bap:BUAP5A_266
ko:K07790	bap:BUAP5A_276
ko:K04774	bap:BUAP5A_278
ko:K09810	bap:BUAP5A_291
ko:K00564	bap:BUAP5A_321
ko:K02778	bap:BUAP5A_349
ko:K02779	bap:BUAP5A_349
ko:K07337	bap:BUAP5A_351
ko:K01150	bap:BUAP5A_402
ko:K00956	bap:BUAP5A_416
ko:K03772	bap:BUAP5A_526
ko:K00821	bap:BUAP5A_527
ko:K01491	bap:BUAP5A_479
ko:K01498	bap:BUAP5A_454
ko:K13292	bap:BUAP5A_432
ko:K01358	bap:BUAP5A_468
ko:K01243	bap:BUAP5A_207
ko:K04771	bap:BUAP5A_223
ko:K06168	bap:BUAP5A_434
ko:K03574	bap:BUAP5A_199
ko:K01069	bap:BUAP5A_242
ko:K04487	bap:BUAP5A_594
ko:K11991	bap:BUAP5A_250
ko:K04755	bap:BUAP5A_598
ko:K01089	bap:BUAP5A_100
ko:K03286	bap:BUAP5A_326
ko:K11753	bap:BUAP5A_148
ko:K01092	bap:BUAP5A_280
ko:K02302	bap:BUAP5A_418
ko:K00766	bap:BUAP5A_275
ko:K00215	bap:BUAP5A_144
ko:K00297	bap:BUAP5A_045
ko:K13378	bap:BUAP5A_154
ko:K13788	bap:BUAP5A_173
ko:K13288	bap:BUAP5A_567
ko:K12573	bap:BUAP5A_558
ko:K12524	bap:BUAP5A_191
ko:K01916	bap:BUAP5A_171
ko:K14228	bap:BUAP5A_372
ko:K14228	bap:BUAP5A_406
ko:K14235	bap:BUAP5A_593
ko:K04085	bap:BUAP5A_440
ko:K14232	bap:BUAP5A_585
ko:K01977	bap:BUAP5A_239
ko:K14233	bap:BUAP5A_398
ko:K14229	bap:BUAP5A_067
ko:K13498	bap:BUAP5A_274
ko:K14220	bap:BUAP5A_550
ko:K14233	bap:BUAP5A_325
ko:K14236	bap:BUAP5A_042
ko:K07404	bap:BUAP5A_288
ko:K14234	bap:BUAP5A_040
ko:K14224	bap:BUAP5A_485
ko:K14233	bap:BUAP5A_533
ko:K14228	bap:BUAP5A_322
ko:K14218	bap:BUAP5A_241
ko:K14230	bap:BUAP5A_407
ko:K14237	bap:BUAP5A_068
ko:K01985	bap:BUAP5A_483
ko:K14219	bap:BUAP5A_587
ko:K14225	bap:BUAP5A_041
ko:K14218	bap:BUAP5A_070
ko:K14231	bap:BUAP5A_017
ko:K14234	bap:BUAP5A_043
ko:K14227	bap:BUAP5A_240
ko:K00674	bap:BUAP5A_224
ko:K14225	bap:BUAP5A_568
ko:K15035	bap:BUAP5A_184
ko:K14226	bap:BUAP5A_586
ko:K01978	bap:BUAP5A_089
ko:K14237	bap:BUAP5A_109
ko:K14222	bap:BUAP5A_323
ko:K14221	bap:BUAP5A_244
ko:K14219	bap:BUAP5A_478
ko:K14230	bap:BUAP5A_450
ko:K01980	bap:BUAP5A_484
ko:K14219	bap:BUAP5A_399
ko:K14170	bap:BUAP5A_385
ko:K14223	bap:BUAP5A_405
ko:K14230	bap:BUAP5A_551
ko:K14742	bap:BUAP5A_317
ko:K08316	bap:BUAP5A_023
ko:K14682	bap:BUAP5A_449
ko:K01082	bap:BUAP5A_554
ko:K15738	bap:BUAP5A_357
ko:K15724	bap:BUAP5A_208
ko:K15984	bap:BUAP5A_579
ko:K09476	bap:BUAP5A_352
ko:K16322	bap:BUAP5A_580
ko:K02503	bap:BUAP5A_350
ko:K00254	bap:BUAP5A_355
ko:K03526	bap:BUAP5A_282
ko:K18889	bap:BUAP5A_472
ko:K18890	bap:BUAP5A_473
ko:K02257	bap:BUAP5A_461
