ko:K01006	lmoj:LM220_20145
ko:K00077	lmoj:LM220_20430
ko:K02911	lmoj:LM220_03572
ko:K07040	lmoj:LM220_03577
ko:K07177	lmoj:LM220_20435
ko:K00954	lmoj:LM220_20440
ko:K02259	lmoj:LM220_00970
ko:K10716	lmoj:LM220_00975
ko:K14166	lmoj:LM220_20455
ko:K03282	lmoj:LM220_01010
ko:K01442	lmoj:LM220_01025
ko:K04077	lmoj:LM220_20460
ko:K04078	lmoj:LM220_01040
ko:K07052	lmoj:LM220_01045
ko:K01926	lmoj:LM220_01055
ko:K17686	lmoj:LM220_09295
ko:K07571	lmoj:LM220_06692
ko:K03798	lmoj:LM220_22360
ko:K03525	lmoj:LM220_06717
ko:K01738	lmoj:LM220_06732
ko:K00950	lmoj:LM220_06747
ko:K04567	lmoj:LM220_22380
ko:K03723	lmoj:LM220_22340
ko:K06158	lmoj:LM220_20465
ko:K06889	lmoj:LM220_01070
ko:K01409	lmoj:LM220_01075
ko:K03789	lmoj:LM220_01080
ko:K06925	lmoj:LM220_01095
ko:K06199	lmoj:LM220_01115
ko:K06199	lmoj:LM220_01120
ko:K01223	lmoj:LM220_21630
ko:K02793	lmoj:LM220_16277
ko:K02795	lmoj:LM220_16287
ko:K06201	lmoj:LM220_16302
ko:K02755	lmoj:LM220_16307
ko:K02756	lmoj:LM220_16307
ko:K02757	lmoj:LM220_16307
ko:K02529	lmoj:LM220_21655
ko:K02761	lmoj:LM220_21665
ko:K13252	lmoj:LM220_21670
ko:K10536	lmoj:LM220_21675
ko:K00926	lmoj:LM220_21680
ko:K03481	lmoj:LM220_21685
ko:K03975	lmoj:LM220_21690
ko:K01478	lmoj:LM220_21695
ko:K02990	lmoj:LM220_16477
ko:K02963	lmoj:LM220_16487
ko:K07813	lmoj:LM220_16497
ko:K07706	lmoj:LM220_16507
ko:K07707	lmoj:LM220_16512
ko:K02939	lmoj:LM220_16522
ko:K01939	lmoj:LM220_16537
ko:K03466	lmoj:LM220_21710
ko:K07082	lmoj:LM220_19655
ko:K07447	lmoj:LM220_11732
ko:K01872	lmoj:LM220_19660
ko:K02003	lmoj:LM220_11752
ko:K02004	lmoj:LM220_19665
ko:K00566	lmoj:LM220_11797
ko:K04487	lmoj:LM220_11802
ko:K07478	lmoj:LM220_11807
ko:K17472	lmoj:LM220_11812
ko:K03320	lmoj:LM220_11817
ko:K04751	lmoj:LM220_11822
ko:K01876	lmoj:LM220_11832
ko:K01448	lmoj:LM220_11847
ko:K07560	lmoj:LM220_11852
ko:K00759	lmoj:LM220_11867
ko:K07462	lmoj:LM220_11872
ko:K12257	lmoj:LM220_19675
ko:K03210	lmoj:LM220_11897
ko:K00773	lmoj:LM220_11902
ko:K07568	lmoj:LM220_11907
ko:K03551	lmoj:LM220_11912
ko:K03550	lmoj:LM220_11917
ko:K04518	lmoj:LM220_11932
ko:K03979	lmoj:LM220_11937
ko:K00864	lmoj:LM220_11942
ko:K02440	lmoj:LM220_11947
ko:K02899	lmoj:LM220_11952
ko:K07584	lmoj:LM220_11957
ko:K02888	lmoj:LM220_11962
ko:K08301	lmoj:LM220_19680
ko:K03609	lmoj:LM220_11977
ko:K03610	lmoj:LM220_11982
ko:K03571	lmoj:LM220_11987
ko:K03570	lmoj:LM220_11992
ko:K03569	lmoj:LM220_19685
ko:K03630	lmoj:LM220_12012
ko:K01940	lmoj:LM220_02992
ko:K01755	lmoj:LM220_20490
ko:K05020	lmoj:LM220_03012
ko:K01628	lmoj:LM220_03022
ko:K00882	lmoj:LM220_03027
ko:K02775	lmoj:LM220_20495
ko:K02774	lmoj:LM220_03042
ko:K02773	lmoj:LM220_03047
ko:K06215	lmoj:LM220_14501
ko:K08681	lmoj:LM220_14506
ko:K00625	lmoj:LM220_14511
ko:K04758	lmoj:LM220_14516
ko:K04759	lmoj:LM220_14521
ko:K07098	lmoj:LM220_14531
ko:K01443	lmoj:LM220_14541
ko:K01809	lmoj:LM220_14551
ko:K02003	lmoj:LM220_14571
ko:K02004	lmoj:LM220_14576
ko:K03431	lmoj:LM220_20510
ko:K00691	lmoj:LM220_20525
ko:K15772	lmoj:LM220_14651
ko:K15771	lmoj:LM220_20530
ko:K15770	lmoj:LM220_20535
ko:K07052	lmoj:LM220_14691
ko:K01624	lmoj:LM220_10155
ko:K10778	lmoj:LM220_15213
ko:K01990	lmoj:LM220_00145
ko:K01990	lmoj:LM220_04612
ko:K01990	lmoj:LM220_15048
ko:K01990	lmoj:LM220_16327
ko:K01990	lmoj:LM220_21460
ko:K01845	lmoj:LM220_01891
ko:K07586	lmoj:LM220_01901
ko:K10780	lmoj:LM220_01906
ko:K07038	lmoj:LM220_01916
ko:K07071	lmoj:LM220_19945
ko:K14205	lmoj:LM220_19950
ko:K03790	lmoj:LM220_01966
ko:K07058	lmoj:LM220_19955
ko:K01265	lmoj:LM220_19960
ko:K03839	lmoj:LM220_02036
ko:K03569	lmoj:LM220_02056
ko:K09963	lmoj:LM220_02081
ko:K02759	lmoj:LM220_19975
ko:K02760	lmoj:LM220_19980
ko:K02529	lmoj:LM220_02141
ko:K05349	lmoj:LM220_20000
ko:K02025	lmoj:LM220_02171
ko:K00266	lmoj:LM220_02181
ko:K08317	lmoj:LM220_02206
ko:K02030	lmoj:LM220_02211
ko:K06889	lmoj:LM220_12747
ko:K16898	lmoj:LM220_20905
ko:K16899	lmoj:LM220_20910
ko:K02768	lmoj:LM220_03732
ko:K02769	lmoj:LM220_03732
ko:K02770	lmoj:LM220_03732
ko:K00882	lmoj:LM220_20915
ko:K03436	lmoj:LM220_03747
ko:K16329	lmoj:LM220_20920
ko:K06183	lmoj:LM220_03777
ko:K16959	lmoj:LM220_03807
ko:K16958	lmoj:LM220_03812
ko:K16957	lmoj:LM220_20930
ko:K00299	lmoj:LM220_03832
ko:K02564	lmoj:LM220_03867
ko:K01421	lmoj:LM220_03877
ko:K01580	lmoj:LM220_20940
ko:K01633	lmoj:LM220_06742
ko:K11754	lmoj:LM220_12017
ko:K01873	lmoj:LM220_19695
ko:K01845	lmoj:LM220_12037
ko:K01698	lmoj:LM220_19700
ko:K01719	lmoj:LM220_12052
ko:K01749	lmoj:LM220_12057
ko:K02492	lmoj:LM220_12062
ko:K03978	lmoj:LM220_19705
ko:K01868	lmoj:LM220_19710
ko:K11144	lmoj:LM220_12087
ko:K03346	lmoj:LM220_19715
ko:K07738	lmoj:LM220_12107
ko:K00859	lmoj:LM220_12112
ko:K10563	lmoj:LM220_12117
ko:K00031	lmoj:LM220_12127
ko:K01647	lmoj:LM220_19720
ko:K07113	lmoj:LM220_12147
ko:K00873	lmoj:LM220_19725
ko:K00850	lmoj:LM220_12162
ko:K01962	lmoj:LM220_12167
ko:K01963	lmoj:LM220_19730
ko:K00259	lmoj:LM220_19740
ko:K00925	lmoj:LM220_19750
ko:K00858	lmoj:LM220_19765
ko:K00611	lmoj:LM220_19770
ko:K00620	lmoj:LM220_05677
ko:K00145	lmoj:LM220_05682
ko:K03151	lmoj:LM220_05687
ko:K04487	lmoj:LM220_05692
ko:K06286	lmoj:LM220_19780
ko:K02986	lmoj:LM220_05717
ko:K01866	lmoj:LM220_05722
ko:K13853	lmoj:LM220_19785
ko:K01990	lmoj:LM220_10180
ko:K01992	lmoj:LM220_10185
ko:K03710	lmoj:LM220_10215
ko:K07035	lmoj:LM220_10220
ko:K03671	lmoj:LM220_10250
ko:K01759	lmoj:LM220_10340
ko:K08177	lmoj:LM220_10355
ko:K01026	lmoj:LM220_10360
ko:K08600	lmoj:LM220_10435
ko:K02013	lmoj:LM220_10440
ko:K02015	lmoj:LM220_10445
ko:K02016	lmoj:LM220_20610
ko:K02110	lmoj:LM220_22205
ko:K02113	lmoj:LM220_15318
ko:K02111	lmoj:LM220_15323
ko:K02115	lmoj:LM220_15328
ko:K02112	lmoj:LM220_22210
ko:K02114	lmoj:LM220_15343
ko:K02793	lmoj:LM220_15363
ko:K02794	lmoj:LM220_15363
ko:K02795	lmoj:LM220_15368
ko:K02029	lmoj:LM220_02221
ko:K01486	lmoj:LM220_02236
ko:K02003	lmoj:LM220_02261
ko:K00891	lmoj:LM220_02276
ko:K03215	lmoj:LM220_20020
ko:K02434	lmoj:LM220_10563
ko:K02433	lmoj:LM220_10568
ko:K02435	lmoj:LM220_10573
ko:K01972	lmoj:LM220_10588
ko:K03657	lmoj:LM220_20035
ko:K07094	lmoj:LM220_10603
ko:K03308	lmoj:LM220_10608
ko:K01945	lmoj:LM220_10623
ko:K00602	lmoj:LM220_20040
ko:K11175	lmoj:LM220_10638
ko:K01933	lmoj:LM220_20045
ko:K00764	lmoj:LM220_10653
ko:K01952	lmoj:LM220_10658
ko:K01952	lmoj:LM220_10663
ko:K01952	lmoj:LM220_10668
ko:K01923	lmoj:LM220_10673
ko:K01756	lmoj:LM220_10678
ko:K01589	lmoj:LM220_10683
ko:K01588	lmoj:LM220_10688
ko:K06950	lmoj:LM220_01267
ko:K02013	lmoj:LM220_01272
ko:K01258	lmoj:LM220_01282
ko:K01142	lmoj:LM220_01297
ko:K02887	lmoj:LM220_01302
ko:K02916	lmoj:LM220_01307
ko:K02520	lmoj:LM220_01312
ko:K01810	lmoj:LM220_20975
ko:K03574	lmoj:LM220_14364
ko:K14155	lmoj:LM220_14374
ko:K02004	lmoj:LM220_20980
ko:K02003	lmoj:LM220_14389
ko:K02760	lmoj:LM220_20985
ko:K00928	lmoj:LM220_14399
ko:K03768	lmoj:LM220_16657
ko:K05565	lmoj:LM220_16667
ko:K05566	lmoj:LM220_16672
ko:K05567	lmoj:LM220_21030
ko:K05568	lmoj:LM220_16682
ko:K05569	lmoj:LM220_16687
ko:K05570	lmoj:LM220_16692
ko:K05571	lmoj:LM220_16697
ko:K09775	lmoj:LM220_16707
ko:K03885	lmoj:LM220_16732
ko:K00657	lmoj:LM220_13850
ko:K07090	lmoj:LM220_13870
