ko:K11707	ctk:E150_00365
ko:K02034	ctk:E150_02525
ko:K01772	ctk:E150_02570
ko:K07099	ctk:E150_02585
ko:K00975	ctk:E150_02590
ko:K03628	ctk:E150_02600
ko:K00859	ctk:E150_02605
ko:K03301	ctk:E150_02620
ko:K00995	ctk:E150_02625
ko:K03495	ctk:E150_02645
ko:K03800	ctk:E150_02650
ko:K00940	ctk:E150_02655
ko:K03550	ctk:E150_02660
ko:K01159	ctk:E150_02665
ko:K00134	ctk:E150_02680
ko:K02879	ctk:E150_02685
ko:K03040	ctk:E150_02690
ko:K02948	ctk:E150_02695
ko:K02952	ctk:E150_02700
ko:K03076	ctk:E150_02705
ko:K02876	ctk:E150_02710
ko:K02988	ctk:E150_02715
ko:K02881	ctk:E150_02720
ko:K02933	ctk:E150_02725
ko:K02994	ctk:E150_02730
ko:K02931	ctk:E150_02735
ko:K02895	ctk:E150_02740
ko:K02874	ctk:E150_02745
ko:K02961	ctk:E150_02750
ko:K02904	ctk:E150_02755
ko:K02878	ctk:E150_02760
ko:K02982	ctk:E150_02765
ko:K02890	ctk:E150_02770
ko:K02965	ctk:E150_02775
ko:K02886	ctk:E150_02780
ko:K02892	ctk:E150_02785
ko:K02926	ctk:E150_02790
ko:K02906	ctk:E150_02795
ko:K00604	ctk:E150_02805
ko:K00677	ctk:E150_02810
ko:K02372	ctk:E150_02815
ko:K02535	ctk:E150_02820
ko:K03820	ctk:E150_02825
ko:K06925	ctk:E150_02840
ko:K03671	ctk:E150_02850
ko:K03216	ctk:E150_02855
ko:K01876	ctk:E150_02865
ko:K01892	ctk:E150_02870
ko:K07783	ctk:E150_02875
ko:K02337	ctk:E150_02880
ko:K03311	ctk:E150_02925
ko:K06888	ctk:E150_01865
ko:K03523	ctk:E150_01890
ko:K01714	ctk:E150_01905
ko:K00928	ctk:E150_01910
ko:K00133	ctk:E150_01915
ko:K00215	ctk:E150_01920
ko:K00800	ctk:E150_01930
ko:K00891	ctk:E150_01935
ko:K01736	ctk:E150_01940
ko:K01735	ctk:E150_01945
ko:K13832	ctk:E150_01950
ko:K03758	ctk:E150_01970
ko:K00024	ctk:E150_01980
ko:K01810	ctk:E150_01985
ko:K03665	ctk:E150_01990
ko:K06167	ctk:E150_01995
ko:K09996	ctk:E150_02000
ko:K06966	ctk:E150_02030
ko:K09131	ctk:E150_02035
ko:K10206	ctk:E150_02045
ko:K01881	ctk:E150_02060
ko:K03705	ctk:E150_02065
ko:K03687	ctk:E150_02070
ko:K04043	ctk:E150_02075
ko:K12573	ctk:E150_02080
ko:K07164	ctk:E150_02085
ko:K06041	ctk:E150_02090
ko:K00658	ctk:E150_02095
ko:K00912	ctk:E150_02105
ko:K03437	ctk:E150_02110
ko:K06969	ctk:E150_02115
ko:K00793	ctk:E150_02120
ko:K07738	ctk:E150_02125
ko:K06204	ctk:E150_02130
ko:K03101	ctk:E150_02135
ko:K03310	ctk:E150_02140
ko:K00748	ctk:E150_02150
ko:K09817	ctk:E150_02175
ko:K09816	ctk:E150_02180
ko:K03979	ctk:E150_02185
ko:K02899	ctk:E150_02190
ko:K02888	ctk:E150_02195
ko:K07042	ctk:E150_02215
ko:K03183	ctk:E150_02245
ko:K01778	ctk:E150_02255
ko:K01358	ctk:E150_02260
ko:K00600	ctk:E150_02265
ko:K01770	ctk:E150_02280
ko:K02946	ctk:E150_02290
ko:K02355	ctk:E150_02295
ko:K02992	ctk:E150_02300
ko:K02950	ctk:E150_02305
ko:K03797	ctk:E150_02315
ko:K07462	ctk:E150_02350
ko:K12257	ctk:E150_02360
ko:K00806	ctk:E150_02375
ko:K00981	ctk:E150_02385
ko:K00945	ctk:E150_02390
ko:K00655	ctk:E150_02395
ko:K01887	ctk:E150_02400
ko:K00790	ctk:E150_02405
ko:K03162	ctk:E150_03620
ko:K07098	ctk:E150_02435
ko:K00567	ctk:E150_02520
ko:K02033	ctk:E150_02530
ko:K02035	ctk:E150_02535
ko:K02030	ctk:E150_02575
ko:K02433	ctk:E150_00020
ko:K03471	ctk:E150_00045
ko:K01507	ctk:E150_04115
ko:K03177	ctk:E150_00495
ko:K06179	ctk:E150_00560
ko:K00939	ctk:E150_00680
ko:K02035	ctk:E150_00735
ko:K01408	ctk:E150_04315
ko:K02118	ctk:E150_01590
ko:K02117	ctk:E150_01595
ko:K02121	ctk:E150_01605
ko:K00616	ctk:E150_01620
ko:K08483	ctk:E150_01760
ko:K11189	ctk:E150_01765
ko:K00784	ctk:E150_01815
ko:K02342	ctk:E150_02835
ko:K07258	ctk:E150_02910
ko:K06889	ctk:E150_00790
ko:K02035	ctk:E150_00915
ko:K02049	ctk:E150_00940
ko:K01409	ctk:E150_01025
ko:K15582	ctk:E150_01040
ko:K00970	ctk:E150_03745
ko:K01596	ctk:E150_03780
ko:K00972	ctk:E150_03805
ko:K03856	ctk:E150_02005
ko:K06889	ctk:E150_01070
ko:K00059	ctk:E150_01230
ko:K01679	ctk:E150_04590
ko:K04763	ctk:E150_04645
ko:K03227	ctk:E150_02975
ko:K02454	ctk:E150_03015
ko:K01262	ctk:E150_03030
ko:K07315	ctk:E150_03105
ko:K00241	ctk:E150_03135
ko:K03386	ctk:E150_03185
ko:K02428	ctk:E150_03200
ko:K06910	ctk:E150_03920
ko:K07117	ctk:E150_03925
ko:K00033	ctk:E150_00340
ko:K01082	ctk:E150_04130
ko:K01909	ctk:E150_04140
ko:K00652	ctk:E150_04145
ko:K00700	ctk:E150_04655
ko:K00970	ctk:E150_02145
ko:K09815	ctk:E150_02170
ko:K01719	ctk:E150_02275
ko:K00813	ctk:E150_03380
ko:K01934	ctk:E150_03440
ko:K07052	ctk:E150_01320
ko:K02342	ctk:E150_01360
ko:K02806	ctk:E150_01510
ko:K02806	ctk:E150_01515
ko:K02124	ctk:E150_01575
ko:K02123	ctk:E150_01580
ko:K02120	ctk:E150_01585
ko:K00380	ctk:E150_02285
ko:K01885	ctk:E150_02340
ko:K14232	ctk:E150_t04714
ko:K14233	ctk:E150_t04740
ko:K14228	ctk:E150_t04784
ko:K01840	ctk:E150_01535
ko:K11645	ctk:E150_01115
ko:K15583	ctk:E150_01050
ko:K14221	ctk:E150_t04728
ko:K00850	ctk:E150_01065
ko:K10823	ctk:E150_01045
ko:K14223	ctk:E150_t04778
ko:K01834	ctk:E150_03845
ko:K14226	ctk:E150_t04774
ko:K07714	ctk:E150_02470
ko:K00895	ctk:E150_01075
ko:K01985	ctk:E150_r04786
ko:K01985	ctk:E150_r04788
ko:K11709	ctk:E150_00380
ko:K11708	ctk:E150_00375
ko:K11710	ctk:E150_00370
ko:K14233	ctk:E150_t04782
ko:K03559	ctk:E150_03155
ko:K14219	ctk:E150_t04762
ko:K14227	ctk:E150_t04720
ko:K09810	ctk:E150_00805
ko:K14234	ctk:E150_t04716
ko:K02028	ctk:E150_00690
ko:K14222	ctk:E150_t04776
ko:K14220	ctk:E150_t04712
ko:K01977	ctk:E150_r04790
ko:K01977	ctk:E150_r04792
ko:K01980	ctk:E150_r04794
ko:K01980	ctk:E150_r04796
ko:K17103	ctk:E150_04430
ko:K14233	ctk:E150_t04738
ko:K04084	ctk:E150_03145
ko:K14218	ctk:E150_t04722
ko:K14218	ctk:E150_t04760
ko:K14230	ctk:E150_t04724
ko:K14230	ctk:E150_t04736
ko:K14235	ctk:E150_t04732
ko:K14233	ctk:E150_t04750
ko:K14231	ctk:E150_t04742
ko:K14228	ctk:E150_t04744
ko:K14228	ctk:E150_t04752
ko:K14228	ctk:E150_t04754
ko:K14219	ctk:E150_t04746
ko:K14219	ctk:E150_t04756
ko:K14232	ctk:E150_t04758
ko:K14229	ctk:E150_t04766
ko:K14224	ctk:E150_t04768
ko:K14234	ctk:E150_t04764
ko:K14225	ctk:E150_t04770
ko:K14228	ctk:E150_t04748
ko:K14237	ctk:E150_t04730
ko:K14230	ctk:E150_t04726
ko:K14234	ctk:E150_t04734
ko:K14236	ctk:E150_t04718
ko:K14225	ctk:E150_t04772
ko:K14237	ctk:E150_t04780
ko:K06972	ctk:E150_04420
ko:K07081	ctk:E150_02240
ko:K08275	ctk:E150_00430
ko:K01802	ctk:E150_02860
ko:K03309	ctk:E150_02100
ko:K08719	ctk:E150_03795
ko:K01921	ctk:E150_04065
ko:K01924	ctk:E150_04065
ko:K01829	ctk:E150_04160
ko:K01829	ctk:E150_04180
ko:K07033	ctk:E150_03640
ko:K01214	ctk:E150_00225
ko:K03825	ctk:E150_02420
ko:K03496	ctk:E150_03075
ko:K03497	ctk:E150_03660
ko:K03111	ctk:E150_00235
ko:K02626	ctk:E150_01965
ko:K11991	ctk:E150_04525
ko:K04771	ctk:E150_04415
ko:K19411	ctk:E150_03595
ko:K02031	ctk:E150_03670
ko:K07125	ctk:E150_01685
ko:K22100	ctk:E150_01710
ko:K12132	ctk:E150_01560
ko:K20265	ctk:E150_01120
ko:K20074	ctk:E150_01345
ko:K11749	ctk:E150_00390
ko:K22099	ctk:E150_03230
ko:K00526	ctk:E150_04440
ko:K02335	ctk:E150_02610
ko:K02314	ctk:E150_02640
ko:K00287	ctk:E150_03235
ko:K03553	ctk:E150_03450
ko:K02316	ctk:E150_04235
ko:K01520	ctk:E150_01520
ko:K02032	ctk:E150_03665
ko:K00525	ctk:E150_04435
ko:K02050	ctk:E150_04585
ko:K02051	ctk:E150_04585
ko:K01534	ctk:E150_03875
ko:K16239	ctk:E150_00450
