ko:K02881	lpr:LBP_cg0827
ko:K09710	lpr:LBP_cg1160
ko:K03547	lpr:LBP_cg1173
ko:K02959	lpr:LBP_cg1251
ko:K06960	lpr:LBP_cg1252
ko:K02860	lpr:LBP_cg1253
ko:K02884	lpr:LBP_cg1255
ko:K01990	lpr:LBP_cg1259
ko:K01992	lpr:LBP_cg1260
ko:K01657	lpr:LBP_cg1262
ko:K01609	lpr:LBP_cg1265
ko:K01760	lpr:LBP_cg0219
ko:K01738	lpr:LBP_cg0220
ko:K01265	lpr:LBP_cg0221
ko:K03811	lpr:LBP_cg0222
ko:K01226	lpr:LBP_cg0226
ko:K02755	lpr:LBP_cg0227
ko:K02756	lpr:LBP_cg0227
ko:K02757	lpr:LBP_cg0227
ko:K02755	lpr:LBP_cg0228
ko:K02756	lpr:LBP_cg0228
ko:K02757	lpr:LBP_cg0228
ko:K07816	lpr:LBP_cg0253
ko:K06994	lpr:LBP_cg0255
ko:K01246	lpr:LBP_cg0256
ko:K02004	lpr:LBP_cg0258
ko:K07052	lpr:LBP_cg0260
ko:K07052	lpr:LBP_cg0261
ko:K07052	lpr:LBP_cg0337
ko:K07052	lpr:LBP_cg0338
ko:K07052	lpr:LBP_cg0339
ko:K07052	lpr:LBP_cg0340
ko:K01695	lpr:LBP_cg1268
ko:K02078	lpr:LBP_cg1281
ko:K01961	lpr:LBP_cg1287
ko:K01962	lpr:LBP_cg1289
ko:K00208	lpr:LBP_cg1290
ko:K06133	lpr:LBP_cg1291
ko:K06949	lpr:LBP_cg1295
ko:K02470	lpr:LBP_cg0005
ko:K02469	lpr:LBP_cg0006
ko:K00975	lpr:LBP_cg0019
ko:K01182	lpr:LBP_cg0163
ko:K00691	lpr:LBP_cg1332
ko:K02795	lpr:LBP_cg0466
ko:K02796	lpr:LBP_cg0467
ko:K02793	lpr:LBP_cg0470
ko:K02794	lpr:LBP_cg0470
ko:K02160	lpr:LBP_cg0473
ko:K01962	lpr:LBP_cg0476
ko:K01785	lpr:LBP_cg1333
ko:K00938	lpr:LBP_cg1335
ko:K00869	lpr:LBP_cg1337
ko:K03722	lpr:LBP_cg1338
ko:K02086	lpr:LBP_cg1342
ko:K02072	lpr:LBP_cg1344
ko:K02012	lpr:LBP_cg1349
ko:K02010	lpr:LBP_cg1350
ko:K05366	lpr:LBP_cg1351
ko:K03700	lpr:LBP_cg1352
ko:K05879	lpr:LBP_cg0141
ko:K02440	lpr:LBP_cg0143
ko:K01187	lpr:LBP_cg0146
ko:K15770	lpr:LBP_cg0148
ko:K15771	lpr:LBP_cg0149
ko:K00847	lpr:LBP_cg0158
ko:K07407	lpr:LBP_cg0159
ko:K02808	lpr:LBP_cg0160
ko:K02809	lpr:LBP_cg0160
ko:K02810	lpr:LBP_cg0160
ko:K01193	lpr:LBP_cg0161
ko:K03484	lpr:LBP_cg0162
ko:K06910	lpr:LBP_cg0315
ko:K09384	lpr:LBP_cg0316
ko:K02160	lpr:LBP_cg0319
ko:K12700	lpr:LBP_cg0320
ko:K03469	lpr:LBP_cg0322
ko:K05845	lpr:LBP_cg0323
ko:K05846	lpr:LBP_cg0323
ko:K05847	lpr:LBP_cg0324
ko:K00864	lpr:LBP_cg0326
ko:K00105	lpr:LBP_cg0327
ko:K00016	lpr:LBP_cg0430
ko:K01056	lpr:LBP_cg0431
ko:K03723	lpr:LBP_cg0432
ko:K13052	lpr:LBP_cg0435
ko:K07571	lpr:LBP_cg0436
ko:K04083	lpr:LBP_cg0440
ko:K03305	lpr:LBP_cg0444
ko:K00286	lpr:LBP_cg0452
ko:K01443	lpr:LBP_cg0453
ko:K03710	lpr:LBP_cg0454
ko:K05946	lpr:LBP_cg0455
ko:K00763	lpr:LBP_cg0456
ko:K01916	lpr:LBP_cg0457
ko:K03095	lpr:LBP_cg0461
ko:K00003	lpr:LBP_cg0462
ko:K02793	lpr:LBP_cg0465
ko:K02794	lpr:LBP_cg0465
ko:K16169	lpr:LBP_p3g018
ko:K09758	lpr:LBP_p3g040
ko:K07085	lpr:LBP_p3g041
ko:K03483	lpr:LBP_cg0207
ko:K02798	lpr:LBP_cg0208
ko:K00009	lpr:LBP_cg0209
ko:K00940	lpr:LBP_cg0215
ko:K07979	lpr:LBP_cg0284
ko:K01624	lpr:LBP_cg0289
ko:K08659	lpr:LBP_cg0293
ko:K03523	lpr:LBP_cg0295
ko:K08969	lpr:LBP_cg0298
ko:K09692	lpr:LBP_cg0301
ko:K09693	lpr:LBP_cg0302
ko:K00016	lpr:LBP_cg0308
ko:K01807	lpr:LBP_cg0312
ko:K08987	lpr:LBP_cg0314
ko:K06889	lpr:LBP_cg1360
ko:K01992	lpr:LBP_cg1369
ko:K01990	lpr:LBP_cg1370
ko:K03469	lpr:LBP_cg1375
ko:K01938	lpr:LBP_cg1377
ko:K03101	lpr:LBP_cg1378
ko:K02825	lpr:LBP_cg1380
ko:K01956	lpr:LBP_cg1381
ko:K05937	lpr:LBP_cg1384
ko:K19271	lpr:LBP_cg1386
ko:K01990	lpr:LBP_cg1390
ko:K01992	lpr:LBP_cg1391
ko:K08974	lpr:LBP_cg1405
ko:K01182	lpr:LBP_cg0166
ko:K03826	lpr:LBP_cg0175
ko:K00058	lpr:LBP_cg0176
ko:K00831	lpr:LBP_cg0177
ko:K06199	lpr:LBP_cg0185
ko:K18231	lpr:LBP_cg0187
ko:K16785	lpr:LBP_cg0193
ko:K16925	lpr:LBP_cg0195
ko:K00432	lpr:LBP_cg0196
ko:K03624	lpr:LBP_cg0198
ko:K07729	lpr:LBP_cg0200
ko:K02564	lpr:LBP_cg0201
ko:K00244	lpr:LBP_cg0203
ko:K08659	lpr:LBP_cg0205
ko:K02799	lpr:LBP_cg0206
ko:K02800	lpr:LBP_cg0206
ko:K02313	lpr:LBP_cg0001
ko:K02338	lpr:LBP_cg0002
ko:K03629	lpr:LBP_cg0004
ko:K01190	lpr:LBP_p2g004
ko:K02538	lpr:LBP_cg2637
ko:K03483	lpr:LBP_cg2873
ko:K01223	lpr:LBP_p2g002
ko:K07407	lpr:LBP_p2g003
ko:K01190	lpr:LBP_p2g005
ko:K00925	lpr:LBP_p3g039
ko:K21680	lpr:LBP_cg1413
ko:K01007	lpr:LBP_cg1489
ko:K07171	lpr:LBP_p6g002
ko:K07473	lpr:LBP_p3g024
ko:K03169	lpr:LBP_p3g031
ko:K05881	lpr:LBP_cg0142
ko:K07484	lpr:LBP_p3g020
ko:K07498	lpr:LBP_p3g032
ko:K07498	lpr:LBP_p3g038
ko:K07498	lpr:LBP_p3g042
ko:K05881	lpr:LBP_p4g012
ko:K08217	lpr:LBP_p4g001
ko:K01996	lpr:LBP_cg2445
ko:K02030	lpr:LBP_p7g005
ko:K07172	lpr:LBP_p7g009
ko:K04047	lpr:LBP_p6g011
ko:K03704	lpr:LBP_p7g014
ko:K02029	lpr:LBP_p7g003
ko:K02028	lpr:LBP_p7g004
ko:K02982	lpr:LBP_cg0817
ko:K02879	lpr:LBP_cg0837
ko:K00615	lpr:LBP_cg0855
ko:K03856	lpr:LBP_cg0857
ko:K02837	lpr:LBP_cg0956
ko:K15580	lpr:LBP_cg0963
ko:K15582	lpr:LBP_cg0965
ko:K07258	lpr:LBP_cg0978
ko:K00793	lpr:LBP_cg1099
ko:K00794	lpr:LBP_cg1101
ko:K01924	lpr:LBP_cg1126
ko:K11717	lpr:LBP_cg1132
ko:K03979	lpr:LBP_cg1702
ko:K03703	lpr:LBP_cg1718
ko:K02358	lpr:LBP_cg1727
ko:K12574	lpr:LBP_cg1729
ko:K01714	lpr:LBP_cg1730
ko:K02968	lpr:LBP_cg1733
ko:K01958	lpr:LBP_cg1742
ko:K00382	lpr:LBP_cg1755
ko:K00948	lpr:LBP_cg1766
ko:K03530	lpr:LBP_cg1461
ko:K03977	lpr:LBP_cg1462
ko:K06178	lpr:LBP_cg1469
ko:K04763	lpr:LBP_cg1473
ko:K00873	lpr:LBP_cg1476
ko:K00850	lpr:LBP_cg1477
ko:K02337	lpr:LBP_cg1478
ko:K03695	lpr:LBP_cg1481
ko:K01258	lpr:LBP_cg1482
ko:K01990	lpr:LBP_cg1487
ko:K01689	lpr:LBP_cg1497
ko:K00806	lpr:LBP_cg1610
ko:K02838	lpr:LBP_cg1611
ko:K09903	lpr:LBP_cg1612
ko:K03778	lpr:LBP_cg1616
ko:K01356	lpr:LBP_cg1622
ko:K02049	lpr:LBP_cg1630
ko:K02050	lpr:LBP_cg1631
ko:K05837	lpr:LBP_cg1632
ko:K03596	lpr:LBP_cg1578
ko:K04043	lpr:LBP_cg1586
ko:K04517	lpr:LBP_cg1593
ko:K00800	lpr:LBP_cg1594
ko:K02519	lpr:LBP_cg1599
ko:K02600	lpr:LBP_cg1602
ko:K01881	lpr:LBP_cg1607
ko:K11749	lpr:LBP_cg1608
ko:K00981	lpr:LBP_cg1609
ko:K03086	lpr:LBP_cg1544
ko:K01879	lpr:LBP_cg1546
ko:K01878	lpr:LBP_cg1547
ko:K01876	lpr:LBP_cg1562
ko:K01892	lpr:LBP_cg1563
ko:K07560	lpr:LBP_cg1567
ko:K01866	lpr:LBP_cg2300
ko:K02003	lpr:LBP_cg2311
ko:K01744	lpr:LBP_cg2318
ko:K02003	lpr:LBP_cg2341
ko:K00383	lpr:LBP_cg2666
ko:K01939	lpr:LBP_cg2669
ko:K03294	lpr:LBP_cg2676
ko:K03975	lpr:LBP_cg1828
ko:K00925	lpr:LBP_cg1835
ko:K09157	lpr:LBP_cg2060
ko:K08369	lpr:LBP_cg2068
ko:K14155	lpr:LBP_cg2367
ko:K03701	lpr:LBP_cg2386
ko:K03549	lpr:LBP_cg2677
ko:K03297	lpr:LBP_cg2683
ko:K11068	lpr:LBP_cg2684
ko:K16264	lpr:LBP_cg2686
ko:K00950	lpr:LBP_cg2693
ko:K01740	lpr:LBP_cg2088
ko:K01989	lpr:LBP_cg2438
ko:K01995	lpr:LBP_cg2446
ko:K01998	lpr:LBP_cg2447
ko:K02077	lpr:LBP_cg2697
ko:K00656	lpr:LBP_cg2703
ko:K01486	lpr:LBP_cg2718
ko:K03315	lpr:LBP_cg2721
ko:K03575	lpr:LBP_cg2731
ko:K07456	lpr:LBP_cg1862
ko:K07447	lpr:LBP_cg1865
ko:K01872	lpr:LBP_cg1867
ko:K02346	lpr:LBP_cg1870
ko:K00773	lpr:LBP_cg1872
ko:K03551	lpr:LBP_cg1874
ko:K03555	lpr:LBP_cg1883
ko:K18682	lpr:LBP_cg1885
ko:K03742	lpr:LBP_cg1887
ko:K00995	lpr:LBP_cg1888
ko:K02500	lpr:LBP_cg2102
ko:K01814	lpr:LBP_cg2103
ko:K01693	lpr:LBP_cg2105
ko:K02502	lpr:LBP_cg2108
ko:K00133	lpr:LBP_cg2116
ko:K17686	lpr:LBP_cg2498
ko:K03498	lpr:LBP_cg1774
ko:K01870	lpr:LBP_cg1782
ko:K02111	lpr:LBP_cg1941
ko:K02113	lpr:LBP_cg1942
ko:K02110	lpr:LBP_cg1944
ko:K02108	lpr:LBP_cg1945
ko:K03569	lpr:LBP_cg1901
ko:K11754	lpr:LBP_cg1903
ko:K01873	lpr:LBP_cg1904
ko:K11065	lpr:LBP_cg1905
ko:K01919	lpr:LBP_cg1906
ko:K04487	lpr:LBP_cg1908
ko:K17836	lpr:LBP_cg1921
ko:K05837	lpr:LBP_cg1932
ko:K02112	lpr:LBP_cg1939
ko:K01662	lpr:LBP_cg2142
ko:K01621	lpr:LBP_cg2175
ko:K00036	lpr:LBP_cg2194
ko:K03596	lpr:LBP_cg2544
ko:K03426	lpr:LBP_cg2546
ko:K03590	lpr:LBP_cg1788
ko:K02563	lpr:LBP_cg1790
ko:K03438	lpr:LBP_cg1795
ko:K07118	lpr:LBP_cg1804
ko:K02954	lpr:LBP_cg1808
ko:K08602	lpr:LBP_cg1817
ko:K00761	lpr:LBP_cg1950
ko:K00600	lpr:LBP_cg1951
ko:K02493	lpr:LBP_cg1953
ko:K02835	lpr:LBP_cg1954
ko:K01809	lpr:LBP_cg1958
ko:K00826	lpr:LBP_cg1961
ko:K06147	lpr:LBP_cg1964
ko:K01591	lpr:LBP_cg2208
ko:K17828	lpr:LBP_cg2209
ko:K01956	lpr:LBP_cg2211
ko:K01465	lpr:LBP_cg2212
ko:K00609	lpr:LBP_cg2213
ko:K06901	lpr:LBP_cg2218
ko:K01945	lpr:LBP_cg2224
ko:K00602	lpr:LBP_cg2225
ko:K01933	lpr:LBP_cg2227
ko:K00764	lpr:LBP_cg2228
ko:K01952	lpr:LBP_cg2229
ko:K01923	lpr:LBP_cg2232
ko:K01424	lpr:LBP_cg2241
ko:K02003	lpr:LBP_cg2242
ko:K01990	lpr:LBP_cg2571
ko:K00574	lpr:LBP_cg2578
ko:K00763	lpr:LBP_cg2269
ko:K07258	lpr:LBP_cg2593
ko:K00088	lpr:LBP_cg2598
ko:K03497	lpr:LBP_cg2602
ko:K03496	lpr:LBP_cg2603
ko:K03497	lpr:LBP_cg2604
ko:K02069	lpr:LBP_cg2626
ko:K00014	lpr:LBP_cg2842
ko:K07106	lpr:LBP_cg2849
ko:K01119	lpr:LBP_cg2758
ko:K01534	lpr:LBP_cg2791
ko:K03734	lpr:LBP_cg2839
ko:K03475	lpr:LBP_cg2870
ko:K01621	lpr:LBP_cg2880
ko:K03781	lpr:LBP_cg2900
ko:K02782	lpr:LBP_cg2913
ko:K02783	lpr:LBP_cg2913
ko:K00852	lpr:LBP_cg2920
ko:K02529	lpr:LBP_cg2921
ko:K04072	lpr:LBP_cg2927
ko:K02509	lpr:LBP_cg2933
ko:K03100	lpr:LBP_cg2939
ko:K03495	lpr:LBP_cg2944
ko:K03650	lpr:LBP_cg2945
ko:K15580	lpr:LBP_cg2948
ko:K03217	lpr:LBP_cg2950
ko:K03536	lpr:LBP_cg2952
ko:K01915	lpr:LBP_p1g012
ko:K03549	lpr:LBP_p2g029
ko:K03322	lpr:LBP_p2g033
ko:K05879	lpr:LBP_p4g013
ko:K03169	lpr:LBP_p4g024
ko:K03427	lpr:LBP_p4g028
ko:K01153	lpr:LBP_p4g029
ko:K01154	lpr:LBP_p4g027
ko:K01537	lpr:LBP_p5g005
ko:K21636	lpr:LBP_cg2401
ko:K00574	lpr:LBP_cg1301
ko:K08659	lpr:LBP_cg1317
ko:K01821	lpr:LBP_cg1318
ko:K02437	lpr:LBP_cg0264
ko:K00925	lpr:LBP_cg0269
ko:K02348	lpr:LBP_cg0271
ko:K01867	lpr:LBP_cg0345
ko:K02761	lpr:LBP_cg0347
ko:K07171	lpr:LBP_cg0351
ko:K12410	lpr:LBP_cg0357
ko:K05985	lpr:LBP_cg0368
ko:K00919	lpr:LBP_cg0371
ko:K02074	lpr:LBP_cg0374
ko:K02075	lpr:LBP_cg0375
ko:K09685	lpr:LBP_cg0381
ko:K17836	lpr:LBP_cg0383
ko:K00948	lpr:LBP_cg0384
ko:K07483	lpr:LBP_cg0388
ko:K03048	lpr:LBP_cg0393
ko:K01256	lpr:LBP_cg0730
ko:K01153	lpr:LBP_cg0731
ko:K03427	lpr:LBP_cg0734
ko:K03427	lpr:LBP_cg0735
ko:K01154	lpr:LBP_cg0736
ko:K01154	lpr:LBP_cg0738
ko:K01118	lpr:LBP_cg0752
ko:K01893	lpr:LBP_cg0753
ko:K01914	lpr:LBP_cg0754
ko:K08659	lpr:LBP_cg0756
ko:K06180	lpr:LBP_cg0760
ko:K03780	lpr:LBP_cg0862
ko:K03779	lpr:LBP_cg0863
ko:K05966	lpr:LBP_cg0866
ko:K00016	lpr:LBP_cg0871
ko:K03319	lpr:LBP_cg0872
ko:K00027	lpr:LBP_cg0874
ko:K01910	lpr:LBP_cg0875
ko:K02548	lpr:LBP_cg0898
ko:K01646	lpr:LBP_cg0876
ko:K01644	lpr:LBP_cg0877
ko:K01643	lpr:LBP_cg0878
ko:K00244	lpr:LBP_cg0881
ko:K05964	lpr:LBP_cg0882
ko:K07088	lpr:LBP_cg0886
ko:K03294	lpr:LBP_cg0887
ko:K00425	lpr:LBP_cg0891
ko:K00426	lpr:LBP_cg0892
ko:K16012	lpr:LBP_cg0894
ko:K00805	lpr:LBP_cg0897
ko:K00059	lpr:LBP_cg0132
ko:K01990	lpr:LBP_cg0133
ko:K01992	lpr:LBP_cg0134
ko:K05878	lpr:LBP_cg0140
ko:K01752	lpr:LBP_cg0397
ko:K02909	lpr:LBP_cg0403
ko:K07284	lpr:LBP_cg0405
ko:K03799	lpr:LBP_cg0407
ko:K01929	lpr:LBP_cg0409
ko:K05592	lpr:LBP_cg0410
ko:K00997	lpr:LBP_cg0412
ko:K01775	lpr:LBP_cg0413
ko:K07171	lpr:LBP_cg0414
ko:K02051	lpr:LBP_cg0417
ko:K02050	lpr:LBP_cg0418
ko:K15555	lpr:LBP_cg0419
ko:K00145	lpr:LBP_cg0422
ko:K01834	lpr:LBP_cg0480
ko:K01372	lpr:LBP_cg0482
ko:K01807	lpr:LBP_cg0483
ko:K06975	lpr:LBP_cg0484
ko:K09698	lpr:LBP_cg0489
ko:K11145	lpr:LBP_cg0491
ko:K03218	lpr:LBP_cg0492
ko:K06962	lpr:LBP_cg0493
ko:K03091	lpr:LBP_cg0494
ko:K02913	lpr:LBP_cg0495
ko:K03073	lpr:LBP_cg0496
ko:K02601	lpr:LBP_cg0497
ko:K02867	lpr:LBP_cg0499
ko:K02864	lpr:LBP_cg0501
ko:K02935	lpr:LBP_cg0502
ko:K15051	lpr:LBP_cg0503
ko:K14205	lpr:LBP_cg0505
ko:K00564	lpr:LBP_cg0510
ko:K11991	lpr:LBP_cg0511
ko:K09747	lpr:LBP_cg0513
ko:K06187	lpr:LBP_cg0514
ko:K00943	lpr:LBP_cg0516
ko:K02341	lpr:LBP_cg0518
ko:K07056	lpr:LBP_cg0520
ko:K03430	lpr:LBP_cg0523
ko:K16509	lpr:LBP_cg0633
ko:K01524	lpr:LBP_cg0637
ko:K01524	lpr:LBP_cg0639
ko:K00712	lpr:LBP_cg1001
ko:K00712	lpr:LBP_cg1002
ko:K19302	lpr:LBP_cg1005
ko:K06183	lpr:LBP_cg1008
ko:K05816	lpr:LBP_cg1012
ko:K05813	lpr:LBP_cg1015
ko:K01421	lpr:LBP_cg1018
ko:K01992	lpr:LBP_cg1020
ko:K01990	lpr:LBP_cg1022
ko:K07304	lpr:LBP_cg1024
ko:K03217	lpr:LBP_cg1175
ko:K06950	lpr:LBP_cg1178
ko:K03624	lpr:LBP_cg1184
ko:K01934	lpr:LBP_cg1190
ko:K19225	lpr:LBP_cg1191
ko:K00845	lpr:LBP_cg1193
ko:K05995	lpr:LBP_cg1194
ko:K03709	lpr:LBP_cg0784
ko:K03704	lpr:LBP_cg0785
ko:K07260	lpr:LBP_cg0797
ko:K03708	lpr:LBP_cg0801
ko:K03816	lpr:LBP_cg0903
ko:K01589	lpr:LBP_cg0905
ko:K02434	lpr:LBP_cg0911
ko:K07029	lpr:LBP_cg0912
ko:K03215	lpr:LBP_cg0913
ko:K12952	lpr:LBP_cg0915
ko:K02761	lpr:LBP_cg0916
ko:K07273	lpr:LBP_cg0919
ko:K02761	lpr:LBP_cg0926
ko:K01791	lpr:LBP_cg0933
ko:K07058	lpr:LBP_cg0934
ko:K02440	lpr:LBP_cg0935
ko:K03565	lpr:LBP_cg0944
ko:K07586	lpr:LBP_cg0945
ko:K00016	lpr:LBP_cg0949
ko:K00851	lpr:LBP_cg0953
ko:K07706	lpr:LBP_cg1031
ko:K07707	lpr:LBP_cg1032
ko:K07052	lpr:LBP_cg1035
ko:K00297	lpr:LBP_cg1045
ko:K00547	lpr:LBP_cg1045
ko:K00958	lpr:LBP_cg1049
ko:K02348	lpr:LBP_cg1058
ko:K02759	lpr:LBP_cg1066
ko:K02760	lpr:LBP_cg1067
ko:K01223	lpr:LBP_cg1069
ko:K14188	lpr:LBP_cg1073
ko:K06895	lpr:LBP_cg1075
ko:K01126	lpr:LBP_cg1197
ko:K00791	lpr:LBP_cg1198
ko:K03713	lpr:LBP_cg1199
ko:K02888	lpr:LBP_cg1209
ko:K07584	lpr:LBP_cg1210
ko:K01262	lpr:LBP_cg1212
ko:K02356	lpr:LBP_cg1213
ko:K03625	lpr:LBP_cg1215
