ko:K07489	ypf:BZ19_2643
ko:K02419	ypf:BZ19_1121
ko:K02418	ypf:BZ19_1122
ko:K02417	ypf:BZ19_1123
ko:K02416	ypf:BZ19_1124
ko:K02415	ypf:BZ19_1125
ko:K02414	ypf:BZ19_1126
ko:K02413	ypf:BZ19_1127
ko:K02412	ypf:BZ19_1128
ko:K02411	ypf:BZ19_1129
ko:K02410	ypf:BZ19_1130
ko:K02409	ypf:BZ19_1131
ko:K02408	ypf:BZ19_1132
ko:K07341	ypf:BZ19_1134
ko:K13378	ypf:BZ19_1945
ko:K00331	ypf:BZ19_1946
ko:K00330	ypf:BZ19_1947
ko:K14260	ypf:BZ19_1950
ko:K08722	ypf:BZ19_1951
ko:K19270	ypf:BZ19_1954
ko:K09161	ypf:BZ19_1955
ko:K09899	ypf:BZ19_1956
ko:K00925	ypf:BZ19_1957
ko:K13788	ypf:BZ19_1958
ko:K02821	ypf:BZ19_1960
ko:K02822	ypf:BZ19_1961
ko:K03475	ypf:BZ19_1962
ko:K07095	ypf:BZ19_1964
ko:K07071	ypf:BZ19_1966
ko:K10017	ypf:BZ19_1967
ko:K10015	ypf:BZ19_1968
ko:K10016	ypf:BZ19_1969
ko:K10014	ypf:BZ19_1970
ko:K03186	ypf:BZ19_1971
ko:K00764	ypf:BZ19_1972
ko:K03558	ypf:BZ19_1973
ko:K03749	ypf:BZ19_1974
ko:K11754	ypf:BZ19_1975
ko:K01963	ypf:BZ19_1976
ko:K03975	ypf:BZ19_1977
ko:K06173	ypf:BZ19_1978
ko:K03473	ypf:BZ19_1980
ko:K01779	ypf:BZ19_1985
ko:K00647	ypf:BZ19_1986
ko:K15461	ypf:BZ19_1987
ko:K09906	ypf:BZ19_1989
ko:K07090	ypf:BZ19_1990
ko:K07261	ypf:BZ19_1991
ko:K01736	ypf:BZ19_1992
ko:K07320	ypf:BZ19_1993
ko:K08296	ypf:BZ19_1995
ko:K02622	ypf:BZ19_2806
ko:K07000	ypf:BZ19_2807
ko:K03651	ypf:BZ19_2808
ko:K09920	ypf:BZ19_2809
ko:K01515	ypf:BZ19_2810
ko:K12340	ypf:BZ19_2811
ko:K02858	ypf:BZ19_2816
ko:K09806	ypf:BZ19_2817
ko:K16263	ypf:BZ19_2818
ko:K03272	ypf:BZ19_2819
ko:K00982	ypf:BZ19_2820
ko:K18446	ypf:BZ19_2821
ko:K07184	ypf:BZ19_2822
ko:K00974	ypf:BZ19_2823
ko:K06153	ypf:BZ19_2824
ko:K01633	ypf:BZ19_2825
ko:K08591	ypf:BZ19_2826
ko:K01409	ypf:BZ19_2827
ko:K02970	ypf:BZ19_2828
ko:K03086	ypf:BZ19_2830
ko:K01778	ypf:BZ19_3651
ko:K09921	ypf:BZ19_3652
ko:K03733	ypf:BZ19_3653
ko:K03657	ypf:BZ19_3655
ko:K03284	ypf:BZ19_3659
ko:K05786	ypf:BZ19_3660
ko:K01058	ypf:BZ19_3662
ko:K03654	ypf:BZ19_3663
ko:K05835	ypf:BZ19_3664
ko:K05834	ypf:BZ19_3665
ko:K01048	ypf:BZ19_3666
ko:K01126	ypf:BZ19_3669
ko:K02445	ypf:BZ19_3670
ko:K00111	ypf:BZ19_3671
ko:K00112	ypf:BZ19_3672
ko:K00113	ypf:BZ19_3673
ko:K09125	ypf:BZ19_3675
ko:K04085	ypf:BZ19_3676
ko:K01534	ypf:BZ19_3677
ko:K08993	ypf:BZ19_3681
ko:K08316	ypf:BZ19_3682
ko:K03110	ypf:BZ19_3683
ko:K09812	ypf:BZ19_3684
ko:K09811	ypf:BZ19_3685
ko:K03089	ypf:BZ19_3686
ko:K01999	ypf:BZ19_3688
ko:K01997	ypf:BZ19_3689
ko:K01998	ypf:BZ19_3690
ko:K01995	ypf:BZ19_3691
ko:K01996	ypf:BZ19_3692
ko:K05813	ypf:BZ19_3700
ko:K05814	ypf:BZ19_3701
ko:K05815	ypf:BZ19_3702
ko:K20881	ypf:BZ19_3242
ko:K16089	ypf:BZ19_140
ko:K01265	ypf:BZ19_142
ko:K01676	ypf:BZ19_144
ko:K00880	ypf:BZ19_145
ko:K02057	ypf:BZ19_147
ko:K02057	ypf:BZ19_148
ko:K02056	ypf:BZ19_149
ko:K02058	ypf:BZ19_150
ko:K02430	ypf:BZ19_151
ko:K07306	ypf:BZ19_153
ko:K07307	ypf:BZ19_154
ko:K07308	ypf:BZ19_155
ko:K12262	ypf:BZ19_157
ko:K15536	ypf:BZ19_158
ko:K03782	ypf:BZ19_159
ko:K17202	ypf:BZ19_160
ko:K17204	ypf:BZ19_162
ko:K17203	ypf:BZ19_163
ko:K00615	ypf:BZ19_164
ko:K00615	ypf:BZ19_165
ko:K00864	ypf:BZ19_166
ko:K03743	ypf:BZ19_170
ko:K03565	ypf:BZ19_172
ko:K01872	ypf:BZ19_173
ko:K03563	ypf:BZ19_174
ko:K01919	ypf:BZ19_182
ko:K07173	ypf:BZ19_183
ko:K03106	ypf:BZ19_186
ko:K02959	ypf:BZ19_187
ko:K02860	ypf:BZ19_188
ko:K00554	ypf:BZ19_189
ko:K02884	ypf:BZ19_190
ko:K07491	ypf:BZ19_191
ko:K00598	ypf:BZ19_1908
ko:K07283	ypf:BZ19_192
ko:K07792	ypf:BZ19_193
ko:K02477	ypf:BZ19_194
ko:K01626	ypf:BZ19_195
ko:K07407	ypf:BZ19_1032
ko:K02532	ypf:BZ19_1033
ko:K04047	ypf:BZ19_1909
ko:K02529	ypf:BZ19_1034
ko:K09933	ypf:BZ19_1036
ko:K07178	ypf:BZ19_1038
ko:K06147	ypf:BZ19_1039
ko:K10036	ypf:BZ19_1911
ko:K10037	ypf:BZ19_1912
ko:K11734	ypf:BZ19_1048
ko:K12973	ypf:BZ19_1049
ko:K03704	ypf:BZ19_1051
ko:K00563	ypf:BZ19_1053
ko:K02014	ypf:BZ19_1056
ko:K10038	ypf:BZ19_1913
ko:K02795	ypf:BZ19_1060
ko:K02793	ypf:BZ19_1061
ko:K02794	ypf:BZ19_1061
ko:K05921	ypf:BZ19_1064
ko:K05921	ypf:BZ19_1065
ko:K00151	ypf:BZ19_1066
ko:K00455	ypf:BZ19_1067
ko:K01826	ypf:BZ19_1068
ko:K02509	ypf:BZ19_1069
ko:K02510	ypf:BZ19_1070
ko:K02511	ypf:BZ19_1071
ko:K00483	ypf:BZ19_1072
ko:K00484	ypf:BZ19_1073
ko:K01752	ypf:BZ19_1074
ko:K01665	ypf:BZ19_1076
ko:K09917	ypf:BZ19_1077
ko:K08289	ypf:BZ19_1078
ko:K05591	ypf:BZ19_1079
ko:K09918	ypf:BZ19_1080
ko:K16135	ypf:BZ19_1896
ko:K02529	ypf:BZ19_1897
ko:K10440	ypf:BZ19_1898
ko:K10441	ypf:BZ19_1899
ko:K10439	ypf:BZ19_1900
ko:K00008	ypf:BZ19_1901
ko:K11934	ypf:BZ19_1905
ko:K11939	ypf:BZ19_1906
ko:K03406	ypf:BZ19_1914
ko:K06970	ypf:BZ19_1915
ko:K01911	ypf:BZ19_1918
ko:K02549	ypf:BZ19_1919
ko:K01661	ypf:BZ19_1920
ko:K08680	ypf:BZ19_1921
ko:K02551	ypf:BZ19_1922
ko:K02552	ypf:BZ19_1923
ko:K05594	ypf:BZ19_1925
ko:K01690	ypf:BZ19_1927
ko:K00046	ypf:BZ19_1931
ko:K00851	ypf:BZ19_1932
ko:K00343	ypf:BZ19_1935
ko:K00342	ypf:BZ19_1936
ko:K00341	ypf:BZ19_1937
ko:K00340	ypf:BZ19_1938
ko:K00339	ypf:BZ19_1939
ko:K00338	ypf:BZ19_1940
ko:K00337	ypf:BZ19_1941
ko:K00336	ypf:BZ19_1942
ko:K00335	ypf:BZ19_1943
ko:K00334	ypf:BZ19_1944
ko:K02412	ypf:BZ19_2750
ko:K02411	ypf:BZ19_2751
ko:K02410	ypf:BZ19_2752
ko:K02409	ypf:BZ19_2753
ko:K02408	ypf:BZ19_2754
ko:K02416	ypf:BZ19_2756
ko:K02417	ypf:BZ19_2757
ko:K02419	ypf:BZ19_2758
ko:K02420	ypf:BZ19_2759
ko:K02421	ypf:BZ19_2760
ko:K02401	ypf:BZ19_2761
ko:K02400	ypf:BZ19_2762
ko:K02016	ypf:BZ19_2766
ko:K13735	ypf:BZ19_2774
ko:K18320	ypf:BZ19_2775
ko:K02278	ypf:BZ19_2778
ko:K02279	ypf:BZ19_2779
ko:K02280	ypf:BZ19_2780
ko:K02282	ypf:BZ19_2782
ko:K02283	ypf:BZ19_2783
ko:K12510	ypf:BZ19_2784
ko:K12511	ypf:BZ19_2785
ko:K12512	ypf:BZ19_2786
ko:K12513	ypf:BZ19_2787
ko:K12514	ypf:BZ19_2788
ko:K12515	ypf:BZ19_2789
ko:K03559	ypf:BZ19_2790
ko:K03561	ypf:BZ19_2792
ko:K01760	ypf:BZ19_2793
ko:K08325	ypf:BZ19_2796
ko:K06221	ypf:BZ19_2797
ko:K00655	ypf:BZ19_2802
ko:K02621	ypf:BZ19_2803
ko:K03923	ypf:BZ19_2804
ko:K02057	ypf:BZ19_3597
ko:K02057	ypf:BZ19_3599
ko:K02852	ypf:BZ19_3637
ko:K09897	ypf:BZ19_3600
ko:K02498	ypf:BZ19_3643
ko:K07391	ypf:BZ19_3601
ko:K02496	ypf:BZ19_3644
ko:K01652	ypf:BZ19_3602
ko:K01719	ypf:BZ19_3645
ko:K11258	ypf:BZ19_3603
ko:K00826	ypf:BZ19_3604
ko:K01749	ypf:BZ19_3646
ko:K01687	ypf:BZ19_3605
ko:K05851	ypf:BZ19_3647
ko:K01754	ypf:BZ19_3606
ko:K02521	ypf:BZ19_3610
ko:K00053	ypf:BZ19_3611
ko:K07347	ypf:BZ19_3616
ko:K06202	ypf:BZ19_3649
ko:K07346	ypf:BZ19_3617
ko:K07345	ypf:BZ19_3618
ko:K03769	ypf:BZ19_3620
ko:K03656	ypf:BZ19_3621
ko:K01524	ypf:BZ19_3622
ko:K03732	ypf:BZ19_3623
ko:K03671	ypf:BZ19_3624
ko:K03628	ypf:BZ19_3625
ko:K02851	ypf:BZ19_3626
ko:K05790	ypf:BZ19_3627
ko:K01791	ypf:BZ19_3628
ko:K02472	ypf:BZ19_3629
ko:K01710	ypf:BZ19_3630
ko:K00973	ypf:BZ19_3631
ko:K16704	ypf:BZ19_3632
ko:K02805	ypf:BZ19_3633
ko:K16693	ypf:BZ19_3634
ko:K12582	ypf:BZ19_3635
ko:K02853	ypf:BZ19_3636
ko:K20862	ypf:BZ19_3654
ko:K00632	ypf:BZ19_1997
ko:K01120	ypf:BZ19_2283
ko:K01992	ypf:BZ19_607
ko:K01992	ypf:BZ19_608
ko:K00020	ypf:BZ19_3046
ko:K00839	ypf:BZ19_228
ko:K07497	ypf:BZ19_1253
ko:K07497	ypf:BZ19_1349
ko:K07497	ypf:BZ19_519
ko:K07497	ypf:BZ19_4193
ko:K07497	ypf:BZ19_4202
ko:K07497	ypf:BZ19_4207
ko:K07497	ypf:BZ19_4208
ko:K07497	ypf:BZ19_4220
ko:K07497	ypf:BZ19_4238
ko:K07497	ypf:BZ19_4241
ko:K07497	ypf:BZ19_4243
ko:K01138	ypf:BZ19_2454
ko:K11904	ypf:BZ19_2599
ko:K19337	ypf:BZ19_1403
ko:K19334	ypf:BZ19_4003
ko:K12341	ypf:BZ19_4214
ko:K02464	ypf:BZ19_2435
ko:K02485	ypf:BZ19_1457
ko:K01653	ypf:BZ19_28
ko:K03435	ypf:BZ19_29
ko:K04770	ypf:BZ19_860
ko:K09911	ypf:BZ19_861
ko:K07491	ypf:BZ19_862
ko:K03286	ypf:BZ19_863
ko:K13053	ypf:BZ19_864
ko:K07343	ypf:BZ19_865
ko:K03658	ypf:BZ19_868
ko:K01734	ypf:BZ19_869
ko:K09909	ypf:BZ19_870
ko:K06929	ypf:BZ19_871
ko:K11940	ypf:BZ19_872
ko:K06969	ypf:BZ19_873
ko:K01512	ypf:BZ19_896
ko:K11179	ypf:BZ19_897
ko:K02372	ypf:BZ19_908
ko:K00647	ypf:BZ19_909
ko:K00059	ypf:BZ19_910
ko:K01641	ypf:BZ19_911
ko:K00645	ypf:BZ19_917
ko:K11901	ypf:BZ19_918
ko:K11900	ypf:BZ19_919
ko:K11893	ypf:BZ19_920
ko:K03799	ypf:BZ19_1738
ko:K03797	ypf:BZ19_1740
ko:K03607	ypf:BZ19_1741
ko:K03808	ypf:BZ19_1743
ko:K07346	ypf:BZ19_1748
ko:K07347	ypf:BZ19_1749
ko:K01775	ypf:BZ19_1758
ko:K03414	ypf:BZ19_1763
ko:K03413	ypf:BZ19_1764
ko:K03412	ypf:BZ19_1765
ko:K00575	ypf:BZ19_1766
ko:K05877	ypf:BZ19_1767
ko:K03408	ypf:BZ19_1771
ko:K03407	ypf:BZ19_1772
ko:K02557	ypf:BZ19_1773
ko:K02556	ypf:BZ19_1774
ko:K02402	ypf:BZ19_1775
ko:K02403	ypf:BZ19_1776
ko:K01531	ypf:BZ19_1777
ko:K07507	ypf:BZ19_1778
ko:K05876	ypf:BZ19_1779
ko:K03704	ypf:BZ19_1781
ko:K01190	ypf:BZ19_1782
ko:K03719	ypf:BZ19_1786
ko:K01093	ypf:BZ19_1789
ko:K11911	ypf:BZ19_2584
ko:K11905	ypf:BZ19_2586
ko:K11906	ypf:BZ19_2587
ko:K11895	ypf:BZ19_2588
ko:K11896	ypf:BZ19_2589
ko:K11910	ypf:BZ19_2592
ko:K11891	ypf:BZ19_2593
ko:K11903	ypf:BZ19_2605
ko:K11892	ypf:BZ19_2607
ko:K11893	ypf:BZ19_2608
ko:K11900	ypf:BZ19_2609
ko:K11901	ypf:BZ19_2610
ko:K03497	ypf:BZ19_2615
ko:K06946	ypf:BZ19_2625
ko:K03630	ypf:BZ19_2633
ko:K18837	ypf:BZ19_2635
ko:K18838	ypf:BZ19_2636
ko:K02111	ypf:BZ19_3439
ko:K02113	ypf:BZ19_3440
ko:K02109	ypf:BZ19_3441
ko:K02110	ypf:BZ19_3442
ko:K02108	ypf:BZ19_3443
ko:K02116	ypf:BZ19_3444
ko:K03501	ypf:BZ19_3445
ko:K03495	ypf:BZ19_3446
ko:K06205	ypf:BZ19_3447
ko:K03718	ypf:BZ19_3448
ko:K01914	ypf:BZ19_3449
ko:K03924	ypf:BZ19_3451
ko:K03549	ypf:BZ19_3452
ko:K06726	ypf:BZ19_3453
ko:K00852	ypf:BZ19_3454
ko:K03753	ypf:BZ19_3463
ko:K03752	ypf:BZ19_3464
ko:K09896	ypf:BZ19_3465
ko:K03673	ypf:BZ19_3467
ko:K03978	ypf:BZ19_3469
ko:K09894	ypf:BZ19_3470
ko:K07712	ypf:BZ19_3472
ko:K07708	ypf:BZ19_3473
ko:K01915	ypf:BZ19_3474
ko:K06207	ypf:BZ19_3475
ko:K07058	ypf:BZ19_3477
ko:K07560	ypf:BZ19_3478
ko:K16345	ypf:BZ19_3481
ko:K03312	ypf:BZ19_3482
ko:K03655	ypf:BZ19_3483
ko:K00556	ypf:BZ19_3484
ko:K03060	ypf:BZ19_3486
ko:K00942	ypf:BZ19_3487
ko:K01972	ypf:BZ19_3488
ko:K01175	ypf:BZ19_517
ko:K19092	ypf:BZ19_4199
ko:K00969	ypf:BZ19_483
ko:K02340	ypf:BZ19_484
ko:K03643	ypf:BZ19_485
ko:K01869	ypf:BZ19_486
ko:K10004	ypf:BZ19_488
ko:K10002	ypf:BZ19_489
ko:K10003	ypf:BZ19_490
ko:K10001	ypf:BZ19_491
ko:K03820	ypf:BZ19_492
ko:K06189	ypf:BZ19_493
ko:K07042	ypf:BZ19_494
ko:K06168	ypf:BZ19_496
ko:K03184	ypf:BZ19_497
ko:K01953	ypf:BZ19_504
ko:K02566	ypf:BZ19_505
ko:K02565	ypf:BZ19_506
ko:K01443	ypf:BZ19_507
ko:K02564	ypf:BZ19_508
ko:K02802	ypf:BZ19_509
ko:K02803	ypf:BZ19_509
ko:K02804	ypf:BZ19_509
ko:K01886	ypf:BZ19_510
ko:K12373	ypf:BZ19_512
ko:K03711	ypf:BZ19_513
ko:K03839	ypf:BZ19_514
ko:K03664	ypf:BZ19_521
ko:K09801	ypf:BZ19_523
ko:K06186	ypf:BZ19_524
ko:K03631	ypf:BZ19_525
ko:K00858	ypf:BZ19_526
ko:K03687	ypf:BZ19_527
ko:K01647	ypf:BZ19_528
ko:K01627	ypf:BZ19_1362
ko:K03321	ypf:BZ19_1363
ko:K02055	ypf:BZ19_1367
ko:K02053	ypf:BZ19_1368
ko:K02054	ypf:BZ19_1369
ko:K04477	ypf:BZ19_1374
ko:K08162	ypf:BZ19_1377
ko:K03790	ypf:BZ19_1378
ko:K03980	ypf:BZ19_1381
ko:K11017	ypf:BZ19_1382
ko:K11016	ypf:BZ19_1383
ko:K01887	ypf:BZ19_1384
ko:K09907	ypf:BZ19_1385
ko:K06201	ypf:BZ19_1386
ko:K15257	ypf:BZ19_1387
ko:K15256	ypf:BZ19_1388
ko:K07136	ypf:BZ19_1389
ko:K01876	ypf:BZ19_1391
ko:K08310	ypf:BZ19_1392
ko:K01159	ypf:BZ19_1394
ko:K03550	ypf:BZ19_1395
ko:K03551	ypf:BZ19_1396
ko:K09816	ypf:BZ19_1397
ko:K09817	ypf:BZ19_1398
ko:K09815	ypf:BZ19_1399
ko:K19304	ypf:BZ19_1400
ko:K02560	ypf:BZ19_1401
ko:K00873	ypf:BZ19_1402
ko:K00036	ypf:BZ19_1404
ko:K01625	ypf:BZ19_1406
ko:K11743	ypf:BZ19_1407
ko:K11742	ypf:BZ19_1408
ko:K03722	ypf:BZ19_1410
ko:K14742	ypf:BZ19_1411
ko:K07285	ypf:BZ19_1412
ko:K01897	ypf:BZ19_1413
ko:K03684	ypf:BZ19_1414
ko:K15539	ypf:BZ19_2213
ko:K02656	ypf:BZ19_2214
ko:K06941	ypf:BZ19_2215
ko:K00940	ypf:BZ19_2216
ko:K07751	ypf:BZ19_2221
ko:K04755	ypf:BZ19_2223
ko:K04044	ypf:BZ19_2224
ko:K04082	ypf:BZ19_2225
ko:K13628	ypf:BZ19_2226
ko:K04488	ypf:BZ19_2227
ko:K04487	ypf:BZ19_2228
ko:K13643	ypf:BZ19_2229
ko:K15396	ypf:BZ19_2230
ko:K01092	ypf:BZ19_2231
ko:K05820	ypf:BZ19_2234
ko:K16078	ypf:BZ19_2236
ko:K00600	ypf:BZ19_2237
ko:K05916	ypf:BZ19_2238
ko:K04751	ypf:BZ19_2240
ko:K01950	ypf:BZ19_2241
ko:K07715	ypf:BZ19_2242
ko:K07711	ypf:BZ19_2244
ko:K01952	ypf:BZ19_2247
ko:K18691	ypf:BZ19_2248
ko:K11991	ypf:BZ19_2249
ko:K18697	ypf:BZ19_2250
ko:K07106	ypf:BZ19_2251
ko:K00997	ypf:BZ19_2254
ko:K03474	ypf:BZ19_2255
ko:K03584	ypf:BZ19_2256
ko:K03685	ypf:BZ19_2258
ko:K03100	ypf:BZ19_2259
ko:K03596	ypf:BZ19_2260
ko:K03803	ypf:BZ19_2262
ko:K03598	ypf:BZ19_2263
ko:K03597	ypf:BZ19_2264
ko:K01619	ypf:BZ19_3072
ko:K00852	ypf:BZ19_3073
ko:K02057	ypf:BZ19_3074
ko:K11904	ypf:BZ19_3082
ko:K19048	ypf:BZ19_3084
ko:K11904	ypf:BZ19_3094
ko:K11911	ypf:BZ19_3095
ko:K11891	ypf:BZ19_3096
ko:K11910	ypf:BZ19_3097
ko:K11909	ypf:BZ19_3098
ko:K11907	ypf:BZ19_3100
ko:K11892	ypf:BZ19_3101
ko:K11893	ypf:BZ19_3102
ko:K11906	ypf:BZ19_3103
ko:K11895	ypf:BZ19_3105
ko:K11896	ypf:BZ19_3106
ko:K11905	ypf:BZ19_3107
ko:K11900	ypf:BZ19_3108
ko:K11901	ypf:BZ19_3109
ko:K11903	ypf:BZ19_3110
ko:K05775	ypf:BZ19_3112
ko:K02024	ypf:BZ19_3113
ko:K10111	ypf:BZ19_3114
ko:K10108	ypf:BZ19_3115
ko:K10109	ypf:BZ19_3116
ko:K10110	ypf:BZ19_3117
ko:K13256	ypf:BZ19_3118
ko:K01810	ypf:BZ19_3119
ko:K00928	ypf:BZ19_3120
ko:K11017	ypf:BZ19_3121
ko:K11016	ypf:BZ19_3122
ko:K00548	ypf:BZ19_3123
ko:K13641	ypf:BZ19_3124
ko:K07304	ypf:BZ19_3925
ko:K07278	ypf:BZ19_3926
ko:K09800	ypf:BZ19_3927
ko:K01507	ypf:BZ19_3929
ko:K03841	ypf:BZ19_3930
ko:K03402	ypf:BZ19_3934
ko:K00024	ypf:BZ19_3935
ko:K07724	ypf:BZ19_3936
ko:K02523	ypf:BZ19_3938
ko:K02888	ypf:BZ19_3939
ko:K02899	ypf:BZ19_3940
ko:K03979	ypf:BZ19_3942
ko:K07643	ypf:BZ19_3943
ko:K07771	ypf:BZ19_3944
ko:K07259	ypf:BZ19_3945
ko:K03624	ypf:BZ19_3946
ko:K07574	ypf:BZ19_3947
ko:K02427	ypf:BZ19_3948
ko:K03798	ypf:BZ19_3949
ko:K00796	ypf:BZ19_3950
ko:K03431	ypf:BZ19_3951
ko:K03075	ypf:BZ19_3952
ko:K09748	ypf:BZ19_3955
ko:K02600	ypf:BZ19_3956
ko:K02519	ypf:BZ19_3957
ko:K02834	ypf:BZ19_3958
ko:K03177	ypf:BZ19_3959
ko:K02956	ypf:BZ19_3960
ko:K00962	ypf:BZ19_3961
ko:K05803	ypf:BZ19_3962
ko:K05592	ypf:BZ19_3963
ko:K03585	ypf:BZ19_3968
ko:K18138	ypf:BZ19_3969
ko:K18139	ypf:BZ19_3970
ko:K08303	ypf:BZ19_3972
ko:K03824	ypf:BZ19_3974
ko:K07461	ypf:BZ19_3975
ko:K02027	ypf:BZ19_3978
ko:K02025	ypf:BZ19_3979
ko:K07014	ypf:BZ19_703
ko:K09904	ypf:BZ19_704
ko:K06899	ypf:BZ19_705
ko:K02897	ypf:BZ19_706
ko:K06183	ypf:BZ19_708
ko:K07552	ypf:BZ19_709
ko:K00351	ypf:BZ19_250
ko:K03734	ypf:BZ19_251
ko:K05952	ypf:BZ19_252
ko:K02346	ypf:BZ19_254
ko:K01270	ypf:BZ19_255
ko:K00769	ypf:BZ19_259
ko:K11750	ypf:BZ19_260
ko:K11926	ypf:BZ19_261
ko:K00931	ypf:BZ19_262
ko:K00147	ypf:BZ19_263
ko:K00891	ypf:BZ19_268
ko:K09913	ypf:BZ19_269
ko:K03554	ypf:BZ19_270
ko:K00847	ypf:BZ19_271
ko:K03547	ypf:BZ19_273
ko:K07657	ypf:BZ19_274
ko:K07636	ypf:BZ19_275
ko:K02040	ypf:BZ19_276
ko:K03311	ypf:BZ19_277
ko:K11736	ypf:BZ19_278
ko:K01187	ypf:BZ19_279
ko:K00681	ypf:BZ19_281
ko:K07491	ypf:BZ19_282
ko:K03386	ypf:BZ19_283
ko:K08682	ypf:BZ19_284
ko:K07568	ypf:BZ19_285
ko:K00773	ypf:BZ19_286
ko:K03210	ypf:BZ19_287
ko:K03072	ypf:BZ19_288
ko:K03074	ypf:BZ19_289
ko:K07738	ypf:BZ19_291
ko:K11752	ypf:BZ19_292
ko:K00794	ypf:BZ19_293
ko:K03625	ypf:BZ19_294
ko:K00946	ypf:BZ19_295
ko:K01095	ypf:BZ19_296
ko:K01662	ypf:BZ19_297
ko:K00795	ypf:BZ19_298
ko:K03602	ypf:BZ19_299
ko:K03151	ypf:BZ19_300
ko:K03152	ypf:BZ19_301
ko:K00077	ypf:BZ19_302
ko:K09767	ypf:BZ19_303
ko:K01247	ypf:BZ19_1135
ko:K02423	ypf:BZ19_1138
ko:K02422	ypf:BZ19_1139
ko:K02407	ypf:BZ19_1140
ko:K02406	ypf:BZ19_1141
ko:K02405	ypf:BZ19_1142
ko:K02425	ypf:BZ19_1143
ko:K05396	ypf:BZ19_1144
ko:K02424	ypf:BZ19_1145
ko:K10009	ypf:BZ19_1146
ko:K10010	ypf:BZ19_1147
ko:K13821	ypf:BZ19_1150
