ko:K02030	kpe:KPK_2529
ko:K05844	kpe:KPK_3680
ko:K10678	kpe:KPK_3681
ko:K03674	kpe:KPK_3683
ko:K07085	kpe:KPK_3686
ko:K08160	kpe:KPK_3690
ko:K07258	kpe:KPK_3693
ko:K03750	kpe:KPK_3706
ko:K04069	kpe:KPK_3708
ko:K00656	kpe:KPK_3709
ko:K08191	kpe:KPK_3713
ko:K01223	kpe:KPK_3720
ko:K00767	kpe:KPK_4629
ko:K00364	kpe:KPK_4633
ko:K00859	kpe:KPK_4635
ko:K09862	kpe:KPK_4637
ko:K03070	kpe:KPK_4639
ko:K02535	kpe:KPK_4641
ko:K03531	kpe:KPK_4642
ko:K03590	kpe:KPK_4643
ko:K03589	kpe:KPK_4644
ko:K01921	kpe:KPK_4645
ko:K01924	kpe:KPK_4646
ko:K02563	kpe:KPK_4647
ko:K03588	kpe:KPK_4648
ko:K01925	kpe:KPK_4649
ko:K01000	kpe:KPK_4650
ko:K01929	kpe:KPK_4651
ko:K01928	kpe:KPK_4652
ko:K03586	kpe:KPK_4654
ko:K03438	kpe:KPK_4655
ko:K03925	kpe:KPK_4656
ko:K03435	kpe:KPK_4657
ko:K01653	kpe:KPK_4658
ko:K01652	kpe:KPK_4659
ko:K05798	kpe:KPK_4660
ko:K01649	kpe:KPK_4662
ko:K00052	kpe:KPK_4663
ko:K01703	kpe:KPK_4664
ko:K01704	kpe:KPK_4665
ko:K00014	kpe:KPK_4667
ko:K03785	kpe:KPK_4669
ko:K03291	kpe:KPK_4672
ko:K02064	kpe:KPK_4675
ko:K02063	kpe:KPK_4676
ko:K01804	kpe:KPK_4681
ko:K02336	kpe:KPK_4683
ko:K03580	kpe:KPK_4684
ko:K01551	kpe:KPK_A0054
ko:K03893	kpe:KPK_A0055
ko:K03823	kpe:KPK_A0057
ko:K03088	kpe:KPK_A0060
ko:K03424	kpe:KPK_5337
ko:K03557	kpe:KPK_0447
ko:K03110	kpe:KPK_0283
ko:K05851	kpe:KPK_5373
ko:K15581	kpe:KPK_2114
ko:K06897	kpe:KPK_0638
ko:K03086	kpe:KPK_0644
ko:K02316	kpe:KPK_0645
ko:K02970	kpe:KPK_0646
ko:K01409	kpe:KPK_0647
ko:K03189	kpe:KPK_0649
ko:K03188	kpe:KPK_0650
ko:K03187	kpe:KPK_0651
ko:K01428	kpe:KPK_0652
ko:K01429	kpe:KPK_0653
ko:K01430	kpe:KPK_0654
ko:K03190	kpe:KPK_0655
ko:K08591	kpe:KPK_0657
ko:K01633	kpe:KPK_0658
ko:K06153	kpe:KPK_0659
ko:K07184	kpe:KPK_0661
ko:K00982	kpe:KPK_0664
ko:K02858	kpe:KPK_0668
ko:K07238	kpe:KPK_0669
ko:K09920	kpe:KPK_0675
ko:K03651	kpe:KPK_0676
ko:K07000	kpe:KPK_0677
ko:K02622	kpe:KPK_0678
ko:K03923	kpe:KPK_0680
ko:K02621	kpe:KPK_0685
ko:K00655	kpe:KPK_0686
ko:K05846	kpe:KPK_1601
ko:K05846	kpe:KPK_1604
ko:K03593	kpe:KPK_1610
ko:K06901	kpe:KPK_1612
ko:K01486	kpe:KPK_1614
ko:K00878	kpe:KPK_1618
ko:K02035	kpe:KPK_1627
ko:K02033	kpe:KPK_1628
ko:K02034	kpe:KPK_1629
ko:K02031	kpe:KPK_1630
ko:K02032	kpe:KPK_1631
ko:K08303	kpe:KPK_1633
ko:K07664	kpe:KPK_1634
ko:K07789	kpe:KPK_1637
ko:K07788	kpe:KPK_1638
ko:K07799	kpe:KPK_1639
ko:K04046	kpe:KPK_1645
ko:K01247	kpe:KPK_1646
ko:K00876	kpe:KPK_1647
ko:K01494	kpe:KPK_1648
ko:K00963	kpe:KPK_1651
ko:K01991	kpe:KPK_1655
ko:K01951	kpe:KPK_2577
ko:K09936	kpe:KPK_2582
ko:K09936	kpe:KPK_2583
ko:K02755	kpe:KPK_2586
ko:K02756	kpe:KPK_2586
ko:K02757	kpe:KPK_2586
ko:K01223	kpe:KPK_2587
ko:K09458	kpe:KPK_2593
ko:K03543	kpe:KPK_2595
ko:K02371	kpe:KPK_2610
ko:K08178	kpe:KPK_2615
ko:K02051	kpe:KPK_2621
ko:K02050	kpe:KPK_2622
ko:K02049	kpe:KPK_2623
ko:K09967	kpe:KPK_2624
ko:K09967	kpe:KPK_2625
ko:K07347	kpe:KPK_2634
ko:K03559	kpe:KPK_0695
ko:K07150	kpe:KPK_0711
ko:K03289	kpe:KPK_0713
ko:K08306	kpe:KPK_0714
ko:K03575	kpe:KPK_0716
ko:K03439	kpe:KPK_0717
ko:K09923	kpe:KPK_0718
ko:K09131	kpe:KPK_0722
ko:K02221	kpe:KPK_0723
ko:K06997	kpe:KPK_0724
ko:K02669	kpe:KPK_0725
ko:K07447	kpe:KPK_0727
ko:K07735	kpe:KPK_0728
ko:K01920	kpe:KPK_0729
ko:K09761	kpe:KPK_0730
ko:K02906	kpe:KPK_0399
ko:K02926	kpe:KPK_0400
ko:K02892	kpe:KPK_0401
ko:K02886	kpe:KPK_0402
ko:K02965	kpe:KPK_0403
ko:K02890	kpe:KPK_0404
ko:K02982	kpe:KPK_0405
ko:K02878	kpe:KPK_0406
ko:K02904	kpe:KPK_0408
ko:K02895	kpe:KPK_0409
ko:K02931	kpe:KPK_0410
ko:K02954	kpe:KPK_0411
ko:K02994	kpe:KPK_0412
ko:K02933	kpe:KPK_0413
ko:K02881	kpe:KPK_0414
ko:K02988	kpe:KPK_0415
ko:K02907	kpe:KPK_0416
ko:K02876	kpe:KPK_0417
ko:K03076	kpe:KPK_0418
ko:K02952	kpe:KPK_0419
ko:K02986	kpe:KPK_0420
ko:K03040	kpe:KPK_0421
ko:K02879	kpe:KPK_0422
ko:K03282	kpe:KPK_0425
ko:K03499	kpe:KPK_0426
ko:K03500	kpe:KPK_0427
ko:K00604	kpe:KPK_0428
ko:K01462	kpe:KPK_0429
ko:K04096	kpe:KPK_0430
ko:K03747	kpe:KPK_0431
ko:K07479	kpe:KPK_0432
ko:K07566	kpe:KPK_0433
ko:K00014	kpe:KPK_0434
ko:K07223	kpe:KPK_1363
ko:K02048	kpe:KPK_1365
ko:K02046	kpe:KPK_1366
ko:K02047	kpe:KPK_1367
ko:K02045	kpe:KPK_1368
ko:K02777	kpe:KPK_1374
ko:K08483	kpe:KPK_1375
ko:K02784	kpe:KPK_1376
ko:K01738	kpe:KPK_1377
ko:K03528	kpe:KPK_1380
ko:K01972	kpe:KPK_1381
ko:K09954	kpe:KPK_1383
ko:K01885	kpe:KPK_1389
ko:K03322	kpe:KPK_1396
ko:K00845	kpe:KPK_1401
ko:K03449	kpe:KPK_1405
ko:K04754	kpe:KPK_1412
ko:K06076	kpe:KPK_1413
ko:K08296	kpe:KPK_1417
ko:K07320	kpe:KPK_1419
ko:K01736	kpe:KPK_1420
ko:K07261	kpe:KPK_1421
ko:K09906	kpe:KPK_1423
ko:K06966	kpe:KPK_2344
ko:K03327	kpe:KPK_2346
ko:K00793	kpe:KPK_2347
ko:K00574	kpe:KPK_2348
ko:K03604	kpe:KPK_2351
ko:K04564	kpe:KPK_2353
ko:K07390	kpe:KPK_2356
ko:K03683	kpe:KPK_2357
ko:K10680	kpe:KPK_2359
ko:K06938	kpe:KPK_2361
ko:K04565	kpe:KPK_2364
ko:K06077	kpe:KPK_2369
ko:K07700	kpe:KPK_4720
ko:K10541	kpe:KPK_1580
ko:K01489	kpe:KPK_1584
ko:K05541	kpe:KPK_1587
ko:K07267	kpe:KPK_1588
ko:K03488	kpe:KPK_1589
ko:K02755	kpe:KPK_1590
ko:K02756	kpe:KPK_1590
ko:K02757	kpe:KPK_1590
ko:K07262	kpe:KPK_1596
ko:K03823	kpe:KPK_1597
ko:K03777	kpe:KPK_1598
ko:K08994	kpe:KPK_2531
ko:K08369	kpe:KPK_2534
ko:K06916	kpe:KPK_2535
ko:K01951	kpe:KPK_2540
ko:K06139	kpe:KPK_2541
ko:K06137	kpe:KPK_2543
ko:K06136	kpe:KPK_2544
ko:K00836	kpe:KPK_2553
ko:K06145	kpe:KPK_0311
ko:K00851	kpe:KPK_0312
ko:K01952	kpe:KPK_1240
ko:K07711	kpe:KPK_1241
ko:K07715	kpe:KPK_1243
ko:K05916	kpe:KPK_1245
ko:K00600	kpe:KPK_1246
ko:K05820	kpe:KPK_1249
ko:K04488	kpe:KPK_1258
ko:K04082	kpe:KPK_1260
ko:K04044	kpe:KPK_1261
ko:K07751	kpe:KPK_1264
ko:K06894	kpe:KPK_1269
ko:K00940	kpe:KPK_1271
ko:K06941	kpe:KPK_1272
ko:K01892	kpe:KPK_1276
ko:K03977	kpe:KPK_1279
ko:K03601	kpe:KPK_1281
ko:K00088	kpe:KPK_1283
ko:K01951	kpe:KPK_1284
ko:K07344	kpe:KPK_1289
ko:K02051	kpe:KPK_2215
ko:K02049	kpe:KPK_2217
ko:K02014	kpe:KPK_2218
ko:K02013	kpe:KPK_2220
ko:K02015	kpe:KPK_2221
ko:K02015	kpe:KPK_2222
ko:K02016	kpe:KPK_2223
ko:K02012	kpe:KPK_2243
ko:K02011	kpe:KPK_2244
ko:K02193	kpe:KPK_2252
ko:K02194	kpe:KPK_2253
ko:K02195	kpe:KPK_2254
ko:K02196	kpe:KPK_2255
ko:K02197	kpe:KPK_2256
ko:K02198	kpe:KPK_2257
ko:K02199	kpe:KPK_2258
ko:K01652	kpe:KPK_2270
ko:K01575	kpe:KPK_2271
ko:K07336	kpe:KPK_3192
ko:K01414	kpe:KPK_0244
ko:K07275	kpe:KPK_3193
ko:K09001	kpe:KPK_2370
ko:K00275	kpe:KPK_2372
ko:K01866	kpe:KPK_2373
ko:K03305	kpe:KPK_2376
ko:K10773	kpe:KPK_2378
ko:K03613	kpe:KPK_2379
ko:K03612	kpe:KPK_2380
ko:K03614	kpe:KPK_2381
ko:K03615	kpe:KPK_2382
ko:K03616	kpe:KPK_2383
ko:K03617	kpe:KPK_2384
ko:K09712	kpe:KPK_3311
ko:K11250	kpe:KPK_3318
ko:K01424	kpe:KPK_3321
ko:K00426	kpe:KPK_3336
ko:K00425	kpe:KPK_3338
ko:K07217	kpe:KPK_3339
ko:K09984	kpe:KPK_3345
ko:K03583	kpe:KPK_0884
ko:K01407	kpe:KPK_0885
ko:K03582	kpe:KPK_0886
ko:K03581	kpe:KPK_0887
ko:K01448	kpe:KPK_0890
ko:K04029	kpe:KPK_0894
ko:K04031	kpe:KPK_0895
ko:K02227	kpe:KPK_0917
ko:K06042	kpe:KPK_0918
ko:K02188	kpe:KPK_0919
ko:K03399	kpe:KPK_0920
ko:K02191	kpe:KPK_0921
ko:K05936	kpe:KPK_0922
ko:K02189	kpe:KPK_0923
ko:K05895	kpe:KPK_0925
ko:K02190	kpe:KPK_0926
ko:K02007	kpe:KPK_0928
ko:K02008	kpe:KPK_0930
ko:K02006	kpe:KPK_0931
ko:K02232	kpe:KPK_0932
ko:K02231	kpe:KPK_0933
ko:K00768	kpe:KPK_0934
ko:K06950	kpe:KPK_1850
ko:K07458	kpe:KPK_1853
ko:K09781	kpe:KPK_1854
ko:K02424	kpe:KPK_1863
ko:K10009	kpe:KPK_1865
ko:K10010	kpe:KPK_1866
ko:K03703	kpe:KPK_1870
ko:K00995	kpe:KPK_1871
ko:K01714	kpe:KPK_1876
ko:K07039	kpe:KPK_1877
ko:K03834	kpe:KPK_1878
ko:K10537	kpe:KPK_1888
ko:K10539	kpe:KPK_1889
ko:K10538	kpe:KPK_1890
ko:K00697	kpe:KPK_1892
ko:K01887	kpe:KPK_1896
ko:K09907	kpe:KPK_1897
ko:K06201	kpe:KPK_1898
ko:K07136	kpe:KPK_1901
ko:K01876	kpe:KPK_1904
ko:K08310	kpe:KPK_1905
ko:K01159	kpe:KPK_1907
ko:K03503	kpe:KPK_2837
ko:K01284	kpe:KPK_2864
ko:K09771	kpe:KPK_2870
ko:K07312	kpe:KPK_2877
ko:K03281	kpe:KPK_2880
ko:K01935	kpe:KPK_2879
ko:K08304	kpe:KPK_0953
ko:K06968	kpe:KPK_0960
ko:K02430	kpe:KPK_0961
ko:K01818	kpe:KPK_0964
ko:K02429	kpe:KPK_0966
ko:K00048	kpe:KPK_0969
ko:K01752	kpe:KPK_0982
ko:K03837	kpe:KPK_0983
ko:K06966	kpe:KPK_0984
ko:K06175	kpe:KPK_0988
ko:K03535	kpe:KPK_0990
ko:K01706	kpe:KPK_0992
ko:K00865	kpe:KPK_0993
ko:K07678	kpe:KPK_0994
ko:K03215	kpe:KPK_0995
ko:K01937	kpe:KPK_0998
ko:K03550	kpe:KPK_1908
ko:K03551	kpe:KPK_1909
ko:K09816	kpe:KPK_1910
ko:K09817	kpe:KPK_1911
ko:K09815	kpe:KPK_1912
ko:K02560	kpe:KPK_1914
ko:K07088	kpe:KPK_1917
ko:K00873	kpe:KPK_1919
ko:K00036	kpe:KPK_1922
ko:K01690	kpe:KPK_1923
ko:K08289	kpe:KPK_1925
ko:K09918	kpe:KPK_1926
ko:K01354	kpe:KPK_1928
ko:K10857	kpe:KPK_1929
ko:K02345	kpe:KPK_1930
ko:K07156	kpe:KPK_1931
ko:K09824	kpe:KPK_1935
ko:K07313	kpe:KPK_1937
ko:K03808	kpe:KPK_1941
ko:K03607	kpe:KPK_1943
ko:K03797	kpe:KPK_1944
ko:K03799	kpe:KPK_1945
ko:K08169	kpe:KPK_1946
ko:K03704	kpe:KPK_1953
ko:K00563	kpe:KPK_1955
ko:K02796	kpe:KPK_1958
ko:K02795	kpe:KPK_1959
ko:K02793	kpe:KPK_1960
ko:K02794	kpe:KPK_1960
ko:K01752	kpe:KPK_1963
ko:K01665	kpe:KPK_1965
ko:K09917	kpe:KPK_1966
ko:K01299	kpe:KPK_2885
ko:K03734	kpe:KPK_2905
ko:K01676	kpe:KPK_2909
ko:K01857	kpe:KPK_2913
ko:K01032	kpe:KPK_2915
ko:K01031	kpe:KPK_2916
ko:K00325	kpe:KPK_2928
ko:K00324	kpe:KPK_2929
ko:K03758	kpe:KPK_2934
ko:K07661	kpe:KPK_2937
ko:K10748	kpe:KPK_2942
ko:K01679	kpe:KPK_2941
ko:K01676	kpe:KPK_2943
ko:K03305	kpe:KPK_0246
ko:K06144	kpe:KPK_0248
ko:K07007	kpe:KPK_0250
ko:K06213	kpe:KPK_0257
ko:K07722	kpe:KPK_0258
ko:K03664	kpe:KPK_1178
ko:K09801	kpe:KPK_1180
ko:K06186	kpe:KPK_1181
ko:K03631	kpe:KPK_1182
ko:K00858	kpe:KPK_1183
ko:K03687	kpe:KPK_1184
ko:K03106	kpe:KPK_1187
ko:K02959	kpe:KPK_1188
ko:K07121	kpe:KPK_0568
ko:K07056	kpe:KPK_0569
ko:K00865	kpe:KPK_0574
ko:K06911	kpe:KPK_0578
ko:K07393	kpe:KPK_0581
ko:K08191	kpe:KPK_0590
ko:K01812	kpe:KPK_0591
ko:K01685	kpe:KPK_0592
ko:K07862	kpe:KPK_0594
ko:K07043	kpe:KPK_0597
ko:K11216	kpe:KPK_0603
ko:K10558	kpe:KPK_0605
ko:K10556	kpe:KPK_0606
ko:K10557	kpe:KPK_0607
ko:K10555	kpe:KPK_0608
ko:K08321	kpe:KPK_0609
ko:K05879	kpe:KPK_0617
ko:K05878	kpe:KPK_0618
ko:K00005	kpe:KPK_0620
ko:K02897	kpe:KPK_1543
ko:K07552	kpe:KPK_1546
ko:K01686	kpe:KPK_1558
ko:K02356	kpe:KPK_1559
ko:K06940	kpe:KPK_1560
ko:K03291	kpe:KPK_1565
ko:K02768	kpe:KPK_1566
ko:K11183	kpe:KPK_1566
ko:K00882	kpe:KPK_1567
ko:K02769	kpe:KPK_1568
ko:K02770	kpe:KPK_1568
ko:K01151	kpe:KPK_1569
ko:K01495	kpe:KPK_1575
ko:K07148	kpe:KPK_1576
ko:K10540	kpe:KPK_1578
ko:K10542	kpe:KPK_1579
ko:K02687	kpe:KPK_0449
ko:K02160	kpe:KPK_0453
ko:K03786	kpe:KPK_0454
ko:K07147	kpe:KPK_0456
ko:K03569	kpe:KPK_0459
ko:K03570	kpe:KPK_0460
ko:K03571	kpe:KPK_0461
ko:K06287	kpe:KPK_0462
ko:K08301	kpe:KPK_0463
ko:K03568	kpe:KPK_0465
ko:K03623	kpe:KPK_0470
ko:K03402	kpe:KPK_0475
ko:K01573	kpe:KPK_0483
ko:K01571	kpe:KPK_0484
ko:K01572	kpe:KPK_0485
ko:K09908	kpe:KPK_0489
ko:K06916	kpe:KPK_0490
ko:K02871	kpe:KPK_0491
ko:K02996	kpe:KPK_0492
ko:K03599	kpe:KPK_0493
ko:K03600	kpe:KPK_0494
ko:K01788	kpe:KPK_0495
ko:K00266	kpe:KPK_0496
ko:K07139	kpe:KPK_0498
ko:K01686	kpe:KPK_0501
ko:K07648	kpe:KPK_0502
ko:K03814	kpe:KPK_0504
ko:K02760	kpe:KPK_1429
ko:K02761	kpe:KPK_1430
ko:K02759	kpe:KPK_1431
ko:K03473	kpe:KPK_1434
ko:K06173	kpe:KPK_1436
ko:K03975	kpe:KPK_1437
ko:K01963	kpe:KPK_1438
ko:K03749	kpe:KPK_1440
ko:K03558	kpe:KPK_1441
ko:K00764	kpe:KPK_1442
ko:K03186	kpe:KPK_1443
ko:K10014	kpe:KPK_1447
ko:K10016	kpe:KPK_1448
ko:K10015	kpe:KPK_1449
ko:K02860	kpe:KPK_1189
ko:K00554	kpe:KPK_1190
ko:K02884	kpe:KPK_1191
ko:K01626	kpe:KPK_1198
ko:K05809	kpe:KPK_1202
ko:K05807	kpe:KPK_1203
ko:K06180	kpe:KPK_1204
ko:K05810	kpe:KPK_1205
ko:K03695	kpe:KPK_1206
ko:K03761	kpe:KPK_1211
ko:K05811	kpe:KPK_1212
ko:K00998	kpe:KPK_1213
ko:K09181	kpe:KPK_1214
ko:K03672	kpe:KPK_1216
ko:K03214	kpe:KPK_1217
ko:K03648	kpe:KPK_1218
ko:K06866	kpe:KPK_1219
ko:K05590	kpe:KPK_1220
ko:K00278	kpe:KPK_1221
ko:K03088	kpe:KPK_1224
ko:K03597	kpe:KPK_1225
ko:K03598	kpe:KPK_1226
ko:K03803	kpe:KPK_1227
ko:K03596	kpe:KPK_1228
ko:K03100	kpe:KPK_1229
ko:K03685	kpe:KPK_1230
ko:K03595	kpe:KPK_1231
ko:K03584	kpe:KPK_1232
ko:K03474	kpe:KPK_1233
ko:K00997	kpe:KPK_1234
ko:K06074	kpe:KPK_2152
ko:K01626	kpe:KPK_2156
ko:K09773	kpe:KPK_2157
ko:K01007	kpe:KPK_2159
ko:K00549	kpe:KPK_2168
ko:K02013	kpe:KPK_2170
ko:K02015	kpe:KPK_2171
ko:K02016	kpe:KPK_2172
ko:K05997	kpe:KPK_2180
ko:K09014	kpe:KPK_2181
ko:K09013	kpe:KPK_2182
ko:K09015	kpe:KPK_2183
ko:K02426	kpe:KPK_2185
ko:K06078	kpe:KPK_2187
ko:K00873	kpe:KPK_2188
ko:K00457	kpe:KPK_2193
ko:K00014	kpe:KPK_2195
ko:K02013	kpe:KPK_2196
ko:K02015	kpe:KPK_2198
ko:K02016	kpe:KPK_2199
ko:K04073	kpe:KPK_2205
ko:K01666	kpe:KPK_2206
ko:K05810	kpe:KPK_2208
ko:K03503	kpe:KPK_3127
ko:K01745	kpe:KPK_3142
ko:K09975	kpe:KPK_3147
ko:K00208	kpe:KPK_3148
ko:K04062	kpe:KPK_3155
ko:K03113	kpe:KPK_3156
ko:K01591	kpe:KPK_3157
ko:K01681	kpe:KPK_3162
ko:K03168	kpe:KPK_3166
ko:K06178	kpe:KPK_3173
ko:K07053	kpe:KPK_3177
ko:K01657	kpe:KPK_3179
ko:K01696	kpe:KPK_3182
ko:K01695	kpe:KPK_3183
ko:K10012	kpe:KPK_0267
ko:K10011	kpe:KPK_0268
ko:K09125	kpe:KPK_0276
ko:K08993	kpe:KPK_0281
ko:K08316	kpe:KPK_0282
ko:K09812	kpe:KPK_0284
ko:K09811	kpe:KPK_0285
ko:K03089	kpe:KPK_0286
ko:K00375	kpe:KPK_0287
ko:K01999	kpe:KPK_0290
ko:K03744	kpe:KPK_0292
ko:K01999	kpe:KPK_0295
ko:K01997	kpe:KPK_0296
ko:K01998	kpe:KPK_0297
ko:K01995	kpe:KPK_0298
ko:K01996	kpe:KPK_0299
ko:K05813	kpe:KPK_0300
ko:K05814	kpe:KPK_0301
ko:K05815	kpe:KPK_0302
ko:K05816	kpe:KPK_0303
ko:K01126	kpe:KPK_0304
ko:K00681	kpe:KPK_0306
ko:K03825	kpe:KPK_0307
ko:K06911	kpe:KPK_0310
ko:K10017	kpe:KPK_1450
ko:K07071	kpe:KPK_1452
ko:K07589	kpe:KPK_1454
ko:K07095	kpe:KPK_1457
ko:K00925	kpe:KPK_1460
ko:K09899	kpe:KPK_1462
ko:K09161	kpe:KPK_1463
ko:K00330	kpe:KPK_1471
ko:K00331	kpe:KPK_1472
ko:K00334	kpe:KPK_1474
ko:K00335	kpe:KPK_1475
ko:K00336	kpe:KPK_1476
ko:K00337	kpe:KPK_1477
ko:K00338	kpe:KPK_1478
ko:K00339	kpe:KPK_1479
ko:K00340	kpe:KPK_1480
ko:K00341	kpe:KPK_1481
ko:K00448	kpe:KPK_2400
ko:K00449	kpe:KPK_2401
ko:K03304	kpe:KPK_2408
ko:K05782	kpe:KPK_2413
ko:K08303	kpe:KPK_2417
ko:K00426	kpe:KPK_2421
ko:K00425	kpe:KPK_2422
ko:K09936	kpe:KPK_2436
ko:K03823	kpe:KPK_2437
ko:K07119	kpe:KPK_2439
ko:K02014	kpe:KPK_2443
ko:K01778	kpe:KPK_2448
ko:K06181	kpe:KPK_3408
ko:K00566	kpe:KPK_3410
ko:K07153	kpe:KPK_3411
ko:K01756	kpe:KPK_3412
ko:K01258	kpe:KPK_3419
ko:K11071	kpe:KPK_3421
ko:K11070	kpe:KPK_3422
ko:K11069	kpe:KPK_3423
ko:K00616	kpe:KPK_3427
ko:K01808	kpe:KPK_3428
ko:K02526	kpe:KPK_3430
ko:K01803	kpe:KPK_3433
ko:K01811	kpe:KPK_0078
ko:K03312	kpe:KPK_0084
ko:K00864	kpe:KPK_0085
ko:K02440	kpe:KPK_0086
ko:K07120	kpe:KPK_3108
ko:K03721	kpe:KPK_3109
ko:K08990	kpe:KPK_3110
ko:K06918	kpe:KPK_3111
ko:K03973	kpe:KPK_3113
ko:K03969	kpe:KPK_3115
ko:K03974	kpe:KPK_3117
ko:K08170	kpe:KPK_3116
ko:K03502	kpe:KPK_3125
ko:K03826	kpe:KPK_0197
ko:K01246	kpe:KPK_0199
ko:K11103	kpe:KPK_0228
ko:K00874	kpe:KPK_0230
ko:K07290	kpe:KPK_0232
ko:K07058	kpe:KPK_0234
ko:K01194	kpe:KPK_0238
ko:K00383	kpe:KPK_0241
ko:K07115	kpe:KPK_0242
ko:K02742	kpe:KPK_0732
ko:K00789	kpe:KPK_0734
ko:K01480	kpe:KPK_0738
ko:K07387	kpe:KPK_0741
ko:K00615	kpe:KPK_0742
ko:K00927	kpe:KPK_0744
ko:K01624	kpe:KPK_0745
ko:K03442	kpe:KPK_0746
ko:K09807	kpe:KPK_0748
ko:K01807	kpe:KPK_0750
ko:K09888	kpe:KPK_0754
ko:K03606	kpe:KPK_1666
ko:K00033	kpe:KPK_1667
ko:K00012	kpe:KPK_1670
ko:K09690	kpe:KPK_1677
ko:K09691	kpe:KPK_1678
ko:K02500	kpe:KPK_1684
ko:K01814	kpe:KPK_1685
ko:K02501	kpe:KPK_1686
ko:K00817	kpe:KPK_1688
ko:K00013	kpe:KPK_1689
ko:K00765	kpe:KPK_1690
ko:K02585	kpe:KPK_1697
ko:K02584	kpe:KPK_1698
ko:K03839	kpe:KPK_1700
ko:K02597	kpe:KPK_1702
ko:K02596	kpe:KPK_1707
ko:K02587	kpe:KPK_1709
ko:K02593	kpe:KPK_1711
ko:K03737	kpe:KPK_1715
ko:K02355	kpe:KPK_1717
ko:K07345	kpe:KPK_2636
ko:K07048	kpe:KPK_2647
ko:K10439	kpe:KPK_2651
ko:K00852	kpe:KPK_2652
ko:K06971	kpe:KPK_2653
ko:K03707	kpe:KPK_2654
ko:K02035	kpe:KPK_2655
ko:K02033	kpe:KPK_2656
ko:K02034	kpe:KPK_2657
ko:K02031	kpe:KPK_2658
ko:K02032	kpe:KPK_2658
ko:K03543	kpe:KPK_2660
ko:K00134	kpe:KPK_2662
ko:K06886	kpe:KPK_2670
ko:K01721	kpe:KPK_2672
ko:K01265	kpe:KPK_2696
ko:K02073	kpe:KPK_0066
ko:K01689	kpe:KPK_0999
ko:K01737	kpe:KPK_1003
ko:K00380	kpe:KPK_1004
ko:K00381	kpe:KPK_1005
ko:K00390	kpe:KPK_1006
ko:K00957	kpe:KPK_1009
ko:K00860	kpe:KPK_1011
ko:K05589	kpe:KPK_1013
ko:K00991	kpe:KPK_1014
ko:K01770	kpe:KPK_1015
ko:K06176	kpe:KPK_1016
ko:K00573	kpe:KPK_1018
ko:K06194	kpe:KPK_1019
ko:K03186	kpe:KPK_1025
ko:K03555	kpe:KPK_1029
ko:K04095	kpe:KPK_1030
ko:K02013	kpe:KPK_1031
ko:K02015	kpe:KPK_1032
ko:K02016	kpe:KPK_1033
ko:K07225	kpe:KPK_1034
ko:K07401	kpe:KPK_1036
ko:K01652	kpe:KPK_1037
ko:K07088	kpe:KPK_1038
ko:K02759	kpe:KPK_1047
ko:K02761	kpe:KPK_1048
ko:K02760	kpe:KPK_1049
ko:K02761	kpe:KPK_1050
ko:K04655	kpe:KPK_1055
